1	Graf-	Graf-	T	TRUNC	_	2	attr	_	_
3	am	an	P	APPRART	Dat	7	pp	_	_
4	Abend	Abend	N	NN	Masc|Dat|Sg	3	pn	538	538
5	im	in	P	APPRART	Dat	7	pp	_	_
6	Kasino	Kasino	N	NN	Neut|Dat|Sg	5	pn	_	_
7	sitz	sitz	V	VVFIN	1|Sg|_|_	0	root	_	_
8	'	'	$	$(	_	0	root	_	_
9	oder	oder	K	KON	_	0	root	_	_
10	im	in	P	APPRART	Dat	9	cj	_	_
11	Klub	Klub	N	NN	Masc|Dat|Sg	10	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	doch	doch	A	ADV	_	13	adv	_	_
15	alles	alle	P	PIS	Neut|Nom|Sg	13	subj	_	_
16	eins	eins	P	PIS	_|Nom|_	13	pred	_	_
17	.	.	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	0	root	565	565
2	Und	und	K	KON	_	0	root	_	_
3	wie	wie	P	PWAV	_	4	pred	_	_
4	verhält	verhalten	V	VVFIN	3|Sg|Pres|Ind	2	cj	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	denn	denn	A	ADV	_	4	adv	_	_
7	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
8	mit	mit	P	APPR	Dat	0	root	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	694	694
10	Liebe	Liebe	N	NN	Fem|Dat|Sg	8	pn	694	694
11	?	?	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	_|_|Sg	0	root	648	648
2	Wenn	wenn	K	KOUS	_	5	konj	_	_
3	man	man	P	PIS	_|Nom|Sg	5	subj	_	_
4	dran	dran	P	PROAV	_	5	pp	_	_
5	glaubt	glauben	V	VVFIN	3|Sg|Pres|Ind	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	immer	immer	A	ADV	_	7	adv	_	_
9	eine	eine	P	PIS	_|Nom|Sg	7	subj	_	_
10	da	da	P	PTKVZ	_	7	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	die	die	P	PRELS	_|_|_	0	root	648	648
13	einen	eine	A	ART	Indef|Masc|Acc|Sg	0	root	_	_
14	gern	gern	A	ADV	_	15	adv	_	_
15	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	0	root	565	565
2	Zum	zu	P	APPRART	Dat	5	pp	695	695
3	Beispiel	Beispiel	N	NN	Neut|Dat|Sg	2	pn	689	689
4	das	die	A	ART	Def|Neut|_|Sg	5	det	_	_
5	Fräulein	Fräulein	N	NN	Fem|_|Pl	0	root	_	_
6	Birken	Birk	N	NN	Fem|_|Pl	5	app	_	_
7	.	.	$	$.	_	0	root	_	_

1	Graf	Graf	N	NN	Masc|_|Sg	0	root	648	648
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	751	751
3	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
4	wirklich	wirklich	A	ADJD	Pos|	3	adv	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	Fräulein	Fräulein	N	NN	Neut|_|_	3	vok	_	_
8	,	,	$	$,	_	0	root	_	_
9	warum	warum	P	PWAV	_	18	adv	_	_
10	Sie	sie	P	PPER	3|Pl|_|Nom	18	subj	695	695
11	immer	immer	A	ADV	_	18	adv	_	_
12	auf	auf	P	APPR	Acc	18	objp	_	_
13	die	die	A	ART	Def|Fem|Acc|Pl	15	det	696	696
14	kleine	klein	A	ADJA	Pos|Fem|Acc|Pl|St|	15	attr	696	696
15	Birken	Birk	N	NN	Fem|Acc|Pl	12	pn	696	696
16	zu	zu	P	PTKZU	_	17	part	_	_
17	reden	reden	V	VVINF	_	18	obji	_	_
18	kommen	kommen	V	VVFIN	3|Pl|Pres|_	7	objc	_	_
19	.	.	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	0	root	565	565
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	doch	doch	A	ADV	_	3	adv	_	_
5	Ihre	ihre	A	PPOSAT	_|Nom|_	6	det	565	565
6	Geliebte	Geliebte	N	NN	_|Nom|_	3	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	_|_|Sg	0	root	648	648
2	Wer	wer	P	PWS	_|Nom|Sg	3	subj	_	_
3	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	denn	denn	A	ADV	_	3	adv	_	_
5	das	die	P	PDS	Neut|_|Sg	3	obja	_	_
6	?	?	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	0	root	565	565
2	Jeder	jede	A	PIDAT	Masc|Nom|Sg	3	det	_	_
3	Mensch	Mensch	N	NN	Masc|Nom|Sg	4	subj	_	_
4	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	das	die	P	PDS	Neut|_|Sg	4	obja	_	_
6	.	.	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	_|_|Sg	0	root	648	648
2	Nur	nur	A	ADV	_	3	adv	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	751	751
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	7	subj	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	merkwürdig	merkwürdig	A	ADJD	Pos|	7	pred	_	_
9	.	.	$	$.	_	0	root	_	_

1	Schauspielerin	schauspielerin	A	ADJD	Pos|	2	adv	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	_	_
3	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
4	doch	doch	A	ADV	_	8	adv	_	_
5	ihretwegen	ihretwegen	A	ADV	_	8	adv	_	_
6	ein	eine	A	ART	Indef|Neut|_|Sg	7	det	_	_
7	Duell	Duell	N	NN	Neut|_|Sg	8	obja	_	_
8	gehabt	haben	V	VAPP	_	3	aux	_	_
9	!	!	$	$.	_	0	root	_	_

1	Graf-	Graf-	T	TRUNC	_	0	root	_	_
2	Vielleicht	vielleicht	A	ADV	_	3	adv	_	_
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	751	751
5	sogar	sogar	A	ADV	_	6	adv	_	_
6	totgeschossen	totschießen	V	VVPP	_	7	aux	_	_
7	worden	werden	V	VAPP	_	3	aux	_	_
8	und	und	K	KON	_	0	root	_	_
9	hab	hab	F	FM	_|Nom|_	14	subj	_	_
10	'	'	$	$(	_	0	root	_	_
11	s	s	P	PPER	_	14	obja	_	_
12	gar	gar	A	ADV	_	13	adv	_	_
13	nicht	nicht	P	PTKNEG	_	14	adv	_	_
14	bemerkt	bemerken	V	VVPP	_	8	cj	_	_
15	.	.	$	$.	_	0	root	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	8	vok	648	648
2	Nun	nun	A	ADV	_	1	adv	648	648
3	,	,	$	$,	_	0	root	648	648
4	Herr	Herr	N	NN	Masc|_|Sg	1	app	648	648
5	Graf	Graf	N	NE	_|_|Sg	4	app	648	648
6	,	,	$	$,	_	0	root	_	_
7	Sie	sie	P	PPER	3|Pl|_|Nom	8	subj	697	697
8	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	_	_
10	Ehrenmann	Ehrenmann	N	NN	Masc|Nom|Sg	8	pred	_	_
11	.	.	$	$.	_	0	root	_	_

