1	Oho	Oho	N	NE	_	3	vok	208	208
27	Steffi	Steffi	N	NE	Fem|_|Sg	25	obja	25	25
28	noch	noch	A	ADV	_	25	adv	_	_
29	...	...	$	$.	_	0	root	_	_
30	so	so	A	ADV	_	31	adv	_	_
31	lieb	lieb	A	ADJD	Pos|	32	pred	_	_
32	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
33	sie	sie	P	PPER	3|Sg|Fem|Nom	32	subj	25	25
34	aus	aus	P	PTKVZ	_	32	avz	_	_
35	,	,	$	$,	_	0	root	_	_
36	wenn	wenn	K	KOUS	_	38	konj	_	_
37	sie	sie	P	PPER	3|_|_|_	38	obja	25	25
38	schlaft	schlafen	V	VVFIN	2|Pl|Pres|Ind	32	neb	_	_
39	...	...	$	$.	_	0	root	_	_
40	als	als	K	KOKOM	_	0	root	_	_
41	wenn	wenn	K	KOUS	_	47	konj	_	_
42	sie	sie	P	PPER	3|_|_|_	46	obja	25	25
43	nicht	nicht	P	PTKNEG	_	46	adv	_	_
44	bis	bis	P	APPR	Acc	46	pp	_	_
45	fünf	fünf	C	CARD	_	44	pn	_	_
46	zählen	zählen	V	VVINF	_	47	aux	_	_
47	könnt	können	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
48	'	'	$	$(	_	0	root	_	_
49	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Na	Na	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	wenn	wenn	K	KOUS	_	6	konj	_	_
5	sie	sie	P	PPER	3|Pl|_|Nom	6	subj	352	352
6	schlafen	schlafen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	schau	schau	A	ADJD	Pos|	10	adv	353	353
9	'	'	$	$(	_	0	root	353	353
10	n	n	N	NN	_	0	root	353	353
11	sie	sie	P	PPER	3|_|_|_	0	root	352	352
12	alle	alle	P	PIS	_|_|_	11	app	_	_
13	so	so	A	ADV	_	12	adv	_	_
14	aus	aus	P	PTKVZ	_	0	root	_	_
15	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	348	348
3	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	ihr	ihr	P	PPER	2|Pl|_|Nom	3	subj	_	_
6	doch	doch	A	ADV	_	10	adv	_	_
7	noch	noch	A	ADV	_	10	adv	_	_
8	ein	eine	A	ART	Indef|Neut|_|Sg	9	det	_	_
9	Wort	Wort	N	NN	Neut|_|Sg	10	obja	_	_
10	schreiben	schreiben	V	VVINF	_	3	aux	_	_
11	...	...	$	$.	_	0	root	_	_
12	warum	warum	P	PWAV	_	0	root	_	_
13	denn	denn	A	ADV	_	12	adv	_	_
14	nicht	nicht	P	PTKNEG	_	12	adv	_	_
15	?	?	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_	2	obja	353	353
5	ja	ja	A	ADV	_	6	adv	_	_
6	doch	doch	A	ADV	_	2	adv	_	_
7	ein	eine	A	ART	Indef|_|_|Sg	8	part	_	_
8	jeder	jede	P	PIS	Masc|Nom|Sg	2	subj	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	15	konj	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	353	353
12	vorher	vorher	A	ADV	_	15	adv	_	_
13	noch	noch	A	ADV	_	15	adv	_	_
14	Briefe	Brief	N	NN	Masc|_|_	15	obja	320	320
15	schreibt	schreiben	V	VVFIN	3|Sg|Pres|Ind	2	neb	_	_
16	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Auch	auch	A	ADV	_	4	adv	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Klara	Klara	N	NN	Masc|Nom|Sg	0	root	_	_
5	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	0	root	348	348
8	schreiben	schreiben	V	VVINF	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	17	konj	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	17	subj	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	282	282
13	Papa	Papa	N	NN	Masc|Acc|Sg	17	obja	282	282
14	und	und	K	KON	_	13	kon	_	_
15	die	die	A	ART	Def|Fem|Acc|Sg	16	det	36	36
16	Mama	Mama	N	NN	Fem|Acc|Sg	14	cj	36	36
17	tröstet	trösten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
18	-	-	$	$(	_	0	root	_	_
19	und	und	K	KON	_	0	root	_	_
20	was	was	P	PWS	Neut|_|Sg	24	obja	_	_
21	man	man	P	PIS	_|Nom|Sg	24	subj	_	_
22	halt	halt	A	ADV	_	24	adv	_	_
23	so	so	A	ADV	_	24	adv	_	_
24	schreibt	schreiben	V	VVFIN	3|Sg|Pres|Ind	19	cj	_	_
25	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	und	und	K	KON	_	0	root	_	_
3	dem	die	A	ART	Def|_|Dat|Sg	4	det	27	27
4	Kopetzky	Kopetzky	N	NN	_|Dat|Sg	2	cj	27	27
5	doch	doch	A	ADV	_	4	adv	27	27
6	auch	auch	A	ADV	_	4	adv	27	27
7	...	...	$	$.	_	0	root	_	_

1	Meiner	meine	A	PPOSAT	_|_|_	2	det	348	348
2	Seel	Seel	N	NN	_|_|_	0	root	355	355
3	'	'	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	348	348
6	kommt	kommen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
7	vor	vor	P	PTKVZ	_	6	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	wär	wär	V	VAFIN	3|Sg|_|_	6	kon	_	_
11	'	'	$	$(	_	0	root	_	_
12	viel	viel	A	ADV	_	13	adv	_	_
13	leichter	leicht	A	ADJD	Comp|	10	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	wenn	wenn	K	KOUS	_	22	konj	_	_
16	man	man	P	PIS	_|Nom|Sg	21	subj	_	_
17	ein	eine	A	ART	Indef|_|_|Sg	19	det	_	_
18	paar	paar	A	PIDAT	_|Dat|Pl	19	attr	_	_
19	Leuten	Leute	N	NN	_|Dat|Pl	21	objd	_	_
20	Adieu	Adieu	F	FM	_|Dat|Pl	19	app	_	_
21	gesagt	sagen	V	VVPP	_	22	neb	_	_
22	hätt	hätt	V	VVFIN	_	10	neb	_	_
23	'	'	$	$(	_	0	root	_	_
24	...	...	$	$.	_	0	root	_	_
25	Und	und	K	KON	_	0	root	_	_
26	die	die	A	ART	Def|Fem|_|Sg	27	det	_	_
27	Anzeige	Anzeige	N	NN	Fem|_|Sg	25	cj	_	_
28	an	an	P	APPR	Acc	27	pp	_	_
29	das	die	A	ART	Def|Neut|Acc|Sg	30	det	354	354
30	Regimentskommando	Regimentskommando	N	NN	Neut|Acc|Sg	28	pn	354	354
31	-	-	$	$(	_	0	root	_	_
32	und	und	K	KON	_	30	kon	_	_
33	die	die	A	ART	Def|Masc|Acc|Pl	35	det	_	_
34	hundertsechzig	hundertsechzig	C	CARD	_	35	attr	_	_
35	Gulden	Gulden	N	NN	Masc|Acc|Pl	32	cj	_	_
36	für	für	P	APPR	Acc	35	pp	_	_
37	den	die	A	ART	Def|Masc|Acc|Sg	38	det	238	238
38	Ballert	Ballert	N	NN	Masc|Acc|Sg	36	pn	238	238
39	...	...	$	$.	_	0	root	_	_
40	eigentlich	eigentlich	A	ADV	_	44	adv	_	_
41	noch	noch	A	ADV	_	44	adv	_	_
42	viel	viel	P	PIS	_	44	obja	_	_
43	zu	zu	P	PTKZU	_	44	part	_	_
44	tun	tun	V	VVINF	_	0	root	_	_
45	...	...	$	$.	_	0	root	_	_
46	Na	Na	I	ITJ	_	0	root	_	_
47	,	,	$	$,	_	0	root	_	_
48	es	es	P	PPER	3|Sg|Neut|Nom	49	subj	_	_
49	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
50	'	'	$	$(	_	0	root	_	_
51	s	s	P	PPER	_	49	obja	355	355
52	mir	ich	P	PPER	1|Sg|_|Dat	49	objd	348	348
53	ja	ja	A	ADV	_	54	adv	_	_
54	keiner	keine	A	PIAT	Fem|Dat|Sg	55	det	_	_
55	g	g	N	NN	Fem|Dat|Sg	57	objd	_	_
56	'	'	$	$(	_	0	root	_	_
57	schafft	schaffen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
58	,	,	$	$,	_	0	root	_	_
59	daß	daß	K	KOUS	_	65	konj	_	_
60	ich	ich	P	PPER	1|Sg|_|Nom	65	subj	348	348
61	'	'	$	$(	_	0	root	_	_
62	s	s	P	PPER	_	65	obja	355	355
63	um	um	P	APPR	_	65	pp	_	_
64	sieben	sieben	C	CARD	_	63	pn	_	_
65	tu	tun	V	VVFIN	1|Sg|Pres|Ind	57	subjc	_	_
66	'	'	$	$(	_	0	root	_	_
67	...	...	$	$.	_	0	root	_	_
68	von	von	P	APPR	_	71	pp	_	_
69	acht	acht	C	CARD	_	68	pn	_	_
70	an	an	A	APZR	_	68	part	_	_
71	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
72	noch	noch	A	ADV	_	71	adv	_	_
73	immer	immer	A	ADV	_	71	adv	_	_
74	Zeit	Zeit	N	NN	Fem|Nom|Sg	71	subj	_	_
75	genug	genug	A	ADV	_	74	adv	_	_
76	zum	zu	P	APPRART	Dat	71	pp	_	_
77	Totsein	Totsein	N	NN	_|Dat|_	76	pn	356	356
78	!	!	$	$.	_	0	root	_	_
79	...	...	$	$.	_	0	root	_	_

1	Totsein	Totsein	N	NE	_	0	root	356	356
2	,	,	$	$,	_	0	root	_	_
3	ja	ja	P	PTKANT	_	0	root	_	_
4	-	-	$	$(	_	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	heißt	heißen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	s	s	P	PPER	_|_|_|Nom	6	subj	356	356
9	-	-	$	$(	_	0	root	_	_
10	da	da	A	ADV	_	11	adv	_	_
11	kann	können	V	VMFIN	3|Sg|Pres|Ind	6	kon	_	_
12	man	man	P	PIS	_|Nom|Sg	11	subj	_	_
13	nichts	nichts	P	PIS	_	14	obja	_	_
14	machen	machen	V	VVINF	_	11	aux	_	_
15	...	...	$	$.	_	0	root	_	_

1	Ringstraße	Ringstraße	N	NN	_|_|_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	jetzt	jetzt	A	ADV	_	4	adv	_	_
4	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	348	348
6	ja	ja	A	ADV	_	4	adv	_	_
7	bald	bald	A	ADV	_	4	adv	_	_
8	in	in	P	APPR	Dat	4	pp	_	_
9	meinem	meine	A	PPOSAT	Neut|Dat|Sg	10	det	348	348
10	Kaffeehaus	Kaffeehaus	N	NN	Neut|Dat|Sg	8	pn	_	_
11	...	...	$	$.	_	0	root	_	_

1	Mir	ich	P	PPER	1|Sg|_|Dat	2	objd	348	348
2	scheint	scheinen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	gar	gar	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	348	348
6	freu	freu	V	VVFIN	1|Sg|_|_	2	kon	_	_
7	'	'	$	$(	_	0	root	_	_
8	mich	ich	P	PPER	1|Sg|_|Acc	6	obja	100	100
9	aufs	auf	P	APPRART	Acc	6	pp	_	_
10	Frühstück	Frühstück	N	NN	Neut|Acc|Sg	9	pn	_	_
11	...	...	$	$.	_	0	root	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	nicht	nicht	P	PTKNEG	_	13	adv	_	_
15	zum	zu	P	APPRART	_|Dat	0	root	_	_
16	glauben	glauben	V	VVINF	_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Ja	ja	P	PTKANT	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	nach	nach	P	APPR	Dat	8	pp	_	_
6	dem	die	A	ART	Def|Neut|Dat|Sg	7	det	_	_
7	Frühstück	Frühstück	N	NN	Neut|Dat|Sg	5	pn	_	_
8	zünd	zünd	A	ADJA	_	0	root	_	_
9	'	'	$	$(	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	0	root	348	348
11	mir	ich	P	PRF	1|Sg|Dat	0	root	_	_
12	eine	eine	A	ART	Indef|Fem|_|Sg	13	det	_	_
13	Zigarr	Zigarr	N	NN	Fem|_|Sg	0	root	_	_
14	'	'	$	$(	_	0	root	_	_
15	an	an	P	PTKVZ	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	0	root	_	_
18	dann	dann	A	ADV	_	21	adv	_	_
19	geh	geh	A	ADJD	_	21	adv	_	_
20	'	'	$	$(	_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	17	cj	348	348
22	nach	nach	P	APPR	Dat	21	pp	_	_
23	Haus	Haus	N	NN	Neut|Dat|Sg	22	pn	200	200
24	und	und	K	KON	_	23	kon	_	_
25	schreib	schreib	F	FM	Neut|Dat|Sg	24	cj	_	_
26	'	'	$	$(	_	0	root	_	_
27	...	...	$	$.	_	0	root	_	_
28	Ja	ja	P	PTKANT	_	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	vor	vor	P	APPR	Dat	0	root	_	_
31	allem	alle	P	PIS	_|Dat|Sg	30	pn	_	_
32	mach	machen	V	VVIMP	Sg	0	root	_	_
33	'	'	$	$(	_	0	root	_	_
34	ich	ich	P	PPER	1|Sg|_|Nom	32	pred	348	348
35	die	die	A	ART	Def|Fem|_|Sg	36	det	_	_
36	Anzeige	Anzeige	N	NN	Fem|_|Sg	32	obja	_	_
37	ans	an	P	APPRART	Acc	36	pp	_	_
38	Kommando	Kommando	N	NN	Neut|Acc|Sg	37	pn	_	_
39	;	;	$	$.	_	0	root	_	_
40	dann	dann	A	ADV	_	41	adv	_	_
41	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
42	der	die	A	ART	Def|Masc|Nom|Sg	43	det	_	_
43	Brief	Brief	N	NN	Masc|Nom|Sg	41	subj	_	_
44	an	an	P	APPR	Acc	43	pp	_	_
45	die	die	A	ART	Def|_|_|_	46	det	_	_
46	Klara	Klara	N	NN	_|Acc|_	44	pn	_	_
47	-	-	$	$(	_	0	root	_	_
48	dann	dann	A	ADV	_	49	adv	_	_
49	an	an	P	APPR	_	46	pp	_	_
50	den	die	A	ART	Def|_|_|_	51	det	8	8
51	Kopetzky	Kopetzky	N	NN	_|_|_	49	pn	8	8
52	-	-	$	$(	_	0	root	_	_
53	dann	dann	A	ADV	_	41	adv	_	_
54	an	an	P	APPR	Acc	41	objp	_	_
55	die	die	A	ART	Def|Fem|Acc|Sg	56	det	25	25
56	Steffi	Steffi	N	NE	Fem|Acc|Sg	54	pn	25	25
57	...	...	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	7	obja	_	_
2	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	348	348
4	denn	denn	A	ADV	_	7	adv	_	_
5	dem	die	A	ART	Def|Neut|Dat|Sg	6	det	_	_
6	Luder	Luder	N	NN	Neut|Dat|Sg	7	objd	_	_
7	schreiben	schreiben	V	VVINF	_	2	aux	_	_
8	...	...	$	$.	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	Mein	meine	A	PPOSAT	Neut|_|Sg	12	det	348	348
11	liebes	lieb	A	ADJA	Pos|Neut|_|Sg|St|	12	attr	357	357
12	Kind	Kind	N	NN	Neut|_|Sg	0	root	357	357
13	,	,	$	$,	_	0	root	_	_
14	Du	du	P	PPER	2|Sg|_|Nom	15	subj	358	358
15	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
16	wohl	wohl	A	ADV	_	18	adv	_	_
17	nicht	nicht	P	PTKNEG	_	18	adv	_	_
18	gedacht	denken	V	VVPP	_	15	aux	_	_
19	«	«	$	$(	_	0	root	_	_
20	...	...	$	$.	_	0	root	_	_
21	Ah	Ah	N	NN	Fem|_|Sg	0	root	88	88
22	,	,	$	$,	_	0	root	_	_
23	was	was	P	PRELS	Neut|_|Sg	0	root	357	357
24	,	,	$	$,	_	0	root	_	_
25	Unsinn	Unsinn	N	NN	Masc|_|Sg	0	root	144	144
26	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Mein	meine	A	PPOSAT	Neut|_|Sg	5	det	348	348
4	liebes	lieb	A	ADJA	Pos|Neut|_|Sg|St|	5	attr	_	_
5	Kind	Kind	N	NN	Neut|_|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	348	348
8	danke	danken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
9	Dir	du	P	PPER	2|Sg|_|Dat	8	objd	358	358
10	sehr	sehr	A	ADV	_	8	adv	_	_
11	«	«	$	$(	_	0	root	_	_
12	...	...	$	$.	_	0	root	_	_
13	-	-	$	$(	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Mein	meine	A	PPOSAT	Neut|_|Sg	17	det	348	348
16	liebes	lieb	A	ADJA	Pos|Neut|_|Sg|St|	17	attr	_	_
17	Kind	Kind	N	NN	Neut|_|Sg	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	bevor	bevor	K	KOUS	_	23	konj	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	23	subj	348	348
21	von	von	P	APPR	_	23	pp	_	_
22	hinnen	hinnen	A	ADV	_	21	adv	_	_
23	gehe	gehen	V	VVFIN	1|Sg|Pres|_	25	neb	_	_
24	,	,	$	$,	_	0	root	_	_
25	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
26	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	348	348
27	es	es	P	PPER	3|Sg|Neut|_	25	obja	_	_
28	nicht	nicht	P	PTKNEG	_	25	adv	_	_
29	verabsäumen	verabsäumen	A	ADJD	_	25	adv	_	_
30	«	«	$	$(	_	0	root	_	_
31	...	...	$	$.	_	0	root	_	_
32	-	-	$	$(	_	0	root	_	_
33	Na	Na	I	ITJ	_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	Briefschreiben	Briefschreibe	N	NN	Neut|Nom|Sg	36	subj	_	_
36	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
37	auch	auch	A	ADV	_	36	adv	_	_
38	nie	nie	A	ADV	_	36	adv	_	_
39	meine	meine	A	PPOSAT	Fem|Nom|Sg	41	det	348	348
40	starke	stark	A	ADJA	Pos|Fem|Nom|Sg|_|	41	attr	_	_
41	Seite	Seite	N	NN	Fem|Nom|Sg	36	pred	_	_
42	...	...	$	$.	_	0	root	_	_
43	»	»	$	$(	_	0	root	_	_
44	Mein	meine	A	PPOSAT	Neut|_|Sg	46	det	348	348
45	liebes	lieb	A	ADJA	Pos|Neut|_|Sg|St|	46	attr	_	_
46	Kind	Kind	N	NN	Neut|_|Sg	0	root	_	_
47	,	,	$	$,	_	0	root	_	_
48	ein	eine	A	ART	Indef|Neut|_|Sg	50	det	_	_
49	letztes	letzte	A	ADJA	Pos|Neut|_|Sg|St|	50	attr	_	_
50	Lebewohl	Lebewohl	N	NN	Neut|_|Sg	46	app	_	_
51	von	von	P	APPR	Dat	50	pp	_	_
52	Deinem	deine	A	PPOSAT	Masc|Dat|Sg	53	det	167	167
53	Gustl	Gustl	N	NE	Masc|Dat|Sg	51	pn	167	167
54	«	«	$	$(	_	0	root	_	_
55	...	...	$	$.	_	0	root	_	_
56	-	-	$	$(	_	0	root	_	_
57	Die	die	A	ART	Def|Neut|_|Pl	58	det	24	24
58	Augen	Auge	N	NN	Neut|_|Pl	0	root	24	24
59	,	,	$	$,	_	0	root	_	_
60	die	die	P	PRELS	Fem|Nom|Sg	63	subj	_	_
61	sie	sie	P	PPER	3|_|_|_	62	obja	24	24
62	machen	machen	V	VVINF	_	63	aux	_	_
63	wird	werden	V	VAFIN	3|Sg|Pres|Ind	41	rel	_	_
64	!	!	$	$.	_	0	root	_	_

1	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	doch	doch	A	ADV	_	1	adv	_	_
3	ein	eine	A	ART	Indef|Neut|Nom|Sg	4	det	359	359
4	Glück	Glück	N	NN	Neut|Nom|Sg	1	subj	359	359
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	12	konj	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	348	348
8	nicht	nicht	P	PTKNEG	_	11	adv	_	_
9	in	in	P	APPR	Acc	11	pp	_	_
10	sie	sie	P	PPER	3|_|_|Acc	9	pn	359	359
11	verliebt	verlieben	V	VVPP	_	12	aux	_	_
12	war	sein	V	VAFIN	1|Sg|Past|Ind	1	objc	_	_
13	...	...	$	$.	_	0	root	_	_
14	das	die	P	PDS	Neut|Nom|Sg	15	subj	_	_
15	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
16	traurig	traurig	A	ADJD	Pos|	17	pred	_	_
17	sein	sein	V	VAINF	_	15	aux	_	_
18	,	,	$	$,	_	0	root	_	_
19	wenn	wenn	K	KOUS	_	0	root	_	_
20	man	man	P	PIS	_|Nom|Sg	0	root	_	_
21	eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
22	gern	gern	A	ADV	_	23	adv	_	_
23	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
24	und	und	K	KON	_	0	root	_	_
25	so	so	A	ADV	_	24	cj	_	_
26	...	...	$	$.	_	0	root	_	_
27	Na	Na	I	ITJ	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	Gustl	Gustl	N	NE	_|_|Sg	0	root	167	167
30	,	,	$	$,	_	0	root	_	_
31	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
32	gut	gut	A	ADJD	Pos|	31	pred	_	_
33	:	\:	$	$.	_	0	root	_	_
34	so	so	A	ADV	_	35	adv	_	_
35	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
36	es	es	P	PPER	3|Sg|Neut|Nom	35	subj	_	_
37	auch	auch	A	ADV	_	35	adv	_	_
38	traurig	traurig	A	ADJD	Pos|	35	pred	_	_
39	genug	genug	A	ADV	_	38	adv	_	_
40	...	...	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	0	root	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	25	25
3	Steffi	Steffi	N	NE	Fem|Dat|Sg	1	pn	25	25
4	wär	wär	F	FM	Fem|Dat|Sg	3	app	25	25
5	'	'	$	$(	_	0	root	25	25
6	ja	ja	A	ADV	_	3	adv	25	25
7	noch	noch	A	ADV	_	3	adv	25	25
8	manche	manche	A	PIAT	_|Nom|_	10	subj	_	_
9	andere	andere	P	PIS	Fem|Nom|Sg	10	pred	_	_
10	gekommen	kommen	V	VVPP	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	am	an	P	APPRART	Dat	17	pp	_	_
14	End	End	N	NN	Neut|Dat|Sg	13	pn	106	106
15	'	'	$	$(	_	0	root	_	_
16	auch	auch	A	ADV	_	13	adv	_	_
17	eine	eine	P	PIS	Neut|_|Sg	12	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	die	die	P	PRELS	Fem|Nom|Sg	22	subj	25	25
20	was	was	P	PIS	_|Dat|_	22	objd	_	_
21	wert	wert	A	ADJD	Pos|	22	pred	_	_
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	rel	_	_
23	-	-	$	$(	_	0	root	_	_
24	junges	jung	A	ADJA	Pos|Neut|_|Sg|St|	25	attr	_	_
25	Mädel	Mädel	N	NN	Neut|_|Sg	17	app	_	_
26	aus	aus	P	APPR	Dat	25	pp	_	_
27	guter	gut	A	ADJA	Pos|Fem|Dat|Sg|St|	28	attr	_	_
28	Familie	Familie	N	NN	Fem|Dat|Sg	26	pn	_	_
29	mit	mit	P	APPR	Dat	28	pp	_	_
30	Kaution	Kaution	N	NN	Fem|Dat|Sg	29	pn	_	_
31	-	-	$	$(	_	0	root	_	_
32	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
33	wär	wär	F	FM	_|Dat|_	37	objd	_	_
34	'	'	$	$(	_	0	root	_	_
35	ganz	ganz	A	ADV	_	36	adv	_	_
36	schön	schön	A	ADJD	Pos|	37	pred	_	_
37	gewesen	sein	V	VAPP	_	0	root	_	_
38	...	...	$	$.	_	0	root	_	_
39	-	-	$	$(	_	0	root	_	_
40	Der	die	A	ART	Def|_|_|_	0	root	_	_
41	Klara	Klara	N	NN	Masc|Dat|Sg	45	objd	360	360
42	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
43	ich	ich	P	PPER	1|Sg|_|Nom	42	subj	348	348
44	ausführlich	ausführlich	A	ADJD	Pos|	45	adv	_	_
45	schreiben	schreiben	V	VVINF	_	42	aux	_	_
46	,	,	$	$,	_	0	root	_	_
47	daß	daß	K	KOUS	_	50	konj	_	_
48	ich	ich	P	PPER	1|Sg|_|Nom	50	subj	100	100
49	nicht	nicht	P	PTKNEG	_	50	adv	_	_
50	hab	hab	V	VAFIN	1|Sg|_|_	45	objc	_	_
51	'	'	$	$(	_	0	root	_	_
52	anders	anders	A	ADV	_	50	adv	_	_
53	können	können	V	VMFIN	_|Pl|Pres|_	0	root	_	_
54	...	...	$	$.	_	0	root	_	_
55	»	»	$	$(	_	0	root	_	_
56	Du	du	P	PPER	2|Sg|_|Nom	57	subj	358	358
57	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
58	mir	ich	P	PPER	1|Sg|_|Dat	59	objd	348	348
59	verzeihen	verzeihen	V	VVINF	_	57	aux	_	_
60	,	,	$	$,	_	0	root	_	_
61	liebe	lieb	A	ADJA	Pos|Fem|_|Sg|_|	62	attr	_	_
62	Schwester	Schwester	N	NN	Fem|_|Sg	0	root	_	_
63	,	,	$	$,	_	0	root	_	_
64	und	und	K	KON	_	0	root	_	_
65	bitte	bitten	V	VVFIN	_|Sg|Pres|_	64	cj	_	_
66	,	,	$	$,	_	0	root	_	_
67	tröste	trösten	V	VVFIN	_|Sg|Pres|_	65	kon	_	_
68	auch	auch	A	ADV	_	67	adv	_	_
69	die	die	A	ART	Def|_|_|Pl	71	det	_	_
70	lieben	lieb	A	ADJA	Pos|_|_|Pl|Wk|	71	attr	_	_
71	Eltern	Elter	N	NN	_|_|Pl	67	obja	_	_
72	.	.	$	$.	_	0	root	_	_

