1	Gott	Gott	N	NN	Masc|Nom|Sg	2	subj	39	39
8	Karaffe	Karaffe	N	NN	Fem|Dat|Sg	6	pn	182	182
9	Wasser	Wasser	N	NN	Neut|Dat|Sg	4	objd	_	_
10	und	und	K	KON	_	9	kon	_	_
11	zwei	zwei	C	CARD	_	12	attr	174	174
12	Trinkgläsern	Trinkglas	N	NN	Neut|Dat|Pl	10	cj	174	174
13	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Frau	Frau	N	NN	Fem|_|Sg	0	root	_	_
4	Wo	Wo	P	PWAV	_	5	adv	_	_
5	waren	sein	V	VAFIN	3|Pl|Past|Ind	3	objc	_	_
6	Sie	sie	P	PPER	3|Pl|_|Nom	5	subj	174	174
7	denn	denn	A	ADV	_	5	adv	_	_
8	?	?	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	89	89
4	Im	in	P	APPRART	_|Dat	0	root	_	_
5	...	...	$	$.	_	0	root	_	_
6	Nebenzimmer	Nebenzimmer	N	NN	Neut|_|_	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Schenkt	schenken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	ein	eine	A	ART	Indef|Neut|Nom|Sg	3	det	175	175
3	Glas	Glas	N	NN	Neut|Nom|Sg	1	subj	175	175
4	Wasser	Wasser	N	NN	Neut|Nom|_	3	app	175	175
5	ein	ein	P	PTKVZ	_	1	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	153	153
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	153	153
3	Frau	Frau	N	NN	Fem|_|Sg	9	obja	153	153
4	Jetzt	jetzt	A	ADV	_	3	adv	153	153
5	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	176	176
7	Sie	sie	P	PPER	3|_|_|_	9	obja	175	175
8	etwas	etwas	A	ADV	_	9	adv	_	_
9	fragen	fragen	V	VVINF	_	5	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	Alfred	Alfred	N	NE	Masc|_|Sg	0	root	111	111
12	-	-	$	$(	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	schwören	schwören	V	VVFIN	3|Pl|_|_	0	root	_	_
15	Sie	sie	P	PPER	3|Pl|_|Nom	14	subj	177	177
16	mir	ich	P	PPER	1|Sg|_|Dat	14	objd	176	176
17	,	,	$	$,	_	0	root	_	_
18	daß	daß	K	KOUS	_	24	konj	_	_
19	Sie	sie	P	PPER	3|Pl|_|Nom	24	subj	177	177
20	mir	ich	P	PPER	1|Sg|_|Dat	23	objd	176	176
21	die	die	A	ART	Def|Fem|_|Sg	22	det	362	362
22	Wahrheit	Wahrheit	N	NN	Fem|_|Sg	23	obja	362	362
23	sagen	sagen	V	VVINF	_	24	aux	_	_
24	werden	werden	V	VAFIN	3|Pl|Pres|_	14	objc	_	_
25	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	89	89
4	Ich	ich	P	PPER	1|Sg|_|Nom	5	subj	176	176
5	schwöre	schwören	V	VVFIN	1|Sg|_|_	0	root	_	_
6	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	178	178
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	178	178
3	Frau	Frau	N	NN	Fem|_|Sg	0	root	178	178
4	War	War	N	NE	Fem|_|Sg	3	app	178	178
5	in	in	P	APPR	Dat	3	pp	_	_
6	diesen	diese	A	PDAT	Masc|Dat|Pl	7	det	_	_
7	Räumen	Raum	N	NN	Masc|Dat|Pl	5	pn	_	_
8	schon	schon	A	ADV	_	5	adv	_	_
9	jemals	jemals	A	ADV	_	5	adv	_	_
10	eine	eine	A	ART	Indef|Fem|_|Sg	12	det	_	_
11	andere	andere	A	ADJA	_|Fem|_|Sg|_	12	attr	_	_
12	Frau	Frau	N	NN	Fem|_|Sg	0	root	_	_
13	?	?	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	_	_
4	Aber	aber	K	KON	_	3	kon	_	_
5	Emma	Emma	N	NE	Fem|Nom|Sg	4	cj	134	134
6	-	-	$	$(	_	0	root	_	_
7	dieses	diese	A	PDAT	Neut|Nom|Sg	8	det	136	136
8	Haus	Haus	N	NN	Neut|Nom|Sg	9	subj	136	136
9	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	schon	schon	A	ADV	_	9	adv	_	_
11	zwanzig	zwanzig	C	CARD	_	12	attr	_	_
12	Jahre	Jahr	N	NN	Neut|_|Pl	9	zeit	_	_
13	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	132	132
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	132	132
3	Frau	Frau	N	NN	Fem|_|Sg	0	root	132	132
4	Sie	sie	P	PPER	3|_|_|_	5	obja	132	132
5	wissen	wissen	V	VVINF	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	was	was	P	PWS	Neut|_|Sg	9	obja	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	1	1
9	meine	meinen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	Alfred	Alfred	N	NE	Masc|_|Sg	9	vok	111	111
12	...	...	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	0	root	_	_
2	Ihnen	sie	P	PPER	3|Pl|_|Dat	1	pn	134	134
3	!	!	$	$.	_	0	root	_	_

1	Bei	bei	P	APPR	Dat	0	root	_	_
2	Ihnen	sie	P	PPER	3|Pl|_|Dat	1	pn	134	134
3	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	_	_
4	Mit	mit	P	APPR	Dat	3	pp	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	pn	179	179
6	-	-	$	$(	_	0	root	_	_
7	hier	hier	A	ADV	_	4	adv	_	_
8	-	-	$	$(	_	0	root	_	_
9	Emma	Emma	N	NE	Fem|Nom|Sg	3	app	_	_
10	!	!	$	$.	_	0	root	_	_

