1	Ah	Ah	N	NN	Fem|_|Sg	0	root	498	498
4	aber	aber	A	ADV	_	2	adv	_	_
5	gar	gar	A	ADV	_	6	adv	_	_
6	nichts	nichts	P	PIS	_	2	obja	_	_
7	zum	zu	P	APPRART	Dat	2	pp	_	_
8	Lesen	Lesen	N	NN	Neut|Dat|Sg	7	pn	_	_
9	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	83	83
2	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|Sg	0	root	83	83
3	Der	die	A	ART	Def|Masc|Nom|Sg	5	det	89	89
4	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	89	89
5	Herr	Herr	N	NN	Masc|Nom|Sg	6	subj	89	89
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	halt	halt	A	ADV	_	6	adv	_	_
8	immer	immer	A	ADV	_	9	adv	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	fleißig	fleißig	A	ADJD	Pos|	6	pred	_	_
11	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	89	89
4	überhört	überhören	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
6	vornehm	vornehm	A	ADJD	Pos|	0	root	_	_
7	So	so	A	ADV	_	6	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
10	gut	gut	A	ADJD	Pos|	9	pred	_	_
11	.	.	$	$.	_	0	root	_	_

1	Marie	Marie	N	NE	_|Nom|Sg	2	subj	53	53
2	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	89	89
4	versucht	versuchen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	weiter	weiter	A	ADV	_	4	adv	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	lesen	lesen	V	VVINF	_	4	obji	_	_
8	;	;	$	$.	_	0	root	_	_
9	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	15	neb	_	_
10	bald	bald	A	ADV	_	9	adv	_	_
11	das	die	A	ART	Def|Neut|Nom|Sg	12	det	257	257
12	Buch	Buch	N	NN	Neut|Nom|Sg	9	subj	257	257
13	fallen	fallen	V	VVINF	_	9	obji	_	_
14	,	,	$	$,	_	0	root	_	_
15	klingelt	klingeln	V	VVFIN	_|_|Pres|_	0	root	_	_
16	wieder	wieder	A	ADV	_	15	adv	_	_
17	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	83	83
2	Stubenmädchen	Stubenmädchen	N	NN	Neut|Nom|Sg	3	subj	83	83
3	erscheint	erscheinen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	89	89
4	Sie	sie	P	PPER	3|_|_|_	0	root	83	83
5	,	,	$	$,	_	0	root	_	_
6	Marie	Marie	N	NN	_|_|_	4	app	_	_
7	...	...	$	$.	_	0	root	_	_
8	ja	ja	P	PTKANT	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	was	was	P	PRELS	Neut|_|Sg	13	obja	83	83
11	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	96	96
12	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
13	sagen	sagen	V	VVINF	_	14	aux	_	_
14	wollen	wollen	V	VMINF	_	12	aux	_	_
15	...	...	$	$.	_	0	root	_	_
16	ja	ja	A	ADV	_	0	root	_	_
17	...	...	$	$.	_	0	root	_	_
18	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
19	vielleicht	vielleicht	A	ADV	_	18	adv	_	_
20	ein	eine	A	ART	Indef|Masc|Nom|Sg	21	det	_	_
21	Cognac	Cognac	N	NN	Masc|Nom|Sg	18	subj	_	_
22	zu	zu	P	APPR	Dat	18	pp	_	_
23	Haus	Haus	N	NN	Neut|Dat|Sg	22	pn	90	90
24	?	?	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	_	_
2	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|Sg	0	root	_	_
3	Ja	Ja	N	NN	_|_|_	2	app	_	_
4	,	,	$	$,	_	0	root	_	_
5	der	die	P	PDS	Masc|Nom|Sg	6	subj	_	_
6	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	eingesperrt	einsperren	V	VVPP	_	8	aux	_	_
8	sein	sein	V	VAINF	_	6	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	29	29
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	29	29
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	29	29
4	Na	Na	N	NE	Masc|Nom|Sg	3	app	29	29
5	,	,	$	$,	_	0	root	_	_
6	wer	wer	P	PWS	_|Nom|Sg	7	subj	_	_
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	3	objc	_	_
8	denn	denn	A	ADV	_	7	adv	_	_
9	die	die	A	ART	Def|Masc|_|Pl	10	det	91	91
10	Schlüssel	Schlüssel	N	NN	Masc|_|Pl	7	obja	91	91
11	?	?	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	83	83
2	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|Sg	0	root	83	83
3	Die	die	A	ART	Def|Masc|_|Pl	4	det	91	91
4	Schlüssel	Schlüssel	N	NN	Masc|_|Pl	5	obja	91	91
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	7	det	92	92
7	Lini	Lini	N	NN	Fem|Nom|Sg	5	subj	92	92
8	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	_	_
4	Wer	wer	P	PWS	_|Nom|Sg	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	objc	_	_
6	die	die	A	ART	Def|_|Nom|_	7	det	_	_
7	Lini	Lini	N	NN	_|Nom|_	5	pred	_	_
8	?	?	$	$.	_	0	root	_	_

