1	Ah	Ah	I	ITJ	_	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sitzt	sitzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	104	104
11	wieder	wieder	A	ADV	_	9	adv	_	_
12	dort	dort	A	ADV	_	9	adv	_	_
13	wie	wie	K	KOKOM	_	9	kom	_	_
14	alle	alle	A	PIDAT	_|_|_	15	det	_	_
15	Tag	Tag	N	NN	_|_|Sg	13	cj	_	_
16	'	'	$	$(	_	0	root	_	_
17	und	und	K	KON	_	9	kon	_	_
18	spielt	spielen	V	VVFIN	_|_|Pres|Ind	17	cj	_	_
19	seinen	seine	A	PPOSAT	Masc|_|_	20	det	104	104
20	Tapper	Tapper	N	NN	Masc|_|_	18	obja	_	_
21	mit	mit	P	APPR	Dat	18	pp	_	_
22	dem	die	A	ART	Def|_|Dat|Sg	23	det	158	158
23	Herrn	Herrn	N	NN	_|Dat|Sg	21	pn	158	158
24	Schlesinger	Schlesinger	N	NE	_|Dat|Sg	23	app	158	158
25	und	und	K	KON	_	21	kon	_	_
26	mit	mit	P	APPR	Dat	25	cj	_	_
27	dem	die	A	ART	Def|Masc|Dat|Sg	28	det	_	_
28	Kunstblumenhändler	Kunstblumenhändler	N	NN	Masc|Dat|Sg	26	pn	_	_
29	...	...	$	$.	_	0	root	_	_
30	Nein	nein	P	PTKANT	_	0	root	_	_
31	,	,	$	$,	_	0	root	_	_
32	nein	nein	P	PTKANT	_	0	root	_	_
33	,	,	$	$,	_	0	root	_	_
34	das	die	P	PDS	Neut|Nom|Sg	35	subj	_	_
35	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
36	ja	ja	A	ADV	_	35	adv	_	_
37	nicht	nicht	P	PTKNEG	_	35	adv	_	_
38	,	,	$	$,	_	0	root	_	_
39	das	die	P	PDS	Neut|Nom|Sg	40	subj	_	_
40	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	35	kon	_	_
41	ja	ja	A	ADV	_	40	adv	_	_
42	nicht	nicht	P	PTKNEG	_	40	adv	_	_
43	...	...	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	0	root	122	122
3	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	104	104
4	seh	seh	V	VVINF	_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	hau	hau	A	ADJD	_	0	root	_	_
9	'	'	$	$(	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	0	root	122	122
11	ihn	er	P	PPER	3|Sg|Masc|Acc	0	root	104	104
12	zusammen	zusammen	A	ADV	_	11	adv	_	_
13	...	...	$	$.	_	0	root	_	_
14	Nein	nein	P	PTKANT	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	das	die	P	PDS	Neut|_|Sg	17	obja	_	_
17	darf	dürfen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	122	122
19	ja	ja	A	ADV	_	17	adv	_	_
20	nicht	nicht	P	PTKNEG	_	17	adv	_	_
21	...	...	$	$.	_	0	root	_	_
22	gleich	gleich	A	ADJD	Pos|	23	adv	_	_
23	hätt	hätt	V	VVFIN	1|Sg|_|_	0	root	_	_
24	'	'	$	$(	_	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	23	subj	122	122
26	'	'	$	$(	_	0	root	_	_
27	s	s	P	PPER	_|Pl|_|Nom	29	subj	128	128
28	tun	tun	V	VVINF	_	29	aux	_	_
29	müssen	müssen	V	VMFIN	_|Pl|Pres|_	23	s	_	_
30	,	,	$	$,	_	0	root	_	_
31	gleich	gleich	A	ADJD	Pos|	0	root	_	_
32	!	!	$	$.	_	0	root	_	_
33	...	...	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	6	konj	_	_
2	'	'	$	$(	_	0	root	_	_
3	s	s	P	PPER	_|_|_|Dat	5	objd	128	128
4	nur	nur	A	ADV	_	5	adv	_	_
5	gegangen	gehen	V	VVPP	_	6	aux	_	_
6	wär	wär	V	VAFIN	_	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	122	122
2	werd	werd	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	zum	zu	P	APPRART	Dat	2	pp	_	_
5	Obersten	oberste	A	ADJA	Pos|_|Dat|Sg|Wk|	6	attr	34	34
6	geh	geh	N	NN	_|Dat|Sg	4	pn	34	34
7	'	'	$	$(	_	0	root	34	34
8	n	n	N	NN	_|Dat|Sg	6	app	34	34
9	und	und	K	KON	_	8	kon	_	_
10	ihm	er	P	PPER	3|Sg|_|Dat	9	cj	104	104
11	die	die	A	ART	Def|Fem|_|Sg	12	det	67	67
12	Sache	Sache	N	NN	Fem|_|Sg	2	obja	67	67
13	melden	melden	V	VVINF	_	0	root	_	_
14	...	...	$	$.	_	0	root	_	_
15	ja	ja	P	PTKANT	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	zum	zu	P	APPRART	Dat	0	root	_	_
18	Obersten	Oberst	N	NN	_|Dat|_	17	pn	129	129
19	...	...	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	130	130
2	Oberst	Oberst	N	NN	Masc|Nom|Sg	3	subj	130	130
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	immer	immer	A	ADV	_	5	adv	_	_
5	sehr	sehr	A	ADV	_	6	adv	_	_
6	freundlich	freundlich	A	ADJD	Pos|	3	pred	_	_
7	-	-	$	$(	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	ich	ich	P	PPER	_|Nom|Sg	8	cj	130	130
10	werd	werd	F	FM	_	9	app	_	_
11	'	'	$	$(	_	0	root	_	_
12	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	130	130
13	sagen	sagen	V	VVINF	_	0	root	_	_
14	:	\:	$	$.	_	0	root	_	_
15	Herr	Herr	N	NN	Masc|_|Sg	19	vok	_	_
16	Oberst	Oberst	N	NN	Masc|_|Sg	15	app	_	_
17	,	,	$	$,	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	122	122
19	melde	melden	V	VVFIN	1|Sg|Pres|_	0	root	_	_
20	gehorsamst	gehorsam	A	ADJD	Sup|	19	adv	_	_
21	,	,	$	$,	_	0	root	_	_
22	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	130	130
23	hat	haben	V	VAFIN	3|Sg|Pres|Ind	19	kon	_	_
24	den	die	A	ART	Def|Masc|Acc|Sg	25	det	107	107
25	Griff	Griff	N	NN	Masc|Acc|Sg	26	obja	107	107
26	gehalten	halten	V	VVPP	_	23	aux	_	_
27	,	,	$	$,	_	0	root	_	_
28	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	130	130
29	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
30	ihn	er	P	PPER	3|Sg|Masc|Acc	29	obja	107	107
31	nicht	nicht	P	PTKNEG	_	29	adv	_	_
32	auslassen	auslassen	V	VVINF	_	0	root	_	_
33	es	es	P	PPER	3|Sg|Neut|Nom	34	subj	_	_
34	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
35	genau	genau	A	ADJD	Pos|	36	adv	_	_
36	so	so	A	ADV	_	34	adv	_	_
37	,	,	$	$,	_	0	root	_	_
38	als	als	K	KOKOM	_	0	root	_	_
39	wenn	wenn	K	KOUS	_	44	konj	_	_
40	ich	ich	P	PPER	1|Sg|_|Nom	44	subj	122	122
41	ohne	ohne	P	APPR	Acc	43	pp	_	_
42	Waffe	Waffe	N	NN	Fem|Acc|Sg	41	pn	_	_
43	gewesen	sein	V	VAPP	_	44	aux	_	_
44	wäre	sein	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
45	...	...	$	$.	_	0	root	_	_
46	-	-	$	$(	_	0	root	_	_
47	Was	was	P	PWS	Neut|_|Sg	51	obja	_	_
48	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
49	der	die	A	ART	Def|Masc|Nom|Sg	50	det	130	130
50	Oberst	Oberst	N	NN	Masc|Nom|Sg	48	subj	130	130
51	sagen	sagen	V	VVINF	_	48	aux	_	_
52	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	4	obja	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	130	130
4	sagen	sagen	V	VVINF	_	5	aux	_	_
5	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	da	da	A	ADV	_	4	adv	_	_
4	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	2	cj	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_|Sg|_|Nom	4	subj	130	130
7	ja	ja	A	ADV	_	4	adv	_	_
8	nur	nur	A	ADV	_	4	adv	_	_
9	eins	eins	P	PIS	_	4	obja	_	_
10	:	\:	$	$.	_	0	root	_	_
11	quittieren	quittieren	V	VVFIN	_|Pl|Pres|_	0	root	_	_
12	mit	mit	P	APPR	Dat	11	pp	_	_
13	Schimpf	Schimpf	N	NE	_|Dat|_	12	pn	133	133
14	und	und	K	KON	_	13	kon	_	_
15	Schand	Schand	N	NN	_|Dat|_	14	cj	_	_
16	'	'	$	$(	_	0	root	_	_
17	-	-	$	$(	_	0	root	_	_
18	quittieren	quittieren	V	VVINF	_	0	root	_	_
19	!	!	$	$.	_	0	root	_	_
20	...	...	$	$.	_	0	root	_	_

1	Sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	_	_
3	Freiwillige	Freiwillige	N	NN	Neut|Nom|Sg	1	pred	_	_
4	da	da	A	ADV	_	3	adv	_	_
5	drüben	drüben	C	CARD	_	3	app	_	_
6	?	?	$	$.	_	0	root	_	_
7	...	...	$	$.	_	0	root	_	_

1	Ekelhaft	Ekelhaft	N	NN	_|_|Sg	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	bei	bei	P	APPR	Dat	6	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	131	131
5	Nacht	Nacht	N	NN	Fem|Dat|Sg	3	pn	131	131
6	schau	schau	A	ADJD	Pos|	8	adv	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_	0	root	_	_
9	sie	sie	P	PPER	3|_|_|_	0	root	131	131
10	aus	aus	P	PTKVZ	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	wie	wie	P	PWAV	_	0	root	_	_
13	Offiziere	Offizier	N	NN	Masc|_|Pl	0	root	132	132
14	...	...	$	$.	_	0	root	_	_
15	sie	sie	P	PPER	3|Pl|_|Nom	16	subj	133	133
16	salutieren	salutieren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
17	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wenn	wenn	K	KOUS	_	4	konj	_	_
3	die	die	P	PDS	_|Nom|_	4	subj	_	_
4	wüßten	wüßten	V	VVFIN	_|_|_|_	0	root	_	_
5	-	-	$	$(	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	8	konj	_	_
7	die	die	P	PDS	_|Nom|_	8	subj	_	_
8	wüßten	wüßten	V	VVFIN	_|_|_|_	4	neb	_	_
9	!	!	$	$.	_	0	root	_	_
10	...	...	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Da	da	A	ADV	_	4	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	das	die	A	ART	Def|Neut|Nom|Sg	6	det	_	_
6	Café	Café	N	NN	Neut|Nom|Sg	4	subj	_	_
7	Hochleitner	Hochleitner	N	NE	_|Nom|_	4	pred	134	134
8	...	...	$	$.	_	0	root	_	_
9	Sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
10	jetzt	jetzt	A	ADV	_	9	adv	_	_
11	gewiß	gewiß	A	ADJD	Pos|	9	adv	_	_
12	ein	eine	A	ART	Indef|_|_|Sg	14	det	136	136
13	paar	paar	A	PIDAT	Masc|Nom|Pl	14	attr	136	136
14	Kameraden	Kamerad	N	NN	Masc|Nom|Pl	9	subj	136	136
15	drin	drin	A	ADV	_	9	adv	_	_
16	...	...	$	$.	_	0	root	_	_
17	vielleicht	vielleicht	A	ADV	_	19	adv	_	_
18	auch	auch	A	ADV	_	19	adv	_	_
19	einer	eine	P	PIS	Masc|Nom|Sg	0	root	_	_
20	oder	oder	K	KON	_	19	kon	_	_
21	der	die	A	ART	Def|_|_|_	22	det	_	_
22	andere	andere	A	ADJA	_|_|_	20	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	den	die	P	PRELS	Masc|Acc|Sg	26	obja	134	134
25	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	135	135
26	kenn	kenn	V	VVFIN	1|Sg|_|_	19	rel	_	_
27	'	'	$	$(	_	0	root	_	_
28	...	...	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	0	root	135	135
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_|Pl|_|Nom	8	subj	136	136
5	dem	die	A	ART	Def|_|Dat|Sg	7	det	_	_
6	ersten	erst	A	ADJA	_|_|Dat|Sg|Wk|	7	attr	_	_
7	Besten	Beste	N	NN	_|Dat|Sg	8	objd	_	_
8	erzählen	erzählen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
9	möcht	möcht	N	NE	_	8	obja	94	94
10	'	'	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	aber	aber	K	KON	_	0	root	_	_
13	so	so	A	ADV	_	12	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	als	als	K	KOKOM	_	21	kom	_	_
16	wär	wär	F	FM	_	15	cj	_	_
17	'	'	$	$(	_	0	root	_	_
18	s	s	P	PPER	_|_|_|Nom	21	subj	136	136
19	einem	eine	A	ART	Indef|_|Dat|Sg	20	det	_	_
20	andern	andern	A	ADJA	_|Dat|Sg	21	objd	_	_
21	passiert	passieren	V	VVFIN	_|_|Pres|Ind	0	root	_	_
22	?	?	$	$.	_	0	root	_	_
23	...	...	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	135	135
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	schon	schon	A	ADV	_	3	adv	_	_
6	ganz	ganz	A	ADV	_	7	adv	_	_
7	irrsinnig	irrsinnig	A	ADJD	Pos|	3	pred	_	_
8	...	...	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	lauf	lauf	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	135	135
5	denn	denn	A	ADV	_	2	adv	_	_
6	da	da	A	ADV	_	2	adv	_	_
7	herum	herum	P	PTKVZ	_	2	avz	_	_
8	?	?	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	2	obja	_	_
2	tu	tun	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	135	135
5	denn	denn	A	ADV	_	2	adv	_	_
6	auf	auf	P	APPR	Dat	2	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	137	137
8	Straße	Straß	N	NN	Fem|Dat|Sg	6	pn	137	137
9	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	aber	aber	K	KON	_	0	root	_	_
5	wo	wo	P	PWAV	_	6	adv	_	_
6	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	4	cj	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	135	135
8	denn	denn	A	ADV	_	6	adv	_	_
9	hin	hin	P	PTKVZ	_	6	avz	_	_
10	?	?	$	$.	_	0	root	_	_

1	Hab	Hab	N	NE	_	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	135	135
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	zum	zu	P	APPRART	Dat	7	objp	_	_
6	Leidinger	Leiding	N	NN	_|Dat|_	5	pn	_	_
7	wollen	wollen	V	VMFIN	_|Pl|Pres|_	0	root	_	_
8	?	?	$	$.	_	0	root	_	_

1	Haha	Haha	N	NE	_	6	vok	139	139
2	,	,	$	$,	_	0	root	_	_
3	unter	unter	P	APPR	_	5	pp	_	_
4	Menschen	Mensch	N	NN	Masc|_|_	3	pn	163	163
5	mich	ich	P	PPER	1|Sg|_|Acc	6	obja	135	135
6	niedersetzen	niedersetzen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
7	...	...	$	$.	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	135	135
9	glaub	glaub	V	VVFIN	1|Sg|_|_	0	root	_	_
10	'	'	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	ein	eine	A	ART	Indef|_|_|Sg	13	part	_	_
13	jeder	jede	P	PIS	_|_|Sg	0	root	_	_
14	müßt	müssen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
15	'	'	$	$(	_	0	root	_	_
16	mir	ich	P	PPER	1|Sg|_|Dat	14	objd	135	135
17	'	'	$	$(	_	0	root	_	_
18	s	s	F	FM	_	14	obja	_	_
19	anseh	anseh	F	FM	_	18	app	_	_
20	'	'	$	$(	_	0	root	_	_
21	n	n	N	NN	_	19	app	_	_
22	...	...	$	$.	_	0	root	_	_
23	Ja	ja	P	PTKANT	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	aber	aber	K	KON	_	0	root	_	_
26	irgendwas	irgendwas	P	PIS	_|Nom|Sg	27	subj	_	_
27	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	25	cj	_	_
28	doch	doch	A	ADV	_	27	adv	_	_
29	gescheh	gescheh	C	CARD	_	31	attr	_	_
30	'	'	$	$(	_	0	root	_	_
31	n	n	N	NN	_|_|Pl	27	obja	_	_
32	...	...	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	2	subj	_	_
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	gescheh	gescheh	C	CARD	_	6	attr	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	N	NN	_|_|Pl	2	obja	_	_
7	?	?	$	$.	_	0	root	_	_
8	...	...	$	$.	_	0	root	_	_

1	Nichts	nichts	P	PIS	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	nichts	nichts	P	PIS	_	0	root	_	_
4	-	-	$	$(	_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	6	expl	_	_
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	ja	ja	A	ADV	_	6	adv	_	_
8	niemand	niemand	P	PIS	_|Nom|Sg	6	subj	_	_
9	was	was	P	PWS	Neut|Nom|Sg	10	subj	_	_
10	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	6	objc	_	_
11	...	...	$	$.	_	0	root	_	_
12	es	es	P	PPER	3|Sg|Neut|_	13	expl	_	_
13	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
14	ja	ja	A	ADV	_	13	adv	_	_
15	niemand	niemand	P	PIS	_|Nom|Sg	13	subj	_	_
16	was	was	P	PWS	Neut|_|Sg	0	root	_	_
17	...	...	$	$.	_	0	root	_	_
18	in	in	P	APPR	Dat	21	pp	_	_
19	dem	die	A	ART	Def|_|Dat|Sg	20	det	138	138
20	Moment	Moment	N	NN	_|Dat|Sg	18	pn	138	138
21	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
22	niemand	niemand	P	PIS	_|Nom|Sg	21	subj	_	_
23	was	was	P	PWS	Neut|_|Sg	0	root	_	_
24	...	...	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	9	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	135	135
3	jetzt	jetzt	A	ADV	_	9	adv	_	_
4	zu	zu	P	APPR	Dat	9	objp	_	_
5	ihm	er	P	PPER	3|Sg|_|Dat	4	pn	138	138
6	in	in	P	APPR	Acc	5	pp	_	_
7	die	die	A	ART	Def|Fem|Acc|Sg	8	det	383	383
8	Wohnung	Wohnung	N	NN	Fem|Acc|Sg	6	pn	383	383
9	ginge	gehen	V	VVFIN	1|Sg|Past|Subj	0	root	_	_
10	und	und	K	KON	_	9	kon	_	_
11	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	138	138
12	beschwören	beschwören	V	VVINF	_	13	aux	_	_
13	möchte	mögen	V	VMFIN	_|Sg|Past|Subj	10	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	20	konj	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	138	138
17	'	'	$	$(	_	0	root	_	_
18	s	s	P	PPER	_	20	obja	139	139
19	niemandem	niemand	P	PIS	_|Dat|Sg	20	objd	_	_
20	erzählt	erzählen	V	VVFIN	3|Sg|Pres|Ind	13	subjc	_	_
21	?	?	$	$.	_	0	root	_	_
22	...	...	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ah	Ah	N	NN	Fem|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	lieber	lieb	A	ADJD	Comp|	5	adv	_	_
5	gleich	gleich	A	ADJD	Pos|	7	adv	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
7	Kugel	Kugel	N	NN	Fem|_|Sg	2	app	_	_
8	vor	vor	P	APPR	Acc	7	pp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	140	140
10	Kopf	Kopf	N	NN	Masc|Acc|Sg	8	pn	140	140
11	,	,	$	$,	_	0	root	_	_
12	als	als	K	KOKOM	_	2	kom	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	was	was	P	PIS	_	12	cj	_	_
15	!	!	$	$.	_	0	root	_	_
16	...	...	$	$.	_	0	root	_	_

