1	Jugend	Jugend	N	NN	Fem|Nom|Sg	10	subj	1100	1100
11	Palästen	Palast	N	NN	Masc|Dat|Pl	10	pn	1204	1204
12	hin	hin	P	PTKVZ	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	in	in	P	APPR	_	21	pp	_	_
15	deren	die	A	PRELAT	Masc|_|_	16	det	1058	1058
16	Schatten	Schatten	N	NN	Masc|_|_	14	pn	1058	1058
17	er	er	P	PPER	3|Sg|Masc|Nom	21	subj	1056	1056
18	nun	nun	A	ADV	_	21	adv	_	_
19	wieder	wieder	A	ADV	_	21	adv	_	_
20	heimisch	heimisch	A	ADJD	Pos|	21	pred	_	_
21	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	unter	unter	P	APPR	_	21	pp	_	_
24	geschwungenen	geschwungen	A	ADJA	Pos|Fem|_|Pl|_|	25	attr	_	_
25	Brücken	Brücke	N	NN	Fem|_|Pl	23	pn	_	_
26	,	,	$	$,	_	0	root	_	_
27	über	über	P	APPR	Acc	21	pp	_	_
28	die	die	A	ART	Def|_|Acc|Pl	30	det	_	_
29	verdämmernde	verdämmernd	A	ADJA	Pos|_|Acc|Pl|St|<PPRES	30	attr	_	_
30	Gestalten	Gestalt	N	NN	_|Acc|Pl	27	pn	_	_
31	huschten	huschen	V	VVFIN	_|Pl|Past|_	0	root	_	_
32	;	;	$	$.	_	0	root	_	_
33	manche	manche	P	PIS	_|Nom|Pl	34	subj	_	_
34	winkten	winken	V	VVFIN	3|Pl|Past|_	0	root	_	_
35	über	über	P	APPR	Acc	34	pp	_	_
36	die	die	A	ART	Def|Fem|Acc|Sg	37	det	542	542
37	Brüstung	Brüstung	N	NN	Fem|Acc|Sg	35	pn	542	542
38	ihnen	sie	P	PPER	3|Pl|_|Dat	34	objd	995	995
39	entgegen	entgegen	P	PTKVZ	_	34	avz	_	_
40	und	und	K	KON	_	34	kon	_	_
41	waren	sein	V	VAFIN	_|Pl|Past|Ind	40	cj	_	_
42	wieder	wieder	A	ADV	_	43	adv	_	_
43	verschwunden	verschwinden	V	VVPP	_	41	aux	_	_
44	,	,	$	$,	_	0	root	_	_
45	eh	eh	P	PWAV	_	50	adv	_	_
46	'	'	$	$(	_	0	root	_	_
47	man	man	P	PIS	_|Nom|Sg	50	subj	_	_
48	sie	sie	P	PPER	3|_|_|_	50	obja	542	542
49	recht	recht	A	ADJD	Pos|	50	adv	_	_
50	erblickt	erblicken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
51	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	legte	legen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	1067	1067
4	Gondel	Gondel	N	NN	Fem|Nom|Sg	2	subj	1067	1067
5	an	an	P	PTKVZ	_	2	avz	_	_
6	;	;	$	$.	_	0	root	_	_
7	Marmorstufen	Marmorstufe	N	NN	Fem|Nom|Pl	8	subj	_	_
8	führten	führen	V	VVFIN	3|Pl|Past|_	0	root	_	_
9	in	in	P	APPR	Acc	8	objp	_	_
10	das	die	A	ART	Def|Neut|Acc|Sg	12	det	_	_
11	prächtige	prächtig	A	ADJA	Pos|Neut|Acc|Sg|Wk|	12	attr	_	_
12	Haus	Haus	N	NN	Neut|Acc|Sg	9	pn	_	_
13	des	die	A	ART	Def|Masc|Gen|Sg	14	det	719	719
14	Senators	Senator	N	NN	Masc|Gen|Sg	12	gmod	719	719
15	Bragadino	Bragadino	N	NE	Masc|Gen|Sg	14	app	719	719
16	;	;	$	$.	_	0	root	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	18	subj	_	_
18	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
19	als	als	K	KOKOM	_	23	kom	_	_
20	das	die	A	ART	Def|Neut|_|Sg	21	det	_	_
21	einzige	einzig	A	ADJA	Neut|_|Sg	19	cj	_	_
22	festlich	festlich	A	ADJD	Pos|	23	adv	_	_
23	beleuchtet	beleuchten	V	VVPP	_	18	aux	_	_
24	;	;	$	$.	_	0	root	_	_
25	treppauf	treppauf	A	ADV	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	treppab	treppab	A	ADV	_	28	adv	_	_
28	liefen	laufen	V	VVFIN	3|Pl|Past|_	0	root	_	_
29	Vermummte	Vermummte	N	NN	_|Nom|Pl	28	subj	_	_
30	-	-	$	$(	_	0	root	_	_
31	manche	manche	P	PIS	_|Nom|Pl	32	subj	_	_
32	blieben	bleiben	V	VVFIN	3|Pl|Past|_	28	kon	_	_
33	neugierig	neugierig	A	ADJD	Pos|	32	pred	_	_
34	stehen	stehen	V	VVINF	_	32	obji	_	_
35	,	,	$	$,	_	0	root	_	_
36	aber	aber	K	KON	_	0	root	_	_
37	wer	wer	P	PWS	_|Nom|Sg	38	subj	_	_
38	konnte	können	V	VMFIN	3|Sg|Past|Ind	36	cj	_	_
39	Casanova	Casanova	N	NN	Masc|_|Sg	45	obja	11	11
40	und	und	K	KON	_	39	kon	_	_
41	Marcolina	Marcolina	N	NN	Masc|_|Sg	40	cj	119	119
42	hinter	hinter	P	APPR	_	45	pp	_	_
43	ihren	ihre	A	PPOSAT	Fem|_|Pl	44	det	119	119
44	Masken	Maske	N	NN	Fem|_|Pl	42	pn	_	_
45	erkennen	erkennen	V	VVINF	_	38	aux	_	_
46	?	?	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1056	1056
2	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	ihr	ihr	P	PPER	3|Sg|Fem|Dat	3	pn	119	119
5	in	in	P	APPR	Acc	2	objp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	454	454
7	Saal	Saal	N	NN	Masc|Acc|Sg	5	pn	454	454
8	.	.	$	$.	_	0	root	_	_

1	Hier	hier	A	ADV	_	2	adv	_	_
2	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|Nom|Sg	5	det	_	_
4	großes	groß	A	ADJA	Pos|Neut|Nom|Sg|St|	5	attr	_	_
5	Spiel	Spiel	N	NN	Neut|Nom|Sg	2	subj	_	_
6	gespielt	spielen	V	VVPP	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Alle	alle	A	PIDAT	Masc|Nom|Pl	2	det	1059	1059
2	Senatoren	Senator	N	NN	Masc|Nom|Pl	11	subj	1059	1059
3	,	,	$	$,	_	0	root	1059	1059
4	auch	auch	A	ADV	_	5	adv	719	719
5	Bragadino	Bragadino	N	NE	Masc|Nom|Pl	2	kon	719	719
6	,	,	$	$,	_	0	root	719	719
7	in	in	P	APPR	Dat	5	pp	719	719
8	ihren	ihre	A	PPOSAT	Masc|Dat|Pl	9	det	1059	1059
9	Purpurmänteln	Purpurmantel	N	NN	Masc|Dat|Pl	7	pn	_	_
10	,	,	$	$,	_	0	root	_	_
11	reihten	reihen	V	VVFIN	3|Pl|Past|_	0	root	_	_
12	sich	sie	P	PRF	3|_|_	11	obja	_	_
13	um	um	P	APPR	Acc	11	pp	_	_
14	den	die	A	ART	Def|Masc|Acc|Sg	15	det	369	369
15	Tisch	Tisch	N	NN	Masc|Acc|Sg	13	pn	369	369
16	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	3	kom	_	_
2	Casanova	Casanova	N	NN	Masc|_|Sg	1	cj	11	11
3	eintrat	eintreten	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	flüsterten	flüstern	V	VVFIN	3|Pl|Past|_	3	s	_	_
6	sie	sie	P	PPER	3|Pl|_|Nom	5	subj	_	_
7	alle	alle	P	PIS	_|Nom|_	6	app	_	_
8	seinen	seine	A	PPOSAT	Masc|_|_	9	det	11	11
9	Namen	Name	N	NN	Masc|_|_	5	obja	_	_
10	wie	wie	K	KOKOM	_	5	kom	_	_
11	im	in	P	APPRART	Dat	10	cj	_	_
12	höchsten	hoch	A	ADJA	Sup|_|Dat|_|_|	13	attr	1060	1060
13	Schrecken	Schreck	N	NN	_|Dat|_	11	pn	1060	1060
14	;	;	$	$.	_	0	root	_	_
15	denn	denn	K	KON	_	0	root	_	_
16	am	an	P	APPRART	Dat	23	pp	_	_
17	Blitz	Blitz	N	NN	Masc|Dat|Sg	16	pn	_	_
18	seiner	seine	A	PPOSAT	Neut|Gen|Pl	19	det	1060	1060
19	Augen	Auge	N	NN	Neut|Gen|Pl	17	gmod	_	_
20	hinter	hinter	P	APPR	Dat	17	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	1061	1061
22	Maske	Maske	N	NN	Fem|Dat|Sg	20	pn	1061	1061
23	hatten	haben	V	VAFIN	3|Pl|Past|Ind	15	cj	_	_
24	sie	sie	P	PPER	3|Pl|_|Nom	23	subj	1060	1060
25	ihn	er	P	PPER	3|Sg|Masc|Acc	26	obja	1056	1056
26	erkannt	erkennen	V	VVPP	_	23	aux	_	_
27	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1056	1056
2	setzte	setzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	nieder	nieder	P	PTKVZ	_	2	avz	_	_
6	;	;	$	$.	_	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	1056	1056
8	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	keine	keine	A	PIAT	Fem|_|Pl	10	det	_	_
10	Karten	Karte	N	NN	Fem|_|Pl	8	obja	_	_
11	,	,	$	$,	_	0	root	_	_
12	aber	aber	K	KON	_	8	kon	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	1056	1056
14	spielte	spielen	V	VVFIN	3|Sg|Past|_	12	cj	_	_
15	mit	mit	P	PTKVZ	_	14	avz	_	_
16	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1056	1056
2	gewann	gewinnen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	1056	1056
5	gewann	gewinnen	V	VVFIN	3|Sg|Past|Ind	2	kon	_	_
6	alles	alle	A	PIDAT	Neut|_|Sg	7	det	1062	1062
7	Gold	Gold	N	NN	Neut|_|Sg	5	obja	1062	1062
8	,	,	$	$,	_	0	root	1062	1062
9	das	die	P	PRELS	Neut|Nom|Sg	13	subj	1062	1062
10	auf	auf	P	APPR	Dat	13	pp	_	_
11	dem	die	A	ART	Def|Masc|Dat|Sg	12	det	369	369
12	Tische	Tisch	N	NN	Masc|Dat|Sg	10	pn	369	369
13	lag	liegen	V	VVFIN	3|Sg|Past|Ind	7	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	das	die	P	PDS	Neut|Nom|Sg	16	subj	_	_
16	war	sein	V	VAFIN	3|Sg|Past|Ind	5	kon	_	_
17	aber	aber	A	ADV	_	16	adv	_	_
18	zu	zu	P	APPR	Dat	16	pp	_	_
19	wenig	wenig	P	PIS	_|Dat|_	18	pn	_	_
20	;	;	$	$.	_	0	root	_	_
21	die	die	A	ART	Def|Masc|Nom|Pl	22	det	734	734
22	Senatoren	Senator	N	NN	Masc|Nom|Pl	23	subj	734	734
23	mußten	müssen	V	VMFIN	3|Pl|Past|Ind	0	root	_	_
24	Wechsel	Wechsel	N	NN	Masc|_|_	25	obja	_	_
25	ausstellen	ausstellen	V	VVINF	_	23	aux	_	_
26	;	;	$	$.	_	0	root	_	_
27	sie	sie	P	PPER	3|Pl|_|Nom	28	subj	1060	1060
28	verloren	verlieren	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
29	ihr	ihre	A	PPOSAT	Neut|_|Sg	30	det	1060	1060
30	Vermögen	Vermögen	N	NN	Neut|_|Sg	28	obja	_	_
31	,	,	$	$,	_	0	root	_	_
32	ihre	ihre	A	PPOSAT	Masc|_|Pl	33	det	1060	1060
33	Paläste	Palast	N	NN	Masc|_|Pl	30	kon	_	_
34	,	,	$	$,	_	0	root	_	_
35	ihre	ihre	A	PPOSAT	Masc|_|Pl	36	det	1060	1060
36	Purpurmäntel	Purpurmantel	N	NN	Masc|_|Pl	33	kon	_	_
37	,	,	$	$,	_	0	root	_	_
38	-	-	$	$(	_	0	root	_	_
39	sie	sie	P	PPER	3|Pl|_|Nom	40	subj	1060	1060
40	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
41	Bettler	Bettler	N	NN	Masc|Nom|_	40	pred	1063	1063
42	,	,	$	$,	_	0	root	_	_
43	sie	sie	P	PPER	3|Pl|_|Nom	44	subj	1060	1060
44	krochen	kriechen	V	VVFIN	3|Pl|Past|Ind	40	kon	_	_
45	in	in	P	APPR	_	44	pp	_	_
46	Lumpen	Lump	N	NN	Masc|_|_	45	pn	_	_
47	um	um	P	APPR	Acc	44	pp	_	_
48	ihn	er	P	PPER	3|Sg|Masc|Acc	47	pn	1056	1056
49	her	her	P	PTKVZ	_	44	avz	_	_
50	,	,	$	$,	_	0	root	_	_
51	sie	sie	P	PPER	3|Pl|_|Nom	52	subj	1060	1060
52	küßten	küßten	V	VVFIN	3|Pl|_|_	44	kon	_	_
53	ihm	er	P	PPER	3|Sg|_|Dat	52	objd	1056	1056
54	die	die	A	ART	Def|Fem|_|Pl	55	det	41	41
55	Hände	Hand	N	NN	Fem|_|Pl	52	obja	41	41
56	,	,	$	$,	_	0	root	_	_
57	und	und	K	KON	_	0	root	_	_
58	daneben	daneben	P	PROAV	_	57	cj	_	_
59	,	,	$	$,	_	0	root	_	_
60	in	in	P	APPR	Dat	65	pp	_	_
61	einem	eine	A	ART	Indef|Masc|Dat|Sg	63	det	_	_
62	dunkelroten	dunkelrot	A	ADJA	Pos|Masc|Dat|Sg|Wk|	63	attr	_	_
63	Saale	Saal	N	NN	Masc|Dat|Sg	60	pn	_	_
64	,	,	$	$,	_	0	root	_	_
65	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
66	Musik	Musik	N	NN	Fem|Nom|Sg	65	subj	_	_
67	und	und	K	KON	_	66	kon	_	_
68	Tanz	Tanz	N	NN	Masc|Nom|Sg	67	cj	_	_
69	.	.	$	$.	_	0	root	_	_

1	Casanova	Casanova	N	NN	Masc|Nom|Sg	2	subj	11	11
2	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
3	mit	mit	P	APPR	Dat	5	pp	_	_
4	Marcolina	Marcolina	N	NE	_|Dat|_	3	pn	119	119
5	tanzen	tanzen	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	doch	doch	K	KON	_	2	kon	_	_
8	die	die	P	PDS	Fem|Nom|Sg	9	subj	_	_
9	war	sein	V	VAFIN	_|Sg|Past|Ind	7	cj	_	_
10	fort	fort	P	PTKVZ	_	9	avz	_	_
11	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	1064	1064
2	Senatoren	Senator	N	NN	Masc|Nom|Pl	6	subj	1064	1064
3	in	in	P	APPR	Dat	2	pp	1064	1064
4	ihren	ihre	A	PPOSAT	Masc|Dat|Pl	5	det	1064	1064
5	Purpurmänteln	Purpurmantel	N	NN	Masc|Dat|Pl	3	pn	_	_
6	saßen	sitzen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
7	wieder	wieder	A	ADV	_	6	adv	_	_
8	um	um	P	APPR	Acc	6	pp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	369	369
10	Tisch	Tisch	N	NN	Masc|Acc|Sg	8	pn	369	369
11	wie	wie	K	KOKOM	_	6	kom	_	_
12	vorher	vorher	A	ADV	_	11	cj	_	_
13	;	;	$	$.	_	0	root	_	_
14	aber	aber	K	KON	_	16	koord	_	_
15	nun	nun	A	ADV	_	16	adv	_	_
16	wußte	wußte	V	VVFIN	_|Sg|_|_	0	root	_	_
17	Casanova	Casanova	N	NN	Masc|Nom|Sg	16	subj	45	45
18	,	,	$	$,	_	0	root	45	45
19	daß	daß	K	KOUS	_	23	konj	45	45
20	es	es	P	PPER	3|Sg|Neut|Nom	23	subj	45	45
21	nicht	nicht	P	PTKNEG	_	23	adv	45	45
22	Karten	Karte	N	NN	_|Nom|_	23	pred	1065	1065
23	waren	sein	V	VAFIN	_|Pl|Past|Ind	17	objc	_	_
24	,	,	$	$,	_	0	root	_	_
25	sondern	sondern	K	KON	_	17	kon	_	_
26	Angeklagte	Angeklagte	N	NN	_|Nom|_	25	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	Verbrecher	Verbrecher	N	NN	Masc|Nom|_	26	kon	_	_
29	und	und	K	KON	_	28	kon	_	_
30	Unschuldige	Unschuldige	N	NN	_|Nom|_	29	cj	_	_
31	,	,	$	$,	_	0	root	_	_
32	um	um	K	KOUI	_	0	root	_	_
33	deren	die	A	PDAT	Neut|Dat|Sg	34	det	376	376
34	Schicksal	Schicksal	N	NN	Neut|Dat|Sg	36	objd	376	376
35	es	es	P	PPER	3|Sg|Neut|Nom	36	subj	_	_
36	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
37	.	.	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	Marcolina	Marcolina	N	NE	_|Nom|Sg	2	subj	119	119
4	?	?	$	$.	_	0	root	_	_

1	Hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	1	subj	45	45
3	nicht	nicht	P	PTKNEG	_	9	adv	_	_
4	die	die	A	ART	Def|Fem|_|Sg	6	det	546	546
5	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	6	attr	546	546
6	Zeit	Zeit	N	NN	Fem|_|Sg	9	zeit	546	546
7	ihr	ihre	A	PPOSAT	Neut|_|Sg	8	det	546	546
8	Handgelenk	Handgelenk	N	NN	Neut|_|Sg	9	obja	_	_
9	umklammert	umklammern	V	VVPP	_	1	aux	_	_
10	gehalten	halten	V	VVPP	_	0	root	_	_
11	?	?	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	45	45
2	stürzte	stürzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Pl	4	det	1066	1066
4	Treppen	Treppe	N	NN	Fem|_|Pl	2	obja	1066	1066
5	hinunter	hinunter	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	A	ART	Def|Fem|Nom|Sg	8	det	1067	1067
8	Gondel	Gondel	N	NN	Fem|Nom|Sg	9	subj	1067	1067
9	wartete	warten	V	VVFIN	3|Sg|Past|_	2	kon	_	_
10	;	;	$	$.	_	0	root	_	_
11	nur	nur	A	ADV	_	12	adv	_	_
12	weiter	weiter	A	ADV	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	weiter	weiter	A	ADV	_	22	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	durch	durch	P	APPR	Acc	22	pp	_	_
17	das	die	A	ART	Def|Neut|Acc|Sg	18	det	_	_
18	Gewirr	Gewirr	N	NN	Neut|Acc|Sg	16	pn	_	_
19	von	von	P	APPR	Dat	18	pp	_	_
20	Kanälen	Kanal	N	NN	Masc|Dat|Pl	19	pn	_	_
21	,	,	$	$,	_	0	root	_	_
22	natürlich	natürlich	A	ADJD	Pos|	23	adv	_	_
23	wußte	wußte	V	VVFIN	_|Sg|_|_	0	root	_	_
24	der	die	A	ART	Def|Masc|Nom|Sg	25	det	_	_
25	Ruderer	Ruderer	N	NN	Masc|Nom|Sg	23	subj	_	_
26	,	,	$	$,	_	0	root	_	_
27	wo	wo	P	PWAV	_	29	adv	_	_
28	Marcolina	Marcolina	N	NE	_|Nom|Sg	29	subj	119	119
29	weilte	weilen	V	VVFIN	3|Sg|Past|_	25	rel	_	_
30	;	;	$	$.	_	0	root	_	_
31	warum	warum	P	PWAV	_	33	adv	_	_
32	aber	aber	A	ADV	_	33	adv	_	_
33	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
34	auch	auch	A	ADV	_	35	adv	_	_
35	er	er	P	PPER	3|Sg|Masc|Nom	33	subj	45	45
36	maskiert	maskieren	V	VVPP	_	33	aux	_	_
37	?	?	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	früher	früh	A	ADJD	_|	6	adv	_	_
4	nicht	nicht	P	PTKNEG	_	6	adv	_	_
5	üblich	üblich	A	ADJD	Pos|	6	pred	_	_
6	gewesen	sein	V	VAPP	_	2	aux	_	_
7	in	in	P	APPR	_	6	pp	_	_
8	Venedig	Venedig	N	NE	Neut|_|Sg	7	pn	6	6
9	.	.	$	$.	_	0	root	_	_

1	Casanova	Casanova	N	NN	Masc|Nom|Sg	2	subj	11	11
2	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	6	obja	45	45
4	zur	zu	P	APPRART	Dat	6	pp	_	_
5	Rede	Rede	N	NN	Fem|Dat|Sg	4	pn	550	550
6	stellen	stellen	V	VVINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	aber	aber	K	KON	_	2	kon	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	45	45
10	wagte	wagen	V	VVFIN	3|Sg|Past|_	8	cj	_	_
11	es	es	P	PPER	3|Sg|Neut|_	10	obja	_	_
12	nicht	nicht	P	PTKNEG	_	10	adv	_	_
13	.	.	$	$.	_	0	root	_	_

1	Wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	1	subj	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	feig	feig	A	ADJD	Pos|	1	pred	_	_
5	als	als	K	KOKOM	_	1	kom	_	_
6	alter	alt	A	ADJA	Pos|Masc|_|_|St|	7	attr	_	_
7	Mann	Mann	N	NN	Masc|_|_	5	cj	_	_
8	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	immer	immer	A	ADV	_	3	adv	_	_
3	weiter	weiter	A	ADV	_	1	cj	_	_
4	-	-	$	$(	_	0	root	_	_
5	was	was	P	PWS	Neut|Nom|Sg	15	pred	_	_
6	für	für	P	APPR	Acc	9	pp	_	_
7	eine	eine	A	ART	Indef|Fem|Acc|Sg	8	det	_	_
8	Riesenstadt	Riesenstadt	N	NN	Fem|Acc|Sg	6	pn	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
10	Venedig	Venedig	N	NE	Neut|Nom|Sg	9	subj	6	6
11	in	in	P	APPR	Dat	15	pp	_	_
12	diesen	diese	A	PDAT	Neut|Dat|Pl	14	det	_	_
13	fünfundzwanzig	fünfundzwanzig	C	CARD	_	14	attr	_	_
14	Jahren	Jahr	N	NN	Neut|Dat|Pl	11	pn	_	_
15	geworden	werden	V	VAPP	_	9	aux	_	_
16	!	!	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	endlich	endlich	A	ADJD	Pos|	3	adv	_	_
3	wichen	weichen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	die	die	A	ART	Def|_|Nom|Pl	5	det	1005	1005
5	Häuser	Haus	N	NN	_|Nom|Pl	3	subj	1005	1005
6	zurück	zurück	P	PTKVZ	_	3	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	breiter	breit	A	ADJD	Comp|	9	pred	_	_
9	wurde	werden	V	VAFIN	3|Sg|Past|Ind	3	kon	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	1068	1068
11	Kanal	Kanal	N	NN	Masc|Nom|Sg	9	subj	1068	1068
12	-	-	$	$(	_	0	root	_	_
13	zwischen	zwischen	P	APPR	_	15	pp	_	_
14	Inseln	Insel	N	NN	Fem|_|Pl	13	pn	_	_
15	glitten	gleiten	V	VVFIN	3|Pl|Past|_	9	kon	_	_
16	sie	sie	P	PPER	3|Pl|_|Nom	15	subj	1005	1005
17	hin	hin	P	PTKVZ	_	15	avz	_	_
18	,	,	$	$,	_	0	root	_	_
19	dort	dort	A	ADV	_	20	adv	_	_
20	ragten	ragen	V	VVFIN	3|Pl|Past|_	15	kon	_	_
21	die	die	A	ART	Def|_|Nom|Pl	22	det	_	_
22	Mauern	Mauer	N	NN	_|Nom|Pl	20	subj	_	_
23	des	die	A	ART	Def|_|Gen|Sg	24	det	_	_
24	Klosters	Kloster	N	NN	_|Gen|Sg	22	gmod	_	_
25	von	von	P	APPR	Dat	24	pp	_	_
26	Murano	Murano	N	NE	Neut|Dat|Sg	25	pn	528	528
27	,	,	$	$,	_	0	root	_	_
28	in	in	P	APPR	Acc	0	root	_	_
29	das	die	A	ART	Def|Neut|Acc|Sg	30	det	119	119
30	Marcolina	Marcolina	N	NN	Neut|Acc|Sg	28	pn	119	119
31	sich	sie	P	PRF	3|_|_	32	obja	_	_
32	geflüchtet	flüchten	V	VVPP	_	33	aux	_	_
33	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	Fort	fort	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	1067	1067
4	Gondel	Gondel	N	NN	Fem|Nom|Sg	2	subj	1067	1067
5	,	,	$	$,	_	0	root	_	_
6	-	-	$	$(	_	0	root	_	_
7	jetzt	jetzt	A	ADV	_	8	adv	_	_
8	hieß	heißen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
10	schwimmen	schwimmen	V	VVINF	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	wie	wie	P	PWAV	_	14	adv	_	_
14	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	das	die	P	PDS	Neut|Nom|Sg	14	subj	_	_
16	schön	schön	A	ADJD	Pos|	14	pred	_	_
17	!	!	$	$.	_	0	root	_	_

1	Indes	indes	A	ADV	_	2	adv	_	_
2	spielten	spielen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	freilich	freilich	A	ADV	_	2	adv	_	_
4	die	die	A	ART	Def|Neut|Nom|Pl	5	det	115	115
5	Kinder	Kind	N	NN	Neut|Nom|Pl	2	subj	115	115
6	in	in	P	APPR	_	2	pp	_	_
7	Venedig	Venedig	N	NE	Neut|_|Sg	6	pn	6	6
8	mit	mit	P	APPR	Dat	2	pp	_	_
9	seinen	seine	A	PPOSAT	_|Dat|Pl	10	det	528	528
10	Goldstücken	Goldstück	N	NN	_|Dat|Pl	8	pn	_	_
11	;	;	$	$.	_	0	root	_	_
12	aber	aber	K	KON	_	0	root	_	_
13	was	was	P	PWS	Neut|Nom|Sg	14	subj	_	_
14	lag	liegen	V	VVFIN	3|Sg|Past|Ind	12	cj	_	_
15	ihm	er	P	PPER	3|Sg|_|Dat	14	objd	1068	1068
16	an	an	P	APPR	_	14	objp	_	_
17	Gold	Gold	N	NN	Neut|_|Sg	16	pn	_	_
