1	Fridolins	Fridolins	N	NE	_|Gen|_	2	gmod	99	99
31	ja	ja	P	PTKANT	_	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	er	er	P	PPER	3|Sg|Masc|Nom	0	root	9	9
34	.	.	$	$.	_	0	root	_	_
35	«	«	$	$(	_	0	root	_	_
36	Die	die	A	ART	Def|_|_|_	37	det	_	_
37	andere	andere	A	ADJA	_|_|_	38	subj	_	_
38	erstaunt	erstaunen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
39	:	\:	$	$.	_	0	root	_	_
40	»	»	$	$(	_	0	root	_	_
41	Wirklich	wirklich	A	ADJD	Pos|	0	root	_	_
42	?	?	$	$.	_	0	root	_	_
43	«	«	$	$(	_	0	root	_	_
44	und	und	K	KON	_	0	root	_	_
45	schwebte	schweben	V	VVFIN	_|Sg|Past|_	44	cj	_	_
46	fort	fort	P	PTKVZ	_	45	avz	_	_
47	in	in	P	APPR	Acc	45	pp	_	_
48	die	die	A	ART	Def|_|Acc|_	49	det	391	391
49	Ecke	Eck	N	NN	_|Acc|_	47	pn	391	391
50	zu	zu	P	APPR	Dat	45	pp	_	_
51	den	die	A	ART	Def|_|Dat|Pl	52	det	385	385
52	Kavalieren	Kavalier	N	NN	_|Dat|Pl	50	pn	385	385
53	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Frage	Frage	N	NN	Fem|_|Sg	6	vok	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	nun	nun	A	ADV	_	6	adv	_	_
8	die	die	A	ART	Def|Fem|Nom|Sg	9	det	392	392
9	Zurückbleibende	Zurückbleibende	N	NN	Fem|Nom|Sg	6	subj	392	392
10	zu	zu	P	APPR	Dat	6	pp	_	_
11	Fridolin	Fridolin	N	NE	_|Dat|_	10	pn	9	9
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	und	und	K	KON	_	0	root	_	_
15	wundere	wundern	V	VVFIN	_|Sg|Pres|_	14	cj	_	_
16	dich	du	P	PPER	2|Sg|_|Acc	15	obja	390	390
17	über	über	A	ADV	_	15	adv	_	_
18	nichts	nichts	P	PIS	_	15	obja	_	_
19	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	392	392
2	versuchte	versuchen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	392	392
4	irrezuführen	irrezuführen	A	ADJD	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	aber	aber	K	KON	_	2	kon	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	392	392
8	sage	sagen	V	VVFIN	1|Sg|Pres|_	6	cj	_	_
9	dir	du	P	PRF	2|Sg|Dat	8	objd	_	_
10	gleich	gleich	A	ADJD	Pos|	8	adv	_	_
11	:	\:	$	$.	_	0	root	_	_
12	auf	auf	P	APPR	Acc	15	pp	_	_
13	die	die	A	ART	Def|Fem|Acc|Sg	14	det	_	_
14	Dauer	Dauer	N	NN	Fem|Acc|Sg	12	pn	_	_
15	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
16	es	es	P	PPER	3|Sg|Neut|Nom	15	subj	_	_
17	nicht	nicht	P	PTKNEG	_	18	adv	_	_
18	gelingen	gelingen	V	VVINF	_	15	aux	_	_
19	.	.	$	$.	_	0	root	_	_

1	Flieh	Flieh	N	NE	_	0	root	406	406
2	,	,	$	$,	_	0	root	_	_
3	ehe	ehe	K	KOUS	_	7	konj	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	7	subj	_	_
5	zu	zu	P	PTKA	_	6	adv	_	_
6	spät	spät	A	ADJD	Pos|	7	pred	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	kann	können	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
4	in	in	P	APPR	Dat	9	pp	_	_
5	jedem	jede	A	PIAT	Masc|Dat|Sg	6	det	_	_
6	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	4	pn	_	_
7	zu	zu	P	PTKA	_	8	adv	_	_
8	spät	spät	A	ADJD	Pos|	9	pred	_	_
9	sein	sein	V	VAINF	_	3	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	gib	geben	V	VVIMP	Sg	1	cj	_	_
3	acht	acht	C	CARD	_	2	objd	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	10	konj	_	_
6	man	man	P	PIS	_|Nom|Sg	10	subj	_	_
7	deine	deine	A	PPOSAT	Fem|_|Sg	8	det	393	393
8	Spur	Spur	N	NN	Fem|_|Sg	10	obja	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	verfolgt	verfolgen	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	_
11	.	.	$	$.	_	0	root	_	_

1	Niemand	niemand	P	PIS	_|Nom|Sg	2	subj	_	_
2	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	erfahren	erfahren	V	VVINF	_	2	aux	_	_
4	,	,	$	$,	_	0	root	_	_
5	wer	wer	P	PWS	_|Nom|Sg	7	subj	_	_
6	du	du	P	PPER	2|Sg|_|Nom	7	pred	393	393
7	bist	sein	V	VAFIN	2|Sg|Pres|Ind	3	objc	_	_
8	.	.	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	0	root	_	_
2	deiner	deine	A	PPOSAT	Fem|Dat|Sg	3	det	393	393
3	Ruhe	Ruhe	N	NN	Fem|Dat|Sg	1	pn	_	_
4	,	,	$	$,	_	0	root	_	_
5	mit	mit	P	APPR	Dat	10	pp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	_	_
7	Frieden	Frieda	N	NN	Masc|Dat|Sg	5	pn	_	_
8	deines	deine	A	PPOSAT	Neut|Gen|Sg	9	det	393	393
9	Daseins	Dasein	N	NN	Neut|Gen|Sg	7	gmod	_	_
10	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
12	vorbei	vorbei	A	ADV	_	10	adv	_	_
13	für	für	P	APPR	Acc	10	pp	_	_
14	immer	immer	A	ADV	_	13	adv	_	_
15	.	.	$	$.	_	0	root	_	_

1	Geh	Geh	N	NE	_	0	root	396	396
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Seh	Seh	N	NE	_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	394	394
5	dich	du	P	PPER	2|Sg|_|Acc	0	root	393	393
6	wieder	wieder	A	ADV	_	5	adv	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Unmöglich	unmöglich	A	ADJD	Pos|	0	root	_	_
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	bleib	bleiben	V	VVIMP	Sg	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	3	pred	394	394
6	.	.	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Neut|Nom|Sg	2	det	395	395
2	Zittern	Zittern	N	NN	Neut|Nom|Sg	3	subj	395	395
3	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	395	395
4	durch	durch	P	APPR	Acc	3	objp	395	395
5	ihren	ihre	A	PPOSAT	Masc|Acc|Sg	7	det	43	43
6	nackten	nackt	A	ADJA	Pos|Masc|Acc|Sg|_|	7	attr	_	_
7	Leib	Leib	N	NN	Masc|Acc|Sg	4	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	das	die	P	PRELS	Neut|Nom|Sg	12	subj	395	395
10	sich	sie	P	PRF	3|_|_	12	obja	_	_
11	ihm	er	P	PPER	3|Sg|_|Dat	12	objd	3	3
12	mitteilte	mitteilen	V	VVFIN	3|Sg|Past|_	2	rel	_	_
13	und	und	K	KON	_	12	kon	_	_
14	ihm	er	P	PPER	3|Sg|_|Dat	18	objd	3	3
15	fast	fast	A	ADV	_	18	adv	_	_
16	die	die	A	ART	Def|Masc|_|Pl	17	det	_	_
17	Sinne	Sinn	N	NN	Masc|_|Pl	18	obja	_	_
18	umnebelte	umnebeln	V	VVFIN	_|Sg|Past|_	13	cj	_	_
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	9	adv	_	_
5	mehr	mehr	A	ADV	_	4	adv	_	_
6	auf	auf	P	APPR	Dat	9	objp	_	_
7	dem	die	A	ART	Def|Neut|Dat|Sg	8	det	_	_
8	Spiel	Spiel	N	NN	Neut|Dat|Sg	6	pn	_	_
9	stehen	stehen	V	VVINF	_	3	aux	_	_
10	als	als	K	KOKOM	_	9	kom	_	_
11	mein	meine	A	PPOSAT	Neut|_|Sg	12	det	394	394
12	Leben	Leben	N	NN	Neut|_|Sg	10	cj	421	421
13	«	«	$	$(	_	0	root	421	421
14	,	,	$	$,	_	0	root	421	421
15	sagte	sagen	V	VVFIN	3|Sg|Past|_	12	par	421	421
16	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	3	3
17	,	,	$	$,	_	0	root	_	_
18	»	»	$	$(	_	0	root	_	_
19	und	und	K	KON	_	3	kon	_	_
20	das	die	P	PDS	Neut|Nom|Sg	21	subj	_	_
21	bist	sein	V	VAFIN	2|Sg|Pres|Ind	19	cj	_	_
22	du	du	P	PPER	2|Sg|_|Nom	21	pred	_	_
23	mir	ich	P	PPER	1|Sg|_|Dat	21	objd	394	394
24	in	in	P	APPR	Dat	21	pp	_	_
25	diesem	diese	A	PDAT	Masc|Dat|Sg	26	det	86	86
26	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	24	pn	86	86
27	wert	wert	A	ADJD	Pos|	0	root	_	_
28	.	.	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_
30	Er	er	P	PPER	3|Sg|Masc|Nom	31	subj	3	3
31	faßte	faßte	V	VVFIN	3|Sg|_|_	35	s	_	_
32	ihre	ihre	A	PPOSAT	Fem|_|Pl	33	det	43	43
33	Hände	Hand	N	NN	Fem|_|Pl	31	obja	_	_
34	,	,	$	$,	_	0	root	_	_
35	versuchte	versuchen	V	VVFIN	3|Sg|Past|_	0	root	_	_
36	sie	sie	P	PPER	3|Sg|Fem|Nom	35	subj	43	43
37	an	an	P	APPR	_	40	objp	_	_
38	sich	sie	P	PRF	3|_|_	37	pn	_	_
39	zu	zu	P	PTKZU	_	40	part	_	_
40	ziehen	ziehen	V	VVINF	_	35	obji	_	_
41	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	43	43
2	flüsterte	flüstern	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	wieder	wieder	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	6	adv	_	_
6	verzweifelt	verzweifelt	A	ADJD	Pos|	0	root	_	_
7	:	\:	$	$.	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	Geh	Geh	N	NE	_	0	root	396	396
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
2	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	und	und	K	KON	_	0	root	_	_
4	hörte	hören	V	VVFIN	_|Sg|Past|_	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	12	adv	_	_
8	man	man	P	PIS	_|Nom|Sg	12	subj	_	_
9	sich	sie	P	PRF	3|_|_	12	obja	_	_
10	im	in	P	APPRART	Dat	12	pp	_	_
11	Traume	Traum	N	NN	Masc|Dat|Sg	10	pn	397	397
12	hört	hören	V	VVFIN	3|Sg|Pres|Ind	4	subjc	_	_
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	398	398
3	sehe	sehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	wo	wo	P	PWAV	_	8	adv	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	398	398
8	bin	sein	V	VAFIN	1|Sg|Pres|Ind	3	objc	_	_
9	.	.	$	$.	_	0	root	_	_

1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	_	_
2	seid	sein	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	nur	nur	A	ADV	_	2	adv	_	_
6	darum	darum	P	PROAV	_	2	pp	_	_
7	da	da	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	ihr	ihr	P	PPER	_|_|_|_	0	root	3	3
10	alle	alle	P	PIS	_|Nom|_	9	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	damit	damit	K	KOUS	_	18	konj	_	_
13	man	man	P	PIS	_|Nom|Sg	18	subj	_	_
14	von	von	P	APPR	Dat	18	pp	_	_
15	euerm	eure	A	PPOSAT	Masc|Dat|Sg	16	det	396	396
16	Anblick	Anblick	N	NN	Masc|Dat|Sg	14	pn	_	_
17	toll	toll	A	ADJD	Pos|	18	pred	_	_
18	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
19	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
2	treibst	treiben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	nur	nur	A	ADV	_	2	adv	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
5	besondern	besondern	A	ADJA	_|Masc|Acc|Sg|_	6	attr	_	_
6	Spaß	Spaß	N	NN	Masc|Acc|Sg	2	obja	_	_
7	mit	mit	P	APPR	Dat	2	pp	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	7	pn	398	398
9	,	,	$	$,	_	0	root	_	_
10	um	um	K	KOUI	_	15	konj	_	_
11	mich	ich	P	PRF	1|Sg|Acc	15	obja	_	_
12	völlig	völlig	A	ADJD	Pos|	13	adv	_	_
13	verrückt	verrückt	A	ADJD	Pos|	15	pred	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	machen	machen	V	VVINF	_	2	neb	_	_
16	.	.	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	zu	zu	P	PTKA	_	5	adv	_	_
5	spät	spät	A	ADJD	Pos|	3	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	geh	gehen	V	VVIMP	Sg	0	root	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
2	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	5	obja	396	396
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	hören	hören	V	VVINF	_	2	aux	_	_
6	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
4	hier	hier	A	ADV	_	8	adv	_	_
5	keine	keine	A	PIAT	Neut|_|Pl	7	det	_	_
6	verschwiegenen	verschwiegen	A	ADJA	Pos|Neut|_|Pl|Wk|	7	attr	_	_
7	Gemächer	Gemach	N	NN	Neut|_|Pl	8	obja	_	_
8	geben	geben	V	VVINF	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	in	in	P	APPR	Acc	14	pp	_	_
11	die	die	A	ART	Def|Neut|Acc|Pl	12	det	399	399
12	Paare	Paar	N	NN	Neut|Acc|Pl	10	pn	399	399
13	sich	sie	P	PRF	3|_|_	14	obja	399	399
14	zurückziehen	zurückziehen	V	VVINF	_	8	kon	399	399
15	,	,	$	$,	_	0	root	399	399
16	die	die	P	PRELS	Neut|Nom|Pl	19	subj	399	399
17	sich	sie	P	PRF	3|_|_	18	obja	_	_
18	gefunden	finden	V	VVPP	_	19	aux	_	_
19	haben	haben	V	VAFIN	3|Pl|Pres|_	12	rel	_	_
20	?	?	$	$.	_	0	root	_	_

1	Werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	_
2	alle	alle	P	PIS	_|Nom|Pl	1	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	die	die	P	PRELS	_|Nom|Pl	6	subj	401	401
5	hier	hier	A	ADV	_	6	adv	_	_
6	sind	sein	V	VAFIN	3|Pl|Pres|Ind	2	rel	_	_
7	,	,	$	$,	_	0	root	_	_
8	mit	mit	P	APPR	Dat	13	pp	_	_
9	höflichen	höflich	A	ADJA	Pos|_|Dat|_|_|	10	attr	_	_
10	Handküssen	Handkuss	N	NN	_|Dat|_	8	pn	_	_
11	voneinander	voneinander	A	ADV	_	8	adv	_	_
12	Abschied	Abschied	N	NN	Masc|_|Sg	13	obja	400	400
13	nehmen	nehmen	V	VVINF	_	1	aux	_	_
14	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	401	401
2	sehen	sehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	danach	danach	P	PROAV	_	2	objp	_	_
5	aus	aus	P	PTKVZ	_	2	avz	_	_
6	.	.	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	3	3
3	wies	weisen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	auf	auf	P	APPR	Acc	3	pp	_	_
5	die	die	A	ART	Def|Neut|Acc|Pl	6	det	402	402
6	Paare	Paar	N	NN	Neut|Acc|Pl	4	pn	402	402
7	,	,	$	$,	_	0	root	402	402
8	die	die	P	PRELS	Neut|Nom|Pl	21	subj	402	402
9	nach	nach	P	APPR	Dat	21	pp	_	_
10	den	die	A	ART	Def|Masc|Dat|Pl	12	det	_	_
11	rasenden	rasend	A	ADJA	Pos|Masc|Dat|Pl|_|_	12	attr	_	_
12	Klängen	Klang	N	NN	Masc|Dat|Pl	9	pn	_	_
13	des	die	A	ART	Def|Neut|Gen|Sg	14	det	403	403
14	Klaviers	Klavier	N	NN	Neut|Gen|Sg	12	gmod	403	403
15	in	in	P	APPR	Dat	21	pp	_	_
16	dem	die	A	ART	Def|Masc|Dat|Sg	20	det	_	_
17	überhellen	überhell	A	ADJA	Pos|Masc|Dat|Sg|Wk|	20	attr	_	_
18	,	,	$	$,	_	0	root	_	_
19	spiegelnden	spiegelnd	A	ADJA	Pos|_|Dat|_|_|<PPRES	17	kon	_	_
20	Nebenraume	Nebenraum	N	NN	Masc|Dat|Sg	15	pn	_	_
21	weitertanzten	weitertanzen	V	VVFIN	3|Pl|Past|_	6	rel	_	_
22	,	,	$	$,	_	0	root	_	_
23	glühende	glühend	A	ADJA	Pos|Masc|Nom|_|_|<PPRES	26	attr	404	404
24	,	,	$	$,	_	0	root	404	404
25	weiße	weiß	A	ADJA	Pos|_|Nom|_|_|	23	kon	404	404
26	Leiber	Leib	N	NN	Masc|Nom|_	34	subj	404	404
27	an	an	P	APPR	Acc	34	pp	_	_
28	blaue	blau	A	ADJA	Pos|Fem|Acc|Sg|_|	33	attr	405	405
29	,	,	$	$,	_	0	root	405	405
30	rote	rot	A	ADJA	Pos|_|Acc|_|_|	28	kon	405	405
31	,	,	$	$,	_	0	root	405	405
32	gelbe	gelb	A	ADJA	Pos|_|Acc|_|_|	30	kon	405	405
33	Seide	Seide	N	NN	Fem|Acc|Sg	27	pn	405	405
34	geschmiegt	schmiegen	V	VVPP	_	21	neb	_	_
35	.	.	$	$.	_	0	root	_	_

1	Ihm	er	P	PPER	3|Sg|_|Dat	2	objd	404	404
2	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	als	als	K	KOKOM	_	5	konj	_	_
5	kümmerte	kümmern	V	VVFIN	3|Sg|Past|_	2	neb	_	_
6	sich	sie	P	PRF	3|_|_	5	obja	_	_
7	jetzt	jetzt	A	ADV	_	5	adv	_	_
8	niemand	niemand	P	PIS	_|Nom|Sg	5	subj	_	_
9	um	um	P	APPR	Acc	5	objp	_	_
10	ihn	er	P	PPER	3|Sg|Masc|Acc	9	pn	404	404
11	und	und	K	KON	_	10	kon	_	_
12	die	die	A	ART	Def|Fem|Acc|Sg	13	det	_	_
13	Frau	Frau	N	NN	Fem|Acc|Sg	11	cj	_	_
14	neben	neben	P	APPR	Dat	13	pp	_	_
15	ihm	er	P	PPER	3|Sg|_|Dat	14	pn	3	3
16	;	;	$	$.	_	0	root	_	_
17	sie	sie	P	PPER	3|Pl|_|Nom	18	subj	402	402
18	standen	stehen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
19	in	in	P	APPR	Dat	18	pp	_	_
20	dem	die	A	ART	Def|Masc|Dat|Sg	23	det	_	_
21	fast	fast	A	ADV	_	22	adv	_	_
22	dunklen	dunkel	A	ADJA	Pos|Masc|Dat|Sg|Wk|	23	attr	_	_
23	Mittelsaal	Mittelsaal	N	NN	Masc|Dat|Sg	19	pn	_	_
24	ganz	ganz	A	ADV	_	25	adv	_	_
25	allein	allein	A	ADV	_	19	adv	_	_
26	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Vergebliche	vergeblich	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Hoffnung	Hoffnung	N	NN	Fem|_|Sg	6	vok	_	_
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	flüsterte	flüstern	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	405	405
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|_	12	expl	_	_
3	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	hier	hier	A	ADV	_	3	adv	_	_
5	keine	keine	A	PIAT	Neut|_|Pl	6	det	_	_
6	Gemächer	Gemach	N	NN	Neut|_|Pl	3	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	12	adv	_	_
9	du	du	P	PPER	2|Sg|_|Nom	12	subj	_	_
10	sie	sie	P	PPER	3|_|_|_	12	obja	405	405
11	dir	du	P	PPER	2|Sg|_|Dat	12	objd	_	_
12	träumst	träumen	V	VVFIN	2|Sg|Pres|Ind	3	subjc	_	_
13	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	5	det	_	_
4	letzte	letzte	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	_	_
5	Minute	Minute	N	NN	Fem|Nom|Sg	2	pred	_	_
6	.	.	$	$.	_	0	root	_	_

1	Flieh	Flieh	N	NE	_	0	root	406	406
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Komme	kommen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	pn	3	3
5	.	.	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	43	43
2	schüttelte	schütteln	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	heftig	heftig	A	ADJD	Pos|	2	adv	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	119	119
5	Kopf	Kopf	N	NN	Masc|Acc|Sg	2	obja	119	119
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	8	adv	_	_
8	verzweifelt	verzweifelt	A	ADJD	Pos|	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
2	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	wieder	wieder	A	ADV	_	2	adv	_	_
4	und	und	K	KON	_	2	kon	_	_
5	kannte	kennen	V	VVFIN	_|Sg|Past|Ind	4	cj	_	_
6	sein	seine	A	PPOSAT	Neut|_|Sg	7	det	3	3
7	Lachen	Lache	N	NN	Neut|_|Sg	5	obja	_	_
8	nicht	nicht	P	PTKNEG	_	5	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	407	407
3	hältst	halten	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	408	408
5	zum	zu	P	APPRART	Dat	3	objp	_	_
6	besten	gut	A	ADJA	Sup|_|Dat|_|_|	5	pn	_	_
7	.	.	$	$.	_	0	root	_	_

1	Sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
2	diese	diese	A	PDAT	Masc|Nom|Pl	3	det	_	_
3	Männer	Mann	N	NN	Masc|Nom|Pl	1	subj	_	_
4	und	und	K	KON	_	3	kon	_	_
5	diese	diese	A	PDAT	Fem|Nom|Pl	6	det	386	386
6	Frauen	Frau	N	NN	Fem|Nom|Pl	4	cj	386	386
7	hierher	hierher	A	ADV	_	8	adv	_	_
8	gekommen	kommen	V	VVPP	_	1	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	nur	nur	A	ADV	_	0	root	_	_
11	um	um	K	KOUI	_	14	konj	_	_
12	einander	einander	P	PRF	_	14	obja	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	entflammen	entflammen	V	VVINF	_	0	root	_	_
15	und	und	K	KON	_	14	kon	_	_
16	dann	dann	A	ADV	_	18	adv	_	_
17	zu	zu	P	PTKZU	_	18	part	_	_
18	verschmähen	verschmähen	V	VVINF	_	15	cj	_	_
19	?	?	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
