1	Schritte	Schritt	N	NN	Masc|_|_	0	root	177	177
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Oh	oh	I	ITJ	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	sie	sie	P	PPER	3|Sg|Fem|Nom	5	subj	21	21
7	und	und	K	KON	_	5	kon	_	_
8	hielt	halten	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	inne	inne	P	PTKVZ	_	8	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	als	als	K	KOKOM	_	12	konj	_	_
12	wäre	sein	V	VAFIN	_|Sg|Past|Subj	8	neb	_	_
13	ihr	ihr	P	PPER	3|Sg|Fem|Dat	12	objd	21	21
14	plötzlich	plötzlich	A	ADJD	Pos|	12	pred	_	_
15	'	'	$	$(	_	0	root	_	_
16	was	was	P	PWS	Neut|_|Sg	17	obja	_	_
17	eingefallen	eingefallen	V	VVFIN	_|Pl|Pres|_	12	objc	_	_
18	,	,	$	$,	_	0	root	_	_
19	was	was	P	PRELS	Neut|Nom|Sg	24	subj	_	_
20	sie	sie	P	PPER	3|_|_|_	23	obja	21	21
21	doch	doch	A	ADV	_	23	adv	_	_
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	sagen	sagen	V	VVINF	_	24	aux	_	_
24	wollte	wollen	V	VMFIN	3|Sg|Past|_	16	rel	_	_
25	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	186	186
3	fragte	fragen	V	VVFIN	1|Sg|Past|_	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	.	.	$	$.	_	0	root	_	_

1	Bald	bald	A	ADV	_	2	adv	_	_
2	waren	sein	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	193	193
4	auf	auf	P	APPR	Dat	2	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	127	127
6	Brücke	Brücke	N	NN	Fem|Dat|Sg	4	pn	127	127
7	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	141	141
2	Boot	Boot	N	NN	Neut|Nom|Sg	3	subj	141	141
3	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	bereit	bereit	P	PTKVZ	_	3	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Neut|Nom|Pl	2	det	192	192
2	Kinder	Kind	N	NN	Neut|Nom|Pl	3	subj	192	192
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	192	192
4	wieder	wieder	A	ADV	_	3	adv	192	192
5	da	da	A	ADV	_	3	adv	192	192
6	,	,	$	$,	_	0	root	192	192
7	die	die	P	PRELS	Neut|Nom|Pl	12	subj	192	192
8	uns	wir	P	PPER	1|Pl|_|_	11	obja	193	193
9	beim	bei	P	APPRART	Dat	11	pp	_	_
10	Kommen	Kommen	N	NN	Neut|Dat|Sg	9	pn	_	_
11	begrüßt	begrüßen	V	VVPP	_	12	aux	_	_
12	hatten	haben	V	VAFIN	3|Pl|Past|Ind	2	rel	_	_
13	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	192	192
2	sahen	sehen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	uns	wir	P	PPER	1|Pl|_|_	2	obja	193	193
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	großen	groß	A	ADJA	Pos|Neut|Dat|Pl|_|	7	attr	_	_
6	blauen	blau	A	ADJA	Pos|Neut|Dat|Pl|_|	7	attr	_	_
7	Augen	Auge	N	NN	Neut|Dat|Pl	4	pn	_	_
8	an	an	P	PTKVZ	_	2	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	193	193
2	segelten	segeln	V	VVFIN	1|Pl|Past|_	0	root	_	_
3	ab	ab	P	PTKVZ	_	2	avz	_	_
4	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	39	39
2	Meer	Meer	N	NN	Neut|Nom|Sg	3	subj	39	39
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	ruhiger	ruhig	A	ADJD	Comp|	5	pred	_	_
5	geworden	werden	V	VAPP	_	3	aux	_	_
6	;	;	$	$.	_	0	root	_	_
7	wenn	wenn	K	KOUS	_	11	konj	_	_
8	man	man	P	PIS	_|Nom|Sg	11	subj	_	_
9	die	die	A	ART	Def|Neut|_|Pl	10	det	11	11
10	Augen	Auge	N	NN	Neut|_|Pl	11	obja	11	11
11	schloß	schloß	V	VVFIN	_|Sg|_|_	13	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	merkte	merken	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	man	man	P	PIS	_|Nom|Sg	13	subj	_	_
15	kaum	kaum	A	ADV	_	13	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	22	konj	_	_
18	man	man	P	PIS	_|Nom|Sg	22	subj	_	_
19	sich	sie	P	PRF	3|_|_	22	obja	_	_
20	in	in	P	APPR	_	22	objp	_	_
21	Bewegung	Bewegung	N	NN	Fem|_|Sg	20	pn	_	_
22	befand	befinden	V	VVFIN	3|Sg|Past|Ind	13	objc	_	_
23	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Zu	zu	P	APPR	Dat	7	objp	_	_
3	meinen	meine	A	PPOSAT	Masc|Dat|Pl	4	det	194	194
4	Füßen	Fuß	N	NN	Masc|Dat|Pl	2	pn	_	_
5	sollen	sollen	V	VMFIN	3|Pl|Pres|_	10	s	_	_
6	Sie	sie	P	PPER	3|Pl|_|Nom	5	subj	11	11
7	liegen	liegen	V	VVINF	_	5	aux	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	Friederike	Friederike	N	NE	Fem|Nom|Sg	10	subj	45	45
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	10	kon	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	194	194
15	streckte	strecken	V	VVFIN	1|Sg|Past|_	13	cj	_	_
16	mich	ich	P	PRF	1|Sg|Acc	15	obja	_	_
17	am	an	P	APPRART	Dat	15	pp	_	_
18	Boden	Boden	N	NN	Masc|Dat|Sg	17	pn	_	_
19	des	die	A	ART	Def|Masc|Gen|Sg	20	det	_	_
20	Kahnes	Kahn	N	NN	Masc|Gen|Sg	18	gmod	_	_
21	aus	aus	P	PTKVZ	_	15	avz	_	_
22	,	,	$	$,	_	0	root	_	_
23	legte	legen	V	VVFIN	_|Sg|Past|_	15	kon	_	_
24	meinen	meine	A	PPOSAT	Masc|_|Sg	25	det	194	194
25	Kopf	Kopf	N	NN	Masc|_|Sg	23	obja	_	_
26	auf	auf	P	APPR	Acc	23	objp	_	_
27	den	die	A	ART	Def|Masc|Acc|Sg	28	det	106	106
28	Schoß	Schoß	N	NN	Masc|Acc|Sg	26	pn	106	106
29	Friederikens	Friederikens	N	NE	Masc|Acc|Sg	28	app	106	106
30	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	194	194
4	recht	recht	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	0	root	194	194
8	ihr	ihr	P	PPER	_|_|_|_	0	root	106	106
9	nicht	nicht	P	PTKNEG	_	12	adv	_	_
10	ins	in	P	APPRART	Acc	12	pp	_	_
11	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	10	pn	103	103
12	sehen	sehen	V	VVINF	_	13	aux	_	_
13	mußte	müssen	V	VMFIN	_|Sg|Past|Ind	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	45	45
2	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	und	und	K	KON	_	2	kon	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	194	194
6	war	sein	V	VAFIN	_|Sg|Past|Ind	4	cj	_	_
7	,	,	$	$,	_	0	root	_	_
8	als	als	K	KOKOM	_	9	konj	_	_
9	klänge	klingen	V	VVFIN	3|Sg|Past|Subj	6	neb	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
11	aus	aus	P	APPR	Dat	9	pp	_	_
12	weiter	weit	A	ADJA	Pos|Fem|Dat|Sg|St|	13	attr	_	_
13	Ferne	Ferne	N	NN	Fem|Dat|Sg	11	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	194	194
2	verstand	verstehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	alles	alle	P	PIS	_|_|Sg	2	obja	_	_
4	und	und	K	KON	_	2	kon	_	_
5	konnte	können	V	VMFIN	_|Sg|Past|Ind	4	cj	_	_
6	doch	doch	A	ADV	_	5	adv	_	_
7	zugleich	zugleich	A	ADV	_	5	adv	_	_
8	meine	meine	A	PPOSAT	Masc|_|Pl	9	det	194	194
9	Gedanken	Gedanke	N	NN	Masc|_|Pl	0	root	_	_
10	weiter	weiter	A	ADV	_	9	adv	_	_
11	denken	denken	V	VVINF	_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Mich	ich	P	PPER	1|Sg|_|Acc	2	obja	194	194
2	schauderte	schaudern	V	VVFIN	_|Sg|Past|_	0	root	_	_
3	vor	vor	P	APPR	Dat	2	pp	_	_
4	ihr	ihr	P	PPER	3|Sg|Fem|Dat	3	pn	45	45
5	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Heute	heute	A	ADV	_	3	adv	_	_
3	abend	abend	A	ADV	_	4	adv	_	_
4	fahren	fahren	V	VVFIN	1|Pl|Pres|_	12	s	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	4	subj	_	_
6	zusammen	zusammen	A	ADV	_	4	adv	_	_
7	aufs	auf	P	APPRART	Acc	4	pp	_	_
8	Meer	Meer	N	NN	Neut|Acc|Sg	7	pn	123	123
9	hinaus	hinaus	P	PTKVZ	_	4	avz	_	_
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	sie	sie	P	PPER	3|Sg|Fem|Nom	12	subj	45	45
14	.	.	$	$.	_	0	root	_	_

1	Etwas	etwas	A	PIAT	Fem|Nom|Pl	2	det	_	_
2	Gespenstisches	Gespenstisch	N	NN	Fem|Nom|Pl	3	pred	_	_
3	schien	scheinen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	194	194
5	um	um	K	KOUI	_	8	konj	_	_
6	sie	sie	P	PPER	3|_|_|_	8	obja	45	45
7	zu	zu	P	PTKZU	_	8	part	_	_
8	gleiten	gleiten	V	VVINF	_	3	neb	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Heut	heuen	V	VVFIN	_|_|Pres|Ind	8	neb	_	_
3	abend	abend	A	ADV	_	2	adv	_	_
4	aufs	auf	P	APPRART	Acc	2	pp	_	_
5	Meer	Meer	N	NN	Neut|Acc|Sg	4	pn	123	123
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	wiederholte	wiederholen	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	45	45
10	langsam	langsam	A	ADJD	Pos|	8	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	auf	auf	P	APPR	Dat	0	root	_	_
14	einem	eine	A	ART	Indef|_|Dat|Sg	15	det	_	_
15	Ruderboot	Ruderboot	N	NN	_|Dat|Sg	13	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	Rudern	rudern	V	VVINF	_	2	aux	_	_
2	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
4	doch	doch	A	ADV	_	1	adv	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	1|Sg|Past|_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	195	195
7	.	.	$	$.	_	0	root	_	_

1	Mich	ich	P	PPER	1|Sg|_|Acc	2	obja	195	195
2	schauderte	schaudern	V	VVFIN	_|Sg|Past|_	0	root	_	_
3	vor	vor	P	APPR	Dat	2	pp	_	_
4	dem	die	A	ART	Def|Neut|Dat|Sg	6	det	196	196
5	tiefen	tief	A	ADJA	Pos|Neut|Dat|Sg|Wk|	6	attr	196	196
6	Verzeihen	Verzeihen	N	NN	Neut|Dat|Sg	3	pn	196	196
7	,	,	$	$,	_	0	root	196	196
8	das	die	P	PRELS	Neut|Nom|Sg	11	subj	196	196
9	sie	sie	P	PPER	3|_|_|_	11	obja	21	21
10	schweigend	schweigen	A	ADJD	_|<PPRES	11	adv	_	_
11	umhüllte	umhüllen	V	VVFIN	3|Sg|Past|_	6	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	ohne	ohne	P	APPR	Acc	14	konj	_	_
14	daß	daß	K	KOUS	_	17	konj	_	_
15	sie	sie	P	PPER	3|Sg|Fem|Nom	17	subj	21	21
16	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
17	wußte	wußte	V	VVFIN	3|Sg|_|_	11	neb	_	_
18	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	21	21
2	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	weiter	weiter	A	ADV	_	2	adv	_	_
4	.	.	$	$.	_	0	root	_	_

