1	Wär	Wär	N	NE	_	0	root	333	333
2	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	ja	ja	A	ADV	_	5	adv	_	_
5	ganz	ganz	A	ADV	_	6	adv	_	_
6	egal	egal	A	ADJD	Pos|	7	adv	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	143	143
2	möcht	möcht	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	wissen	wissen	V	VVINF	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	wer	wer	P	PWS	_|Nom|Sg	0	root	_	_
7	sich	sie	P	PRF	3|_|_	10	obja	_	_
8	am	am	P	PTKA	_	9	adv	_	_
9	meisten	meisten	A	ADJD	_	10	adv	_	_
10	kränken	kränken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
11	möcht	möcht	N	NE	_|Nom|Pl	10	subj	94	94
12	'	'	$	$(	_	0	root	_	_
13	?	?	$	$.	_	0	root	_	_
14	...	...	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	2	det	36	36
2	Mama	Mama	N	NN	Fem|_|Sg	0	root	36	36
3	,	,	$	$,	_	0	root	_	_
4	oder	oder	K	KON	_	0	root	_	_
5	die	die	A	ART	Def|Fem|_|Sg	6	det	25	25
6	Steffi	Steffi	N	NE	Fem|_|Sg	4	cj	25	25
7	?	?	$	$.	_	0	root	_	_
8	...	...	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	2	det	25	25
2	Steffi	Steffi	N	NE	Fem|_|Sg	0	root	25	25
3	...	...	$	$.	_	0	root	_	_
4	Gott	Gott	N	NN	Masc|_|Sg	0	root	104	104
5	,	,	$	$,	_	0	root	_	_
6	die	die	P	PRELS	_|_|_	0	root	104	104
7	Steffi	Steffi	N	NE	_|_|Sg	0	root	25	25
8	...	...	$	$.	_	0	root	_	_
9	die	die	P	PDS	_|_|_	10	obja	_	_
10	dürft	dürfen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
11	'	'	$	$(	_	0	root	_	_
12	sich	sie	P	PRF	3|_|Dat	10	objd	_	_
13	ja	ja	A	ADV	_	10	adv	_	_
14	nicht	nicht	P	PTKNEG	_	10	adv	_	_
15	einmal	einmal	A	ADV	_	10	adv	_	_
16	was	was	P	PWS	Neut|_|Sg	18	obja	_	_
17	anmerken	anmerken	V	VVINF	_	18	obji	_	_
18	lassen	lassen	V	VVFIN	_|Pl|Pres|_	10	subjc	_	_
19	,	,	$	$,	_	0	root	_	_
20	sonst	sonst	A	ADV	_	21	adv	_	_
21	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	10	kon	_	_
22	»	»	$	$(	_	0	root	_	_
23	er	er	P	PPER	3|Sg|Masc|Nom	21	subj	15	15
24	«	«	$	$(	_	0	root	_	_
25	ihr	ihr	P	PPER	3|Sg|Fem|Dat	21	objd	25	25
26	den	die	A	ART	Def|Masc|Acc|Sg	27	det	_	_
27	Abschied	Abschied	N	NN	Masc|Acc|Sg	21	obja	_	_
28	...	...	$	$.	_	0	root	_	_
29	Arme	arm	A	ADJA	Pos|Fem|_|Sg|_|	30	attr	_	_
30	Person	Person	N	NN	Fem|_|Sg	0	root	_	_
31	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Beim	bei	P	APPRART	Dat	6	pp	150	150
3	Regiment	Regiment	N	NN	Neut|Dat|Sg	2	pn	173	173
4	-	-	$	$(	_	0	root	_	_
5	kein	keine	A	PIAT	_|Nom|Sg	6	det	_	_
6	Mensch	Mensch	N	NN	_|Nom|Sg	7	subj	_	_
7	hätt	hätt	V	VVFIN	_|Sg|_|_	0	root	_	_
8	'	'	$	$(	_	0	root	_	_
9	eine	eine	A	ART	Indef|Fem|_|Sg	10	det	_	_
10	Ahnung	Ahnung	N	NN	Fem|_|Sg	7	obja	_	_
11	,	,	$	$,	_	0	root	_	_
12	warum	warum	P	PWAV	_	16	adv	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	143	143
14	'	'	$	$(	_	0	root	_	_
15	s	s	P	PPER	_	16	obja	150	150
16	getan	tun	V	VVPP	_	17	aux	_	_
17	hab	hab	V	VAFIN	1|Sg|_|_	10	objc	_	_
18	'	'	$	$(	_	0	root	_	_
19	...	...	$	$.	_	0	root	_	_
20	sie	sie	P	PPER	3|Pl|_|Nom	21	subj	94	94
21	täten	tun	V	VVFIN	3|Pl|Past|Subj	0	root	_	_
22	sich	sie	P	PRF	3|_|_	21	obja	_	_
23	alle	alle	A	PIDAT	_|_|_	25	det	_	_
24	den	die	A	ART	Def|Masc|Acc|Sg	25	det	_	_
25	Kopf	Kopf	N	NN	Masc|Acc|Sg	26	obja	_	_
26	zerbrechen	zerbrechen	V	VVINF	_	21	obji	_	_
27	...	...	$	$.	_	0	root	_	_
28	warum	warum	P	PWAV	_	29	adv	_	_
29	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
30	sich	sie	P	PRF	3|_|_	34	obja	_	_
31	denn	denn	A	ADV	_	34	adv	_	_
32	der	die	A	ART	Def|Masc|Nom|Sg	33	det	167	167
33	Gustl	Gustl	N	NE	Masc|Nom|Sg	29	subj	167	167
34	umgebracht	umbringen	V	VVPP	_	29	aux	_	_
35	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Darauf	Darauf	F	FM	_|Dat|_	6	objd	_	_
3	möcht	möcht	F	FM	_|Dat|_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	keiner	keine	P	PIS	_|Gen|_	3	gmod	_	_
6	kommen	kommen	V	VVINF	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	143	143
10	mich	ich	P	PRF	1|Sg|Acc	13	obja	_	_
11	hab	hab	F	FM	_|Nom|Pl	14	subj	_	_
12	'	'	$	$(	_	0	root	_	_
13	totschießen	totschießen	V	VVINF	_	14	aux	_	_
14	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	weil	weil	K	KOUS	_	0	root	_	_
17	ein	eine	A	ART	Indef|Masc|Nom|Sg	19	det	151	151
18	elender	elend	A	ADJA	Pos|Masc|Nom|Sg|St|	19	attr	151	151
19	Bäckermeister	Bäckermeister	N	NN	Masc|Nom|Sg	0	root	151	151
20	,	,	$	$,	_	0	root	151	151
21	so	so	A	ADV	_	23	adv	151	151
22	ein	eine	A	ART	Indef|_|_|Sg	23	det	151	151
23	niederträchtiger	niederträchtig	A	ADJA	Masc|Nom|Sg	19	kon	151	151
24	,	,	$	$,	_	0	root	151	151
25	der	die	P	PRELS	Masc|Nom|Sg	30	subj	151	151
26	zufällig	zufällig	A	ADJD	Pos|	27	adv	152	152
27	stärkere	stark	A	ADJA	Comp|_|_|_|_|	28	attr	152	152
28	Fäust	Fäust	N	NN	_|_|_	30	obja	152	152
29	'	'	$	$(	_	0	root	_	_
30	hat	haben	V	VAFIN	3|Sg|Pres|Ind	19	rel	_	_
31	...	...	$	$.	_	0	root	_	_
32	es	es	P	PPER	3|Sg|Neut|Nom	33	subj	_	_
33	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
34	ja	ja	A	ADV	_	33	adv	_	_
35	zu	zu	P	PTKA	_	36	adv	_	_
36	dumm	dumm	A	ADJD	Pos|	33	pred	_	_
37	,	,	$	$,	_	0	root	_	_
38	zu	zu	P	PTKA	_	39	adv	_	_
39	dumm	dumm	A	ADJD	Pos|	36	kon	_	_
40	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Deswegen	Deswegen	P	PROAV	_	3	pp	_	_
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	153	153
5	Kerl	Kerl	N	NN	Masc|Nom|Sg	3	subj	153	153
6	wie	wie	K	KOKOM	_	3	kom	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	cj	143	143
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	14	adv	_	_
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	14	det	_	_
11	junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	14	attr	_	_
12	,	,	$	$,	_	0	root	_	_
13	fescher	fesch	A	ADJA	Pos|Masc|Nom|Sg|St|	11	kon	_	_
14	Mensch	Mensch	N	NN	Masc|Nom|Sg	7	app	_	_
15	...	...	$	$.	_	0	root	_	_
16	Ja	ja	P	PTKANT	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	nachher	nachher	A	ADV	_	19	adv	_	_
19	möchten	mögen	V	VMFIN	_|Pl|Past|Subj	0	root	_	_
20	'	'	$	$(	_	0	root	_	_
21	s	s	P	PPER	_|Pl|_|Nom	19	subj	152	152
22	gewiß	gewiß	A	ADJD	Pos|	23	attr	_	_
23	alle	alle	P	PIS	_|_|_	24	obja	_	_
24	sagen	sagen	V	VVINF	_	19	aux	_	_
25	:	\:	$	$.	_	0	root	_	_
26	das	die	A	ART	Def|Neut|_|Sg	27	det	_	_
27	hätt	hätt	F	FM	Neut|_|Sg	0	root	_	_
28	'	'	$	$(	_	0	root	_	_
29	er	er	P	PPER	3|Sg|Masc|Nom	0	root	153	153
30	doch	doch	A	ADV	_	31	adv	_	_
31	nicht	nicht	P	PTKNEG	_	32	adv	_	_
32	tun	tun	V	VVINF	_	33	aux	_	_
33	müssen	müssen	V	VMFIN	_|Pl|Pres|_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	wegen	wegen	P	APPR	_	32	pp	_	_
36	so	so	A	ADV	_	38	adv	_	_
37	einer	eine	A	ART	Indef|Fem|_|Sg	38	det	_	_
38	Dummheit	Dummheit	N	NN	Fem|_|Sg	35	pn	_	_
39	;	;	$	$.	_	0	root	_	_
40	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
41	doch	doch	A	ADV	_	40	adv	_	_
42	schad	schad	A	ADJD	_	40	pred	_	_
43	'	'	$	$(	_	0	root	_	_
44	!	!	$	$.	_	0	root	_	_
45	...	...	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	143	143
4	jetzt	jetzt	A	ADV	_	18	adv	_	_
5	wen	wer	P	PWS	_|Acc|Sg	7	obja	_	_
6	immer	immer	A	ADV	_	5	adv	_	_
7	fragen	fragen	V	VVFIN	_|Pl|Pres|_	18	subjc	_	_
8	tät	tät	F	FM	Masc|Nom|Sg	7	subj	_	_
9	'	'	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	jeder	jede	A	PIDAT	Masc|Nom|Sg	12	det	_	_
12	möcht	möcht	F	FM	Masc|Nom|Sg	8	kon	_	_
13	'	'	$	$(	_	0	root	_	_
14	mir	ich	P	PPER	1|Sg|_|Dat	18	objd	143	143
15	die	die	A	ART	Def|Fem|_|Sg	17	det	_	_
16	gleiche	gleich	A	ADJA	Pos|Fem|_|Sg|_|	17	attr	_	_
17	Antwort	Antwort	N	NN	Fem|_|Sg	18	obja	_	_
18	geben	geben	V	VVFIN	_|Pl|Pres|_	0	root	_	_
19	...	...	$	$.	_	0	root	_	_
20	und	und	K	KON	_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	20	cj	143	143
22	selber	selber	A	ADV	_	21	adv	_	_
23	,	,	$	$,	_	0	root	_	_
24	wenn	wenn	K	KOUS	_	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	0	root	143	143
26	mich	ich	P	PRF	1|Sg|Acc	0	root	_	_
27	frag	frag	N	NE	_	0	root	155	155
28	'	'	$	$(	_	0	root	_	_
29	...	...	$	$.	_	0	root	_	_
30	das	die	P	PDS	Neut|Nom|Sg	31	subj	_	_
31	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
32	doch	doch	A	ADV	_	31	adv	_	_
33	zum	zu	P	APPRART	Dat	31	pp	_	_
34	Teufelholen	Teufelholen	N	NN	Neut|Dat|Sg	33	pn	309	309
35	...	...	$	$.	_	0	root	_	_
36	ganz	ganz	A	ADV	_	37	adv	_	_
37	wehrlos	wehrlos	A	ADJD	Pos|	38	pred	_	_
38	sind	sein	V	VAFIN	1|Pl|Pres|Ind	0	root	_	_
39	wir	wir	P	PPER	1|Pl|_|Nom	38	subj	154	154
40	gegen	gegen	P	APPR	Acc	38	pp	_	_
41	die	die	A	ART	Def|_|Acc|Pl	42	det	_	_
42	Zivilisten	Zivilist	N	NN	_|Acc|Pl	40	pn	_	_
43	...	...	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	meinen	meinen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	die	die	A	ART	Def|_|Nom|Pl	4	det	68	68
4	Leut	Leut	N	NN	_|Nom|Pl	2	subj	68	68
5	'	'	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	wir	wir	P	PPER	1|Pl|_|Nom	8	subj	154	154
8	sind	sein	V	VAFIN	1|Pl|Pres|Ind	2	s	_	_
9	besser	gut	A	ADJD	Comp|	8	pred	_	_
10	dran	dran	P	PROAV	_	9	pp	_	_
11	,	,	$	$,	_	0	root	_	_
12	weil	weil	K	KOUS	_	16	konj	_	_
13	wir	wir	P	PPER	1|Pl|_|Nom	16	subj	154	154
14	einen	eine	A	ART	Indef|Masc|Acc|Sg	15	det	_	_
15	Säbel	Säbel	N	NN	Masc|Acc|Sg	16	obja	_	_
16	haben	haben	V	VAFIN	1|Pl|Pres|_	8	neb	_	_
17	...	...	$	$.	_	0	root	_	_
18	und	und	K	KON	_	29	koord	_	_
19	wenn	wenn	K	KOUS	_	27	konj	_	_
20	schon	schon	A	ADV	_	27	adv	_	_
21	einmal	einmal	A	ADV	_	27	adv	_	_
22	einer	eine	A	ART	Indef|Fem|_|Sg	26	det	_	_
23	von	von	P	APPR	_	26	pp	_	_
24	der	die	A	ART	Def|Fem|_|Sg	25	det	_	_
25	Waffe	Waffe	N	NN	Fem|_|Sg	23	pn	_	_
26	Gebrauch	Gebrauch	N	NN	Fem|Dat|Sg	27	objd	_	_
27	macht	machen	V	VVFIN	_|_|Pres|Ind	29	neb	_	_
28	,	,	$	$,	_	0	root	_	_
29	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
30	'	'	$	$(	_	0	root	_	_
31	s	s	P	PPER	_|_|_|Nom	29	subj	68	68
32	über	über	P	APPR	_	29	pp	_	_
33	uns	wir	P	PPER	1|Pl|_|_	32	pn	154	154
34	her	her	P	PTKVZ	_	29	avz	_	_
35	,	,	$	$,	_	0	root	_	_
36	als	als	K	KOKOM	_	0	root	_	_
37	wenn	wenn	K	KOUS	_	43	konj	_	_
38	wir	wir	P	PPER	1|Pl|_|Nom	43	subj	154	154
39	alle	alle	P	PIS	_|Nom|_	38	app	_	_
40	die	die	A	ART	Def|Masc|Nom|Pl	42	det	_	_
41	geborenen	geboren	A	ADJA	Pos|Masc|Nom|Pl|Wk|	42	attr	_	_
42	Mörder	Mörder	N	NN	Masc|Nom|Pl	43	pred	_	_
43	wären	sein	V	VAFIN	1|Pl|Past|Subj	0	root	_	_
44	...	...	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	6	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	241	241
3	Zeitung	Zeitung	N	NN	Fem|Dat|Sg	1	pn	241	241
4	möcht	möcht	F	FM	Fem|Dat|Sg	3	app	241	241
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_	0	root	155	155
7	auch	auch	A	ADV	_	6	adv	_	_
8	steh	steh	N	NE	_	0	root	347	347
9	'	'	$	$(	_	0	root	347	347
10	n	n	N	NN	_	8	app	347	347
11	...	...	$	$.	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	Selbstmord	Selbstmord	N	NN	Masc|_|Sg	0	root	_	_
14	eines	eine	A	ART	Indef|Masc|Gen|Sg	16	det	_	_
15	jungen	jung	A	ADJA	Pos|Masc|Gen|Sg|_|	16	attr	_	_
16	Offiziers	Offizier	N	NN	Masc|Gen|Sg	13	gmod	_	_
17	«	«	$	$(	_	0	root	_	_
18	...	...	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	schreiben	schreiben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	68	68
4	nur	nur	A	ADV	_	2	adv	_	_
5	immer	immer	A	ADV	_	2	adv	_	_
6	?	?	$	$.	_	0	root	_	_
7	...	...	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|Neut|Nom|Pl	3	det	_	_
3	Motive	Motiv	N	NN	Neut|Nom|Pl	4	subj	_	_
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	in	in	P	APPR	_	7	objp	_	_
6	Dunkel	Dunkel	N	NN	Neut|_|Sg	5	pn	_	_
7	gehüllt	hüllen	V	VVPP	_	4	aux	_	_
8	«	«	$	$(	_	0	root	_	_
9	...	...	$	$.	_	0	root	_	_

1	Haha	Haha	N	NE	_	0	root	139	139
2	!	!	$	$.	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	An	an	P	APPR	Dat	5	pp	_	_
3	seinem	seine	A	PPOSAT	Masc|Dat|Sg	4	det	139	139
4	Sarge	Sarg	N	NN	Masc|Dat|Sg	2	pn	_	_
5	trauern	trauern	V	VVINF	_	0	root	_	_
6	...	...	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	-	-	$	$(	_	0	root	_	_
9	Aber	aber	K	KON	_	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	cj	_	_
12	ja	ja	A	ADV	_	11	adv	_	_
13	wahr	wahr	A	ADJD	Pos|	11	pred	_	_
14	...	...	$	$.	_	0	root	_	_
15	mir	ich	P	PPER	1|Sg|_|Dat	16	objd	156	156
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
17	immer	immer	A	ADV	_	16	adv	_	_
18	,	,	$	$,	_	0	root	_	_
19	als	als	K	KOKOM	_	0	root	_	_
20	wenn	wenn	K	KOUS	_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	0	root	156	156
22	mir	ich	P	PRF	1|Sg|Dat	25	objd	_	_
23	eine	eine	A	ART	Indef|Fem|_|Sg	24	det	_	_
24	Geschichte	Geschichte	N	NN	Fem|_|Sg	25	obja	_	_
25	erzählen	erzählen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
26	möcht	möcht	N	NE	_|Nom|Pl	25	subj	94	94
27	'	'	$	$(	_	0	root	_	_
28	...	...	$	$.	_	0	root	_	_
29	aber	aber	K	KON	_	0	root	_	_
30	es	es	P	PPER	3|Sg|Neut|Nom	31	subj	_	_
31	ist	sein	V	VAFIN	3|Sg|Pres|Ind	29	cj	_	_
32	wahr	wahr	A	ADJD	Pos|	31	pred	_	_
33	...	...	$	$.	_	0	root	_	_
34	ich	ich	P	PPER	1|Sg|_|Nom	35	subj	156	156
35	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
36	mich	ich	P	PRF	1|Sg|Acc	37	obja	_	_
37	umbringen	umbringen	V	VVINF	_	35	aux	_	_
38	,	,	$	$,	_	0	root	_	_
39	es	es	P	PPER	3|Sg|Neut|_	40	expl	_	_
40	bleibt	bleiben	V	VVFIN	3|Sg|Pres|Ind	35	kon	_	_
41	mir	ich	P	PPER	1|Sg|_|Dat	40	objd	156	156
42	ja	ja	A	ADV	_	40	adv	_	_
43	nichts	nichts	A	PIAT	_|Nom|Sg	40	subj	_	_
44	anderes	andere	P	PIS	Neut|Nom|Sg	40	pred	_	_
45	übrig	übrig	A	ADJD	Pos|	0	root	_	_
46	-	-	$	$(	_	0	root	_	_
47	ich	ich	P	PPER	1|Sg|_|Nom	0	root	156	156
48	kann	können	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
49	'	'	$	$(	_	0	root	_	_
50	s	s	P	PPER	_|Sg|_|Nom	48	subj	139	139
51	ja	ja	A	ADV	_	57	adv	_	_
52	nicht	nicht	P	PTKNEG	_	57	adv	_	_
53	d	d	N	NN	_	57	obja	64	64
54	'	'	$	$(	_	0	root	_	_
55	rauf	rauf	A	ADJD	_	56	adv	_	_
56	ankommen	ankommen	V	VVINF	_	57	obji	_	_
57	lassen	lassen	V	VVINF	_	48	aux	_	_
58	,	,	$	$,	_	0	root	_	_
59	daß	daß	K	KOUS	_	70	konj	_	_
60	morgen	morgen	A	ADV	_	63	adv	27	27
61	früh	früh	A	ADJD	Pos|	63	adv	27	27
62	der	die	A	ART	Def|Masc|Nom|Sg	63	det	27	27
63	Kopetzky	Kopetzky	N	NN	Masc|Nom|Sg	70	subj	27	27
64	und	und	K	KON	_	63	kon	_	_
65	der	die	A	ART	Def|Masc|Nom|Sg	66	det	_	_
66	Blany	Blany	N	NN	Masc|Nom|Sg	64	cj	_	_
67	mir	ich	P	PPER	1|Sg|_|Dat	70	objd	156	156
68	ihr	ihre	A	PPOSAT	Neut|_|Sg	69	det	139	139
69	Mandat	Mandat	N	NN	Neut|_|Sg	70	obja	_	_
70	zurückgeben	zurückgeben	V	VVFIN	_|Pl|Pres|_	48	neb	_	_
71	und	und	K	KON	_	70	kon	_	_
72	mir	ich	P	PPER	1|Sg|_|Dat	73	objd	156	156
73	sagen	sagen	V	VVFIN	_|Pl|Pres|_	71	cj	_	_
74	:	\:	$	$.	_	0	root	_	_
75	wir	wir	P	PPER	1|Pl|_|Nom	76	subj	_	_
76	können	können	V	VMFIN	1|Pl|Pres|_	0	root	_	_
77	dir	du	P	PRF	2|Sg|Dat	79	objd	_	_
78	nicht	nicht	P	PTKNEG	_	79	adv	_	_
79	sekundieren	sekundieren	V	VVINF	_	76	aux	_	_
80	!	!	$	$.	_	0	root	_	_
81	...	...	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	156	156
2	wär	wär	V	VAFIN	_|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ja	ja	A	ADV	_	6	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
6	Schuft	Schuft	N	NN	Masc|Nom|Sg	2	subj	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	156	156
10	'	'	$	$(	_	0	root	_	_
11	s	s	P	PPER	_|Pl|_|Nom	13	subj	94	94
12	ihnen	sie	P	PPER	3|Pl|_|Dat	13	objd	64	64
13	zumuten	zumuten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
14	möcht	möcht	F	FM	_	13	obja	_	_
15	'	'	$	$(	_	0	root	_	_
16	...	...	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	3	adv	_	_
2	ein	eine	A	ART	Indef|Masc|Nom|Sg	3	det	_	_
3	Kerl	Kerl	N	NN	Masc|Nom|Sg	0	root	_	_
4	wie	wie	K	KOKOM	_	3	kom	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	cj	156	156
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PDS	Masc|Nom|Sg	8	subj	_	_
8	dasteht	dastehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	und	und	K	KON	_	8	kon	_	_
10	sich	sie	P	PRF	3|_|Dat	14	objd	_	_
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	13	det	159	159
12	dummen	dumm	A	ADJA	Pos|Masc|Acc|Sg|_|	13	attr	159	159
13	Buben	Bub	N	NN	Masc|Acc|Sg	14	obja	159	159
14	heißen	heißen	V	VVINF	_	15	obji	_	_
15	läßt	lassen	V	VVFIN	_|Sg|Pres|Ind	9	cj	_	_
16	...	...	$	$.	_	0	root	_	_
17	morgen	morgen	A	ADV	_	18	adv	_	_
18	wissen	wissen	V	VVINF	_	0	root	_	_
19	'	'	$	$(	_	0	root	_	_
20	s	s	P	PPER	_	0	root	139	139
21	ja	ja	A	ADV	_	22	adv	_	_
22	alle	alle	A	PIDAT	_|_|_	23	det	_	_
23	Leut	Leut	N	NN	_|_|_	0	root	_	_
24	'	'	$	$(	_	0	root	_	_
25	...	...	$	$.	_	0	root	_	_
26	das	die	P	PDS	Neut|Nom|Sg	27	subj	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
28	zu	zu	P	PTKA	_	29	adv	_	_
29	dumm	dumm	A	ADJD	Pos|	27	pred	_	_
30	,	,	$	$,	_	0	root	_	_
31	daß	daß	K	KOUS	_	36	konj	_	_
32	ich	ich	P	PPER	1|Sg|_|Nom	36	subj	156	156
33	mir	ich	P	PRF	1|Sg|Dat	36	objd	_	_
34	einen	eine	A	ART	Indef|Masc|Acc|Sg	35	det	_	_
35	Moment	Moment	N	NN	Masc|Acc|Sg	36	zeit	_	_
36	einbilde	einbilden	V	VVFIN	1|Sg|Pres|_	27	objc	_	_
37	,	,	$	$,	_	0	root	_	_
38	so	so	A	ADV	_	40	adv	157	157
39	ein	eine	A	ART	Indef|_|Nom|Sg	40	det	157	157
40	Mensch	Mensch	N	NN	_|Nom|Sg	41	subj	157	157
41	erzählt	erzählen	V	VVFIN	3|Sg|Pres|Ind	27	kon	_	_
42	'	'	$	$(	_	0	root	_	_
43	s	s	P	PPER	_|_|_|Dat	41	objd	139	139
44	nicht	nicht	P	PTKNEG	_	41	adv	_	_
45	weiter	weiter	A	ADV	_	41	adv	_	_
46	...	...	$	$.	_	0	root	_	_
47	überall	überall	A	ADV	_	48	adv	_	_
48	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
49	er	er	P	PPER	3|Sg|Masc|Nom	48	subj	157	157
50	'	'	$	$(	_	0	root	_	_
51	s	s	P	PPER	_	52	obja	139	139
52	erzählen	erzählen	V	VVINF	_	48	aux	_	_
53	...	...	$	$.	_	0	root	_	_
54	seine	seine	A	PPOSAT	Fem|_|Sg	55	det	157	157
55	Frau	Frau	N	NN	Fem|_|Sg	56	obja	_	_
56	weiß	wissen	V	VVFIN	_|Sg|Pres|Ind	0	root	_	_
57	'	'	$	$(	_	0	root	_	_
58	s	s	P	PPER	_|Sg|_|Nom	56	subj	157	157
59	jetzt	jetzt	A	ADV	_	56	adv	_	_
60	schon	schon	A	ADV	_	56	adv	_	_
61	...	...	$	$.	_	0	root	_	_
62	morgen	morgen	A	ADV	_	63	adv	_	_
63	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
64	es	es	P	PPER	3|Sg|Neut|_	63	expl	_	_
65	das	die	A	ART	Def|Neut|Nom|Sg	67	det	_	_
66	ganze	ganz	A	ADJA	Pos|Neut|Nom|Sg|Wk|	67	attr	_	_
67	Kaffeehaus	Kaffeehaus	N	NN	Neut|Nom|Sg	63	subj	_	_
68	...	...	$	$.	_	0	root	_	_
69	die	die	A	ART	Def|Masc|_|Pl	70	det	_	_
70	Kellner	Kellner	N	NN	Masc|_|Pl	0	root	_	_
71	werd	werd	F	FM	Masc|_|Pl	70	app	_	_
72	'	'	$	$(	_	0	root	_	_
