1	Salmanassar	Salmanassar	N	NN	_	0	root	24	24
10	und	und	K	KON	_	9	kon	_	_
11	Sidon	Sidon	N	NE	_|Nom|Pl	10	cj	19	19
12	waren	sein	V	VAFIN	_|Pl|Past|Ind	8	cj	_	_
13	damals	damals	A	ADV	_	15	adv	_	_
14	sehr	sehr	A	ADV	_	15	adv	_	_
15	reiche	reich	A	ADJA	Pos|Fem|Nom|Pl|St|	17	attr	_	_
16	phönizische	phönizisch	A	ADJA	Pos|Fem|Nom|Pl|St|	17	attr	_	_
17	Handelsstädte	Handelsstadt	N	NN	Fem|Nom|Pl	12	pred	_	_
18	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	_	_
2	Sieger	Sieger	N	NN	_|Nom|Pl	3	subj	_	_
3	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
4	im	in	P	APPRART	Dat	3	pp	_	_
5	Triumphzug	Triumphzug	N	NN	Masc|Dat|Sg	4	pn	_	_
6	nach	nach	P	APPR	Dat	3	pp	_	_
7	Kalach	Kalach	N	NE	_|Dat|_	6	pn	20	20
8	zurück	zurück	P	PTKVZ	_	3	avz	_	_
9	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|Fem|Nom|Pl	3	det	21	21
3	Leibschwadronen	Leibschwadron	N	NN	Fem|Nom|Pl	12	subj	21	21
4	des	die	A	ART	Def|Masc|Gen|Sg	5	det	17	17
5	Königs	König	N	NN	Masc|Gen|Sg	3	gmod	17	17
6	,	,	$	$,	_	0	root	_	_
7	lauter	lauter	A	PIAT	_|Nom|_	10	det	_	_
8	wilde	wild	A	ADJA	Pos|_|Nom|_|_|	10	attr	_	_
9	berittene	beritten	A	ADJA	Pos|_|Nom|_|_|	10	attr	_	_
10	Bogenschützen	Bogenschütze	N	NN	_|Nom|_	3	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	beschlossen	beschlossen	V	VVPP	_	1	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	17	17
15	König	König	N	NN	Masc|Dat|Sg	20	objd	17	17
16	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
17	kriegerische	kriegerisch	A	ADJA	Pos|Fem|_|Sg|_|	18	attr	_	_
18	Ovation	Ovation	N	NN	Fem|_|Sg	20	obja	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	bringen	bringen	V	VVINF	_	12	obji	_	_
21	.	.	$	$.	_	0	root	_	_

1	Hundert	hundert	C	CARD	_	2	attr	22	22
2	Offiziere	Offizier	N	NN	Masc|Nom|Pl	5	subj	22	22
3	der	die	A	ART	Def|Fem|Gen|Pl	4	det	21	21
4	Leibschwadronen	Leibschwadron	N	NN	Fem|Gen|Pl	2	gmod	21	21
5	hieben	hauen	V	VVFIN	3|Pl|Past|_	0	root	_	_
6	kurz	kurz	A	ADJD	Pos|	5	adv	_	_
7	vor	vor	P	APPR	_	5	pp	_	_
8	den	die	A	ART	Def|_|_|_	9	det	_	_
9	Toren	Tor	N	NN	_|_|_	7	pn	_	_
10	von	von	P	APPR	_	5	pp	_	_
11	Kalach	Kalach	N	NE	_|_|Pl	10	pn	20	20
12	hundert	hundert	C	CARD	_	13	attr	20	20
13	Gefangenen	Gefangene	N	NN	_|_|Pl	11	app	20	20
14	aus	aus	P	APPR	Dat	13	pp	20	20
15	Sidon	Sidon	N	NE	_|Dat|_	14	pn	19	19
16	und	und	K	KON	_	15	kon	_	_
17	Tyrus	Tyrus	N	NN	_|Dat|_	16	cj	18	18
18	mit	mit	P	APPR	Dat	17	pp	18	18
19	gewandtem	gewandt	A	ADJA	Pos|Masc|Dat|Sg|St|	20	attr	18	18
20	Säbelschnitt	Säbelschnitt	N	NN	Masc|Dat|Sg	18	pn	18	18
21	die	die	A	ART	Def|Masc|_|Pl	22	det	35	35
22	Köpfe	Kopf	N	NN	Masc|_|Pl	5	obja	35	35
23	ab	ab	P	PTKVZ	_	5	avz	_	_
24	und	und	K	KON	_	5	kon	_	_
25	hingen	hängen	V	VVFIN	_|Pl|Past|_	24	cj	_	_
26	sie	sie	P	PPER	3|_|_|_	25	obja	18	18
27	an	an	P	APPR	Dat	25	pp	_	_
28	der	die	A	ART	Def|Fem|Dat|Sg	29	det	_	_
29	Brust	Brust	N	NN	Fem|Dat|Sg	27	pn	_	_
30	ihrer	ihre	A	PPOSAT	Neut|Gen|Pl	31	det	22	22
31	Pferde	Pferd	N	NN	Neut|Gen|Pl	29	gmod	29	29
32	an	an	P	APPR	Dat	25	pp	_	_
33	den	die	A	ART	Def|Neut|Dat|Pl	34	det	26	26
34	Haaren	Haar	N	NN	Neut|Dat|Pl	32	pn	26	26
35	auf	auf	P	PTKVZ	_	25	avz	_	_
36	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	ritten	reiten	V	VVFIN	3|Pl|Past|_	1	cj	_	_
4	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	18	18
5	in	in	P	APPR	Acc	3	pp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
7	großen	groß	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	_	_
8	Palasthof	Palasthof	N	NN	Masc|Acc|Sg	5	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	in	in	P	APPR	_	18	pp	_	_
11	dessen	die	A	PRELAT	Fem|_|Sg	12	det	_	_
12	Mitte	Mitte	N	NN	Fem|_|Sg	10	pn	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	17	17
14	König	König	N	NN	Masc|Nom|Sg	18	subj	17	17
15	auf	auf	P	APPR	Dat	18	pp	_	_
16	hohem	hoch	A	ADJA	Pos|Masc|Dat|Sg|St|	17	attr	23	23
17	Thron	Thron	N	NN	Masc|Dat|Sg	15	pn	23	23
18	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	8	rel	_	_
19	und	und	K	KON	_	18	kon	_	_
20	die	die	A	ART	Def|Masc|_|Pl	21	det	_	_
21	Ankömmlinge	Ankömmling	N	NN	Masc|_|Pl	25	obja	_	_
22	mit	mit	P	APPR	Dat	25	pp	_	_
23	gnädigem	gnädig	A	ADJA	Pos|Neut|Dat|Sg|St|	24	attr	_	_
24	Kopfnicken	Kopfnicken	N	NN	Neut|Dat|Sg	22	pn	_	_
25	begrüßte	begrüßen	V	VVFIN	_|Sg|Past|_	19	cj	_	_
26	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	ritten	reiten	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	die	die	A	ART	Def|Masc|Nom|Pl	6	det	_	_
5	hundert	hundert	C	CARD	_	6	attr	_	_
6	Offiziere	Offizier	N	NN	Masc|Nom|Pl	2	subj	_	_
7	im	in	P	APPRART	Dat	2	pp	_	_
8	gestreckten	gestreckt	A	ADJA	Pos|Masc|Dat|Sg|Wk|	9	attr	_	_
9	Galopp	Galopp	N	NN	Masc|Dat|Sg	7	pn	_	_
10	siebenmal	siebenmal	A	ADV	_	2	adv	_	_
11	um	um	P	APPR	Acc	2	pp	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	23	23
13	Thron	Thron	N	NN	Masc|Acc|Sg	11	pn	23	23
14	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dann	dann	A	ADV	_	3	adv	_	_
3	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	alles	alle	P	PIS	Neut|Nom|Sg	3	subj	_	_
5	regungslos	regungslos	A	ADJD	Pos|	3	pred	_	_
6	stehen	stehen	V	VVINF	_	3	obji	_	_
7	und	und	K	KON	_	3	kon	_	_
8	alles	alle	P	PIS	Neut|Nom|Sg	9	subj	_	_
9	brüllte	brüllen	V	VVFIN	3|Sg|Past|_	7	cj	_	_
10	siebenzigmal	siebenzigmal	N	NE	_	9	obja	_	_
11	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Salmanassar	Salmanassar	N	NE	_	0	root	24	24
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	Immer	immer	A	ADV	_	2	adv	_	_
2	nur	nur	A	ADV	_	5	adv	_	_
3	den	die	A	ART	Def|Masc|_|_	5	det	_	_
4	großen	groß	A	ADJA	Pos|Masc|_|_|_|	5	attr	_	_
5	Namen	Name	N	NN	Masc|_|_	0	root	_	_
6	des	die	A	ART	Def|Masc|Gen|Sg	16	det	_	_
7	von	von	P	APPR	Dat	12	pp	_	_
8	allen	alle	A	PIDAT	Masc|Dat|Pl	9	det	_	_
9	Göttern	Gott	N	NN	Masc|Dat|Pl	7	pn	_	_
10	auch	auch	A	ADV	_	7	adv	_	_
11	sehr	sehr	A	ADV	_	12	adv	_	_
12	geliebten	geliebt	A	ADJA	Pos|Masc|Gen|Sg|_|	16	attr	_	_
13	und	und	K	KON	_	12	kon	_	_
14	sehr	sehr	A	ADV	_	15	adv	_	_
15	verehrten	verehrt	A	ADJA	Pos|_|Gen|_|_|	13	cj	_	_
16	Königs	König	N	NN	Masc|Gen|Sg	5	gmod	_	_
17	von	von	P	APPR	_	16	pp	_	_
18	Assyrien	Assyrien	N	NE	Neut|_|Sg	17	pn	_	_
19	und	und	K	KON	_	18	kon	_	_
20	Umgegend	Umgegend	N	NE	Neut|_|Sg	19	cj	_	_
21	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	5	pp	_	_
2	diesem	diese	A	PDAT	Neut|Dat|Sg	4	det	25	25
3	fürchterlichen	fürchterlich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	4	attr	25	25
4	Gebrülle	Gebrüll	N	NN	Neut|Dat|Sg	1	pn	25	25
5	löste	lösen	V	VVFIN	_|Sg|Past|_	0	root	_	_
6	der	die	A	ART	Def|_|_|_	0	root	_	_
7	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
8	Offizier	Offizier	N	NN	Fem|_|Sg	0	root	_	_
9	seinen	seine	A	PPOSAT	Masc|_|Sg	11	det	25	25
10	abgeschnittenen	abgeschnitten	A	ADJA	Pos|Masc|_|Sg|_|	11	attr	_	_
11	Feindeskopf	Feindeskopf	N	NN	Masc|_|Sg	0	root	_	_
12	von	von	P	APPR	_	11	pp	_	_
13	der	die	A	ART	Def|Fem|_|Sg	14	det	_	_
14	Pferdebrust	Pferdebrust	N	NN	Fem|_|Sg	12	pn	_	_
15	ab	ab	P	PTKVZ	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	schleuderte	schleudern	V	VVFIN	_|Sg|Past|_	0	root	_	_
18	ihn	er	P	PPER	3|Sg|Masc|Acc	17	obja	6	6
19	mehrmals	mehrmals	A	ADV	_	17	adv	_	_
20	an	an	P	APPR	Dat	17	pp	_	_
21	den	die	A	ART	Def|Neut|Dat|Pl	22	det	26	26
22	Haaren	Haar	N	NN	Neut|Dat|Pl	20	pn	26	26
23	herum	herum	P	PTKVZ	_	17	avz	_	_
24	und	und	K	KON	_	17	kon	_	_
25	warf	werfen	V	VVFIN	_|Sg|Past|Ind	24	cj	_	_
26	ihn	er	P	PPER	3|Sg|Masc|Acc	25	obja	6	6
27	dann	dann	A	ADV	_	25	adv	_	_
28	in	in	P	APPR	Dat	25	pp	_	_
29	hohem	hoch	A	ADJA	Pos|Masc|Dat|Sg|St|	30	attr	_	_
30	Bogen	Bogen	N	NN	Masc|Dat|Sg	28	pn	_	_
31	über	über	P	APPR	Acc	30	pp	_	_
32	das	die	A	ART	Def|Neut|Acc|Sg	33	det	40	40
33	Haupt	Haupt	N	NN	Neut|Acc|Sg	31	pn	40	40
34	des	die	A	ART	Def|Masc|Gen|Sg	35	det	17	17
35	Königs	König	N	NN	Masc|Gen|Sg	33	gmod	17	17
36	hinweg	hinweg	A	APZR	_	31	part	_	_
37	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	17	17
2	König	König	N	NN	Masc|Nom|Sg	3	subj	17	17
3	blickte	blicken	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	lächelnd	lächeln	A	ADJD	_|<PPRES	3	adv	_	_
5	empor	empor	A	ADV	_	3	adv	_	_
6	und	und	K	KON	_	3	kon	_	_
7	sah	sehen	V	VVFIN	_|Sg|Past|Ind	6	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	18	adv	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	12	det	32	32
11	abgeschnittene	abgeschnitten	A	ADJA	Pos|Masc|Nom|Sg|Wk|	12	attr	32	32
12	Kopf	Kopf	N	NN	Masc|Nom|Sg	18	subj	32	32
13	sich	sie	P	PRF	3|_|_	18	obja	_	_
14	oben	oben	A	ADV	_	15	adv	_	_
15	in	in	P	APPR	Dat	18	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	_	_
17	Luft	Luft	N	NN	Fem|Dat|Sg	15	pn	_	_
18	drehte	drehen	V	VVFIN	3|Sg|Past|_	7	objc	_	_
19	und	und	K	KON	_	18	kon	_	_
20	in	in	P	APPR	Dat	23	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
22	Sonne	Sonne	N	NN	Fem|Dat|Sg	20	pn	_	_
23	glänzte	glänzen	V	VVFIN	_|Sg|Past|_	19	cj	_	_
24	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|_|_|Sg	3	det	_	_
2	paar	paar	A	PIDAT	Masc|Nom|Pl	3	attr	_	_
3	Blutstropfen	Blutstropfen	N	NN	Masc|Nom|Pl	4	subj	_	_
4	fielen	fallen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	dem	die	A	ART	Def|Masc|Dat|Sg	6	det	17	17
6	König	König	N	NN	Masc|Dat|Sg	4	objd	17	17
7	auf	auf	P	APPR	Acc	4	pp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	27	27
9	Nase	Nase	N	NN	Fem|Acc|Sg	7	pn	27	27
10	;	;	$	$.	_	0	root	_	_
11	darüber	darüber	P	PROAV	_	13	pp	_	_
12	jedoch	jedoch	A	ADV	_	11	adv	_	_
13	ward	ward	V	VAFIN	3|Sg|_|_	0	root	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	17	17
15	keineswegs	keineswegs	A	ADV	_	13	adv	_	_
16	unwillig	unwillig	A	ADJD	Pos|	13	adv	_	_
17	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	4	det	_	_
2	neunundneunzig	neunundneunzig	C	CARD	_	4	attr	_	_
3	anderen	anderen	A	ADJA	_|Masc|Nom|Pl|_	4	attr	_	_
4	Feindesköpfe	Feindeskopf	N	NN	Masc|Nom|Pl	5	subj	_	_
5	flogen	fliegen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
6	auch	auch	A	ADV	_	5	adv	_	_
7	so	so	A	ADV	_	5	adv	_	_
8	im	in	P	APPRART	Dat	5	pp	_	_
9	großen	groß	A	ADJA	Pos|Masc|Dat|_|_|	10	attr	_	_
10	Parabelbogen	Parabelbogen	N	NN	Masc|Dat|_	8	pn	_	_
11	hoch	hoch	A	ADJD	Pos|	5	adv	_	_
12	über	über	P	APPR	Acc	5	pp	_	_
13	den	die	A	ART	Def|Masc|Acc|Sg	14	det	_	_
14	Kopf	Kopf	N	NN	Masc|Acc|Sg	12	pn	_	_
15	des	die	A	ART	Def|Masc|Gen|Sg	16	det	17	17
16	Königs	König	N	NN	Masc|Gen|Sg	14	gmod	17	17
17	hinweg	hinweg	A	APZR	_	12	part	_	_
18	;	;	$	$.	_	0	root	_	_
19	aber	aber	K	KON	_	0	root	_	_
20	einzeln	einzeln	A	ADJD	Pos|	19	cj	_	_
21	.	.	$	$.	_	0	root	_	_

1	Diese	diese	A	PDAT	Fem|Nom|Sg	2	det	_	_
2	Schmeißprozedur	Schmeißprozedur	N	NN	Fem|Nom|Sg	3	subj	_	_
3	dauert	dauern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	drei	drei	C	CARD	_	6	attr	_	_
5	volle	voll	A	ADJA	Pos|Fem|_|Pl|St|	6	attr	_	_
6	Stunden	Stunde	N	NN	Fem|_|Pl	3	obja	_	_
7	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	schrien	schreien	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	die	die	A	ART	Def|Masc|Nom|Pl	4	det	31	31
4	Herren	Herr	N	NN	Masc|Nom|Pl	2	subj	31	31
5	Offiziere	Offizier	N	NN	Masc|Nom|Pl	4	app	31	31
6	wieder	wieder	A	ADV	_	2	adv	_	_
7	siebenzigmal	siebenzigmal	A	ADJD	_	2	adv	_	_
8	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Salmanassar	Salmanassar	N	NE	_	0	root	24	24
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dann	dann	A	ADV	_	6	adv	_	_
3	gings	gings	A	ADJD	_	4	adv	_	_
4	noch	noch	A	ADV	_	5	adv	_	_
5	siebenmal	siebenmal	A	ADV	_	6	adv	_	_
6	im	in	P	APPRART	Dat	1	cj	_	_
7	gestreckten	gestreckt	A	ADJA	Pos|Masc|Dat|Sg|Wk|	8	attr	_	_
8	Galopp	Galopp	N	NN	Masc|Dat|Sg	6	pn	_	_
9	im	in	P	APPRART	Dat	8	pp	_	_
10	Kreis	Kreis	N	NN	Masc|Dat|Sg	9	pn	_	_
11	um	um	P	APPR	Acc	10	pp	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	28	28
13	Thron	Thron	N	NN	Masc|Acc|Sg	11	pn	28	28
14	Salmanassars	Salmanassars	N	NE	Masc|Acc|Sg	13	app	28	28
15	des	die	A	ART	Def|_|Gen|Sg	16	det	_	_
16	Zweiten	zweit	A	ADJA	_|Gen|Sg	14	gmod	_	_
17	,	,	$	$,	_	0	root	_	_
18	wobei	wobei	P	PWAV	_	21	pp	_	_
19	die	die	A	ART	Def|Neut|Nom|Pl	20	det	29	29
20	Pferde	Pferd	N	NN	Neut|Nom|Pl	22	subj	29	29
21	getrieben	treiben	V	VVPP	_	22	aux	_	_
22	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	recht	recht	A	ADJD	Pos|	34	adv	_	_
25	oft	oft	A	ADV	_	34	adv	_	_
26	auf	auf	P	APPR	Acc	34	pp	_	_
27	die	die	A	ART	Def|Masc|Acc|Pl	29	det	_	_
28	abgeschlagenen	abgeschlagen	A	ADJA	Pos|Masc|Acc|Pl|Wk|	29	attr	_	_
29	Feindesköpfe	Feindeskopf	N	NN	Masc|Acc|Pl	26	pn	_	_
30	mit	mit	P	APPR	Dat	34	pp	_	_
31	den	die	A	ART	Def|_|Dat|Pl	32	det	_	_
32	Hufen	Huf	N	NN	_|Dat|Pl	30	pn	_	_
33	zu	zu	P	PTKZU	_	34	part	_	_
34	trampeln	trampeln	V	VVINF	_	21	obji	_	_
35	.	.	$	$.	_	0	root	_	_

1	Diesem	diese	A	PDAT	Neut|Dat|Sg	2	det	39	39
2	Schauspiel	Schauspiel	N	NN	Neut|Dat|Sg	3	objd	39	39
3	wohnte	wohnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	auch	auch	A	ADV	_	3	adv	_	_
5	Nabu-Kin	Nabu-Kin	N	NN	Fem|Nom|Sg	3	subj	30	30
6	bei	bei	P	PTKVZ	_	3	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	17	17
2	König	König	N	NN	Masc|Nom|Sg	3	subj	17	17
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	ganz	ganz	A	ADV	_	5	adv	_	_
5	entzückt	entzückt	A	ADJD	Pos|	3	pred	_	_
6	von	von	P	APPR	Dat	3	pp	_	_
7	dem	die	A	ART	Def|Neut|Dat|Sg	10	det	_	_
8	echt	echt	A	ADJD	Pos|	9	adv	_	_
9	kriegerischen	kriegerisch	A	ADJA	Pos|Neut|Dat|Sg|Wk|	10	attr	_	_
10	Arrangement	Arrangement	N	NN	Neut|Dat|Sg	6	pn	_	_
11	;	;	$	$.	_	0	root	_	_
12	nicht	nicht	P	PTKNEG	_	16	adv	_	_
13	so	so	A	ADV	_	16	adv	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	16	det	_	_
15	kleine	klein	A	ADJA	Pos|Masc|Nom|Sg|Wk|	16	attr	_	_
16	Zwerg	Zwerg	N	NN	Masc|Nom|Sg	0	root	_	_
17	und	und	K	KON	_	16	kon	_	_
18	Lautenschläger	Lautenschläger	N	NN	Masc|Nom|_	17	cj	_	_
19	.	.	$	$.	_	0	root	_	_

1	Der	die	P	PDS	Masc|Nom|Sg	2	subj	_	_
2	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	im	in	P	APPRART	Dat	2	pp	_	_
4	Palast	Palast	N	NN	Masc|Dat|Sg	3	pn	_	_
5	des	die	A	ART	Def|Masc|Gen|Sg	6	det	42	42
6	Pförtners	Pförtner	N	NN	Masc|Gen|Sg	4	gmod	42	42
7	,	,	$	$,	_	0	root	_	_
8	allwo	allwo	V	VVFIN	3|Sg|_|_	2	s	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
10	nachher	nachher	A	ADV	_	8	adv	_	_
11	sehr	sehr	A	ADV	_	12	adv	_	_
12	hoch	hoch	A	ADJD	Pos|	13	adv	_	_
13	herging	hergehen	V	VVFIN	_|Sg|Past|Ind	8	s	_	_
14	und	und	K	KON	_	13	kon	_	_
15	viel	viel	A	PIDAT	Masc|Nom|Sg	16	det	_	_
16	Wein	Wein	N	NN	Masc|Nom|Sg	18	subj	_	_
17	getrunken	trinken	V	VVPP	_	18	aux	_	_
18	wurde	werden	V	VAFIN	3|Sg|Past|Ind	14	cj	_	_
19	,	,	$	$,	_	0	root	_	_
20	mit	mit	P	APPR	Dat	0	root	_	_
21	hämischem	hämisch	A	ADJA	Pos|_|Dat|Sg|St|	22	attr	_	_
22	Gelächter	Gelächter	N	NN	_|Dat|Sg	20	pn	_	_
23	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|Masc|Nom|Pl	3	det	31	31
3	Herren	Herr	N	NN	Masc|Nom|Pl	5	subj	31	31
4	Offiziere	Offizier	N	NN	Masc|Nom|Pl	3	app	31	31
5	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
6	ein	eine	A	ART	Indef|Neut|_|Sg	9	det	_	_
7	sehr	sehr	A	ADV	_	8	adv	_	_
8	unvollkommenes	unvollkommen	A	ADJA	Pos|Neut|_|Sg|St|	9	attr	_	_
9	Schauspiel	Schauspiel	N	NN	Neut|_|Sg	12	obja	_	_
10	zum	zu	P	APPRART	Dat	12	objp	_	_
11	Besten	Beste	N	NN	_|Dat|_	10	pn	_	_
12	gegeben	geben	V	VVPP	_	5	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Mensch	Mensch	N	NN	Masc|Nom|Sg	3	subj	_	_
3	besteht	bestehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	doch	doch	A	ADV	_	3	adv	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	bloß	bloß	A	ADV	_	3	adv	_	_
7	aus	aus	P	APPR	Dat	3	objp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	32	32
9	Kopf	Kopf	N	NN	Masc|Dat|Sg	7	pn	32	32
10	.	.	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	blieben	bleiben	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	die	die	A	ART	Def|Fem|Nom|Pl	6	det	33	33
5	modernden	modernd	A	ADJA	Pos|Fem|Nom|Pl|Wk|<PPRES	6	attr	33	33
6	Gliedmaßen	Gliedmaße	N	NN	Fem|Nom|Pl	2	subj	33	33
7	der	die	A	ART	Def|Masc|Gen|Pl	8	det	34	34
8	Feinde	Feind	N	NN	Masc|Gen|Pl	6	gmod	33	33
9	?	?	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	33	33
4	geblieben	bleiben	V	VVPP	_	2	aux	_	_
5	?	?	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	2	obja	_	_
2	frage	fragen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	41	41
4	.	.	$	$.	_	0	root	_	_

1	Warum	Warum	P	PWAV	_	2	adv	_	_
2	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	14	adv	_	_
4	die	die	A	ART	Def|Masc|Nom|Pl	5	det	_	_
5	Bäuche	Bauch	N	NN	Masc|Nom|Pl	2	subj	_	_
6	der	die	A	ART	Def|Masc|Gen|Pl	7	det	34	34
7	Feinde	Feind	N	NN	Masc|Gen|Pl	5	gmod	34	34
8	über	über	P	APPR	Acc	14	pp	_	_
9	das	die	A	ART	Def|Neut|Acc|Sg	10	det	_	_
10	Haupt	Haupt	N	NN	Neut|Acc|Sg	8	pn	_	_
11	des	die	A	ART	Def|Masc|Gen|Sg	13	det	_	_
12	allmächtigen	allmächtig	A	ADJA	Pos|Masc|Gen|Sg|_|	13	attr	_	_
13	Königs	König	N	NN	Masc|Gen|Sg	10	gmod	_	_
14	hinübergeschleudert	hinüberschleudern	V	VVPP	_	2	aux	_	_
15	?	?	$	$.	_	0	root	_	_

