1	Bagdads	Bagdad	N	NE	Neut|Gen|Sg	3	gmod	4	4
14	zu	zu	P	PTKA	_	15	adv	_	_
15	beschwerlich	beschwerlich	A	ADJD	Pos|	16	pred	_	_
16	gewesen	sein	V	VAPP	_	9	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	2	adv	_	_
2	mochten	mögen	V	VMFIN	3|Pl|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	927	927
4	einem	eine	A	ART	Indef|Neut|Dat|Sg	6	det	1031	1031
5	»	»	$	$(	_	0	root	1031	1031
6	Fastenfest	Fastenfest	N	NN	Neut|Dat|Sg	9	objd	1031	1031
7	«	«	$	$(	_	0	root	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	beiwohnen	beiwohnen	V	VVINF	_	2	aux	_	_
10	-	-	$	$(	_	0	root	_	_
11	ein	eine	A	ART	Indef|Neut|_|Sg	12	det	1098	1098
12	Fest	Fest	N	NN	Neut|_|Sg	15	obja	1098	1098
13	ohne	ohne	P	APPR	Acc	12	pp	1098	1098
14	Essen	Esse	N	NN	_|Acc|_	13	pn	449	449
15	nannten	nennen	V	VVFIN	3|Pl|Past|Ind	2	kon	_	_
16	sie	sie	P	PPER	3|Pl|_|Nom	15	subj	927	927
17	nicht	nicht	P	PTKNEG	_	15	adv	_	_
18	ein	eine	A	ART	Indef|Neut|Nom|Sg	19	det	_	_
19	Fest	Fest	N	NN	Neut|Nom|Sg	15	pred	_	_
20	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Neut|Nom|Sg	3	det	_	_
2	»	»	$	$(	_	0	root	_	_
3	Fastenfest	Fastenfest	N	NN	Neut|Nom|Sg	5	subj	_	_
4	«	«	$	$(	_	0	root	_	_
5	ward	ward	V	VAFIN	_|Sg|_|_	0	root	_	_
6	aber	aber	A	ADV	_	10	adv	_	_
7	trotzdem	trotzdem	P	PROAV	_	10	pp	_	_
8	in	in	P	APPR	_	10	pp	_	_
9	Hauran	Hauran	N	NE	_|_|_	8	pn	927	927
10	gefeiert	feiern	V	VVPP	_	5	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	930	930
2	Mondtempel	Mondtempel	N	NN	Masc|Nom|Sg	3	subj	930	930
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
5	Tempel	Tempel	N	NN	Masc|Nom|Sg	3	pred	_	_
6	der	die	A	ART	Def|_|Gen|_	7	det	992	992
7	Ssabier	Ssabier	N	NN	_|Gen|_	5	gmod	992	992
8	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	928	928
2	Ssabier	Ssabier	N	NN	_|Nom|Pl	3	subj	928	928
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	nach	nach	P	APPR	Dat	3	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	_	_
6	Meinung	Meinung	N	NN	Fem|Dat|Sg	4	pn	_	_
7	des	die	A	ART	Def|Neut|Gen|Sg	8	det	17	17
8	Volkes	Volk	N	NN	Neut|Gen|Sg	6	gmod	17	17
9	Götzenanbeter	Götzenanbeter	N	NN	Masc|Nom|_	3	pred	_	_
10	-	-	$	$(	_	0	root	_	_
11	Heiden	Heide	N	NN	_|_|_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Doch	doch	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|Fem|Nom|Pl	3	det	_	_
3	Meinungen	Meinung	N	NN	Fem|Nom|Pl	6	subj	_	_
4	des	die	A	ART	Def|Neut|Gen|Sg	5	det	17	17
5	Volkes	Volk	N	NN	Neut|Gen|Sg	3	gmod	17	17
6	sind	sein	V	VAFIN	3|Pl|Pres|Ind	1	cj	_	_
7	ja	ja	A	ADV	_	6	adv	_	_
8	niemals	niemals	A	ADV	_	6	adv	_	_
9	maßgebend	maßgebend	A	ADJD	Pos|_	6	pred	_	_
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	928	928
2	Ssabier	Ssabier	N	NN	_|Nom|Pl	3	subj	928	928
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	mehr	mehr	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	8	kom	_	_
7	sie	sie	P	PPER	3|_|_|_	6	cj	928	928
8	scheinen	scheinen	V	VVFIN	_|Pl|Pres|_	3	kon	_	_
9	.	.	$	$.	_	0	root	_	_

1	Ihre	ihre	A	PPOSAT	Fem|Nom|Sg	2	det	928	928
2	Religion	Religion	N	NN	Fem|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|_|Nom|Sg	5	det	_	_
5	Abglanz	Abglanz	N	NN	_|Nom|Sg	3	pred	_	_
6	altbabylonischer	altbabylonisch	A	ADJA	Pos|Masc|Gen|Pl|St|	9	attr	_	_
7	und	und	K	KON	_	6	kon	_	_
8	altassyrischer	altassyrisch	A	ADJA	Pos|_|Gen|_|St|	7	cj	_	_
9	Kulte	Kult	N	NN	Masc|Gen|Pl	5	gmod	_	_
10	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Mondtempel	Mondtempel	N	NN	Masc|Nom|Sg	5	subj	_	_
3	zu	zu	P	APPR	Dat	2	pp	_	_
4	Hauran	Hauran	N	NE	_|Dat|_	3	pn	927	927
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	Jahrtausende	Jahrtausend	N	NN	Fem|Nom|Sg	5	pred	929	929
7	alt	alt	A	ADJD	Pos|	12	adv	929	929
8	-	-	$	$(	_	0	root	929	929
9	eine	eine	A	ART	Indef|Fem|Nom|Sg	12	det	929	929
10	alte	alt	A	ADJA	Pos|Fem|Nom|Sg|_|	12	attr	929	929
11	träumende	träumend	A	ADJA	Pos|Fem|Nom|Sg|_|<PPRES	12	attr	929	929
12	Ruine	Ruine	N	NN	Fem|Nom|Sg	6	app	929	929
13	,	,	$	$,	_	0	root	929	929
14	die	die	P	PRELS	Fem|Nom|Sg	24	subj	929	929
15	wie	wie	K	KOKOM	_	24	kom	_	_
16	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
17	sterbende	sterbend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	18	attr	_	_
18	Greisin	Greisin	N	NN	Fem|_|Sg	15	cj	_	_
19	von	von	P	APPR	_	24	pp	_	_
20	alter	alt	A	ADJA	Pos|Fem|_|Sg|St|	23	attr	_	_
21	,	,	$	$,	_	0	root	_	_
22	alter	alt	A	ADJA	Pos|_|_|_|St|	20	kon	_	_
23	Zeit	Zeit	N	NN	Fem|_|Sg	19	pn	_	_
24	erzählt	erzählen	V	VVFIN	3|Sg|Pres|Ind	12	rel	_	_
25	-	-	$	$(	_	0	root	_	_
26	und	und	K	KON	_	6	kon	_	_
27	Wunderdinge	Wunderding	N	NN	Neut|Nom|Pl	26	cj	_	_
28	weiß	wissen	V	VVFIN	_|Sg|Pres|Ind	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	930	930
2	Mondtempel	Mondtempel	N	NN	Masc|Nom|Sg	3	subj	930	930
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	hell	hell	A	ADJD	Pos|	7	adv	_	_
5	vom	von	P	APPRART	Dat	7	pp	_	_
6	Vollmond	Vollmond	N	NN	Masc|Dat|Sg	5	pn	_	_
7	erleuchtet	erleuchten	V	VVPP	_	3	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	in	in	P	APPR	Acc	5	pp	_	_
3	das	die	A	ART	Def|Neut|Acc|Sg	4	det	_	_
4	Mondlicht	Mondlicht	N	NN	Neut|Acc|Sg	2	pn	_	_
5	flammen	flammen	V	VVFIN	3|Pl|Pres|_	1	cj	_	_
6	aus	aus	P	APPR	Dat	5	pp	_	_
7	eisernen	eisern	A	ADJA	Pos|_|Dat|_|_|	8	attr	_	_
8	Schalen	Schal	N	NN	_|Dat|_	6	pn	_	_
9	mächtig	mächtig	A	ADJD	Pos|	10	adv	_	_
10	lodernde	lodernd	A	ADJA	Pos|Neut|Nom|Pl|St|<PPRES	11	attr	_	_
11	Opferfeuer	Opferfeuer	N	NN	Neut|Nom|Pl	5	subj	_	_
12	hinauf	hinauf	P	PTKVZ	_	5	avz	_	_
13	.	.	$	$.	_	0	root	_	_

1	Wohlriechendes	wohlriechend	A	ADJA	Pos|Neut|_|Sg|St|_	2	attr	_	_
2	Holz	Holz	N	NN	Neut|_|Sg	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	zumeist	zumeist	A	ADV	_	5	adv	931	931
5	Sandarakholz	Sandarakholz	N	NE	_	0	root	931	931
6	-	-	$	$(	_	0	root	931	931
7	wird	werden	V	VAFIN	3|Sg|Pres|Ind	5	par	931	931
8	in	in	P	APPR	_	12	pp	931	931
9	den	die	A	ART	Def|_|_|_	11	det	931	931
10	eisernen	eisern	A	ADJA	Pos|_|_|_|_|	11	attr	931	931
11	Schalen	Schal	N	NN	_|_|_	8	pn	931	931
12	verbrannt	verbrennen	V	VVPP	_	7	aux	931	931
13	,	,	$	$,	_	0	root	931	931
14	sodaß	sodaß	K	KOUS	_	25	konj	931	931
15	der	die	A	ART	Def|Masc|Nom|Sg	17	det	931	931
16	ganze	ganz	A	ADJA	Pos|Masc|Nom|Sg|Wk|	17	attr	931	931
17	Tempel	Tempel	N	NN	Masc|Nom|Sg	25	subj	931	931
18	und	und	K	KON	_	17	kon	931	931
19	die	die	A	ART	Def|_|Nom|_	21	det	931	931
20	ganze	ganz	A	ADJA	Pos|_|Nom|_|_|	21	attr	931	931
21	Umgegend	Umgegend	N	NN	_|Nom|_	18	cj	931	931
22	des	die	A	ART	Def|Masc|Gen|Sg	23	det	690	690
23	Tempels	Tempel	N	NN	Masc|Gen|Sg	21	gmod	690	690
24	wundersam	wundersam	A	ADJD	Pos|	25	adv	_	_
25	duftet	duften	V	VVFIN	3|Sg|Pres|Ind	7	neb	_	_
26	-	-	$	$(	_	0	root	_	_
27	wie	wie	K	KOKOM	_	5	kom	_	_
28	die	die	A	ART	Def|Fem|_|Sg	29	det	_	_
29	Nähe	Nähe	N	NN	Fem|_|Sg	27	cj	_	_
30	eines	eine	A	ART	Indef|Masc|Gen|Sg	31	det	959	959
31	Gottes	Gott	N	NN	Masc|Gen|Sg	29	gmod	931	931
32	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	fastet	fasen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	drei	drei	C	CARD	_	4	attr	_	_
4	Tage	Tag	N	NN	Masc|_|Pl	2	obja	_	_
5	und	und	K	KON	_	4	kon	_	_
6	drei	drei	C	CARD	_	7	attr	_	_
7	Nächte	Nacht	N	NN	Fem|_|Pl	5	cj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Zu	zu	P	APPR	Dat	4	pp	_	_
2	bestimmten	bestimmt	A	ADJA	Pos|_|Dat|_|_|	3	attr	_	_
3	Stunden	Stunde	N	NN	_|Dat|_	1	pn	_	_
4	erklingt	erklingen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	an	an	P	APPR	_	4	pp	_	_
6	den	die	A	ART	Def|_|_|_	7	det	1369	1369
7	Mauern	Mauer	N	NN	_|_|_	5	pn	1369	1369
8	und	und	K	KON	_	5	kon	_	_
9	auf	auf	P	APPR	Dat	8	cj	_	_
10	den	die	A	ART	Def|Fem|Dat|Pl	11	det	_	_
11	Terrassen	Terrasse	N	NN	Fem|Dat|Pl	9	pn	_	_
12	des	die	A	ART	Def|Masc|Gen|Sg	17	det	_	_
13	einsam	einsam	A	ADJD	Pos|	16	adv	_	_
14	und	und	K	KON	_	13	kon	_	_
15	hoch	hoch	A	ADJD	Pos|	14	cj	_	_
16	gelegenen	gelegen	A	ADJA	Pos|Masc|Gen|Sg|_|	17	attr	_	_
17	Tempels	Tempel	N	NN	Masc|Gen|Sg	11	gmod	_	_
18	Musik	Musik	N	NN	Fem|Nom|Sg	4	subj	_	_
19	-	-	$	$(	_	0	root	_	_
20	von	von	P	APPR	Dat	18	pp	_	_
21	Zymbeln	Zymbeln	N	NE	_|Dat|_	20	pn	_	_
22	,	,	$	$,	_	0	root	_	_
23	Flöten	Flöte	N	NN	_|Dat|_	21	kon	_	_
24	und	und	K	KON	_	23	kon	_	_
25	Saiteninstrumenten	Saiteninstrument	N	NN	Neut|Dat|Pl	24	cj	_	_
26	.	.	$	$.	_	0	root	_	_

1	Abu	Abu	N	NE	_|Nom|Sg	3	subj	112	112
2	Maschar	Maschar	N	NE	_|Nom|Sg	1	app	112	112
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	die	die	A	ART	Def|Masc|_|Pl	6	det	713	713
5	lauteren	laut	A	ADJA	_|Masc|_|Pl|Wk|	6	attr	713	713
6	Brüder	Bruder	N	NN	Masc|_|Pl	7	obja	713	713
7	hierhergeführt	hierherführen	V	VVPP	_	3	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	112	112
10	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	3	kon	_	_
11	jetzt	jetzt	A	ADV	_	10	adv	_	_
12	mit	mit	P	APPR	Dat	10	pp	_	_
13	einem	eine	A	ART	Indef|Masc|Dat|Sg	15	det	_	_
14	großen	groß	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	_	_
15	Priester	Priester	N	NN	Masc|Dat|Sg	12	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	dessen	die	A	PRELAT	Masc|Nom|Sg	20	det	_	_
18	langer	lang	A	ADJA	Pos|Masc|Nom|Sg|St|	20	attr	_	_
19	schwarzer	schwarz	A	ADJA	Pos|Masc|Nom|Sg|St|	20	attr	_	_
20	Bart	Bart	N	NN	Masc|Nom|Sg	26	subj	_	_
21	nach	nach	P	APPR	Dat	25	pp	_	_
22	assyrischer	assyrisch	A	ADJA	Pos|Fem|Dat|Sg|St|	23	attr	932	932
23	Sitte	Sitte	N	NN	Fem|Dat|Sg	21	pn	932	932
24	sorgsam	sorgsam	N	NE	Fem|Dat|Sg	23	app	932	932
25	gekräuselt	kräuseln	V	VVPP	_	26	aux	_	_
26	ist	sein	V	VAFIN	3|Sg|Pres|Ind	15	rel	_	_
27	,	,	$	$,	_	0	root	_	_
28	sodaß	sodaß	K	KOUS	_	30	konj	_	_
29	es	es	P	PPER	3|Sg|Neut|Nom	30	subj	_	_
30	aussieht	aussehen	V	VVFIN	3|Sg|Pres|Ind	26	neb	_	_
31	,	,	$	$,	_	0	root	_	_
32	als	als	K	KOKOM	_	33	konj	_	_
33	bestände	bestehen	V	VVFIN	3|Sg|Past|Subj	30	neb	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	33	subj	112	112
35	aus	aus	P	APPR	Dat	33	objp	_	_
36	lauter	lauter	A	PIAT	Neut|Dat|_	39	det	_	_
37	kleinen	klein	A	ADJA	Pos|Neut|Dat|_|_|	39	attr	_	_
38	runden	rund	A	ADJA	Pos|Neut|Dat|_|_|	39	attr	_	_
39	Löckchen	Löckchen	N	NN	Neut|Dat|_	35	pn	_	_
40	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
2	lange	lang	A	ADJA	Pos|Masc|Nom|Sg|Wk|	4	attr	_	_
3	weiße	weiß	A	ADJA	Pos|Masc|Nom|Sg|Wk|	4	attr	_	_
4	Kaftan	Kaftan	N	NN	Masc|Nom|Sg	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	mit	mit	P	APPR	Dat	9	objp	_	_
7	goldenen	golden	A	ADJA	Pos|Masc|Dat|Pl|_|	8	attr	933	933
8	Sternen	Stern	N	NN	Masc|Dat|Pl	6	pn	933	933
9	übersät	übersäen	V	VVPP	_	5	aux	933	933
10	,	,	$	$,	_	0	root	933	933
11	die	die	P	PRELS	Masc|Nom|Pl	15	subj	933	933
12	mit	mit	P	APPR	Dat	14	pp	_	_
13	Goldfäden	Goldfaden	N	NN	Masc|Dat|Pl	12	pn	_	_
14	hineingestickt	hineinsticken	V	VVPP	_	15	aux	_	_
15	sind	sein	V	VAFIN	3|Pl|Pres|Ind	8	rel	_	_
16	.	.	$	$.	_	0	root	_	_

1	Über	über	P	APPR	Dat	7	pp	_	_
2	dem	die	A	ART	Def|Neut|Dat|Sg	4	det	_	_
3	dunkelbraunen	dunkelbraun	A	ADJA	Pos|Neut|Dat|Sg|Wk|	4	attr	_	_
4	Gesicht	Gesicht	N	NN	Neut|Dat|Sg	1	pn	_	_
5	des	die	A	ART	Def|Masc|Gen|Sg	6	det	934	934
6	Priesters	Priester	N	NN	Masc|Gen|Sg	4	gmod	934	934
7	erhebt	erheben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	sich	sie	P	PRF	3|_|_	7	obja	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	12	det	_	_
10	mächtiger	mächtig	A	ADJA	Pos|Masc|Nom|Sg|St|	12	attr	_	_
11	hellblauer	hellblau	A	ADJA	Pos|Masc|Nom|Sg|St|	12	attr	_	_
12	Seidenturban	Seidenturban	N	NN	Masc|Nom|Sg	7	subj	_	_
13	mit	mit	P	APPR	Dat	7	pp	_	_
14	sieben	sieben	C	CARD	_	16	attr	_	_
15	silbernen	silbern	A	ADJA	Pos|Masc|Dat|Pl|_|	16	attr	_	_
16	Vollmonden	Vollmond	N	NN	Masc|Dat|Pl	13	pn	_	_
17	vorn	vorn	A	ADV	_	13	adv	_	_
18	über	über	P	APPR	Dat	7	pp	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	199	199
20	Stirn	Stirn	N	NN	Fem|Dat|Sg	18	pn	199	199
21	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|_	5	det	_	_
2	mit	mit	P	APPR	Dat	4	pp	_	_
3	Silberfäden	Silberfaden	N	NN	Masc|Dat|Pl	2	pn	_	_
4	gestickten	gestickt	A	ADJA	Pos|_|Nom|Pl|Wk|	5	attr	_	_
5	Monde	Mond	N	NN	_|Nom|Pl	6	subj	_	_
6	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
7	von	von	P	APPR	_	6	pp	_	_
8	verschiedener	verschieden	A	ADJA	Pos|Fem|_|Sg|St|	9	attr	_	_
9	Größe	Größe	N	NN	Fem|_|Sg	7	pn	_	_
10	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	2	adv	_	_
2	Männer	Mann	N	NN	Masc|Nom|Pl	7	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	Jünglinge	Jüngling	N	NN	Masc|Nom|Pl	2	kon	_	_
5	und	und	K	KON	_	4	kon	_	_
6	Knaben	Knabe	N	NN	Masc|Nom|Pl	5	cj	_	_
7	weilen	weilen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
8	im	in	P	APPRART	Dat	7	pp	_	_
9	Tempel	Tempel	N	NN	Masc|Dat|Sg	8	pn	991	991
10	-	-	$	$(	_	0	root	_	_
11	ein	eine	A	ART	Indef|Neut|Nom|Sg	12	det	_	_
12	Weib	Weib	N	NN	Neut|Nom|Sg	13	subj	_	_
13	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	7	kon	_	_
14	den	die	A	ART	Def|Masc|Acc|Sg	15	det	690	690
15	Tempel	Tempel	N	NN	Masc|Acc|Sg	17	obja	690	690
16	nicht	nicht	P	PTKNEG	_	17	adv	_	_
17	betreten	betreten	V	VVINF	_	13	aux	_	_
18	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ein	eine	A	ART	Indef|Masc|Nom|Sg	4	det	_	_
3	eintöniger	eintönig	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	_	_
4	Gesang	Gesang	N	NN	Masc|Nom|Sg	5	subj	_	_
5	tönt	tönen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
6	durch	durch	P	APPR	Acc	5	pp	_	_
7	die	die	A	ART	Def|_|Acc|_	8	det	935	935
8	Mondnacht	Mondnacht	N	NN	_|Acc|_	6	pn	935	935
9	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	936	936
2	Gläubigen	Gläubige	N	NN	_|Nom|Pl	3	subj	936	936
3	sitzen	sitzen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	oder	oder	K	KON	_	0	root	_	_
5	stehen	stehen	V	VVINF	_	4	cj	_	_
6	-	-	$	$(	_	0	root	_	_
7	einzeln	einzeln	A	ADJD	Pos|	13	adv	_	_
8	-	-	$	$(	_	0	root	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	in	in	P	APPR	_	7	par	_	_
11	Gruppen	Gruppe	N	NN	Fem|_|Pl	10	pn	_	_
12	-	-	$	$(	_	0	root	_	_
13	sie	sie	P	PPER	3|Pl|_|Nom	14	subj	936	936
14	dürfen	dürfen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
15	nicht	nicht	P	PTKNEG	_	18	adv	_	_
16	mit	mit	P	APPR	Dat	18	pp	_	_
17	einander	einander	P	PRF	_|_|Dat	16	pn	_	_
18	sprechen	sprechen	V	VVINF	_	14	aux	_	_
19	-	-	$	$(	_	0	root	_	_
20	nur	nur	A	ADV	_	21	adv	_	_
21	mit	mit	P	APPR	Dat	26	pp	_	_
22	den	die	A	ART	Def|Masc|Dat|Pl	25	det	937	937
23	sieben	sieben	C	CARD	_	25	attr	937	937
24	großen	groß	A	ADJA	Pos|Masc|Dat|Pl|_|	25	attr	937	937
25	Priestern	Priester	N	NN	Masc|Dat|Pl	21	pn	937	937
26	dürfen	dürfen	V	VMFIN	3|Pl|Pres|_	14	kon	_	_
27	sie	sie	P	PPER	3|Pl|_|Nom	26	subj	936	936
28	sprechen	sprechen	V	VVINF	_	26	aux	_	_
29	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	4	det	937	937
2	sieben	sieben	C	CARD	_	4	attr	937	937
3	großen	groß	A	ADJA	Pos|Masc|Nom|Pl|Wk|	4	attr	937	937
4	Priester	Priester	N	NN	Masc|Nom|Pl	5	subj	937	937
5	sehen	sehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
6	sich	sie	P	PRF	3|_|_	5	obja	_	_
7	im	in	P	APPRART	Dat	5	pp	_	_
8	Äußern	Äußern	N	NN	Neut|Dat|Sg	7	pn	_	_
9	fast	fast	A	ADV	_	10	adv	_	_
10	gleich	gleich	A	ADJD	Pos|	5	adv	_	_
11	-	-	$	$(	_	0	root	_	_
12	tragen	tragen	V	VVFIN	_|Pl|Pres|_	5	kon	_	_
13	sämtlich	sämtlich	A	ADJD	Pos|	12	adv	_	_
14	den	die	A	ART	Def|Masc|Acc|Sg	16	det	_	_
15	assyrischen	assyrisch	A	ADJA	Pos|Masc|Acc|Sg|_|	16	attr	_	_
16	Bart	Bart	N	NN	Masc|Acc|Sg	12	obja	_	_
17	,	,	$	$,	_	0	root	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
19	Sternenkaftan	Sternenkaftan	N	NN	Masc|Acc|Sg	16	kon	_	_
20	und	und	K	KON	_	19	kon	_	_
21	den	die	A	ART	Def|Masc|Acc|Sg	23	det	_	_
22	hellblauen	hellblau	A	ADJA	Pos|Masc|Acc|Sg|_|	23	attr	_	_
23	Mondturban	Mondturban	N	NN	Masc|Acc|Sg	20	cj	_	_
24	.	.	$	$.	_	0	root	_	_

1	Jakuby	Jakuby	N	NE	_|Nom|Sg	2	subj	133	133
2	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	fortwährend	fortwährend	A	ADJD	_|_	2	adv	_	_
5	Notizen	Notiz	N	NN	Fem|Nom|Pl	2	pred	_	_
6	.	.	$	$.	_	0	root	_	_

1	Suleiman	Suleiman	N	NE	_|Nom|Pl	4	subj	36	36
2	und	und	K	KON	_	1	kon	_	_
3	Battany	Battany	N	NE	_|Nom|Pl	2	cj	126	126
4	hocken	hocken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	in	in	P	APPR	Dat	4	pp	_	_
6	einer	eine	A	ART	Indef|Fem|Dat|Sg	8	det	938	938
7	großen	groß	A	ADJA	Pos|Fem|Dat|Sg|Wk|	8	attr	938	938
8	Grotte	Grotte	N	NN	Fem|Dat|Sg	5	pn	938	938
9	,	,	$	$,	_	0	root	938	938
10	die	die	P	PRELS	Fem|_|Sg	16	obja	938	938
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	258	258
12	Mond	Mond	N	NN	Masc|Nom|Sg	16	subj	258	258
13	nur	nur	A	ADV	_	16	adv	_	_
14	zur	zu	P	APPRART	Dat	16	pp	_	_
15	Hälfte	Hälfte	N	NN	Fem|Dat|Sg	14	pn	1416	1416
16	erleuchtet	erleuchten	V	VVFIN	3|Sg|Pres|Ind	8	rel	_	_
17	.	.	$	$.	_	0	root	_	_

1	Abu	Abu	N	NE	_|Nom|Sg	3	subj	221	221
2	Hischam	Hischam	N	NE	_|Nom|Sg	1	app	221	221
3	wandelt	wandeln	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	vor	vor	P	APPR	Dat	3	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	7	det	_	_
6	großen	groß	A	ADJA	Pos|Fem|Dat|Sg|Wk|	7	attr	_	_
7	Tempelpforte	Tempelpforte	N	NN	Fem|Dat|Sg	4	pn	_	_
8	auf	auf	P	APPR	Dat	3	pp	_	_
9	dem	die	A	ART	Def|Masc|Dat|Sg	11	det	_	_
10	großen	groß	A	ADJA	Pos|Masc|Dat|Sg|Wk|	11	attr	_	_
11	Opferplatze	Opferplatz	N	NN	Masc|Dat|Sg	8	pn	_	_
12	unruhig	unruhig	A	ADJD	Pos|	3	adv	_	_
13	umher	umher	P	PTKVZ	_	3	avz	_	_
14	und	und	K	KON	_	3	kon	_	_
15	erzählt	erzählen	V	VVFIN	_|_|Pres|Ind	14	cj	_	_
16	jetzt	jetzt	A	ADV	_	15	adv	_	_
17	dem	die	A	ART	Def|_|Dat|Sg	18	part	_	_
18	einen	eine	P	PIS	_|Dat|_	15	objd	_	_
19	der	die	A	ART	Def|Masc|Gen|Pl	21	det	1008	1008
20	großen	groß	A	ADJA	Pos|Masc|Gen|Pl|Wk|	21	attr	1008	1008
21	Priester	Priester	N	NN	Masc|Gen|Pl	18	gmod	1008	1008
22	von	von	P	APPR	Dat	15	pp	_	_
23	dem	die	A	ART	Def|_|Dat|Sg	24	det	_	_
24	Geheimbunde	Geheimbund	N	NN	_|Dat|Sg	22	pn	_	_
25	der	die	A	ART	Def|Masc|Gen|Pl	27	det	713	713
26	lauteren	laut	A	ADJA	_|Masc|Gen|Pl|Wk|	27	attr	713	713
27	Brüder	Bruder	N	NN	Masc|Gen|Pl	24	gmod	713	713
28	.	.	$	$.	_	0	root	_	_

