1	Plusa	Plusa	N	NE	_|Nom|Sg	2	subj	134	134
16	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
17	Harun	Harun	N	NE	Masc|Nom|Sg	16	subj	49	49
18	,	,	$	$,	_	0	root	49	49
19	der	die	A	ART	Def|Masc|Nom|Sg	21	det	49	49
20	allmächtige	allmächtig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	21	attr	49	49
21	Chalif	Chalif	N	NN	Masc|Nom|Sg	17	app	49	49
22	.	.	$	$.	_	0	root	_	_

1	Harun	Harun	N	NE	_|Dat|_	2	objd	49	49
2	hebt	heben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	443	443
4	Arme	Arm	N	NN	Fem|Nom|Sg	2	subj	443	443
5	empor	empor	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	dass	dass	K	KOUS	_	18	konj	_	_
8	seine	seine	A	PPOSAT	Fem|Nom|Pl	9	det	49	49
9	Hände	Hand	N	NN	Fem|Nom|Pl	18	subj	249	249
10	fast	fast	A	ADV	_	18	adv	_	_
11	das	die	A	ART	Def|Neut|_|Sg	14	det	_	_
12	schwach	schwach	A	ADJD	Pos|	13	adv	_	_
13	gewölbte	gewölbt	A	ADJA	Pos|Neut|_|Sg|Wk|	14	attr	_	_
14	Holzdach	Holzdach	N	NN	Neut|_|Sg	18	obja	_	_
15	des	die	A	ART	Def|Neut|Gen|Sg	17	det	_	_
16	sogenannten	sogenannt	A	ADJA	Pos|Neut|Gen|Sg|_|	17	attr	_	_
17	Schlosses	Schloss	N	NN	Neut|Gen|Sg	14	gmod	_	_
18	erreichen	erreichen	V	VVFIN	3|Pl|Pres|_	2	objc	_	_
19	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	248	248
2	Schloss	Schloss	N	NN	Neut|Nom|Sg	3	subj	248	248
3	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	den	die	A	ART	Def|Masc|Dat|Pl	5	det	35	35
5	Europäern	Europäer	N	NN	Masc|Dat|Pl	3	objd	35	35
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	viel	viel	A	PIDAT	Fem|_|Sg	8	det	_	_
8	Aussicht	Aussicht	N	NN	Fem|_|Sg	3	obja	_	_
9	fort	fort	P	PTKVZ	_	3	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	sie	sie	P	PPER	3|Pl|_|Nom	12	subj	249	249
12	können	können	V	VMFIN	3|Pl|Pres|_	3	kon	_	_
13	überall	überall	A	ADV	_	12	adv	_	_
14	-	-	$	$(	_	0	root	_	_
15	zwischen	zwischen	P	APPR	Dat	0	root	_	_
16	den	die	A	ART	Def|Fem|Dat|Pl	17	det	_	_
17	Säulen	Säule	N	NN	Fem|Dat|Pl	15	pn	_	_
18	des	die	A	ART	Def|Neut|Gen|Sg	19	det	248	248
19	Schlosses	Schloss	N	NN	Neut|Gen|Sg	17	gmod	248	248
20	durch	durch	P	PTKVZ	_	0	root	_	_
21	-	-	$	$(	_	0	root	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	250	250
23	Abendhimmel	Abendhimmel	N	NN	Masc|Acc|Sg	0	root	250	250
24	sehn	sehn	N	NE	Masc|Acc|Sg	23	app	250	250
25	,	,	$	$,	_	0	root	_	_
26	der	die	P	PRELS	Masc|Nom|Sg	33	subj	_	_
27	allmählich	allmählich	A	ADJD	Pos|	33	adv	_	_
28	in	in	P	APPR	Dat	33	pp	_	_
29	gelben	gelb	A	ADJA	Pos|_|Dat|_|_|	32	attr	_	_
30	und	und	K	KON	_	29	kon	_	_
31	rothen	rothen	A	ADJA	_|_|Dat|_|_|_	30	cj	_	_
32	Tönen	Ton	N	NN	_|Dat|_	28	pn	_	_
33	brennt	brennen	V	VVFIN	3|Sg|Pres|Ind	24	rel	_	_
34	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	52	52
3	Chalif	Chalif	N	NN	Masc|Nom|Sg	4	subj	52	52
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
5	schrecklich	schrecklich	A	ADJD	Pos|	6	adv	_	_
6	selig	selig	A	ADJD	Pos|	4	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	52	52
2	redet	reden	V	VVFIN	3|Sg|Pres|Ind	6	s	_	_
3	sehr	sehr	A	ADV	_	4	adv	_	_
4	viel	viel	P	PIS	_	2	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	aber	aber	A	ADV	_	6	adv	_	_
8	immer	immer	A	ADV	_	6	adv	_	_
9	dasselbe	dasselbe	P	PIS	_|Nom|Sg	6	subj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Djafar	Djafar	N	NE	_|Nom|Sg	2	subj	68	68
2	wirft	werfen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	52	52
4	das	die	P	PDS	Neut|_|Sg	2	obja	_	_
5	mürrisch	mürrisch	A	ADJD	Pos|	2	adv	_	_
6	vor	vor	P	PTKVZ	_	2	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	Abbasah	Abbasah	N	NE	_|Nom|Sg	2	subj	51	51
2	hält	halten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	5	det	251	251
4	grossen	groß	A	ADJA	Pos|Masc|Acc|Sg|_|	5	attr	251	251
5	Schwärmer	Schwärmer	N	NN	Masc|Acc|Sg	2	obja	251	251
6	für	für	P	APPR	Acc	0	root	_	_
7	betrunken	betrinken	V	VVPP	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	mit	mit	P	APPR	Dat	15	pp	_	_
10	welcher	welche	A	PWAT	Fem|Dat|Sg	11	det	_	_
11	Meinung	Meinung	N	NN	Fem|Dat|Sg	9	pn	_	_
12	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	51	51
13	durchaus	durchaus	A	ADV	_	15	adv	_	_
14	nicht	nicht	P	PTKNEG	_	15	adv	_	_
15	zurückhält	zurückhalten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Doch	doch	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	251	251
3	Schwärmer	Schwärmer	N	NN	Masc|Nom|Sg	4	subj	251	251
4	lässt	lassen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
5	sich	sie	P	PRF	3|_|_	9	obja	_	_
6	nicht	nicht	P	PTKNEG	_	9	adv	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	leicht	leicht	A	ADJD	Pos|	9	adv	_	_
9	stören	stören	V	VVINF	_	4	obji	_	_
10	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	findet	finden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	plötzlich	plötzlich	A	ADJD	Pos|	2	adv	_	_
4	im	in	P	APPRART	Dat	2	pp	_	_
5	Wasser	Wasser	N	NN	Neut|Dat|Sg	4	pn	1169	1169
6	hinten	hinten	A	ADV	_	4	adv	_	_
7	in	in	P	APPR	Dat	2	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	252	252
9	Schlucht	Schlucht	N	NN	Fem|Dat|Sg	7	pn	252	252
10	ganz	ganz	A	ADV	_	12	adv	_	_
11	unbeschreibliche	unbeschreibliche	C	CARD	_	12	attr	_	_
12	Farben	Farbe	N	NN	Fem|_|Pl	2	obja	_	_
13	und	und	K	KON	_	2	kon	_	_
14	will	wollen	V	VMFIN	_|Sg|Pres|Ind	13	cj	_	_
15	sie	sie	P	PPER	3|_|_|_	21	obja	51	51
16	seinem	seine	A	PPOSAT	Neut|Dat|Sg	17	det	1	1
17	Weibe	Weib	N	NN	Neut|Dat|Sg	21	objd	_	_
18	und	und	K	KON	_	17	kon	_	_
19	seinem	seine	A	PPOSAT	Masc|Dat|Sg	20	det	1	1
20	Freunde	Freund	N	NN	Masc|Dat|Sg	18	cj	_	_
21	beschreiben	beschreiben	V	VVINF	_	14	aux	_	_
22	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|_|Nom|Pl	3	det	405	405
3	Beiden	Beiden	N	NN	_|Nom|Pl	4	subj	405	405
4	verstehen	verstehen	V	VVFIN	3|Pl|Pres|_	1	cj	_	_
5	natürlich	natürlich	A	ADJD	Pos|	4	adv	_	_
6	nicht	nicht	P	PTKNEG	_	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PWS	Neut|_|Sg	10	obja	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	1	1
10	meint	meinen	V	VVFIN	3|Sg|Pres|Ind	4	objc	_	_
11	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	Alles	alle	P	PIS	_|_|Sg	2	obja	_	_
4	anders	anders	A	ADV	_	2	adv	_	_
5	und	und	K	KON	_	4	kon	_	_
6	viel	viel	A	ADV	_	7	adv	_	_
7	mehr	mehr	A	ADV	_	5	cj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	muss	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	10	obja	_	_
4	darüber	darüber	P	PROAV	_	10	pp	_	_
5	immer	immer	A	ADV	_	6	adv	_	_
6	wieder	wieder	A	ADV	_	10	adv	_	_
7	und	und	K	KON	_	6	kon	_	_
8	wieder	wieder	A	ADV	_	9	adv	_	_
9	laut	laut	A	ADJD	Pos|	7	cj	_	_
10	wundern	wundern	V	VVINF	_	2	aux	_	_
11	-	-	$	$(	_	0	root	_	_
12	was	was	P	PRELS	Neut|Nom|Sg	19	subj	253	253
13	den	die	A	ART	Def|Masc|Dat|Pl	14	det	254	254
14	Genossen	Genosse	N	NN	Masc|Dat|Pl	19	objd	254	254
15	seiner	seine	A	PPOSAT	Fem|Gen|Sg	16	det	253	253
16	Freude	Freude	N	NN	Fem|Gen|Sg	14	gmod	_	_
17	bald	bald	A	ADV	_	19	adv	_	_
18	langweilig	langweilig	A	ADJD	Pos|	19	pred	_	_
19	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
20	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	49	49
2	Harun	Harun	N	NN	Masc|Nom|Sg	3	subj	49	49
3	bemerkt	bemerken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	ihre	ihre	A	PPOSAT	Fem|_|Sg	6	det	254	254
5	schlechte	schlecht	A	ADJA	Pos|Fem|_|Sg|_|	6	attr	_	_
6	Stimmung	Stimmung	N	NN	Fem|_|Sg	3	obja	_	_
7	nicht	nicht	P	PTKNEG	_	3	adv	_	_
8	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	49	49
2	denkt	denken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	jetzt	jetzt	A	ADV	_	2	adv	_	_
4	an	an	P	APPR	Acc	2	objp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	8	det	255	255
6	ganze	ganz	A	ADJA	Pos|Fem|Acc|Sg|_|	8	attr	255	255
7	letzte	letzte	A	ADJA	Pos|Fem|Acc|Sg|_|	8	attr	255	255
8	Zeit	Zeit	N	NN	Fem|Acc|Sg	4	pn	255	255
9	,	,	$	$,	_	0	root	255	255
10	in	in	P	APPR	Dat	20	pp	255	255
11	der	die	P	PRELS	Fem|Dat|Sg	10	pn	255	255
12	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	49	49
13	Weib	Weib	N	NN	Neut|_|Sg	20	obja	911	911
14	und	und	K	KON	_	13	kon	_	_
15	Freund	Freund	N	NN	Masc|_|Sg	14	cj	_	_
16	immer	immer	A	ADV	_	17	adv	_	_
17	zugleich	zugleich	A	ADV	_	20	adv	_	_
18	um	um	P	APPR	Acc	20	pp	_	_
19	sich	sie	P	PRF	3|_|Acc	18	pn	_	_
20	hatte	haben	V	VAFIN	3|Sg|Past|Ind	8	rel	_	_
21	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	was	was	P	PWS	Neut|_|Sg	4	obja	_	_
3	Harun	Harun	N	NE	_|Nom|Sg	4	subj	49	49
4	empfindet	empfinden	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
5	und	und	K	KON	_	4	kon	_	_
6	denkt	denken	V	VVFIN	_|_|Pres|Ind	5	cj	_	_
7	-	-	$	$(	_	0	root	_	_
8	das	die	P	PDS	Neut|_|Sg	12	obja	_	_
9	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
10	die	die	A	ART	Def|Masc|Nom|Pl	11	det	35	35
11	Europäer	Europäer	N	NN	Masc|Nom|Pl	9	subj	35	35
12	mitempfinden	mitempfinden	V	VVINF	_	9	aux	_	_
13	und	und	K	KON	_	12	kon	_	_
14	mitdenken	mitdenken	V	VVINF	_	13	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	ohne	ohne	P	APPR	Acc	17	konj	_	_
17	dass	dass	K	KOUS	_	23	konj	_	_
18	im	in	P	APPRART	Dat	22	pp	_	_
19	Schloss	Schloss	N	NN	Neut|Dat|Sg	18	pn	_	_
20	ein	eine	A	ART	Indef|Neut|Nom|Sg	21	det	_	_
21	Wort	Wort	N	NN	Neut|Nom|Sg	23	subj	_	_
22	gesprochen	sprechen	V	VVPP	_	23	aux	_	_
23	wird	werden	V	VAFIN	3|Sg|Pres|Ind	9	neb	_	_
24	-	-	$	$(	_	0	root	_	_
25	die	die	A	ART	Def|Masc|Nom|Pl	26	det	463	463
26	Schallfänger	Schallfänger	N	NN	Masc|Nom|Pl	27	subj	463	463
27	sind	sein	V	VAFIN	3|Pl|Pres|Ind	9	kon	_	_
28	so	so	A	ADV	_	29	adv	_	_
29	masslos	masslos	A	ADJD	Pos|	27	adv	_	_
30	fein	fein	A	ADJD	Pos|	27	pred	_	_
31	.	.	$	$.	_	0	root	_	_

