1	Rechts	Recht	N	NN	Neut|Gen|Sg	0	root	163	163
15	mehr	mehr	A	ADV	_	14	adv	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	gereizt	reizen	V	VVPP	_	12	neb	_	_
18	sein	sein	V	VAINF	_	0	root	_	_
19	.	.	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	51	51
2	Abbasah	Abbasah	N	NN	Fem|Nom|Sg	3	subj	51	51
3	schaut	schauen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	mit	mit	P	APPR	Dat	3	pp	_	_
5	verklärten	verklärt	A	ADJA	Pos|Neut|Dat|Pl|_|	6	attr	_	_
6	Augen	Auge	N	NN	Neut|Dat|Pl	4	pn	_	_
7	zum	zu	P	APPRART	Dat	3	pp	_	_
8	dunkelblauen	dunkelblau	A	ADJA	Pos|Masc|Dat|Sg|Wk|	9	attr	62	62
9	Himmel	Himmel	N	NN	Masc|Dat|Sg	7	pn	62	62
10	auf	auf	P	PTKVZ	_	3	avz	_	_
11	.	.	$	$.	_	0	root	_	_

1	Harun	Harun	N	NE	_|Nom|Sg	2	subj	49	49
2	streichelt	streicheln	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ihr	ihr	P	PPER	3|Sg|Fem|Dat	2	objd	51	51
4	die	die	A	ART	Def|Neut|_|Pl	6	det	64	64
5	kleinen	klein	A	ADJA	Pos|Neut|_|Pl|Wk|	6	attr	64	64
6	Ohren	Ohr	N	NN	Neut|_|Pl	2	obja	64	64
7	und	und	K	KON	_	2	kon	_	_
8	flüstert	flüstern	V	VVFIN	_|_|Pres|_	7	cj	_	_
9	ernst	ernst	A	ADJD	Pos|	8	adv	_	_
10	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Kind	Kind	N	NN	Neut|_|Sg	0	root	1008	1008
3	,	,	$	$,	_	0	root	_	_
4	Du	du	P	PPER	2|Sg|_|Nom	5	subj	_	_
5	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
6	sehr	sehr	A	ADV	_	7	adv	_	_
7	geistreich	geistreich	A	ADJD	Pos|	5	pred	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	winkt	winken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	den	die	A	ART	Def|Fem|Dat|Pl	5	det	482	482
4	anderen	anderen	A	ADJA	_|Fem|Dat|Pl|_	5	attr	482	482
5	Frauen	Frau	N	NN	Fem|Dat|Pl	2	objd	482	482
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	die	die	P	PDS	_|Nom|Pl	9	subj	_	_
9	singen	singen	V	VVFIN	3|Pl|Pres|_	7	cj	_	_
10	nun	nun	A	ADV	_	9	adv	_	_
11	ein	eine	A	ART	Indef|Neut|_|Sg	13	det	63	63
12	tieftrauriges	tieftraurig	A	ADJA	Pos|Neut|_|Sg|St|	13	attr	63	63
13	Liebeslied	Liebeslied	N	NN	Neut|_|Sg	9	obja	63	63
14	,	,	$	$,	_	0	root	63	63
15	das	die	P	PRELS	Neut|_|Sg	26	obja	63	63
16	sie	sie	P	PPER	3|Pl|_|Nom	27	subj	64	64
17	auf	auf	P	APPR	_	26	pp	_	_
18	Haruns	Haruns	N	NE	_|Gen|_	19	gmod	43	43
19	Wunsch	Wunsch	N	NN	Masc|_|Sg	17	pn	_	_
20	in	in	P	APPR	Dat	26	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
22	Nacht	Nacht	N	NN	Fem|Dat|Sg	20	pn	_	_
23	schon	schon	A	ADV	_	25	adv	_	_
24	sechs	sechs	C	CARD	_	25	attr	_	_
25	Mal	Mal	N	NN	Neut|Dat|Pl	22	app	_	_
26	gesungen	singen	V	VVPP	_	27	aux	_	_
27	haben	haben	V	VAFIN	3|Pl|Pres|_	13	rel	_	_
28	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	4	adv	_	_
2	'	'	$	$(	_	0	root	_	_
3	s	s	P	PPER	_|Sg|_|Nom	4	subj	1	1
4	verhallt	verhallen	V	VVFIN	3|Sg|Pres|Ind	6	objc	_	_
5	,	,	$	$,	_	0	root	_	_
6	erscheint	erscheinen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	9	det	_	_
8	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	9	attr	_	_
9	Jahjah	Jahjah	F	FM	Masc|Nom|Sg	6	subj	_	_
10	ibn	ibn	F	FM	Masc|Nom|Sg	9	app	_	_
11	Chalid	Chalid	F	FM	Masc|Nom|Sg	10	app	_	_
12	ibn	ibn	F	FM	Masc|Nom|Sg	11	app	_	_
13	Barmek	Barmek	F	FM	Masc|Nom|Sg	12	app	_	_
14	und	und	K	KON	_	6	kon	_	_
15	verneigt	verneigen	V	VVFIN	_|_|Pres|Ind	14	cj	_	_
16	sich	sie	P	PRF	3|_|_	15	obja	_	_
17	mit	mit	P	APPR	Dat	15	pp	_	_
18	seinem	seine	A	PPOSAT	Masc|Dat|Sg	20	det	1	1
19	weissen	weiss	A	ADJA	Pos|Masc|Dat|Sg|Wk|	20	attr	_	_
20	Bart	Bart	N	NN	Masc|Dat|Sg	17	pn	_	_
21	ganz	ganz	A	ADV	_	22	adv	_	_
22	tief	tief	A	ADJD	Pos|	23	adv	_	_
23	vor	vor	P	APPR	Dat	15	pp	_	_
24	seinem	seine	A	PPOSAT	_|Dat|Sg	26	det	1	1
25	mächtigen	mächtig	A	ADJA	Pos|_|Dat|Sg|Wk|	26	attr	_	_
26	Gebieter	Gebieter	N	NN	_|Dat|Sg	23	pn	_	_
27	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	2	det	44	44
2	Frauen	Frau	N	NN	Fem|Nom|Pl	5	subj	44	44
3	und	und	K	KON	_	2	kon	_	_
4	Sklaven	Sklave	N	NN	Masc|Nom|Pl	3	cj	_	_
5	entfernen	entfernen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
6	sich	sie	P	PRF	3|_|_	5	obja	_	_
7	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	2	adv	51	51
2	Abbasah	Abbasah	N	NE	_|Nom|Sg	3	subj	51	51
3	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	fort	fort	P	PTKVZ	_	3	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	Harun	Harun	N	NE	_|Nom|Sg	2	subj	49	49
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	Jahjah	Jahjah	N	NN	_|Dat|_	3	pn	97	97
5	allein	allein	A	ADV	_	3	adv	_	_
6	;	;	$	$.	_	0	root	_	_
7	das	die	P	PDS	Neut|Nom|Sg	8	subj	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	pred	49	49
10	stets	stets	A	ADV	_	9	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	wenn	wenn	K	KOUS	_	19	konj	_	_
13	sich	sie	P	PRF	3|_|_	19	obja	_	_
14	'	'	$	$(	_	0	root	_	_
15	s	s	P	PPER	_|Sg|_|Nom	19	subj	49	49
16	um	um	P	APPR	Acc	19	objp	_	_
17	wichtige	wichtig	A	ADJA	Pos|Neut|Acc|Pl|St|	18	attr	_	_
18	Staatsgeschäfte	Staatsgeschäft	N	NN	Neut|Acc|Pl	16	pn	_	_
19	handelt	handeln	V	VVFIN	3|Sg|Pres|Ind	8	neb	_	_
20	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Höre	Höre	V	VVIMP	_	0	root	_	_
3	mal	mal	A	ADV	_	2	adv	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	hebt	heben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	9	det	654	654
8	erlauchte	erlaucht	A	ADJA	Pos|Masc|Nom|Sg|Wk|	9	attr	654	654
9	Herrscher	Herrscher	N	NN	Masc|Nom|Sg	6	subj	654	654
10	an	an	P	PTKVZ	_	6	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	die	die	A	ART	Def|Fem|Nom|Sg	15	det	65	65
14	letzte	letzte	A	ADJA	Pos|Fem|Nom|Sg|_|	15	attr	65	65
15	Nacht	Nacht	N	NN	Fem|Nom|Sg	16	subj	65	65
16	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
17	prächtig	prächtig	A	ADJD	Pos|	16	pred	_	_
18	,	,	$	$,	_	0	root	_	_
19	sie	sie	P	PPER	3|Sg|Fem|Nom	20	subj	65	65
20	gefiel	gefallen	V	VVFIN	3|Sg|Past|Ind	16	kon	_	_
21	mir	ich	P	PPER	1|Sg|_|Dat	20	objd	67	67
22	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	20	20
2	Sterne	Stern	N	NN	Masc|Nom|Pl	6	subj	20	20
3	und	und	K	KON	_	2	kon	_	_
4	die	die	A	ART	Def|Neut|Nom|Pl	5	det	66	66
5	Weiber	Weib	N	NN	Neut|Nom|Pl	3	cj	66	66
6	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
7	mich	ich	P	PPER	1|Sg|_|Acc	8	obja	67	67
8	entzückt	entzücken	V	VVPP	_	6	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	55	55
2	Wein	Wein	N	NN	Masc|Nom|Sg	3	subj	55	55
3	schmeckte	schmecken	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	67	67
5	sehr	sehr	A	ADV	_	6	adv	_	_
6	gut	gut	A	ADJD	Pos|	3	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|_|_|_	3	det	51	51
3	Abbasah	Abbasah	N	NN	_|_|_	1	cj	51	51
4	-	-	$	$(	_	0	root	_	_
5	die	die	P	PDS	Fem|Nom|Sg	6	subj	_	_
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
7	herrlicher	herrlich	A	ADJD	Comp|	6	pred	_	_
8	denn	denn	K	KOKOM	_	6	kom	_	_
9	je	je	A	ADV	_	8	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Trotzdem	Trotzdem	P	PROAV	_	2	pp	_	_
2	fehlte	fehlen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	67	67
4	was	was	P	PIS	_|Nom|Sg	2	subj	_	_
5	.	.	$	$.	_	0	root	_	_

1	Mir	ich	P	PPER	1|Sg|_|Dat	2	objd	67	67
2	fehlte	fehlen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	716	716
4	Freund	Freund	N	NN	Masc|Nom|Sg	2	subj	716	716
5	-	-	$	$(	_	0	root	_	_
6	Djafar	Djafar	N	NE	Masc|Nom|Sg	12	subj	68	68
7	,	,	$	$,	_	0	root	68	68
8	Dein	deine	A	PPOSAT	Masc|Nom|Sg	10	det	68	68
9	lustiger	lustig	A	ADJA	Pos|Masc|Nom|Sg|St|	10	attr	68	68
10	Sohn	Sohn	N	NN	Masc|Nom|Sg	6	app	68	68
11	,	,	$	$,	_	0	root	_	_
12	fehlte	fehlen	V	VVFIN	3|Sg|Past|_	2	kon	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	67	67
14	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	67	67
2	sehe	sehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	ein	ein	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	warum	warum	P	PWAV	_	8	adv	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	68	68
8	verbannt	verbannen	V	VVPP	_	9	aux	_	_
9	sein	sein	V	VAINF	_	10	aux	_	_
10	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	2	objc	_	_
11	,	,	$	$,	_	0	root	_	_
12	wenn	wenn	K	KOUS	_	18	konj	_	_
13	die	die	A	ART	Def|Fem|Nom|Sg	14	det	51	51
14	Abbasah	Abbasah	N	NN	Fem|Nom|Sg	18	subj	51	51
15	in	in	P	APPR	Dat	18	pp	_	_
16	meiner	meine	A	PPOSAT	Fem|Dat|Sg	17	det	67	67
17	Nähe	Nähe	N	NN	Fem|Dat|Sg	15	pn	_	_
18	ist	sein	V	VAFIN	3|Sg|Pres|Ind	10	neb	_	_
19	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	67	67
2	wünsche	wünschen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	fortan	fortan	A	ADV	_	16	adv	_	_
5	mit	mit	P	APPR	Dat	16	pp	_	_
6	meinem	meine	A	PPOSAT	Masc|Dat|Sg	7	det	67	67
7	Freunde	Freund	N	NN	Masc|Dat|Sg	5	pn	_	_
8	und	und	K	KON	_	5	kon	_	_
9	mit	mit	P	APPR	Dat	8	cj	_	_
10	meinem	meine	A	PPOSAT	Neut|Dat|Sg	11	det	67	67
11	Weibe	Weib	N	NN	Neut|Dat|Sg	9	pn	_	_
12	zu	zu	P	APPR	Dat	16	pp	_	_
13	gleicher	gleich	A	ADJA	Pos|Fem|Dat|Sg|St|	14	attr	_	_
14	Zeit	Zeit	N	NN	Fem|Dat|Sg	12	pn	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	zechen	zechen	V	VVINF	_	2	obji	_	_
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Jahjah	Jahjah	N	NN	Masc|Nom|Sg	4	subj	_	_
4	verbeugt	verbeugen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	noch	noch	A	ADV	_	4	adv	_	_
7	tiefer	tief	A	ADJD	Comp|	4	adv	_	_
8	als	als	K	KOKOM	_	4	kom	_	_
9	vorhin	vorhin	A	ADV	_	8	cj	_	_
10	und	und	K	KON	_	4	kon	_	_
11	erwidert	erwidern	V	VVFIN	_|_|Pres|_	10	cj	_	_
12	zögernd	zögern	A	ADJD	_|<PPRES	11	adv	_	_
13	:	\:	$	$.	_	0	root	_	_

