1	Münchhausen	Münchhausen	N	NE	Neut|Nom|Sg	2	subj	1	1
13	Sie	sie	P	PPER	3|Pl|_|Nom	12	subj	904	904
14	den	die	A	ART	Def|Masc|Acc|Sg	16	det	905	905
15	großen	groß	A	ADJA	Pos|Masc|Acc|Sg|_|	16	attr	905	905
16	Weltenraum	Weltenraum	N	NN	Masc|Acc|Sg	25	obja	905	905
17	,	,	$	$,	_	0	root	905	905
18	in	in	P	APPR	Dat	21	pp	905	905
19	dem	die	P	PRELS	Masc|Dat|Sg	18	pn	905	905
20	wir	wir	P	PPER	1|Pl|_|Nom	21	subj	_	_
21	leben	leben	V	VVFIN	1|Pl|Pres|_	16	rel	_	_
22	und	und	K	KON	_	21	kon	_	_
23	sterben	sterben	V	VVFIN	_|Pl|Pres|_	22	cj	_	_
24	,	,	$	$,	_	0	root	_	_
25	begreifen	begreifen	V	VVINF	_	12	aux	_	_
26	?	?	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	905	905
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	nach	nach	P	APPR	Dat	2	pp	_	_
4	allen	alle	A	PIDAT	Fem|Dat|Pl	5	det	_	_
5	Richtungen	Richtung	N	NN	Fem|Dat|Pl	3	pn	_	_
6	unendlich	unendlich	A	ADJD	Pos|	2	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	904	904
3	diese	diese	A	PDAT	Fem|_|Sg	4	det	906	906
4	Unendlichkeit	Unendlichkeit	N	NN	Fem|_|Sg	9	obja	906	906
5	nach	nach	P	APPR	Dat	9	pp	_	_
6	unendlich	unendlich	A	ADJD	Pos|	7	adv	_	_
7	vielen	viele	A	PIDAT	Fem|Dat|Pl	8	det	_	_
8	Seiten	Seite	N	NN	Fem|Dat|Pl	5	pn	_	_
9	begreifen	begreifen	V	VVINF	_	1	aux	_	_
10	?	?	$	$.	_	0	root	_	_

1	Oder	oder	K	KON	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	904	904
5	sich	sie	P	PRF	3|_|_	13	obja	_	_
6	wenigstens	wenigstens	A	ADV	_	8	adv	_	_
7	eine	eine	A	ART	Indef|Fem|Nom|Sg	8	det	_	_
8	Vorstellung	Vorstellung	N	NN	Fem|Nom|Sg	13	pred	_	_
9	von	von	P	APPR	Dat	8	pp	_	_
10	diesem	diese	A	PDAT	Masc|Dat|Sg	12	det	_	_
11	unendlichen	unendlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	12	attr	_	_
12	Raume	Raum	N	NN	Masc|Dat|Sg	9	pn	_	_
13	machen	machen	V	VVINF	_	3	aux	_	_
14	?	?	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	_	_
2	Herren	Herr	N	NN	Masc|Nom|Pl	4	subj	_	_
3	Theisten	Theist	N	NN	Masc|Nom|Pl	2	app	_	_
4	wußten	wußten	V	VVFIN	_|Pl|_|_	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	recht	recht	A	ADJD	Pos|	4	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PRELS	Neut|_|Sg	11	obja	_	_
9	sie	sie	P	PPER	3|Pl|_|Nom	12	subj	904	904
10	darauf	darauf	P	PROAV	_	11	pp	_	_
11	erwidern	erwidern	V	VVINF	_	12	aux	_	_
12	sollten	sollen	V	VMFIN	3|Pl|Past|_	4	rel	_	_
13	;	;	$	$.	_	0	root	_	_
14	schließlich	schließlich	A	ADV	_	15	adv	_	_
15	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	994	994
17	Älteste	Älteste	N	NN	Masc|Nom|Sg	15	subj	994	994
18	von	von	P	APPR	Dat	17	pp	994	994
19	ihnen	sie	P	PPER	3|Pl|_|Dat	18	pn	904	904
20	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Davon	Davon	P	PROAV	_	3	pp	_	_
3	können	können	V	VMFIN	1|Pl|Pres|_	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	907	907
5	uns	wir	P	PRF	1|Pl|_	3	obja	_	_
6	doch	doch	A	ADV	_	3	adv	_	_
7	wohl	wohl	A	ADV	_	3	adv	_	_
8	keine	keine	A	PIAT	Fem|_|Sg	9	det	_	_
9	Vorstellung	Vorstellung	N	NN	Fem|_|Sg	0	root	_	_
10	bilden	bilden	V	VVINF	_	0	root	_	_
11	;	;	$	$.	_	0	root	_	_
12	das	die	P	PDS	Neut|Nom|Sg	13	subj	_	_
13	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
14	uns	wir	P	PPER	1|Pl|_|Dat	18	objd	907	907
15	wohl	wohl	A	ADV	_	18	adv	_	_
16	ewig	ewig	A	ADJD	Pos|	18	adv	_	_
17	unverständlich	unverständlich	A	ADJD	Pos|	18	pred	_	_
18	bleiben	bleiben	V	VVINF	_	13	aux	_	_
19	.	.	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	erwiderte	erwidern	V	VVFIN	3|Sg|Past|_	2	par	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	3	3
7	Baron	Baron	N	NN	Masc|Nom|Sg	5	subj	3	3
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	16	konj	_	_
11	Ihr	ihr	P	PPER	2|Pl|_|Nom	16	subj	908	908
12	das	die	P	PDS	Neut|_|Sg	16	obja	_	_
13	aber	aber	A	ADV	_	12	adv	_	_
14	nicht	nicht	P	PTKNEG	_	16	adv	_	_
15	einmal	einmal	A	ADV	_	16	adv	_	_
16	könnt	können	V	VMFIN	2|Pl|Pres|Ind	19	neb	_	_
17	,	,	$	$,	_	0	root	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	909	909
21	nicht	nicht	P	PTKNEG	_	19	adv	_	_
22	,	,	$	$,	_	0	root	_	_
23	warum	warum	P	PWAV	_	41	adv	_	_
24	Ihr	ihr	P	PPER	2|Pl|_|Nom	41	subj	908	908
25	nicht	nicht	P	PTKNEG	_	41	adv	_	_
26	auch	auch	A	ADV	_	41	adv	_	_
27	die	die	A	ART	Def|Fem|_|Sg	28	det	_	_
28	Frage	Frage	N	NN	Fem|_|Sg	41	obja	_	_
29	,	,	$	$,	_	0	root	_	_
30	ob	ob	K	KOUS	_	36	konj	_	_
31	es	es	P	PPER	3|Sg|Neut|Nom	36	subj	_	_
32	einen	eine	A	ART	Indef|Masc|Acc|Sg	33	det	_	_
33	Gott	Gott	N	NN	Masc|Acc|Sg	36	obja	_	_
34	oder	oder	K	KON	_	33	kon	_	_
35	mehrere	mehrere	P	PIS	_|Acc|_	34	cj	_	_
36	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	28	objc	_	_
37	,	,	$	$,	_	0	root	_	_
38	für	für	P	APPR	Acc	41	objp	_	_
39	ewig	ewig	A	ADJD	Pos|	38	pn	_	_
40	unbeantwortbar	unbeantwortbar	A	ADJD	Pos|	41	adv	_	_
41	haltet	halten	V	VVFIN	2|Pl|Pres|_	19	objc	_	_
42	.	.	$	$.	_	0	root	_	_

1	Warum	Warum	P	PWAV	_	2	adv	_	_
2	sagt	sagen	V	VVFIN	2|Pl|Pres|Ind	8	subjc	_	_
3	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	908	908
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	auch	auch	A	ADV	_	7	adv	_	_
7	dieses	diese	P	PDS	Neut|Nom|Sg	3	kon	_	_
8	würde	werden	V	VAFIN	_|Sg|Past|Subj	0	root	_	_
9	Euch	ihr	P	PPER	2|Pl|_|Dat	13	objd	908	908
10	wohl	wohl	A	ADV	_	13	adv	_	_
11	ewig	ewig	A	ADJD	Pos|	13	adv	_	_
12	unverständlich	unverständlich	A	ADJD	Pos|	13	pred	_	_
13	bleiben	bleiben	V	VVINF	_	8	aux	_	_
14	?	?	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	zerbricht	zerbrechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|Dat	2	objd	_	_
4	doch	doch	A	ADV	_	2	adv	_	_
5	nicht	nicht	P	PTKNEG	_	2	adv	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	183	183
7	Kopf	Kopf	N	NN	Masc|Acc|Sg	2	obja	183	183
8	über	über	P	APPR	Acc	2	pp	_	_
9	unfaßbare	unfaßbar	A	ADJA	Pos|Neut|Acc|Pl|St|	10	attr	_	_
10	Dinge	Ding	N	NN	Neut|Acc|Pl	8	pn	_	_
11	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	8	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	909	909
3	den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
4	unendlichen	unendlich	A	ADJA	Pos|Masc|Acc|Sg|_|	5	attr	_	_
5	Weltraum	Weltraum	N	NN	Masc|Acc|Sg	7	obja	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	begreifen	begreifen	V	VVINF	_	8	aux	_	_
8	kann	können	V	VMFIN	1|Sg|Pres|Ind	11	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
12	mir	ich	P	PPER	1|Sg|_|Dat	11	objd	909	909
13	doch	doch	A	ADV	_	11	adv	_	_
14	ein	eine	A	ART	Indef|Neut|Nom|Sg	15	det	910	910
15	Wesen	Wesen	N	NN	Neut|Nom|Sg	11	subj	910	910
16	,	,	$	$,	_	0	root	910	910
17	das	die	P	PRELS	Neut|Nom|Sg	22	subj	910	910
18	diesen	diese	A	PDAT	Masc|Acc|Sg	21	det	_	_
19	ganzen	ganz	A	ADJA	Pos|Masc|Acc|Sg|_|	21	attr	_	_
20	unendlichen	unendlich	A	ADJA	Pos|Masc|Acc|Sg|_|	21	attr	_	_
21	Weltraum	Weltraum	N	NN	Masc|Acc|Sg	22	obja	_	_
22	erfüllt	erfüllen	V	VVFIN	3|Sg|Pres|Ind	15	rel	_	_
23	,	,	$	$,	_	0	root	_	_
24	erst	erst	A	ADV	_	11	adv	_	_
25	recht	recht	A	ADJD	Pos|	26	adv	_	_
26	total	total	A	ADJD	Pos|	27	adv	_	_
27	unverständlich	unverständlich	A	ADJD	Pos|	11	pred	_	_
28	.	.	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_

1	Acht	acht	C	CARD	_	2	attr	_	_
2	Tage	Tag	N	NN	Masc|_|Pl	3	grad	_	_
3	nach	nach	P	APPR	Dat	6	pp	_	_
4	dieser	diese	A	PDAT	Fem|Dat|Sg	5	det	911	911
5	Unterhaltung	Unterhaltung	N	NN	Fem|Dat|Sg	3	pn	911	911
6	erhielt	erhalten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	3	3
8	Baron	Baron	N	NN	Masc|Nom|Sg	6	subj	3	3
9	ein	eine	A	ART	Indef|Neut|_|Sg	11	det	_	_
10	langes	lang	A	ADJA	Pos|Neut|_|Sg|St|	11	attr	_	_
11	Telegramm	Telegramm	N	NN	Neut|_|Sg	6	obja	_	_
12	von	von	P	APPR	_	6	pp	_	_
13	dieser	diese	A	PDAT	_|_|_	14	det	912	912
14	Theisten-Sekte	Theisten-Sekt	N	NN	_|_|_	12	pn	912	912
15	,	,	$	$,	_	0	root	_	_
16	in	in	P	APPR	Dat	18	pp	_	_
17	dem	die	P	PRELS	Neut|Dat|Sg	16	pn	912	912
18	mitgeteilt	mitteilen	V	VVPP	_	19	aux	_	_
19	wurde	werden	V	VAFIN	_|Sg|Past|Ind	11	rel	_	_
20	,	,	$	$,	_	0	root	_	_
21	daß	daß	K	KOUS	_	28	konj	_	_
22	sich	sie	P	PRF	3|_|_	27	obja	_	_
23	die	die	A	ART	Def|Fem|Nom|Sg	25	det	_	_
24	ganze	ganz	A	ADJA	Pos|Fem|Nom|Sg|_|	25	attr	_	_
25	Sekte	Sekt	N	NN	Fem|Nom|Sg	28	subj	_	_
26	einstimmig	einstimmig	A	ADJD	Pos|	27	adv	_	_
27	aufgelöst	auflösen	V	VVPP	_	28	aux	_	_
28	habe	haben	V	VAFIN	3|Sg|Pres|Subj	19	subjc	_	_
29	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	freute	freuen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	besonders	besonders	A	ADV	_	5	adv	20	20
4	die	die	A	ART	Def|_|_|_	5	det	20	20
5	Clarissa	Clarissa	N	NN	_|_|_	2	obja	20	20
6	in	in	P	APPR	Dat	2	pp	_	_
7	außerordentlicher	außerordentlich	A	ADJA	Pos|Fem|Dat|Sg|St|	8	attr	_	_
8	Weise	Weise	N	NN	Fem|Dat|Sg	6	pn	_	_
9	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	mal	mal	A	ADV	_	2	adv	_	_
5	ein	eine	A	ART	Indef|_|_|Sg	6	det	_	_
6	Dutzend	Dutzend	N	NN	Masc|Nom|Pl	2	subj	_	_
7	Irokesenhäuptlinge	Irokesenhäuptling	N	NN	Masc|Nom|Pl	6	app	_	_
8	und	und	K	KON	_	2	kon	_	_
9	wollten	wollen	V	VMFIN	_|Pl|Past|_	8	cj	_	_
10	von	von	P	APPR	Dat	14	pp	_	_
11	dem	die	A	ART	Def|Masc|Dat|Sg	13	det	198	198
12	großen	groß	A	ADJA	Pos|Masc|Dat|Sg|Wk|	13	attr	198	198
13	Baron	Baron	N	NN	Masc|Dat|Sg	10	pn	198	198
14	wissen	wissen	V	VVINF	_	9	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	ob	ob	K	KOUS	_	25	konj	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	20	det	914	914
18	»	»	$	$(	_	0	root	914	914
19	große	groß	A	ADJA	Pos|Masc|Nom|Sg|Wk|	20	attr	914	914
20	Geist	Geist	N	NN	Masc|Nom|Sg	25	subj	914	914
21	«	«	$	$(	_	0	root	_	_
22	ein	eine	A	ART	Indef|Masc|Nom|Sg	24	det	_	_
23	guter	gut	A	ADJA	Pos|Masc|Nom|Sg|St|	24	attr	_	_
24	Geist	Geist	N	NN	Masc|Nom|Sg	25	pred	_	_
25	sei	sein	V	VAFIN	3|Sg|Pres|Subj	14	objc	_	_
26	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	5	konj	_	_
2	das	die	P	PDS	Neut|_|Sg	5	obja	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	3	3
4	Baron	Baron	N	NN	Masc|Nom|Sg	5	subj	3	3
5	bejahte	bejahen	V	VVFIN	3|Sg|Past|_	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	schüttelten	schütteln	V	VVFIN	3|Pl|Past|_	0	root	_	_
8	die	die	A	ART	Def|Masc|Nom|Pl	10	det	915	915
9	braven	brav	A	ADJA	Pos|Masc|Nom|Pl|Wk|	10	attr	915	915
10	Häuptlinge	Häuptling	N	NN	Masc|Nom|Pl	7	subj	915	915
11	das	die	A	ART	Def|Neut|_|Sg	13	det	_	_
12	federgeschmückte	federgeschmückt	A	ADJA	Pos|Neut|_|Sg|Wk|	13	attr	_	_
13	Haupt	Haupt	N	NN	Neut|_|Sg	7	obja	_	_
14	und	und	K	KON	_	7	kon	_	_
15	sagten	sagen	V	VVFIN	_|Pl|Past|_	14	cj	_	_
16	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|_|Sg	0	root	_	_
3	können	können	V	VMFIN	1|Pl|Pres|_	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	_	_
5	nicht	nicht	P	PTKNEG	_	7	adv	_	_
6	mehr	mehr	A	ADV	_	5	adv	_	_
7	glauben	glauben	V	VVINF	_	3	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	da	da	K	KOUS	_	14	konj	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	14	subj	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	viel	viel	A	PIDAT	Neut|_|_	13	det	_	_
13	Ungeziefer	Ungeziefer	N	NN	Neut|_|_	14	obja	_	_
14	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	3	neb	_	_
15	.	.	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	Hierauf	Hierauf	P	PROAV	_	3	pp	198	198
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	198	198
3	Baron	Baron	N	NN	Masc|Nom|Sg	0	root	198	198
4	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Also	also	A	ADV	_	3	adv	_	_
3	Ihr	ihr	P	PPER	2|Pl|_|Nom	4	subj	913	913
4	wißt	wißt	V	VVFIN	2|Pl|_|_	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	warum	warum	P	PWAV	_	12	adv	_	_
8	Euch	ihr	P	PPER	2|Pl|_|_	12	obja	913	913
9	das	die	A	ART	Def|Neut|Nom|Sg	10	det	_	_
10	Ungeziefer	Ungeziefer	N	NN	Neut|Nom|Sg	12	subj	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	plagt	plagen	V	VVFIN	3|Sg|Pres|Ind	4	objc	_	_
13	?	?	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	2	obja	_	_
2	wißt	wißt	V	VVFIN	2|Pl|_|_	0	root	_	_
3	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	913	913
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	291	291
2	Antwort	Antwort	N	NN	Fem|Nom|Sg	3	subj	291	291
3	lautete	lauten	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nein	nein	P	PTKANT	_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nun	nun	A	ADV	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	3	3
7	Baron	Baron	N	NN	Masc|Nom|Sg	5	subj	3	3
8	lächelnd	lächeln	A	ADJD	_|<PPRES	5	adv	_	_
9	fort	fort	P	PTKVZ	_	5	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	31	31
13	Geschichte	Geschichte	N	NN	Fem|Nom|Sg	14	subj	31	31
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	doch	doch	A	ADV	_	14	adv	_	_
16	sehr	sehr	A	ADV	_	17	adv	_	_
17	klar	klar	A	ADJD	Pos|	14	pred	_	_
18	.	.	$	$.	_	0	root	_	_

1	Damit	Damit	P	PROAV	_	2	pp	_	_
2	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	914	914
4	große	groß	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	914	914
5	Geist	Geist	N	NN	Masc|Nom|Sg	2	subj	914	914
6	zu	zu	P	APPR	Dat	8	pp	_	_
7	Euch	ihr	P	PPER	2|Pl|_|Dat	6	pn	_	_
8	sagen	sagen	V	VVINF	_	2	aux	_	_
9	:	\:	$	$.	_	0	root	_	_
10	wohnt	wohnen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
11	endlich	endlich	A	ADJD	Pos|	10	adv	_	_
12	mal	mal	A	ADV	_	10	adv	_	_
13	in	in	P	APPR	_	10	objp	_	_
14	Glasvillen	Glasvilla	N	NN	Fem|_|Pl	13	pn	890	890
15	,	,	$	$,	_	0	root	_	_
16	da	da	K	KOUS	_	0	root	_	_
17	gibts	gibts	N	NE	_	0	root	542	542
18	kein	keine	A	PIAT	Neut|_|Sg	19	det	_	_
19	Ungeziefer	Ungeziefer	N	NN	Neut|_|Sg	0	root	_	_
20	mehr	mehr	A	ADV	_	19	adv	_	_
21	,	,	$	$,	_	0	root	_	_
22	da	da	K	KOUS	_	30	konj	_	_
23	dieses	diese	P	PDS	Neut|Nom|Sg	30	subj	_	_
24	im	in	P	APPRART	Dat	30	pp	_	_
25	Stein	Stein	N	NN	Masc|Dat|Sg	24	pn	_	_
26	und	und	K	KON	_	25	kon	_	_
27	Glase	Glas	N	NN	Neut|Dat|Sg	26	cj	281	281
28	keine	keine	A	PIAT	Masc|_|Pl	29	det	_	_
29	Schlupfwinkel	Schlupfwinkel	N	NN	Masc|_|Pl	30	obja	_	_
30	findet	finden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
31	;	;	$	$.	_	0	root	_	_
32	es	es	P	PPER	3|Sg|Neut|Nom	33	subj	_	_
33	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
34	auch	auch	A	ADV	_	40	adv	_	_
35	leicht	leicht	A	ADJD	Pos|	40	adv	_	_
36	mit	mit	P	APPR	Dat	40	pp	_	_
37	dem	die	A	ART	Def|_|Dat|Sg	38	det	_	_
38	Vacuumsauger	Vacuumsauger	N	NN	_|Dat|Sg	36	pn	_	_
39	zu	zu	P	PTKZU	_	40	part	_	_
40	entfernen	entfernen	V	VVINF	_	33	aux	_	_
41	.	.	$	$.	_	0	root	_	_
42	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	machten	machen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	die	die	A	ART	Def|Masc|Nom|Pl	4	det	915	915
4	Häuptlinge	Häuptling	N	NN	Masc|Nom|Pl	2	subj	915	915
5	große	groß	A	ADJA	Pos|Neut|_|Pl|St|	6	attr	916	916
6	Augen	Auge	N	NN	Neut|_|Pl	2	obja	916	916
7	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	916	916
3	bestellten	bestellen	V	VVFIN	3|Pl|Past|_	1	cj	_	_
4	gleich	gleich	A	ADJD	Pos|	3	adv	_	_
5	in	in	P	APPR	Dat	3	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	889	889
7	Fabrik	Fabrik	N	NN	Fem|Dat|Sg	5	pn	889	889
8	ein	eine	A	ART	Indef|_|_|Sg	10	det	_	_
9	paar	paar	A	PIDAT	Fem|_|Pl	10	attr	_	_
10	Glasvillen	Glasvilla	N	NN	Fem|_|Pl	3	obja	_	_
11	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	3	3
3	Baron	Baron	N	NN	Masc|Nom|Sg	4	subj	3	3
4	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
5	nachher	nachher	A	ADV	_	4	adv	_	_
6	zu	zu	P	APPR	Dat	4	pp	_	_
7	Clarissa	Clarissa	N	NE	_|Dat|_	6	pn	20	20
8	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Man	man	P	PIS	_|Nom|Sg	3	subj	_	_
3	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	doch	doch	A	ADV	_	8	adv	_	_
5	überall	überall	A	ADV	_	6	adv	917	917
6	feine	fein	A	ADJA	Pos|Masc|_|Pl|St|	7	attr	917	917
7	Zusammenhänge	Zusammenhang	N	NN	Masc|_|Pl	8	obja	917	917
8	entdecken	entdecken	V	VVINF	_	3	aux	917	917
9	,	,	$	$,	_	0	root	917	917
10	die	die	P	PRELS	Masc|Nom|Pl	17	subj	917	917
11	auf	auf	P	APPR	Acc	17	objp	_	_
12	das	die	A	ART	Def|Neut|Acc|Sg	13	det	_	_
13	Wirken	Wirken	N	NN	Neut|Acc|Sg	11	pn	_	_
14	von	von	P	APPR	_	13	pp	_	_
15	guten	gut	A	ADJA	Pos|_|_|_|_|	16	attr	_	_
16	Geistern	Geist	N	NN	_|_|_	14	pn	_	_
17	hindeuten	hindeuten	V	VVFIN	3|Pl|Pres|_	7	rel	_	_
18	.	.	$	$.	_	0	root	_	_

1	Jede	jede	A	PIDAT	Fem|Nom|Sg	2	det	_	_
2	Unbequemlichkeit	Unbequemlichkeit	N	NN	Fem|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	5	det	918	918
5	Druckmittel	Druckmittel	N	NN	Neut|Nom|Sg	3	pred	918	918
6	,	,	$	$,	_	0	root	918	918
7	das	die	P	PRELS	Neut|Nom|Sg	9	subj	918	918
8	Energie	Energie	N	NN	Fem|_|Sg	9	obja	762	762
9	erzeugt	erzeugen	V	VVFIN	3|Sg|Pres|Ind	5	rel	_	_
10	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	jeder	jede	A	PIDAT	Masc|Nom|Sg	3	det	_	_
3	Schmerz	Schmerz	N	NN	Masc|Nom|Sg	4	subj	_	_
4	will	wollen	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
5	dasselbe	dasselbe	P	PIS	_	4	obja	_	_
6	.	.	$	$.	_	0	root	_	_

1	Perpetuirlich	Perpetuirlich	N	NE	_|Nom|Pl	4	subj	_	_
2	in	in	P	APPR	_	1	pp	_	_
3	Luft	Luft	N	NN	Fem|_|Sg	2	pn	919	919
4	leben	leben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	führt	führen	V	VVFIN	_|_|Pres|Ind	4	kon	_	_
7	zu	zu	P	APPR	Dat	6	objp	_	_
8	garnichts	garnichts	N	NE	_|Dat|_	7	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	kon	_	_
11	tierisch	tierisch	A	ADJD	Pos|	10	pred	_	_
12	und	und	K	KON	_	10	kon	_	_
13	erschlafft	erschlaffen	V	VVFIN	_|_|Pres|Ind	12	cj	_	_
14	,	,	$	$,	_	0	root	_	_
