1	Zwanzig	zwanzig	C	CARD	_	2	attr	_	_
7	sah	sehen	V	VVFIN	_|Sg|Past|Ind	4	par	_	_
8	'	'	$	$(	_	0	root	_	_
9	s	s	P	PPER	_|Sg|_|Nom	7	subj	11	11
10	auch	auch	A	ADV	_	11	adv	_	_
11	bei	bei	P	APPR	Dat	7	pp	_	_
12	Weller	Weller	N	NN	_|Dat|_	11	pn	242	242
13	an	an	P	APPR	Dat	12	pp	242	242
14	jenem	jene	A	PDAT	Masc|Dat|Sg	15	det	242	242
15	Abend	Abend	N	NN	Masc|Dat|Sg	13	pn	242	242
16	im	in	P	APPRART	Dat	15	pp	242	242
17	Wellerpark	Wellerpark	N	NN	Masc|Dat|Sg	16	pn	242	242
18	aus	aus	P	PTKVZ	_	7	avz	_	_
19	,	,	$	$,	_	0	root	_	_
20	als	als	K	KOUS	_	28	konj	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	380	380
22	Nabob	Nabob	N	NN	Masc|Nom|Sg	28	subj	380	380
23	die	die	A	ART	Def|Fem|_|Pl	24	det	_	_
24	Kometenblumen	Kometenblume	N	NN	Fem|_|Pl	28	obja	_	_
25	für	für	P	APPR	Acc	24	pp	_	_
26	das	die	A	ART	Def|Neut|Acc|Sg	27	det	413	413
27	Beste	Beste	N	NN	Neut|Acc|Sg	25	pn	413	413
28	erklärte	erklären	V	VVFIN	3|Sg|Past|_	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	_	_
2	saßen	sitzen	V	VVFIN	1|Pl|Past|Ind	0	root	_	_
3	damals	damals	A	ADV	_	2	adv	_	_
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	Flora	Flora	N	NN	Fem|Dat|Sg	4	pn	343	343
6	und	und	K	KON	_	5	kon	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	380	380
8	Nabob	Nabob	N	NN	Masc|Dat|Sg	6	cj	380	380
9	auch	auch	A	ADV	_	2	adv	_	_
10	mitten	mitten	A	ADV	_	11	adv	_	_
11	in	in	P	APPR	Dat	2	pp	_	_
12	einem	eine	A	ART	Indef|Masc|Dat|Sg	13	det	_	_
13	Park	Park	N	NN	Masc|Dat|Sg	11	pn	_	_
14	wie	wie	K	KOKOM	_	13	kom	_	_
15	hier	hier	A	ADV	_	14	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	2	kon	_	_
18	Papierlampions	Papierlampion	N	NN	Masc|Nom|Pl	19	subj	_	_
19	leuchteten	leuchten	V	VVFIN	3|Pl|Past|_	17	cj	_	_
20	ringsum	ringsum	A	ADV	_	19	adv	_	_
21	so	so	A	ADV	_	19	adv	_	_
22	wie	wie	K	KOKOM	_	19	kom	_	_
23	hier	hier	A	ADV	_	22	cj	_	_
24	in	in	P	APPR	Dat	19	pp	_	_
25	den	die	A	ART	Def|Masc|Dat|Pl	26	det	121	121
26	Bäumen	Baum	N	NN	Masc|Dat|Pl	24	pn	121	121
27	und	und	K	KON	_	26	kon	_	_
28	Gebüschen	Gebüsch	N	NN	Neut|Dat|Pl	27	cj	_	_
29	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	380	380
2	Nabob	Nabob	N	NN	Masc|Nom|Sg	3	subj	380	380
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	die	die	A	ART	Def|Fem|_|Sg	5	det	258	258
5	Kuppel	Kuppel	N	NN	Fem|_|Sg	16	obja	258	258
6	mit	mit	P	APPR	Dat	16	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	231	231
8	Sonne	Sonne	N	NN	Fem|Dat|Sg	6	pn	231	231
9	und	und	K	KON	_	8	kon	_	_
10	den	die	A	ART	Def|Fem|Dat|Pl	11	det	_	_
11	Kometenblumen	Kometenblume	N	NN	Fem|Dat|Pl	9	cj	_	_
12	für	für	P	APPR	Acc	11	pp	_	_
13	vier	vier	C	CARD	_	14	attr	_	_
14	Millionen	Million	N	NN	Masc|Acc|Pl	12	pn	_	_
15	Dollars	Dollar	N	NN	Masc|Acc|Pl	14	app	_	_
16	angekauft	ankaufen	V	VVPP	_	3	aux	_	_
17	;	;	$	$.	_	0	root	_	_
18	Weller	Weller	N	NN	_|Nom|Sg	19	subj	242	242
19	rieb	reiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
20	sich	sie	P	PRF	3|_|_	19	obja	_	_
21	vergnügt	vergnügen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
22	die	die	A	ART	Def|Fem|_|Pl	23	det	481	481
23	Hände	Hand	N	NN	Fem|_|Pl	21	obja	481	481
24	und	und	K	KON	_	21	kon	_	_
25	sagte	sagen	V	VVFIN	_|Sg|Past|_	24	cj	_	_
26	nach	nach	P	APPR	Dat	25	pp	_	_
27	den	die	A	ART	Def|Fem|Dat|Pl	28	det	_	_
28	Austern	Auster	N	NN	Fem|Dat|Pl	26	pn	_	_
29	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Liebe	lieb	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	343	343
3	Flora	Flora	N	NN	Fem|_|Sg	0	root	343	343
4	,	,	$	$,	_	0	root	_	_
5	Dir	du	P	PPER	2|Sg|_|Dat	11	objd	482	482
6	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	483	483
8	nachher	nachher	A	ADV	_	11	adv	_	_
9	noch	noch	A	ADV	_	11	adv	_	_
10	etwas	etwas	P	PIS	Neut|_|Sg	11	obja	_	_
11	erzählen	erzählen	V	VVINF	_	6	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	was	was	P	PRELS	Neut|_|Sg	16	obja	_	_
14	Du	du	P	PPER	2|Sg|_|Nom	17	subj	482	482
15	gerne	gerne	A	ADV	_	16	adv	_	_
16	hören	hören	V	VVINF	_	17	aux	_	_
17	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	10	rel	_	_
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	verzog	verziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	6	det	_	_
5	ernste	ernst	A	ADJA	Pos|Neut|Nom|Sg|Wk|	6	attr	_	_
6	Gesicht	Gesicht	N	NN	Neut|Nom|Sg	2	subj	_	_
7	der	die	A	ART	Def|Fem|Gen|Sg	9	det	324	324
8	jungen	jung	A	ADJA	Pos|Fem|Gen|Sg|Wk|	9	attr	324	324
9	Dame	Dame	N	NN	Fem|Gen|Sg	6	gmod	324	324
10	zu	zu	P	APPR	Dat	2	pp	_	_
11	einem	eine	A	ART	Indef|Neut|Dat|Sg	13	det	_	_
12	schmerzlichen	schmerzlich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	13	attr	_	_
13	Lächeln	Lächeln	N	NN	Neut|Dat|Sg	10	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	aber	aber	K	KON	_	2	kon	_	_
16	es	es	P	PPER	3|Sg|Neut|_	17	expl	_	_
17	leuchtete	leuchten	V	VVFIN	3|Sg|Past|_	15	cj	_	_
18	etwas	etwas	P	PIS	_|Nom|Sg	17	subj	_	_
19	in	in	P	APPR	_	17	pp	_	_
20	ihren	ihre	A	PPOSAT	Neut|_|Pl	21	det	324	324
21	Augen	Auge	N	NN	Neut|_|Pl	19	pn	_	_
22	auf	auf	P	PTKVZ	_	17	avz	_	_
23	-	-	$	$(	_	0	root	_	_
24	und	und	K	KON	_	17	kon	_	_
25	das	die	P	PDS	Neut|Nom|Sg	26	subj	_	_
26	sah	sehen	V	VVFIN	3|Sg|Past|Ind	24	cj	_	_
27	so	so	A	ADV	_	26	pred	_	_
28	wie	wie	K	KOKOM	_	26	kom	_	_
29	ein	eine	A	ART	Indef|Neut|_|Sg	31	det	_	_
30	großes	groß	A	ADJA	Pos|Neut|_|Sg|St|	31	attr	_	_
31	Glück	Glück	N	NN	Neut|_|Sg	28	cj	_	_
32	aus	aus	P	PTKVZ	_	26	avz	_	_
33	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	483	483
3	mußte	müssen	V	VMFIN	1|Sg|Past|Ind	1	cj	_	_
4	während	während	P	APPR	Gen	11	pp	_	_
5	dieses	diese	A	PDAT	Neut|Gen|Sg	6	det	479	479
6	Abendbrotes	Abendbrot	N	NN	Neut|Gen|Sg	4	pn	479	479
7	immer	immer	A	ADV	_	8	adv	_	_
8	wieder	wieder	A	ADV	_	11	adv	_	_
9	Floras	Floras	N	NN	Neut|_|Pl	11	obja	484	484
10	Augen	Auge	N	NN	Neut|_|Pl	9	app	484	484
11	bewundern	bewundern	V	VVINF	_	3	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	in	in	P	APPR	Dat	19	pp	_	_
14	denen	die	P	PRELS	Neut|Dat|Pl	13	pn	484	484
15	ein	eine	A	ART	Indef|Neut|Nom|Sg	17	det	_	_
16	großes	groß	A	ADJA	Pos|Neut|Nom|Sg|St|	17	attr	_	_
17	Glück	Glück	N	NN	Neut|Nom|Sg	19	subj	_	_
18	aufzuleuchten	aufleuchten	V	VVIZU	_	19	obji	_	_
19	begann	beginnen	V	VVFIN	3|Sg|Past|Ind	10	rel	_	_
20	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	483	483
2	sehe	sehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	diese	diese	A	PDAT	Neut|_|Pl	4	det	_	_
4	Glücksaugen	Glücksauge	N	NN	Neut|_|Pl	2	obja	_	_
5	immer	immer	A	ADV	_	6	adv	_	_
6	noch	noch	A	ADV	_	2	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1	Weller	Weller	N	NN	_|Nom|Sg	2	subj	242	242
2	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	dann	dann	A	ADV	_	2	adv	_	_
4	zu	zu	P	APPR	Dat	2	pp	_	_
5	seiner	seine	A	PPOSAT	Fem|Dat|Sg	6	det	242	242
6	Großnichte	Großnichte	N	NN	Fem|Dat|Sg	4	pn	_	_
7	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dreimal	Dreimal	N	NN	Neut|_|Sg	0	root	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	viel	viel	P	PIS	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOUS	_	9	konj	_	_
7	Du	du	P	PPER	2|Sg|_|Nom	9	subj	485	485
8	verlangt	verlangen	V	VVPP	_	9	aux	_	_
9	hast	haben	V	VAFIN	2|Sg|Pres|Ind	11	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	483	483
13	Dir	du	P	PPER	2|Sg|_|Dat	15	objd	485	485
14	heute	heute	A	ADV	_	15	adv	_	_
15	geben	geben	V	VVINF	_	11	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	damit	damit	K	KOUS	_	21	konj	_	_
18	Du	du	P	PPER	2|Sg|_|Nom	21	subj	485	485
19	endlich	endlich	A	ADJD	Pos|	20	adv	_	_
20	heiraten	heiraten	V	VVINF	_	21	aux	_	_
21	kannst	können	V	VMFIN	2|Sg|Pres|Ind	11	neb	_	_
22	.	.	$	$.	_	0	root	_	_

1	Bleibe	Bleibe	N	NN	Fem|_|Sg	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	natürlich	natürlich	A	ADJD	Pos|	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	7	adv	_	_
6	Du	du	P	PPER	2|Sg|_|Nom	7	subj	485	485
7	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Ehrlich	ehrlich	A	ADJD	Pos|	2	adv	_	_
2	währt	währen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	am	am	P	PTKA	_	4	adv	_	_
4	längsten	längsten	A	ADJD	_	2	adv	_	_
5	.	.	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	343	343
4	Flora	Flora	N	NN	Fem|Nom|Sg	2	subj	343	343
5	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	6	det	343	343
6	Großonkel	Großonkel	N	NN	Masc|Dat|Sg	2	objd	_	_
7	weinend	weinen	A	ADJD	_|<PPRES	2	adv	_	_
8	um	um	P	APPR	Acc	2	pp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	161	161
10	Hals	Hals	N	NN	Masc|Acc|Sg	8	pn	161	161
11	;	;	$	$.	_	0	root	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	380	380
13	Nabob	Nabob	N	NN	Masc|Nom|Sg	14	subj	380	380
14	verstand	verstehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	die	die	A	ART	Def|Fem|_|Sg	16	det	_	_
16	Szene	Szene	N	NN	Fem|_|Sg	14	obja	_	_
17	nicht	nicht	P	PTKNEG	_	14	adv	_	_
18	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	198	198
2	aber	aber	A	ADV	_	1	adv	_	_
3	mußte	müssen	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
4	herzlich	herzlich	A	ADJD	Pos|	5	adv	_	_
5	lachen	lachen	V	VVINF	_	3	aux	_	_
6	über	über	P	APPR	Acc	5	pp	_	_
7	die	die	A	ART	Def|Fem|Acc|Sg	9	det	_	_
8	große	groß	A	ADJA	Pos|Fem|Acc|Sg|_|	9	attr	_	_
9	Ehrlichkeit	Ehrlichkeit	N	NN	Fem|Acc|Sg	6	pn	_	_
10	dieses	diese	A	PDAT	Masc|Gen|Sg	11	det	397	397
11	Großonkels	Großonkel	N	NN	Masc|Gen|Sg	9	gmod	397	397
12	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	284	284
2	Dame	Dame	N	NN	Fem|Nom|Sg	3	subj	284	284
3	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	nach	nach	P	APPR	Dat	3	pp	_	_
5	Europa	Europa	N	NE	_|Dat|Sg	4	pn	102	102
6	,	,	$	$,	_	0	root	_	_
7	ohne	ohne	K	KOUI	_	12	konj	_	_
8	eine	eine	A	ART	Indef|Fem|_|Sg	9	det	_	_
9	Ahnung	Ahnung	N	NN	Fem|_|Sg	12	obja	_	_
10	davon	davon	P	PROAV	_	9	pp	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	haben	haben	V	VAINF	_	3	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	wie	wie	P	PWAV	_	0	root	_	_
15	viel	viel	P	PIS	_	0	root	_	_
16	ihr	ihre	A	PPOSAT	Neut|_|Sg	17	det	284	284
17	Geschimpfe	Geschimpfe	N	NN	Neut|_|Sg	0	root	_	_
18	dem	die	A	ART	Def|_|Dat|Sg	20	det	_	_
19	alten	alt	A	ADJA	Pos|_|Dat|Sg|Wk|	20	attr	_	_
20	Mr.	Mr.	N	NN	_|Dat|Sg	0	root	_	_

1	Weller	Weller	N	NN	_|Nom|Sg	3	subj	242	242
2	genützt	nützen	V	VVPP	_	3	aux	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Möge	mögen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
2	jedes	jede	A	PIDAT	Neut|Nom|Sg	3	det	_	_
3	Geschimpfe	Geschimpfe	N	NN	Neut|Nom|Sg	1	subj	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	nützlich	nützlich	A	ADJD	Pos|	6	pred	_	_
6	sein	sein	V	VAINF	_	1	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Floras	Floras	N	NE	_|Gen|_	5	gmod	410	410
4	glückliche	glücklich	A	ADJA	Pos|Neut|_|Pl|St|	5	attr	486	486
5	Augen	Auge	N	NN	Neut|_|Pl	9	obja	486	486
6	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	198	198
8	niemals	niemals	A	ADV	_	9	adv	_	_
9	vergessen	vergessen	V	VVINF	_	6	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Hier	hier	A	ADV	_	2	adv	_	_
2	sehen	sehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	486	486
4	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	487	487
5	Photographie	Photographie	N	NN	Fem|_|Sg	2	obja	487	487
6	von	von	P	APPR	_	5	pp	487	487
7	Fräulein	Fräulein	N	NN	Neut|_|_	6	pn	292	292
8	Flora	Flora	N	NE	Neut|_|_	7	app	292	292
9	Mohr	Mohr	N	NE	Neut|_|_	8	app	292	292
10	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	3	3
2	Baron	Baron	N	NE	Masc|Nom|Sg	3	subj	3	3
3	zeigte	zeigen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	den	die	A	ART	Def|Fem|Dat|Pl	5	det	100	100
5	Damen	Dame	N	NN	Fem|Dat|Pl	3	objd	100	100
6	und	und	K	KON	_	5	kon	_	_
7	Herren	Herr	N	NN	Masc|Dat|_	6	cj	254	254
8	die	die	A	ART	Def|Fem|_|Sg	9	det	487	487
9	Photographie	Photographie	N	NN	Fem|_|Sg	3	obja	487	487
10	von	von	P	APPR	_	9	pp	487	487
11	Fräulein	Fräulein	N	NN	Neut|_|_	10	pn	292	292
12	Flora	Flora	N	NE	Neut|_|_	11	app	292	292
13	Mohr	Mohr	N	NE	Neut|_|_	12	app	292	292
14	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dann	dann	A	ADV	_	3	adv	_	_
3	trank	trinken	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
5	wieder	wieder	A	ADV	_	6	adv	_	_
6	echtes	echt	A	ADJA	Pos|Neut|_|Sg|St|	7	attr	_	_
7	Münchner	Münchner	N	NN	Masc|_|_	3	obja	_	_
8	Spatenbräu	Spatenbräu	N	NE	Masc|_|_	7	app	_	_
9	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	als	als	K	KOUS	_	18	konj	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	3	3
4	Baron	Baron	N	NN	Masc|Nom|Sg	18	subj	3	3
5	mit	mit	P	APPR	Dat	18	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	20	20
7	Gräfin	Gräfin	N	NN	Fem|Dat|Sg	5	pn	20	20
8	Clarissa	Clarissa	N	NE	Fem|Dat|Sg	7	app	20	20
9	zusammen	zusammen	A	ADV	_	18	adv	_	_
10	beim	bei	P	APPRART	Dat	18	pp	_	_
11	Morgengrauen	Morgengrauen	N	NN	_|Dat|_	10	pn	_	_
12	auf	auf	P	APPR	Dat	18	pp	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	_	_
14	festen	fest	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	_	_
15	Sande	Sand	N	NN	Masc|Dat|Sg	12	pn	_	_
16	des	die	A	ART	Def|Masc|Gen|Sg	17	det	_	_
17	Seestrandes	Seestrand	N	NN	Masc|Gen|Sg	15	gmod	_	_
18	dahinfuhr	dahinfahren	V	VVFIN	3|Sg|Past|Ind	20	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	rief	rufen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	198	198
22	Baron	Baron	N	NN	Masc|Nom|Sg	20	subj	198	198
23	der	die	A	ART	Def|Fem|Gen|Sg	24	det	188	188
24	Gräfin	Gräfin	N	NN	Fem|Gen|Sg	22	gmod	188	188
25	ins	in	P	APPRART	Acc	20	pp	_	_
26	Ohr	Ohr	N	NN	Neut|Acc|Sg	25	pn	489	489
27	,	,	$	$,	_	0	root	_	_
28	da	da	K	KOUS	_	35	konj	_	_
29	die	die	A	ART	Def|Fem|Nom|Pl	30	det	488	488
30	Wellen	Welle	N	NN	Fem|Nom|Pl	35	subj	488	488
31	des	die	A	ART	Def|Neut|Gen|Sg	32	det	239	239
32	Meeres	Meer	N	NN	Neut|Gen|Sg	30	gmod	239	239
33	so	so	A	ADV	_	34	adv	_	_
34	heftig	heftig	A	ADJD	Pos|	35	adv	_	_
35	rauschten	rauschen	V	VVFIN	3|Pl|Past|_	20	neb	_	_
36	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Clarissa	Clarissa	N	NE	_	0	root	20	20
3	!	!	$	$.	_	0	root	_	_

