1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
15	nicht	nicht	P	PTKNEG	_	16	adv	_	_
16	verraten	verraten	V	VVINF	_	12	aux	_	_
17	;	;	$	$.	_	0	root	_	_
18	Weise	Weise	N	NN	_|Nom|Pl	28	subj	574	574
19	und	und	K	KON	_	18	kon	_	_
20	Toren	Tor	N	NN	Masc|Nom|Pl	19	cj	_	_
21	,	,	$	$,	_	0	root	_	_
22	törichte	töricht	A	ADJA	Pos|_|Nom|_|_|	23	attr	_	_
23	Weise	Weise	N	NN	_|Nom|_	20	app	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	20	kon	_	_
26	weise	weise	A	ADJA	Pos|_|Nom|_|_|	27	attr	395	395
27	Narren	Narr	N	NN	_|Nom|_	25	cj	395	395
28	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
29	die	die	A	ART	Def|Neut|_|Pl	30	det	_	_
30	Weiber	Weib	N	NN	Neut|_|Pl	36	obja	_	_
31	mit	mit	P	APPR	Dat	36	pp	_	_
32	vieler	viele	A	PIDAT	Fem|Dat|Sg	33	det	_	_
33	Mühe	Mühe	N	NN	Fem|Dat|Sg	31	pn	_	_
34	zu	zu	P	APPR	Dat	36	pp	_	_
35	Göttinnen	Göttin	N	NN	Fem|Dat|Pl	34	pn	_	_
36	erhoben	erheben	V	VVPP	_	28	aux	_	_
37	,	,	$	$,	_	0	root	_	_
38	um	um	K	KOUI	_	42	konj	_	_
39	sie	sie	P	PPER	3|_|_|_	42	obja	574	574
40	recht	recht	A	ADJD	Pos|	41	adv	_	_
41	bequem	bequem	A	ADJD	Pos|	42	adv	_	_
42	schlechtzumachen	schlechtmachen	V	VVIZU	_	28	neb	_	_
43	,	,	$	$,	_	0	root	_	_
44	denn	denn	K	KON	_	28	kon	_	_
45	seitdem	seitdem	P	PROAV	_	46	pp	_	_
46	sind	sein	V	VAFIN	3|Pl|Pres|Ind	44	cj	_	_
47	sie	sie	P	PPER	3|Pl|_|Nom	46	subj	574	574
48	keine	keine	A	PIAT	Fem|Nom|Sg	50	det	_	_
49	taube	taub	A	ADJA	Pos|Fem|Nom|Sg|_|	50	attr	_	_
50	Nuß	Nuß	N	NN	Fem|Nom|Sg	46	pred	_	_
51	mehr	mehr	A	ADV	_	50	adv	_	_
52	wert	wert	A	ADJD	Pos|	0	root	_	_
53	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	574	574
4	lieben	lieben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	575	575
6	also	also	A	ADV	_	4	adv	_	_
7	vielleicht	vielleicht	A	ADV	_	4	adv	_	_
8	?	?	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	O	O	N	NN	Neut|_|_	0	root	44	44
4	dies	dies	P	PDS	Neut|_|Sg	0	root	_	_
5	himmlische	himmlische	A	ADV	_	6	adv	_	_
6	Vielleicht	vielleicht	A	ADV	_	7	adv	_	_
7	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	7	objd	575	575
9	noch	noch	A	ADV	_	7	adv	_	_
10	einige	einige	A	PIAT	Fem|Nom|Sg	11	det	_	_
11	Hoffnung	Hoffnung	N	NN	Fem|Nom|Sg	7	subj	_	_
12	übrig	übrig	A	ADJD	Pos|	7	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	daß	daß	K	KOUS	_	23	konj	_	_
15	Sie	sie	P	PPER	3|Pl|_|Nom	23	subj	574	574
16	noch	noch	A	ADV	_	17	adv	_	_
17	nicht	nicht	P	PTKNEG	_	22	adv	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	ganz	ganz	A	ADV	_	20	adv	_	_
20	in	in	P	APPR	Acc	22	pp	_	_
21	mich	ich	P	PPER	1|Sg|_|Acc	20	pn	575	575
22	vernarrt	vernarren	V	VVPP	_	23	aux	_	_
23	sind	sein	V	VAFIN	3|Pl|Pres|Ind	7	objc	_	_
24	-	-	$	$(	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Und	und	K	KON	_	0	root	_	_
4	wenn	wenn	K	KOUS	_	8	konj	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	575	575
6	es	es	P	PPER	3|Sg|Neut|Nom	8	pred	_	_
7	nun	nun	A	ADV	_	6	adv	_	_
8	wäre	sein	V	VAFIN	1|Sg|Past|Subj	3	cj	_	_
9	?	?	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	So	so	A	ADV	_	4	adv	_	_
4	säh	säh	V	VVFIN	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	575	575
6	mich	ich	P	PRF	1|Sg|Acc	8	obja	_	_
7	ja	ja	A	ADV	_	8	adv	_	_
8	genötigt	nötigen	V	VVPP	_	4	neb	_	_
9	vor	vor	P	APPR	_	8	pp	_	_
10	Entzücken	Entzücken	N	NN	Neut|_|Sg	9	pn	_	_
11	zu	zu	P	APPR	Dat	10	pp	_	_
12	Ihren	ihre	A	PPOSAT	Masc|Dat|Pl	13	det	574	574
13	Füßen	Fuß	N	NN	Masc|Dat|Pl	11	pn	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	sterben	sterben	V	VVINF	_	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|_|Sg	7	obja	_	_
4	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	575	575
6	mir	ich	P	PRF	1|Sg|Dat	7	objd	_	_
7	verbitten	verbitten	V	VVINF	_	4	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Welches	welche	A	PWAT	Neut|_|Sg	4	det	576	576
4	Opfer	Opfer	N	NN	Neut|_|Sg	5	obja	576	576
5	befehlen	befehlen	V	VVFIN	3|Pl|Pres|_	0	root	576	576
6	Sie	sie	P	PPER	3|Pl|_|Nom	5	subj	577	577
7	denn	denn	A	ADV	_	5	adv	_	_
8	also	also	A	ADV	_	5	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	das	die	P	PRELS	Neut|_|Sg	18	obja	576	576
11	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	575	575
12	Ihnen	sie	P	PPER	3|Pl|_|Dat	18	objd	577	577
13	zum	zu	P	APPRART	Dat	18	objp	_	_
14	Zeichen	Zeichen	N	NN	Neut|Dat|_	13	pn	_	_
15	meiner	meine	A	PPOSAT	Fem|Gen|Sg	17	det	575	575
16	aufrichtigen	aufrichtig	A	ADJA	Pos|Fem|Gen|Sg|Wk|	17	attr	_	_
17	Liebe	Liebe	N	NN	Fem|Gen|Sg	14	gmod	_	_
18	bringen	bringen	V	VVINF	_	19	aux	_	_
19	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	4	rel	_	_
20	?	?	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Heiraten	heiraten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	577	577
5	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	575	575
6	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Heiraten	Heirat	N	NN	_|_|_	0	root	578	578
4	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	575	575
3	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	ob	ob	K	KOUS	_	10	konj	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	575	575
8	recht	recht	A	ADJD	Pos|	9	adv	_	_
9	gehört	gehören	V	VVPP	_	10	aux	_	_
10	habe	haben	V	VAFIN	1|Sg|Pres|_	3	objc	_	_
11	.	.	$	$.	_	0	root	_	_

1	Heiraten	Heirat	N	NN	_|_|_	3	vok	578	578
2	,	,	$	$,	_	0	root	_	_
3	sagten	sagen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	_	_
5	?	?	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Nun	nun	A	ADV	_	4	adv	_	_
4	freilich	freilich	A	ADV	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	kein	keine	A	PIAT	Neut|_|Sg	8	det	_	_
7	andres	andere	A	PIDAT	Neut|_|Sg	8	attr	_	_
8	Wort	Wort	N	NN	Neut|_|Sg	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	14	konj	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	575	575
12	bei	bei	P	APPR	Dat	14	pp	_	_
13	Verstande	Verstand	N	NN	Masc|Dat|Sg	12	pn	579	579
14	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	_	_
4	wollten	wollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
5	also	also	A	ADV	_	7	adv	_	_
6	einen	eine	A	ART	Indef|Masc|Acc|Sg	7	det	_	_
7	Ehemann	Ehemann	N	NN	Masc|Acc|Sg	10	obja	_	_
8	aus	aus	P	APPR	Dat	10	objp	_	_
9	mir	ich	P	PPER	1|Sg|_|Dat	8	pn	575	575
10	machen	machen	V	VVINF	_	4	aux	_	_
11	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	schrecklich	schrecklich	A	ADJD	Pos|	3	pred	_	_
5	!	!	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Wie	Wie	P	PWAV	_	0	root	_	_
4	denn	denn	A	ADV	_	3	adv	_	_
5	so	so	A	ADV	_	3	adv	_	_
6	?	?	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Weil	weil	K	KOUS	_	12	konj	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	12	subj	582	582
5	mich	ich	P	PPER	1|Sg|_|Acc	12	obja	581	581
6	dann	dann	A	ADV	_	12	adv	_	_
7	in	in	P	APPR	Acc	12	objp	_	_
8	eine	eine	A	ART	Indef|Fem|Acc|Sg	9	det	_	_
9	Art	Art	N	NN	Fem|Acc|Sg	7	pn	_	_
10	von	von	P	APPR	_	9	pp	_	_
11	Narrheit	Narrheit	N	NN	Fem|_|Sg	10	pn	580	580
12	einweihen	einweihen	V	VVFIN	3|Pl|Pres|_	0	root	580	580
13	,	,	$	$,	_	0	root	580	580
14	gegen	gegen	P	APPR	Acc	23	pp	580	580
15	die	die	P	PRELS	Fem|Acc|Sg	14	pn	580	580
16	meine	meine	A	PPOSAT	_|_|_	17	det	581	581
17	jetzige	jetzig	A	ADJA	_|_|_	24	subj	_	_
18	kaum	kaum	A	ADV	_	23	adv	_	_
19	für	für	P	APPR	Acc	23	pp	_	_
20	einen	eine	A	ART	Indef|Masc|Acc|Sg	21	det	_	_
21	Anfangsgrund	Anfangsgrund	N	NN	Masc|Acc|Sg	19	pn	_	_
22	zu	zu	P	PTKZU	_	23	part	_	_
23	rechnen	rechnen	V	VVINF	_	24	aux	_	_
24	ist	sein	V	VAFIN	3|Sg|Pres|Ind	11	rel	_	_
25	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	582	582
5	hinein	hinein	P	PTKVZ	_	3	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	584	584
4	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	583	583
6	Ihrige	Ihrige	N	NE	Masc|Nom|Sg	4	pred	583	583
7	.	.	$	$.	_	0	root	_	_

