1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
17	Katers	Kater	N	NN	Masc|Gen|Sg	15	gmod	23	23
18	herauszugeben	herausgeben	V	VVIZU	_	31	obji	_	_
19	(	(	$	$(	_	0	root	_	_
20	wozu	wozu	P	PWAV	_	31	pp	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	32	subj	488	488
22	mir	ich	P	PRF	1|Sg|Dat	31	objd	_	_
23	auch	auch	A	ADV	_	31	adv	_	_
24	nachher	nachher	A	ADV	_	31	adv	_	_
25	von	von	P	APPR	Dat	31	pp	_	_
26	Ihnen	sie	P	PPER	3|Pl|_|Dat	25	pn	486	486
27	allerseits	allerseits	A	ADV	_	31	adv	_	_
28	einige	einige	A	PIAT	Fem|_|Pl	30	det	_	_
29	scharfsinnige	scharfsinnig	A	ADJA	Pos|Fem|_|Pl|St|	30	attr	_	_
30	Bemerkungen	Bemerkung	N	NN	Fem|_|Pl	31	obja	_	_
31	ausbitten	ausbitten	V	VVINF	_	32	aux	_	_
32	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
33	)	)	$	$(	_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	und	und	K	KON	_	32	kon	_	_
36	darum	darum	P	PROAV	_	37	pp	_	_
37	wünschte	wünschen	V	VVFIN	1|Sg|Past|_	35	cj	_	_
38	ich	ich	P	PPER	1|Sg|_|Nom	37	subj	488	488
39	wohl	wohl	A	ADV	_	37	adv	_	_
40	,	,	$	$,	_	0	root	_	_
41	daß	daß	K	KOUS	_	48	konj	_	_
42	das	die	A	ART	Def|Neut|Nom|Sg	43	det	9	9
43	Stück	Stück	N	NN	Neut|Nom|Sg	48	subj	9	9
44	nicht	nicht	P	PTKNEG	_	47	adv	_	_
45	so	so	A	ADV	_	46	adv	_	_
46	oft	oft	A	ADV	_	47	adv	_	_
47	unterbrochen	unterbrechen	V	VVPP	_	48	aux	_	_
48	würde	werden	V	VAFIN	3|Sg|Past|Subj	37	objc	_	_
49	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	489	489
2	Szene	Szene	N	NN	Fem|Nom|Sg	17	subj	489	489
3	,	,	$	$,	_	0	root	489	489
4	in	in	P	APPR	Dat	15	pp	489	489
5	welcher	welche	P	PRELS	Fem|Dat|Sg	4	pn	489	489
6	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	23	23
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	102	102
8	Könige	König	N	NN	Masc|Dat|Sg	15	objd	102	102
9	das	die	A	ART	Def|Neut|_|Sg	10	det	303	303
10	Kaninchen	Kaninchen	N	NN	Neut|_|Sg	15	obja	303	303
11	mit	mit	P	APPR	Dat	15	pp	_	_
12	so	so	A	ADV	_	14	adv	_	_
13	großer	groß	A	ADJA	Pos|Fem|Dat|Sg|St|	14	attr	_	_
14	Kunst	Kunst	N	NN	Fem|Dat|Sg	11	pn	_	_
15	überliefert	überliefern	V	VVFIN	3|Sg|Pres|Ind	2	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
18	mir	ich	P	PPER	1|Sg|_|Dat	17	objd	488	488
19	fast	fast	A	ADV	_	17	adv	_	_
20	sein	seine	A	PPOSAT	Masc|Nom|Sg	21	det	23	23
21	Triumph	Triumph	N	NN	Masc|Nom|Sg	17	pred	_	_
22	,	,	$	$,	_	0	root	_	_
23	wenn	wenn	K	KOUS	_	27	konj	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	27	subj	488	488
25	die	die	A	ART	Def|_|_|_	26	det	_	_
26	letzte	letzte	A	ADJA	_|_|_	27	obja	_	_
27	ausnehme	ausnehmen	V	VVFIN	1|Sg|Pres|_	17	neb	_	_
28	,	,	$	$,	_	0	root	_	_
29	in	in	P	APPR	Dat	36	pp	_	_
30	welcher	welche	P	PRELS	Fem|Dat|Sg	29	pn	_	_
31	sich	sie	P	PRF	3|_|_	36	obja	_	_
32	sein	seine	A	PPOSAT	Neut|Nom|Sg	33	det	23	23
33	Genie	Genie	N	NN	Neut|Nom|Sg	36	subj	_	_
34	noch	noch	A	ADV	_	36	adv	_	_
35	glänzender	glänzend	A	ADJD	Comp|_	36	adv	_	_
36	zeigte	zeigen	V	VVFIN	3|Sg|Past|_	14	rel	_	_
37	;	;	$	$.	_	0	root	_	_
38	denn	denn	K	KON	_	0	root	_	_
39	jene	jene	P	PDS	_|_|_	40	obja	_	_
40	spielte	spielen	V	VVFIN	3|Sg|Past|_	38	cj	_	_
41	er	er	P	PPER	3|Sg|Masc|Nom	40	subj	23	23
42	ganz	ganz	A	ADV	_	45	adv	_	_
43	und	und	K	KON	_	42	kon	_	_
44	gar	gar	A	ADV	_	43	cj	_	_
45	mit	mit	P	APPR	Dat	40	pp	_	_
46	dem	die	A	ART	Def|Masc|Dat|Sg	48	det	_	_
47	linken	link	A	ADJA	Pos|Masc|Dat|Sg|Wk|	48	attr	_	_
48	Zeigefinger	Zeigefinger	N	NN	Masc|Dat|Sg	45	pn	_	_
49	und	und	K	KON	_	48	kon	_	_
50	einer	eine	A	ART	Indef|Fem|Dat|Sg	52	det	_	_
51	geringen	gering	A	ADJA	Pos|Fem|Dat|Sg|Wk|	52	attr	_	_
52	Bewegung	Bewegung	N	NN	Fem|Dat|Sg	49	cj	_	_
53	des	die	A	ART	Def|Masc|Gen|Sg	55	det	_	_
54	rechten	recht	A	ADJA	Pos|Masc|Gen|Sg|_|	55	attr	_	_
55	Fußes	Fuß	N	NN	Masc|Gen|Sg	52	gmod	_	_
56	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	da	da	A	ADV	_	2	adv	_	_
4	mancher	manche	A	PIAT	Masc|Nom|Sg	5	det	490	490
5	Schauspieler	Schauspieler	N	NN	Masc|Nom|Sg	2	subj	490	490
6	sich	sie	P	PRF	3|_|_	0	root	_	_
7	heftig	heftig	A	ADJD	Pos|	0	root	_	_
8	bewegt	bewegen	V	VVPP	_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	laut	laut	P	APPR	Dat	12	pp	_	_
11	geschrieen	geschrieen	N	NE	_|Dat|_	10	pn	_	_
12	haben	haben	V	VAFIN	_|Pl|Pres|_	9	cj	_	_
13	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	0	root	490	490
3	,	,	$	$,	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	490	490
5	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	ruhig	ruhig	A	ADJD	Pos|	5	adv	_	_
7	auf	auf	P	APPR	_	5	objp	_	_
8	sich	sie	P	PRF	3|_|_	7	pn	_	_
9	selber	selber	A	ADV	_	5	adv	_	_
10	da	da	A	ADV	_	5	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	sich	sie	P	PRF	3|_|_	13	obja	_	_
13	kennend	kennen	A	ADJD	_|<PPRES	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	seiner	seine	A	PPOSAT	Fem|_|Sg	16	det	490	490
16	Größe	Größe	N	NN	Fem|_|Sg	0	root	_	_
17	vertrauend	vertrauen	A	ADJD	_|<PPRES	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	wohl	wohl	A	ADV	_	20	adv	_	_
20	wissend	wissen	A	ADJD	_|<PPRES	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	daß	daß	K	KOUS	_	27	konj	_	_
23	das	die	A	ART	Def|Neut|Nom|Sg	24	det	303	303
24	Kaninchen	Kaninchen	N	NN	Neut|Nom|Sg	27	subj	303	303
25	im	in	P	APPRART	Dat	27	objp	_	_
26	Tornister	Tornister	N	NN	Masc|Dat|Sg	25	pn	491	491
27	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	0	root	491	491
28	,	,	$	$,	_	0	root	491	491
29	den	die	P	PRELS	Masc|Acc|Sg	32	obja	491	491
30	er	er	P	PPER	3|Sg|Masc|Nom	33	subj	490	490
31	nur	nur	A	ADV	_	32	adv	_	_
32	aufknöpfen	aufknöpfen	V	VVINF	_	33	aux	_	_
33	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	26	rel	_	_
34	,	,	$	$,	_	0	root	_	_
35	um	um	K	KOUI	_	39	konj	_	_
36	sein	seine	A	PPOSAT	Neut|_|Sg	37	det	490	490
37	Glück	Glück	N	NN	Neut|_|Sg	39	obja	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	machen	machen	V	VVINF	_	33	neb	_	_
40	.	.	$	$.	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Uns	wir	P	PPER	1|Pl|_|_	4	obja	_	_
4	dünkt	dünken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	349	349
6	Mensch	Mensch	N	NN	Masc|Nom|Sg	4	subj	349	349
7	aber	aber	A	ADV	_	4	adv	_	_
8	sehr	sehr	A	ADV	_	9	adv	_	_
9	langweilig	langweilig	A	ADJD	Pos|	4	adv	_	_
10	.	.	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	492	492
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	vielleicht	vielleicht	A	ADV	_	7	adv	_	_
6	nur	nur	A	ADV	_	7	adv	_	_
7	verwöhnt	verwöhnen	V	VVPP	_	4	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	meine	meine	A	PPOSAT	Masc|_|Pl	10	det	_	_
10	Herren	Herr	N	NN	Masc|_|Pl	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	492	492
3	denn	denn	A	ADV	_	6	adv	_	_
4	nicht	nicht	P	PTKNEG	_	6	adv	_	_
5	tief	tief	A	ADJD	Pos|	6	adv	_	_
6	erschüttert	erschüttern	V	VVPP	_	1	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	in	in	P	APPR	Dat	6	pp	_	_
9	jener	jene	A	PDAT	Fem|Dat|Sg	13	det	_	_
10	einzigen	einzig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	13	attr	_	_
11	,	,	$	$,	_	0	root	_	_
12	unnachahmlichen	unnachahmlichen	A	ADJA	_|Fem|Dat|Sg|_|_	10	kon	_	_
13	Szene	Szene	N	NN	Fem|Dat|Sg	8	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	als	als	K	KOKOM	_	26	kom	493	493
16	dem	die	A	ART	Def|_|Dat|Sg	17	det	493	493
17	Würdigsten	Würdigste	N	NN	_|Dat|Sg	15	cj	493	493
18	seines	seine	A	PPOSAT	Neut|Gen|Sg	19	det	493	493
19	Geschlechtes	Geschlecht	N	NN	Neut|Gen|Sg	17	gmod	_	_
20	auf	auf	P	APPR	_	17	pp	_	_
21	Befehl	Befehl	N	NN	Masc|_|Sg	20	pn	_	_
22	des	die	A	ART	Def|Masc|Gen|Sg	23	det	494	494
23	Tyrannen	Tyrann	N	NN	Masc|Gen|Sg	21	gmod	494	494
24	sein	seine	A	PPOSAT	Masc|Nom|Sg	26	det	494	494
25	ehrwürdiger	ehrwürdig	A	ADJA	Pos|Masc|Nom|Sg|St|	26	attr	_	_
26	Bart	Bart	N	NN	Masc|Nom|Sg	28	subj	_	_
27	ausgerauft	ausraufen	V	VVPP	_	28	aux	_	_
28	ward	ward	V	VAFIN	_|Sg|_|_	1	kon	_	_
29	?	?	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	2	adv	_	_
2	wahr	wahr	A	ADJD	Pos|	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	hier	hier	A	ADV	_	5	adv	_	_
5	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
6	Sie	sie	P	PPER	3|Pl|_|Nom	5	subj	492	492
7	Geschrei	Geschrei	N	NN	Neut|_|Sg	5	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	Fußstampfen	Fußstampfen	N	NN	Neut|_|Sg	7	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	Zähneknirschen	Zähneknirschen	N	NN	Neut|_|Sg	0	root	_	_
12	erwartet	erwarten	V	VVPP	_	0	root	_	_
13	?	?	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	13	adv	_	_
2	mancher	manche	A	PIAT	Masc|Nom|Sg	3	det	495	495
3	Schreier	Schreier	N	NN	Masc|Nom|Sg	13	subj	495	495
4	unsrer	unsre	A	PPOSAT	Fem|Gen|Pl	5	det	497	497
5	Bühnen	Bühne	N	NN	Fem|Gen|Pl	3	gmod	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PRELS	Masc|Nom|Sg	11	subj	495	495
8	in	in	P	APPR	_	10	pp	_	_
9	Heldenrollen	Heldenrolle	N	NN	_|_|_	8	pn	496	496
10	gerühmt	rühmen	V	VVPP	_	11	aux	_	_
11	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
14	hier	hier	A	ADV	_	20	adv	_	_
15	die	die	A	ART	Def|Fem|_|Sg	17	det	_	_
16	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	17	attr	_	_
17	Kraft	Kraft	N	NN	Fem|_|Sg	20	obja	_	_
18	seines	seine	A	PPOSAT	Neut|Gen|Sg	19	det	496	496
19	Organs	Organ	N	NN	Neut|Gen|Sg	17	gmod	_	_
20	aufgeboten	aufbieten	V	VVPP	_	13	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	um	um	K	KOUI	_	29	konj	_	_
23	sich	sie	P	PRF	3|_|Dat	29	objd	_	_
24	den	die	A	ART	Def|Masc|Acc|Sg	25	det	498	498
25	Beifall	Beifall	N	NN	Masc|Acc|Sg	29	obja	498	498
26	des	die	A	ART	Def|Masc|Gen|Sg	27	det	26	26
27	Haufens	Haufe	N	NN	Masc|Gen|Sg	25	gmod	26	26
28	zu	zu	P	PTKZU	_	29	part	_	_
29	ertoben	ertoben	V	VVINF	_	13	neb	_	_
30	?	?	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	6	adv	_	_
2	so	so	A	ADV	_	6	adv	_	_
3	unser	unsre	A	PPOSAT	Masc|Nom|Sg	6	det	497	497
4	großer	groß	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	_
5	origineller	originell	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	_
6	Künstler	Künstler	N	NN	Masc|Nom|Sg	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	498	498
4	,	,	$	$,	_	0	root	_	_
5	still	still	A	ADJD	Pos|	9	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	in	in	P	APPR	_	9	objp	_	_
8	sich	sie	P	PRF	3|_|_	7	pn	_	_
9	gezogen	ziehen	V	VVPP	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	seinen	seine	A	PPOSAT	Masc|_|Sg	12	det	498	498
12	Schmerz	Schmerz	N	NN	Masc|_|Sg	13	obja	_	_
13	zurückzwängend	zurückzwängen	A	ADJD	_|<PPRES	0	root	_	_
14	;	;	$	$.	_	0	root	_	_
15	während	während	K	KOUS	_	27	konj	_	_
16	die	die	A	ART	Def|Fem|Nom|Sg	18	det	499	499
17	rechte	recht	A	ADJA	Pos|Fem|Nom|Sg|_|	18	attr	499	499
18	Hand	Hand	N	NN	Fem|Nom|Sg	27	subj	499	499
19	in	in	P	APPR	Dat	27	objp	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
21	aufgeknöpften	aufgeknöpft	A	ADJA	Pos|Fem|Dat|Sg|Wk|	22	attr	_	_
22	Weste	Weste	N	NN	Fem|Dat|Sg	19	pn	_	_
23	unter	unter	P	APPR	Dat	26	pp	_	_
24	dem	die	A	ART	Def|_|Dat|Sg	25	det	_	_
25	Jabot	Jabot	N	NN	_|Dat|Sg	23	pn	_	_
26	ruhig	ruhig	A	ADJD	Pos|	27	adv	_	_
27	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	29	neb	_	_
28	,	,	$	$,	_	0	root	_	_
29	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
30	die	die	A	ART	Def|_|_|_	31	det	_	_
31	linke	link	A	ADJA	_|_|_	29	subj	_	_
32	mit	mit	P	APPR	Dat	38	pp	_	_
33	der	die	A	ART	Def|Fem|Dat|Sg	35	det	_	_
34	ausgestreckten	ausgestreckt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	35	attr	_	_
35	Fläche	Fläche	N	NN	Fem|Dat|Sg	32	pn	_	_
36	nach	nach	P	APPR	Dat	38	pp	_	_
37	oben	oben	A	ADV	_	36	adv	_	_
38	gewandt	gewandt	V	VVPP	_	29	aux	_	_
39	,	,	$	$,	_	0	root	_	_
40	sie	sie	P	PPER	3|Sg|Fem|Nom	41	subj	499	499
41	drückte	drücken	V	VVFIN	3|Sg|Past|_	29	kon	_	_
42	seinen	seine	A	PPOSAT	Masc|_|_	43	det	498	498
43	Unwillen	Unwille	N	NN	Masc|_|_	41	obja	_	_
44	aus	aus	P	PTKVZ	_	41	avz	_	_
45	,	,	$	$,	_	0	root	_	_
46	und	und	K	KON	_	41	kon	_	_
47	forderte	fordern	V	VVFIN	_|Sg|Past|_	46	cj	_	_
48	gleichsam	gleichsam	A	ADJD	_	47	adv	_	_
49	des	die	A	ART	Def|_|Gen|Sg	50	det	_	_
50	Himmels	Himmel	N	NN	Fem|Gen|Sg	0	root	_	_
51	Unterstützung	Unterstützung	N	NN	Fem|Gen|Sg	50	app	_	_
52	;	;	$	$.	_	0	root	_	_
53	sein	seine	A	PPOSAT	Neut|Nom|Sg	54	det	498	498
54	Gesicht	Gesicht	N	NN	Neut|Nom|Sg	55	subj	501	501
55	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
56	ruhig	ruhig	A	ADJD	Pos|	55	pred	_	_
57	,	,	$	$,	_	0	root	_	_
58	fast	fast	A	ADV	_	59	adv	_	_
59	lächelnd	lächeln	A	ADJD	_|<PPRES	56	kon	_	_
60	,	,	$	$,	_	0	root	_	_
61	in	in	P	APPR	_	55	pp	_	_
62	Verachtung	Verachtung	N	NN	Fem|_|Sg	61	pn	_	_
63	gegen	gegen	P	APPR	Acc	62	pp	_	_
64	die	die	A	ART	Def|Masc|Acc|Pl	65	det	_	_
65	Diener	Diener	N	NN	Masc|Acc|Pl	63	pn	_	_
66	des	die	A	ART	Def|Masc|Gen|Sg	67	det	494	494
67	Tyrannen	Tyrann	N	NN	Masc|Gen|Sg	65	gmod	494	494
68	,	,	$	$,	_	0	root	_	_
69	nur	nur	A	ADV	_	72	adv	500	500
70	eine	eine	A	ART	Indef|Fem|Nom|Sg	72	det	500	500
71	zwinkernde	zwinkernd	A	ADJA	Pos|Fem|Nom|Sg|_|<PPRES	72	attr	500	500
72	Bebung	Bebung	N	NN	Fem|Nom|Sg	73	subj	500	500
73	zuckte	zucken	V	VVFIN	3|Sg|Past|_	55	kon	500	500
74	im	in	P	APPRART	Dat	107	pp	500	500
75	aufwärtsrollenden	aufwärtsrollend	A	ADJA	Pos|Neut|Dat|Sg|Wk|<PPRES	76	attr	500	500
76	Auge	Auge	N	NN	Neut|Dat|Sg	74	pn	500	500
77	,	,	$	$,	_	0	root	500	500
78	in	in	P	APPR	Dat	84	pp	500	500
79	der	die	P	PRELS	Fem|Dat|Sg	78	pn	500	500
80	man	man	P	PIS	_|Nom|Sg	84	subj	_	_
81	sein	seine	A	PPOSAT	Neut|_|Sg	83	det	501	501
82	ganzes	ganz	A	ADJA	Pos|Neut|_|Sg|St|	83	attr	_	_
83	Gefühl	Gefühl	N	NN	Neut|_|Sg	84	obja	_	_
84	erkannte	erkennen	V	VVFIN	3|Sg|Past|Ind	72	rel	_	_
85	,	,	$	$,	_	0	root	_	_
86	und	und	K	KON	_	84	kon	_	_
87	nun	nun	A	ADV	_	88	adv	_	_
88	ertönt	ertönen	V	VVFIN	_|_|Pres|Ind	86	cj	_	_
89	aus	aus	P	APPR	Dat	88	pp	_	_
90	gehobener	gehoben	A	ADJA	Pos|Fem|Dat|Sg|St|	91	attr	_	_
91	Brust	Brust	N	NN	Fem|Dat|Sg	89	pn	_	_
92	das	die	A	ART	Def|Neut|_|Sg	94	det	_	_
93	herzdurchschneidende	herzdurchschneidend	A	ADJA	Pos|Neut|Nom|Sg|Wk|<PPRES	94	attr	_	_
94	Au	Au	N	NN	Neut|Nom|Sg	88	subj	_	_
95	,	,	$	$,	_	0	root	_	_
96	Mau	Mau	N	NE	Neut|Nom|Sg	94	kon	_	_
97	,	,	$	$,	_	0	root	_	_
98	Miau	Miau	N	NN	Neut|Nom|Sg	96	kon	_	_
99	,	,	$	$,	_	0	root	_	_
100	so	so	A	ADV	_	101	adv	_	_
101	gedehnt	dehnen	V	VVPP	_	88	neb	_	_
102	,	,	$	$,	_	0	root	_	_
103	so	so	A	ADV	_	104	adv	_	_
104	gezogen	ziehen	V	VVPP	_	101	kon	_	_
105	,	,	$	$,	_	0	root	_	_
106	so	so	A	ADV	_	107	adv	_	_
107	wimmernd	wimmern	A	ADJD	_|<PPRES	73	adv	_	_
108	klagend	klagen	A	ADJD	_|<PPRES	73	adv	_	_
109	,	,	$	$,	_	0	root	_	_
110	daß	daß	K	KOUS	_	115	konj	_	_
111	uns	wir	P	PPER	1|Pl|_|_	115	obja	497	497
112	allen	alle	P	PIS	_|_|_	111	app	_	_
113	der	die	A	ART	Def|Masc|Nom|Sg	114	det	502	502
114	Atem	Atem	N	NN	Masc|Nom|Sg	115	subj	502	502
115	verging	vergehen	V	VVFIN	3|Sg|Past|Ind	73	objc	_	_
116	;	;	$	$.	_	0	root	_	_
117	doch	doch	K	KON	_	122	koord	_	_
118	das	die	A	ART	Def|Neut|Nom|Sg	119	det	_	_
119	Gefühl	Gefühl	N	NN	Neut|Nom|Sg	122	subj	_	_
120	des	die	A	ART	Def|Masc|Gen|Sg	121	det	_	_
121	Unwillens	Unwille	N	NN	Masc|Gen|Sg	119	gmod	_	_
122	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
123	sich	sie	P	PRF	3|_|_	126	obja	_	_
124	nicht	nicht	P	PTKNEG	_	126	adv	_	_
125	ganz	ganz	A	ADV	_	126	adv	_	_
126	zurückhalten	zurückhalten	V	VVINF	_	122	obji	_	_
127	,	,	$	$,	_	0	root	_	_
128	und	und	K	KON	_	0	root	_	_
129	nun	nun	A	ADV	_	133	adv	_	_
130	der	die	A	ART	Def|Masc|Nom|Sg	133	det	_	_
131	plötzlich	plötzlich	A	ADJD	Pos|	132	adv	_	_
132	kühne	kühn	A	ADJA	Pos|Masc|Nom|Sg|Wk|	133	attr	_	_
133	Übergang	Übergang	N	NN	Masc|Nom|Sg	128	cj	_	_
134	in	in	P	APPR	Acc	133	pp	_	_
135	jenen	jene	A	PDAT	Masc|Acc|Sg	136	det	_	_
136	Ausruf	Ausruf	N	NN	Masc|Acc|Sg	134	pn	_	_
137	des	die	A	ART	Def|Masc|Gen|Sg	138	det	503	503
138	Zornes	Zorn	N	NN	Masc|Gen|Sg	136	gmod	503	503
139	,	,	$	$,	_	0	root	503	503
140	den	die	P	PRELS	Masc|Acc|Sg	145	obja	503	503
141	der	die	A	ART	Def|Masc|Nom|Sg	142	det	382	382
142	Narr	Narr	N	NN	Masc|Nom|Sg	145	subj	382	382
143	ein	eine	A	ART	Indef|Neut|Nom|Sg	144	det	_	_
144	Prusten	Prusten	N	NN	Neut|Nom|Sg	145	pred	_	_
145	nannte	nennen	V	VVFIN	3|Sg|Past|Ind	138	rel	_	_
146	,	,	$	$,	_	0	root	_	_
147	und	und	K	KON	_	0	root	_	_
148	vor	vor	P	APPR	_	0	root	_	_
149	dem	die	A	ART	Def|_|Dat|Sg	0	root	_	_
150	selbst	selbst	A	ADV	_	154	adv	_	_
151	die	die	A	ART	Def|Masc|Nom|Pl	153	det	_	_
152	schamlosen	schamlos	A	ADJA	Pos|Masc|Nom|Pl|Wk|	153	attr	_	_
153	Despotenknechte	Despotenknecht	N	NN	Masc|Nom|Pl	154	subj	_	_
154	zurückfuhren	zurückfahren	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
155	.	.	$	$.	_	0	root	_	_

1	Wahrlich	wahrlich	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	dies	dies	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	_	_
6	Gipfel	Gipfel	N	NN	Masc|Nom|Sg	4	pred	_	_
7	aller	alle	A	PIDAT	Fem|Gen|Sg	8	det	_	_
8	Kunst	Kunst	N	NN	Fem|Gen|Sg	6	gmod	_	_
9	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	in	in	P	APPR	Dat	8	pp	_	_
3	diesem	diese	A	PDAT	_|Dat|Sg	4	det	_	_
4	marrenden	marrenden	N	NN	_|Dat|Sg	2	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	quarrenden	quarrenden	N	NE	_|Dat|Sg	4	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	prustigen	prustigen	A	ADJA	_|Masc|Dat|Sg|_	9	attr	_	_
9	Tone	Ton	N	NN	Masc|Dat|Sg	10	objd	_	_
10	möcht	möcht	V	VVFIN	1|Sg|_|_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	504	504
12	von	von	P	APPR	Dat	10	pp	_	_
13	diesem	diese	A	PDAT	Masc|Dat|Sg	15	det	771	771
14	einzigen	einzig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	771	771
15	Manne	Mann	N	NN	Masc|Dat|Sg	12	pn	771	771
16	einmal	einmal	A	ADV	_	12	adv	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	_	_
18	König	König	N	NN	Masc|Acc|Sg	10	obja	_	_
19	Lear	Lear	N	NE	Masc|Acc|Sg	18	app	_	_
20	,	,	$	$,	_	0	root	_	_
21	oder	oder	K	KON	_	10	kon	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	_	_
23	Wallenstein	Wallenstein	N	NN	Masc|Acc|Sg	24	obja	_	_
24	spielen	spielen	V	VVFIN	_|Pl|Pres|_	21	cj	_	_
25	sehn	sehn	A	ADJD	_	24	adv	_	_
26	;	;	$	$.	_	0	root	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	504	504
28	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
29	überzeugt	überzeugen	V	VVPP	_	28	aux	_	_
30	,	,	$	$,	_	0	root	_	_
31	diese	diese	A	PDAT	Fem|Nom|Pl	32	det	_	_
