1	Wiesener	Wiesener	N	NE	_	0	root	4	4
5	Wahrhaftig	wahrhaftig	A	ADJD	Pos|	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	4	det	748	748
4	Dekoration	Dekoration	N	NN	Fem|Nom|Sg	2	subj	748	748
5	hervorgerufen	hervorrufen	V	VVPP	_	2	aux	_	_
6	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	72	72
2	Vorhang	Vorhang	N	NN	Masc|Nom|Sg	3	subj	72	72
3	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	auf	auf	P	PTKVZ	_	3	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	A	ART	Def|Neut|Nom|Sg	7	det	33	33
7	Theater	Theater	N	NN	Neut|Nom|Sg	8	subj	33	33
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
9	leer	leer	A	ADJD	Pos|	8	pred	_	_
10	,	,	$	$,	_	0	root	_	_
11	man	man	P	PIS	_|Nom|Sg	12	subj	_	_
12	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	8	kon	_	_
13	nur	nur	A	ADV	_	12	adv	_	_
14	die	die	A	ART	Def|Fem|_|Sg	15	det	748	748
15	Dekoration	Dekoration	N	NN	Fem|_|Sg	12	obja	748	748
16	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|Nom|Sg	2	subj	350	350
2	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	Verbeugungen	Verbeugung	N	NN	Fem|Dat|Pl	3	pn	749	749
5	hervor	hervor	P	PTKVZ	_	2	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Verzeihen	verzeihen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	749	749
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	10	konj	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	750	750
8	so	so	A	ADV	_	9	adv	_	_
9	frei	frei	A	ADJD	Pos|	10	pred	_	_
10	bin	sein	V	VAFIN	1|Sg|Pres|Ind	3	objc	_	_
11	,	,	$	$,	_	0	root	_	_
12	mich	ich	P	PPER	1|Sg|_|Acc	18	obja	750	750
13	im	in	P	APPRART	Dat	18	pp	_	_
14	Namen	Name	N	NN	Masc|Dat|_	13	pn	_	_
15	der	die	A	ART	Def|Fem|Gen|Sg	16	det	748	748
16	Dekoration	Dekoration	N	NN	Fem|Gen|Sg	14	gmod	748	748
17	zu	zu	P	PTKZU	_	18	part	_	_
18	bedanken	bedanken	V	VVINF	_	10	obji	_	_
19	;	;	$	$.	_	0	root	_	_
20	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	_	_
21	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
22	nicht	nicht	P	PTKNEG	_	21	adv	_	_
23	mehr	mehr	A	ADV	_	22	adv	_	_
24	als	als	K	KOKOM	_	21	kom	_	_
25	Schuldigkeit	Schuldigkeit	N	NN	Fem|_|Sg	24	cj	_	_
26	,	,	$	$,	_	0	root	_	_
27	wenn	wenn	K	KOUS	_	33	konj	_	_
28	die	die	A	ART	Def|Fem|Nom|Sg	29	det	748	748
29	Dekoration	Dekoration	N	NN	Fem|Nom|Sg	33	subj	748	748
30	nur	nur	A	ADV	_	33	adv	_	_
31	halbweg	halbweg	A	ADJD	_	33	adv	_	_
32	höflich	höflich	A	ADJD	Pos|	33	pred	_	_
33	ist	sein	V	VAFIN	3|Sg|Pres|Ind	21	neb	_	_
34	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	748	748
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	4	obja	_	_
4	bemühen	bemühen	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	auch	auch	A	ADV	_	14	adv	_	_
7	künftig	künftig	A	ADJD	Pos|	14	adv	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	_	_
9	Beifall	Beifall	N	NN	Masc|Acc|Sg	14	obja	_	_
10	eines	eine	A	ART	Indef|Neut|Gen|Sg	12	det	_	_
11	erleuchteten	erleuchtet	A	ADJA	Pos|Neut|Gen|Sg|_|	12	attr	_	_
12	Publikums	Publikum	N	NN	Neut|Gen|Sg	9	gmod	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	verdienen	verdienen	V	VVINF	_	4	obji	_	_
15	;	;	$	$.	_	0	root	_	_
16	daher	daher	P	PROAV	_	17	pp	_	_
17	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	sie	sie	P	PPER	3|Sg|Fem|Nom	17	subj	748	748
19	es	es	P	PPER	3|Sg|Neut|_	30	obja	_	_
20	gewiß	gewiß	A	ADJD	Pos|	30	adv	_	_
21	weder	weder	K	KON	_	22	kon	_	_
22	an	an	P	APPR	_	29	objp	_	_
23	Lampen	Lampe	N	NN	Fem|_|Pl	22	pn	_	_
24	noch	noch	K	KON	_	22	kon	_	_
25	an	an	P	APPR	Dat	24	cj	_	_
26	den	die	A	ART	Def|Fem|Dat|Pl	28	det	_	_
27	nötigen	nötig	A	ADJA	Pos|Fem|Dat|Pl|_|	28	attr	_	_
28	Verzierungen	Verzierung	N	NN	Fem|Dat|Pl	25	pn	_	_
29	fehlen	fehlen	V	VVINF	_	30	obji	_	_
30	lassen	lassen	V	VVINF	_	17	aux	_	_
31	,	,	$	$,	_	0	root	_	_
32	denn	denn	K	KON	_	17	kon	_	_
33	der	die	A	ART	Def|Masc|Nom|Sg	34	det	_	_
34	Beifall	Beifall	N	NN	Masc|Nom|Sg	38	subj	_	_
35	einer	eine	A	ART	Indef|Fem|Gen|Sg	37	det	_	_
36	solchen	solche	A	PIDAT	Fem|Gen|Sg	37	attr	_	_
37	Versammlung	Versammlung	N	NN	Fem|Gen|Sg	34	gmod	_	_
38	wird	werden	V	VAFIN	3|Sg|Pres|Ind	32	cj	_	_
39	sie	sie	P	PPER	3|_|_|_	45	obja	748	748
40	so	so	A	ADV	_	42	adv	_	_
41	-	-	$	$(	_	0	root	_	_
42	so	so	A	ADV	_	44	adv	_	_
43	-	-	$	$(	_	0	root	_	_
44	so	so	A	ADV	_	45	adv	_	_
45	anfeuern	anfeuern	V	VVINF	_	38	aux	_	_
46	-	-	$	$(	_	0	root	_	_
47	o	o	K	KOUS	_	49	konj	_	_
48	Sie	sie	P	PPER	3|Sg|Fem|Nom	49	subj	748	748
49	sehn	sehn	V	VVFIN	3|Sg|_|_	38	neb	_	_
50	ja	ja	A	ADV	_	49	adv	_	_
51	,	,	$	$,	_	0	root	_	_
52	sie	sie	P	PPER	3|Sg|Fem|Nom	53	subj	748	748
53	ist	sein	V	VAFIN	3|Sg|Pres|Ind	38	kon	_	_
54	vor	vor	P	APPR	_	57	pp	_	_
55	Tränen	Träne	N	NN	Fem|_|Pl	54	pn	751	751
56	so	so	A	ADV	_	57	adv	_	_
57	gerührt	rühren	V	VVPP	_	53	aux	_	_
58	,	,	$	$,	_	0	root	_	_
59	daß	daß	K	KOUS	_	63	konj	_	_
60	sie	sie	P	PPER	3|Sg|Fem|Nom	63	subj	748	748
61	nicht	nicht	P	PTKNEG	_	62	adv	_	_
62	weitersprechen	weitersprechen	V	VVINF	_	63	aux	_	_
63	kann	können	V	VMFIN	3|Sg|Pres|Ind	53	neb	_	_
64	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	schnell	schnell	A	ADJD	Pos|	2	adv	_	_
4	ab	ab	P	PTKVZ	_	2	avz	_	_
5	und	und	K	KON	_	2	kon	_	_
6	trocknet	trocknen	V	VVFIN	_|_|Pres|_	5	cj	_	_
7	sich	sie	P	PRF	3|_|_	6	obja	_	_
8	die	die	A	ART	Def|Neut|_|Pl	9	det	150	150
9	Augen	Auge	N	NN	Neut|_|Pl	6	obja	150	150
10	,	,	$	$,	_	0	root	_	_
11	einige	einige	P	PIS	_|_|_	14	obja	_	_
12	im	in	P	APPRART	Dat	14	pp	_	_
13	Parterre	Parterre	N	NN	Neut|Dat|Sg	12	pn	78	78
14	weinen	weinen	V	VVINF	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	die	die	A	ART	Def|Fem|Nom|Sg	17	det	748	748
17	Dekoration	Dekoration	N	NN	Fem|Nom|Sg	18	subj	748	748
18	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
19	weggenommen	wegnehmen	V	VVPP	_	18	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	man	man	P	PIS	_|Nom|Sg	22	subj	_	_
22	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	18	kon	_	_
23	die	die	A	ART	Def|Fem|_|Pl	25	det	_	_
24	kahlen	kahl	A	ADJA	Pos|Fem|_|Pl|Wk|	25	attr	_	_
25	Wände	Wand	N	NN	Fem|_|Pl	22	obja	_	_
26	des	die	A	ART	Def|Neut|Gen|Sg	27	det	33	33
27	Theaters	Theater	N	NN	Neut|Gen|Sg	25	gmod	33	33
28	,	,	$	$,	_	0	root	_	_
29	die	die	A	ART	Def|_|Nom|Pl	30	det	232	232
30	Leute	Leute	N	NN	_|Nom|Pl	31	subj	232	232
31	fangen	fangen	V	VVFIN	3|Pl|Pres|_	22	kon	_	_
32	an	an	P	APPR	_	31	pp	_	_
33	fortzugehn	fortzugehn	N	NE	_|_|_	32	pn	_	_
34	;	;	$	$.	_	0	root	_	_
35	der	die	A	ART	Def|Masc|Nom|Sg	36	det	752	752
36	Souffleur	Souffleur	N	NN	Masc|Nom|Sg	37	subj	752	752
37	steigt	steigen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
38	aus	aus	P	APPR	Dat	37	objp	_	_
39	meinem	meine	A	PPOSAT	Masc|Dat|Sg	40	det	750	750
40	Kasten	Kasten	N	NN	Masc|Dat|Sg	38	pn	_	_
41	;	;	$	$.	_	0	root	_	_
42	der	die	A	ART	Def|Masc|Nom|Sg	43	det	32	32
43	Dichter	Dichter	N	NN	Masc|Nom|Sg	44	subj	32	32
44	erscheint	erscheinen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
45	demütig	demütig	A	ADJD	Pos|	44	adv	_	_
46	auf	auf	P	APPR	Dat	44	pp	_	_
47	der	die	A	ART	Def|Fem|Dat|Sg	48	det	_	_
48	Bühne	Bühne	N	NN	Fem|Dat|Sg	46	pn	_	_
49	.	.	$	$.	_	0	root	_	_

1	Dichter	Dichter	N	NN	_|_|_	0	root	53	53
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	750	750
4	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
5	noch	noch	A	ADV	_	4	adv	_	_
6	einmal	einmal	A	ADV	_	4	adv	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	frei	frei	A	ADJD	Pos|	4	pred	_	_
9	-	-	$	$(	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Sind	Sind	N	NE	_	0	root	753	753
4	Sie	sie	P	PPER	3|_|_|_	0	root	51	51
5	auch	auch	A	ADV	_	6	adv	_	_
6	noch	noch	A	ADV	_	7	adv	_	_
7	da	da	A	ADV	_	4	adv	_	_
8	?	?	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	753	753
4	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
5	doch	doch	A	ADV	_	9	adv	_	_
6	ja	ja	A	ADV	_	9	adv	_	_
7	nach	nach	P	APPR	Dat	9	pp	_	_
8	Hause	Haus	N	NN	Neut|Dat|Sg	7	pn	216	216
9	gegangen	gehen	V	VVPP	_	10	aux	_	_
10	sein	sein	V	VAINF	_	4	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Dichter	Dichter	N	NN	_|_|_	0	root	53	53
2	:	\:	$	$.	_	0	root	_	_
3	Nur	nur	A	ADV	_	7	adv	_	_
4	noch	noch	A	ADV	_	7	adv	_	_
5	ein	eine	A	ART	Indef|_|_|Sg	7	det	_	_
6	paar	paar	A	PIDAT	Neut|_|_	7	attr	_	_
7	Worte	Wort	N	NN	Neut|_|_	0	root	_	_
8	mit	mit	P	APPR	Dat	7	pp	_	_
9	Ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	11	det	53	53
10	gütigen	gütig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	11	attr	_	_
11	Erlaubnis	Erlaubnis	N	NN	Fem|Dat|Sg	8	pn	_	_
12	!	!	$	$.	_	0	root	_	_

1	Mein	meine	A	PPOSAT	Neut|Nom|Sg	2	det	_	_
2	Stück	Stück	N	NN	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	durchgefallen	durchgefallen	V	VVPP	_	3	aux	_	_
5	-	-	$	$(	_	0	root	_	_

