1	Melpomene	Melpomene	N	NN	Fem|Nom|Sg	2	subj	134	134
8	ganzem	ganz	A	ADJA	Pos|Neut|Dat|Sg|St|	9	attr	_	_
9	Herzen	Herzen	N	NN	Neut|Dat|Sg	7	pn	_	_
10	willkommen	willkommen	A	ADJD	Pos|	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	nehmen	nehmen	V	VVFIN	3|Pl|Pres|_	12	cj	_	_
14	Sie	sie	P	PPER	3|Pl|_|Nom	13	subj	547	547
15	mit	mit	P	APPR	Dat	13	pp	_	_
16	diesem	diese	A	PDAT	Neut|Dat|Sg	18	det	_	_
17	herzlichen	herzlich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	18	attr	_	_
18	Willkommen	Willkommen	N	NN	Neut|Dat|Sg	15	pn	_	_
19	vorlieb	vorlieb	A	ADJD	Pos|	13	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	denn	denn	K	KON	_	13	kon	_	_
22	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	0	0
23	ist	sein	V	VAFIN	3|Sg|Pres|Ind	21	cj	_	_
24	das	die	A	ART	Def|Neut|Nom|Sg	25	det	548	548
25	Beste	Beste	N	NN	Neut|Nom|Sg	23	pred	548	548
26	,	,	$	$,	_	0	root	_	_
27	was	was	P	PRELS	Neut|_|Sg	30	obja	548	548
28	ich	ich	P	PPER	1|Sg|_|Nom	31	subj	549	549
29	Ihnen	sie	P	PPER	3|Pl|_|Dat	30	objd	547	547
30	geben	geben	V	VVINF	_	31	aux	_	_
31	kann	können	V	VMFIN	1|Sg|Pres|Ind	23	objc	_	_
32	.	.	$	$.	_	0	root	_	_

1	Fuchsheim	Fuchsheim	N	NN	Neut|_|Sg	0	root	543	543
2	:	\:	$	$.	_	0	root	_	_
3	Gehorsamster	Gehorsamster	N	NN	_|_|_	0	root	_	_
4	-	-	$	$(	_	0	root	_	_
5	bitte	bitte	I	ITJ	_	0	root	_	_
6	-	-	$	$(	_	0	root	_	_
7	wissen	wissen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
8	schon	schon	A	ADV	_	7	adv	_	_
9	-	-	$	$(	_	0	root	_	_
10	bitte	bitte	I	ITJ	_	0	root	_	_

1	Dicke	dick	A	ADJA	Pos|Fem|_|Sg|_|	2	attr	550	550
2	Frau	Frau	N	NN	Fem|_|Sg	0	root	550	550
3	:	\:	$	$.	_	0	root	_	_
4	Uns	wir	P	PPER	1|Pl|_|_	5	obja	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	Ihre	ihre	A	PPOSAT	Fem|Nom|Sg	7	det	550	550
7	Galanterie	Galanterie	N	NN	Fem|Nom|Sg	5	subj	_	_
8	schon	schon	A	ADV	_	5	adv	_	_
9	aus	aus	P	APPR	Dat	5	pp	_	_
10	alten	alt	A	ADJA	Pos|Fem|Dat|Pl|_|	11	attr	551	551
11	Zeiten	Zeit	N	NN	Fem|Dat|Pl	9	pn	551	551
12	bekannt	bekannt	P	PTKVZ	_	5	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	5	kon	_	_
15	Sie	sie	P	PPER	3|Pl|_|Nom	16	subj	551	551
16	haben	haben	V	VAFIN	3|Pl|Pres|_	14	cj	_	_
17	darin	darin	P	PROAV	_	22	pp	_	_
18	gewiß	gewiß	A	ADJD	Pos|	22	adv	_	_
19	noch	noch	A	ADV	_	22	adv	_	_
20	mehr	mehr	A	PIAT	Masc|_|_	21	det	_	_
21	Fortschritte	Fortschritt	N	NN	Masc|_|_	22	obja	_	_
22	gemacht	machen	V	VVPP	_	16	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Gut	Gut	F	FM	Neut|Dat|Sg	5	objd	_	_
4	Obst	Obst	N	NN	Neut|Dat|Sg	3	app	_	_
5	scheinen	scheinen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
6	s	s	P	PPER	_|Pl|_|Nom	5	subj	551	551
7	'	'	$	$(	_	0	root	_	_
8	hier	hier	A	ADV	_	9	adv	_	_
9	besitzen	besitzen	V	VVINF	_	11	obji	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	tun	tun	V	VVINF	_	5	obji	_	_
12	-	-	$	$(	_	0	root	_	_
13	schönen	schön	A	ADJA	Pos|Fem|Acc|Pl|Wk|	14	attr	553	553
14	Blumenkohl	Blumenkohl	N	NN	Fem|Acc|Pl	26	obja	553	553
15	-	-	$	$(	_	0	root	553	553
16	allerliebste	allerliebst	A	ADJA	_|Fem|Acc|Pl|St|	17	attr	553	553
17	Aprikosen	Aprikose	N	NN	Fem|Acc|Pl	14	app	553	553
18	-	-	$	$(	_	0	root	553	553
19	aber	aber	K	KON	_	17	kon	553	553
20	einen	eine	A	ART	Indef|Masc|Acc|Sg	21	det	395	395
21	Narren	Narr	N	NN	Masc|Acc|Sg	19	cj	395	395
22	hab	hab	V	VAFIN	1|Sg|_|_	5	kon	395	395
23	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	552	552
24	doch	doch	A	ADV	_	26	adv	_	_
25	selber	selber	A	ADV	_	26	adv	_	_
26	mitgebracht	mitbringen	V	VVPP	_	22	aux	_	_
27	,	,	$	$,	_	0	root	_	_
28	den	die	P	PRELS	Masc|Acc|Sg	29	obja	395	395
29	trifft	treffen	V	VVFIN	3|Sg|Pres|Ind	21	rel	_	_
30	man	man	P	PIS	_|Nom|Sg	29	subj	_	_
31	hier	hier	A	ADV	_	29	adv	_	_
32	nicht	nicht	P	PTKNEG	_	29	adv	_	_
33	an	an	P	PTKVZ	_	29	avz	_	_
34	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	552	552
4	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
5	Sie	sie	P	PPER	3|_|_|_	6	obja	553	553
6	mitgenommen	mitnehmen	V	VVPP	_	4	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	Herr	Herr	N	NN	Masc|_|Sg	0	root	556	556
9	Graf	Graf	N	NE	_|_|Sg	8	app	556	556
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	das	die	P	PDS	Neut|_|Sg	15	obja	_	_
13	will	wollen	V	VMFIN	1|Sg|Pres|Ind	11	cj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	552	552
15	beschwören	beschwören	V	VVINF	_	13	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	_	_
7	guter	gut	A	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	_	_
8	Eselskopf	Eselskopf	N	NN	Masc|Nom|Sg	3	pred	_	_
9	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	0	0
3	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	552	552
5	immer	immer	A	ADV	_	6	adv	_	_
6	prächtige	prächtig	A	ADJA	Pos|Fem|_|Pl|St|	7	attr	_	_
7	Grobheiten	Grobheit	N	NN	Fem|_|Pl	3	obja	_	_
8	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Und	und	K	KON	_	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	261	261
5	Graf	Graf	N	NE	Masc|Nom|Sg	6	subj	261	261
6	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	3	cj	_	_
7	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	552	552
8	herrliche	herrlich	A	ADJA	Pos|Fem|_|Pl|St|	9	attr	_	_
9	Wahrheiten	Wahrheit	N	NN	Fem|_|Pl	6	obja	_	_
10	,	,	$	$,	_	0	root	_	_
11	denn	denn	K	KON	_	6	kon	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	261	261
13	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	11	cj	_	_
14	mir	ich	P	PPER	1|Sg|_|Dat	13	objd	552	552
15	nichts	nichts	P	PIS	_	13	obja	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	13	kon	_	_
18	es	es	P	PPER	3|Sg|Neut|Nom	19	subj	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	17	cj	_	_
20	eine	eine	A	ART	Indef|Fem|Nom|Sg	21	det	_	_
21	Wahrheit	Wahrheit	N	NN	Fem|Nom|Sg	19	pred	_	_
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	26	konj	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	261	261
25	nichts	nichts	P	PIS	_|Nom|_	26	pred	_	_
26	ist	sein	V	VAFIN	3|Sg|Pres|Ind	19	objc	_	_
27	und	und	K	KON	_	26	kon	_	_
28	daß	daß	K	KOUS	_	33	konj	_	_
29	er	er	P	PPER	3|Sg|Masc|Nom	33	subj	261	261
30	nichts	nichts	P	PIS	_	32	obja	_	_
31	zu	zu	P	PTKZU	_	32	part	_	_
32	sagen	sagen	V	VVINF	_	33	obji	_	_
33	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	27	cj	_	_
34	.	.	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Konfuse	Konfuse	N	NN	_|Nom|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
6	ungeordneter	ungeordnet	A	ADJA	Pos|Masc|Nom|Sg|St|	7	attr	_	_
7	Verstand	Verstand	N	NN	Masc|Nom|Sg	3	kon	_	_
8	-	-	$	$(	_	0	root	_	_
9	aber	aber	K	KON	_	7	kon	_	_
10	gute	gut	A	ADJA	Pos|Fem|Nom|Pl|St|	11	attr	_	_
11	Anlagen	Anlage	N	NN	Fem|Nom|Pl	9	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Fuchsheim	Fuchsheim	N	NN	Neut|_|Sg	0	root	543	543
2	,	,	$	$,	_	0	root	_	_
3	lachend	lachen	A	ADJD	_|<PPRES	0	root	_	_
4	:	\:	$	$.	_	0	root	_	_
5	Gute	gut	A	ADJA	Pos|Fem|_|Pl|St|	6	attr	_	_
6	Anlagen	Anlage	N	NN	Fem|_|Pl	0	root	_	_
7	zu	zu	P	APPR	Dat	6	pp	_	_
8	einem	eine	A	ART	Indef|_|Dat|Sg	9	det	395	395
9	Narren	Narr	N	NN	_|Dat|Sg	7	pn	395	395
10	-	-	$	$(	_	0	root	_	_
11	ja	ja	P	PTKANT	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	ja	ja	A	ADV	_	14	adv	_	_
14	dafür	dafür	P	PROAV	_	15	pp	_	_
15	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
16	seine	seine	A	PPOSAT	Fem|Nom|Pl	17	det	395	395
17	Anlagen	Anlage	N	NN	Fem|Nom|Pl	15	subj	554	554
18	gut	gut	A	ADJD	Pos|	15	pred	_	_
19	genug	genug	A	ADV	_	18	adv	_	_
20	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Wissen	wissen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	554	554
5	denn	denn	P	PTKVZ	_	3	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	was	was	P	PRELS	Neut|_|Sg	12	obja	_	_
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	395	395
9	vollkommener	vollkommen	A	ADJA	Pos|Masc|Nom|Sg|St|	10	attr	395	395
10	Narr	Narr	N	NN	Masc|Nom|Sg	13	subj	395	395
11	zu	zu	P	PTKZU	_	12	part	_	_
12	bedeuten	bedeuten	V	VVINF	_	13	aux	_	_
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	3	rel	_	_
14	?	?	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Dazu	Dazu	P	PROAV	_	5	pp	_	_
4	halt	halt	A	ADV	_	5	adv	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	555	555
6	dich	du	P	PPER	2|Sg|_|Acc	0	root	_	_
7	ja	ja	A	ADV	_	6	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	Narr	Narr	N	NN	Masc|Acc|Sg	6	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	damit	damit	K	KOUS	_	16	konj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	555	555
13	das	die	P	PDS	Neut|_|Sg	15	obja	_	_
14	beständig	beständig	A	ADJD	Pos|	15	adv	_	_
15	wissen	wissen	V	VVINF	_	16	aux	_	_
16	möge	mögen	V	VMFIN	1|Sg|Pres|_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Geschmack	Geschmack	N	NN	Masc|Nom|Sg	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	verschieden	verschieden	A	ADJD	Pos|	5	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	555	555
9	halte	halten	V	VVFIN	1|Sg|Pres|_	5	kon	_	_
10	mir	ich	P	PRF	1|Sg|Dat	9	objd	_	_
11	lieber	lieb	A	ADJD	Comp|	9	pred	_	_
12	einen	eine	A	ART	Indef|Masc|Acc|Sg	13	det	556	556
13	Grafen	Graf	N	NN	Masc|Acc|Sg	9	obja	556	556
14	.	.	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Er	er	P	PPER	3|Sg|Masc|Nom	4	subj	0	0
4	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	7	objd	555	555
6	alles	alle	P	PIS	_|_|Sg	5	app	_	_
7	bieten	bieten	V	VVINF	_	4	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	weil	weil	K	KOUS	_	15	konj	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	0	0
11	nämlich	nämlich	A	ADV	_	15	adv	_	_
12	nur	nur	A	ADV	_	15	adv	_	_
13	ein	eine	A	ART	Indef|Masc|Nom|Sg	14	det	395	395
14	Narr	Narr	N	NN	Masc|Nom|Sg	15	pred	395	395
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	neb	_	_
16	.	.	$	$.	_	0	root	_	_

1	Fuchsheim	Fuchsheim	N	NN	Neut|_|Sg	0	root	543	543
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	555	555
4	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
5	mir	ich	P	PRF	1|Sg|Dat	8	objd	_	_
6	auch	auch	A	ADV	_	8	adv	_	_
7	einen	eine	P	PIS	_|_|_	8	obja	_	_
8	anschaffen	anschaffen	V	VVINF	_	4	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	die	die	A	ART	Def|Fem|_|Sg	6	det	_	_
5	beste	gut	A	ADJA	Sup|Fem|_|Sg|_|	6	attr	_	_
6	Sorte	Sorte	N	NN	Fem|_|Sg	2	obja	_	_
7	?	?	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NE	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	557	557
4	geraten	geraten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	in	in	P	APPR	Dat	4	pp	_	_
7	jedem	jede	A	PIAT	Neut|Dat|Sg	8	det	_	_
8	Jahre	Jahr	N	NN	Neut|Dat|Sg	6	pn	_	_
9	gleich	gleich	A	ADJD	Pos|	4	adv	_	_
10	gut	gut	A	ADJD	Pos|	4	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	manchmal	manchmal	A	ADV	_	13	adv	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	kon	_	_
14	ein	eine	A	ART	Indef|Masc|Nom|Sg	16	det	_	_
15	ordentlicher	ordentlich	A	ADJA	Pos|Masc|Nom|Sg|St|	16	attr	_	_
16	Mißwachs	Mißwachs	N	NN	Masc|Nom|Sg	13	subj	_	_
17	-	-	$	$(	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	555	555
19	habe	haben	V	VAFIN	1|Sg|Pres|_	13	kon	_	_
20	sie	sie	P	PPER	3|_|_|_	27	obja	557	557
21	auf	auf	P	APPR	Dat	27	pp	_	_
22	meinen	meine	A	PPOSAT	Neut|Dat|Pl	23	det	555	555
23	Gütern	Gut	N	NN	Neut|Dat|Pl	21	pn	_	_
24	als	als	K	KOKOM	_	27	kom	_	_
25	ein	eine	A	ART	Indef|Neut|_|Sg	26	det	_	_
26	Landesprodukt	Landesprodukt	N	NN	Neut|_|Sg	24	cj	_	_
27	ziehn	ziehn	V	VVINF	_	28	aux	_	_
28	wollen	wollen	V	VMINF	_	19	aux	_	_
29	-	-	$	$(	_	0	root	_	_
30	aber	aber	K	KON	_	19	kon	_	_
31	sie	sie	P	PPER	3|Pl|_|Nom	32	subj	557	557
32	sind	sein	V	VAFIN	3|Pl|Pres|Ind	30	cj	_	_
33	nicht	nicht	P	PTKNEG	_	34	adv	_	_
34	eingeschlagen	einschlagen	V	VVPP	_	32	aux	_	_
35	-	-	$	$(	_	0	root	_	_
36	das	die	A	ART	Def|Neut|Nom|Sg	37	det	_	_
37	Klima	Klima	N	NN	Neut|Nom|Sg	38	subj	_	_
38	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	32	kon	_	_
39	nicht	nicht	P	PTKNEG	_	40	adv	_	_
40	taugen	taugen	V	VVINF	_	38	aux	_	_
41	.	.	$	$.	_	0	root	_	_

1	Fuchsheim	Fuchsheim	N	NN	Neut|_|Sg	0	root	543	543
2	:	\:	$	$.	_	0	root	_	_
3	Wenn	wenn	K	KOUS	_	10	konj	_	_
4	man	man	P	PIS	_|Nom|Sg	10	subj	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	manchmal	manchmal	A	ADV	_	10	adv	_	_
7	seiner	seine	A	PPOSAT	Fem|Dat|Sg	8	det	543	543
8	Vernunft	Vernunft	N	NN	Fem|Dat|Sg	10	objd	_	_
9	überdrüssig	überdrüssig	A	ADJD	Pos|	10	pred	_	_
10	wird	werden	V	VAFIN	3|Sg|Pres|Ind	13	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
14	ein	eine	A	ART	Indef|Masc|Nom|Sg	16	det	395	395
15	solcher	solche	A	PIDAT	Masc|Nom|Sg	16	attr	395	395
16	Narr	Narr	N	NN	Masc|Nom|Sg	13	subj	395	395
17	ein	eine	A	ART	Indef|Masc|Nom|Sg	19	det	_	_
18	wahrer	wahr	A	ADJA	Pos|Masc|Nom|Sg|St|	19	attr	_	_
19	Leckerbissen	Leckerbissen	N	NN	Masc|Nom|Sg	20	pred	_	_
20	sein	sein	V	VAINF	_	13	aux	_	_
21	.	.	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Diesen	diese	A	PDAT	_|_|_	0	root	_	_
4	da	da	A	ADV	_	5	adv	_	_
5	hab	hab	V	VVFIN	1|Sg|_|_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	558	558
7	geerbt	erben	V	VVPP	_	5	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	5	kon	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	558	558
11	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	9	cj	_	_
12	sein	seine	A	PPOSAT	Neut|_|Sg	13	det	541	541
13	Vaterland	Vaterland	N	NN	Neut|_|Sg	11	obja	_	_
14	nicht	nicht	P	PTKNEG	_	11	adv	_	_
15	.	.	$	$.	_	0	root	_	_

1	Fuchsheim	Fuchsheim	N	NN	Neut|_|Sg	0	root	543	543
2	:	\:	$	$.	_	0	root	_	_
3	Hat	Hat	F	FM	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	0	root	0	0
5	keinen	keine	A	PIAT	Masc|Acc|Sg	6	det	_	_
6	Taufschein	Taufschein	N	NN	Masc|Acc|Sg	0	root	_	_
7	?	?	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Narren	Narr	N	NN	Masc|Nom|Pl	4	subj	395	395
4	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	_
5	gar	gar	A	ADV	_	6	adv	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	getauft	taufen	V	VVPP	_	4	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Fuchsheim	Fuchsheim	N	NN	Neut|_|Sg	0	root	543	543
2	:	\:	$	$.	_	0	root	_	_
3	Zu	zu	P	APPR	Dat	6	objp	_	_
4	welcher	welche	A	PWAT	Fem|Dat|Sg	5	det	_	_
5	Kirche	Kirche	N	NN	Fem|Dat|Sg	3	pn	_	_
6	bekennen	bekennen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	sie	sie	P	PPER	3|Pl|_|Nom	6	subj	559	559
8	sich	sie	P	PRF	3|_|_	6	obja	_	_
9	denn	denn	A	ADV	_	6	adv	_	_
10	aber	aber	A	ADV	_	6	adv	_	_
11	?	?	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NE	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	559	559
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	damit	damit	P	PROAV	_	4	pp	_	_
6	zufrieden	zufrieden	A	ADJD	Pos|	4	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	13	konj	_	_
9	sie	sie	P	PPER	3|Pl|_|Nom	13	subj	559	559
10	in	in	P	APPR	Dat	13	pp	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	_	_
12	Irre	Irre	N	NN	Fem|Dat|Sg	10	pn	_	_
13	wandeln	wandeln	V	VVFIN	3|Pl|Pres|_	4	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	Fuchsheim	Fuchsheim	N	NE	Neut|_|Sg	0	root	543	543
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	559	559
4	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
5	ihn	er	P	PPER	3|Sg|Masc|Acc	7	obja	0	0
6	bekehren	bekehren	V	VVINF	_	7	obji	_	_
7	lassen	lassen	V	VVINF	_	4	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Ei	Ei	N	NN	Neut|_|Sg	0	root	24	24
4	,	,	$	$,	_	0	root	_	_
5	beileibe	beileibe	A	ADV	_	6	adv	_	_
6	nicht	nicht	P	PTKNEG	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	da	da	A	ADV	_	9	adv	_	_
9	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
10	ja	ja	A	ADV	_	9	adv	_	_
11	ein	eine	A	ART	Indef|Masc|Nom|Sg	14	det	_	_
12	ordinärer	ordinär	A	ADJA	Pos|Masc|Nom|Sg|St|	14	attr	_	_
13	vernünftiger	vernünftig	A	ADJA	Pos|Masc|Nom|Sg|St|	14	attr	_	_
14	Mensch	Mensch	N	NN	Masc|Nom|Sg	9	subj	_	_
15	aus	aus	P	APPR	Dat	9	pp	_	_
16	ihm	er	P	PPER	3|Sg|_|Dat	15	pn	0	0
17	.	.	$	$.	_	0	root	_	_

1	Fuchsheim	Fuchsheim	N	NE	Neut|_|Sg	0	root	543	543
2	:	\:	$	$.	_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	_	_
4	verkaufen	verkaufen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	0	0
6	wohl	wohl	A	ADV	_	4	adv	_	_
7	nicht	nicht	P	PTKNEG	_	4	adv	_	_
8	?	?	$	$.	_	0	root	_	_

