1	Maschinist	Maschinist	N	NE	_	0	root	508	508
12	die	die	A	ART	Def|_|Nom|_	13	det	532	532
13	Ursach	Ursach	N	NN	_|Nom|Pl	11	pred	532	532
14	,	,	$	$,	_	0	root	532	532
15	weshalb	weshalb	P	PWAV	_	17	adv	532	532
16	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	561	561
17	komme	kommen	V	VVFIN	1|Sg|Pres|_	11	objc	_	_
18	)	)	$	$(	_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	daß	daß	K	KOUS	_	34	konj	_	_
21	die	die	A	ART	Def|Fem|Nom|Sg	23	det	_	_
22	vorige	vorig	A	ADJA	Pos|Fem|Nom|Sg|_|	23	attr	_	_
23	Szene	Szene	N	NN	Fem|Nom|Sg	34	subj	_	_
24	,	,	$	$,	_	0	root	_	_
25	die	die	P	PRELS	_|Nom|Pl	28	subj	532	532
26	Sie	sie	P	PPER	3|_|_|_	28	obja	531	531
27	eben	eben	A	ADV	_	28	adv	_	_
28	sahen	sehen	V	VVFIN	3|Pl|Past|Ind	13	rel	_	_
29	,	,	$	$,	_	0	root	_	_
30	gar	gar	A	ADV	_	31	adv	_	_
31	nicht	nicht	P	PTKNEG	_	34	adv	_	_
32	zum	zu	P	APPRART	Dat	34	objp	_	_
33	Stücke	Stück	N	NN	Neut|Dat|Sg	32	pn	516	516
34	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	7	objc	_	_
35	.	.	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Nicht	nicht	P	PTKNEG	_	4	adv	_	_
4	zum	zu	P	APPRART	Dat	0	root	_	_
5	Stücke	Stück	N	NN	Neut|Dat|Sg	4	pn	516	516
6	?	?	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	kömmt	kömmt	A	ADJD	_	3	adv	_	_
3	sie	sie	P	PPER	3|_|_|_	0	root	532	532
4	denn	denn	A	ADV	_	3	adv	_	_
5	aber	aber	A	ADV	_	3	adv	_	_
6	hinein	hinein	P	PTKVZ	_	0	root	_	_
7	?	?	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Der	die	A	ART	Def|Masc|Nom|Sg	4	det	72	72
4	Vorhang	Vorhang	N	NN	Masc|Nom|Sg	5	subj	72	72
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	zu	zu	P	PTKA	_	7	adv	_	_
7	früh	früh	A	ADJD	Pos|	8	adv	_	_
8	aufgezogen	aufziehen	V	VVPP	_	5	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|Nom|Sg	4	det	533	533
4	Privatunterredung	Privatunterredung	N	NN	Fem|Nom|Sg	2	pred	533	533
5	,	,	$	$,	_	0	root	533	533
6	die	die	P	PRELS	Fem|Nom|Sg	13	subj	533	533
7	gar	gar	A	ADV	_	8	adv	_	_
8	nicht	nicht	P	PTKNEG	_	12	adv	_	_
9	auf	auf	P	APPR	Dat	12	pp	_	_
10	dem	die	A	ART	Def|Neut|Dat|Sg	11	det	33	33
11	Theater	Theater	N	NN	Neut|Dat|Sg	9	pn	33	33
12	vorgefallen	vorfallen	V	VVPP	_	13	aux	_	_
13	wäre	sein	V	VAFIN	3|Sg|Past|Subj	4	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	wenn	wenn	K	KOUS	_	24	konj	_	_
16	man	man	P	PIS	_|Nom|Sg	24	subj	_	_
17	zwischen	zwischen	P	APPR	_	24	pp	_	_
18	den	die	A	ART	Def|_|_|_	19	det	534	534
19	Kulissen	Kulisse	N	NN	_|_|_	17	pn	534	534
20	nur	nur	A	ADV	_	24	adv	_	_
21	etwas	etwas	A	ADV	_	22	adv	_	_
22	mehr	mehr	A	PIAT	Masc|_|Sg	23	det	_	_
23	Raum	Raum	N	NN	Masc|_|Sg	24	obja	_	_
24	hätte	haben	V	VAFIN	3|Sg|Past|Subj	13	neb	_	_
25	.	.	$	$.	_	0	root	_	_

1	Sind	sein	V	VAFIN	3|Pl|Pres|Ind	8	neb	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	534	534
3	also	also	A	ADV	_	5	adv	_	_
4	illudiert	illudiert	A	ADJD	_	5	pred	_	_
5	gewesen	sein	V	VAPP	_	1	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
10	wahrlich	wahrlich	A	ADV	_	8	adv	_	_
11	um	um	P	APPR	_	8	pp	_	_
12	so	so	A	ADV	_	11	adv	_	_
13	schlimmer	schlimm	A	ADJD	Comp|	8	pred	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	8	kon	_	_
16	es	es	P	PPER	3|Sg|Neut|Nom	17	subj	_	_
17	hilft	helfen	V	VVFIN	3|Sg|Pres|Ind	15	cj	_	_
18	nichts	nichts	P	PIS	_|Dat|_	17	objd	_	_
19	,	,	$	$,	_	0	root	_	_
20	Sie	sie	P	PPER	3|Pl|_|Nom	21	subj	534	534
21	müssen	müssen	V	VMFIN	3|Pl|Pres|_	17	kon	_	_
22	dann	dann	A	ADV	_	21	adv	_	_
23	so	so	A	ADV	_	24	adv	_	_
24	gütig	gütig	A	ADJD	Pos|	25	adv	_	_
25	sein	sein	V	VAINF	_	21	aux	_	_
26	und	und	K	KON	_	25	kon	_	_
27	die	die	A	ART	Def|Fem|_|Sg	28	det	396	396
28	Mühe	Mühe	N	NN	Fem|_|Sg	30	obja	396	396
29	daran	daran	P	PROAV	_	30	objp	_	_
30	setzen	setzen	V	VVINF	_	26	cj	_	_
31	,	,	$	$,	_	0	root	_	_
32	diese	diese	A	PDAT	Fem|_|Sg	33	det	_	_
33	Täuschung	Täuschung	N	NN	Fem|_|Sg	37	obja	_	_
34	aus	aus	P	APPR	Dat	37	pp	_	_
35	sich	sie	P	PRF	3|_|Dat	34	pn	_	_
36	wieder	wieder	A	ADV	_	37	adv	_	_
37	auszurotten	ausrotten	V	VVIZU	_	30	obji	_	_
38	;	;	$	$.	_	0	root	_	_
39	denn	denn	K	KON	_	0	root	_	_
40	von	von	P	APPR	_	0	root	_	_
41	jetzt	jetzt	A	ADV	_	40	adv	_	_
42	an	an	P	PTKVZ	_	0	root	_	_
43	,	,	$	$,	_	0	root	_	_
44	verstehn	verstehn	V	VVFIN	3|_|_|_	0	root	_	_
45	Sie	sie	P	PPER	3|_|_|Nom	44	subj	534	534
46	mich	ich	P	PPER	1|Sg|_|Acc	44	obja	535	535
47	,	,	$	$,	_	0	root	_	_
48	von	von	P	APPR	Dat	58	pp	_	_
49	dem	die	A	ART	Def|Masc|Dat|Sg	50	det	_	_
50	Augenblicke	Augenblick	N	NN	Masc|Dat|Sg	48	pn	_	_
51	,	,	$	$,	_	0	root	_	_
52	daß	daß	K	KOUS	_	54	konj	_	_
53	ich	ich	P	PPER	1|Sg|_|Nom	54	subj	535	535
54	werde	werden	V	VAFIN	1|Sg|Pres|_	50	objc	_	_
55	abgegangen	abgehen	V	VVPP	_	56	aux	_	_
56	sein	sein	V	VAINF	_	54	aux	_	_
57	,	,	$	$,	_	0	root	_	_
58	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	44	kon	_	_
59	der	die	A	ART	Def|Masc|Nom|Sg	61	det	536	536
60	dritte	dritt	A	ADJA	_|Masc|Nom|Sg|Wk|	61	attr	536	536
61	Akt	Akt	N	NN	Masc|Nom|Sg	58	subj	536	536
62	erst	erst	A	ADV	_	64	adv	_	_
63	seinen	seine	A	PPOSAT	Masc|_|Sg	64	det	536	536
64	Anfang	Anfang	N	NN	Masc|_|Sg	58	obja	_	_
65	.	.	$	$.	_	0	root	_	_

1	Unter	unter	P	APPR	_	0	root	_	_
2	uns	wir	P	PPER	1|Pl|_|_	1	pn	538	538
3	:	\:	$	$.	_	0	root	_	_
4	alles	alle	A	PIDAT	Neut|Nom|Sg	5	det	_	_
5	Vorhergehende	Vorhergehende	N	NN	Neut|Nom|Sg	6	subj	_	_
6	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	nicht	nicht	P	PTKNEG	_	6	adv	_	_
8	zur	zu	P	APPRART	Dat	6	objp	_	_
9	Sache	Sache	N	NN	Fem|Dat|Sg	8	pn	539	539
10	;	;	$	$.	_	0	root	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	eine	eine	A	ART	Indef|Fem|Nom|Sg	14	det	537	537
14	Zugabe	Zugabe	N	NN	Fem|Nom|Sg	12	pred	537	537
15	,	,	$	$,	_	0	root	_	_
16	die	die	P	PRELS	_|_|_	0	root	537	537
17	wir	wir	P	PPER	1|Pl|_|Nom	0	root	538	538
18	uns	wir	P	PRF	1|Pl|_	23	obja	_	_
19	jetzt	jetzt	A	ADV	_	23	adv	_	_
20	wieder	wieder	A	ADV	_	23	adv	_	_
21	von	von	P	APPR	Dat	23	pp	_	_
22	Ihnen	sie	P	PPER	3|Pl|_|Dat	21	pn	534	534
23	zurückerbitten	zurückerbitten	V	VVINF	_	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	534	534
3	sollen	sollen	V	VMFIN	3|Pl|Pres|_	1	cj	_	_
4	entschädigt	entschädigen	V	VVPP	_	5	aux	_	_
5	werden	werden	V	VAINF	_	3	aux	_	_
6	;	;	$	$.	_	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|_	13	expl	_	_
8	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	im	in	P	APPRART	Dat	13	pp	_	_
10	Gegenteil	Gegenteil	N	NN	_|Dat|Sg	9	pn	522	522
11	bald	bald	A	ADV	_	13	adv	_	_
12	manches	manche	P	PIS	Neut|Nom|Sg	8	subj	_	_
13	kommen	kommen	V	VVINF	_	8	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	das	die	P	PRELS	Neut|Nom|Sg	19	subj	522	522
16	ziemlich	ziemlich	A	ADJD	_	19	adv	_	_
17	zur	zu	P	APPRART	Dat	19	objp	_	_
18	Sache	Sache	N	NN	Fem|Dat|Sg	17	pn	539	539
19	gehört	gehören	V	VVFIN	3|Sg|Pres|Ind	12	rel	_	_
20	,	,	$	$,	_	0	root	_	_
21	denn	denn	K	KON	_	19	kon	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	23	subj	535	535
23	habe	haben	V	VAFIN	1|Sg|Pres|_	21	cj	_	_
24	den	die	A	ART	Def|Masc|Acc|Sg	25	det	32	32
25	Dichter	Dichter	N	NN	Masc|Acc|Sg	27	obja	32	32
26	selbst	selbst	A	ADV	_	27	adv	_	_
27	gesprochen	sprechen	V	VVPP	_	23	aux	_	_
28	und	und	K	KON	_	23	kon	_	_
29	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	536	536
30	hat	haben	V	VAFIN	3|Sg|Pres|Ind	28	cj	_	_
31	'	'	$	$(	_	0	root	_	_
32	s	s	P	PPER	_	34	obja	_	_
33	mir	ich	P	PPER	1|Sg|_|Dat	34	objd	535	535
34	zugeschworen	zuschwören	V	VVPP	_	30	aux	_	_
35	.	.	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Ja	ja	P	PTKANT	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Euer	eure	A	PPOSAT	Masc|Nom|Sg	6	det	2	2
6	Dichter	Dichter	N	NN	Masc|Nom|Sg	7	subj	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
9	rechte	recht	A	ADJA	Pos|Masc|Nom|Sg|Wk|	10	attr	_	_
10	Kerl	Kerl	N	NN	Masc|Nom|Sg	7	pred	_	_
11	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Nicht	nicht	P	PTKNEG	_	4	adv	_	_
4	wahr	wahr	A	ADJD	Pos|	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	1	1
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	nichts	nichts	P	PIS	_|Dat|_	7	objd	_	_
9	wert	wert	A	ADJD	Pos|	7	pred	_	_
10	?	?	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Gar	gar	A	ADV	_	4	adv	_	_
4	nichts	nichts	P	PIS	_|_|Sg	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Hanswurst	Hanswurst	N	NN	_|_|Sg	4	app	_	_
7	;	;	$	$.	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
10	mir	ich	P	PPER	1|Sg|_|Dat	9	objd	541	541
11	lieb	lieb	A	ADJD	Pos|	9	pred	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	17	konj	_	_
14	Sie	sie	P	PPER	3|Pl|_|Nom	17	subj	_	_
15	die	die	A	ART	Def|Fem|_|Sg	16	det	540	540
16	Einsicht	Einsicht	N	NN	Fem|_|Sg	17	obja	540	540
17	haben	haben	V	VAFIN	3|Pl|Pres|_	9	objc	_	_
18	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Nun	nun	A	ADV	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	das	die	P	PDS	Neut|Nom|Sg	6	subj	_	_
6	freut	freuen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	mich	ich	P	PPER	1|Sg|_|Acc	6	obja	541	541
8	von	von	P	APPR	Dat	6	pp	_	_
9	Herzen	Herzen	N	NN	Neut|Dat|Sg	8	pn	542	542
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	17	konj	_	_
12	noch	noch	A	ADV	_	17	adv	_	_
13	jemand	jemand	P	PIS	_|Nom|Sg	17	subj	_	_
14	anders	anders	A	ADV	_	16	adv	_	_
15	meinen	meine	A	PPOSAT	Masc|_|Sg	16	det	541	541
16	Geschmack	Geschmack	N	NN	Masc|_|Sg	17	obja	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	6	objc	_	_
18	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	543	543
2	Parterre	Parterre	N	NN	Neut|_|Sg	0	root	543	543
3	:	\:	$	$.	_	0	root	_	_
4	O	O	N	NN	Neut|_|_	0	root	288	288
5	wir	wir	P	PPER	1|Pl|_|Nom	0	root	544	544
6	alle	alle	P	PIS	_|Nom|_	5	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	wir	wir	P	PPER	1|Pl|_|Nom	0	root	544	544
9	alle	alle	P	PIS	_|Nom|_	8	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	keiner	keine	P	PIS	Masc|Nom|Sg	12	subj	_	_
12	denkt	denken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
13	anders	anders	A	ADV	_	12	adv	_	_
14	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Gehorsamer	gehorsam	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	_	_
4	Diener	Diener	N	NN	Masc|Nom|Sg	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	gar	gar	A	ADV	_	9	adv	_	_
7	zu	zu	P	PTKA	_	8	adv	_	_
8	viele	viele	A	PIDAT	Fem|Nom|Sg	9	det	_	_
9	Ehre	Ehre	N	NN	Fem|Nom|Sg	4	kon	_	_
10	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	s	_	_
6	,	,	$	$,	_	0	root	_	_
7	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	Gott	Gott	N	NN	Masc|Nom|Sg	7	subj	545	545
9	,	,	$	$,	_	0	root	545	545
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	12	det	545	545
11	elender	elend	A	ADJA	Pos|Masc|Nom|Sg|St|	12	attr	545	545
12	Dichter	Dichter	N	NN	Masc|Nom|Sg	8	app	545	545
13	-	-	$	$(	_	0	root	_	_
14	nur	nur	A	ADV	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	um	um	K	KOUI	_	21	konj	_	_
17	ein	eine	A	ART	Indef|Neut|_|Sg	19	det	_	_
18	schlechtes	schlecht	A	ADJA	Pos|Neut|_|Sg|St|	19	attr	_	_
19	Beispiel	Beispiel	N	NN	Neut|_|Sg	21	obja	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	geben	geben	V	VVINF	_	0	root	_	_
22	:	\:	$	$.	_	0	root	_	_
23	welche	welche	A	PWAT	_|_|_	25	det	_	_
24	armselige	armselig	A	ADJA	Pos|_|_|_|_|	25	attr	_	_
25	Rolle	Rolle	N	NN	_|_|_	29	obja	_	_
26	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	545	545
28	mir	ich	P	PPER	1|Sg|_|Dat	29	objd	546	546
29	zugeteilt	zuteilen	V	VVPP	_	26	aux	_	_
30	?	?	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	546	546
4	denn	denn	A	ADV	_	2	adv	_	_
5	witzig	witzig	A	ADJD	Pos|	2	pred	_	_
6	und	und	K	KON	_	5	kon	_	_
7	spaßhaft	spaßhaft	A	ADJD	Pos|	6	cj	_	_
8	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	546	546
2	komme	kommen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	in	in	P	APPR	_	2	pp	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	wenigen	wenige	A	PIDAT	Fem|_|Pl	6	det	_	_
6	Szenen	Szene	N	NN	Fem|_|Pl	3	pn	_	_
7	vor	vor	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	2	kon	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	546	546
11	glaube	glauben	V	VVFIN	1|Sg|Pres|_	9	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	23	konj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	23	subj	546	546
15	nicht	nicht	P	PTKNEG	_	22	adv	_	_
16	noch	noch	A	ADV	_	22	adv	_	_
17	itzt	itzt	A	ADJD	_	22	adv	_	_
18	durch	durch	P	APPR	Acc	22	pp	_	_
19	einen	eine	A	ART	Indef|Masc|Acc|Sg	21	det	_	_
20	glücklichen	glücklich	A	ADJA	Pos|Masc|Acc|Sg|_|	21	attr	_	_
21	Zufall	Zufall	N	NN	Masc|Acc|Sg	18	pn	_	_
22	herausgetreten	heraustreten	V	VVPP	_	23	aux	_	_
23	wäre	sein	V	VAFIN	1|Sg|Past|Subj	11	neb	_	_
24	,	,	$	$,	_	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	546	546
26	erschiene	erscheinen	V	VVFIN	1|Sg|_|_	11	kon	_	_
27	gar	gar	A	ADV	_	28	adv	_	_
28	nicht	nicht	P	PTKNEG	_	26	adv	_	_
29	wieder	wieder	A	ADV	_	26	adv	_	_
30	.	.	$	$.	_	0	root	_	_

