1	Leutner	Leutner	N	NE	_	0	root	30	30
4	,	,	$	$,	_	0	root	_	_
5	greift	greifen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
6	zu	zu	P	PTKVZ	_	5	avz	_	_
7	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	362	362
4	sage	sagen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
5	Euch	ihr	P	PRF	2|Pl|_	4	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	362	362
8	kann	können	V	VMFIN	1|Sg|Pres|Ind	4	kon	_	_
9	den	die	A	ART	Def|_|_|_	11	det	363	363
10	weißen	weiß	A	ADJA	Pos|_|_|_|_|	11	attr	363	363
11	Kohl	Kohl	N	NE	_|_|_	13	obja	363	363
12	nicht	nicht	P	PTKNEG	_	13	adv	_	_
13	vertragen	vertragen	V	VVINF	_	8	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Mir	ich	P	PPER	1|Sg|_|Dat	8	objd	362	362
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	1	1
6	desto	desto	A	ADV	_	7	adv	_	_
7	besser	gut	A	ADJD	Comp|	8	adv	_	_
8	schmecken	schmecken	V	VVINF	_	4	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Gebt	geben	V	VVIMP	Pl	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	362	362
4	Eure	eure	A	PPOSAT	Fem|_|Sg	5	det	363	363
5	Hand	Hand	N	NN	Fem|_|Sg	2	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	362	362
8	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
9	Euch	ihr	P	PRF	2|Pl|_	11	obja	_	_
10	näher	nah	A	ADJD	Comp|	11	adv	_	_
11	kennenlernen	kennenlernen	V	VVINF	_	8	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	Jäger	Jäger	N	NN	Masc|_|_	8	vok	364	364
14	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Hier	hier	A	ADV	_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Gemurmel	Gemurmel	N	NN	Neut|_|Sg	0	root	_	_
2	im	in	P	APPRART	Dat	1	pp	_	_
3	Parterre	Parterre	N	NN	Neut|Dat|Sg	2	pn	78	78
4	:	\:	$	$.	_	0	root	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	366	366
6	Hanswurst	Hanswurst	N	NN	Masc|Nom|Sg	0	root	366	366
7	!	!	$	$.	_	0	root	_	_

1	ein	eine	A	ART	Indef|Masc|Nom|Sg	2	det	_	_
2	Hanswurst	Hanswurst	N	NN	Masc|Nom|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Empfangt	empfangen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
4	hier	hier	A	ADV	_	3	adv	_	_
5	die	die	A	ART	Def|Fem|_|Sg	6	det	_	_
6	Hand	Hand	N	NN	Fem|_|Sg	3	obja	_	_
7	eines	eine	A	ART	Indef|Masc|Gen|Sg	9	det	_	_
8	deutschen	deutsch	A	ADJA	Pos|Masc|Gen|Sg|_|	9	attr	_	_
9	Biedermannes	Biedermann	N	NN	Masc|Gen|Sg	6	gmod	_	_
10	;	;	$	$.	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	365	365
12	schäme	schämen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
13	mich	ich	P	PRF	1|Sg|Acc	12	obja	_	_
14	nicht	nicht	P	PTKNEG	_	12	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	wie	wie	P	PWAV	_	0	root	_	_
17	so	so	A	ADV	_	18	adv	_	_
18	viele	viele	P	PIS	_|_|_	0	root	_	_
19	meiner	meine	A	PPOSAT	_|Gen|Pl	20	det	365	365
20	Landsleute	Landsleute	N	NN	_|Gen|Pl	18	gmod	_	_
21	,	,	$	$,	_	0	root	_	_
22	ein	eine	A	ART	Indef|Masc|Nom|Sg	23	det	_	_
23	Deutscher	Deutsche	N	NN	Masc|Nom|Sg	25	pred	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	sein	sein	V	VAINF	_	20	obji	_	_
26	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	drückt	drücken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	dem	die	A	ART	Def|Masc|Dat|Sg	4	det	23	23
4	Kater	Kater	N	NN	Masc|Dat|Sg	2	objd	23	23
5	die	die	A	ART	Def|Fem|_|Sg	6	det	293	293
6	Hand	Hand	N	NN	Fem|_|Sg	2	obja	293	293
7	sehr	sehr	A	ADV	_	8	adv	_	_
8	heftig	heftig	A	ADJD	Pos|	2	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Au	Au	F	FM	_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	au	au	A	ADJD	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	1	1
3	sträubt	sträuben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	knurrt	knurren	V	VVFIN	_|_|Pres|Ind	3	kon	_	_
7	und	und	K	KON	_	6	kon	_	_
8	klaut	klauen	V	VVFIN	_|_|Pres|Ind	7	cj	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	366	366
10	Hanswurst	Hanswurst	N	NN	Masc|Acc|Sg	8	obja	366	366
11	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	O	O	N	NN	Neut|_|_	0	root	288	288
4	weh	weh	P	PTKVZ	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Jäger	Jäger	N	NN	Masc|_|_	0	root	364	364
2	!	!	$	$.	_	0	root	_	_

1	plagt	plagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	Euch	ihr	P	PPER	2|Pl|_|_	1	obja	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	367	367
4	Teufel	Teufel	N	NN	Masc|Nom|Sg	1	subj	367	367
5	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	367	367
3	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	auf	auf	P	PTKVZ	_	3	avz	_	_
5	und	und	K	KON	_	3	kon	_	_
6	geht	gehen	V	VVFIN	_|_|Pres|Ind	5	cj	_	_
7	weinend	weinen	A	ADJD	_|<PPRES	6	adv	_	_
8	zum	zu	P	APPRART	Dat	6	objp	_	_
9	König	König	N	NN	Masc|Dat|Sg	8	pn	148	148
10	.	.	$	$.	_	0	root	_	_

1	Ihro	Ihro	N	NE	Fem|_|Sg	6	vok	_	_
2	Majestät	Majestät	N	NN	Fem|_|Sg	1	app	_	_
3	,	,	$	$,	_	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	347	347
5	Jäger	Jäger	N	NN	Masc|Nom|Sg	6	subj	347	347
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	_	_
8	treuloser	treulos	A	ADJA	Pos|Masc|Nom|Sg|St|	9	attr	_	_
9	Mann	Mann	N	NN	Masc|Nom|Sg	6	pred	_	_
10	,	,	$	$,	_	0	root	_	_
11	seht	sehen	V	VVFIN	2|Pl|Pres|Ind	6	kon	_	_
12	nur	nur	A	ADV	_	11	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	wie	wie	P	PWAV	_	23	adv	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	24	subj	347	347
16	mir	ich	P	PPER	1|Sg|_|Dat	23	objd	683	683
17	ein	eine	A	ART	Indef|Neut|_|Sg	18	det	_	_
18	Andenken	Andenken	N	NN	Neut|_|Sg	23	obja	_	_
19	von	von	P	APPR	Dat	18	pp	_	_
20	seinen	seine	A	PPOSAT	Masc|Dat|Pl	22	det	347	347
21	fünf	fünf	C	CARD	_	22	attr	_	_
22	Fingern	Finger	N	NN	Masc|Dat|Pl	19	pn	_	_
23	hinterlassen	hinterlassen	V	VVPP	_	24	aux	_	_
24	hat	haben	V	VAFIN	3|Sg|Pres|Ind	11	objc	_	_
25	.	.	$	$.	_	0	root	_	_

1	König	König	N	NN	Masc|_|Sg	2	obja	148	148
2	essend	essen	A	ADJD	_|<PPRES	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Wunderlich	Wunderlich	N	NE	_|_|Sg	0	root	574	574
5	-	-	$	$(	_	0	root	_	_
6	nun	nun	A	ADV	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	setz	setzen	V	VVIMP	Sg	0	root	_	_
9	dich	du	P	PPER	2|Sg|_|Acc	8	obja	368	368
10	nur	nur	A	ADV	_	8	adv	_	_
11	wieder	wieder	A	ADV	_	8	adv	_	_
12	hin	hin	P	PTKVZ	_	8	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	trage	tragen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
15	künftig	künftig	A	ADJD	Pos|	14	adv	_	_
16	Handschuh	Handschuh	N	NN	Masc|Nom|Sg	14	subj	369	369
17	,	,	$	$,	_	0	root	_	_
18	wenn	wenn	K	KOUS	_	25	konj	_	_
19	du	du	P	PPER	2|Sg|_|Nom	25	subj	368	368
20	mit	mit	P	APPR	Dat	24	pp	_	_
21	ihm	er	P	PPER	3|Sg|_|Dat	20	pn	369	369
22	gut	gut	A	ADJD	Pos|	24	adv	_	_
23	Freund	Freund	N	NN	Masc|Nom|Sg	24	pred	370	370
24	sein	sein	V	VAINF	_	25	aux	_	_
25	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	14	neb	_	_
26	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	vielerlei	vielerlei	A	PIAT	_|_|_	4	det	_	_
4	Arten	Art	N	NN	_|_|_	2	obja	_	_
5	von	von	P	APPR	Dat	4	pp	_	_
6	Freunden	Freund	N	NN	_|Dat|_	5	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	man	man	P	PIS	_|Nom|Sg	9	subj	_	_
9	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
10	jedes	jede	A	PIDAT	Neut|_|Sg	11	det	_	_
11	Gericht	Gericht	N	NN	Neut|_|Sg	13	obja	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	essen	essen	V	VVINF	_	9	obji	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	jeden	jede	A	PIDAT	Masc|_|Sg	17	det	_	_
17	Freund	Freund	N	NN	Masc|_|Sg	19	obja	_	_
18	zu	zu	P	PTKZU	_	19	part	_	_
19	behandeln	behandeln	V	VVINF	_	15	cj	_	_
20	verstehn	verstehn	V	VVINF	_	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	Halt	Halt	V	VVIMP	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	683	683
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	gleich	gleich	A	ADJD	Pos|	4	adv	_	_
4	gedacht	denken	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	12	konj	_	_
7	hinter	hinter	P	APPR	Dat	12	objp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	347	347
9	Jäger	Jäger	N	NN	Masc|Dat|Sg	7	pn	347	347
10	was	was	A	PIAT	_|Nom|Sg	11	det	371	371
11	Besonderes	Besonderes	N	NN	_|Nom|Sg	12	subj	371	371
12	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	4	objc	_	_
13	:	\:	$	$.	_	0	root	_	_
14	sieh	sehen	V	VVIMP	Sg	0	root	_	_
15	!	!	$	$.	_	0	root	_	_

1	sieh	sehen	V	VVIMP	Sg	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	371	371
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	4	det	_	_
4	Freimaurer	Freimaurer	N	NN	Masc|Nom|Sg	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	6	cj	_	_
8	dir	du	P	PPER	2|Sg|_|Dat	15	objd	372	372
9	nur	nur	A	ADV	_	15	adv	_	_
10	das	die	A	ART	Def|Neut|Nom|Sg	11	det	_	_
11	Zeichen	Zeichen	N	NN	Neut|Nom|Sg	7	subj	_	_
12	in	in	P	APPR	Acc	15	pp	_	_
13	die	die	A	ART	Def|Fem|Acc|Sg	14	det	293	293
14	Hand	Hand	N	NN	Fem|Acc|Sg	12	pn	293	293
15	schreiben	schreiben	V	VVINF	_	16	aux	_	_
16	wollen	wollen	V	VMINF	_	7	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	um	um	K	KOUI	_	20	konj	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	sehn	sehn	V	VAINF	_	7	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	ob	ob	K	KOUS	_	28	konj	_	_
23	du	du	P	PPER	2|Sg|_|Nom	28	subj	372	372
24	auch	auch	A	ADV	_	28	adv	_	_
25	von	von	P	APPR	_	28	pp	_	_
26	der	die	A	ART	Def|Fem|_|Sg	27	det	_	_
27	Brüderschaft	Brüderschaft	N	NN	Fem|_|Sg	25	pn	_	_
28	bist	sein	V	VAFIN	2|Sg|Pres|Ind	20	objc	_	_
29	.	.	$	$.	_	0	root	_	_

1	Hanswurst	Hanswurst	N	NN	_|_|Sg	0	root	350	350
2	:	\:	$	$.	_	0	root	_	_
3	Man	man	P	PIS	_|Nom|Sg	4	subj	_	_
4	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	8	obja	_	_
6	vor	vor	P	APPR	_	8	pp	_	_
7	Euch	ihr	P	PPER	2|Pl|_|_	6	pn	373	373
8	hüten	hüten	V	VVINF	_	4	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Warum	Warum	P	PWAV	_	4	adv	_	_
4	kneift	kneifen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
5	Ihr	ihr	P	PPER	2|Pl|_|Nom	4	subj	373	373
6	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	683	683
7	so	so	A	ADV	_	4	adv	_	_
8	?	?	$	$.	_	0	root	_	_

1	Hole	holen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	683	683
3	Henker	Henker	N	NN	Masc|Nom|Sg	1	subj	683	683
4	Euer	eure	A	PPOSAT	Neut|_|Sg	6	det	_	_
5	biederes	bieder	A	ADJA	Pos|Neut|_|Sg|St|	6	attr	_	_
6	Wesen	Wesen	N	NN	Neut|_|Sg	1	obja	_	_
7	.	.	$	$.	_	0	root	_	_

