1	Als	Als	K	KOKOM	_	6	kom	_	_
17	untreu	untreu	A	ADJD	Pos|	15	adv	_	_
18	,	,	$	$,	_	0	root	_	_
19	alles	alle	P	PIS	Neut|Nom|Sg	20	subj	_	_
20	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	15	kon	_	_
21	mir	ich	P	PPER	1|Sg|_|Dat	20	objd	12	12
22	bei	bei	P	PTKVZ	_	20	avz	_	_
23	,	,	$	$,	_	0	root	_	_
24	was	was	P	PRELS	Neut|_|Sg	34	obja	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	35	subj	12	12
26	je	je	A	ADV	_	27	adv	_	_
27	in	in	P	APPR	Dat	34	pp	_	_
28	Büchern	Buch	N	NN	_|Dat|Pl	27	pn	30	30
29	von	von	P	APPR	Dat	28	pp	30	30
30	dem	die	A	ART	Def|Masc|Dat|Sg	31	det	30	30
31	Leichtsinn	Leichtsinn	N	NN	Masc|Dat|Sg	29	pn	30	30
32	der	die	A	ART	Def|Neut|Gen|Pl	33	det	30	30
33	Mädchen	Mädchen	N	NN	Neut|Gen|Pl	31	gmod	30	30
34	gelesen	lesen	V	VVPP	_	35	aux	_	_
35	hatte	haben	V	VAFIN	1|Sg|Past|Ind	19	rel	_	_
36	.	.	$	$.	_	0	root	_	_

1	Keine	keine	A	PIAT	Fem|_|Sg	2	det	46	46
2	Nacht	Nacht	N	NN	Fem|_|Sg	3	obja	46	46
3	konnt	konnt	V	VVFIN	1|Sg|_|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	12	12
5	schlafen	schlafen	V	VVINF	_	0	root	_	_
6	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	11	11
3	glaubst	glauben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PWS	Neut|_|Sg	8	obja	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	12	12
8	gelitten	leiden	V	VVPP	_	9	aux	_	_
9	habe	haben	V	VAFIN	1|Sg|Pres|_	3	objc	_	_
10	.	.	$	$.	_	0	root	_	_

1	Louise	Louise	N	NE	Fem|_|Sg	0	root	15	15
2	:	\:	$	$.	_	0	root	_	_
3	Unaussprechlich	Unaussprechlich	F	FM	_	0	root	_	_
4	Teurer	Teurer	F	FM	_	3	app	_	_
5	!	!	$	$.	_	0	root	_	_

1	Fermer	Fermer	N	NE	_	0	root	6	6
2	:	\:	$	$.	_	0	root	_	_
3	Wie	Wie	P	PWAV	_	5	adv	_	_
4	wohl	wohl	A	ADV	_	5	adv	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	16	16
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	11	konj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	16	16
10	dich	du	P	PPER	2|Sg|_|Acc	11	obja	18	18
11	wiederhabe	wiederhaben	V	VVFIN	1|Sg|Pres|_	5	objc	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	21	konj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	16	16
15	mich	ich	P	PRF	1|Sg|Acc	20	obja	_	_
16	wieder	wieder	A	ADV	_	20	adv	_	_
17	an	an	P	APPR	Dat	20	pp	_	_
18	diesen	diese	A	PDAT	Neut|Dat|Pl	19	det	17	17
19	Augen	Auge	N	NN	Neut|Dat|Pl	17	pn	17	17
20	erlaben	erlaben	V	VVINF	_	21	aux	_	_
21	kann	können	V	VMFIN	1|Sg|Pres|Ind	11	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	28	konj	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	16	16
25	deine	deine	A	PPOSAT	Fem|_|Sg	27	det	18	18
26	süße	süß	A	ADJA	Pos|Fem|_|Sg|_|	27	attr	_	_
27	Stimme	Stimme	N	NN	Fem|_|Sg	28	obja	_	_
28	höre	hören	V	VVFIN	1|Sg|Pres|_	21	neb	_	_
29	!	!	$	$.	_	0	root	_	_

1	Alle	alle	A	PIDAT	Fem|Nom|Sg	2	det	_	_
2	Harmonie	Harmonie	N	NN	Fem|Nom|Sg	5	subj	_	_
3	in	in	P	APPR	Dat	2	pp	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	pn	16	16
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	zerrissen	zerreißen	V	VVPP	_	5	aux	_	_
7	und	und	K	KON	_	5	kon	_	_
8	verstummt	verstummen	V	VVFIN	_|_|Pres|Ind	7	cj	_	_
9	,	,	$	$,	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	16	16
11	glaubte	glauben	V	VVFIN	1|Sg|Past|_	8	kon	_	_
12	an	an	P	APPR	Acc	11	objp	_	_
13	keine	keine	A	PIAT	Fem|Acc|Sg	14	det	_	_
14	Unsterblichkeit	Unsterblichkeit	N	NN	Fem|Acc|Sg	12	pn	_	_
15	mehr	mehr	A	ADV	_	14	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	alle	alle	A	PIDAT	Masc|Nom|Pl	19	det	_	_
18	meine	meine	A	PPOSAT	Masc|Nom|Pl	19	det	16	16
19	Nerven	Nerv	N	NN	Masc|Nom|Pl	20	subj	_	_
20	zitterten	zittern	V	VVFIN	3|Pl|Past|_	11	s	_	_
21	.	.	$	$.	_	0	root	_	_

1	Louise	Louise	N	NE	Fem|_|Sg	0	root	15	15
2	:	\:	$	$.	_	0	root	_	_
3	Schrecklich	Schrecklich	N	NE	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	schrecklich	schrecklich	A	ADJD	Pos|	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Fermer	Fermer	N	NE	_	0	root	6	6
2	:	\:	$	$.	_	0	root	_	_
3	Ja	Ja	N	NN	_|_|_	0	root	_	_
4	wohl	wohl	A	ADV	_	5	adv	_	_
5	schrecklich	schrecklich	A	ADJD	Pos|	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	die	die	A	ART	Def|Fem|Nom|Sg	4	det	152	152
3	getrennte	getrennt	A	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	152	152
4	Liebe	Liebe	N	NN	Fem|Nom|Sg	5	subj	152	152
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	7	det	_	_
7	Hölle	Hölle	N	NN	Fem|Nom|Sg	5	pred	_	_
8	auf	auf	P	APPR	_	7	pp	_	_
9	Erden	Erde	N	NN	_|_|_	8	pn	_	_
10	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	4	koord	_	_
3	du	du	P	PPER	2|Sg|_|Nom	4	subj	19	19
4	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	froh	froh	A	ADJD	Pos|	4	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	12	adv	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	20	20
11	dich	du	P	PPER	2|Sg|_|Acc	12	obja	19	19
12	wünschte	wünschen	V	VVFIN	1|Sg|Past|_	4	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	um	um	K	KOUI	_	0	root	_	_
15	mich	ich	P	PRF	1|Sg|Acc	0	root	_	_
16	blühn	blühn	N	NE	_	0	root	_	_
17	alle	alle	A	PIDAT	Fem|Nom|Pl	18	det	_	_
18	Seligkeiten	Seligkeit	N	NN	Fem|Nom|Pl	0	root	_	_
19	des	die	A	ART	Def|Masc|Gen|Sg	20	det	132	132
20	Himmels	Himmel	N	NN	Masc|Gen|Sg	18	gmod	132	132
21	und	und	K	KON	_	18	kon	_	_
22	du	du	P	PPER	2|Sg|_|Nom	21	cj	19	19
23	-	-	$	$(	_	0	root	_	_

1	Louise	Louise	N	NE	Fem|_|Sg	0	root	15	15
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	20	20
4	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
5	mich	ich	P	PRF	1|Sg|Acc	12	obja	_	_
6	von	von	P	APPR	_	12	pp	_	_
7	dieser	diese	A	PDAT	Fem|_|Sg	8	det	_	_
8	Freude	Freude	N	NN	Fem|_|Sg	6	pn	_	_
9	noch	noch	A	ADV	_	11	adv	_	_
10	gar	gar	A	ADV	_	11	adv	_	_
11	nicht	nicht	P	PTKNEG	_	12	adv	_	_
12	erholen	erholen	V	VVINF	_	4	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Aufwärterin	Aufwärterin	N	NN	Fem|Nom|Sg	3	subj	_	_
3	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	herein	herein	P	PTKVZ	_	3	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	um	um	K	KOUI	_	11	konj	_	_
7	Louisen	Louisen	N	NE	_	11	obja	21	21
8	zu	zu	P	APPR	Dat	11	pp	_	_
9	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	10	det	21	21
10	Vater	Vater	N	NN	Masc|Dat|Sg	8	pn	_	_
11	abzurufen	abrufen	V	VVIZU	_	3	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	die	die	A	ART	Def|_|_|_	14	det	_	_
14	Lieben	lieb	A	ADJA	_|_|Pl	15	subj	_	_
15	drückten	drücken	V	VVFIN	3|Pl|Past|_	3	kon	_	_
16	sich	sie	P	PRF	3|_|_	15	obja	_	_
17	noch	noch	A	ADV	_	15	adv	_	_
18	einmal	einmal	A	ADV	_	15	adv	_	_
19	zärtlich	zärtlich	A	ADJD	Pos|	15	adv	_	_
20	an	an	P	APPR	Acc	15	objp	_	_
21	die	die	A	ART	Def|Fem|Acc|Sg	22	det	_	_
22	Brust	Brust	N	NN	Fem|Acc|Sg	20	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	dann	dann	A	ADV	_	25	adv	_	_
25	schieden	scheiden	V	VVFIN	3|Pl|Past|_	15	kon	_	_
26	sie	sie	P	PPER	3|Pl|_|Nom	25	subj	21	21
27	.	.	$	$.	_	0	root	_	_

1	Fermer	Fermer	N	NE	_|Nom|Sg	2	subj	6	6
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|Dat	2	objd	_	_
4	auf	auf	P	APPR	Dat	2	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	1	1
6	Straße	Straß	N	NN	Fem|Dat|Sg	4	pn	1	1
7	wie	wie	K	KOKOM	_	2	kom	_	_
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	_	_
9	großer	groß	A	ADJA	Pos|Masc|Nom|Sg|St|	10	attr	_	_
10	Held	Held	N	NN	Masc|Nom|Sg	7	cj	_	_
11	vor	vor	P	PTKVZ	_	2	avz	_	_
12	;	;	$	$.	_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	6	6
14	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
15	noch	noch	A	ADV	_	14	adv	_	_
16	einen	eine	A	ART	Indef|Masc|Acc|Sg	18	det	59	59
17	kleinen	klein	A	ADJA	Pos|Masc|Acc|Sg|_|	18	attr	59	59
18	Spaziergang	Spaziergang	N	NN	Masc|Acc|Sg	14	obja	59	59
19	,	,	$	$,	_	0	root	_	_
20	redete	reden	V	VVFIN	_|Sg|Past|_	14	kon	_	_
21	einige	einige	A	PIAT	_|_|Pl	22	det	_	_
22	Bekannten	Bekannte	N	NN	_|_|Pl	20	obja	_	_
23	an	an	P	PTKVZ	_	20	avz	_	_
24	,	,	$	$,	_	0	root	_	_
25	tat	tun	V	VVFIN	_|Sg|Past|Ind	20	kon	_	_
26	gegen	gegen	P	APPR	Acc	25	pp	_	_
27	andre	andere	P	PIS	_|Acc|_	26	pn	_	_
28	,	,	$	$,	_	0	root	_	_
29	als	als	K	KOKOM	_	30	konj	_	_
30	hätte	haben	V	VAFIN	3|Sg|Past|Subj	25	neb	_	_
31	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	6	6
32	sie	sie	P	PPER	3|_|_|_	30	obja	21	21
33	nie	nie	A	ADV	_	30	adv	_	_
34	gesehn	gesehn	A	ADJD	_	30	adv	_	_
35	,	,	$	$,	_	0	root	_	_
36	und	und	K	KON	_	30	kon	_	_
37	ging	gehen	V	VVFIN	_|Sg|Past|Ind	36	cj	_	_
38	dann	dann	A	ADV	_	37	adv	_	_
39	nach	nach	P	APPR	Dat	37	pp	_	_
40	Hause	Haus	N	NN	Neut|Dat|Sg	39	pn	32	32
41	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
2	gehörte	gehören	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	zu	zu	P	APPR	Dat	2	objp	_	_
5	den	die	A	ART	Def|_|Dat|Pl	7	det	64	64
6	schönen	schön	A	ADJA	Pos|_|Dat|Pl|_|	7	attr	64	64
7	Leuten	Leute	N	NN	_|Dat|Pl	4	pn	64	64
8	,	,	$	$,	_	0	root	_	_
9	seine	seine	A	PPOSAT	Neut|Nom|Pl	10	det	3	3
10	Augen	Auge	N	NN	Neut|Nom|Pl	11	subj	22	22
11	waren	sein	V	VAFIN	3|Pl|Past|Ind	2	kon	22	22
12	nicht	nicht	P	PTKNEG	_	11	adv	22	22
13	blau	blau	A	ADJD	Pos|	11	pred	22	22
14	und	und	K	KON	_	13	kon	22	22
15	sanft	sanft	A	ADJD	Pos|	14	cj	22	22
16	und	und	K	KON	_	15	kon	22	22
17	klug	klug	A	ADJD	Pos|	16	cj	22	22
18	,	,	$	$,	_	0	root	22	22
19	in	in	P	APPR	Dat	27	pp	22	22
20	denen	die	P	PRELS	Neut|Dat|Pl	19	pn	22	22
21	aber	aber	A	ADV	_	27	adv	_	_
22	doch	doch	A	ADV	_	27	adv	_	_
23	das	die	A	ART	Def|Neut|Nom|Sg	24	det	_	_
24	Feuer	Feuer	N	NN	Neut|Nom|Sg	27	subj	_	_
25	des	die	A	ART	Def|Masc|Gen|Sg	26	det	_	_
26	Mutes	Mut	N	NN	Masc|Gen|Sg	24	gmod	_	_
27	aufleuchtete	aufleuchten	V	VVFIN	3|Sg|Past|_	10	rel	_	_
28	,	,	$	$,	_	0	root	_	_
29	auch	auch	A	ADV	_	31	adv	_	_
30	nicht	nicht	P	PTKNEG	_	31	adv	_	_
31	dunkelbraun	dunkelbraun	A	ADJD	Pos|	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	eine	eine	A	ART	Indef|Fem|_|Sg	34	det	23	23
34	Farbe	Farbe	N	NN	Fem|_|Sg	0	root	23	23
35	,	,	$	$,	_	0	root	23	23
36	die	die	P	PRELS	Fem|Nom|Sg	47	subj	23	23
37	bei	bei	P	APPR	Dat	47	pp	_	_
38	den	die	A	ART	Def|Masc|Dat|Pl	39	det	_	_
39	Liebhabern	Liebhaber	N	NN	Masc|Dat|Pl	37	pn	_	_
40	und	und	K	KON	_	39	kon	_	_
41	Helden	Held	N	NN	Masc|Dat|_	40	cj	_	_
42	von	von	P	APPR	_	41	pp	_	_
43	Geschichten	Geschichte	N	NN	Fem|_|Pl	42	pn	_	_
44	auch	auch	A	ADV	_	47	adv	_	_
45	sehr	sehr	A	ADV	_	46	adv	_	_
46	beliebt	beliebt	A	ADJD	Pos|	47	pred	_	_
47	ist	sein	V	VAFIN	3|Sg|Pres|Ind	34	rel	_	_
48	,	,	$	$,	_	0	root	_	_
49	sondern	sondern	K	KON	_	47	kon	_	_
50	,	,	$	$,	_	0	root	_	_
51	wenn	wenn	K	KOUS	_	56	konj	_	_
52	ich	ich	P	PPER	1|Sg|_|Nom	56	subj	24	24
53	die	die	A	ART	Def|Fem|_|Sg	54	det	_	_
54	Wahrheit	Wahrheit	N	NN	Fem|_|Sg	55	obja	_	_
55	sagen	sagen	V	VVINF	_	56	aux	_	_
56	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	59	neb	_	_
57	,	,	$	$,	_	0	root	_	_
58	so	so	A	ADV	_	59	adv	_	_
59	fielen	fallen	V	VVFIN	3|Pl|Past|_	49	cj	_	_
60	sie	sie	P	PPER	3|Pl|_|Nom	59	subj	21	21
61	mehr	mehr	A	ADV	_	59	adv	_	_
62	ins	in	P	APPRART	Acc	59	objp	_	_
63	Graue	Graue	N	NN	_|Acc|_	62	pn	_	_
64	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	klein	klein	A	ADJD	Pos|	2	pred	_	_
4	von	von	P	APPR	_	2	pp	_	_
5	Person	Person	N	NN	Fem|_|Sg	4	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	sein	seine	A	PPOSAT	Neut|Nom|Sg	8	det	3	3
8	Gesicht	Gesicht	N	NN	Neut|Nom|Sg	9	subj	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	2	kon	_	_
10	gelblich	gelblich	A	ADJD	Pos|	9	pred	_	_
11	und	und	K	KON	_	9	kon	_	_
12	hatte	haben	V	VAFIN	_|Sg|Past|Ind	11	cj	_	_
13	häufige	häufig	A	ADJA	Pos|Fem|_|Pl|St|	14	attr	_	_
14	Pockennarben	Pockennarbe	N	NN	Fem|_|Pl	12	obja	_	_
15	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	braucht	brauchen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	24	24
4	niemand	niemand	P	PIS	_|Nom|Sg	2	subj	_	_
5	zu	zu	P	PTKZU	_	6	part	_	_
6	sagen	sagen	V	VVINF	_	2	obji	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	17	konj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	24	24
10	hier	hier	A	ADV	_	17	adv	_	_
11	gegen	gegen	P	APPR	Acc	17	pp	_	_
12	die	die	A	ART	Def|Fem|Acc|Pl	14	det	_	_
13	ersten	erst	A	ADJA	_|Fem|Acc|Pl|Wk|	14	attr	_	_
14	Regeln	Regel	N	NN	Fem|Acc|Pl	11	pn	_	_
15	eines	eine	A	ART	Indef|Masc|Gen|Sg	16	det	_	_
16	Schriftstellers	Schriftsteller	N	NN	Masc|Gen|Sg	14	gmod	_	_
17	anstoße	anstoßen	V	VVFIN	1|Sg|Pres|_	6	objc	_	_
18	;	;	$	$.	_	0	root	_	_
19	gegen	gegen	P	APPR	Acc	0	root	_	_
20	Regeln	Regel	N	NN	Fem|Acc|Pl	19	pn	25	25
21	,	,	$	$,	_	0	root	25	25
22	die	die	P	PRELS	Fem|Nom|Pl	27	subj	25	25
23	sogar	sogar	A	ADV	_	27	adv	_	_
24	die	die	A	ART	Def|Neut|_|Pl	25	det	_	_
25	Kinder	Kind	N	NN	Neut|_|Pl	27	obja	_	_
26	auswendig	auswendig	A	ADJD	Pos|	27	adv	_	_
27	wissen	wissen	V	VVFIN	3|Pl|Pres|_	20	rel	_	_
28	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Wahrheit	Wahrheit	N	NN	Fem|Nom|Sg	4	subj	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	24	24
6	teurer	teuer	A	ADJD	Comp|	4	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	als	als	K	KOKOM	_	6	par	_	_
9	alles	alle	P	PIS	_|_|Sg	8	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	4	kon	_	_
12	darum	darum	P	PROAV	_	13	pp	_	_
13	habe	haben	V	VAFIN	1|Sg|Pres|_	11	cj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	24	24
15	den	die	A	ART	Def|_|_|_	17	det	_	_
16	jungen	jung	A	ADJA	Pos|_|_|_|_|	17	attr	_	_
17	Geliebten	Geliebte	N	NN	_|_|_	19	obja	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	beschrieben	beschreiben	V	VVPP	_	13	aux	_	_
20	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	26	26
2	Leser	Leser	N	NN	Masc|Nom|Sg	3	subj	26	26
3	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	nur	nur	A	ADV	_	8	adv	_	_
5	die	die	A	ART	Def|_|_|Pl	7	det	_	_
6	gangbaren	gangbar	A	ADJA	Pos|_|_|Pl|Wk|	7	attr	_	_
7	Bücher	Buch	N	NN	_|_|Pl	8	obja	_	_
8	zusammenrechnen	zusammenrechnen	V	VVINF	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	die	die	A	ART	Def|Masc|Nom|Pl	11	det	_	_
11	Helden	Held	N	NN	Masc|Nom|Pl	14	subj	_	_
12	und	und	K	KON	_	11	kon	_	_
13	Heldinnen	Heldin	N	NN	Fem|Nom|Pl	12	cj	_	_
14	summieren	summieren	V	VVFIN	3|Pl|Pres|_	3	kon	_	_
15	,	,	$	$,	_	0	root	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	wird	werden	V	VAFIN	3|Sg|Pres|Ind	14	kon	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	26	26
19	erstaunen	erstaunen	V	VVINF	_	17	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	welche	welche	A	PWAT	Fem|_|Sg	22	det	_	_
22	Menge	Menge	N	NN	Fem|_|Sg	29	obja	_	_
23	von	von	P	APPR	_	22	pp	_	_
24	Schönheitsidealen	Schönheitsideal	N	NN	_|_|_	23	pn	_	_
25	sich	sie	P	PRF	3|_|Dat	29	objd	_	_
26	unter	unter	P	APPR	_	29	pp	_	_
27	uns	wir	P	PPER	1|Pl|_|_	26	pn	_	_
28	Deutschen	Deutsche	N	NN	_|Nom|Pl	29	subj	28	28
29	herumtreiben	herumtreiben	V	VVFIN	3|Pl|Pres|_	19	objc	_	_
30	,	,	$	$,	_	0	root	_	_
31	und	und	K	KON	_	0	root	_	_
32	dann	dann	A	ADV	_	42	adv	_	_
33	die	die	A	ART	Def|Fem|_|Pl	34	det	_	_
34	Klagen	Klage	N	NN	Fem|_|Pl	42	obja	_	_
35	der	die	A	ART	Def|Masc|Gen|Pl	36	det	_	_
36	Bildhauer	Bildhauer	N	NN	Masc|Gen|Pl	34	gmod	_	_
37	und	und	K	KON	_	36	kon	_	_
38	Maler	Maler	N	NN	Masc|Gen|Pl	37	cj	27	27
39	gar	gar	A	ADV	_	40	adv	_	_
40	nicht	nicht	P	PTKNEG	_	41	adv	_	_
41	begreifen	begreifen	V	VVINF	_	42	aux	_	_
42	können	können	V	VMINF	_	31	cj	_	_
43	,	,	$	$,	_	0	root	_	_
44	die	die	P	PRELS	_|Nom|Pl	46	subj	27	27
45	unaufhörlich	unaufhörlich	A	ADJD	Pos|	46	adv	_	_
46	jammern	jammern	V	VVFIN	3|Pl|Pres|_	0	root	_	_
47	,	,	$	$,	_	0	root	_	_
48	daß	daß	K	KOUS	_	56	konj	_	_
49	es	es	P	PPER	3|Sg|Neut|Nom	56	subj	_	_
50	ihnen	sie	P	PPER	3|Pl|_|Dat	56	objd	28	28
51	so	so	A	ADV	_	52	adv	_	_
52	ganz	ganz	A	ADV	_	53	adv	_	_
53	an	an	P	APPR	_	56	objp	_	_
54	schönen	schön	A	ADJA	Pos|_|_|Pl|_|	55	attr	_	_
55	Modellen	Modell	N	NN	_|_|Pl	53	pn	_	_
56	fehle	fehlen	V	VVFIN	3|Sg|Pres|Subj	46	objc	_	_
57	.	.	$	$.	_	0	root	_	_

1	Sooft	Sooft	K	KOUS	_	4	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	24	24
3	gereist	reisen	V	VVPP	_	4	aux	_	_
4	bin	sein	V	VAFIN	1|Sg|Pres|Ind	6	neb	_	_
5	,	,	$	$,	_	0	root	_	_
6	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	24	24
8	mich	ich	P	PRF	1|Sg|Acc	6	obja	_	_
9	in	in	P	APPR	Dat	6	pp	_	_
10	den	die	A	ART	Def|Fem|Dat|Pl	11	det	_	_
11	Städten	Stadt	N	NN	Fem|Dat|Pl	9	pn	_	_
12	und	und	K	KON	_	9	kon	_	_
13	auf	auf	P	APPR	Dat	12	cj	_	_
14	dem	die	A	ART	Def|Neut|Dat|Sg	15	det	86	86
15	Lande	Land	N	NN	Neut|Dat|Sg	13	pn	86	86
16	fleißig	fleißig	A	ADJD	Pos|	6	adv	_	_
17	nach	nach	P	APPR	Dat	6	pp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	20	det	_	_
19	unzähligen	unzählig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	20	attr	_	_
20	Menge	Menge	N	NN	Fem|Dat|Sg	17	pn	_	_
21	von	von	P	APPR	_	20	pp	_	_
22	vortrefflichen	vortrefflich	A	ADJA	Pos|Masc|_|_|_|	23	attr	_	_
23	Liebhabern	Liebhaber	N	NN	Masc|_|_	21	pn	_	_
24	und	und	K	KON	_	23	kon	_	_
25	Liebhaberinnen	Liebhaberin	N	NN	_|_|_	24	cj	29	29
26	umgesehn	umgesehn	N	NE	_|_|_	25	app	29	29
27	,	,	$	$,	_	0	root	_	_
28	die	die	P	PRELS	_|_|_	33	obja	29	29
29	ich	ich	P	PPER	1|Sg|_|Nom	33	subj	24	24
30	in	in	P	APPR	Dat	33	pp	_	_
31	den	die	A	ART	Def|_|Dat|Pl	32	det	30	30
32	Büchern	Buch	N	NN	_|Dat|Pl	30	pn	30	30
33	hatte	haben	V	VAFIN	1|Sg|Past|Ind	26	rel	_	_
34	kennen	kennen	V	VVINF	_	35	aux	_	_
35	lernen	lernen	V	VVINF	_	0	root	_	_
36	;	;	$	$.	_	0	root	_	_
37	aber	aber	K	KON	_	0	root	_	_
38	immer	immer	A	ADV	_	39	adv	_	_
39	wurde	werden	V	VAFIN	1|Sg|Past|Ind	37	cj	_	_
40	ich	ich	P	PPER	1|Sg|_|Nom	39	subj	24	24
41	getäuscht	getäuscht	A	ADJD	Pos|	39	pred	_	_
42	.	.	$	$.	_	0	root	_	_

1	Seit	seit	P	APPR	Dat	4	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	31	31
3	Zeit	Zeit	N	NN	Fem|Dat|Sg	1	pn	31	31
4	mißfallen	mißfallen	V	VVFIN	_|Pl|_|_	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	24	24
6	alle	alle	A	PIDAT	Fem|Nom|Pl	9	det	_	_
