1	Yin-tschi-fu	Yin-tschi-fu	N	NE	Masc|Nom|Pl	10	subj	234	234
11	zum	zu	P	APPRART	Dat	13	objp	_	_
12	Eunuchengeneral	Eunuchengeneral	N	NN	Masc|Dat|Sg	11	pn	_	_
13	ernannt	ernennen	V	VVPP	_	14	aux	_	_
14	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
5	Spaß	Spaß	N	NN	Masc|Nom|Sg	3	pred	_	_
6	!	!	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	_	_
2	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	4	obja	_	_
4	erwägen	erwägen	V	VVINF	_	2	aux	_	_
5	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	im	in	P	APPRART	Dat	1	cj	_	_
3	Ernste	Ernst	N	NN	Masc|Dat|Sg	2	pn	_	_
4	:	\:	$	$.	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	254	254
6	brauche	brauchen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
7	mehr	mehr	A	PIAT	Neut|_|_	8	det	_	_
8	Mädchen	Mädchen	N	NN	Neut|_|_	6	obja	_	_
9	.	.	$	$.	_	0	root	_	_

1	Sucht	Sucht	N	NN	Fem|Nom|Sg	6	subj	_	_
2	,	,	$	$,	_	0	root	_	_
3	meine	meine	A	PPOSAT	_|_|_	4	det	254	254
4	Lieben	lieb	A	ADJA	_|_|Pl	1	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	sucht	suchen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	!	!	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	4	subj	_	_
2	die	die	A	ART	Def|_|_|_	3	det	_	_
3	Schönste	Schönste	N	NN	_|_|_	4	obja	_	_
4	bringt	bringen	V	VVFIN	3|Sg|Pres|Ind	6	subjc	_	_
5	,	,	$	$,	_	0	root	_	_
6	kriegt	kriegen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
7	die	die	A	ART	Def|Fem|_|Sg	9	det	_	_
8	gelbe	gelb	A	ADJA	Pos|Fem|_|Sg|_|	9	attr	_	_
9	Jacke	Jacke	N	NN	Fem|_|Sg	6	obja	_	_
10	!	!	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	2	obja	_	_
2	ließen	lassen	V	VVFIN	_|Pl|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|Dat	10	objd	_	_
4	die	die	A	ART	Def|Masc|_|Pl	7	det	_	_
5	drei	drei	C	CARD	_	7	attr	_	_
6	prinzipienlosen	prinzipienlos	A	ADJA	Pos|Masc|_|Pl|Wk|	7	attr	_	_
7	Herren	Herr	N	NN	Masc|_|Pl	10	obja	_	_
8	nicht	nicht	P	PTKNEG	_	10	adv	_	_
9	zweimal	zweimal	A	ADV	_	10	adv	_	_
10	sagen	sagen	V	VVINF	_	2	obji	_	_
11	und	und	K	KON	_	2	kon	_	_
12	sandten	senden	V	VVFIN	_|Pl|Past|_	11	cj	_	_
13	flugs	flugs	A	ADV	_	12	adv	_	_
14	Agenten	Agent	N	NN	Masc|_|_	12	obja	_	_
15	durch	durch	P	APPR	Acc	12	pp	_	_
16	das	die	A	ART	Def|Neut|Acc|Sg	18	det	1028	1028
17	ganze	ganz	A	ADJA	Pos|Neut|Acc|Sg|Wk|	18	attr	1028	1028
18	Land	Land	N	NN	Neut|Acc|Sg	15	pn	1028	1028
19	,	,	$	$,	_	0	root	_	_
20	schöne	schön	A	ADJA	Pos|Neut|_|_|_|	21	attr	_	_
21	Mädchen	Mädchen	N	NN	Neut|_|_	22	obja	_	_
22	aufzutreiben	auftreiben	V	VVIZU	_	12	obji	_	_
23	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	dauerte	dauern	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	lange	lange	A	ADJD	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	ein	eine	A	ART	Indef|Neut|Nom|Sg	8	det	_	_
8	Mädchenschwärmen	Mädchenschwarm	N	NN	Neut|Nom|Sg	24	subj	_	_
9	hub	hub	F	FM	Neut|Nom|Sg	8	app	_	_
10	an	an	P	APPR	Acc	8	pp	_	_
11	durch	durch	P	APPR	Acc	23	pp	_	_
12	das	die	A	ART	Def|Neut|Acc|Sg	13	det	_	_
13	Reich	Reich	N	NN	Neut|Acc|Sg	11	pn	_	_
14	der	die	A	ART	Def|Fem|Gen|Sg	15	det	_	_
15	Mitte	Mitte	N	NN	Fem|Gen|Sg	13	gmod	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	19	konj	_	_
18	man	man	P	PIS	_|Nom|Sg	19	subj	_	_
19	hätte	haben	V	VAFIN	3|Sg|Past|Subj	15	objc	_	_
20	glauben	glauben	V	VVINF	_	21	aux	_	_
21	mögen	mögen	V	VMINF	_	19	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	es	es	P	PPER	3|Sg|Neut|Acc	10	pn	_	_
24	sei	sein	V	VAFIN	3|Sg|Pres|Subj	6	cj	_	_
25	unter	unter	P	APPR	Dat	31	pp	_	_
26	den	die	A	ART	Def|Fem|Dat|Pl	28	det	276	276
27	jungen	jung	A	ADJA	Pos|Fem|Dat|Pl|_|	28	attr	276	276
28	Dirnen	Dirne	N	NN	Fem|Dat|Pl	25	pn	276	276
29	Chinas	China	N	NE	Neut|Gen|Sg	28	gmod	5	5
30	mobil	mobil	A	ADJD	Pos|	31	pred	_	_
31	gemacht	machen	V	VVPP	_	32	aux	_	_
32	worden	werden	V	VAPP	_	24	aux	_	_
33	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	nur	nur	A	ADV	_	6	adv	_	_
3	ein	eine	A	ART	Indef|_|Nom|Sg	4	det	_	_
4	bischen	bischen	N	NN	_|Nom|Sg	6	subj	_	_
5	hübsch	hübsch	A	ADJD	Pos|	6	pred	_	_
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	6	kon	_	_
9	sich	sie	P	PRF	3|_|_	10	obja	_	_
10	anwerben	anwerben	V	VVINF	_	8	obji	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	8	kon	_	_
13	alle	alle	A	PIDAT	Fem|Nom|Pl	14	det	_	_
14	Landstraßen	Landstraße	N	NN	Fem|Nom|Pl	15	subj	_	_
15	waren	sein	V	VAFIN	3|Pl|Past|Ind	12	cj	_	_
16	voll	voll	A	ADJD	Pos|	15	pred	_	_
17	von	von	P	APPR	_	15	pp	_	_
18	zierlichen	zierlich	A	ADJA	Pos|Fem|_|Pl|_|	19	attr	255	255
19	Jungfrauen	Jungfrau	N	NN	Fem|_|Pl	17	pn	255	255
20	,	,	$	$,	_	0	root	255	255
21	die	die	P	PRELS	Fem|Nom|Pl	31	subj	255	255
22	,	,	$	$,	_	0	root	_	_
23	unter	unter	P	APPR	Dat	31	pp	_	_
24	der	die	A	ART	Def|Fem|Dat|Sg	25	det	_	_
25	Führung	Führung	N	NN	Fem|Dat|Sg	23	pn	_	_
26	von	von	P	APPR	_	25	pp	_	_
27	Ministerialgesandten	Ministerialgesandten	N	NE	_|_|_	26	pn	_	_
28	,	,	$	$,	_	0	root	_	_
29	zur	zu	P	APPRART	Dat	31	objp	_	_
30	Residenz	Residenz	N	NN	Fem|Dat|Sg	29	pn	_	_
31	zogen	ziehen	V	VVFIN	3|Pl|Past|Ind	19	rel	_	_
32	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|_|Sg	5	det	_	_
4	altes	alt	A	ADJA	Pos|Neut|_|Sg|St|	5	attr	_	_
5	Duett	Duett	N	NN	Neut|_|Sg	2	obja	_	_
6	darüber	darüber	P	PROAV	_	2	pp	_	_
7	:	\:	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	261	261
2	reise	reisen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	in	in	P	APPR	Acc	2	pp	_	_
4	die	die	A	ART	Def|Fem|Acc|Sg	6	det	_	_
5	große	groß	A	ADJA	Pos|Fem|Acc|Sg|_|	6	attr	_	_
6	Stadt	Stadt	N	NN	Fem|Acc|Sg	3	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	Wo	Wo	P	PWAV	_	13	adv	_	_
9	sein	seine	A	PPOSAT	Neut|Nom|Sg	10	det	2	2
10	Haus	Haus	N	NN	Neut|Nom|Sg	13	subj	_	_
11	der	die	A	ART	Def|Masc|Gen|Pl	12	det	256	256
12	Kaiser	Kaiser	N	NN	Masc|Gen|Pl	10	gmod	256	256
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	Ei	Ei	N	NN	Neut|_|Sg	4	vok	1181	1181
2	,	,	$	$,	_	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	_	_
6	gar	gar	A	ADV	_	8	adv	_	_
7	feiner	fein	A	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	_	_
8	Ort	Ort	N	NN	Masc|Nom|Sg	4	pred	_	_
9	;	;	$	$.	_	0	root	_	_
10	Fein	Fein	N	NE	Neut|_|_	0	root	_	_
11	Dirnlein	Dirnlein	N	NN	Neut|_|_	10	app	_	_
12	du	du	P	PPER	2|Sg|_|Nom	0	root	257	257
13	,	,	$	$,	_	0	root	_	_
14	was	was	P	PWS	Neut|_|Sg	15	obja	_	_
15	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	12	rel	_	_
16	du	du	P	PPER	2|Sg|_|Nom	15	subj	257	257
17	dort	dort	A	ADV	_	15	adv	_	_
18	?	?	$	$.	_	0	root	_	_

1	Dort	dort	A	ADV	_	2	adv	_	_
2	eß	eß	V	VVFIN	1|Sg|_|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	258	258
4	von	von	P	APPR	Dat	2	pp	_	_
5	Golde	Gold	N	NN	Neut|Dat|Sg	4	pn	549	549
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	0	root	_	_
8	jetzt	jetzt	A	ADV	_	9	adv	_	_
9	von	von	P	APPR	Dat	0	root	_	_
10	Zinn	Zinn	N	NN	Neut|Dat|Sg	9	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	Denn	denn	K	KON	_	0	root	_	_
13	morgen	morgen	A	ADV	_	14	adv	_	_
14	bin	sein	V	VAFIN	1|Sg|Pres|Ind	12	cj	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	258	258
16	Kaiserin	Kaiserin	N	NN	_|Nom|Sg	14	pred	428	428
17	.	.	$	$.	_	0	root	_	_

