1	Zwei	zwei	C	CARD	_	3	attr	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	porträtieren	porträtieren	V	VVINF	_	18	obji	_	_
26	,	,	$	$,	_	0	root	_	_
27	wird	werden	V	VAFIN	3|Sg|Pres|Ind	15	cj	_	_
28	nun	nun	A	ADV	_	32	adv	_	_
29	bloß	bloß	A	ADV	_	32	adv	_	_
30	der	die	A	ART	Def|Masc|Nom|Sg	31	det	59	59
31	Eindruck	Eindruck	N	NN	Masc|Nom|Sg	27	subj	59	59
32	erreicht	erreichen	V	VVPP	_	33	aux	_	_
33	sein	sein	V	VAINF	_	27	aux	_	_
34	,	,	$	$,	_	0	root	_	_
35	als	als	K	KOKOM	_	36	konj	_	_
36	wäre	sein	V	VAFIN	3|Sg|Past|Subj	27	neb	_	_
37	Kaktus	Kaktus	N	NN	Masc|Nom|Sg	36	subj	8	8
38	ein	eine	A	ART	Indef|Neut|Nom|Sg	40	det	_	_
39	ziemliches	ziemliches	A	ADJA	_|Neut|Nom|Sg|_	40	attr	_	_
40	Scheusal	Scheusal	N	NN	Neut|Nom|Sg	41	pred	_	_
41	gewesen	sein	V	VAPP	_	36	aux	_	_
42	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	58	58
3	bitte	bitten	V	VVFIN	1|Sg|Pres|_	1	cj	_	_
4	inständig	inständig	A	ADJD	Pos|	3	adv	_	_
5	:	\:	$	$.	_	0	root	_	_
6	glauben	glauben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	60	60
8	das	die	P	PDS	Neut|_|Sg	0	root	_	_
9	ja	ja	A	ADV	_	8	adv	_	_
10	nicht	nicht	P	PTKNEG	_	8	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	lieblos	lieblos	A	ADJD	Pos|	2	pred	_	_
4	und	und	K	KON	_	2	kon	_	_
5	täte	tun	V	VVFIN	_|Sg|Past|Subj	4	cj	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	58	58
7	leid	leid	A	ADJD	Pos|	5	pred	_	_
8	.	.	$	$.	_	0	root	_	_

1	Übrigens	übrigens	A	ADV	_	2	adv	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	Kaktus	Kaktus	N	NN	Masc|Nom|Sg	2	subj	8	8
4	ja	ja	A	ADV	_	8	adv	_	_
5	doch	doch	A	ADV	_	8	adv	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
7	Frau	Frau	N	NN	Fem|_|Sg	8	obja	_	_
8	gekriegt	kriegen	V	VVPP	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	13	adv	_	_
11	Sie	sie	P	PPER	3|Pl|_|Nom	14	subj	60	60
12	bald	bald	A	ADV	_	13	adv	_	_
13	sehen	sehen	V	VVINF	_	14	aux	_	_
14	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	14	kon	_	_
17	das	die	P	PDS	Neut|Nom|Sg	18	subj	_	_
18	ist	sein	V	VAFIN	3|Sg|Pres|Ind	16	cj	_	_
19	schließlich	schließlich	A	ADV	_	18	adv	_	_
20	die	die	A	ART	Def|Fem|Nom|Sg	21	det	175	175
21	Hauptsache	Hauptsache	N	NN	Fem|Nom|Sg	18	pred	175	175
22	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|_|_|Sg	3	det	_	_
2	paar	paar	A	PIDAT	Neut|_|_	3	attr	_	_
3	Worte	Wort	N	NN	Neut|_|_	14	obja	_	_
4	über	über	P	APPR	Acc	3	pp	_	_
5	seine	seine	A	PPOSAT	Fem|Acc|Sg	6	det	4	4
6	Kleidung	Kleidung	N	NN	Fem|Acc|Sg	4	pn	_	_
7	von	von	P	APPR	_	6	pp	_	_
8	damals	damals	A	ADV	_	7	adv	_	_
9	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	4	4
11	aber	aber	A	ADV	_	14	adv	_	_
12	doch	doch	A	ADV	_	14	adv	_	_
13	noch	noch	A	ADV	_	14	adv	_	_
14	sagen	sagen	V	VVINF	_	9	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
4	von	von	P	APPR	_	0	root	_	_
5	Bedeutung	Bedeutung	N	NN	Fem|_|Sg	4	pn	61	61
6	.	.	$	$.	_	0	root	_	_

1	Kaktus	Kaktus	N	NN	Masc|Nom|Sg	2	subj	8	8
2	trug	tragen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	nämlich	nämlich	A	ADV	_	2	adv	_	_
4	wirklich	wirklich	A	ADJD	Pos|	2	adv	_	_
5	noch	noch	A	ADV	_	2	adv	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	11	det	_	_
7	braune	braun	A	ADJA	Pos|Fem|_|Sg|_|	11	attr	_	_
8	,	,	$	$,	_	0	root	_	_
9	schwarz	schwarz	A	ADJD	Pos|	10	adv	_	_
10	eingesäumte	eingesäumte	A	ADJA	_|Fem|_|Sg|_|_	7	kon	_	_
11	Samtjacke	Samtjacke	N	NN	Fem|_|Sg	2	obja	_	_
12	,	,	$	$,	_	0	root	_	_
13	weite	weiten	V	VVFIN	_|Sg|Pres|_	2	kon	_	_
14	graue	grau	A	ADJA	Pos|Fem|Acc|Pl|St|	16	attr	62	62
15	gestreifte	gestreift	A	ADJA	Pos|Fem|Acc|Pl|St|	16	attr	62	62
16	Hosen	Hose	N	NN	Fem|Acc|Pl	13	obja	62	62
17	,	,	$	$,	_	0	root	62	62
18	einen	eine	A	ART	Indef|Masc|Acc|Sg	20	det	62	62
19	blauen	blau	A	ADJA	Pos|Masc|Acc|Sg|_|	20	attr	62	62
20	Flatterschlips	Flatterschlips	N	NN	Masc|Acc|Sg	16	kon	62	62
21	und	und	K	KON	_	20	kon	_	_
22	einen	eine	A	ART	Indef|Masc|Acc|Sg	23	det	_	_
23	Kalabreser	Kalabreser	N	NN	Masc|Acc|Sg	21	cj	_	_
24	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	0	root	_	_
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	glauben	glauben	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	denn	denn	K	KON	_	2	kon	_	_
8	diese	diese	A	PDAT	Fem|Nom|Sg	9	det	_	_
9	Maleruniform	Maleruniform	N	NN	Fem|Nom|Sg	10	subj	_	_
10	scheint	scheinen	V	VVFIN	3|Sg|Pres|Ind	7	cj	_	_
11	uns	wir	P	PPER	1|Pl|_|Dat	10	objd	_	_
12	bereits	bereits	A	ADV	_	10	adv	_	_
13	der	die	A	ART	Def|Fem|Dat|Sg	15	det	_	_
14	grauen	grau	A	ADJA	Pos|Fem|Dat|Sg|Wk|	15	attr	_	_
15	Vorzeit	Vorzeit	N	NN	Fem|Dat|Sg	16	objd	_	_
16	anzugehören	angehören	V	VVIZU	_	10	obji	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	10	kon	_	_
19	die	die	A	ART	Def|Masc|Nom|Pl	20	det	_	_
20	Direktoren	Direktor	N	NN	Masc|Nom|Pl	23	subj	_	_
21	von	von	P	APPR	_	20	pp	_	_
22	Kostümmuseen	Kostümmuseum	N	NN	Neut|_|Pl	21	pn	_	_
23	müssen	müssen	V	VMFIN	3|Pl|Pres|_	18	cj	_	_
24	sich	sie	P	PRF	3|_|Dat	26	objd	_	_
25	schon	schon	A	ADV	_	26	adv	_	_
26	dazuhalten	dazuhalten	V	VVINF	_	23	aux	_	_
27	,	,	$	$,	_	0	root	_	_
28	wollen	wollen	V	VMFIN	3|Pl|Pres|_	26	s	_	_
29	sie	sie	P	PPER	3|Pl|_|Nom	28	subj	62	62
30	noch	noch	A	ADV	_	36	adv	_	_
31	eine	eine	A	ART	Indef|Fem|_|Sg	32	det	_	_
32	echte	echt	A	ADJA	Fem|_|Sg	36	obja	_	_
33	für	für	P	APPR	Acc	36	pp	_	_
34	ihre	ihre	A	PPOSAT	Masc|Acc|Pl	35	det	62	62
35	Schränke	Schrank	N	NN	Masc|Acc|Pl	33	pn	_	_
36	auftreiben	auftreiben	V	VVINF	_	28	aux	_	_
37	,	,	$	$,	_	0	root	_	_
38	aber	aber	K	KON	_	28	kon	_	_
39	es	es	P	PPER	3|Sg|Neut|Nom	40	subj	_	_
40	ist	sein	V	VAFIN	3|Sg|Pres|Ind	38	cj	_	_
41	eine	eine	A	ART	Indef|Fem|Nom|Sg	43	det	_	_
42	absolute	absolut	A	ADJA	Pos|Fem|Nom|Sg|_|	43	attr	_	_
43	Tatsache	Tatsache	N	NN	Fem|Nom|Sg	40	pred	_	_
44	,	,	$	$,	_	0	root	_	_
45	daß	daß	K	KOUS	_	0	root	_	_
46	Kaktus	Kaktus	N	NN	Masc|_|Sg	0	root	_	_
47	noch	noch	A	ADV	_	48	adv	_	_
48	in	in	P	APPR	Dat	46	pp	_	_
49	diesem	diese	A	PDAT	Masc|Dat|Sg	50	det	_	_
50	Aufzuge	Aufzug	N	NN	Masc|Dat|Sg	48	pn	_	_
51	im	in	P	APPRART	Dat	50	pp	_	_
52	Affenkasten	Affenkasten	N	NN	Masc|Dat|Sg	51	pn	_	_
53	des	die	A	ART	Def|Masc|Gen|Sg	54	det	_	_
54	Augustiners	Augustiner	N	NN	Masc|Gen|Sg	52	gmod	_	_
55	(	(	$	$(	_	0	root	_	_
56	ach	ach	I	ITJ	_	0	root	_	_
57	,	,	$	$,	_	0	root	_	_
58	auch	auch	A	ADV	_	59	adv	_	_
59	der	die	P	PDS	Masc|Nom|Sg	60	subj	_	_
60	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
61	dahin	dahin	A	ADV	_	60	adv	_	_
62	!	!	$	$.	_	0	root	_	_

1	)	)	$	$(	_	0	root	_	_
2	gesessen	sitzen	V	VVPP	_	3	aux	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	3	det	63	63
3	Anzug	Anzug	N	NN	Masc|Dat|Sg	1	pn	63	63
4	geschah	geschehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	denn	denn	A	ADV	_	4	adv	_	_
7	auch	auch	A	ADV	_	4	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	0	root	_	_
10	Kaktus	Kaktus	N	NN	Masc|_|Sg	0	root	8	8
11	sein	seine	A	PPOSAT	Neut|Nom|Sg	13	det	63	63
12	zorniges	zornig	A	ADJA	Pos|Neut|Nom|Sg|St|	13	attr	_	_
13	Diktum	Diktum	N	NN	Neut|Nom|Sg	23	subj	_	_
14	vom	von	P	APPRART	Dat	13	pp	_	_
15	Spinat	Spinat	N	NN	Masc|Dat|Sg	14	pn	_	_
16	mit	mit	P	APPR	Dat	23	pp	_	_
17	Setzei	Setzei	N	NE	_|Dat|_	16	pn	64	64
18	den	die	A	ART	Def|Masc|_|_	20	det	_	_
19	malerischen	malerisch	A	ADJA	Pos|Masc|_|_|_|	20	attr	_	_
20	Kollegen	Kollege	N	NN	Masc|_|_	23	obja	_	_
21	ins	in	P	APPRART	Acc	23	objp	_	_
22	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	21	pn	_	_
23	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	23	kon	_	_
26	es	es	P	PPER	3|Sg|Neut|Nom	27	subj	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	25	cj	_	_
28	gar	gar	A	ADV	_	29	adv	_	_
29	keine	keine	A	PIAT	Fem|Nom|Sg	30	det	_	_
30	Frage	Frage	N	NN	Fem|Nom|Sg	27	pred	_	_
31	,	,	$	$,	_	0	root	_	_
32	daß	daß	K	KOUS	_	42	konj	_	_
33	dieser	diese	A	PDAT	Masc|Nom|Sg	34	det	65	65
34	Anzug	Anzug	N	NN	Masc|Nom|Sg	42	subj	65	65
35	und	und	K	KON	_	34	kon	_	_
36	dieses	diese	A	PDAT	Neut|Nom|Sg	37	det	_	_
37	Diktum	Diktum	N	NN	Neut|Nom|Sg	35	cj	_	_
38	in	in	P	APPR	Dat	42	pp	_	_
39	einem	eine	A	ART	Indef|Masc|Dat|Sg	41	det	_	_
40	inneren	inner	A	ADJA	Pos|Masc|Dat|Sg|Wk|	41	attr	_	_
41	Zusammenhange	Zusammenhang	N	NN	Masc|Dat|Sg	38	pn	_	_
42	standen	stehen	V	VVFIN	_|Pl|Past|Ind	27	objc	_	_
43	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	65	65
2	verfocht	verfechten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Sg	6	det	66	66
4	gute	gut	A	ADJA	Pos|Fem|_|Sg|_|	6	attr	66	66
5	alte	alt	A	ADJA	Pos|Fem|_|Sg|_|	6	attr	66	66
6	Tradition	Tradition	N	NN	Fem|_|Sg	2	obja	66	66
7	nicht	nicht	P	PTKNEG	_	9	adv	_	_
8	allein	allein	A	ADV	_	9	adv	_	_
9	mit	mit	P	APPR	Dat	2	pp	_	_
10	Worten	Wort	N	NN	Neut|Dat|Pl	9	pn	60	60
11	und	und	K	KON	_	10	kon	_	_
12	Werken	Werk	N	NN	Neut|Dat|_	11	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	sondern	sondern	K	KON	_	9	kon	_	_
15	auch	auch	A	ADV	_	14	cj	_	_
16	mit	mit	P	APPR	Dat	14	cj	_	_
17	Jacke	Jacke	N	NN	Fem|Dat|Sg	16	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	Hosen	Hose	N	NN	Fem|Dat|Pl	17	kon	_	_
20	,	,	$	$,	_	0	root	_	_
21	Schlips	Schlips	N	NN	Masc|Dat|Sg	19	kon	_	_
22	und	und	K	KON	_	21	kon	_	_
23	Hut	Hut	N	NN	_|Dat|Sg	22	cj	_	_
24	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|Fem|_|Sg	3	det	66	66
3	Tradition	Tradition	N	NN	Fem|_|Sg	0	root	66	66
4	!	!	$	$.	_	0	root	_	_

1	Donnerwetter	Donnerwetter	N	NN	_|_|_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Sg	4	det	_	_
4	Tradition	Tradition	N	NN	Fem|_|Sg	1	app	_	_
5	!	!	$	$.	_	0	root	_	_

1	Himmelherrgott	Himmelherrgott	N	NN	Masc|_|Sg	0	root	_	_
2	Kruzitürken	Kruzitürken	N	NE	Fem|_|Sg	1	app	_	_
3	,	,	$	$,	_	0	root	_	_
4	die	die	A	ART	Def|Fem|_|Sg	5	det	_	_
5	Tradition	Tradition	N	NN	Fem|_|Sg	2	app	_	_
6	!	!	$	$.	_	0	root	_	_

1	München	München	N	NE	Neut|_|Sg	0	root	67	67
2	!	!	$	$.	_	0	root	_	_

1	König	König	N	NN	Masc|_|Sg	0	root	_	_
2	Ludwig	Ludwig	N	NE	_|_|Sg	1	app	_	_
3	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	_	_
2	alte	alt	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Pinakothek	Pinakothek	N	NN	Fem|_|Sg	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	68	68
2	deutsche	deutsch	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	68	68
3	Kunst	Kunst	N	NN	Fem|_|Sg	0	root	68	68
4	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|_|Pl	3	det	_	_
2	alten	alt	A	ADJA	Pos|Masc|_|Pl|Wk|	3	attr	_	_
3	Meister	Meister	N	NN	Masc|_|Pl	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	_	_
2	Ideal	Ideal	N	NN	Neut|_|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Idealismus	Idealismus	N	NN	Masc|Nom|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Herrgottsakra	Herrgottsakra	N	NE	_	2	obja	_	_
2	-sind	-sind	V	VVFIN	_|Pl|_|_	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	die	die	A	ART	Def|_|Nom|Pl	5	det	69	69
5	Leute	Leute	N	NN	_|Nom|Pl	2	subj	69	69
6	verrückt	verrückt	A	ADJD	Pos|	2	adv	_	_
7	geworden	werden	V	VAPP	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	15	konj	_	_
10	sie	sie	P	PPER	3|Pl|_|Nom	15	subj	69	69
11	auf	auf	P	APPR	_	14	pp	_	_
12	einmal	einmal	A	ADV	_	13	adv	70	70
13	Bilder	Bild	N	NN	_|_|_	11	pn	70	70
14	malen	malen	V	VVINF	_	15	aux	70	70
15	wollen	wollen	V	VMFIN	3|Pl|Pres|_	0	root	70	70
16	,	,	$	$,	_	0	root	70	70
17	die	die	P	PRELS	_|_|Pl	27	obja	70	70
18	man	man	P	PIS	_|Nom|Sg	28	subj	_	_
19	sich	sie	P	PRF	3|_|Dat	27	objd	_	_
20	bloß	bloß	A	ADV	_	27	adv	_	_
21	durch	durch	P	APPR	Acc	27	pp	_	_
22	eine	eine	A	ART	Indef|Fem|Acc|Sg	23	det	_	_
23	Schneebrille	Schneebrille	N	NN	Fem|Acc|Sg	21	pn	_	_
24	mit	mit	P	APPR	Dat	27	pp	_	_
25	schwarzen	schwarz	A	ADJA	Pos|Neut|Dat|Pl|_|	26	attr	93	93
26	Gläsern	Glas	N	NN	Neut|Dat|Pl	24	pn	93	93
27	anschauen	anschauen	V	VVINF	_	28	aux	_	_
28	kann	können	V	VMFIN	3|Sg|Pres|Ind	13	rel	_	_
29	!	!	$	$.	_	0	root	_	_
30	?	?	$	$.	_	0	root	_	_

1	Dem	die	A	ART	Def|Masc|Dat|Sg	2	det	_	_
2	Himmel	Himmel	N	NN	Masc|Dat|Sg	3	objd	_	_
3	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
4	Dank	Dank	N	NN	Masc|Nom|Sg	3	subj	_	_
5	:	\:	$	$.	_	0	root	_	_
6	Kaktus	Kaktus	N	NN	Masc|Nom|Sg	7	subj	8	8
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	seinen	seine	A	PPOSAT	Masc|_|Sg	9	det	8	8
9	Standpunkt	Standpunkt	N	NN	Masc|_|Sg	7	obja	_	_
10	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	4	4
2	wütete	wüten	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	und	und	K	KON	_	0	root	_	_
4	schwur	schwur	A	ADJD	_	5	adv	_	_
5	zornige	zornig	A	ADJA	Pos|Masc|_|Pl|St|	6	attr	_	_
6	Schwüre	Schwur	N	NN	Masc|_|Pl	3	cj	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	17	konj	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	4	4
10	nicht	nicht	P	PTKNEG	_	16	adv	_	_
11	zu	zu	P	APPR	Dat	16	objp	_	_
12	den	die	A	ART	Def|Masc|Dat|Pl	13	det	_	_
13	Affen	Affe	N	NN	Masc|Dat|Pl	11	pn	_	_
14	der	die	A	ART	Def|_|Gen|Pl	15	det	_	_
15	Franzosen	Franzose	N	NN	_|Gen|Pl	13	gmod	_	_
16	gehören	gehören	V	VVINF	_	17	aux	_	_
17	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	6	objc	_	_
18	,	,	$	$,	_	0	root	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	0	root	4	4
20	nicht	nicht	P	PTKNEG	_	19	adv	_	_
21	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	4	4
2	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	4	det	_	_
4	Banner	Banner	N	NN	Neut|_|Sg	9	obja	_	_
5	der	die	A	ART	Def|Fem|Gen|Sg	8	det	_	_
6	guten	gut	A	ADJA	Pos|Fem|Gen|Sg|Wk|	8	attr	_	_
7	alten	alt	A	ADJA	Pos|Fem|Gen|Sg|Wk|	8	attr	_	_
8	Kunst	Kunst	N	NN	Fem|Gen|Sg	4	gmod	_	_
9	hochhalten	hochhalten	V	VVINF	_	2	aux	_	_
10	trotz	trotz	P	APPR	Gen	9	pp	_	_
11	aller	alle	A	PIDAT	Masc|Gen|Pl	12	det	_	_
12	Naturalisten	Naturalist	N	NN	Masc|Gen|Pl	10	pn	_	_
13	des	die	A	ART	Def|Masc|Gen|Sg	14	det	_	_
14	Erdballs	Erdball	N	NN	Masc|Gen|Sg	12	gmod	_	_
15	.	.	$	$.	_	0	root	_	_

