1	Yen	Yen	N	NN	Masc|_|_	0	root	60	60
8	schätze	schätzen	V	VVFIN	_|Sg|Pres|_	7	cj	_	_
9	mich	ich	P	PRF	1|Sg|Acc	8	obja	_	_
10	glücklich	glücklich	A	ADJD	Pos|	8	pred	_	_
11	,	,	$	$,	_	0	root	_	_
12	folgendes	folgend	A	ADJA	Pos|Neut|_|Sg|St|_	10	kon	_	_
13	an	an	P	APPR	_	8	pp	_	_
14	Ew	Ew	N	NE	_|_|_	13	pn	52	52
15	.	.	$	$.	_	0	root	_	_

1	Majestät	Majestät	N	NN	Masc|_|_	3	obja	_	_
2	Throne	Thron	N	NN	Masc|_|_	1	app	_	_
3	niederlegen	niederlegen	V	VVINF	_	5	aux	_	_
4	zu	zu	P	PTKZU	_	5	part	_	_
5	können	können	V	VMINF	_	0	root	_	_
6	:	\:	$	$.	_	0	root	_	_
7	Yen	Yen	N	NN	Masc|Nom|Sg	8	subj	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	939	939
10	Name	Name	N	NN	Masc|Nom|Sg	8	pred	939	939
11	einer	eine	A	ART	Indef|Fem|Gen|Sg	12	det	939	939
12	Maulbeerbaumart	Maulbeerbaumart	N	NN	Fem|Gen|Sg	10	gmod	939	939
13	,	,	$	$,	_	0	root	939	939
14	aus	aus	P	APPR	Dat	19	pp	939	939
15	deren	die	A	PRELAT	Neut|Dat|Sg	16	det	939	939
16	Holze	Holz	N	NN	Neut|Dat|Sg	14	pn	939	939
17	man	man	P	PIS	_|Nom|Sg	19	subj	939	939
18	Bogen	Bogen	N	NN	Masc|_|_	19	obja	46	46
19	schnitzt	schnitzen	V	VVFIN	3|Sg|Pres|Ind	12	rel	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	19	kon	_	_
22	Tschi	Tschi	N	NE	_|Nom|Sg	23	subj	43	43
23	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	21	cj	_	_
24	ein	eine	A	ART	Indef|_|Nom|Sg	25	det	45	45
25	Kraut	Kraut	N	NN	_|Nom|Sg	23	pred	45	45
26	,	,	$	$,	_	0	root	45	45
27	aus	aus	P	APPR	Dat	31	objp	45	45
28	dem	die	P	PRELS	_|Dat|Sg	27	pn	45	45
29	man	man	P	PIS	_|Nom|Sg	31	subj	_	_
30	Pfeilbeutel	Pfeilbeutel	N	NN	Masc|_|_	31	obja	_	_
31	macht	machen	V	VVFIN	3|Sg|Pres|Ind	25	rel	_	_
32	.	.	$	$.	_	0	root	_	_

