1	Rom	Rom	N	NE	Neut|Nom|Sg	2	subj	128	128
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	5	det	_	_
4	edle	edel	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	_	_
5	Versunkenheit	Versunkenheit	N	NN	Fem|Nom|Sg	2	pred	_	_
6	...	...	$	$.	_	0	root	_	_

1	Dieses	diese	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	5	det	_	_
4	trauernde	trauernd	A	ADJA	Pos|_|_|_|_|<PPRES	5	attr	_	_
5	Ehemals	Ehemal	N	NN	Neut|Nom|Sg	2	pred	_	_
6	...	...	$	$.	_	0	root	_	_
7	Ich	ich	P	PPER	1|Sg|_|Nom	8	subj	214	214
8	nenne	nennen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
9	sie	sie	P	PPER	3|_|_|Nom	8	pred	144	144
10	Mamalawa	Mamalawa	N	NE	_	8	obja	156	156
11	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	M	M	N	NN	Neut|Nom|Sg	11	subj	_	_
3	und	und	K	KON	_	2	kon	_	_
4	W	W	N	NN	Neut|Nom|_	3	cj	145	145
5	und	und	K	KON	_	4	kon	_	_
6	L	L	N	NN	Neut|Nom|_	5	cj	153	153
7	und	und	K	KON	_	6	kon	_	_
8	sehr	sehr	A	ADV	_	9	adv	146	146
9	viel	viel	A	PIDAT	_|Nom|_	10	det	146	146
10	A	A	N	NN	_|Nom|_	7	cj	146	146
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
12	in	in	P	APPR	Dat	11	pp	_	_
13	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	16	det	146	146
14	höchst	höchst	A	ADV	_	15	adv	_	_
15	heiligen	heilig	A	ADJA	Pos|Neut|Dat|Sg|Wk|	16	attr	_	_
16	Wesen	Wesen	N	NN	Neut|Dat|Sg	12	pn	_	_
17	.	.	$	$.	_	0	root	_	_

1	Selbst	selbst	A	ADV	_	3	adv	_	_
2	die	die	A	ART	Def|Masc|Nom|Pl	3	det	_	_
3	Kellner	Kellner	N	NN	Masc|Nom|Pl	4	subj	_	_
4	stehen	stehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	unter	unter	P	APPR	Dat	4	objp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	_	_
7	Banne	Bann	N	NN	Masc|Dat|Sg	5	pn	_	_
8	dieser	diese	A	PDAT	_|Gen|_	10	det	147	147
9	sehr	sehr	A	ADV	_	10	adv	147	147
10	Außerordentlichen	Außerordentliche	N	NN	_|Gen|_	7	gmod	147	147
11	.	.	$	$.	_	0	root	_	_

1	Tiefer	tief	A	ADJD	Comp|	2	adv	_	_
2	beugen	beugen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	147	147
4	ihr	ihr	P	PPER	3|Sg|Fem|Dat	2	objd	146	146
5	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
6	gescheitelte	gescheitelte	A	ADJA	_|Neut|_|Sg|_	7	attr	_	_
7	Haupt	Haupt	N	NN	Neut|_|Sg	2	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	weiter	weiter	A	ADV	_	10	adv	_	_
10	öffnen	öffnen	V	VVFIN	3|Pl|Pres|_	2	kon	_	_
11	sie	sie	P	PPER	3|Pl|_|Nom	10	subj	147	147
12	ihr	ihr	P	PPER	3|Sg|Fem|Dat	10	objd	146	146
13	das	die	A	ART	Def|Neut|_|Sg	15	det	_	_
14	geräuschlose	geräuschlos	A	ADJA	Pos|Neut|_|Sg|Wk|	15	attr	_	_
15	Flügelpaar	Flügelpaar	N	NN	Neut|_|Sg	10	obja	_	_
16	der	die	A	ART	Def|Fem|Gen|Sg	18	det	148	148
17	gebenedeiten	gebenedeit	A	ADJA	Pos|Fem|Gen|Sg|Wk|	18	attr	148	148
18	Türe	Türe	N	NN	Fem|Gen|Sg	15	gmod	148	148
19	,	,	$	$,	_	0	root	148	148
20	durch	durch	P	APPR	Acc	23	pp	148	148
21	die	die	P	PRELS	Fem|Acc|Sg	20	pn	148	148
22	sie	sie	P	PPER	3|Sg|Fem|Nom	23	subj	146	146
23	schreitet	schreiten	V	VVFIN	3|Sg|Pres|Ind	18	rel	_	_
24	.	.	$	$.	_	0	root	_	_

1	Marchesa	Marchesa	N	NE	_|Nom|Pl	2	subj	149	149
2	nennen	nennen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|Nom	2	pred	146	146
4	sie	sie	P	PPER	3|_|_|_	2	obja	148	148
5	und	und	K	KON	_	2	kon	_	_
6	reichen	reichen	V	VVFIN	3|Pl|Pres|_	5	cj	_	_
7	die	die	A	ART	Def|Fem|_|Pl	8	det	_	_
8	Schüsseln	Schüssel	N	NN	Fem|_|Pl	6	obja	_	_
9	nur	nur	A	ADV	_	6	adv	_	_
10	mit	mit	P	APPR	Dat	6	pp	_	_
11	Ehrfurcht	Ehrfurcht	N	NN	Fem|Dat|Sg	10	pn	_	_
12	ihrer	ihre	A	PPOSAT	Fem|_|Sg	15	det	149	149
13	unendlich	unendlich	A	ADJD	Pos|	14	adv	_	_
14	weißen	weiß	A	ADJA	Pos|Fem|_|Sg|Wk|	15	attr	_	_
15	Hand	Hand	N	NN	Fem|_|Sg	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Nie	nie	A	ADV	_	2	adv	_	_
2	fühlte	fühlen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	150	150
4	so	so	A	ADV	_	2	adv	_	_
5	wie	wie	K	KOKOM	_	2	kom	_	_
6	jetzt	jetzt	A	ADV	_	5	cj	_	_
7	die	die	A	ART	Def|_|_|_	8	det	_	_
8	Tiefe	Tiefe	N	NN	_|_|_	2	obja	_	_
9	meiner	meine	A	PPOSAT	Fem|Gen|Sg	10	det	150	150
10	Herkunft	Herkunft	N	NN	Fem|Gen|Sg	8	gmod	_	_
11	.	.	$	$.	_	0	root	_	_

1	Oh	oh	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	daß	daß	K	KOUS	_	8	konj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	150	150
5	nicht	nicht	P	PTKNEG	_	8	adv	_	_
6	einmal	einmal	A	ADV	_	7	adv	_	_
7	Baron	Baron	N	NE	_|Nom|_	8	pred	_	_
8	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
9	!	!	$	$.	_	0	root	_	_

1	Nie	nie	A	ADV	_	2	adv	_	_
2	aber	aber	A	ADV	_	3	adv	_	_
3	auch	auch	A	ADV	_	4	adv	_	_
4	erhob	erheben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	150	150
6	so	so	A	ADV	_	4	adv	_	_
7	wie	wie	K	KOKOM	_	4	kom	_	_
8	jetzt	jetzt	A	ADV	_	7	cj	_	_
9	das	die	A	ART	Def|Neut|Nom|Sg	10	det	_	_
10	Gefühl	Gefühl	N	NN	Neut|Nom|Sg	4	subj	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	21	konj	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	150	150
14	dem	die	A	ART	Def|Masc|Dat|Sg	16	det	_	_
15	einsamen	einsam	A	ADJA	Pos|Masc|Dat|Sg|Wk|	16	attr	_	_
16	Adel	Adel	N	NN	Masc|Dat|Sg	21	objd	_	_
17	der	die	A	ART	Def|_|Gen|_	20	det	151	151
18	sehr	sehr	A	ADV	_	19	adv	151	151
19	einsamen	einsam	A	ADJA	Pos|_|Gen|_|Wk|	20	attr	151	151
20	Dichter	Dichter	N	NN	_|Gen|Pl	16	gmod	151	151
21	angehöre	angehören	V	VVFIN	1|Sg|Pres|_	10	objc	151	151
22	,	,	$	$,	_	0	root	151	151
23	die	die	P	PRELS	_|Nom|Pl	26	subj	151	151
24	die	die	A	ART	Def|Fem|_|Sg	25	det	152	152
25	Seele	Seele	N	NN	Fem|_|Sg	26	obja	152	152
26	singen	singen	V	VVFIN	3|Pl|Pres|_	20	rel	_	_
27	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Mamalawa	Mamalawa	N	NE	_|Nom|Sg	1	app	_	_
4	-	-	$	$(	_	0	root	_	_
5	:	\:	$	$.	_	0	root	_	_
6	Marchesa	Marchesa	N	NE	_	0	root	149	149
7	;	;	$	$.	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	0	root	150	150
9	,	,	$	$,	_	0	root	_	_
10	Emil	Emil	N	NE	_|Nom|Sg	8	app	_	_
11	-	-	$	$(	_	0	root	_	_
12	:	\:	$	$.	_	0	root	_	_
13	Dichter	Dichter	N	NN	_|_|_	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	daß	daß	K	KOUS	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	150	150
5	...	...	$	$.	_	0	root	_	_
6	Emil	Emil	N	NN	_|Nom|Sg	7	subj	214	214
7	heiße	heißen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	5	konj	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
3	noch	noch	A	ADV	_	5	adv	_	_
4	Edgar	Edgar	N	NE	_|Nom|_	5	pred	_	_
5	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
6	...	...	$	$.	_	0	root	_	_
7	oder	oder	K	KON	_	0	root	_	_
8	Aemilius	Aemilius	N	NN	_	7	cj	_	_
9	...	...	$	$.	_	0	root	_	_
10	Ich	ich	P	PPER	1|Sg|_|Nom	11	subj	150	150
11	sinne	sinnen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
12	dem	die	A	ART	Def|Masc|Dat|Sg	13	det	_	_
13	Urnamen	Urname	N	NN	Masc|Dat|Sg	11	objd	_	_
14	meines	meine	A	PPOSAT	Neut|Gen|Sg	15	det	150	150
15	Wesens	Wesen	N	NN	Neut|Gen|Sg	13	gmod	_	_
16	nach	nach	P	PTKVZ	_	11	avz	_	_
17	.	.	$	$.	_	0	root	_	_

1	Viel	viel	A	PIDAT	Neut|Nom|Sg	2	det	170	170
2	O	O	N	NN	Neut|Nom|Sg	9	subj	170	170
3	und	und	K	KON	_	2	kon	_	_
4	W	W	N	NN	Neut|Nom|_	3	cj	145	145
5	und	und	K	KON	_	4	kon	_	_
6	M	M	N	NN	Neut|Nom|_	5	cj	_	_
7	und	und	K	KON	_	6	kon	_	_
8	L	L	N	NN	Neut|Nom|_	7	cj	153	153
9	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
10	darin	darin	P	PROAV	_	11	pp	_	_
11	sein	sein	V	VAINF	_	9	aux	_	_
12	.	.	$	$.	_	0	root	_	_

