1	Hol	holen	V	VVIMP	Sg	0	root	_	_
21	war	sein	V	VAFIN	3|Sg|Past|Ind	15	cj	_	_
22	,	,	$	$,	_	0	root	_	_
23	fand	finden	V	VVFIN	3|Sg|Past|Ind	2	kon	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	0	0
25	nicht	nicht	P	PTKNEG	_	23	adv	_	_
26	einmal	einmal	A	ADV	_	23	adv	_	_
27	gleich	gleich	A	ADJD	Pos|	23	pred	_	_
28	Worte	Wort	N	NN	Neut|_|_	23	obja	61	61
29	zu	zu	P	APPR	Dat	23	objp	_	_
30	einer	eine	A	ART	Indef|Fem|Dat|Sg	33	det	_	_
31	ganz	ganz	A	ADV	_	32	adv	_	_
32	simplen	simpel	A	ADJA	Pos|Fem|Dat|Sg|Wk|	33	attr	_	_
33	Einführung	Einführung	N	NN	Fem|Dat|Sg	29	pn	_	_
34	.	.	$	$.	_	0	root	_	_

1	Verflucht	verfluchen	V	VVPP	_	0	root	_	_
2	noch	noch	A	ADV	_	3	adv	_	_
3	mal	mal	A	ADV	_	0	root	_	_
4	:	\:	$	$.	_	0	root	_	_
5	diese	diese	A	PDAT	Fem|Nom|Sg	7	det	46	46
6	höhere	hoch	A	ADJA	Comp|Fem|Nom|Sg|_|	7	attr	46	46
7	Näherin	Näherin	N	NN	Fem|Nom|Sg	8	subj	46	46
8	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	ja	ja	A	ADV	_	8	adv	_	_
10	aus	aus	P	PTKVZ	_	8	avz	_	_
11	wie	wie	K	KOKOM	_	8	kom	_	_
12	eine	eine	P	PIS	_|_|Sg	11	cj	_	_
13	...	...	$	$.	_	0	root	_	_
14	ja	ja	A	ADV	_	0	root	_	_
15	...	...	$	$.	_	0	root	_	_
16	wie	wie	K	KOKOM	_	0	root	_	_
17	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
18	Gräfin	Gräfin	N	NN	Fem|_|Sg	16	cj	_	_
19	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	war	sein	V	VAFIN	_|Sg|Past|Ind	1	cj	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	wie	wie	K	KOKOM	_	3	kom	_	_
6	ein	eine	A	ART	Indef|Neut|_|Sg	8	det	_	_
7	förmliches	förmlich	A	ADJA	Pos|Neut|_|Sg|St|	8	attr	_	_
8	Boudoir	Boudoir	N	NN	Neut|_|Sg	5	cj	_	_
9	!	!	$	$.	_	0	root	_	_

