1	Nit	Nit	N	NE	_	0	root	504	504
1	Hättest	haben	V	VAFIN	2|Sg|Past|Subj	5	neb	_	_
2	es	es	P	PPER	3|Sg|Neut|_	3	obja	_	_
3	ausgeliehen	ausleihen	V	VVPP	_	1	aux	_	_
4	,	,	$	$,	_	0	root	_	_
5	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
7	dir	du	P	PPER	2|Sg|_|Dat	9	objd	544	544
8	Zins	Zins	N	NN	Masc|_|Sg	9	obja	_	_
9	getragen	tragen	V	VVPP	_	5	aux	_	_
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	50	50
14	Bauer	Bauer	N	NN	Masc|Nom|Sg	12	subj	50	50
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Öppis	Öppis	F	FM	_	0	root	_	_
3	Dumms	Dumms	F	FM	_	2	app	_	_
4	eso	eso	F	FM	_	3	app	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	Barthli	Barthli	N	NE	_|Nom|Sg	7	subj	46	46
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	meinst	meinen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	0	root	_	_
14	man	man	P	PIS	_|Nom|Sg	15	subj	_	_
15	gewußt	gewußt	V	VVPP	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	20	konj	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	537	537
19	Geld	Geld	N	NN	Neut|_|Sg	20	obja	59	59
20	hätte	haben	V	VAFIN	1|Sg|Past|Subj	15	objc	_	_
21	,	,	$	$,	_	0	root	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	23	subj	537	537
23	hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
24	es	es	P	PPER	3|Sg|Neut|_	25	obja	_	_
25	können	können	V	VMINF	_	23	aux	_	_
26	beieinander	beieinander	A	ADV	_	25	adv	_	_
27	behalten	behalten	V	VVINF	_	0	root	_	_
28	!	!	$	$.	_	0	root	_	_

1	Erst	erst	A	ADV	_	2	adv	_	_
2	dann	dann	A	ADV	_	3	adv	_	_
3	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
4	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	_	_
5	recht	recht	A	ADJD	Pos|	9	pred	_	_
6	an	an	P	APPR	Acc	9	pp	_	_
7	die	die	A	ART	Def|Fem|Acc|Sg	8	det	129	129
8	Sache	Sache	N	NN	Fem|Acc|Sg	6	pn	129	129
9	tun	tun	V	VVINF	_	10	aux	_	_
10	wollen	wollen	V	VMINF	_	3	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	3	kon	_	_
13	dBube	dBube	N	NE	_|Nom|Sg	14	subj	_	_
14	wäre	sein	V	VAFIN	3|Sg|Past|Subj	12	cj	_	_
15	dem	die	A	ART	Def|_|Dat|Sg	16	det	38	38
16	Meitschi	Meitschi	N	NN	_|Dat|Sg	19	objd	38	38
17	erst	erst	A	ADV	_	19	adv	_	_
18	recht	recht	A	ADJD	Pos|	19	adv	_	_
19	nachgestrichen	nachstreichen	V	VVPP	_	14	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	hätte	haben	V	VAFIN	_|Sg|Past|Subj	14	kon	_	_
22	mir	ich	P	PPER	1|Sg|_|Dat	21	objd	537	537
23	dsHüsli	dsHüsli	A	ADJD	_	21	adv	_	_
24	voll	voll	A	ADJD	Pos|	21	adv	_	_
25	gschnürfelt	gschnürfelt	A	ADJD	_	21	adv	_	_
26	und	und	K	KON	_	0	root	_	_
27	dsMeitschi	dsMeitschi	F	FM	_	26	cj	_	_
28	hochmütig	hochmütig	F	FM	_	27	app	_	_
29	gmacht	gmacht	F	FM	_	28	app	_	_
30	,	,	$	$,	_	0	root	_	_
31	hätts	hätts	F	FM	_|Nom|Sg	33	subj	_	_
32	nit	nit	F	FM	_|Nom|Sg	31	app	_	_
33	könne	können	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
34	erwehre	erwehre	V	VVINF	_	33	aux	_	_
35	und	und	K	KON	_	0	root	_	_
36	hätt	hätt	F	FM	_	40	obja	_	_
37	nüt	nüt	F	FM	_	36	app	_	_
38	als	als	K	KOKOM	_	37	kom	_	_
39	Kummer	Kummer	N	NN	Masc|_|Sg	38	cj	_	_
40	gehabt	haben	V	VAPP	_	47	obji	_	_
41	,	,	$	$,	_	0	root	_	_
42	ich	ich	P	PPER	1|Sg|_|Nom	43	subj	537	537
43	müßte	müssen	V	VMFIN	1|Sg|Past|Subj	47	s	_	_
44	es	es	P	PPER	3|Sg|Neut|Nom	45	subj	_	_
45	verliere	verlieren	V	VVFIN	3|Sg|Pres|Subj	43	s	_	_
46	,	,	$	$,	_	0	root	_	_
47	bekomme	bekommen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
48	es	es	P	PPER	3|Sg|Neut|Nom	47	subj	_	_
49	nicht	nicht	P	PTKNEG	_	47	adv	_	_
50	wieder	wieder	A	ADV	_	47	adv	_	_
51	.	.	$	$.	_	0	root	_	_

1	Däweg	Däweg	N	NN	Masc|_|Sg	0	root	_	_
2	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	537	537
4	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
5	doch	doch	A	ADV	_	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	konnte	können	V	VMFIN	_|Sg|Past|Ind	2	kon	_	_
8	,	,	$	$,	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	14	konj	_	_
10	niemand	niemand	P	PIS	_|Nom|Sg	14	subj	_	_
11	in	in	P	APPR	Dat	14	pp	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	490	490
13	Nähe	Nähe	N	NN	Fem|Dat|Sg	11	pn	490	490
14	war	sein	V	VAFIN	3|Sg|Past|Ind	7	neb	_	_
15	,	,	$	$,	_	0	root	_	_
16	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
17	gschauen	gschauen	N	NE	_	0	root	545	545
18	und	und	K	KON	_	0	root	_	_
19	hatte	haben	V	VAFIN	3|Sg|Past|Ind	18	cj	_	_
20	große	groß	A	ADJA	Pos|Fem|_|Sg|_|	21	attr	_	_
21	Freude	Freude	N	NN	Fem|_|Sg	19	obja	_	_
22	,	,	$	$,	_	0	root	_	_
23	wenn	wenn	K	KOUS	_	25	konj	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	537	537
25	dachte	denken	V	VVFIN	1|Sg|Past|Ind	19	neb	_	_
26	,	,	$	$,	_	0	root	_	_
27	was	was	P	PRELS	Neut|_|Sg	43	obja	545	545
28	die	die	A	ART	Def|_|_|_	29	det	546	546
29	Manne	Mann	N	NN	_|Nom|Pl	44	subj	546	546
30	,	,	$	$,	_	0	root	_	_
31	wenn	wenn	K	KOUS	_	36	konj	_	_
32	sie	sie	P	PPER	3|Pl|_|Nom	36	subj	546	546
33	nach	nach	P	APPR	Dat	36	pp	_	_
34	meinem	meine	A	PPOSAT	Masc|Dat|Sg	35	det	537	537
35	Tode	Tod	N	NN	Masc|Dat|Sg	33	pn	671	671
36	kämen	kommen	V	VVFIN	3|Pl|Past|Subj	44	neb	_	_
37	,	,	$	$,	_	0	root	_	_
38	das	die	A	ART	Def|Neut|_|Sg	39	det	295	295
39	Hüsli	Hüsli	N	NN	Neut|_|Sg	41	obja	295	295
40	zu	zu	P	PTKZU	_	41	part	_	_
41	erlesen	erlesen	V	VVINF	_	43	obji	_	_
42	,	,	$	$,	_	0	root	_	_
43	sagen	sagen	V	VVINF	_	44	aux	_	_
44	würden	werden	V	VAFIN	3|Pl|Past|Subj	25	objc	_	_
45	,	,	$	$,	_	0	root	_	_
46	wenn	wenn	K	KOUS	_	55	konj	_	_
47	sie	sie	P	PPER	3|Pl|_|Nom	55	subj	546	546
48	so	so	A	ADV	_	49	adv	_	_
49	viel	viel	A	PIDAT	Neut|_|Sg	50	det	_	_
50	Geld	Geld	N	NN	Neut|_|Sg	54	obja	_	_
51	beim	bei	P	APPRART	Dat	54	pp	_	_
52	alten	alt	A	ADJA	Pos|_|Dat|_|_|	53	attr	14	14
53	Korber	Korber	N	NN	_|Dat|_	51	pn	14	14
54	finden	finden	V	VVINF	_	55	aux	_	_
55	würden	werden	V	VAFIN	3|Pl|Past|Subj	44	neb	_	_
56	.	.	$	$.	_	0	root	_	_
57	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	3	adv	_	_
3	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
4	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	546	546
5	aber	aber	A	ADV	_	7	adv	_	_
6	Geld	Geld	N	NN	Neut|Nom|Sg	7	pred	59	59
7	finden	finden	V	VVINF	_	8	aux	_	_
8	wollen	wollen	V	VMINF	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	wem	wer	P	PWS	_|Dat|Sg	14	objd	_	_
11	wäre	sein	V	VAFIN	_|Sg|Past|Subj	7	objc	_	_
12	in	in	P	APPR	_	14	pp	_	_
13	Sinn	Sinn	N	NN	Masc|_|Sg	12	pn	253	253
14	gekommen	kommen	V	VVPP	_	11	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	unter	unter	P	APPR	Dat	21	pp	_	_
17	deinem	deine	A	PPOSAT	Neut|Dat|Sg	18	det	551	551
18	Nest	Nest	N	NN	Neut|Dat|Sg	16	pn	_	_
19	Geld	Geld	N	NN	Neut|Dat|Sg	18	app	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	suchen	suchen	V	VVINF	_	14	obji	_	_
22	?	?	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_
24	frug	frug	V	VVFIN	_|Sg|_|_	0	root	_	_
25	der	die	A	ART	Def|Masc|Nom|Sg	26	det	8	8
26	Alte	Alt	N	NN	Masc|Nom|Sg	24	subj	8	8
27	lachend	lachen	A	ADJD	_|<PPRES	24	adv	_	_
28	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Oh	oh	I	ITJ	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	antwortete	antworten	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	Barthli	Barthli	N	NE	_|Nom|Sg	5	subj	46	46
7	,	,	$	$,	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	dafür	dafür	P	PROAV	_	10	pp	_	_
10	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	537	537
12	gesorget	gesorget	V	VVPP	_	10	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	dumm	dumm	A	ADJD	Pos|	16	pred	_	_
16	bin	sein	V	VAFIN	1|Sg|Pres|Ind	10	kon	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	537	537
18	denn	denn	A	ADV	_	16	adv	_	_
19	doch	doch	A	ADV	_	16	adv	_	_
20	nicht	nicht	P	PTKNEG	_	16	adv	_	_
21	.	.	$	$.	_	0	root	_	_

1	Sieh	Sieh	N	NE	_	0	root	547	547
2	,	,	$	$,	_	0	root	_	_
3	da	da	K	KOUS	_	16	konj	_	_
4	in	in	P	APPR	Dat	16	pp	_	_
5	meinem	meine	A	PPOSAT	Masc|Dat|Sg	7	det	537	537
6	alten	alt	A	ADJA	Pos|Masc|Dat|Sg|Wk|	7	attr	548	548
7	Kalender	Kalender	N	NN	Masc|Dat|Sg	4	pn	548	548
8	,	,	$	$,	_	0	root	548	548
9	den	die	P	PRELS	Masc|Acc|Sg	14	obja	548	548
10	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	537	537
11	immer	immer	A	ADV	_	14	adv	_	_
12	bei	bei	P	APPR	Dat	14	pp	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	12	pn	46	46
14	trage	tragen	V	VVFIN	1|Sg|Pres|_	7	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	steht	stehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
17	geschrieben	schreiben	V	VVPP	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	gerade	gerade	A	ADV	_	20	adv	_	_
20	vorn	vorn	A	ADV	_	0	root	_	_
21	drin	drin	P	PTKVZ	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	es	es	P	PPER	3|Sg|Neut|Nom	24	subj	_	_
24	hats	hats	V	VVFIN	3|Sg|_|_	0	root	_	_
25	mir	ich	P	PPER	1|Sg|_|Dat	24	objd	537	537
26	ein	eine	A	ART	Indef|Neut|_|Sg	27	det	_	_
27	Schulkind	Schulkind	N	NN	Neut|_|Sg	24	obja	_	_
28	müssen	müssen	V	VMFIN	_|Pl|Pres|_	0	root	_	_
29	dreinmachen	dreinmachen	V	VVINF	_	28	aux	_	_
30	:	\:	$	$.	_	0	root	_	_
31	›	›	F	FM	Masc|Dat|Sg	39	objd	_	_
32	Manne	Mann	N	NN	Masc|Dat|Sg	31	app	_	_
33	,	,	$	$,	_	0	root	_	_
34	suchit	suchit	N	NE	Masc|Dat|Sg	32	app	_	_
35	,	,	$	$,	_	0	root	_	_
36	so	so	A	ADV	_	32	adv	_	_
37	werdet	werden	V	VAFIN	2|Pl|Pres|_	0	root	_	_
38	ihr	ihr	P	PPER	2|Pl|_|Nom	37	subj	550	550
39	finden	finden	V	VVINF	_	37	aux	_	_
40	!	!	$	$.	_	0	root	_	_
41	‹	‹	F	FM	_	0	root	_	_
42	«	«	$	$(	_	0	root	_	_
43	»	»	$	$(	_	0	root	_	_
44	Und	und	K	KON	_	0	root	_	_
45	wenn	wenn	K	KOUS	_	50	konj	_	_
46	sie	sie	P	PPER	3|Pl|_|Nom	50	subj	547	547
47	es	es	P	PPER	3|Sg|Neut|_	49	obja	_	_
48	nicht	nicht	P	PTKNEG	_	49	adv	_	_
49	gefunden	finden	V	VVPP	_	50	aux	_	_
50	hätten	haben	V	VAFIN	3|Pl|Past|Subj	44	cj	_	_
51	?	?	$	$.	_	0	root	_	_
52	«	«	$	$(	_	0	root	_	_
53	frug	frug	N	NE	_	0	root	512	512
54	Hans	Hans	N	NE	_	53	app	512	512
55	Uli	Uli	N	NE	_	54	app	512	512
56	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Oh	oh	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	sövli	sövli	N	NE	Masc|Dat|Sg	7	objd	_	_
5	dumm	dumm	A	ADJD	Pos|	6	adv	_	_
6	Manne	Mann	N	NN	Masc|Dat|Sg	4	app	_	_
7	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	man	man	P	PIS	_|Nom|Sg	7	subj	_	_
9	doch	doch	A	ADV	_	7	adv	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	Gott	Gott	N	NN	Masc|Nom|Sg	12	subj	_	_
12	will	wollen	V	VMFIN	3|Sg|Pres|Ind	7	s	_	_
13	,	,	$	$,	_	0	root	_	_
14	nie	nie	A	ADV	_	15	adv	_	_
15	an	an	P	APPR	_	0	root	_	_
16	Gemeindrat	Gemeindrat	N	NN	Masc|_|Sg	15	pn	549	549
17	wählen	wählen	V	VVINF	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	die	die	P	PRELS	_|_|_	0	root	549	549
20	,	,	$	$,	_	0	root	_	_
21	wenn	wenn	K	KOUS	_	24	konj	_	_
22	es	es	P	PPER	3|Sg|Neut|Nom	24	subj	_	_
23	ausdrücklich	ausdrücklich	A	ADJD	Pos|	24	adv	_	_
24	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
25	:	\:	$	$.	_	0	root	_	_
26	›	›	F	FM	_	0	root	_	_
27	Suchit	Suchit	F	FM	_	26	app	_	_
28	,	,	$	$,	_	0	root	_	_
29	so	so	A	ADV	_	30	adv	_	_
30	werdet	werden	V	VAFIN	2|Pl|Pres|_	0	root	_	_
31	ihr	ihr	P	PPER	2|Pl|_|Nom	30	subj	550	550
32	finden	finden	V	VVINF	_	30	aux	_	_
33	!	!	$	$.	_	0	root	_	_
34	‹	‹	F	FM	_	0	root	_	_
35	,	,	$	$,	_	0	root	_	_
36	nicht	nicht	P	PTKNEG	_	37	adv	_	_
37	suchten	suchen	V	VVFIN	_|Pl|Past|_	0	root	_	_
38	,	,	$	$,	_	0	root	_	_
39	bis	bis	K	KOUS	_	42	konj	_	_
40	sie	sie	P	PPER	3|Pl|_|Nom	42	subj	547	547
41	es	es	P	PPER	3|Sg|Neut|_	42	obja	_	_
42	hätten	haben	V	VAFIN	3|Pl|Past|Subj	37	neb	_	_
43	.	.	$	$.	_	0	root	_	_
44	«	«	$	$(	_	0	root	_	_
45	»	»	$	$(	_	0	root	_	_
46	Aber	aber	K	KON	_	0	root	_	_
47	,	,	$	$,	_	0	root	_	_
48	und	und	K	KON	_	0	root	_	_
49	wenn	wenn	K	KOUS	_	0	root	_	_
50	das	die	A	ART	Def|Neut|_|Sg	51	det	_	_
51	Wasser	Wasser	N	NN	Neut|_|Sg	0	root	_	_
52	heute	heute	A	ADV	_	51	adv	_	_
53	noch	noch	A	ADV	_	51	adv	_	_
54	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
55	wenig	wenig	A	ADV	_	56	adv	_	_
56	mächtiger	mächtig	A	ADJD	Comp|	57	adv	_	_
57	gekommen	kommen	V	VVPP	_	67	aux	_	_
58	und	und	K	KON	_	57	kon	_	_
59	dir	du	P	PPER	2|Sg|_|Dat	66	objd	551	551
60	das	die	A	ART	Def|Neut|_|Sg	62	det	_	_
61	ganze	ganz	A	ADJA	Pos|Neut|_|Sg|Wk|	62	attr	_	_
62	Hüsli	Hüsli	N	NN	Neut|_|Sg	66	obja	_	_
63	samt	samt	P	APPR	Dat	62	pp	_	_
64	dem	die	A	ART	Def|Masc|Dat|Sg	65	det	552	552
65	Kübel	Kübel	N	NN	Masc|Dat|Sg	63	pn	552	552
66	weggenommen	wegnehmen	V	VVPP	_	58	cj	_	_
67	hätte	haben	V	VAFIN	_|Sg|Past|Subj	0	root	_	_
68	,	,	$	$,	_	0	root	_	_
69	und	und	K	KON	_	0	root	_	_
70	dann	dann	A	ADV	_	69	cj	_	_
71	?	?	$	$.	_	0	root	_	_
72	«	«	$	$(	_	0	root	_	_
73	»	»	$	$(	_	0	root	_	_
74	He	He	N	NE	_	0	root	_	_
75	nu	nu	N	NE	_	74	app	_	_
76	«	«	$	$(	_	0	root	_	_
77	,	,	$	$,	_	0	root	_	_
78	sagte	sagen	V	VVFIN	3|Sg|Past|_	75	par	_	_
79	Barthli	Barthli	N	NE	_|Nom|Sg	78	subj	46	46
80	,	,	$	$,	_	0	root	_	_
81	»	»	$	$(	_	0	root	_	_
82	wenn	wenn	K	KOUS	_	90	konj	_	_
83	üse	üse	A	ADJA	_|Masc|_|Sg|_	84	attr	_	_
84	Herrgott	Herrgott	N	NN	Masc|_|Sg	89	obja	_	_
85	dsWüstest	dsWüstest	N	NE	Masc|_|Sg	84	app	_	_
86	alles	alle	P	PIS	Neut|_|Sg	85	app	_	_
87	an	an	P	APPR	Dat	89	pp	_	_
88	mir	ich	P	PPER	1|Sg|_|Dat	87	pn	537	537
89	machen	machen	V	VVINF	_	90	aux	_	_
90	will	wollen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
91	,	,	$	$,	_	0	root	_	_
92	su	su	F	FM	_	0	root	_	_
93	mach	machen	V	VVIMP	Sg	0	root	_	_
94	er	er	P	PPER	3|Sg|Masc|Nom	93	pred	46	46
95	!	!	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	dann	dann	A	ADV	_	4	adv	_	_
3	die	die	A	ART	Def|_|_|Pl	4	det	_	_
4	Leute	Leute	N	NN	_|_|Pl	0	root	_	_
5	über	über	P	APPR	_	4	pp	_	_
6	nüt	nüt	F	FM	_|_|_	5	pn	_	_
7	chömme	chömme	F	FM	_|_|_	6	app	_	_
8	und	und	K	KON	_	7	kon	_	_
9	alli	alli	F	FM	_|_|_	8	cj	_	_
10	nüt	nüt	F	FM	_|_|_	9	app	_	_
11	meh	meh	F	FM	_|_|_	10	app	_	_
12	hey	hey	F	FM	_|_|_	11	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	46	46
17	selber	selber	A	ADV	_	16	adv	_	_
18	schuld	schuld	A	ADJD	Pos|	15	pred	_	_
19	und	und	K	KON	_	15	kon	_	_
20	kanns	kanns	F	FM	_|Nom|Pl	22	subj	_	_
21	meinethalben	meinethalben	F	FM	_|Nom|Pl	20	app	_	_
22	haben	haben	V	VAFIN	3|Pl|Pres|_	19	cj	_	_
23	und	und	K	KON	_	0	root	_	_
24	denken	denken	V	VVINF	_	23	cj	_	_
25	:	\:	$	$.	_	0	root	_	_
26	›	›	F	FM	_	0	root	_	_
27	Selber	Selber	F	FM	_	26	app	_	_
28	ta	ta	F	FM	_	27	app	_	_
29	,	,	$	$,	_	0	root	_	_
30	selber	selber	A	ADV	_	31	adv	_	_
31	ha	ha	A	ADJD	_	0	root	_	_
32	!	!	$	$.	_	0	root	_	_
33	‹	‹	F	FM	_|Dat|_	39	objd	_	_
34	Danebe	Danebe	F	FM	_|Dat|_	33	app	_	_
35	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
36	es	es	P	PPER	3|Sg|Neut|Nom	35	subj	_	_
37	ihn	er	P	PPER	3|Sg|Masc|Acc	39	obja	46	46
38	selbst	selbst	A	ADV	_	37	adv	_	_
39	gedünkt	dünken	V	VVPP	_	40	aux	_	_
40	haben	haben	V	VAINF	_	35	aux	_	_
41	,	,	$	$,	_	0	root	_	_
42	er	er	P	PPER	3|Sg|Masc|Nom	43	subj	46	46
43	habe	haben	V	VAFIN	3|Sg|Pres|Subj	35	kon	_	_
44	mich	ich	P	PPER	1|Sg|_|Acc	43	obja	537	537
45	genug	genug	A	PIAT	_	46	det	_	_
46	geplaget	geplaget	N	NN	_	0	root	_	_
47	,	,	$	$,	_	0	root	_	_
48	es	es	P	PPER	3|Sg|Neut|_	54	expl	_	_
49	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
50	Zeit	Zeit	N	NN	Fem|Nom|Sg	49	pred	305	305
51	,	,	$	$,	_	0	root	_	_
52	lugg	lugg	F	FM	_	54	obja	_	_
53	zu	zu	P	PTKZU	_	54	part	_	_
54	lassen	lassen	V	VVINF	_	49	subjc	_	_
55	.	.	$	$.	_	0	root	_	_
56	«	«	$	$(	_	0	root	_	_
57	»	»	$	$(	_	0	root	_	_
58	O	O	N	NN	Neut|_|_	0	root	46	46
59	Barthli	Barthli	N	NE	Neut|_|_	58	app	46	46
60	,	,	$	$,	_	0	root	_	_
61	Barthli	Barthli	N	NE	Neut|_|_	59	app	_	_
62	,	,	$	$,	_	0	root	_	_
63	was	was	P	PWS	Neut|Nom|Sg	64	subj	_	_
64	bist	sein	V	VAFIN	2|Sg|Pres|Ind	58	objc	_	_
65	du	du	P	PPER	2|Sg|_|Nom	64	pred	551	551
66	für	für	P	APPR	Acc	64	pp	_	_
67	e	e	N	NN	_|Acc|_	66	pn	_	_
68	Christ	Christ	N	NE	_|Acc|_	67	app	_	_
69	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	551	551
2	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	nie	nie	A	ADV	_	2	adv	_	_
4	wie	wie	K	KOKOM	_	2	kom	_	_
5	ein	eine	A	ART	Indef|_|_|Sg	7	det	_	_
6	anderer	anderer	A	ADJA	_|_|_|Sg|_	7	attr	_	_
7	Mensch	Mensch	N	NN	_|_|Sg	4	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	13	konj	_	_
11	du	du	P	PPER	2|Sg|_|Nom	13	subj	551	551
12	alt	alt	A	ADJD	Pos|	13	pred	_	_
13	würdest	werden	V	VAFIN	2|Sg|Past|Subj	9	cj	_	_
14	wie	wie	K	KOKOM	_	13	kom	_	_
15	Methusalem	Methusalem	N	NN	Masc|_|Sg	14	cj	_	_
16	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	jetzt	jetzt	A	ADV	_	3	adv	_	_
3	komm	komm	A	ADJD	_	1	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	6	subj	_	_
6	wollen	wollen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	553	553
8	Hüsli	Hüsli	N	NN	Neut|_|Sg	6	obja	553	553
9	gschaue	gschaue	N	NE	Neut|_|Sg	8	app	553	553
10	und	und	K	KON	_	6	kon	_	_
11	abrate	abraten	V	VVFIN	_|Sg|Pres|_	10	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	was	was	P	PRELS	Neut|_|Sg	0	root	553	553
14	zu	zu	P	PTKZU	_	15	part	_	_
15	machen	machen	V	VVINF	_	0	root	_	_
16	und	und	K	KON	_	0	root	_	_
17	wo	wo	P	PWAV	_	18	adv	_	_
18	anfällig	anfällig	A	ADJD	Pos|	22	adv	_	_
19	ein	eine	A	ART	Indef|_|_|Sg	20	det	_	_
20	neues	neu	A	ADJA	Neut|_|Sg	22	subj	_	_
21	abzustellen	abstellen	V	VVIZU	_	22	obji	_	_
22	sei	sein	V	VAFIN	3|Sg|Pres|Subj	16	cj	_	_
23	.	.	$	$.	_	0	root	_	_
24	«	«	$	$(	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	geschah	geschehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	ließen	lassen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	noch	noch	A	ADV	_	5	adv	_	_
5	andere	andere	A	ADJA	_|Masc|Nom|Pl|_	6	attr	_	_
6	Bauern	Bauer	N	NN	Masc|Nom|Pl	2	subj	_	_
7	herbei	herbei	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	Gönner	Gönner	N	NN	Masc|Nom|Pl	18	subj	554	554
10	,	,	$	$,	_	0	root	554	554
11	denen	die	P	PRELS	Masc|Dat|Pl	16	objd	554	554
12	Barthli	Barthli	N	NE	_	16	obja	46	46
13	die	die	A	ART	Def|Fem|Nom|Pl	14	det	42	42
14	Weiden	Weide	N	NN	Fem|Nom|Pl	16	subj	42	42
