1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
15	einige	einige	A	PIAT	Neut|_|_	16	det	_	_
16	Stäubchen	Stäubchen	N	NN	Neut|_|_	13	obja	_	_
17	sorgfältig	sorgfältig	A	ADJD	Pos|	13	adv	_	_
18	mit	mit	P	APPR	Dat	13	pp	_	_
19	dem	die	A	ART	Def|Masc|Dat|Sg	20	det	_	_
20	Finger	Finger	N	NN	Masc|Dat|Sg	18	pn	_	_
21	weg	weg	P	PTKVZ	_	13	avz	_	_
22	und	und	K	KON	_	7	kon	_	_
23	geht	gehen	V	VVFIN	_|_|Pres|Ind	22	cj	_	_
24	in	in	P	APPR	Acc	23	objp	_	_
25	die	die	A	ART	Def|Fem|Acc|Sg	27	det	_	_
26	Große	groß	A	ADJA	Pos|Fem|Acc|Sg|_|	27	attr	_	_
27	Sozietät	Sozietät	N	NN	Fem|Acc|Sg	24	pn	_	_
28	zu	zu	P	APPR	Dat	39	pp	_	_
29	einer	eine	A	ART	Indef|Fem|_|Sg	30	det	_	_
30	Partie	Partie	N	NN	Neut|Dat|Sg	28	pn	_	_
31	Whist	Whist	N	NN	Neut|Dat|Sg	30	app	_	_
32	oder	oder	K	KON	_	28	kon	_	_
33	zum	zu	P	APPRART	Dat	32	cj	_	_
34	Distelzwang	Distelzwang	N	NN	_|Dat|_	33	pn	_	_
35	,	,	$	$,	_	0	root	_	_
36	etwas	etwas	A	PIAT	Neut|_|Sg	37	det	_	_
37	Solideres	Solideres	N	NN	Neut|_|Sg	39	obja	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	essen	essen	V	VVINF	_	23	obji	_	_
40	,	,	$	$,	_	0	root	_	_
41	als	als	K	KOUS	_	45	konj	_	_
42	er	er	P	PPER	3|Sg|Masc|Nom	45	subj	10	10
43	zu	zu	P	APPR	Dat	45	objp	_	_
44	Hause	Haus	N	NN	Neut|Dat|Sg	43	pn	_	_
45	findet	finden	V	VVFIN	3|Sg|Pres|Ind	39	neb	_	_
46	.	.	$	$.	_	0	root	_	_

1	Trübselige	trübselig	A	ADJA	Pos|_|_|_|_|	2	attr	_	_
2	Mannleni	Mannleni	N	NN	_|_|_	0	root	_	_
3	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
5	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
6	ganze	ganz	A	ADJA	Pos|Neut|_|Sg|Wk|	7	attr	_	_
7	Tal	Tal	N	NN	Neut|_|Sg	3	obja	_	_
8	hinab	hinab	A	ADV	_	3	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	so	so	A	ADV	_	11	adv	54	54
11	weit	weit	A	ADJD	Pos|	13	adv	54	54
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	54	54
13	Emme	Emme	N	NN	Fem|Nom|Sg	15	subj	54	54
14	übergelaufen	überlaufen	V	VVPP	_	15	aux	_	_
15	war	sein	V	VAFIN	3|Sg|Past|Ind	3	kon	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	15	kon	_	_
18	wüst	wüst	A	ADJD	Pos|	21	adv	_	_
19	und	und	K	KON	_	18	kon	_	_
20	grau	grau	A	ADJD	Pos|	19	cj	_	_
21	sah	sehen	V	VVFIN	3|Sg|Past|Ind	17	cj	_	_
22	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	_	_
23	aus	aus	P	APPR	Dat	21	pp	_	_
24	durch	durch	P	APPR	Acc	23	pp	_	_
25	die	die	A	ART	Def|_|Acc|_	26	det	13	13
26	Schächen	Schächen	N	NN	_|Acc|_	24	pn	13	13
27	und	und	K	KON	_	24	kon	_	_
28	an	an	P	APPR	Dat	27	cj	_	_
29	den	die	A	ART	Def|Masc|Dat|Pl	30	det	14	14
30	Rändern	Rand	N	NN	Masc|Dat|Pl	28	pn	14	14
31	der	die	A	ART	Def|_|Gen|_	32	det	15	15
32	Emme	Emme	N	NN	_|Gen|_	30	gmod	14	14
33	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	doch	doch	A	ADV	_	3	adv	_	_
3	wimmelte	wimmeln	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	von	von	P	APPR	Dat	3	pp	_	_
6	frühem	früh	A	ADJA	Pos|_|Dat|Sg|St|	7	attr	_	_
7	Morgen	Morgen	N	NN	_|Dat|Sg	5	pn	_	_
8	an	an	A	APZR	_	5	part	_	_
9	wieder	wieder	A	ADV	_	3	adv	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	lustig	lustig	A	ADJD	Pos|	3	adv	_	_
12	durch	durch	P	APPR	Acc	3	pp	_	_
13	die	die	A	ART	Def|_|Acc|_	14	det	13	13
14	Schächen	Schächen	N	NN	_|Acc|_	12	pn	13	13
15	an	an	P	APPR	Dat	3	pp	_	_
16	den	die	A	ART	Def|Masc|Dat|Pl	17	det	14	14
17	Rändern	Rand	N	NN	Masc|Dat|Pl	15	pn	14	14
18	der	die	A	ART	Def|_|Gen|_	19	det	15	15
19	Emme	Emme	N	NN	_|Gen|_	17	gmod	14	14
20	,	,	$	$,	_	0	root	_	_
21	auf	auf	P	APPR	Dat	15	kon	_	_
22	dem	die	A	ART	Def|Neut|Dat|Sg	23	det	_	_
23	Bette	Bett	N	NN	Neut|Dat|Sg	21	pn	_	_
24	der	die	A	ART	Def|_|Gen|_	25	det	15	15
25	Emme	Emme	N	NN	_|Gen|_	23	gmod	15	15
26	selbst	selbst	A	ADV	_	21	adv	_	_
27	und	und	K	KON	_	21	kon	_	_
28	bei	bei	P	APPR	Dat	27	cj	_	_
29	den	die	A	ART	Def|Fem|Dat|Pl	30	det	_	_
30	Brücken	Brücke	N	NN	Fem|Dat|Pl	28	pn	_	_
31	.	.	$	$.	_	0	root	_	_

1	Von	von	P	APPR	Dat	7	pp	_	_
2	den	die	A	ART	Def|Fem|Dat|Pl	3	det	_	_
3	Höhen	Höhe	N	NN	Fem|Dat|Pl	1	pn	_	_
4	aus	aus	P	APPR	Dat	3	pp	_	_
5	allen	alle	A	PIDAT	Masc|Dat|Pl	6	det	_	_
6	Winkeln	Winkel	N	NN	Masc|Dat|Pl	4	pn	_	_
7	stoben	stieben	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
8	Leute	Leute	N	NN	_|Nom|Pl	7	subj	16	16
9	,	,	$	$,	_	0	root	16	16
10	die	die	P	PRELS	_|Nom|Pl	12	subj	16	16
11	Holz	Holz	N	NN	Neut|_|Sg	12	obja	30	30
12	witterten	wittern	V	VVFIN	3|Pl|Past|_	8	rel	_	_
13	an	an	P	APPR	_	7	pp	_	_
14	der	die	A	ART	Def|_|Gen|Pl	15	det	17	17
15	Emme	Emme	N	NN	_|Gen|Pl	13	pn	17	17
16	,	,	$	$,	_	0	root	17	17
17	Leute	Leute	N	NN	_|Gen|Pl	15	app	17	17
18	,	,	$	$,	_	0	root	17	17
19	die	die	P	PRELS	_|Nom|Pl	21	subj	17	17
20	Holz	Holz	N	NN	Neut|_|Sg	21	obja	_	_
21	witterten	wittern	V	VVFIN	3|Pl|Past|_	17	rel	_	_
22	wie	wie	K	KOKOM	_	21	kom	_	_
23	Raben	Rabe	N	NN	Masc|_|_	22	cj	_	_
24	das	die	A	ART	Def|Neut|_|Sg	25	det	_	_
25	Aas	Aa	N	NN	Neut|_|Sg	7	obja	_	_
26	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	17	17
2	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	nichts	nichts	P	PIS	_	4	obja	_	_
4	verloren	verlieren	V	VVPP	_	2	aux	_	_
5	oder	oder	K	KON	_	0	root	_	_
6	Unbedeutendes	Unbedeutendes	N	NN	Neut|_|Sg	5	cj	_	_
7	,	,	$	$,	_	0	root	_	_
8	darum	darum	P	PROAV	_	9	pp	_	_
9	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
10	sie	sie	P	PPER	3|Pl|_|Nom	9	subj	17	17
11	so	so	A	ADV	_	12	adv	_	_
12	lustig	lustig	A	ADJD	Pos|	9	pred	_	_
13	bei	bei	P	APPR	Dat	9	pp	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	_	_
15	Arbeit	Arbeit	N	NN	Fem|Dat|Sg	13	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	17	17
2	gedachten	gedachten	V	VVFIN	3|_|_|_	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	an	an	P	APPR	Acc	2	pp	_	_
5	die	die	A	ART	Def|_|Acc|Pl	6	det	20	20
6	Unglücklichen	Unglückliche	N	NN	_|Acc|Pl	4	pn	20	20
7	oben	oben	A	ADV	_	6	adv	20	20
8	im	in	P	APPRART	Dat	2	pp	_	_
9	Tale	Tal	N	NN	Neut|Dat|Sg	8	pn	_	_
10	,	,	$	$,	_	0	root	_	_
11	sie	sie	P	PPER	3|_|_|_	0	root	17	17
12	gedachten	gedacht	A	ADJA	Pos|_|Dat|_|_|	29	objd	_	_
13	nur	nur	A	ADV	_	29	adv	_	_
14	an	an	P	APPR	Acc	29	pp	_	_
15	das	die	A	ART	Def|Neut|Acc|Sg	16	det	_	_
16	Glück	Glück	N	NN	Neut|Acc|Sg	14	pn	_	_
17	,	,	$	$,	_	0	root	_	_
18	soviel	soviel	A	PIAT	Neut|_|Sg	19	det	24	24
19	Holz	Holz	N	NN	Neut|_|Sg	22	obja	24	24
20	umsonst	umsonst	A	ADV	_	22	adv	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	erhalten	erhalten	V	VVINF	_	16	obji	_	_
23	,	,	$	$,	_	0	root	_	_
24	soviel	soviel	A	PIAT	Neut|_|Sg	25	det	_	_
25	Geld	Geld	N	NN	Neut|_|Sg	29	obja	_	_
26	zu	zu	P	APPR	Dat	29	pp	_	_
27	Branntewein	Branntewein	N	NE	_|Dat|_	26	pn	18	18
28	zu	zu	P	PTKZU	_	29	part	_	_
29	ersparen	ersparen	V	VVINF	_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	diesen	diese	A	PDAT	_|_|_	3	det	18	18
3	Branntewein	Branntewein	N	NN	_|_|_	4	obja	18	18
4	begannen	beginnen	V	VVFIN	3|Pl|Past|Ind	1	cj	_	_
5	sie	sie	P	PPER	3|Pl|_|Nom	4	subj	17	17
6	zu	zu	P	PTKZU	_	7	part	_	_
7	trinken	trinken	V	VVINF	_	4	obji	_	_
8	,	,	$	$,	_	0	root	_	_
9	Flasche	Flasche	N	NN	Fem|_|Sg	15	obja	_	_
10	um	um	P	APPR	_	13	pp	_	_
11	Flasche	Flasche	N	NN	Fem|_|Sg	10	pn	_	_
12	sich	sie	P	PRF	3|_|_	13	obja	_	_
13	zutragen	zutragen	V	VVINF	_	15	obji	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	lassen	lassen	V	VVINF	_	7	kon	_	_
16	und	und	K	KON	_	15	kon	_	_
17	Gesundheit	Gesundheit	N	NN	Fem|_|Sg	19	obja	_	_
18	zu	zu	P	PTKZU	_	19	part	_	_
19	machen	machen	V	VVINF	_	16	cj	_	_
20	auf	auf	P	APPR	Acc	15	pp	_	_
21	das	die	A	ART	Def|Neut|Acc|Sg	23	det	_	_
22	viele	viele	A	PIDAT	Neut|Acc|Sg	23	attr	_	_
23	Holz	Holz	N	NN	Neut|Acc|Sg	20	pn	_	_
24	,	,	$	$,	_	0	root	_	_
25	das	die	A	ART	Def|Neut|Acc|Sg	27	det	_	_
26	gute	gut	A	ADJA	Pos|Neut|Acc|Sg|Wk|	27	attr	_	_
27	Geschick	Geschick	N	NN	Neut|Acc|Sg	23	app	_	_
28	.	.	$	$.	_	0	root	_	_

1	Unter	unter	P	APPR	Dat	4	pp	_	_
2	ihnen	sie	P	PPER	3|Pl|_|Dat	1	pn	17	17
3	freilich	freilich	A	ADV	_	2	adv	_	_
4	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
5	auch	auch	A	ADV	_	4	adv	_	_
6	Leute	Leute	N	NN	_|Nom|Pl	4	subj	19	19
7	,	,	$	$,	_	0	root	19	19
8	die	die	P	PRELS	_|Nom|Pl	12	subj	19	19
9	diesen	diese	A	PDAT	Masc|Acc|Sg	10	det	_	_
10	Sinn	Sinn	N	NN	Masc|Acc|Sg	12	obja	_	_
11	nicht	nicht	P	PTKNEG	_	12	adv	_	_
12	hatten	haben	V	VAFIN	3|Pl|Past|Ind	6	rel	_	_
13	,	,	$	$,	_	0	root	_	_
14	die	die	P	PRELS	_|Nom|Pl	15	subj	19	19
15	arbeiteten	arbeiten	V	VVFIN	3|Pl|Past|_	8	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	um	um	K	KOUI	_	21	konj	_	_
18	Brücken	Brücke	N	NN	Fem|_|Pl	21	obja	_	_
19	frei	frei	A	ADJD	Pos|	21	pred	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	machen	machen	V	VVINF	_	15	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	das	die	A	ART	Def|Neut|_|Sg	25	det	_	_
24	gewonnene	gewonnen	A	ADJA	Pos|Neut|_|Sg|Wk|	25	attr	_	_
25	Holz	Holz	N	NN	Neut|_|Sg	30	obja	_	_
26	als	als	K	KOKOM	_	25	kom	_	_
27	Lohn	Lohn	N	NN	Masc|_|Sg	26	cj	_	_
28	ihrer	ihre	A	PPOSAT	Fem|Gen|Sg	29	det	17	17
29	Mühe	Mühe	N	NN	Fem|Gen|Sg	27	gmod	38	38
30	betrachteten	betrachten	V	VVFIN	_|Pl|Past|_	4	kon	_	_
31	und	und	K	KON	_	30	kon	_	_
32	später	spät	A	ADJD	_|	35	adv	64	64
33	die	die	A	ART	Def|Fem|_|Sg	35	det	64	64
34	milde	mild	A	ADJA	Pos|Fem|_|Sg|_|	35	attr	64	64
35	Hand	Hand	N	NN	Fem|_|Sg	39	obja	64	64
36	gegen	gegen	P	APPR	Acc	35	pp	64	64
37	die	die	A	ART	Def|_|Acc|Pl	38	det	20	20
38	Unglücklichen	Unglückliche	N	NN	_|Acc|Pl	36	pn	20	20
39	auftaten	auftun	V	VVFIN	_|Pl|Past|Ind	31	cj	_	_
40	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	arbeiteten	arbeiten	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	Leute	Leute	N	NN	_|Nom|Pl	2	subj	21	21
5	,	,	$	$,	_	0	root	21	21
6	die	die	P	PRELS	_|Nom|Pl	10	subj	21	21
7	gar	gar	A	ADV	_	8	adv	_	_
8	kein	keine	A	PIAT	Neut|_|Sg	9	det	_	_
9	Holz	Holz	N	NN	Neut|_|Sg	10	obja	_	_
10	wollten	wollen	V	VMFIN	3|Pl|Past|_	4	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	sondern	sondern	K	KON	_	0	root	_	_
13	nur	nur	A	ADV	_	12	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	um	um	K	KOUI	_	21	konj	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	_	_
17	Emme	Emme	N	NN	Masc|Nom|Sg	21	pred	_	_
18	freie	frei	A	ADJA	Pos|Fem|_|Sg|_|	19	attr	_	_
19	Bahn	Bahn	N	NN	Fem|_|Sg	21	obja	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	machen	machen	V	VVINF	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	weiteres	weit	A	ADJA	Comp|Neut|_|Sg|St|	24	attr	41	41
24	Unglück	Unglück	N	NN	Neut|_|Sg	26	obja	41	41
25	zu	zu	P	PTKZU	_	26	part	_	_
26	verhüten	verhüten	V	VVINF	_	21	obji	_	_
27	;	;	$	$.	_	0	root	_	_
28	aber	aber	K	KON	_	0	root	_	_
29	diese	diese	A	PDAT	Fem|Nom|Pl	31	det	_	_
30	beiden	beide	A	PIDAT	Fem|Nom|Pl	31	attr	_	_
31	Arten	Art	N	NN	Fem|Nom|Pl	32	subj	_	_
32	waren	sein	V	VAFIN	3|Pl|Past|Ind	28	cj	_	_
33	in	in	P	APPR	Dat	32	pp	_	_
34	weit	weit	A	ADJD	Pos|	35	adv	_	_
35	geringerer	gering	A	ADJA	Comp|Fem|Dat|Sg|St|	36	attr	_	_
36	Zahl	Zahl	N	NN	Fem|Dat|Sg	33	pn	_	_
37	.	.	$	$.	_	0	root	_	_

1	Ungeheure	ungeheuer	A	ADJA	Pos|Masc|Nom|Pl|St|	2	attr	_	_
2	Holzhaufen	Holzhaufe	N	NN	Masc|Nom|Pl	3	subj	_	_
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	überall	überall	A	ADV	_	3	adv	_	_
5	aufgestaucht	aufgestaucht	A	ADJD	_	3	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	Tannen	Tann	N	NN	Fem|Nom|Pl	8	subj	23	23
8	lagen	liegen	V	VVFIN	3|Pl|Past|Ind	3	kon	_	_
9	umher	umher	P	PTKVZ	_	8	avz	_	_
10	wie	wie	K	KOKOM	_	8	kom	_	_
11	Kieselsteine	Kieselstein	N	NN	Masc|_|_	10	cj	46	46
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	8	kon	_	_
14	darauf	darauf	P	PROAV	_	15	objp	_	_
15	stürzte	stürzen	V	VVFIN	_|Sg|Past|_	13	cj	_	_
16	die	die	A	ART	Def|Fem|Nom|Sg	17	det	_	_
17	Menge	Menge	N	NN	Fem|Nom|Sg	15	subj	_	_
18	sich	sie	P	PRF	3|_|_	15	obja	_	_
19	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	wimmelte	wimmeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	auf	auf	P	PTKVZ	_	2	avz	_	_
4	und	und	K	KON	_	0	root	_	_
5	an	an	P	APPR	Dat	4	cj	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	_	_
7	Emme	Emme	N	NN	Fem|Dat|Sg	5	pn	_	_
8	wie	wie	K	KOKOM	_	7	kom	_	_
9	in	in	P	APPR	Dat	8	cj	_	_
10	einem	eine	A	ART	Indef|Masc|Dat|Sg	11	det	22	22
11	Bienenkorbe	Bienenkorb	N	NN	Masc|Dat|Sg	9	pn	22	22
12	,	,	$	$,	_	0	root	22	22
13	der	die	P	PRELS	Masc|Nom|Sg	15	subj	22	22
14	stoßen	stoßen	V	VVINF	_	15	aux	_	_
15	will	wollen	V	VMFIN	3|Sg|Pres|Ind	11	rel	_	_
16	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	23	23
3	trugen	tragen	V	VVFIN	3|Pl|Past|Ind	1	cj	_	_
4	das	die	A	ART	Def|Neut|_|Sg	5	det	24	24
5	Holz	Holz	N	NN	Neut|_|Sg	3	obja	24	24
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	zusammen	zusammen	P	PTKVZ	_	3	avz	_	_
8	wie	wie	K	KOKOM	_	12	kom	_	_
9	fleißige	fleißig	A	ADJA	Pos|Fem|Acc|Pl|St|	10	attr	25	25
10	Bienen	Biene	N	NN	Fem|_|Pl	8	cj	25	25
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	25	25
12	Honig	Honig	N	NN	Masc|Acc|Sg	0	root	25	25
13	,	,	$	$,	_	0	root	25	25
14	die	die	P	PRELS	Fem|Nom|Pl	20	subj	25	25
15	neidlos	neidlos	A	ADJD	Pos|	20	adv	_	_
16	um	um	P	APPR	Acc	20	pp	_	_
17	die	die	A	ART	Def|Fem|Acc|Pl	18	det	_	_
18	Blumen	Blume	N	NN	Fem|Acc|Pl	16	pn	_	_
19	lustig	lustig	A	ADJD	Pos|	20	adv	_	_
20	surren	surren	V	VVFIN	3|Pl|Pres|_	10	rel	_	_
21	,	,	$	$,	_	0	root	_	_
22	friedlich	friedlich	A	ADJD	Pos|	27	adv	_	_
23	in	in	P	APPR	Acc	27	pp	_	_
24	die	die	A	ART	Def|Fem|Acc|Pl	25	det	_	_
25	Blumen	Blume	N	NN	Fem|Acc|Pl	23	pn	_	_
26	sich	sie	P	PRF	3|_|_	27	obja	_	_
27	teilen	teilen	V	VVINF	_	0	root	_	_
28	und	und	K	KON	_	0	root	_	_
29	in	in	P	APPR	Acc	32	pp	_	_
30	den	die	A	ART	Def|Masc|Acc|Sg	31	det	_	_
31	Korb	Korb	N	NN	Masc|Acc|Sg	29	pn	_	_
32	es	es	P	PPER	3|Sg|Neut|_	33	obja	_	_
33	ablegen	ablegen	V	VVFIN	_|Pl|Pres|_	28	cj	_	_
34	zu	zu	P	APPR	Dat	33	pp	_	_
35	allgemeinem	allgemein	A	ADJA	Pos|Masc|Dat|Sg|St|	36	attr	_	_
36	Gebrauch	Gebrauch	N	NN	Masc|Dat|Sg	34	pn	_	_
37	.	.	$	$.	_	0	root	_	_

1	Soviel	soviel	P	PIS	_|Nom|Sg	5	subj	_	_
2	des	die	A	ART	Def|Neut|Gen|Sg	3	det	24	24
3	Holzes	Holz	N	NN	Neut|Gen|Sg	1	gmod	24	24
4	auch	auch	A	ADV	_	1	adv	_	_
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	hätte	haben	V	VAFIN	_|Sg|Past|Subj	5	kon	_	_
9	doch	doch	A	ADV	_	8	adv	_	_
10	jeder	jede	A	PIDAT	_|_|Sg	0	root	_	_
11	alleine	alleine	A	ADV	_	12	adv	_	_
12	alles	alle	P	PIS	_|_|Sg	0	root	_	_
13	mögen	mögen	V	VMINF	_	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	kennt	kennen	V	VVFIN	3|Sg|Pres|Ind	46	subjc	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	die	die	A	ART	Def|Fem|_|Sg	5	det	_	_
5	Fabel	Fabel	N	NN	Fem|_|Sg	2	obja	_	_
6	von	von	P	APPR	Dat	5	pp	_	_
7	jenem	jene	A	PDAT	Masc|Dat|Sg	8	det	26	26
8	Hunde	Hund	N	NN	Masc|Dat|Sg	6	pn	26	26
9	,	,	$	$,	_	0	root	26	26
10	der	die	P	PRELS	Masc|Nom|Sg	21	subj	26	26
11	mit	mit	P	APPR	Dat	21	pp	_	_
12	einem	eine	A	ART	Indef|Neut|Dat|Sg	13	det	_	_
13	Stück	Stück	N	NN	Neut|Dat|Sg	11	pn	_	_
14	gestohlenen	gestohlen	A	ADJA	Pos|Neut|Gen|Sg|_|	15	attr	_	_
15	Fleisches	Fleisch	N	NN	Neut|Gen|Sg	13	gmod	_	_
16	im	in	P	APPRART	Dat	21	pp	_	_
17	Maul	Maul	N	NN	Neut|Dat|Sg	16	pn	_	_
18	über	über	P	APPR	Acc	17	pp	_	_
19	einen	eine	A	ART	Indef|Masc|Acc|Sg	20	det	_	_
20	Steg	Steg	N	NN	Masc|Acc|Sg	18	pn	_	_
21	ging	gehen	V	VVFIN	3|Sg|Past|Ind	8	rel	_	_
22	und	und	K	KON	_	21	kon	_	_
23	unten	unten	A	ADV	_	24	adv	_	_
24	im	in	P	APPRART	Dat	29	objp	_	_
25	Wasser	Wasser	N	NN	Neut|Dat|Sg	24	pn	_	_
26	sein	seine	A	PPOSAT	Neut|Nom|Sg	28	det	26	26
27	eigen	eigen	A	ADJD	Pos|	28	adv	27	27
28	Bild	Bild	N	NN	Neut|Nom|Sg	29	subj	27	27
29	erblickte	erblicken	V	VVFIN	3|Sg|Past|_	22	cj	_	_
30	mit	mit	P	APPR	Dat	29	pp	_	_
31	dem	die	A	ART	Def|Neut|Dat|Sg	32	det	_	_
32	Fleisch	Fleisch	N	NN	Neut|Dat|Sg	30	pn	_	_
33	im	in	P	APPRART	Dat	2	pp	_	_
34	Maul	Maul	N	NN	Neut|Dat|Sg	33	pn	_	_
35	,	,	$	$,	_	0	root	_	_
36	wie	wie	P	PWAV	_	42	adv	_	_
37	er	er	P	PPER	3|Sg|Masc|Nom	42	subj	26	26
38	nun	nun	A	ADV	_	42	adv	_	_
39	das	die	A	ART	Def|Neut|_|Sg	40	det	_	_
40	Fleisch	Fleisch	N	NN	Neut|_|Sg	42	obja	_	_
41	fallen	fallen	V	VVINF	_	42	obji	_	_
42	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	34	objc	_	_
43	,	,	$	$,	_	0	root	_	_
44	ins	in	P	APPRART	Acc	2	pp	_	_
45	Wasser	Wasser	N	NN	Neut|Acc|_	44	pn	_	_
46	sprang	springen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
47	,	,	$	$,	_	0	root	_	_
48	um	um	K	KOUI	_	54	konj	_	_
49	seinem	seine	A	PPOSAT	Neut|Dat|Sg	50	det	27	27
50	Bilde	Bild	N	NN	Neut|Dat|Sg	54	objd	_	_
51	das	die	A	ART	Def|Neut|_|Sg	52	det	_	_
52	Fleisch	Fleisch	N	NN	Neut|_|Sg	54	obja	_	_
53	zu	zu	P	PTKZU	_	54	part	_	_
54	entreißen	entreißen	V	VVINF	_	46	neb	_	_
55	,	,	$	$,	_	0	root	_	_
56	weil	weil	K	KOUS	_	60	konj	_	_
57	er	er	P	PPER	3|Sg|Masc|Nom	60	subj	26	26
58	nicht	nicht	P	PTKNEG	_	59	adv	_	_
59	dulden	dulden	V	VVINF	_	60	aux	_	_
60	mochte	mögen	V	VMFIN	3|Sg|Past|Ind	54	neb	_	_
61	,	,	$	$,	_	0	root	_	_
62	daß	daß	K	KOUS	_	67	konj	_	_
63	ein	eine	A	ART	Indef|_|_|Sg	64	det	_	_
64	anderer	anderer	A	ADJA	_|_|Sg	67	subj	_	_
65	auch	auch	A	ADV	_	67	adv	_	_
66	Fleisch	Fleisch	N	NN	Neut|_|Sg	67	obja	_	_
67	habe	haben	V	VAFIN	3|Sg|Pres|Subj	59	objc	_	_
68	,	,	$	$,	_	0	root	_	_
69	oder	oder	K	KON	_	60	kon	_	_
70	weil	weil	K	KOUS	_	75	konj	_	_
71	er	er	P	PPER	3|Sg|Masc|Nom	75	subj	26	26
72	dessen	die	A	PDAT	Neut|_|Sg	73	det	_	_
73	Stück	Stück	N	NN	Neut|_|Sg	74	grad	_	_
74	größer	groß	A	ADJD	Comp|	75	adv	_	_
75	glaubte	glauben	V	VVFIN	3|Sg|Past|_	69	cj	_	_
76	als	als	K	KOKOM	_	0	root	_	_
77	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
78	seine	seine	P	PPOSS	_|_|_	0	root	_	_
79	!	!	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	wartete	warten	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	giftiger	giftig	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	35	35
4	Neid	Neid	N	NN	Masc|Nom|Sg	2	subj	35	35
5	zwischen	zwischen	P	APPR	_	4	pp	35	35
6	den	die	A	ART	Def|_|_|_	7	det	35	35
7	Wimmelnden	Wimmelnde	N	NN	_|_|_	5	pn	35	35
8	;	;	$	$.	_	0	root	_	_
9	keiner	keine	P	PIS	Masc|Nom|Sg	10	subj	_	_
