1	Begreiflich	Begreiflich	N	NE	_|Dat|_	2	objd	277	277
32	:	\:	$	$.	_	0	root	_	_
33	»	»	$	$(	_	0	root	_	_
34	Du	du	P	PPER	2|Sg|_|Nom	0	root	516	516
35	gütiger	gütig	A	ADJA	Pos|Masc|Nom|Sg|St|	36	attr	_	_
36	Gott	Gott	N	NN	Masc|Nom|Sg	0	root	_	_
37	,	,	$	$,	_	0	root	_	_
38	Vetter	Vetter	N	NE	Masc|Nom|Sg	36	app	_	_
39	,	,	$	$,	_	0	root	_	_
40	wie	wie	P	PWAV	_	41	pred	_	_
41	seht	sehen	V	VVFIN	2|Pl|Pres|Ind	36	objc	_	_
42	Ihr	ihr	P	PPER	2|Pl|_|Nom	41	subj	513	513
43	aus	aus	P	PTKVZ	_	41	avz	_	_
44	,	,	$	$,	_	0	root	_	_
45	nein	nein	P	PTKANT	_	0	root	_	_
46	,	,	$	$,	_	0	root	_	_
47	so	so	A	ADV	_	48	adv	_	_
48	hätte	haben	V	VAFIN	1|Sg|Past|Subj	45	par	_	_
49	ich	ich	P	PPER	1|Sg|_|Nom	48	subj	514	514
50	mir	ich	P	PRF	1|Sg|Dat	55	objd	_	_
51	die	die	A	ART	Def|Fem|_|Sg	52	det	198	198
52	Sache	Sache	N	NN	Fem|_|Sg	55	obja	198	198
53	doch	doch	A	ADV	_	55	adv	_	_
54	nicht	nicht	P	PTKNEG	_	55	adv	_	_
55	vorgestellt	vorstellen	V	VVPP	_	48	aux	_	_
56	,	,	$	$,	_	0	root	_	_
57	akkurat	akkurat	A	ADJD	Pos|	0	root	_	_
58	,	,	$	$,	_	0	root	_	_
59	als	als	K	KOKOM	_	0	root	_	_
60	wenn	wenn	K	KOUS	_	67	konj	_	_
61	Ihr	ihr	P	PPER	2|Pl|_|Nom	67	subj	513	513
62	schon	schon	A	ADV	_	66	adv	_	_
63	in	in	P	APPR	Dat	66	pp	_	_
64	der	die	A	ART	Def|Fem|Dat|Sg	65	det	174	174
65	Erde	Erde	N	NN	Fem|Dat|Sg	63	pn	174	174
66	gewesen	sein	V	VAPP	_	67	aux	_	_
67	wäret	sein	V	VAFIN	2|Pl|Past|Subj	0	root	_	_
68	.	.	$	$.	_	0	root	_	_

1	Schon	schon	A	ADV	_	2	adv	_	_
2	manchen	manche	P	PIS	Masc|_|Sg	5	obja	_	_
3	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	514	514
5	gesehen	sehen	V	VVPP	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PRELS	Masc|Nom|Sg	14	subj	515	515
8	nicht	nicht	P	PTKNEG	_	14	adv	_	_
9	ein	eine	A	ART	Indef|Neut|_|Sg	13	det	_	_
10	halb	halb	A	ADJD	Pos|	11	adv	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	bös	bös	A	ADJD	Pos|	13	adv	_	_
13	Aussehen	Aussehen	N	NN	Neut|_|Sg	14	obja	_	_
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	2	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	14	kon	_	_
17	nicht	nicht	P	PTKNEG	_	19	adv	_	_
18	eine	eine	A	ART	Indef|Fem|Nom|Sg	19	det	_	_
19	Woche	Woche	N	NN	Fem|Nom|Sg	20	subj	_	_
20	gings	gings	V	VVPP	_	23	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	so	so	A	ADV	_	23	adv	_	_
23	war	sein	V	VAFIN	3|Sg|Past|Ind	16	cj	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	515	515
25	tot	tot	A	ADJD	_	23	pred	_	_
26	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	0	root	516	516
2	mein	meine	A	PPOSAT	Masc|Nom|Sg	3	det	514	514
3	Gott	Gott	N	NN	Masc|Nom|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	10	adv	_	_
6	doch	doch	A	ADV	_	10	adv	_	_
7	ein	eine	A	ART	Indef|_|Nom|Sg	8	det	_	_
8	Mensch	Mensch	N	NN	_|Nom|Sg	11	subj	_	_
9	sich	sie	P	PRF	3|_|_	10	obja	_	_
10	ändern	ändern	V	VVINF	_	11	aux	_	_
11	kann	können	V	VMFIN	3|Sg|Pres|Ind	3	objc	_	_
12	in	in	P	APPR	Dat	10	pp	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	kurzer	kurz	A	ADJA	Pos|Fem|Dat|Sg|St|	15	attr	_	_
15	Zeit	Zeit	N	NN	Fem|Dat|Sg	12	pn	_	_
16	!	!	$	$.	_	0	root	_	_

1	Wann	Wann	P	PWAV	_	0	root	_	_
2	wars	wars	N	NE	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	als	als	K	KOUS	_	9	konj	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	514	514
6	Euch	ihr	P	PPER	2|Pl|_|_	9	obja	513	513
7	zum	zu	P	APPRART	Dat	9	pp	_	_
8	letztenmal	letztenmal	N	NN	_|Dat|_	7	pn	_	_
9	sah	sehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
10	?	?	$	$.	_	0	root	_	_

1	Am	an	P	APPRART	Dat	3	pp	_	_
2	Herbstlangnaumarkt	Herbstlangnaumarkt	N	NN	_|Dat|_	1	pn	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	gewesen	sein	V	VAPP	_	6	aux	_	_
6	sein	sein	V	VAINF	_	3	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Damals	damals	A	ADV	_	2	adv	_	_
2	sahet	sahet	V	VVFIN	2|Pl|_|_	0	root	_	_
3	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	513	513
4	noch	noch	A	ADV	_	2	adv	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	rüstig	rüstig	A	ADJD	Pos|	2	adv	_	_
7	aus	aus	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	mancher	manche	A	PIAT	_|_|_	10	det	_	_
10	Funfziger	Funfziger	N	NN	_|_|_	0	root	_	_
11	nicht	nicht	P	PTKNEG	_	10	adv	_	_
12	besser	gut	A	ADJD	Comp|	0	root	_	_
13	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	jetzt	jetzt	A	ADV	_	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	0	root	_	_
5	mein	meine	A	PPOSAT	Masc|Nom|Sg	6	det	514	514
6	Gott	Gott	N	NN	Masc|Nom|Sg	0	root	_	_
7	!	!	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	,	,	$	$,	_	0	root	_	_
5	was	was	P	PWS	Neut|Nom|Sg	8	subj	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	83	83
7	Mensch	Mensch	N	NN	Masc|Nom|Sg	8	pred	83	83
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	_
9	!	!	$	$.	_	0	root	_	_

1	›	›	N	NE	_	0	root	_	_
2	Heute	heute	A	ADV	_	3	adv	_	_
3	rot	rot	A	ADJD	Pos|	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	morgen	morgen	A	ADV	_	6	adv	_	_
6	tot	tot	A	ADJD	_	0	root	_	_
7	‹	‹	F	FM	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	heißts	heißts	N	NE	_	7	app	_	_
10	im	in	P	APPRART	Dat	9	pp	_	_
11	Sprichwort	Sprichwort	N	NN	Neut|Dat|Sg	10	pn	517	517
12	.	.	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	83	83
7	Mensch	Mensch	N	NN	Masc|Nom|Sg	5	subj	83	83
8	,	,	$	$,	_	0	root	_	_
9	über	über	P	APPR	_	11	pp	_	_
10	Nacht	Nacht	N	NN	Fem|_|Sg	9	pn	234	234
11	wird	werden	V	VAFIN	3|Sg|Pres|Ind	5	kon	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	518	518
13	Seele	Seele	N	NN	Fem|Nom|Sg	11	subj	518	518
14	von	von	P	APPR	Dat	16	pp	_	_
15	ihm	er	P	PPER	3|Sg|_|Dat	14	pn	83	83
16	gefordert	fordern	V	VVPP	_	11	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	11	kon	_	_
19	wes	wes	N	NE	_|Nom|Sg	20	subj	519	519
20	wird	werden	V	VAFIN	3|Sg|Pres|Ind	18	cj	_	_
21	dann	dann	A	ADV	_	22	adv	_	_
22	sein	sein	V	VAINF	_	20	aux	_	_
23	,	,	$	$,	_	0	root	_	_
24	was	was	P	PRELS	Neut|_|Sg	26	obja	519	519
25	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	83	83
26	bereitet	bereiten	V	VVPP	_	27	aux	_	_
27	hat	haben	V	VAFIN	3|Sg|Pres|Ind	22	objc	_	_
28	?	?	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
7	sein	sein	V	VAINF	_	5	aux	_	_
8	!	!	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	3	subj	_	_
2	weise	weise	A	ADJD	Pos|	3	pred	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	denket	denken	V	VVFIN	2|Pl|Pres|Subj	3	par	_	_
6	daran	daran	P	PROAV	_	5	objp	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	ehe	ehe	K	KOUS	_	12	konj	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	83	83
11	da	da	A	ADV	_	12	adv	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	16	det	_	_
15	letzte	letzte	A	ADJA	Pos|Masc|Nom|Sg|Wk|	16	attr	_	_
16	Tag	Tag	N	NN	Masc|Nom|Sg	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	wo	wo	P	PWAV	_	26	adv	_	_
19	man	man	P	PIS	_|Nom|Sg	26	subj	_	_
20	ihm	er	P	PPER	3|Sg|_|Dat	26	objd	83	83
21	die	die	A	ART	Def|Fem|_|Sg	22	det	518	518
22	Seele	Seele	N	NN	Fem|_|Sg	26	obja	518	518
23	aus	aus	P	APPR	Dat	26	pp	_	_
24	dem	die	A	ART	Def|Masc|Dat|Sg	25	det	520	520
25	Leibe	Leib	N	NN	Masc|Dat|Sg	23	pn	520	520
26	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	16	rel	_	_
27	!	!	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ja	ja	P	PTKANT	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	6	subj	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	schon	schon	A	ADV	_	10	adv	_	_
8	mancher	manche	A	PIAT	Masc|Nom|Sg	9	det	521	521
9	reuig	reuig	N	NN	Masc|Nom|Sg	10	pred	521	521
10	gewesen	sein	V	VAPP	_	6	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	16	subj	521	521
14	nicht	nicht	P	PTKNEG	_	16	adv	_	_
15	daran	daran	P	PROAV	_	16	objp	_	_
16	gedacht	denken	V	VVPP	_	0	root	_	_
17	zur	zu	P	APPRART	Dat	16	pp	_	_
18	rechten	recht	A	ADJA	Pos|Fem|Dat|Sg|Wk|	19	attr	_	_
19	Zeit	Zeit	N	NN	Fem|Dat|Sg	17	pn	_	_
20	.	.	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	5	adv	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	521	521
3	nicht	nicht	P	PTKNEG	_	5	adv	_	_
4	mehr	mehr	A	ADV	_	3	adv	_	_
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	reden	reden	V	VVINF	_	7	aux	_	_
7	können	können	V	VMINF	_	5	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	da	da	A	ADV	_	10	adv	_	_
10	mußten	müssen	V	VMFIN	3|Pl|Past|Ind	0	root	_	_
11	endlich	endlich	A	ADJD	Pos|	14	adv	_	_
12	die	die	A	ART	Def|Masc|Nom|Pl	13	det	_	_
13	Schreiber	Schreiber	N	NN	Masc|Nom|Pl	10	subj	_	_
14	kommen	kommen	V	VVINF	_	10	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	aber	aber	K	KON	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	wie	wie	P	PWAV	_	0	root	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	0	root	521	521
20	sich	sie	P	PRF	3|_|_	22	obja	_	_
21	gemüht	gemüht	N	NE	_|Nom|Sg	22	subj	_	_
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	kein	keine	A	PIAT	Neut|_|Sg	25	det	_	_
25	Wort	Wort	N	NN	Neut|_|Sg	28	obja	_	_
26	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	521	521
28	machen	machen	V	VVINF	_	26	aux	_	_
29	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
3	deren	die	P	PDS	_|Gen|_	0	root	_	_
4	gegeben	geben	V	VVPP	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	welche	welche	P	PRELS	_|Nom|Pl	15	subj	522	522
7	ihre	ihre	A	PPOSAT	Fem|_|Sg	8	det	522	522
8	Zunge	Zunge	N	NN	Fem|_|Sg	15	obja	_	_
9	einen	eine	A	ART	Indef|Masc|Acc|Sg	11	det	755	755
10	halben	halb	A	ADJA	Pos|Masc|Acc|Sg|_|	11	attr	755	755
11	Fuß	Fuß	N	NN	Masc|Acc|Sg	12	pn	755	755
12	lang	lang	P	APPO	Acc	15	pp	_	_
13	zum	zu	P	APPRART	Dat	15	pp	_	_
14	Munde	Mund	N	NN	Masc|Dat|Sg	13	pn	_	_
15	ausstreckten	ausstrecken	V	VVFIN	3|Pl|Past|_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	aber	aber	K	KON	_	15	kon	_	_
18	keinen	keine	A	PIAT	_|_|_	19	det	_	_
19	Gux	Gux	N	NN	_|_|_	22	obja	_	_
20	konnten	können	V	VMFIN	3|Pl|Past|Ind	17	cj	_	_
21	sie	sie	P	PPER	3|Pl|_|Nom	20	subj	522	522
22	machen	machen	V	VVINF	_	20	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Vetter	Vetter	N	NE	_	0	root	74	74
4	,	,	$	$,	_	0	root	_	_
5	das	die	P	PDS	Neut|Nom|Sg	6	subj	_	_
6	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
7	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	_	_
8	schrecklicher	schrecklich	A	ADJA	Pos|Masc|Nom|Sg|St|	9	attr	_	_
9	Anblick	Anblick	N	NN	Masc|Nom|Sg	10	pred	_	_
10	sein	sein	V	VAINF	_	6	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
3	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	aber	aber	K	KON	_	3	kon	_	_
6	man	man	P	PIS	_|Nom|Sg	7	subj	_	_
7	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	5	cj	_	_
8	nicht	nicht	P	PTKNEG	_	7	adv	_	_
9	gerne	gerne	A	ADV	_	7	adv	_	_
10	davon	davon	P	PROAV	_	7	pp	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	0	root	_	_
13	solche	solche	P	PIS	_|_|_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	welche	welche	P	PRELS	_|_|_	0	root	_	_
16	nicht	nicht	P	PTKNEG	_	20	adv	_	_
17	von	von	P	APPR	Dat	20	pp	_	_
18	dem	die	A	ART	Def|Neut|Dat|Sg	19	det	197	197
19	Herzen	Herzen	N	NN	Neut|Dat|Sg	17	pn	197	197
20	getan	tun	V	VVPP	_	52	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	was	was	P	PRELS	Neut|Nom|Sg	24	subj	197	197
23	darauf	darauf	P	PROAV	_	24	pp	_	_
24	lag	liegen	V	VVFIN	3|Sg|Past|Ind	52	subjc	_	_
25	,	,	$	$,	_	0	root	_	_
26	nicht	nicht	P	PTKNEG	_	27	adv	_	_
27	alles	alle	P	PIS	Neut|Nom|Sg	32	subj	_	_
28	an	an	P	APPR	Acc	32	pp	_	_
29	den	die	A	ART	Def|Masc|Acc|Sg	31	det	_	_
30	rechten	recht	A	ADJA	Pos|Masc|Acc|Sg|_|	31	attr	_	_
31	Ort	Ort	N	NN	Masc|Acc|Sg	28	pn	_	_
32	getan	tun	V	VVPP	_	48	neb	_	_
33	,	,	$	$,	_	0	root	_	_
34	wo	wo	P	PWAV	_	39	adv	_	_
35	es	es	P	PPER	3|Sg|Neut|_	38	pn	_	_
36	von	von	P	APPR	Gen	35	pp	_	_
37	Rechtes	Recht	N	NN	Neut|Gen|Sg	36	pn	718	718
38	wegen	wegen	P	APPO	Gen	39	pp	_	_
39	hingehört	hingehören	V	VVFIN	_|_|Pres|Ind	32	rel	_	_
40	,	,	$	$,	_	0	root	_	_
41	und	und	K	KON	_	32	kon	_	_
42	alles	alle	P	PIS	Neut|Nom|Sg	43	subj	_	_
43	zurechtgelegt	zurechtlegen	V	VVPP	_	41	cj	_	_
44	,	,	$	$,	_	0	root	_	_
45	wie	wie	P	PWAV	_	47	adv	_	_
46	es	es	P	PPER	3|Sg|Neut|Nom	48	subj	_	_
47	liegen	liegen	V	VVINF	_	48	aux	_	_
48	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	24	objc	_	_
49	,	,	$	$,	_	0	root	_	_
50	keine	keine	A	PIAT	Fem|_|Sg	51	det	_	_
51	Ruhe	Ruhe	N	NN	Fem|_|Sg	52	obja	_	_
52	hatten	haben	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
53	im	in	P	APPRART	Dat	52	pp	_	_
54	Grabe	Grab	N	NN	Neut|Dat|Sg	53	pn	523	523
55	,	,	$	$,	_	0	root	_	_
56	sondern	sondern	K	KON	_	0	root	_	_
57	wiederkommen	wiederkommen	V	VVINF	_	56	cj	_	_
58	mußten	müssen	V	VMFIN	_|Pl|Past|Ind	0	root	_	_
59	mit	mit	P	APPR	Dat	66	pp	_	_
60	Seufzen	Seufzen	N	NN	Neut|_|Sg	59	pn	916	916
61	und	und	K	KON	_	60	kon	_	_
62	Stöhnen	Stöhnen	N	NN	Neut|_|Sg	61	cj	_	_
63	und	und	K	KON	_	62	kon	_	_
64	die	die	A	ART	Def|_|_|Pl	65	det	88	88
65	Leute	Leute	N	NN	_|_|Pl	63	cj	88	88
66	plagen	plagen	V	VVINF	_	58	aux	_	_
67	,	,	$	$,	_	0	root	_	_
68	bis	bis	K	KOUS	_	69	konj	_	_
69	endlich	endlich	A	ADJD	Pos|	58	neb	_	_
70	alles	alle	P	PIS	Neut|Nom|Sg	75	subj	_	_
71	an	an	P	APPR	Acc	75	objp	_	_
72	den	die	A	ART	Def|Masc|Acc|Sg	74	det	_	_
73	rechten	recht	A	ADJA	Pos|Masc|Acc|Sg|_|	74	attr	_	_
74	Ort	Ort	N	NN	Masc|Acc|Sg	71	pn	_	_
75	gekommen	kommen	V	VVPP	_	0	root	_	_
76	;	;	$	$.	_	0	root	_	_
77	das	die	P	PDS	Neut|Nom|Sg	78	subj	_	_
78	gehe	gehen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
79	manchmal	manchmal	A	ADV	_	78	adv	_	_
80	lang	lang	A	ADJD	Pos|	78	adv	_	_
81	,	,	$	$,	_	0	root	_	_
82	länger	lang	A	ADJD	Comp|	78	adv	_	_
83	als	als	K	KOKOM	_	82	kom	_	_
84	die	die	A	ART	Def|Fem|_|Sg	85	det	524	524
85	Ewigkeit	Ewigkeit	N	NN	Fem|_|Sg	83	cj	524	524
86	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Eigentlich	eigentlich	A	ADV	_	3	adv	_	_
3	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	526	526
5	an	an	P	APPR	Acc	3	objp	_	_
6	solche	solche	A	PIDAT	_|Acc|_	7	det	_	_
7	Reden	Rede	N	NN	_|Acc|_	5	pn	_	_
8	nicht	nicht	P	PTKNEG	_	3	adv	_	_
9	«	«	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	ward	ward	V	VAFIN	_	3	s	_	_
12	beigefügt	beifügen	V	VVPP	_	11	aux	_	_
13	;	;	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	dem	die	P	PDS	_|Dat|Sg	16	objd	_	_
16	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
17	man	man	P	PIS	_|Nom|Sg	16	subj	_	_
18	Aberglauben	Aberglaube	N	NN	_|_|_	16	obja	525	525
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	0	root	_	_
21	wenn	wenn	K	KOUS	_	23	konj	_	_
22	es	es	P	PPER	3|Sg|Neut|Nom	23	subj	_	_
23	wäre	sein	V	VAFIN	_|Sg|Past|Subj	20	cj	_	_
24	,	,	$	$,	_	0	root	_	_
25	dem	die	A	ART	Def|Masc|Dat|Sg	26	det	74	74
26	Vetter	Vetter	N	NN	Masc|Dat|Sg	31	objd	74	74
27	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
28	es	es	P	PPER	3|Sg|Neut|Nom	27	subj	_	_
29	nicht	nicht	P	PTKNEG	_	31	adv	_	_
30	so	so	A	ADV	_	31	adv	_	_
31	gehen	gehen	V	VVINF	_	27	aux	_	_
32	,	,	$	$,	_	0	root	_	_
33	er	er	P	PPER	3|Sg|Masc|Nom	34	subj	525	525
34	ist	sein	V	VAFIN	3|Sg|Pres|Ind	27	kon	_	_
35	weiser	weise	A	ADJD	Comp|	34	pred	_	_
36	als	als	K	KOKOM	_	34	kom	_	_
37	so	so	A	ADV	_	36	cj	_	_
38	,	,	$	$,	_	0	root	_	_
39	hat	haben	V	VAFIN	3|Sg|Pres|Ind	34	kon	_	_
40	allen	alle	A	PIDAT	Masc|_|_	41	det	_	_
41	Menschen	Mensch	N	NN	Masc|_|_	44	obja	_	_
42	zu	zu	P	PTKZU	_	43	part	_	_
43	raten	raten	V	VVINF	_	44	obji	_	_
44	wissen	wissen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
45	und	und	K	KON	_	44	kon	_	_
46	wird	werden	V	VAFIN	3|Sg|Pres|Ind	45	cj	_	_
47	sich	sie	P	PRF	3|_|Dat	51	objd	_	_
48	selbst	selbst	A	ADV	_	51	adv	_	_
49	wohl	wohl	A	ADV	_	51	adv	_	_
50	auch	auch	A	ADV	_	51	adv	_	_
51	raten	raten	V	VVINF	_	52	aux	_	_
52	können	können	V	VMINF	_	46	aux	_	_
53	,	,	$	$,	_	0	root	_	_
54	obschon	obschon	K	KOUS	_	56	konj	_	_
55	man	man	P	PIS	_|Nom|Sg	56	subj	_	_
56	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	46	neb	_	_
57	,	,	$	$,	_	0	root	_	_
58	daß	daß	K	KOUS	_	69	konj	_	_
59	es	es	P	PPER	3|Sg|Neut|Nom	69	subj	_	_
60	gerade	gerade	A	ADV	_	61	adv	_	_
61	diesen	diese	P	PDS	_|Dat|Pl	69	objd	_	_
62	an	an	P	APPR	_	69	objp	_	_
63	Rat	Rat	N	NN	Masc|_|Sg	62	pn	_	_
64	für	für	P	APPR	Acc	63	pp	_	_
65	sich	sie	P	PRF	3|_|Acc	64	pn	_	_
66	oft	oft	A	ADV	_	69	adv	_	_
67	am	am	P	PTKA	_	68	adv	_	_
68	meisten	meisten	A	ADJD	_	69	adv	_	_
69	fehle	fehlen	V	VVFIN	3|Sg|Pres|Subj	56	objc	_	_
70	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	3	koord	_	_
2	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
3	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	von	von	P	APPR	Dat	3	pp	_	_
5	solchen	solche	A	PIDAT	Neut|Dat|_	6	det	_	_
6	Dingen	Ding	N	NN	Neut|Dat|_	4	pn	_	_
7	einmal	einmal	A	ADV	_	4	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	selb	selb	N	NE	_|Nom|Sg	10	subj	329	329
10	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
11	wohl	wohl	A	ADV	_	12	adv	_	_
12	erlaubt	erlauben	V	VVPP	_	13	aux	_	_
13	sein	sein	V	VAINF	_	10	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	allweg	allweg	N	NE	_|Dat|_	16	objd	69	69
16	schadet	schaden	V	VVFIN	3|Sg|Pres|Ind	10	kon	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	16	subj	_	_
18	nicht	nicht	P	PTKNEG	_	16	adv	_	_
19	,	,	$	$,	_	0	root	_	_
20	es	es	P	PPER	3|Sg|Neut|_	25	expl	_	_
21	wird	werden	V	VAFIN	3|Sg|Pres|Ind	16	kon	_	_
22	heutzutage	heutzutage	A	ADV	_	25	adv	_	_
23	manch	manch	A	PIDAT	Neut|Nom|Sg	24	det	_	_
24	Schlechteres	Schlechteres	N	NN	Neut|Nom|Sg	21	subj	_	_
25	geredet	reden	V	VVPP	_	21	aux	_	_
26	,	,	$	$,	_	0	root	_	_
27	nicht	nicht	P	PTKNEG	_	28	adv	_	_
28	wahr	wahr	A	ADJD	Pos|	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
