1	Wells	Wells	N	NE	_|Nom|Sg	2	subj	20	20
14	dem	die	P	PRELS	Neut|Dat|Sg	13	pn	180	180
15	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	40	40
16	sich	sie	P	PRF	3|_|_	17	obja	_	_
17	umsah	umsehen	V	VVFIN	3|Sg|Past|Ind	11	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	17	kon	_	_
20	als	als	K	KOKOM	_	25	kom	_	_
21	er	er	P	PPER	3|Sg|Masc|Nom	20	cj	40	40
22	niemand	niemand	P	PIS	_|Nom|Sg	25	subj	_	_
23	weiter	weiter	A	ADV	_	22	adv	_	_
24	darin	darin	P	PROAV	_	25	objp	_	_
25	erblickte	erblicken	V	VVFIN	3|Sg|Past|_	19	cj	_	_
26	,	,	$	$,	_	0	root	_	_
27	nach	nach	P	APPR	Dat	30	pp	_	_
28	der	die	A	ART	Def|Fem|Dat|Sg	29	det	34	34
29	Tür	Tür	N	NN	Fem|Dat|Sg	27	pn	34	34
30	hinaufschaute	hinaufschauen	V	VVFIN	_|Sg|Past|_	0	root	_	_
31	,	,	$	$,	_	0	root	_	_
32	als	als	K	KOKOM	_	0	root	_	_
33	ob	ob	K	KOUS	_	39	konj	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	39	subj	40	40
35	seine	seine	A	PPOSAT	Fem|_|Sg	36	det	40	40
36	Büchse	Büchse	N	NN	Fem|_|Sg	38	obja	_	_
37	dort	dort	A	ADV	_	38	adv	_	_
38	auflegen	auflegen	V	VVINF	_	39	aux	_	_
39	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
40	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	schon	schon	A	ADV	_	2	adv	_	_
5	eine	eine	P	PIS	_|Nom|Sg	2	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	40	40
8	stellte	stellen	V	VVFIN	3|Sg|Past|_	2	kon	_	_
9	die	die	A	ART	Def|_|_|_	10	det	_	_
10	eigene	eigen	A	ADJA	_|_|_	8	obja	_	_
11	deshalb	deshalb	P	PROAV	_	8	pp	_	_
12	in	in	P	APPR	Acc	8	objp	_	_
13	die	die	A	ART	Def|_|Acc|_	14	det	_	_
14	Ecke	Eck	N	NN	_|Acc|_	12	pn	_	_
15	ans	an	P	APPRART	Acc	14	pp	_	_
16	Kamin	Kamin	N	NN	Masc|_|Sg	15	pn	119	119
17	,	,	$	$,	_	0	root	_	_
18	rückte	rücken	V	VVFIN	_|Sg|Past|_	8	kon	_	_
19	sich	sie	P	PRF	3|_|Dat	18	objd	_	_
20	einen	eine	A	ART	Indef|Masc|Acc|Sg	21	det	_	_
21	Stuhl	Stuhl	N	NN	Masc|Acc|Sg	18	obja	_	_
22	zum	zu	P	APPRART	Dat	18	objp	_	_
23	Feuer	Feuer	N	NN	Neut|Dat|Sg	22	pn	47	47
24	und	und	K	KON	_	18	kon	_	_
25	sah	sehen	V	VVFIN	_|Sg|Past|Ind	24	cj	_	_
26	,	,	$	$,	_	0	root	_	_
27	sein	seine	A	PPOSAT	Neut|_|Sg	29	det	47	47
28	rechtes	recht	A	ADJA	Pos|Neut|_|Sg|St|	29	attr	_	_
29	Bein	Bein	N	NN	Neut|_|Sg	0	root	_	_
30	auf	auf	P	APPR	Acc	29	pp	_	_
31	das	die	A	ART	Def|Neut|Acc|Sg	33	det	_	_
32	linke	link	A	ADJA	Pos|Neut|Acc|Sg|Wk|	33	attr	_	_
33	Knie	Knie	N	NN	Neut|Acc|Sg	30	pn	_	_
34	legend	legen	A	ADJD	_|<PPRES	0	root	_	_
35	,	,	$	$,	_	0	root	_	_
36	ruhig	ruhig	A	ADJD	Pos|	37	adv	_	_
37	in	in	P	APPR	Acc	0	root	_	_
38	die	die	A	ART	Def|Fem|Acc|Sg	39	det	182	182
39	Flamme	Flamme	N	NN	Fem|Acc|Sg	37	pn	182	182
40	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	181	181
5	alter	alt	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	181	181
6	Hund	Hund	N	NN	Masc|Nom|Sg	3	pred	181	181
7	,	,	$	$,	_	0	root	_	_
8	den	die	P	PRELS	Masc|Acc|Sg	0	root	181	181
9	Ihr	ihre	A	PPOSAT	_|_|Sg	0	root	182	182
10	da	da	K	KOUS	_	13	konj	_	_
11	bei	bei	P	APPR	Dat	13	pp	_	_
12	Euch	ihr	P	PPER	2|Pl|_|Dat	11	pn	_	_
13	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
14	«	«	$	$(	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
17	Mawler	Mawler	N	NE	_|Nom|Sg	16	subj	159	159
18	endlich	endlich	A	ADJD	Pos|	16	adv	_	_
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sehr	sehr	A	ADV	_	3	adv	_	_
3	alt	alt	A	ADJD	Pos|	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	erwiderte	erwidern	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	lakonisch	lakonisch	A	ADJD	Pos|	6	adv	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	40	40
9	Fremde	Fremde	N	NN	Masc|Nom|Sg	6	subj	40	40
10	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	40	40
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	selber	selber	A	ADV	_	2	adv	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	sehr	sehr	A	ADV	_	6	adv	_	_
6	jung	jung	A	ADJD	Pos|	2	adv	_	_
7	oder	oder	K	KON	_	2	kon	_	_
8	doch	doch	A	ADV	_	9	adv	_	_
9	arg	arg	A	ADJD	Pos|	10	adv	_	_
10	verwildert	verwildern	V	VVFIN	_|_|Pres|_	7	cj	_	_
11	aus	aus	P	PTKVZ	_	10	avz	_	_
12	,	,	$	$,	_	0	root	_	_
13	trug	tragen	V	VVFIN	_|Sg|Past|Ind	10	kon	_	_
14	ein	eine	A	ART	Indef|Neut|Nom|Sg	17	det	_	_
15	buntes	bunt	A	ADJA	Pos|Neut|Nom|Sg|St|	17	attr	_	_
16	zerrissenes	zerrissen	A	ADJA	Pos|Neut|Nom|Sg|St|	17	attr	_	_
17	Tuch	Tuch	N	NN	Neut|Nom|Sg	21	subj	_	_
18	um	um	P	APPR	Acc	21	pp	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	183	183
20	Kopf	Kopf	N	NN	Masc|Acc|Sg	18	pn	183	183
21	gebunden	binden	V	VVPP	_	13	neb	183	183
22	,	,	$	$,	_	0	root	183	183
23	unter	unter	P	APPR	Dat	29	pp	183	183
24	dem	die	P	PRELS	Masc|Dat|Sg	23	pn	183	183
25	die	die	A	ART	Def|Neut|Nom|Pl	28	det	_	_
26	langen	lang	A	ADJA	Pos|Neut|Nom|Pl|Wk|	28	attr	_	_
27	schwarzen	schwarz	A	ADJA	Pos|Neut|Nom|Pl|Wk|	28	attr	_	_
28	Haare	Haar	N	NN	Neut|Nom|Pl	29	subj	_	_
29	vorhingen	vorhängen	V	VVFIN	3|Pl|Past|_	20	rel	_	_
30	,	,	$	$,	_	0	root	_	_
31	aber	aber	K	KON	_	0	root	_	_
32	ein	eine	A	ART	Indef|Neut|_|Sg	36	det	_	_
33	noch	noch	A	ADV	_	34	adv	_	_
34	neues	neu	A	ADJA	Pos|Neut|_|Sg|St|	36	attr	_	_
35	ledernes	ledern	A	ADJA	Pos|Neut|_|Sg|St|	36	attr	_	_
36	Jagdhemd	Jagdhemd	N	NN	Neut|_|Sg	31	cj	_	_
37	auf	auf	P	APPR	Dat	36	pp	_	_
38	dem	die	A	ART	Def|Masc|Dat|Sg	40	det	184	184
39	bloßen	bloß	A	ADJA	Pos|Masc|Dat|Sg|Wk|	40	attr	184	184
40	Leib	Leib	N	NN	Masc|Dat|Sg	37	pn	184	184
41	,	,	$	$,	_	0	root	_	_
42	lederne	ledern	A	ADJA	Pos|Fem|_|Pl|St|	43	attr	_	_
43	Hosen	Hose	N	NN	Fem|_|Pl	36	app	_	_
44	,	,	$	$,	_	0	root	_	_
45	die	die	P	PRELS	_|_|_	0	root	184	184
46	an	an	P	APPR	Dat	0	root	_	_
47	den	die	A	ART	Def|Fem|Dat|Pl	48	det	_	_
48	Seiten	Seite	N	NN	Fem|Dat|Pl	46	pn	_	_
49	,	,	$	$,	_	0	root	_	_
50	wie	wie	P	PWAV	_	0	root	_	_
51	das	die	A	ART	Def|Neut|_|Sg	52	det	185	185
52	Jagdhemd	Jagdhemd	N	NN	Neut|_|Sg	0	root	185	185
53	,	,	$	$,	_	0	root	_	_
54	ausgefranst	ausgefranst	N	NE	_|Nom|Pl	55	subj	_	_
55	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
56	,	,	$	$,	_	0	root	_	_
57	und	und	K	KON	_	0	root	_	_
58	braun	braun	A	ADJD	Pos|	63	adv	52	52
59	geräucherte	geräucherte	A	ADJD	_	63	adv	52	52
60	,	,	$	$,	_	0	root	52	52
61	sehr	sehr	A	ADV	_	62	adv	52	52
62	zierlich	zierlich	A	ADJD	Pos|	59	kon	52	52
63	gearbeitete	gearbeitet	A	ADJA	Pos|_|_|_|_|	64	attr	52	52
64	Mokassins	Mokassins	N	NN	_|_|_	57	cj	52	52
65	.	.	$	$.	_	0	root	_	_

1	Mawler	Mawler	N	NE	_|Nom|Sg	2	subj	159	159
2	betrachtete	betrachten	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	5	5
4	aufmerksam	aufmerksam	A	ADJD	Pos|	2	adv	_	_
5	;	;	$	$.	_	0	root	_	_
6	das	die	A	ART	Def|Neut|Nom|Sg	7	det	186	186
7	Gesicht	Gesicht	N	NN	Neut|Nom|Sg	8	subj	186	186
8	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	ihm	er	P	PPER	3|Sg|_|Dat	8	objd	5	5
10	fast	fast	A	ADV	_	11	adv	_	_
11	bekannt	bekannt	A	ADJD	Pos|	8	pred	_	_
12	vor	vor	P	PTKVZ	_	8	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	5	5
15	konnte	können	V	VMFIN	3|Sg|Past|Ind	8	kon	_	_
16	sich	sie	P	PRF	3|_|_	21	obja	_	_
17	aber	aber	A	ADV	_	21	adv	_	_
18	doch	doch	A	ADV	_	21	adv	_	_
19	nicht	nicht	P	PTKNEG	_	21	adv	_	_
20	darauf	darauf	P	PROAV	_	21	objp	_	_
21	besinnen	besinnen	V	VVINF	_	15	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	wo	wo	P	PWAV	_	28	adv	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	5	5
25	es	es	P	PPER	3|Sg|Neut|_	28	obja	_	_
26	schon	schon	A	ADV	_	28	adv	_	_
27	einmal	einmal	A	ADV	_	28	adv	_	_
28	gesehen	sehen	V	VVPP	_	29	aux	_	_
29	haben	haben	V	VAINF	_	30	aux	_	_
30	mochte	mögen	V	VMFIN	3|Sg|Past|Ind	21	objc	_	_
31	.	.	$	$.	_	0	root	_	_

1	Überdies	überdies	A	ADV	_	2	adv	_	_
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	in	in	P	APPR	Dat	9	pp	_	_
4	letzter	letzte	A	ADJA	Pos|Fem|Dat|Sg|St|	5	attr	_	_
5	Zeit	Zeit	N	NN	Fem|Dat|Sg	3	pn	_	_
6	viele	viele	A	PIDAT	_|Nom|Pl	7	det	188	188
7	Leute	Leute	N	NN	_|Nom|Pl	2	subj	188	188
8	hier	hier	A	ADV	_	9	adv	_	_
9	vorbeigekommen	vorbeikommen	V	VVPP	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	um	um	K	KOUI	_	17	konj	_	_
12	nach	nach	P	APPR	Dat	17	objp	_	_
13	dem	die	A	ART	Def|Neut|Dat|Sg	15	det	187	187
14	indianischen	indianisch	A	ADJA	Pos|Neut|Dat|Sg|Wk|	15	attr	187	187
15	Territorium	Territorium	N	NN	Neut|Dat|Sg	12	pn	187	187
16	zu	zu	P	PTKZU	_	17	part	_	_
17	ziehen	ziehen	V	VVINF	_	2	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	da	da	K	KOUS	_	22	konj	_	_
20	ein	eine	A	ART	Indef|Neut|Nom|Sg	21	det	_	_
21	Gerücht	Gerücht	N	NN	Neut|Nom|Sg	22	subj	_	_
22	umlief	umlaufen	V	VVFIN	3|Sg|Past|Ind	17	neb	_	_
23	,	,	$	$,	_	0	root	_	_
24	die	die	A	ART	Def|Fem|Nom|Sg	25	det	_	_
25	Regierung	Regierung	N	NN	Fem|Nom|Sg	29	subj	_	_
26	der	die	A	ART	Def|_|_|_	28	det	_	_
27	Vereinigten	vereinigt	A	ADJA	Pos|_|Gen|_|Wk|	28	attr	_	_
28	Staaten	Staat	N	NN	_|Gen|_	25	gmod	_	_
29	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	2	kon	_	_
30	den	die	A	ART	Def|_|_|_	31	det	_	_
31	Chocktaws	Chocktaws	N	NN	_|_|_	29	obja	_	_
32	und	und	K	KON	_	31	kon	_	_
33	Cherokesen	Cherokesen	N	NE	_|_|_	32	cj	_	_
34	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
35	ihnen	sie	P	PPER	3|Pl|_|Dat	0	root	188	188
36	dort	dort	A	ADV	_	38	adv	_	_
37	früher	früh	A	ADJD	_|	38	adv	_	_
38	angewiesene	angewiesen	A	ADJA	Pos|Neut|_|Sg|Wk|	39	attr	_	_
39	Land	Land	N	NN	Neut|_|Sg	0	root	_	_
40	wieder	wieder	A	ADV	_	39	adv	_	_
41	abkaufen	abkaufen	V	VVINF	_	0	root	_	_
42	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	zogen	ziehen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	denn	denn	A	ADV	_	2	adv	_	_
5	die	die	A	ART	Def|Masc|Nom|Pl	6	det	248	248
6	Pioniere	Pionier	N	NN	Masc|Nom|Pl	53	pred	248	248
7	und	und	K	KON	_	6	kon	_	_
8	Squatter	Squatter	N	NN	Masc|Nom|Pl	7	cj	189	189
9	des	die	A	ART	Def|Masc|Gen|Sg	10	det	189	189
10	Westens	Westen	N	NN	Masc|Gen|Sg	6	gmod	189	189
11	,	,	$	$,	_	0	root	189	189
12	die	die	P	PRELS	Masc|Nom|Pl	31	subj	189	189
13	in	in	P	APPR	Dat	31	pp	_	_
14	diesem	diese	A	PDAT	Masc|Dat|Sg	15	det	190	190
15	Fall	Fall	N	NN	Masc|Dat|Sg	13	pn	190	190
16	einen	eine	A	ART	Indef|Masc|Acc|Sg	17	det	_	_
17	Zusammenstoß	Zusammenstoß	N	NN	Masc|Acc|Sg	31	obja	_	_
18	mit	mit	P	APPR	Dat	31	pp	_	_
19	den	die	A	ART	Def|Masc|Dat|Pl	21	det	_	_
20	wilden	wild	A	ADJA	Pos|Masc|Dat|Pl|_|	21	attr	_	_
21	Stämmen	Stamm	N	NN	Masc|Dat|Pl	18	pn	_	_
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	für	für	P	APPR	Acc	21	pp	_	_
24	unmöglich	unmöglich	A	ADJD	Pos|	23	pn	_	_
25	,	,	$	$,	_	0	root	_	_
26	ja	ja	A	ADV	_	28	adv	_	_
27	eher	eher	A	ADV	_	28	adv	_	_
28	für	für	P	APPR	Acc	24	kon	_	_
29	sehr	sehr	A	ADV	_	30	adv	_	_
30	wahrscheinlich	wahrscheinlich	A	ADJD	Pos|	28	pn	_	_
31	hielten	halten	V	VVFIN	3|Pl|Past|_	8	rel	_	_
32	,	,	$	$,	_	0	root	_	_
33	in	in	P	APPR	_	31	objp	_	_
34	Menge	Menge	N	NN	Fem|_|Sg	33	pn	_	_
35	dort	dort	A	ADV	_	33	adv	_	_
36	hinauf	hinauf	A	ADV	_	33	adv	_	_
37	,	,	$	$,	_	0	root	_	_
38	um	um	K	KOUI	_	44	konj	_	_
39	gleich	gleich	A	ADJD	Pos|	44	pred	_	_
40	bei	bei	P	APPR	Dat	44	pp	_	_
41	der	die	A	ART	Def|Fem|Dat|Sg	42	det	44	44
42	Hand	Hand	N	NN	Fem|Dat|Sg	40	pn	44	44
43	zu	zu	P	PTKZU	_	44	part	_	_
44	sein	sein	V	VAINF	_	31	neb	_	_
45	und	und	K	KON	_	44	kon	_	_
46	irgendeinen	irgendeinen	A	ADJA	_|Masc|_|Sg|_	48	attr	_	_
47	guten	gut	A	ADJA	Pos|Masc|_|Sg|_|	48	attr	_	_
48	Platz	Platz	N	NN	Masc|_|Sg	51	obja	_	_
49	im	in	P	APPRART	Dat	51	pp	_	_
50	Vorkaufsrecht	Vorkaufsrecht	N	NN	Neut|Dat|Sg	49	pn	_	_
51	nehmen	nehmen	V	VVINF	_	45	cj	_	_
52	zu	zu	P	PTKZU	_	53	part	_	_
53	können	können	V	VMINF	_	2	obji	_	_
54	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	2	subj	_	_
2	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	den	die	A	ART	Def|_|Dat|Pl	4	det	188	188
4	Leuten	Leute	N	NN	_|Dat|Pl	2	objd	188	188
5	an	an	P	APPR	Dat	2	objp	_	_
6	einem	eine	A	ART	Indef|Masc|Dat|Sg	7	det	_	_
7	Kampf	Kampf	N	NN	Masc|Dat|Sg	5	pn	_	_
8	mit	mit	P	APPR	Dat	7	pp	_	_
9	den	die	A	ART	Def|Fem|Dat|Pl	10	det	191	191
10	Rothäuten	Rothaut	N	NN	Fem|Dat|Pl	8	pn	191	191
11	?	?	$	$.	_	0	root	_	_

1	Den	die	P	PDS	Masc|Acc|Sg	7	obja	_	_
2	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	191	191
4	sich	sie	P	PRF	3|_|Dat	7	objd	_	_
5	lange	lange	A	ADJD	_	7	adv	_	_
6	schon	schon	A	ADV	_	7	adv	_	_
7	gewünscht	wünschen	V	VVPP	_	2	aux	_	_
8	und	und	K	KON	_	0	root	_	_
9	überhaupt	überhaupt	A	ADV	_	11	adv	_	_
10	den	die	A	ART	Def|Masc|Dat|Pl	11	det	_	_
11	Indianern	Indianer	N	NN	Masc|Dat|Pl	8	cj	_	_
12	seit	seit	P	APPR	Dat	16	pp	192	192
13	Jahren	Jahr	N	NN	Neut|Dat|Pl	12	pn	192	192
14	das	die	A	ART	Def|Neut|Nom|Sg	16	det	192	192
15	gute	gut	A	ADJA	Pos|Neut|Nom|Sg|Wk|	16	attr	192	192
16	Land	Land	N	NN	Neut|Nom|Sg	17	subj	192	192
17	mißgönnt	mißgönnt	V	VVFIN	_|Sg|_|_	0	root	192	192
18	,	,	$	$,	_	0	root	192	192
19	das	die	P	PRELS	Neut|_|Sg	22	obja	192	192
20	sie	sie	P	PPER	3|Pl|_|Nom	22	subj	191	191
21	dort	dort	A	ADV	_	22	adv	_	_
22	besaßen	besitzen	V	VVFIN	3|Pl|Past|Ind	16	rel	_	_
23	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	8	adv	_	_
2	sich	sie	P	PRF	3|_|_	8	obja	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	193	193
4	Gerücht	Gerücht	N	NN	Neut|Nom|Sg	8	subj	193	193
5	endlich	endlich	A	ADJD	Pos|	8	adv	_	_
6	als	als	K	KOKOM	_	8	kom	_	_
7	falsch	falsch	A	ADJD	Pos|	6	cj	_	_
8	erwies	erweisen	V	VVFIN	3|Sg|Past|Ind	10	objc	_	_
9	,	,	$	$,	_	0	root	_	_
10	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	die	die	A	ART	Def|Fem|Nom|Sg	12	det	194	194
12	Mehrzahl	Mehrzahl	N	NN	Fem|Nom|Sg	10	subj	194	194
13	wieder	wieder	A	ADV	_	10	adv	_	_
14	zurück	zurück	A	ADV	_	10	adv	_	_
15	in	in	P	APPR	Acc	10	pp	_	_
16	ihre	ihre	A	PPOSAT	Masc|Acc|Pl	18	det	194	194
17	alten	alt	A	ADJA	Pos|Masc|Acc|Pl|Wk|	18	attr	_	_
18	Jagdgründe	Jagdgrund	N	NN	Masc|Acc|Pl	15	pn	_	_
19	,	,	$	$,	_	0	root	_	_
20	meist	meist	A	ADV	_	24	adv	_	_
21	eben	eben	A	ADV	_	22	adv	_	_
22	solch	solch	A	PIDAT	_|_|_	24	det	_	_
23	abenteuerliche	abenteuerlich	A	ADJA	Pos|_|_|_|_|	24	attr	_	_
24	Gestalten	Gestalt	N	NN	_|_|_	0	root	_	_
25	wie	wie	K	KOKOM	_	24	kom	_	_
26	diese	diese	P	PDS	_|_|_	25	cj	_	_
27	hier	hier	A	ADV	_	24	adv	_	_
28	und	und	K	KON	_	27	kon	_	_
29	auf	auf	P	APPR	Acc	28	cj	_	_
30	ein	eine	A	ART	Indef|Neut|Acc|Sg	31	det	_	_
31	Leben	Leben	N	NN	Neut|Acc|Sg	29	pn	_	_
32	in	in	P	APPR	Dat	31	pp	_	_
33	der	die	A	ART	Def|Fem|Dat|Sg	34	det	195	195
34	Wildnis	Wildnis	N	NN	Fem|Dat|Sg	32	pn	195	195
35	nun	nun	A	ADV	_	32	adv	_	_
36	schon	schon	A	ADV	_	32	adv	_	_
37	einmal	einmal	A	ADV	_	32	adv	_	_
38	von	von	P	APPR	_	24	pp	_	_
39	Jugend	Jugend	N	NN	Fem|_|Sg	38	pn	_	_
40	auf	auf	P	PTKVZ	_	0	root	_	_
41	angewiesen	anweisen	V	VVPP	_	0	root	_	_
42	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wessen	Wessen	F	FM	Fem|Nom|Sg	4	pred	_	_
3	Farm	Farm	N	NN	Fem|Nom|Sg	2	app	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	dies	dies	P	PDS	Neut|Nom|Sg	4	subj	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	40	40
10	Fremde	Fremde	N	NN	Masc|Nom|Sg	8	subj	40	40
11	endlich	endlich	A	ADJD	Pos|	8	adv	_	_
12	nach	nach	P	APPR	Dat	8	pp	_	_
13	einer	eine	A	ART	Indef|Fem|Dat|Sg	15	det	_	_
14	langen	lang	A	ADJA	Pos|Fem|Dat|Sg|Wk|	15	attr	_	_
15	Pause	Pause	N	NN	Fem|Dat|Sg	12	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	indem	indem	K	KOUS	_	32	konj	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	32	subj	40	40
19	mit	mit	P	APPR	Dat	32	pp	_	_
20	dem	die	A	ART	Def|Masc|Dat|Sg	21	det	_	_
21	Fuß	Fuß	N	NN	Masc|Dat|Sg	19	pn	_	_
22	dabei	dabei	P	PROAV	_	21	pp	_	_
23	eins	eins	C	CARD	_	21	app	_	_
24	der	die	A	ART	Def|Neut|Gen|Pl	26	det	_	_
25	herausgefallenen	herausgefallt	A	ADJA	Pos|Neut|Gen|Pl|Wk|	26	attr	_	_
26	Stücke	Stück	N	NN	Neut|Gen|Pl	23	gmod	_	_
27	Holz	Holz	N	NN	Neut|Dat|Sg	32	objd	196	196
28	wieder	wieder	A	ADV	_	32	adv	_	_
29	in	in	P	APPR	Acc	32	objp	_	_
30	die	die	A	ART	Def|Fem|Acc|Pl	31	det	209	209
31	Kohlen	Kohl	N	NN	Fem|Acc|Pl	29	pn	209	209
32	schob	schieben	V	VVFIN	3|Sg|Past|Ind	8	neb	_	_
33	,	,	$	$,	_	0	root	_	_
34	daß	daß	K	KOUS	_	37	konj	_	_
35	es	es	P	PPER	3|Sg|Neut|Nom	37	subj	_	_
36	hell	hell	A	ADJD	Pos|	37	adv	_	_
37	aufloderte	auflodern	V	VVFIN	3|Sg|Past|_	32	objc	_	_
38	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Meine	meinen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	2	s	_	_
6	Mawler	Mawler	N	NE	_|Nom|Sg	5	subj	159	159
7	,	,	$	$,	_	0	root	_	_
8	seine	seine	A	PPOSAT	Fem|_|Sg	9	det	159	159
9	Arbeit	Arbeit	N	NN	Fem|_|Sg	0	root	_	_
10	an	an	P	APPR	Acc	9	pp	_	_
11	dein	deine	A	PPOSAT	Neut|Acc|Sg	12	det	_	_
12	Ochsenjoch	Ochsenjoch	N	NN	Neut|Acc|Sg	10	pn	_	_
13	wieder	wieder	A	ADV	_	10	adv	_	_
14	aufnehmend	aufnehmen	A	ADJD	_|<PPRES	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	Euer	eure	A	PPOSAT	Masc|Nom|Sg	4	det	_	_
4	Name	Name	N	NN	Masc|Nom|Sg	2	cj	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	40	40
9	Fremde	Fremde	N	NN	Masc|Nom|Sg	7	subj	40	40
10	wieder	wieder	A	ADV	_	7	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	ohne	ohne	K	KOUI	_	17	konj	_	_
13	seinen	seine	A	PPOSAT	Masc|_|Sg	14	det	40	40
14	Wirt	Wirt	N	NN	Masc|_|Sg	17	obja	_	_
15	jedoch	jedoch	A	ADV	_	17	adv	_	_
16	dabei	dabei	P	PROAV	_	17	pp	_	_
17	anzusehen	ansehen	V	VVIZU	_	7	neb	_	_
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Mawler	Mawler	N	NE	_	0	root	159	159
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Alte	alt	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Lady	Lady	N	NN	Fem|_|Sg	0	root	_	_
4	tot	tot	A	ADJD	_	0	root	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	forschte	forschen	V	VVFIN	3|Sg|Past|_	0	root	_	_
