1	Himmel	Himmel	N	NN	Masc|_|_	0	root	482	482
35	Kunsthöhe	Kunsthöhe	N	NN	Fem|Gen|Sg	32	gmod	_	_
36	,	,	$	$,	_	0	root	_	_
37	wenn	wenn	K	KOUS	_	55	konj	_	_
38	ein	eine	A	ART	Indef|Masc|Nom|Sg	39	det	_	_
39	Mann	Mann	N	NN	Masc|Nom|Sg	55	subj	_	_
40	,	,	$	$,	_	0	root	_	_
41	um	um	K	KOUI	_	46	konj	_	_
42	für	für	P	APPR	Acc	46	pp	_	_
43	einen	eine	A	ART	Indef|Masc|Acc|Sg	44	det	_	_
44	Kenner	Kenner	N	NN	Masc|Acc|Sg	42	pn	_	_
45	zu	zu	P	PTKZU	_	46	part	_	_
46	gelten	gelten	V	VVINF	_	55	neb	_	_
47	,	,	$	$,	_	0	root	_	_
48	sich	sie	P	PRF	3|_|_	55	obja	_	_
49	schon	schon	A	ADV	_	55	adv	_	_
50	von	von	P	APPR	Dat	55	pp	_	_
51	deren	die	A	PDAT	Masc|Dat|Sg	53	det	_	_
52	erstem	erst	A	ADJA	_|Masc|Dat|Sg|St|	53	attr	_	_
53	Anblicke	Anblick	N	NN	Masc|Dat|Sg	50	pn	_	_
54	entzückt	entzückt	A	ADJD	Pos|	55	adv	_	_
55	anstellt	anstellen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
56	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|_|_|Sg	2	part	_	_
2	anderes	andere	P	PIS	Neut|_|Sg	3	grad	_	_
3	aber	aber	A	ADV	_	4	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	10	konj	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	6	6
8	diese	diese	A	PDAT	Neut|_|Pl	9	det	_	_
9	Kunstwerke	Kunstwerk	N	NN	Neut|_|Pl	10	obja	_	_
10	studiert	studieren	V	VVFIN	3|Sg|Pres|Ind	4	neb	_	_
11	und	und	K	KON	_	0	root	_	_
12	sie	sie	P	PPER	3|_|_|_	11	cj	1327	1327
13	alsdann	alsdann	A	ADV	_	12	adv	_	_
14	würdigt	würdigen	V	VVPP	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	genießt	genießen	V	VVFIN	_|_|Pres|Ind	15	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	was	was	P	PRELS	Neut|Nom|Sg	21	subj	1327	1327
19	mein	meine	A	PPOSAT	Masc|Nom|Sg	20	det	1324	1324
20	Fall	Fall	N	NN	Masc|Nom|Sg	21	pred	_	_
21	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	rel	_	_
22	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	_|_|Sg	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	1324	1324
5	bisher	bisher	A	ADV	_	6	adv	_	_
6	vorgebracht	vorbringen	V	VVPP	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	bitt	bitt	F	FM	_	0	root	_	_
9	'	'	$	$(	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1324	1324
11	den	die	A	ART	Def|Masc|Acc|Sg	13	det	_	_
12	lebensbeschreibenden	lebensbeschreibend	A	ADJA	Pos|Masc|Acc|Sg|_|<PPRES	13	attr	_	_
13	Gelehrten-Verein	Gelehrten-Verein	N	NN	Masc|Acc|Sg	27	obja	_	_
14	nur	nur	A	ADV	_	27	adv	_	_
15	für	für	P	APPR	Acc	27	pp	_	_
16	eine	eine	A	ART	Indef|Fem|Acc|Sg	18	det	_	_
17	matte	matt	A	ADJA	Pos|Fem|Acc|Sg|_|	18	attr	_	_
18	Abschattung	Abschattung	N	NN	Fem|Acc|Sg	15	pn	_	_
19	des	die	A	ART	Def|Neut|Gen|Sg	21	det	_	_
20	großen	groß	A	ADJA	Pos|Neut|Gen|Sg|_|	21	attr	_	_
21	Deckenstücks	Deckenstück	N	NN	Neut|Gen|Sg	18	gmod	_	_
22	von	von	P	APPR	Dat	21	pp	_	_
23	Kopf-	Kopf-	T	TRUNC	Neut|_|Sg	22	pn	_	_
24	und	und	K	KON	_	23	kon	_	_
25	Bruststück	Bruststück	N	NN	Neut|_|Sg	24	cj	1328	1328
26	zu	zu	P	PTKZU	_	27	part	_	_
27	nehmen	nehmen	V	VVINF	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	das	die	P	PRELS	Neut|_|Sg	0	root	1328	1328
30	der	die	A	ART	Def|Masc|Nom|Sg	31	det	_	_
31	Selige	Selige	N	NN	Masc|Nom|Sg	44	subj	_	_
32	oben	oben	A	ADV	_	31	adv	_	_
33	an	an	P	APPR	Acc	44	pp	_	_
34	das	die	A	ART	Def|Neut|Acc|Sg	35	det	1329	1329
35	Pantheon	Pantheon	N	NN	Neut|Acc|Sg	33	pn	1329	1329
36	seines	seine	A	PPOSAT	Masc|Gen|Sg	37	det	1329	1329
37	Ruhm-Tempels	Ruhm-Tempel	N	NN	Masc|Gen|Sg	35	gmod	_	_
38	,	,	$	$,	_	0	root	_	_
39	gleichsam	gleichsam	A	ADJD	_	44	adv	_	_
40	aus	aus	P	APPR	Dat	44	objp	_	_
41	den	die	A	ART	Def|_|Dat|Pl	42	det	_	_
42	Abcbildern	Abcbild	N	NN	_|Dat|Pl	40	pn	_	_
43	musivisch	musivisch	N	NE	_|Dat|Pl	42	app	_	_
44	zusammengesetzt	zusammensetzen	V	VVPP	_	47	neb	_	_
45	,	,	$	$,	_	0	root	_	_
46	geworfen	werfen	V	VVPP	_	47	aux	_	_
47	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
48	.	.	$	$.	_	0	root	_	_

1	Freilich	freilich	A	ADV	_	2	adv	_	_
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	meine	meine	A	PPOSAT	Neut|Nom|Pl	5	det	1324	1324
4	heutigen	heutig	A	ADJA	Pos|Neut|Nom|Pl|Wk|	5	attr	_	_
5	Worte	Wort	N	NN	Neut|Nom|Pl	2	subj	_	_
6	nur	nur	A	ADV	_	2	adv	_	_
7	ein	eine	A	ART	Indef|Neut|Nom|Sg	10	det	1330	1330
8	paar	paar	A	PIDAT	_|Nom|_	10	attr	1330	1330
9	ausgerupfte	ausgerupfte	A	ADJA	_|_|Nom|_|_	10	attr	1330	1330
10	Schwanzfedern	Schwanzfeder	N	NN	Fem|Nom|Pl	2	pred	1330	1330
11	als	als	K	KOKOM	_	10	kom	1330	1330
12	Kopfputz	Kopfputz	N	NN	Masc|_|Sg	11	cj	1330	1330
13	,	,	$	$,	_	0	root	1330	1330
14	welche	welche	P	PRELS	Fem|Nom|Pl	23	subj	1330	1330
15	nur	nur	A	ADV	_	23	adv	_	_
16	wenig	wenig	A	ADV	_	23	adv	_	_
17	die	die	A	ART	Def|Fem|_|Sg	19	det	_	_
18	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	19	attr	_	_
19	Größe	Größe	N	NN	Fem|_|Sg	23	obja	_	_
20	des	die	A	ART	Def|_|Gen|Sg	21	det	_	_
21	Vogel	Vogel	N	NN	_|Gen|Sg	19	gmod	_	_
22	Strauß	Strauß	N	NE	_|Gen|Sg	21	app	_	_
23	aussprechen	aussprechen	V	VVFIN	3|Pl|Pres|_	10	rel	_	_
24	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	2	adv	_	_
2	von	von	P	APPR	Dat	9	pp	_	_
3	den	die	A	ART	Def|_|Dat|Pl	4	det	_	_
4	Beiträgen	Beitrag	N	NN	_|Dat|Pl	2	pn	_	_
5	des	die	A	ART	Def|Masc|Gen|Sg	8	det	_	_
6	ganzen	ganz	A	ADJA	Pos|Masc|Gen|Sg|_|	8	attr	_	_
7	lebensbeschreibenden	lebensbeschreibend	A	ADJA	Pos|Masc|Gen|Sg|_|<PPRES	8	attr	_	_
8	Gelehrten-Vereins	Gelehrten-Verein	N	NN	Masc|Gen|Sg	4	gmod	_	_
9	unterstützt	unterstützen	V	VVFIN	_|_|Pres|Ind	20	s	_	_
10	,	,	$	$,	_	0	root	_	_
11	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	1324	1324
13	in	in	P	APPR	Dat	20	pp	_	_
14	den	die	A	ART	Def|Fem|Dat|Pl	16	det	1332	1332
15	nächsten	nah	A	ADJA	_|Fem|Dat|Pl|_|	16	attr	1332	1332
16	Sitzungen	Sitzung	N	NN	Fem|Dat|Pl	13	pn	1332	1332
17	an	an	P	APPR	Acc	20	objp	_	_
18	die	die	A	ART	Def|Fem|Acc|Sg	19	det	1331	1331
19	Lebensbeschreibung	Lebensbeschreibung	N	NN	Fem|Acc|Sg	17	pn	1331	1331
20	gehen	gehen	V	VVINF	_	11	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	soll	sollen	V	VMFIN	_|Sg|Pres|Ind	11	kon	_	_
23	sie	sie	P	PPER	3|_|_|_	29	obja	1331	1331
24	anders	anders	A	ADV	_	25	adv	_	_
25	mehr	mehr	A	ADV	_	26	adv	_	_
26	als	als	K	KOKOM	_	29	kom	_	_
27	gewöhnliches	gewöhnlich	A	ADJA	Pos|Neut|_|Sg|St|	28	attr	_	_
28	Interesse	Interesse	N	NN	Neut|_|Sg	26	cj	_	_
29	erregen	erregen	V	VVINF	_	22	aux	_	_
30	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	5	pp	_	_
2	den	die	A	ART	Def|Fem|Dat|Pl	4	det	1332	1332
3	nächsten	nah	A	ADJA	_|Fem|Dat|Pl|_|	4	attr	1332	1332
4	Sitzungen	Sitzung	N	NN	Fem|Dat|Pl	1	pn	1332	1332
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
7	nun	nun	A	ADV	_	5	adv	_	_
8	von	von	P	APPR	_	5	pp	_	_
9	der	die	A	ART	Def|Fem|_|Sg	11	det	_	_
10	höchsten	hoch	A	ADJA	Sup|Fem|_|Sg|Wk|	11	attr	_	_
11	Wichtigkeit	Wichtigkeit	N	NN	Fem|_|Sg	8	pn	_	_
12	so	so	A	ADV	_	5	adv	_	_
13	wie	wie	K	KOKOM	_	5	kom	_	_
14	Wirkung	Wirkung	N	NN	Fem|_|Sg	13	cj	_	_
15	für	für	P	APPR	Acc	5	pp	_	_
16	uns	wir	P	PPER	1|Pl|_|Acc	15	pn	_	_
17	,	,	$	$,	_	0	root	_	_
18	in	in	P	APPR	Acc	25	objp	_	_
19	die	die	A	ART	Def|Masc|Acc|Pl	20	det	_	_
20	Fußstapfen	Fußstapfen	N	NN	Masc|Acc|Pl	18	pn	_	_
21	der	die	A	ART	Def|Masc|Gen|Pl	23	det	1333	1333
22	größten	groß	A	ADJA	Sup|Masc|Gen|Pl|Wk|	23	attr	1333	1333
23	Biographen	Biograph	N	NN	Masc|Gen|Pl	20	gmod	1333	1333
24	zu	zu	P	PTKZU	_	25	part	_	_
25	treten	treten	V	VVINF	_	5	obji	_	_
26	und	und	K	KON	_	25	kon	_	_
27	alle	alle	A	PIDAT	Fem|_|Pl	28	det	_	_
28	Fragen	Frage	N	NN	Fem|_|Pl	31	obja	_	_
29	genau	genau	A	ADJD	Pos|	31	adv	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	beantworten	beantworten	V	VVINF	_	26	cj	_	_
32	,	,	$	$,	_	0	root	_	_
33	welche	welche	P	PRELS	Fem|Nom|Sg	40	subj	_	_
34	die	die	A	ART	Def|Fem|_|Sg	35	det	225	225
35	Welt	Welt	N	NN	Fem|_|Sg	40	obja	225	225
36	an	an	P	APPR	Acc	40	pp	_	_
37	die	die	P	PDS	_|Acc|_	36	pn	_	_
38	eines	eine	A	ART	Indef|_|Gen|Sg	39	det	53	53
39	Fibels	Fibels	N	NN	_|Gen|Sg	37	gmod	53	53
40	tut	tun	V	VVFIN	3|Sg|Pres|Ind	14	rel	_	_
41	-	-	$	$(	_	0	root	_	_

1	über	über	P	APPR	_	9	objp	_	_
2	des	die	A	ART	Def|_|Gen|Sg	3	det	_	_
3	Helden	Held	N	NN	Fem|Gen|Sg	1	pn	_	_
4	Geburt	Geburt	N	NN	Fem|Gen|Sg	3	app	_	_
5	und	und	K	KON	_	4	kon	_	_
6	Eltern	Elter	N	NN	_|Gen|Pl	5	cj	7	7

1	über	über	P	APPR	_	0	root	_	_
2	dessen	die	A	PDAT	Masc|_|_	3	det	_	_
3	Briefwechsel	Briefwechsel	N	NN	Masc|_|_	1	pn	_	_
4	-	-	$	$(	_	0	root	_	_

1	über	über	P	APPR	_	0	root	_	_
2	dessen	die	A	PDAT	_	3	det	_	_
3	Latinität	Latinität	N	NN	_|_|_	1	pn	_	_
4	,	,	$	$,	_	0	root	_	_
5	Gräzität	Gräzität	N	NE	_|_|_	3	kon	1413	1413
6	,	,	$	$,	_	0	root	1413	1413
7	Hebräizität	Hebräizität	N	NE	_|_|_	5	kon	1413	1413
8	-	-	$	$(	_	0	root		

1	über	über	P	APPR	_	0	root	_	_
2	dessen	die	A	PDAT	Masc|_|_	3	det	_	_
3	Lieblings-Menschen	Lieblings-Mensch	N	NN	Masc|_|_	1	pn	_	_
4	und	und	K	KON	_	3	kon	_	_
5	Lieblings-Essen	Lieblings-Esse	N	NN	_|_|_	4	cj	_	_
6	-	-	$	$(	_	0	root	_	_

1	über	über	P	APPR	_	0	root	_	_
2	dessen	die	A	PDAT	Fem|_|Pl	3	det	_	_
3	Schriften	Schrift	N	NN	Fem|_|Pl	1	pn	_	_
4	und	und	K	KON	_	3	kon	_	_
5	Verbesserungen	Verbesserung	N	NN	Fem|_|Pl	4	cj	1334	1334
6	derselben	dieselbe	A	PDAT	_|_|_	0	root	_	_
7	-	-	$	$(	_	0	root	_	_

1	über	über	P	APPR	_	0	root	_	_
2	andere	andere	A	ADJA	_|Fem|_|Pl|_	3	attr	1335	1335
3	Schriften	Schrift	N	NN	Fem|_|Pl	1	pn	1335	1335
4	,	,	$	$,	_	0	root	_	_
5	die	die	P	PRELS	_|_|_	0	root	1335	1335
6	ihn	er	P	PPER	3|Sg|Masc|Acc	8	obja	6	6
7	bloß	bloß	A	ADV	_	8	adv	_	_
8	zitieren	zitieren	V	VVINF	_	0	root	_	_
9	-	-	$	$(	_	0	root	_	_

1	über	über	P	APPR	Acc	0	root	_	_
2	andere	andere	A	ADJA	_|_|Acc|_|_	3	attr	1336	1336
3	Gelehrte	Gelehrte	N	NN	_|Acc|_	1	pn	1336	1336
4	,	,	$	$,	_	0	root	_	_
5	die	die	P	PRELS	_|_|_	0	root	1336	1336
6	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	6	6
7	gekannt	kennen	V	VVPP	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	wovon	wovon	P	PWAV	_	0	root	_	_
10	Scioppius	Scioppius	N	NE	_	0	root	_	_
11	eine	eine	A	ART	Indef|Fem|_|Sg	13	det	_	_
12	vollständige	vollständig	A	ADJA	Pos|Fem|_|Sg|_|	13	attr	_	_
13	Liste	Liste	N	NN	Fem|_|Sg	0	root	_	_
14	der	die	A	ART	Def|_|_|_	0	root	_	_
15	seinigen	seinige	P	PPOSS	_|_|_	25	obja	_	_
16	in	in	P	APPR	Dat	25	pp	_	_
17	einer	eine	A	ART	Indef|Fem|Dat|Sg	18	det	_	_
18	Handschrift	Handschrift	N	NN	Fem|Dat|Sg	16	pn	_	_
19	in	in	P	APPR	Dat	25	pp	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
21	königlichen	königlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	22	attr	_	_
22	Bibliothek	Bibliothek	N	NN	Fem|Dat|Sg	19	pn	_	_
23	zu	zu	P	APPR	Dat	25	pp	_	_
24	Neapel	Neapel	N	NE	Neut|Dat|Sg	23	pn	1337	1337
25	hinterlassen	hinterlassen	V	VVINF	_	0	root	_	_
26	-	-	$	$(	_	0	root	_	_

1	über	über	P	APPR	Acc	8	pp	_	_
2	seine	seine	A	PPOSAT	Fem|Acc|Pl	4	det	6	6
3	gelehrten	gelehrt	A	ADJA	Pos|Fem|Acc|Pl|Wk|	4	attr	_	_
4	Streitigkeiten	Streitigkeit	N	NN	Fem|Acc|Pl	1	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	Ehrenbezeugungen	Ehrenbezeugung	N	NN	Fem|Acc|Pl	4	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	Lächerlichkeiten	Lächerlichkeit	N	NN	Fem|_|Pl	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	übriges	übrig	A	ADJA	Pos|Neut|_|Sg|St|	9	cj	_	_
11	-	-	$	$(	_	0	root	_	_

1	über	über	P	APPR	_	0	root	_	_
2	seinen	seine	A	PPOSAT	_|_|Sg	3	det	6	6
3	Todestag	Todestag	N	NN	Masc|_|Sg	1	pn	1338	1338
4	,	,	$	$,	_	0	root	1338	1338
5	der	die	P	PRELS	Masc|Nom|Sg	10	subj	1338	1338
6	gar	gar	A	ADV	_	8	adv	_	_
7	noch	noch	A	ADV	_	8	adv	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	auszumachen	ausmachen	V	VVIZU	_	10	obji	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	rel	_	_
11	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Auf	auf	P	APPR	Acc	6	pp	_	_
4	diese	diese	A	PDAT	_|Acc|_	5	det	358	358
5	Weise	Weise	N	NN	_|Acc|_	3	pn	358	358
6	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
7	vielleicht	vielleicht	A	ADV	_	21	adv	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	1309	1309
9	Selige	Selige	N	NN	Masc|Nom|Sg	6	subj	1309	1309
10	mit	mit	P	APPR	Dat	21	pp	_	_
11	Wohlgefallen	Wohlgefallen	N	NN	_|Dat|_	10	pn	_	_
12	aus	aus	P	APPR	Dat	21	pp	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	14	det	_	_
14	Schoße	Schoß	N	NN	Masc|Dat|Sg	12	pn	_	_
15	Abrahams	Abraham	N	NE	Masc|Gen|Sg	14	gmod	_	_
16	herunter	herunter	A	ADV	_	21	adv	_	_
17	auf	auf	P	APPR	Acc	21	pp	_	_
18	unsere	unsre	A	PPOSAT	Fem|Acc|Sg	20	det	1339	1339
19	biographische	biographisch	A	ADJA	Pos|Fem|Acc|Sg|_|	20	attr	_	_
20	Fibelei	Fibelei	N	NN	Fem|Acc|Sg	17	pn	_	_
21	sehen	sehen	V	VVINF	_	6	aux	_	_
22	und	und	K	KON	_	0	root	_	_
23	droben	droben	T	TRUNC	_	0	root	_	_
24	für	für	P	APPR	Acc	26	pp	_	_
25	uns	wir	P	PPER	1|Pl|_|Acc	24	pn	1339	1339
26	wirken	wirken	V	VVINF	_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Darauf	Darauf	P	PROAV	_	2	pp	_	_
2	hob	heben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	1340	1340
5	Sitzung	Sitzung	N	NN	Fem|Nom|Sg	2	subj	1340	1340
6	einmütig	einmütig	A	ADJD	Pos|	2	adv	_	_
7	auf	auf	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	2	kon	_	_
10	der	die	A	ART	Def|_|_|_	12	det	1341	1341
11	selige	selig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	12	attr	1341	1341
12	Fibel	Fibel	N	NN	Masc|Nom|Sg	13	subj	1341	1341
13	kehrte	kehren	V	VVFIN	3|Sg|Past|_	9	cj	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	um	um	P	PTKVZ	_	13	avz	_	_
16	und	und	K	KON	_	13	kon	_	_
17	kehrte	kehren	V	VVFIN	_|Sg|Past|_	16	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	wie	wie	P	PWAV	_	0	root	_	_
20	Herkules	Herkules	N	NN	Masc|_|Sg	0	root	_	_
21	aus	aus	P	APPR	Dat	20	pp	_	_
22	dem	die	A	ART	Def|_|Dat|Sg	23	det	_	_
23	Orkus	Orkus	N	NN	_|Dat|Sg	21	pn	_	_
24	,	,	$	$,	_	0	root	_	_
25	so	so	A	ADV	_	26	adv	_	_
26	nach	nach	P	APPR	Dat	21	kon	_	_
27	Hause	Haus	N	NN	Neut|Dat|Sg	26	pn	_	_
28	,	,	$	$,	_	0	root	_	_
29	daß	daß	K	KOUS	_	33	konj	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	33	subj	1341	1341
31	hienieden	hienieden	A	ADV	_	33	adv	_	_
32	abends	abends	A	ADV	_	33	adv	_	_
33	aß	essen	V	VVFIN	3|Sg|Past|Ind	27	objc	_	_
34	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1342	1342
2	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	8	obja	_	_
4	hier	hier	A	ADV	_	8	adv	_	_
5	sehr	sehr	A	ADV	_	6	adv	_	_
6	leicht	leicht	A	ADJD	Pos|	7	adv	_	_
7	lächerlich	lächerlich	A	ADJD	Pos|	8	pred	_	_
8	machen	machen	V	VVINF	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	14	konj	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	1342	1342
12	nicht	nicht	P	PTKNEG	_	14	adv	_	_
13	verständig	verständig	A	ADJD	Pos|	14	adv	_	_
14	verfahre	verfahren	V	VVFIN	1|Sg|Pres|_	2	neb	_	_
15	.	.	$	$.	_	0	root	_	_

1	Setz	setzen	V	VVIMP	Sg	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1342	1342
4	nämlich	nämlich	A	ADV	_	7	adv	1343	1343
5	die	die	A	ART	Def|Fem|_|Pl	7	det	1343	1343
6	Pelzischen	pelzisch	A	ADJA	Pos|Fem|_|Pl|Wk|	7	attr	1343	1343
7	Sitzungen	Sitzung	N	NN	Fem|_|Pl	0	root	1343	1343
8	her	her	P	PTKVZ	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	so	so	A	ADV	_	13	adv	_	_
11	bring	bring	A	ADJD	_	13	adv	_	_
12	'	'	$	$(	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1342	1342
14	das	die	A	ART	Def|Neut|_|Sg	18	det	_	_
15	aus	aus	P	APPR	Dat	17	pp	_	_
16	ihnen	sie	P	PPER	3|Pl|_|Dat	15	pn	1343	1343
17	ausgehobne	ausgehobne	A	ADJA	_|Neut|_|Sg|_	18	attr	_	_
18	Leben	Leben	N	NN	Neut|_|Sg	0	root	_	_
19	zum	zu	P	APPRART	Dat	18	pp	_	_
20	zweiten	zweit	A	ADJA	_|Neut|Dat|Sg|Wk|	21	attr	_	_
21	Male	Mal	N	NN	Neut|Dat|Sg	19	pn	_	_
22	und	und	K	KON	_	0	root	_	_
23	fange	fangen	V	VVFIN	_|Sg|Pres|_	22	cj	_	_
24	mitten	mitten	A	ADV	_	25	adv	_	_
25	im	in	P	APPRART	Dat	23	pp	_	_
26	Buche	Buch	N	NN	_|Dat|Sg	25	pn	1684	1684
27	wieder	wieder	A	ADV	_	23	adv	_	_
28	beim	bei	P	APPRART	Dat	23	pp	_	_
29	Anfange	Anfang	N	NN	Masc|Dat|Sg	28	pn	_	_
30	des	die	A	ART	Def|Neut|Gen|Sg	31	det	136	136
31	Lebens	Leben	N	NN	Neut|Gen|Sg	29	gmod	136	136
32	an	an	P	PTKVZ	_	23	avz	_	_
33	.	.	$	$.	_	0	root	_	_

1	Merz	Merz	N	NE	_	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1342	1342
4	die	die	A	ART	Def|Fem|_|Pl	5	det	1332	1332
5	Sitzungen	Sitzung	N	NN	Fem|_|Pl	0	root	1332	1332
6	aus	aus	P	PTKVZ	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	fehlt	fehlen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	gerade	gerade	A	ADV	_	9	adv	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	1344	1344
12	Teil	Teil	N	NN	Masc|Nom|Sg	9	subj	1344	1344
13	des	die	A	ART	Def|Neut|Gen|Sg	15	det	1344	1344
14	Fibelischen	fibelisch	A	ADJA	Pos|Neut|Gen|Sg|_|	15	attr	1344	1344
15	Lebens	Leben	N	NN	Neut|Gen|Sg	12	gmod	1344	1344
16	,	,	$	$,	_	0	root	1344	1344
17	der	die	P	PRELS	Masc|Nom|Sg	21	subj	1344	1344
18	in	in	P	APPR	Acc	21	pp	_	_
19	die	die	A	ART	Def|Fem|Acc|Pl	20	det	1345	1345
20	Vorlesungen	Vorlesung	N	NN	Fem|Acc|Pl	18	pn	1345	1345
21	hineinfällt	hineinfallen	V	VVFIN	3|Sg|Pres|Ind	12	rel	_	_
22	,	,	$	$,	_	0	root	_	_
23	und	und	K	KON	_	21	kon	_	_
24	es	es	P	PPER	3|Sg|Neut|_	25	expl	_	_
25	wird	werden	V	VAFIN	3|Sg|Pres|Ind	23	cj	_	_
26	das	die	A	ART	Def|Neut|Nom|Sg	28	det	_	_
27	ganze	ganz	A	ADJA	Pos|Neut|Nom|Sg|Wk|	28	attr	_	_
28	Werk	Werk	N	NN	Neut|Nom|Sg	25	subj	_	_
29	ein	eine	A	ART	Indef|Neut|Nom|Sg	30	det	_	_
30	Wrack	Wrack	N	NN	Neut|Nom|Sg	25	pred	_	_
31	.	.	$	$.	_	0	root	_	_

1	Um	Um	K	KOUI	_	0	root	_	_
2	also	also	A	ADV	_	5	adv	_	_
3	die	die	A	ART	Def|Fem|_|Pl	5	det	_	_
4	papiernen	papiern	A	ADJA	Pos|Fem|_|Pl|Wk|	5	attr	_	_
5	Patronen	Patron	N	NN	Fem|_|Pl	0	root	_	_
6	dieses	diese	A	PDAT	Neut|Gen|Sg	7	det	96	96
7	Kapitels	Kapitel	N	NN	Neut|Gen|Sg	5	gmod	96	96
8	,	,	$	$,	_	0	root	_	_
9	die	die	P	PRELS	_|_|_	0	root	96	96
10	aus	aus	P	APPR	Dat	12	pp	_	_
11	Flintenläufen	Flintenlauf	N	NN	Masc|Dat|Pl	10	pn	_	_
12	zurückgeblieben	zurückbleiben	V	VVPP	_	24	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	zu	zu	P	APPR	Dat	22	objp	_	_
15	Land-	Land-	T	TRUNC	_|_|Pl	14	pn	_	_
16	und	und	K	KON	_	15	kon	_	_
17	Schiff-Patronen	Schiff-Patron	N	NN	_|_|Pl	16	cj	_	_
18	für	für	P	APPR	Acc	17	pp	_	_
19	mein	meine	A	PPOSAT	Neut|Acc|Sg	20	det	1342	1342
