1	Ew	Ew	N	NE	_	0	root	532	532
32	auch	auch	A	ADV	_	31	adv	_	_
33	den	die	A	ART	Def|Masc|Acc|Sg	34	det	_	_
34	Schluß	Schluß	N	NN	Masc|Acc|Sg	31	obja	_	_
35	daraus	daraus	P	PROAV	_	31	pp	_	_
36	gern	gern	A	ADV	_	31	adv	_	_
37	zu	zu	P	PTKVZ	_	31	avz	_	_
38	,	,	$	$,	_	0	root	_	_
39	daß	daß	K	KOUS	_	61	konj	_	_
40	,	,	$	$,	_	0	root	_	_
41	da	da	K	KOUS	_	53	konj	_	_
42	jeder	jede	P	PIS	Masc|Nom|Sg	53	subj	_	_
43	,	,	$	$,	_	0	root	_	_
44	nach	nach	P	APPR	Dat	53	pp	_	_
45	Taubmann	Taubmann	N	NN	Masc|Dat|_	44	pn	_	_
46	und	und	K	KON	_	44	kon	_	_
47	nach	nach	P	APPR	Dat	46	cj	_	_
48	dem	die	A	ART	Def|Neut|Dat|Sg	49	det	_	_
49	Sprichwort	Sprichwort	N	NN	Neut|Dat|Sg	47	pn	_	_
50	,	,	$	$,	_	0	root	_	_
51	den	die	A	ART	Def|Masc|Acc|Sg	52	det	_	_
52	Arzt	Arzt	N	NN	Masc|Acc|Sg	53	obja	_	_
53	nachspiele	nachspielen	V	VVFIN	3|Sg|Pres|Subj	61	neb	_	_
54	,	,	$	$,	_	0	root	_	_
55	jeder	jede	P	PIS	Masc|Nom|Sg	61	subj	_	_
56	eben	eben	A	ADV	_	60	adv	_	_
57	darum	darum	P	PROAV	_	60	pp	_	_
58	zum	zu	P	APPRART	Dat	60	pp	_	_
59	General	General	N	NN	Masc|Dat|Sg	58	pn	_	_
60	geboren	gebären	V	VVPP	_	61	aux	_	_
61	sei	sein	V	VAFIN	3|Sg|Pres|Subj	31	objc	_	_
62	.	.	$	$.	_	0	root	_	_

1	Beim	bei	P	APPRART	Dat	26	pp	_	_
2	Himmel	Himmel	N	NN	Masc|Dat|Sg	1	pn	_	_
3	,	,	$	$,	_	0	root	_	_
4	wenn	wenn	K	KOUS	_	10	konj	_	_
5	jeder	jede	A	PIDAT	Masc|Nom|Sg	6	det	_	_
6	Pudel	Pudel	N	NN	Masc|Nom|Sg	10	subj	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	_	_
8	Gewehr	Gewehr	N	NN	Neut|_|Sg	9	obja	_	_
9	präsentieren	präsentieren	V	VVINF	_	10	aux	_	_
10	kann	können	V	VMFIN	3|Sg|Pres|Ind	13	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	2	par	_	_
14	jeder	jede	A	PIDAT	Masc|Nom|Sg	16	det	_	_
15	geistige	geistig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	16	attr	_	_
16	Bettler	Bettler	N	NN	Masc|Nom|Sg	13	subj	_	_
17	so	so	A	ADV	_	18	adv	_	_
18	gut	gut	A	ADJD	Pos|	23	adv	_	_
19	unter	unter	P	APPR	Acc	23	pp	_	_
20	die	die	A	ART	Def|Fem|Acc|Sg	21	det	_	_
21	Generalität	Generalität	N	NN	Fem|Acc|Sg	19	pn	_	_
22	zu	zu	P	PTKZU	_	23	part	_	_
23	stecken	stecken	V	VVINF	_	24	aux	_	_
24	sein	sein	V	VAINF	_	13	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	als	als	K	KOKOM	_	0	root	_	_
27	sonst	sonst	A	ADV	_	29	adv	_	_
28	ein	eine	A	ART	Indef|_|_|Sg	29	det	_	_
29	körperlicher	körperlich	A	ADJA	Masc|Nom|Sg	26	cj	_	_
30	von	von	P	APPR	_	29	pp	_	_
31	Joseph	Joseph	N	NE	_|_|_	30	pn	_	_
32	II.	II.	N	NE	_|_|_	31	app	_	_

1	unter	unter	P	APPR	Acc	0	root	_	_
2	die	die	A	ART	Def|Neut|Acc|Pl	3	det	_	_
3	Regimenter	Regiment	N	NN	Neut|Acc|Pl	1	pn	_	_
4	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	eins	eins	C	CARD	_	5	obja	_	_
3	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	1	cj	_	_
4	Erwägung	Erwägung	N	NN	Fem|Nom|Sg	3	subj	_	_
5	verdienen	verdienen	V	VVINF	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	nämlich	nämlich	A	ADV	_	9	adv	_	_
8	Turennens	Turennens	N	NE	_|Gen|_	9	gmod	_	_
9	Wort	Wort	N	NN	Neut|_|Sg	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	20	konj	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	14	det	_	_
13	beste	gut	A	ADJA	Sup|Masc|Nom|Sg|Wk|	14	attr	_	_
14	Held	Held	N	NN	Masc|Nom|Sg	20	subj	_	_
15	nicht	nicht	P	PTKNEG	_	19	adv	_	_
16	mehrere	mehrere	A	PIAT	Masc|_|_	17	det	_	_
17	Mann	Mann	N	NN	Masc|_|_	18	grad	_	_
18	gut	gut	A	ADJD	Pos|	19	adv	_	_
19	kommandieren	kommandieren	V	VVINF	_	20	aux	_	_
20	könne	können	V	VMFIN	3|Sg|Pres|Subj	9	objc	_	_
21	als	als	K	KOKOM	_	19	kom	_	_
22	35	35	C	CARD	_	21	cj	_	_
23	000	000	C	CARD	_	19	obja	_	_
24	-	-	$	$(	_	0	root	_	_
25	welches	welche	P	PWS	Neut|Nom|Sg	27	pred	_	_
26	nichts	nichts	P	PIS	_|Dat|_	27	objd	_	_
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
28	gegen	gegen	P	APPR	Acc	27	pp	_	_
29	die	die	A	ART	Def|Fem|Acc|Sg	30	det	_	_
30	Anzahl	Anzahl	N	NN	Fem|Acc|Sg	28	pn	_	_
31	von	von	P	APPR	_	30	pp	_	_
32	Regimentern	Regiment	N	NN	_|_|_	31	pn	_	_
33	nicht	nicht	P	PTKNEG	_	27	adv	_	_
34	sowohl	sowohl	K	KON	_	0	root	_	_
35	als	als	K	KOKOM	_	0	root	_	_
36	von	von	P	APPR	_	35	cj	_	_
37	Armeen	Armee	N	NN	Fem|_|Pl	36	pn	_	_
38	und	und	K	KON	_	36	kon	_	_
39	von	von	P	APPR	Dat	38	cj	_	_
40	Generalen	General	N	NN	Masc|Dat|Pl	39	pn	515	515
41	,	,	$	$,	_	0	root	515	515
42	die	die	P	PRELS	Masc|_|Pl	55	obja	515	515
43	jeder	jede	A	PIDAT	Masc|Nom|Sg	44	det	_	_
44	Zeitungsleser	Zeitungsleser	N	NN	Masc|Nom|Sg	55	subj	_	_
45	täglich	täglich	A	ADJD	Pos|	55	adv	_	_
46	als	als	K	KOKOM	_	55	kom	_	_
47	Universal-Generalissimus	Universal-Generalissimus	N	NN	_	46	cj	_	_
48	mit	mit	P	APPR	Dat	55	pp	_	_
49	dem	die	A	ART	Def|Masc|Dat|Sg	50	det	_	_
50	Kommandostab	Kommandostab	N	NN	Masc|Dat|Sg	48	pn	_	_
51	der	die	A	ART	Def|Fem|Gen|Pl	52	det	_	_
52	Queues	Queue	N	NN	Fem|Gen|Pl	50	gmod	_	_
53	und	und	K	KON	_	52	kon	_	_
54	Tabakspfeifen	Tabakspfeife	N	NN	Fem|Gen|Pl	53	cj	_	_
55	anführt	anführen	V	VVFIN	3|Sg|Pres|Ind	40	rel	_	_
56	!	!	$	$.	_	0	root	_	_

1	Meinetwegen	meinetwegen	A	ADV	_	2	adv	_	_
2	lese	lesen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
3	jeder	jede	P	PIS	Masc|Nom|Sg	2	subj	_	_
4	alles	alle	P	PIS	_|_|Sg	2	obja	_	_
5	;	;	$	$.	_	0	root	_	_
6	nur	nur	A	ADV	_	7	adv	_	_
7	werf	werf	C	CARD	_	0	root	_	_
8	'	'	$	$(	_	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	0	root	5	5
10	nicht	nicht	P	PTKNEG	_	19	adv	_	_
11	mitten	mitten	A	ADV	_	12	adv	_	_
12	in	in	P	APPR	Dat	19	pp	_	_
13	der	die	A	ART	Def|Fem|Dat|Sg	14	det	516	516
14	Teestunde	Teestunde	N	NN	Fem|Dat|Sg	12	pn	516	516
15	der	die	A	ART	Def|Fem|Gen|Pl	17	det	516	516
16	gedruckten	gedruckt	A	ADJA	Pos|Fem|Gen|Pl|Wk|	17	attr	516	516
17	Zeitungen	Zeitung	N	NN	Fem|Gen|Pl	14	gmod	516	516
18	den	die	A	ART	Def|_|_|_	19	det	_	_
19	Weibern	Weib	N	NN	_|_|_	0	root	_	_
20	die	die	A	ART	Def|Fem|_|Sg	22	det	_	_
21	schwarze	schwarz	A	ADJA	Pos|Fem|_|Sg|_|	22	attr	_	_
22	Stunde	Stunde	N	NN	Fem|_|Sg	0	root	_	_
23	der	die	P	PDS	Fem|Dat|Sg	24	objd	_	_
24	gehörten	gehören	V	VVFIN	_|Pl|Past|_	0	root	_	_
25	vor	vor	P	PTKVZ	_	24	avz	_	_
26	!	!	$	$.	_	0	root	_	_

1	Freilich	freilich	A	ADV	_	2	adv	_	_
2	halten	halten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	Ihr	ihre	A	PPOSAT	_|_|Sg	4	det	508	508
4	Journalistikum	Journalistikum	N	NN	_|_|Sg	2	obja	516)	516)
5	,	,	$	$,	_	0	root	516)	516)
6	Herr	Herr	N	NN	Masc|_|Sg	4	app	516)	516)
7	Fisch	Fisch	N	NE	_|_|Sg	6	app	508	508
8	,	,	$	$,	_	0	root	_	_
9	Seelen	Seele	N	NN	Fem|Nom|Pl	2	subj	517	517
10	mit	mit	P	PTKVZ	_	2	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	welche	welche	P	PRELS	_|_|_	0	root	517	517
13	,	,	$	$,	_	0	root	_	_
14	wie	wie	P	PWAV	_	32	adv	_	_
15	Lessing	Lessing	N	NE	_|Nom|Sg	32	pred	1156	1156
16	in	in	P	APPR	Dat	32	pp	_	_
17	jeder	jede	A	PIDAT	Fem|Dat|Sg	18	det	_	_
18	Stadtneuigkeit	Stadtneuigkeit	N	NN	Fem|Dat|Sg	16	pn	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	1066	1066
20	Stoff	Stoff	N	NN	Masc|Acc|Sg	32	obja	1066	1066
21	eines	eine	A	ART	Indef|Neut|Gen|Sg	22	det	892	892
22	Dramas	Drama	N	NN	Neut|Gen|Sg	20	gmod	892	892
23	,	,	$	$,	_	0	root	_	_
24	so	so	A	ADV	_	29	adv	_	_
25	in	in	P	APPR	Dat	29	pp	_	_
26	jeder	jede	A	PIDAT	Fem|Dat|Sg	27	det	_	_
27	Weltneuigkeit	Weltneuigkeit	N	NN	Fem|Dat|Sg	25	pn	_	_
28	den	die	A	ART	Def|Masc|Acc|Sg	29	det	_	_
29	Stoff	Stoff	N	NN	Masc|Acc|Sg	20	kon	_	_
30	eines	eine	A	ART	Indef|_|Gen|Sg	31	det	_	_
31	höhern	höhern	N	NN	_|Gen|Sg	29	gmod	_	_
32	finden	finden	V	VVFIN	_|Pl|Pres|_	0	root	_	_
33	und	und	K	KON	_	32	kon	_	_
34	welche	welche	P	PRELS	_|Nom|Pl	48	subj	_	_
35	die	die	A	ART	Def|Fem|_|Sg	36	det	_	_
36	Welthistorie	Welthistorie	N	NN	Fem|_|Sg	48	obja	_	_
37	nicht	nicht	P	PTKNEG	_	48	adv	_	_
38	ewig	ewig	A	ADJD	Pos|	48	adv	_	_
39	in	in	P	APPR	Dat	48	pp	_	_
40	der	die	A	ART	Def|Fem|Dat|Sg	41	det	518	518
41	Vergangenheit	Vergangenheit	N	NN	Fem|Dat|Sg	39	pn	518	518
42	,	,	$	$,	_	0	root	_	_
43	sondern	sondern	K	KON	_	39	kon	_	_
44	auch	auch	A	ADV	_	43	cj	_	_
45	in	in	P	APPR	Dat	48	pp	_	_
46	der	die	A	ART	Def|Fem|Dat|Sg	47	det	519	519
47	Gegenwart	Gegenwart	N	NN	Fem|Dat|Sg	45	pn	519	519
48	suchen	suchen	V	VVFIN	3|Pl|Pres|_	33	cj	_	_
49	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	351	351
2	Gedanke	Gedanke	N	NN	Masc|Nom|Sg	3	subj	351	351
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	schön	schön	A	ADJD	Pos|	3	pred	_	_
5	und	und	K	KON	_	0	root	_	_
6	-	-	$	$(	_	0	root	_	_
7	schwierig	schwierig	A	ADJD	Pos|	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Aus	aus	P	APPR	Dat	4	pp	_	_
2	zwanzigtausend	zwanzigtausend	C	CARD	_	3	attr	_	_
3	Weißfischen	Weißfisch	N	NN	_|Dat|Pl	1	pn	_	_
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	ein	eine	A	ART	Indef|_|_|Sg	7	det	_	_
6	ganzes	ganz	A	ADJA	Pos|Neut|_|Sg|St|	7	attr	_	_
7	Pfund	Pfund	N	NN	Fem|Nom|Sg	4	subj	_	_
8	Perlenessenz	Perlenessenz	N	NN	Fem|Nom|Sg	7	app	_	_
9	(	(	$	$(	_	0	root	_	_
10	zu	zu	P	APPR	Dat	14	pp	_	_
11	falschen	falsch	A	ADJA	Pos|_|Dat|_|_|	12	attr	_	_
12	Perlen	Perle	N	NN	_|Dat|_	10	pn	_	_
13	)	)	$	$(	_	0	root	_	_
14	gewonnen	gewinnen	V	VVPP	_	4	aux	_	_
15	;	;	$	$.	_	0	root	_	_
16	aber	aber	K	KON	_	0	root	_	_
17	wahrhaftig	wahrhaftig	A	ADV	_	18	adv	_	_
18	aus	aus	P	APPR	Dat	34	objp	_	_
19	ebenso	ebenso	A	ADV	_	20	adv	_	_
20	vielen	viele	A	PIDAT	Masc|Dat|_	21	det	_	_
21	Zeitungsschreibern	Zeitungsschreiber	N	NN	Masc|Dat|_	18	pn	_	_
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	16	cj	_	_
23	schwer	schwer	A	ADJD	Pos|	34	adv	_	_
24	der	die	A	ART	Def|Masc|Nom|Sg	26	det	_	_
25	pragmatische	pragmatisch	A	ADJA	Pos|Masc|Nom|Sg|Wk|	26	attr	_	_
26	Auszug	Auszug	N	NN	Masc|Nom|Sg	22	subj	_	_
27	eines	eine	A	ART	Indef|_|Gen|Sg	29	det	_	_
28	welthistorischen	welthistorisch	A	ADJA	Pos|_|Gen|Sg|_|	29	attr	_	_
29	Tomus	Tomus	N	NN	_|Gen|Sg	26	gmod	_	_
30	über	über	P	APPR	Acc	29	pp	_	_
31	die	die	A	ART	Def|Fem|Acc|Sg	32	det	_	_
32	Blase	Blase	N	NN	Fem|Acc|Sg	30	pn	_	_
33	zu	zu	P	PTKZU	_	34	part	_	_
34	ziehen	ziehen	V	VVINF	_	22	aux	_	_
35	.	.	$	$.	_	0	root	_	_

1	Eigentlich	eigentlich	A	ADV	_	2	adv	_	_
2	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	die	die	A	ART	Def|Fem|_|Sg	6	det	617	617
5	neueste	neu	A	ADJA	Sup|Fem|_|Sg|_|	6	attr	617	617
6	Geschichte	Geschichte	N	NN	Fem|_|Sg	9	obja	617	617
7	so	so	A	ADV	_	8	adv	_	_
8	kurz	kurz	A	ADJD	Pos|	9	adv	_	_
9	studieren	studieren	V	VVINF	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	als	als	K	KOUS	_	17	konj	_	_
12	man	man	P	PIS	_|Nom|Sg	17	subj	_	_
13	die	die	A	ART	Def|_|_|_	14	det	_	_
14	alte	alt	A	ADJA	_|_|_	17	obja	_	_
15	wider	wider	P	APPR	_	17	pp	_	_
16	Willen	Wille	N	NN	Masc|_|_	15	pn	_	_
17	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	2	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	um	um	K	KOUI	_	31	konj	_	_
20	nicht	nicht	P	PTKNEG	_	31	adv	_	_
21	das	die	A	ART	Def|Neut|_|Sg	22	det	_	_
22	Ganze	Ganze	N	NN	Neut|_|Sg	31	obja	_	_
23	in	in	P	APPR	_	31	pp	_	_
24	unförmlichen	unförmlich	A	ADJA	Pos|_|_|_|_|	25	attr	_	_
25	Verhältnissen	Verhältnis	N	NN	_|_|_	23	pn	_	_
26	und	und	K	KON	_	23	kon	_	_
27	aus	aus	P	APPR	Dat	26	cj	_	_
28	ungleichen	ungleich	A	ADJA	Pos|Fem|Dat|Pl|_|	29	attr	_	_
29	Entfernungen	Entfernung	N	NN	Fem|Dat|Pl	27	pn	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	beurteilen	beurteilen	V	VVINF	_	17	neb	_	_
32	.	.	$	$.	_	0	root	_	_

1	Ohne	ohne	P	APPR	Acc	8	pp	_	_
2	die	die	A	ART	Def|_|_|_	3	det	_	_
3	Luft-	Luft-	T	TRUNC	Fem|_|Sg	1	pn	_	_
4	und	und	K	KON	_	3	kon	_	_
5	Linienperspektive	Linienperspektive	N	NN	Fem|_|Sg	4	cj	_	_
6	der	die	A	ART	Def|Fem|Gen|Sg	7	det	20	20
7	Zeit	Zeit	N	NN	Fem|Gen|Sg	3	gmod	20	20
8	türmt	türmen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	alles	alle	P	PIS	Neut|Nom|Sg	8	subj	_	_
11	ungeheuer	ungeheuer	A	ADJD	Pos|	8	adv	_	_
12	auf	auf	P	APPR	_	0	root	_	_
13	oder	oder	K	KON	_	0	root	_	_
14	schrumpft	schrumpfen	V	VVFIN	_|_|Pres|Ind	13	cj	_	_
15	ebenso	ebenso	A	ADV	_	14	adv	_	_
16	ein	ein	P	PTKVZ	_	14	avz	_	_
17	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|_|_|_	0	root	_	_
2	Uranus	Uranus	N	NN	Masc|_|Sg	5	obja	_	_
3	der	die	A	ART	Def|Fem|Gen|Sg	4	det	519	519
4	Gegenwart	Gegenwart	N	NN	Fem|Gen|Sg	2	gmod	519	519
5	spielet	spielen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
6	anfangs	anfangs	A	ADV	_	5	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	15	adv	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	520	520
10	himmlische	himmlische	N	NN	Masc|Nom|Sg	15	subj	520	520
11	,	,	$	$,	_	0	root	520	520
12	eine	eine	A	ART	Indef|Fem|Nom|Sg	13	det	520	520
13	Sonnen-Rolle	Sonnen-Rolle	N	NN	Fem|Nom|Sg	10	app	520	520
14	-	-	$	$(	_	0	root	_	_
15	sinkt	sinken	V	VVFIN	3|Sg|Pres|Ind	5	subjc	_	_
16	dann	dann	A	ADV	_	15	adv	_	_
17	zu	zu	P	APPR	Dat	15	pp	_	_
18	einem	eine	A	ART	Indef|Masc|Dat|Sg	19	det	_	_
19	Schwanzstern	Schwanzstern	N	NN	Masc|Dat|Sg	17	pn	_	_
20	herab	herab	A	ADV	_	15	adv	_	_
21	-	-	$	$(	_	0	root	_	_
22	und	und	K	KON	_	15	kon	_	_
23	endlich	endlich	A	ADJD	Pos|	24	pred	_	_
24	bleibt	bleiben	V	VVFIN	3|Sg|Pres|Ind	22	cj	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	24	subj	520	520
26	als	als	K	KOKOM	_	24	kom	_	_
27	eine	eine	A	ART	Indef|Fem|_|Sg	28	det	_	_
28	Schwester-Erde	Schwester-Erde	N	NN	Fem|_|Sg	26	cj	_	_
29	bei	bei	P	APPR	Dat	24	objp	_	_
30	uns	wir	P	PPER	1|Pl|_|Dat	29	pn	522	522
31	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|_|_|_	2	det	_	_
2	gallische	gallisch	A	ADJA	Masc|Nom|Sg	3	subj	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	schon	schon	A	ADV	_	13	adv	_	_
5	jetzt	jetzt	A	ADV	_	13	adv	_	_
6	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
7	Kometenschwert	Kometenschwert	N	NN	Neut|_|Sg	13	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	statt	statt	P	APPR	_	13	pp	_	_
10	der	die	A	ART	Def|_|_|_	11	det	_	_
11	Phöbusleier	Phöbusleier	N	NN	_|_|_	9	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	ergriffen	ergreifen	V	VVPP	_	3	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	schreitet	schreiten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	523	523
4	Genius	Genius	N	NN	Masc|Nom|Sg	2	subj	523	523
5	des	die	A	ART	Def|Neut|Gen|Sg	6	det	521	521
6	Universums	Universum	N	NN	Neut|Gen|Sg	4	gmod	521	521
7	gewaltig	gewaltig	A	ADJD	Pos|	2	adv	_	_
8	wie	wie	K	KOKOM	_	2	kom	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	_	_
10	Orkan	Orkan	N	NN	Masc|Nom|Sg	8	cj	_	_
11	über	über	P	APPR	_	2	pp	_	_
12	uns	wir	P	PPER	1|Pl|_|_	11	pn	522	522
13	hin	hin	P	PTKVZ	_	2	avz	_	_
14	;	;	$	$.	_	0	root	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	16	subj	522	522
16	hören	hören	V	VVFIN	1|Pl|Pres|_	0	root	_	_
17	ihn	er	P	PPER	3|Sg|Masc|Acc	16	obja	523	523
18	nur	nur	A	ADV	_	19	adv	_	_
19	rauschen	rauschen	V	VVINF	_	16	obji	_	_
20	und	und	K	KON	_	16	kon	_	_
21	sehen	sehen	V	VVFIN	_|Pl|Pres|_	20	cj	_	_
22	ihn	er	P	PPER	3|Sg|Masc|Acc	21	obja	523	523
23	nur	nur	A	ADV	_	24	adv	_	_
24	niederreißen	niederreißen	V	VVINF	_	21	obji	_	_
25	,	,	$	$,	_	0	root	_	_
26	aber	aber	K	KON	_	21	kon	_	_
27	wir	wir	P	PPER	1|Pl|_|Nom	28	subj	522	522
28	sehen	sehen	V	VVFIN	1|Pl|Pres|_	26	cj	_	_
29	es	es	P	PPER	3|Sg|Neut|_	28	expl	_	_
30	nicht	nicht	P	PTKNEG	_	28	adv	_	_
31	,	,	$	$,	_	0	root	_	_
32	wie	wie	P	PWAV	_	34	adv	_	_
33	er	er	P	PPER	3|Sg|Masc|Nom	34	subj	523	523
34	reinigt	reinigen	V	VVFIN	3|Sg|Pres|Ind	28	objc	_	_
35	und	und	K	KON	_	34	kon	_	_
36	schafft	schaffen	V	VVFIN	_|_|Pres|Ind	35	cj	_	_
37	,	,	$	$,	_	0	root	_	_
38	und	und	K	KON	_	36	kon	_	_
39	merken	merken	V	VVFIN	_|Pl|Pres|_	38	cj	_	_
40	es	es	P	PPER	3|Sg|Neut|_	39	obja	_	_
41	bloß	bloß	A	ADV	_	39	adv	_	_
42	nach	nach	P	APPR	Dat	39	pp	_	_
43	seiner	seine	A	PPOSAT	Fem|Dat|Sg	44	det	523	523
44	Entfernung	Entfernung	N	NN	Fem|Dat|Sg	42	pn	_	_
45	-	-	$	$(	_	0	root	_	_
46	wie	wie	K	KOKOM	_	48	kom	_	_
47	Leibniz	Leibniz	N	NE	_	46	cj	870	870
48	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	39	kon	_	_
49	das	die	A	ART	Def|Neut|Nom|Sg	50	det	524	524
50	Schicksal	Schicksal	N	NN	Neut|Nom|Sg	48	subj	524	524
51	die	die	A	ART	Def|Fem|_|Sg	52	det	_	_
52	Rechnung	Rechnung	N	NN	Fem|_|Sg	48	obja	_	_
53	des	die	A	ART	Def|_|Gen|Sg	54	det	_	_
54	Unendlichen	Unendliche	N	NN	_|Gen|Sg	52	gmod	_	_
55	heraus	heraus	P	PTKVZ	_	48	avz	_	_
56	,	,	$	$,	_	0	root	_	_
57	aber	aber	K	KON	_	48	kon	_	_
58	es	es	P	PPER	3|Sg|Neut|Nom	59	subj	_	_
59	verbirgt	verbergen	V	VVFIN	3|Sg|Pres|Ind	57	cj	_	_
60	wie	wie	P	PWAV	_	0	root	_	_
61	er	er	P	PPER	3|Sg|Masc|Nom	0	root	523	523
62	die	die	A	ART	Def|Masc|_|Pl	63	det	_	_
63	Beweise	Beweis	N	NN	Masc|_|Pl	0	root	_	_
64	davon	davon	P	PROAV	_	63	pp	_	_
65	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	wahrhaftig	wahrhaftig	A	ADJD	Pos|	4	adv	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	2	cj	522	522
5	Lebende	Lebende	N	NN	_|Nom|Pl	6	subj	_	_
6	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	_
7	hinter	hinter	P	APPR	_	6	pp	_	_
8	Sehröhren	Sehröhre	N	NN	Fem|_|Pl	7	pn	_	_
9	auf	auf	P	APPR	Dat	6	pp	_	_
10	Stativen	Stativ	N	NN	Neut|Dat|Pl	9	pn	525	525
11	,	,	$	$,	_	0	root	_	_
12	die	die	P	PRELS	_|_|_	0	root	525	525
13	immer	immer	A	ADV	_	0	root	_	_
14	zittern	zittern	V	VVINF	_	0	root	_	_
15	müssen	müssen	V	VMINF	_	0	root	_	_
16	(	(	$	$(	_	0	root	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	18	subj	_	_
18	sei	sein	V	VAFIN	_|Sg|Pres|Subj	15	par	_	_
19	durch	durch	P	APPR	Acc	18	pp	_	_
20	Furcht	Furcht	N	NN	Fem|Acc|Sg	19	pn	_	_
21	oder	oder	K	KON	_	20	kon	_	_
22	Freude	Freude	N	NN	Fem|Acc|Sg	21	cj	526	526
23	)	)	$	$(	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	wenig	wenig	A	ADV	_	29	adv	_	_
26	im	in	P	APPRART	Dat	29	pp	_	_
27	entlegensten	entlegen	A	ADJA	Sup|Masc|Dat|Sg|Wk|	28	attr	_	_
28	Himmel	Himmel	N	NN	Masc|Dat|Sg	26	pn	_	_
29	entdecken	entdecken	V	VVINF	_	15	kon	_	_
30	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	mit	mit	P	APPR	Dat	1	cj	_	_
3	der	die	A	ART	Def|Fem|Dat|Sg	4	det	_	_
4	Zeitung	Zeitung	N	NN	Fem|Dat|Sg	2	pn	_	_
5	von	von	P	APPR	_	4	pp	_	_
6	1697	1697	C	CARD	_	5	pn	_	_
7	mein	meine	A	PPOSAT	_|_|Sg	0	root	527	527
8	'	'	$	$(	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	527	527
10	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
11	ernstlich	ernstlich	A	ADJD	Pos|	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	mein	meine	A	PPOSAT	Masc|Nom|Sg	14	det	527	527
14	Freund	Freund	N	NN	Masc|Nom|Sg	0	root	_	_
15	!	!	$	$.	_	0	root	_	_

