1	B.	B.	N	NN	Masc|_|Sg	0	root	42	42
52	ebensogut	ebensogut	N	NE	_	63	obja	_	_
53	über	über	P	APPR	Acc	63	pp	_	_
54	die	die	A	ART	Def|_|Acc|_	55	det	_	_
55	Adame	Adame	N	NN	_|Acc|_	53	pn	_	_
56	,	,	$	$,	_	0	root	_	_
57	Even	Eva	N	NN	Fem|Acc|Pl	55	kon	_	_
58	,	,	$	$,	_	0	root	_	_
59	Kaine	Kaine	N	NE	Fem|Acc|Pl	57	kon	_	_
60	und	und	K	KON	_	59	kon	_	_
61	Nimrods	Nimrods	N	NE	_|Acc|_	60	cj	_	_
62	rückwärts	rückwärts	A	ADV	_	57	adv	_	_
63	betrüben	betrüben	V	VVINF	_	0	root	_	_
64	als	als	K	KOKOM	_	0	root	_	_
65	über	über	P	APPR	Acc	64	cj	_	_
66	die	die	A	ART	Def|_|_|_	67	det	_	_
67	neuesten	neu	A	ADJA	_|_|Pl	65	pn	_	_
68	noch	noch	A	ADV	_	69	adv	_	_
69	vorwärts	vorwärts	A	ADV	_	67	adv	_	_
70	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|Nom|Sg	3	det	_	_
2	dritte	dritt	A	ADJA	_|Fem|Nom|Sg|_|	3	attr	_	_
3	Täuschung	Täuschung	N	NN	Fem|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	:	\:	$	$.	_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	31	31
7	Mensch	Mensch	N	NN	Masc|Nom|Sg	8	subj	31	31
8	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	voll	voll	A	ADJD	Pos|	8	adv	_	_
10	lauter	laut	A	ADJD	_|	11	adv	_	_
11	täuschender	täuschend	A	ADJA	Pos|Fem|Gen|Pl|St|<PPRES	12	attr	_	_
12	Erwartungen	Erwartung	N	NN	Fem|Gen|Pl	9	grad	_	_
13	und	und	K	KON	_	12	kon	_	_
14	Hoffnungen	Hoffnung	N	NN	Fem|Gen|Pl	13	cj	862	862
15	,	,	$	$,	_	0	root	_	_
16	wie	wie	P	PWAV	_	17	adv	_	_
17	voll	voll	A	ADJD	Pos|	0	root	_	_
18	geistiger	geistig	A	ADJA	Pos|Masc|_|_|St|	19	attr	_	_
19	Eingeweidewürmer	Eingeweidewurm	N	NN	Masc|_|_	17	grad	_	_
20	;	;	$	$.	_	0	root	_	_
21	jede	jede	P	PIS	_|_|Sg	0	root	_	_
22	davon	davon	P	PROAV	_	23	objp	_	_
23	zeugt	zeugen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
24	in	in	P	APPR	_	23	pp	_	_
25	einigen	einige	A	PIAT	Fem|_|Pl	26	det	_	_
26	Minuten	Minute	N	NN	Fem|_|Pl	24	pn	_	_
27	eine	eine	A	ART	Indef|Fem|_|Sg	28	det	_	_
28	größere	groß	A	ADJA	Fem|_|Sg	23	subj	_	_
29	;	;	$	$.	_	0	root	_	_
30	morgen	morgen	A	ADV	_	31	adv	_	_
31	erzeugen	erzeugen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
32	sich	sie	P	PRF	3|_|_	31	obja	_	_
33	wieder	wieder	A	ADV	_	31	adv	_	_
34	andere	andere	P	PIS	_|Nom|Pl	31	subj	_	_
35	,	,	$	$,	_	0	root	_	_
36	übermorgen	übermorgen	A	ADV	_	37	adv	_	_
37	ganz	ganz	A	ADV	_	38	adv	_	_
38	andere	andere	P	PIS	_|_|_	0	root	_	_
39	.	.	$	$.	_	0	root	_	_

1	Jeden	jede	A	PIDAT	_|_|Sg	2	det	_	_
2	Tag	Tag	N	NN	_|_|Sg	3	zeit	_	_
3	sticht	stechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	31	31
5	sich	sie	P	PRF	3|_|Dat	3	objd	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
7	neue	neu	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	_
8	Himmelkarte	Himmelkarte	N	NN	Fem|_|Sg	3	obja	_	_
9	seines	seine	A	PPOSAT	Masc|Gen|Sg	11	det	31	31
10	künftigen	künftig	A	ADJA	Pos|Masc|Gen|Sg|_|	11	attr	_	_
11	Himmels	Himmel	N	NN	Masc|Gen|Sg	8	gmod	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	darnach	darnach	N	NE	_	13	cj	857	857
16	«	«	$	$(	_	0	root	857	857
17	,	,	$	$,	_	0	root	857	857
18	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	15	par	857	857
19	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	857	857
20	,	,	$	$,	_	0	root	857)	857)
21	»	»	$	$(	_	0	root	857)	857)
22	sollen	sollen	V	VMFIN	_|Pl|Pres|_	0	root	857)	857)
23	sich	sie	P	PRF	3|_|_	27	obja	857)	857)
24	Erd-	Erd-	T	TRUNC	Masc|_|_	22	subj	857)	857)
25	und	und	K	KON	_	24	kon	857)	857)
26	Himmelkörper	Himmelkörper	N	NN	Masc|_|_	25	cj	857)	857)
27	richten	richten	V	VVINF	_	22	aux	857)	857)
28	,	,	$	$,	_	0	root	857)	857)
29	oder	oder	K	KON	_	22	kon	857)	857)
30	ich	ich	P	PPER	1|Sg|_|Nom	31	subj	857	857
31	will	wollen	V	VMFIN	1|Sg|Pres|Ind	29	cj	_	_
32	kein	keine	A	PIAT	Masc|Nom|Sg	34	det	_	_
33	ehrlicher	ehrlich	A	ADJA	Pos|Masc|Nom|Sg|St|	34	attr	_	_
34	Mann	Mann	N	NN	Masc|Nom|Sg	35	pred	_	_
35	sein	sein	V	VAINF	_	31	aux	_	_
36	.	.	$	$.	_	0	root	_	_
37	«	«	$	$(	_	0	root	_	_
38	Und	und	K	KON	_	0	root	_	_
39	letztes	letzte	A	ADJA	Pos|Neut|_|Sg|St|	40	obja	_	_
40	hält	halten	V	VVFIN	3|Sg|Pres|Ind	38	cj	_	_
41	er	er	P	PPER	3|Sg|Masc|Nom	40	subj	857	857
42	auch	auch	A	ADV	_	40	adv	_	_
43	oft	oft	A	ADV	_	40	adv	_	_
44	.	.	$	$.	_	0	root	_	_

1	Diese	diese	A	PDAT	_|_|_	3	det	858	858
2	bewegliche	beweglich	A	ADJA	Pos|_|_|_|_|	3	attr	858	858
3	Veränderlichkeit	Veränderlichkeit	N	NN	_|_|_	7	obja	858	858
4	seiner	seine	A	PPOSAT	Fem|Gen|Sg	6	det	858	858
5	freien	frei	A	ADJA	Pos|Fem|Gen|Sg|Wk|	6	attr	_	_
6	Natur	Natur	N	NN	Fem|Gen|Sg	3	gmod	_	_
7	mutet	muten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	857	857
9	nun	nun	A	ADV	_	7	adv	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	12	det	_	_
11	starren	starr	A	ADJA	Pos|Fem|Dat|Sg|Wk|	12	attr	_	_
12	Festigkeit	Festigkeit	N	NN	Fem|Dat|Sg	7	objd	_	_
13	des	die	A	ART	Def|_|Gen|Sg	14	det	_	_
14	toten	toten	N	NN	_|Gen|Sg	12	gmod	_	_
15	zu	zu	P	PTKVZ	_	7	avz	_	_
16	und	und	K	KON	_	7	kon	_	_
17	erwartet	erwarten	V	VVFIN	_|_|Pres|_	16	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	daß	daß	K	KOUS	_	25	konj	_	_
20	die	die	A	ART	Def|_|_|_	21	det	_	_
21	eiserne	eisern	A	ADJA	_|_|_	25	subj	_	_
22	sich	sie	P	PRF	3|_|_	25	obja	_	_
23	der	die	A	ART	Def|_|_|_	24	det	_	_
24	wächsernen	wächsern	A	ADJA	_|_|_	25	objd	_	_
25	nachbiege	nachbiegen	V	VVFIN	3|Sg|Pres|Subj	17	objc	_	_
26	.	.	$	$.	_	0	root	_	_

1	Trifft	treffen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	freilich	freilich	A	ADV	_	1	adv	_	_
3	zufällig	zufällig	A	ADJD	Pos|	1	adv	_	_
4	sein	seine	A	PPOSAT	Masc|Nom|Sg	6	det	857	857
5	innerer	inner	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	859	859
6	Wechsel	Wechsel	N	NN	Masc|Nom|Sg	1	subj	859	859
7	mit	mit	P	APPR	Dat	1	pp	_	_
8	dem	die	P	PDS	_|Dat|Sg	7	pn	_	_
9	äußern	äußern	V	VVFIN	_|Pl|Pres|_	1	s	_	_
10	zusammen	zusammen	P	PTKVZ	_	9	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	859	859
15	:	\:	$	$.	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	Es	es	P	PPER	3|Sg|Neut|Nom	18	subj	_	_
18	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
19	doch	doch	A	ADV	_	18	adv	_	_
20	eine	eine	A	ART	Indef|Fem|_|Sg	21	det	980	980
21	Vorsehung	Vorsehung	N	NN	Fem|_|Sg	18	obja	980	980
22	und	und	K	KON	_	21	kon	_	_
23	Belohnung	Belohnung	N	NN	Fem|_|Sg	22	cj	_	_
24	schon	schon	A	ADV	_	18	adv	_	_
25	hienieden	hienieden	A	ADV	_	18	adv	_	_
26	!	!	$	$.	_	0	root	_	_
27	«	«	$	$(	_	0	root	_	_
28	Der	die	A	ART	Def|Masc|Nom|Sg	30	det	_	_
29	hiesige	hiesig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	30	attr	_	_
30	Mensch	Mensch	N	NN	Masc|Nom|Sg	31	subj	_	_
31	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
32	sehr	sehr	A	ADV	_	33	adv	_	_
33	närrisch	närrisch	A	ADJD	Pos|	31	pred	_	_
34	.	.	$	$.	_	0	root	_	_

1	Hoffen	Hoffen	N	NN	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	überhaupt	überhaupt	A	ADV	_	2	adv	_	_
4	in	in	P	APPR	_	2	pp	_	_
5	Rücksicht	Rücksicht	N	NN	Fem|_|Sg	4	pn	_	_
6	der	die	A	ART	Def|Fem|Gen|Sg	7	det	_	_
7	Standhaftigkeit	Standhaftigkeit	N	NN	Fem|Gen|Sg	5	gmod	_	_
8	gefährlicher	gefährlich	A	ADJD	Comp|	2	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	als	als	K	KOKOM	_	13	kom	_	_
11	man	man	P	PIS	_|Nom|Sg	10	cj	_	_
12	wohl	wohl	A	ADV	_	11	adv	_	_
13	denkt	denken	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
14	.	.	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	3	adv	_	_
2	nur	nur	A	ADV	_	1	adv	_	_
3	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|Dat	3	objd	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	6	det	860	860
6	Hoffnung	Hoffnung	N	NN	Fem|Nom|Sg	3	subj	860	860
7	den	die	A	ART	Def|Masc|Acc|Sg	9	det	_	_
8	weitesten	weit	A	ADJA	Sup|Masc|Acc|Sg|_|	9	attr	_	_
9	Spielraum	Spielraum	N	NN	Masc|Acc|Sg	3	obja	_	_
10	heraus	heraus	P	PTKVZ	_	3	avz	_	_
11	und	und	K	KON	_	3	kon	_	_
12	will	wollen	V	VMFIN	_|Sg|Pres|Ind	11	cj	_	_
13	das	die	A	ART	Def|Neut|_|Sg	14	det	_	_
14	Ozeans-Becken	Ozeans-Beck	N	NN	Neut|_|Sg	25	obja	_	_
15	der	die	A	ART	Def|Fem|Gen|Sg	16	det	52	52
16	Zeit	Zeit	N	NN	Fem|Gen|Sg	14	gmod	52	52
17	gern	gern	A	ADV	_	25	adv	_	_
18	als	als	K	KOKOM	_	25	kom	_	_
19	Trinkschale	Trinkschal	N	NN	_|_|_	18	cj	_	_
20	der	die	A	ART	Def|Fem|Gen|Sg	21	det	861	861
21	Stunde	Stunde	N	NN	Fem|Gen|Sg	19	gmod	861	861
22	an	an	P	APPR	Acc	25	objp	_	_
23	die	die	A	ART	Def|Fem|Acc|Pl	24	det	_	_
24	Lippen	Lippe	N	NN	Fem|Acc|Pl	22	pn	_	_
25	setzen	setzen	V	VVINF	_	12	aux	_	_
26	;	;	$	$.	_	0	root	_	_
27	sondern	sondern	K	KON	_	0	root	_	_
28	auch	auch	A	ADV	_	27	cj	_	_
29	durch	durch	P	APPR	Acc	32	pp	_	_
30	ihre	ihre	A	PPOSAT	Fem|Acc|Sg	31	det	860	860
31	Süßlichkeit	Süßlichkeit	N	NN	Fem|Acc|Sg	29	pn	_	_
32	entkräftet	entkräften	V	VVFIN	3|Sg|Pres|Ind	27	cj	_	_
33	sie	sie	P	PPER	3|Sg|Fem|Nom	32	subj	860	860
34	zu	zu	P	APPR	Dat	32	pp	_	_
35	scharfem	scharf	A	ADJA	Pos|Masc|Dat|Sg|St|	36	attr	_	_
36	Widerstande	Widerstand	N	NN	Masc|Dat|Sg	34	pn	_	_
37	und	und	K	KON	_	32	kon	_	_
38	erschwert	erschweren	V	VVFIN	_|_|Pres|Ind	37	cj	_	_
39	das	die	A	ART	Def|Neut|_|Sg	41	det	_	_
40	entscheidende	entscheidend	A	ADJA	Pos|Neut|_|Sg|Wk|_	41	attr	_	_
41	Verzichtleisten	Verzichtleiste	N	NN	Neut|_|Sg	38	obja	_	_
42	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	lange	lange	A	ADJD	_	9	pred	_	_
4	sie	sie	P	PPER	3|_|_|_	8	obja	860	860
5	nicht	nicht	P	PTKNEG	_	8	adv	_	_
6	vom	von	P	APPRART	Dat	8	pp	_	_
7	Schicksale	Schicksal	N	NN	Neut|_|Pl	6	pn	_	_
8	widerlegt	widerlegen	V	VVPP	_	9	aux	_	_
9	worden	werden	V	VAPP	_	1	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
12	man	man	P	PIS	_|Nom|Sg	11	subj	_	_
13	sie	sie	P	PPER	3|_|_|_	14	obja	860	860
14	genießen	genießen	V	VVINF	_	11	aux	_	_
15	und	und	K	KON	_	11	kon	_	_
16	bauet	bauen	V	VVFIN	2|Pl|Pres|Subj	15	cj	_	_
17	sich	sie	P	PRF	3|_|_	16	obja	_	_
18	auf	auf	P	APPR	_	16	pp	_	_
19	ihren	ihre	A	PPOSAT	_|_|_	21	det	860	860
20	weichen	weich	A	ADJA	Pos|_|_|_|_|	21	attr	_	_
21	Wogen	Woge	N	NN	_|_|_	18	pn	_	_
22	an	an	P	PTKVZ	_	16	avz	_	_
23	.	.	$	$.	_	0	root	_	_

1	Wollet	wollen	V	VMFIN	2|Pl|Pres|Subj	0	root	_	_
2	ihr	ihr	P	PPER	2|Pl|_|Nom	1	subj	_	_
3	doch	doch	A	ADV	_	5	adv	_	_
4	Hoffnungen	Hoffnung	N	NN	Fem|_|Pl	5	obja	862	862
5	haben	haben	V	VAINF	_	1	aux	_	_
6	:	\:	$	$.	_	0	root	_	_
7	gut	gut	A	ADJD	Pos|	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	so	so	A	ADV	_	2	adv	_	_
2	haltet	halten	V	VVFIN	2|Pl|Pres|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	862	862
4	für	für	P	APPR	Acc	2	objp	_	_
5	frohe	froh	A	ADJA	Pos|Masc|Acc|Pl|St|	6	attr	_	_
6	Träume	Traum	N	NN	Masc|Acc|Pl	4	pn	_	_
7	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	erwacht	erwachen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	29	29
5	Traum	Traum	N	NN	Masc|Nom|Sg	9	subj	29	29
6	und	und	K	KON	_	5	kon	_	_
7	seine	seine	A	PPOSAT	Fem|Nom|Sg	8	det	29	29
8	Gabe	Gabe	N	NN	Fem|Nom|Sg	6	cj	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
10	verloren	verlieren	V	VVPP	_	9	aux	_	_
11	;	;	$	$.	_	0	root	_	_
12	aber	aber	K	KON	_	0	root	_	_
13	man	man	P	PIS	_|Nom|Sg	14	subj	_	_
14	trauert	trauern	V	VVFIN	3|Sg|Pres|Ind	12	cj	_	_
15	nicht	nicht	P	PTKNEG	_	14	adv	_	_
16	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
4	auch	auch	A	ADV	_	12	adv	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	_	_
6	Traum	Traum	N	NN	Masc|Nom|Sg	3	subj	_	_
7	des	die	A	ART	Def|Neut|Gen|Sg	8	det	318	318
8	Lebens	Leben	N	NN	Neut|Gen|Sg	6	gmod	318	318
9	voll	voll	A	ADJD	Pos|	12	pred	_	_
10	solcher	solche	A	PIDAT	Masc|Gen|Pl	11	det	_	_
11	Träume	Traum	N	NN	Masc|Gen|Pl	9	grad	_	_
12	bleiben	bleiben	V	VVINF	_	3	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	sobald	sobald	K	KOUS	_	18	konj	_	_
15	man	man	P	PIS	_|Nom|Sg	18	subj	_	_
16	sie	sie	P	PPER	3|_|_|_	18	obja	318	318
17	nicht	nicht	P	PTKNEG	_	18	adv	_	_
18	betrauert	betrauern	V	VVFIN	3|Sg|Pres|Ind	3	neb	_	_
19	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	War	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	denn	denn	A	ADV	_	12	adv	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	860	860
5	Hoffnung	Hoffnung	N	NN	Fem|Nom|Sg	2	subj	860	860
6	weniger	weniger	A	ADV	_	8	adv	884	884
7	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	884	884
8	Genuß	Genuß	N	NN	Masc|Nom|Sg	12	pred	884	884
9	der	die	A	ART	Def|Fem|Gen|Sg	11	det	884	884
10	ersten	erst	A	ADJA	_|Fem|Gen|Sg|Wk|	11	attr	884	884
11	Gegenwart	Gegenwart	N	NN	Fem|Gen|Sg	8	gmod	884	884
12	gewesen	sein	V	VAPP	_	2	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	weil	weil	K	KOUS	_	0	root	_	_
15	kein	keine	A	PIAT	_|_|Sg	16	det	_	_
16	größerer	groß	A	ADJA	Masc|Nom|Sg	0	root	_	_
17	einer	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
18	zweiten	zweit	A	ADJA	Fem|_|Sg	16	gmod	_	_
19	,	,	$	$,	_	0	root	_	_
20	keine	keine	A	PIAT	Fem|Nom|Sg	21	det	863	863
21	Erfüllung	Erfüllung	N	NN	Fem|Nom|Sg	23	subj	863	863
22	darauf	darauf	P	PROAV	_	23	objp	_	_
23	folgte	folgen	V	VVFIN	3|Sg|Past|_	0	root	_	_
24	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	3	koord	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	863	863
5	denn	denn	A	ADV	_	3	adv	_	_
6	keine	keine	A	PIAT	Fem|_|Sg	8	det	_	_
7	blumige	blumig	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	_
8	Vergangenheit	Vergangenheit	N	NN	Fem|_|Sg	3	obja	_	_
9	hinter	hinter	P	APPR	_	8	pp	_	_
10	euch	ihr	P	PRF	2|Pl|_	9	pn	_	_
11	angebauet	angebauet	N	NE	Fem|_|Sg	8	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	3	kon	_	_
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	13	cj	_	_
15	ihr	ihre	A	PPOSAT	Masc|Nom|Sg	17	det	863	863
16	hängender	hängend	A	ADJA	Pos|Masc|Nom|Sg|St|<PPRES	17	attr	864	864
17	Garten	Garten	N	NN	Masc|Nom|Sg	14	subj	864	864
18	keiner	keine	P	PIS	Masc|Nom|Sg	14	pred	_	_
19	mehr	mehr	A	ADV	_	18	adv	_	_
20	,	,	$	$,	_	0	root	_	_
21	bloß	bloß	A	ADV	_	22	adv	_	_
22	weil	weil	K	KOUS	_	0	root	_	_
23	er	er	P	PPER	3|Sg|Masc|Nom	0	root	864	864
24	euch	ihr	P	PPER	2|Pl|_|_	0	root	865	865
25	jetzo	jetzo	A	ADV	_	27	adv	_	_
26	zu	zu	P	PTKA	_	27	adv	_	_
27	hoch	hoch	A	ADJD	Pos|	28	adv	_	_
28	hangt	hangt	A	ADJD	_	0	root	_	_
29	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	darnach	darnach	N	NE	_	3	obja	857	857
3	fragt	fragen	V	VVFIN	2|Pl|Pres|Ind	1	cj	_	_
4	ihr	ihr	P	PPER	2|Pl|_|Nom	3	subj	865	865
5	nichts	nichts	P	PIS	_	3	obja	_	_
6	;	;	$	$.	_	0	root	_	_
7	in	in	P	APPR	_	16	pp	_	_
8	euern	eure	A	PPOSAT	Fem|_|Pl	9	det	866	866
9	Berechnungen	Berechnung	N	NN	Fem|_|Pl	7	pn	_	_
10	über	über	P	APPR	_	9	pp	_	_
11	Licht	Licht	N	NN	Neut|_|Sg	10	pn	85	85
12	und	und	K	KON	_	11	kon	_	_
13	Nacht	Nacht	N	NN	Fem|_|Sg	12	cj	_	_
14	eueres	eure	A	PPOSAT	Neut|Gen|Sg	15	det	866	866
15	Lebens	Leben	N	NN	Neut|Gen|Sg	11	gmod	_	_
16	führt	führen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
17	ihr	ihr	P	PPER	2|Pl|_|Nom	16	subj	865	865
18	zwar	zwar	A	ADV	_	16	adv	_	_
19	die	die	A	ART	Def|Fem|_|Sg	21	det	_	_
20	verdunkelnde	verdunkelnd	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	21	attr	_	_
21	Furcht	Furcht	N	NN	Fem|_|Sg	16	obja	_	_
22	,	,	$	$,	_	0	root	_	_
23	aber	aber	K	KON	_	21	kon	_	_
24	nicht	nicht	P	PTKNEG	_	27	adv	_	_
25	die	die	A	ART	Def|Fem|_|Sg	27	det	_	_
26	erhellende	erhellend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	27	attr	_	_
27	Hoffnung	Hoffnung	N	NN	Fem|_|Sg	23	cj	_	_
28	auf	auf	P	PTKVZ	_	16	avz	_	_
29	,	,	$	$,	_	0	root	_	_
30	so	so	A	ADV	_	0	root	_	_
31	wie	wie	P	PWAV	_	44	adv	_	_
32	man	man	P	PIS	_|Nom|Sg	44	subj	_	_
33	etwan	etwan	P	APPR	Dat	32	pp	_	_
34	dem	die	A	ART	Def|Masc|Dat|Sg	35	det	510	510
35	Pole	Pol	N	NN	Masc|Dat|Sg	33	pn	510	510
36	ein	eine	A	ART	Indef|_|_|Sg	37	det	_	_
37	Halbjahr	Halbjahr	N	NN	Fem|_|Sg	44	obja	_	_
38	Nacht	Nacht	N	NN	Fem|_|Sg	37	app	_	_
39	so	so	A	ADV	_	44	adv	_	_
40	wie	wie	K	KOKOM	_	44	kom	_	_
41	ein	eine	A	ART	Indef|_|_|Sg	42	det	_	_
42	Halbjahr	Halbjahr	N	NN	_|_|Sg	40	cj	_	_
43	Tag	Tag	N	NN	_|_|Sg	42	app	_	_
44	zuschreibt	zuschreiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
45	,	,	$	$,	_	0	root	_	_
46	ohne	ohne	K	KOUI	_	52	konj	_	_
47	von	von	P	APPR	Gen	52	pp	_	_
48	jener	jene	A	PDAT	Fem|Gen|Sg	50	det	_	_
49	drei	drei	C	CARD	_	50	attr	_	_
50	Monate	Monat	N	NN	Fem|Gen|Sg	47	pn	_	_
51	Dämmerung	Dämmerung	N	NN	Fem|Gen|Sg	50	app	_	_
52	abzurechnen	abrechnen	V	VVIZU	_	44	neb	_	_
53	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|Nom|Sg	3	det	_	_
2	vierte	viert	A	ADJA	_|Fem|Nom|Sg|_|	3	attr	_	_
3	Täuschung	Täuschung	N	NN	Fem|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	unser	unsre	A	PPOSAT	Neut|Nom|Sg	11	det	_	_
6	(	(	$	$(	_	0	root	_	_
7	schon	schon	A	ADV	_	9	adv	_	_
8	vorhin	vorhin	A	ADV	_	9	adv	_	_
9	gerügtes	gerügt	A	ADJA	Pos|Neut|Nom|Sg|St|	11	attr	_	_
10	)	)	$	$(	_	0	root	_	_
11	Zusammenrechnen	Zusammenrechnen	N	NN	Neut|Nom|Sg	4	pred	_	_
12	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	zu	zu	P	PTKZU	_	4	part	_	_
4	ertragen	ertragen	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PRELS	Neut|Nom|Sg	10	subj	_	_
7	nur	nur	A	ADV	_	10	adv	_	_
8	einen	eine	A	ART	Indef|Masc|Acc|Sg	9	det	_	_
9	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	10	obja	_	_
10	dauert	dauern	V	VVFIN	3|Sg|Pres|Ind	1	rel	_	_
11	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
3	denn	denn	A	ADV	_	10	adv	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	5	det	318	318
5	Leben	Leben	N	NN	Neut|Nom|Sg	2	subj	318	318
6	nicht	nicht	P	PTKNEG	_	10	adv	_	_
7	bloß	bloß	A	ADV	_	10	adv	_	_
8	aus	aus	P	APPR	Dat	10	pp	_	_
9	Augenblicken	Augenblick	N	NN	_|Dat|_	8	pn	867	867
10	zusammengestellt	zusammenstellen	V	VVPP	_	2	aux	_	_
11	?	?	$	$.	_	0	root	_	_

1	Sagst	sagen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	_	_
3	dagegen	dagegen	P	PROAV	_	1	pp	_	_
4	:	\:	$	$.	_	0	root	_	_
5	»	»	$	$(	_	0	root	_	_
6	Viele	viele	A	PIDAT	Masc|Nom|Pl	7	det	_	_
7	Augenblicke	Augenblick	N	NN	Masc|Nom|Pl	8	subj	_	_
