1	O	O	N	NN	Neut|_|_	6	vok	157	157
13	Rosse	Ross	N	NN	Neut|Gen|Pl	11	gmod	172	172
14	weg	weg	P	PTKVZ	_	4	avz	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	4	kon	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	155	155
18	Tag	Tag	N	NN	Masc|Nom|Sg	19	subj	155	155
19	sank	sinken	V	VVFIN	3|Sg|Past|Ind	16	cj	_	_
20	wieder	wieder	A	ADV	_	19	adv	_	_
21	mit	mit	P	APPR	Dat	19	pp	_	_
22	seinem	seine	A	PPOSAT	Masc|Dat|Sg	24	det	155	155
23	weiten	weit	A	ADJA	Pos|Masc|Dat|Sg|Wk|	24	attr	_	_
24	Glanz	Glanz	N	NN	Masc|Dat|Sg	21	pn	_	_
25	über	über	P	APPR	Acc	24	pp	_	_
26	die	die	A	ART	Def|Fem|Acc|Sg	28	det	568	568
27	ganze	ganz	A	ADJA	Pos|Fem|Acc|Sg|_|	28	attr	568	568
28	Erde	Erde	N	NN	Fem|Acc|Sg	25	pn	568	568
29	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|_|Nom|Pl	3	det	173	173
3	Liebenden	Liebende	N	NN	_|Nom|Pl	5	subj	173	173
4	drunten	drunten	N	NE	_|Nom|Pl	3	app	173	173
5	wachten	wachen	V	VVFIN	3|Pl|Past|_	1	cj	_	_
6	auf	auf	P	PTKVZ	_	5	avz	_	_
7	wie	wie	K	KOKOM	_	5	kom	_	_
8	an	an	P	APPR	Dat	7	cj	_	_
9	einem	eine	A	ART	Indef|_|Dat|Sg	10	det	_	_
10	Morgen	Morgen	N	NN	_|Dat|Sg	8	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	aber	aber	K	KON	_	5	kon	_	_
13	die	die	A	ART	Def|Fem|Nom|Sg	14	det	174	174
14	Morgenröte	Morgenröte	N	NN	Fem|Nom|Sg	15	subj	174	174
15	stand	stehen	V	VVFIN	3|Sg|Past|Ind	12	cj	_	_
16	bloß	bloß	A	ADV	_	15	adv	_	_
17	auf	auf	P	APPR	_	15	pp	_	_
18	ihren	ihre	A	PPOSAT	Fem|_|Pl	19	det	174	174
19	Wangen	Wange	N	NN	Fem|_|Pl	17	pn	_	_
20	;	;	$	$.	_	0	root	_	_
21	und	und	K	KON	_	0	root	_	_
22	sie	sie	P	PPER	3|_|_|_	21	cj	174	174
23	schaueten	schaueten	A	ADJD	_	24	adv	_	_
24	selig	selig	A	ADJD	Pos|	31	adv	_	_
25	die	die	A	ART	Def|Fem|_|Sg	31	det	_	_
26	helle	hell	A	ADJA	Pos|Fem|_|Sg|_|	31	attr	_	_
27	,	,	$	$,	_	0	root	_	_
28	jugendliche	jugendlich	A	ADJA	Pos|_|_|_|_|	26	kon	_	_
29	und	und	K	KON	_	28	kon	_	_
30	singende	singend	A	ADJA	Pos|_|_|_|_|<PPRES	29	cj	_	_
31	Erde	Erde	N	NN	Fem|_|Sg	0	root	_	_
32	an	an	P	PTKVZ	_	0	root	_	_
33	und	und	K	KON	_	0	root	_	_
34	den	die	A	ART	Def|Masc|Acc|Sg	35	det	_	_
35	Glanz	Glanz	N	NN	Masc|Acc|Sg	33	cj	_	_
36	ihres	ihre	A	PPOSAT	_|Gen|Sg	37	det	173	173
37	Taues	Tau	N	NN	_|Gen|Sg	35	gmod	_	_
38	in	in	P	APPR	Dat	37	pp	_	_
39	den	die	A	ART	Def|Fem|Dat|Pl	42	det	_	_
40	aufgerichteten	aufgerichtet	A	ADJA	Pos|Fem|Dat|Pl|_|	42	attr	_	_
41	frischen	frisch	A	ADJA	Pos|Fem|Dat|Pl|_|	42	attr	_	_
42	Blumen	Blume	N	NN	Fem|Dat|Pl	38	pn	_	_
43	.	.	$	$.	_	0	root	_	_

1	Luna	Luna	N	NE	_|Nom|Sg	3	subj	147	147
2	aber	aber	A	ADV	_	1	adv	147	147
3	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	vom	von	P	APPRART	Dat	3	pp	_	_
5	Sehnen	Sehne	N	NN	_|Dat|_	4	pn	_	_
6	träge	träge	A	ADJD	_	3	adv	_	_
7	hinter	hinter	P	APPR	Dat	3	pp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	10	det	_	_
9	raschen	rasch	A	ADJA	Pos|Masc|Dat|Sg|Wk|	10	attr	_	_
10	Jüngling	Jüngling	N	NN	Masc|Dat|Sg	7	pn	_	_
11	zurück	zurück	P	PTKVZ	_	3	avz	_	_
12	und	und	K	KON	_	0	root	_	_
13	immer	immer	A	ADV	_	14	adv	_	_
14	weiter	weiter	A	ADV	_	12	cj	_	_
15	zurück	zurück	P	PTKVZ	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	bis	bis	K	KOUS	_	21	konj	_	_
18	die	die	A	ART	Def|Fem|Nom|Sg	19	det	175	175
19	Nacht	Nacht	N	NN	Fem|Nom|Sg	21	subj	175	175
20	sie	sie	P	PPER	3|_|_|_	21	obja	147	147
21	übereilte	übereilen	V	VVFIN	3|Sg|Past|_	0	root	_	_
22	:	\:	$	$.	_	0	root	_	_
23	dann	dann	A	ADV	_	24	adv	_	_
24	ward	ward	V	VAFIN	_|_|_|_	0	root	_	_
25	auch	auch	A	ADV	_	24	adv	_	_
26	die	die	A	ART	Def|_|Nom|_	27	det	_	_
27	Blöde	Blöde	N	NN	_|Nom|_	24	subj	_	_
28	wieder	wieder	A	ADV	_	24	adv	_	_
29	selig	selig	A	ADJD	Pos|	24	adv	_	_
30	.	.	$	$.	_	0	root	_	_

1	Straßenbettler	Straßenbettler	N	NN	Masc|_|_	0	root	_	_
2	und	und	K	KON	_	1	kon	_	_
3	Straßen	Straß	N	NN	_|_|Pl	2	cj	_	_
4	-	-	$	$(	_	0	root	_	_
5	meine	meine	A	PPOSAT	Fem|_|Pl	7	det	_	_
6	neuen	neu	A	ADJA	Pos|Fem|_|Pl|Wk|	7	attr	_	_
7	Bekanntschaften	Bekanntschaft	N	NN	Fem|_|Pl	0	root	_	_
8	-	-	$	$(	_	0	root	_	_
9	Hut-Orden	Hut-Orden	N	NN	Masc|_|_	7	par	_	_
10	-	-	$	$(	_	0	root	_	_
11	heutige	heutig	A	ADJA	Pos|Fem|_|Sg|_|	12	attr	_	_
12	Achtung	Achtung	N	NN	Fem|_|Sg	7	app	_	_
13	für	für	P	APPR	Acc	12	pp	_	_
14	das	die	A	ART	Def|Neut|Acc|Sg	15	det	_	_
15	Alter	Alter	N	NN	Neut|Acc|_	13	pn	_	_
16	-	-	$	$(	_	0	root	_	_
17	Gemeinwesen	Gemeinwesen	N	NN	Neut|Acc|_	15	app	_	_
18	von	von	P	APPR	_	17	pp	_	_
19	Kuhschnappel	Kuhschnappel	N	NE	_|_|_	18	pn	133	133
20	-	-	$	$(	_	0	root	133	133
21	nähere	nah	A	ADJA	Comp|Masc|_|Pl|St|	22	attr	133	133
22	Berichte	Bericht	N	NN	Masc|_|Pl	12	app	133	133
23	vorn	vorn	A	ADV	_	22	adv	133	133
24	Gremser	Gremser	N	NE	Neut|_|Sg	22	app	133	133
25	Pickenick	Pickenick	N	NE	Neut|_|Sg	24	app	133	133
26	Postskript	Postskript	N	NN	Neut|_|Sg	25	app	133	133
27	:	\:	$	$.	_	0	root	_	_
28	Bittschrift	Bittschrift	N	NN	Fem|Dat|Sg	35	objd	_	_
29	an	an	P	APPR	Acc	28	pp	_	_
30	die	die	A	ART	Def|Fem|Acc|Sg	32	det	34	34
31	deutsche	deutsch	A	ADJA	Pos|Fem|Acc|Sg|_|	32	attr	34	34
32	Hut-Union	Hut-Union	N	NN	Fem|Acc|Sg	29	pn		

1	K.	K.	N	NE	_	0	root	176	176
2	,	,	$	$,	_	0	root	176	176
3	d.	d.	N	NE	_	1	app	176	176

1	Jun	Jun	N	NE	_	0	root	134	134
2	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
2	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Lieber	Liebe	N	NN	_|_|_	0	root	377	377
5	,	,	$	$,	_	0	root	_	_
6	nun	nun	A	ADV	_	8	adv	1032	1032
7	meinen	meine	A	PPOSAT	Masc|_|Sg	8	det	177	177
8	Brief	Brief	N	NN	Masc|_|Sg	0	root	_	_
9	aus	aus	P	APPR	Dat	8	pp	_	_
10	Überlingen	Überlingen	N	NE	Neut|Dat|Sg	9	pn	259	259
11	haben	haben	V	VAINF	_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	177	177
4	schon	schon	A	ADV	_	2	adv	_	_
5	in	in	P	APPR	_	2	pp	_	_
6	Kuhschnappel	Kuhschnappel	N	NE	_|_|_	5	pn	43	43
7	;	;	$	$.	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	kenne	kennen	V	VVFIN	_|Sg|Pres|_	8	cj	_	_
10	da	da	A	ADV	_	9	adv	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	viele	viele	A	PIDAT	_|_|Pl	13	det	_	_
13	Leute	Leute	N	NN	_|_|Pl	9	obja	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	20	konj	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	177	177
17	einige	einige	A	PIAT	Fem|Nom|Pl	18	det	_	_
18	Wochen	Woche	N	NN	Fem|Nom|Pl	19	pred	_	_
19	bleiben	bleiben	V	VVINF	_	20	aux	_	_
20	kann	können	V	VMFIN	1|Sg|Pres|Ind	9	subjc	_	_
21	.	.	$	$.	_	0	root	_	_

1	Entsetzlicher	entsetzlich	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	178	178
2	Schmutz	Schmutz	N	NN	Masc|Nom|Sg	0	root	178	178
3	,	,	$	$,	_	0	root	178	178
4	der	die	P	PRELS	Masc|Nom|Sg	8	subj	178	178
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	7	det	_	_
6	fürstlichen	fürstlich	A	ADJA	Pos|Masc|Acc|Sg|_|	7	attr	_	_
7	Straßendamm	Straßendamm	N	NN	Masc|Acc|Sg	8	obja	_	_
8	verschlingt	verschlingen	V	VVFIN	3|Sg|Pres|Ind	2	rel	_	_
9	wie	wie	K	KOKOM	_	8	kom	_	_
10	Sand	Sand	N	NN	Masc|_|Sg	9	cj	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	553)	553)
12	Rhein	Rhein	N	NE	Masc|Acc|Sg	0	root	553)	553)
13	,	,	$	$,	_	0	root	553)	553)
14	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	553)	553)
15	mir	ich	P	PPER	1|Sg|_|Dat	14	objd	177	177
16	immer	immer	A	ADV	_	14	adv	_	_
17	die	die	A	ART	Def|Fem|_|Sg	18	det	687	687
18	Hoffnung	Hoffnung	N	NN	Fem|_|Sg	14	obja	687	687
19	,	,	$	$,	_	0	root	_	_
20	daß	daß	K	KOUS	_	29	konj	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	29	subj	177	177
22	einer	eine	A	ART	Indef|Fem|Dat|Sg	23	det	_	_
23	Reichsstadt	Reichsstadt	N	NN	Fem|Dat|Sg	29	objd	_	_
24	oder	oder	K	KON	_	23	kon	_	_
25	einem	eine	A	ART	Indef|Neut|Dat|Sg	26	det	_	_
26	Reichsvorstädtchen	Reichsvorstädtchen	N	NN	Neut|Dat|Sg	24	cj	_	_
27	wie	wie	K	KOKOM	_	29	kom	_	_
28	Kuhschnappel	Kuhschnappel	N	NE	_	27	cj	43	43
29	zufahre	zufahren	V	VVFIN	1|Sg|Pres|_	14	subjc	_	_
30	;	;	$	$.	_	0	root	_	_
31	ein	eine	A	ART	Indef|Masc|Nom|Sg	33	det	_	_
32	elender	elend	A	ADJA	Pos|Masc|Nom|Sg|St|	33	attr	_	_
33	Weg	Weg	N	NN	Masc|Nom|Sg	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	36	subj	177	177
36	meine	meinen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
37	das	die	P	PDS	Neut|_|Sg	36	obja	_	_
38	,	,	$	$,	_	0	root	_	_
39	was	was	P	PRELS	Neut|Nom|Sg	41	subj	43	43
40	darauf	darauf	P	PROAV	_	41	pp	_	_
41	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	43	objc	_	_
42	,	,	$	$,	_	0	root	_	_
43	ist	sein	V	VAFIN	3|Sg|Pres|Ind	36	kon	_	_
44	die	die	A	ART	Def|Fem|Nom|Sg	46	det	_	_
45	beste	gut	A	ADJA	Sup|Fem|Nom|Sg|_|	46	attr	_	_
46	Lösung	Lösung	N	NN	Fem|Nom|Sg	43	subj	_	_
47	und	und	K	KON	_	46	kon	_	_
48	Fährte	Fährte	N	NN	Fem|Nom|Sg	47	cj	_	_
49	der	die	A	ART	Def|Neut|Gen|Pl	51	det	_	_
50	freien	frei	A	ADJA	Pos|Neut|Gen|Pl|Wk|	51	attr	_	_
51	Reichs-Peterlein	Reichs-Peterlein	N	NN	Neut|Gen|Pl	46	gmod	_	_
52	;	;	$	$.	_	0	root	_	_
53	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
54	zweite	zweit	A	ADJA	_|_|_|_|_|	0	root	_	_
55	Kennzeichen	Kennzeichen	N	NN	Neut|Dat|_	56	objd	_	_
56	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
57	auch	auch	A	ADV	_	56	adv	_	_
58	eines	eine	P	PIS	Neut|Nom|Sg	56	subj	_	_
59	,	,	$	$,	_	0	root	_	_
60	daß	daß	K	KOUS	_	72	konj	_	_
61	nämlich	nämlich	A	ADV	_	62	adv	_	_
62	zur	zu	P	APPRART	Dat	66	pp	_	_
63	freien	frei	A	ADJA	Pos|Fem|Dat|Sg|Wk|	64	attr	_	_
64	Reichsstadt	Reichsstadt	N	NN	Fem|Dat|Sg	62	pn	_	_
65	nicht	nicht	P	PTKNEG	_	66	adv	_	_
66	wie	wie	K	KOKOM	_	72	kom	_	_
67	zu	zu	P	APPR	Dat	71	pp	1014	1014
68	jüdischen	jüdisch	A	ADJA	Pos|Fem|Dat|Pl|_|	69	attr	1014	1014
69	Freistädten	Freistadt	N	NN	Fem|Dat|Pl	67	pn	1014	1014
70	die	die	A	ART	Def|Masc|_|Pl	71	det	1014	1014
71	Wege	Weg	N	NN	Masc|_|Pl	66	cj	1014	1014
72	leicht	leicht	A	ADJD	Pos|	56	neb	_	_
73	und	und	K	KON	_	56	kon	_	_
74	gerade	gerade	A	ADV	_	75	adv	_	_
75	laufen	laufen	V	VVFIN	_|Pl|Pres|_	73	cj	_	_
76	,	,	$	$,	_	0	root	_	_
77	sondern	sondern	K	KON	_	0	root	_	_
78	wie	wie	K	KOKOM	_	77	cj	_	_
79	zu	zu	P	APPR	Dat	81	pp	_	_
80	Lusthäusern	Lusthaus	N	NN	_|Dat|Pl	79	pn	_	_
81	schön	schön	A	ADJD	Pos|	78	cj	_	_
82	gebogen	biegen	V	VVPP	_	0	root	_	_
83	.	.	$	$.	_	0	root	_	_

1	Paullini	Paullini	N	NE	Masc|Nom|Sg	10	subj	179	179
2	,	,	$	$,	_	0	root	179	179
3	der	die	P	PRELS	Masc|Nom|Sg	8	subj	179	179
4	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
5	Teleologie	Teleologie	N	NN	Fem|_|Sg	8	obja	_	_
6	des	die	A	ART	Def|Masc|Gen|Sg	7	det	_	_
7	Kotes	Kot	N	NN	Masc|Gen|Sg	5	gmod	_	_
8	schrieb	schreiben	V	VVFIN	3|Sg|Past|Ind	1	rel	_	_
9	,	,	$	$,	_	0	root	_	_
10	handelte	handeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	nicht	nicht	P	PTKNEG	_	10	adv	_	_
12	gut	gut	A	ADJD	Pos|	10	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	daß	daß	K	KOUS	_	20	konj	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	179	179
16	nicht	nicht	P	PTKNEG	_	20	adv	_	_
17	zu	zu	P	APPR	Dat	20	objp	_	_
18	den	die	A	ART	Def|_|Dat|Pl	19	det	180	180
19	Kuhschnapplern	Kuhschnapplern	N	NN	_|Dat|Pl	17	pn	180	180
20	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	10	objc	180	180
21	,	,	$	$,	_	0	root	180	180
22	die	die	P	PRELS	_|Nom|Pl	25	subj	180	180
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	181	181
24	Schwalbe	Schwalbe	N	NN	Fem|Dat|Sg	25	objd	181	181
25	gleichen	gleichen	V	VVFIN	3|Pl|Pres|_	19	rel	181	181
26	,	,	$	$,	_	0	root	181	181
27	welche	welche	P	PRELS	Fem|Nom|Sg	32	subj	181	181
28	den	die	A	ART	Def|Masc|Acc|Sg	29	det	_	_
29	Sommerschlaf	Sommerschlaf	N	NN	Masc|Acc|Sg	32	obja	_	_
30	in	in	P	APPR	_	32	pp	_	_
31	trocknem	trocknem	N	NE	_|_|_	30	pn	_	_
32	verbringt	verbringen	V	VVFIN	3|Sg|Pres|Ind	24	rel	_	_
33	,	,	$	$,	_	0	root	_	_
34	und	und	K	KON	_	0	root	_	_
35	den	die	A	ART	Def|Masc|Acc|Sg	36	det	_	_
36	Winterschlaf	Winterschlaf	N	NN	Masc|Acc|Sg	34	cj	_	_
37	in	in	P	APPR	Dat	36	pp	_	_
38	feuchtem	feucht	A	ADJA	Pos|_|Dat|Sg|St|	37	pn	_	_
39	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	hätt	hätt	V	VVFIN	1|Sg|_|_	2	cj	_	_
4	'	'	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	177	177
6	auch	auch	A	ADV	_	17	adv	_	_
7	meinen	meine	A	PPOSAT	Masc|_|Sg	8	det	177	177
8	Durchgang	Durchgang	N	NN	Masc|_|Sg	17	obja	_	_
9	durch	durch	P	APPR	Acc	17	pp	_	_
10	das	die	A	ART	Def|Neut|Acc|Sg	14	det	_	_
11	rote	rot	A	ADJA	Pos|Neut|Acc|Sg|Wk|	14	attr	_	_
12	oder	oder	K	KON	_	11	kon	_	_
13	schwarze	schwarz	A	ADJA	Pos|_|Acc|_|_|	12	cj	_	_
14	Meer	Meer	N	NN	Neut|Acc|Sg	9	pn	_	_
15	im	in	P	APPRART	Dat	17	pp	_	_
16	Schlafe	Schlaf	N	NN	Masc|Dat|Sg	15	pn	587	587
17	gemacht	machen	V	VVPP	_	3	neb	_	_
18	:	\:	$	$.	_	0	root	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
21	mir	ich	P	PPER	1|Sg|_|Dat	33	objd	177	177
22	doch	doch	A	ADV	_	33	adv	_	_
23	ein	eine	A	ART	Indef|Masc|Nom|Sg	25	det	_	_
24	dritter	dritt	A	ADJA	_|Masc|Nom|Sg|St|	25	attr	_	_
25	Reichsanzeiger	Reichsanzeiger	N	NN	Masc|Nom|Sg	20	subj	_	_
26	einer	eine	A	ART	Indef|Fem|Gen|Sg	27	det	_	_
27	Reichsstadt	Reichsstadt	N	NN	Fem|Gen|Sg	25	gmod	_	_
28	aus	aus	P	APPR	Dat	27	pp	_	_
29	ihm	er	P	PPER	3|Sg|_|Dat	28	pn	179	179
30	und	und	K	KON	_	29	kon	_	_
31	dem	die	A	ART	Def|Masc|Dat|Sg	32	det	565	565
32	Traume	Traum	N	NN	Masc|Dat|Sg	30	cj	565	565
33	geholfen	helfen	V	VVPP	_	20	aux	_	_
34	,	,	$	$,	_	0	root	_	_
35	das	die	A	ART	Def|Neut|_|Sg	36	det	_	_
36	Bettelvolk	Bettelvolk	N	NN	Neut|_|Sg	0	root	_	_
37	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	_	_
2	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	5	expl	_	_
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	zählen	zählen	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	weil	weil	K	KOUS	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	ungleich	ungleich	A	ADJD	Pos|	12	adv	_	_
11	dem	die	A	ART	Def|_|Dat|Sg	12	det	_	_
12	jüdischen	jüdisch	A	ADJA	_|Dat|Sg	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	eben	eben	A	ADV	_	18	adv	_	_
15	unter	unter	P	APPR	Dat	18	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	_	_
17	Zählung	Zählung	N	NN	Fem|Dat|Sg	15	pn	_	_
18	wächst	wachsen	V	VVFIN	_|Sg|Pres|Ind	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	177	177
2	debütierte	debütieren	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	in	in	P	APPR	Dat	2	pp	_	_
4	einer	eine	A	ART	Indef|Fem|Dat|Sg	5	det	_	_
5	Benefizkomödie	Benefizkomödie	N	NN	Fem|Dat|Sg	3	pn	_	_
6	für	für	P	APPR	Acc	5	pp	_	_
7	Arme	Arm	N	NN	_|Acc|_	6	pn	184	184
8	mit	mit	P	APPR	Dat	2	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	_	_
10	Forcerolle	Forcerolle	N	NN	Fem|Dat|Sg	8	pn	_	_
11	und	und	K	KON	_	2	kon	_	_
12	gab	geben	V	VVFIN	_|Sg|Past|Ind	11	cj	_	_
13	und	und	K	KON	_	12	kon	_	_
14	gab	geben	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
15	.	.	$	$.	_	0	root	_	_

1	Meiners	Meiner	N	NN	Masc|Gen|Sg	0	root	183	183
2	muß	müssen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
3	von	von	P	APPR	_	8	pp	_	_
4	der	die	A	ART	Def|Fem|_|Sg	5	det	182	182
5	Schweiz	Schweiz	N	NE	Fem|_|Sg	3	pn	182	182
6	aus	aus	P	APPR	Dat	8	pp	_	_
7	hier	hier	A	ADV	_	6	adv	_	_
8	durchgegangen	durchgehen	V	VVPP	_	9	aux	_	_
9	sein	sein	V	VAINF	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	weil	weil	K	KOUS	_	13	konj	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	183	183
13	bemerkt	bemerken	V	VVFIN	3|Sg|Pres|Ind	2	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	19	konj	_	_
16	nirgends	nirgends	A	ADV	_	19	adv	_	_
17	mehr	mehr	A	PIAT	Neut|Nom|Pl	18	det	_	_
18	Gelder	Geld	N	NN	Neut|Nom|Pl	19	subj	_	_
19	liegen	liegen	V	VVFIN	3|Pl|Pres|_	13	objc	_	_
20	als	als	K	KOKOM	_	19	kom	_	_
21	in	in	P	APPR	_	33	pp	_	_
22	Despotien	Despotie	N	NN	Fem|_|Pl	21	pn	_	_
23	-	-	$	$(	_	0	root	_	_
24	und	und	K	KON	_	21	kon	_	_
25	folglich	folglich	A	ADV	_	24	cj	_	_
26	in	in	P	APPR	_	33	pp	_	_
27	Freistaaten	Freistaat	N	NN	Masc|_|Pl	26	pn	_	_
28	und	und	K	KON	_	27	kon	_	_
29	gar	gar	A	ADV	_	30	adv	_	_
30	Freistätlein	Freistätlein	N	NN	Neut|_|_	28	cj	_	_
31	kein	keine	A	PIAT	Masc|Nom|Sg	33	det	_	_
32	anderer	anderer	A	ADJA	_|Masc|Nom|Sg|_	33	attr	_	_
33	Heller	Helle	N	NN	Masc|Nom|Sg	20	cj	_	_
34	,	,	$	$,	_	0	root	_	_
35	als	als	K	KOKOM	_	38	kom	_	_
36	den	die	A	ART	Def|Masc|Acc|Sg	37	det	_	_
37	Bettler	Bettler	N	NN	Masc|Acc|Sg	35	cj	_	_
38	kriegen	kriegen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
39	.	.	$	$.	_	0	root	_	_

1	Wahrhaftig	wahrhaftig	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	P	PWAV	_	0	root	_	_
4	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
5	Bilderbibel	Bilderbibel	N	NN	Fem|_|Sg	0	root	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	7	det	1048	1048
7	Bibel	Bibel	N	NN	Fem|Nom|Sg	16	subj	1048	1048
8	für	für	P	APPR	Acc	7	pp	1048	1048
9	Arme	Arm	N	NN	_|Acc|_	8	pn	184	184
10	und	und	K	KON	_	9	kon	_	_
11	Plinius	Plinius	N	NE	_|Acc|_	10	cj	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	_	_
13	Bibliothek	Bibliothek	N	NN	Fem|Nom|Sg	16	pred	_	_
14	für	für	P	APPR	Acc	16	pp	_	_
15	Arme	Arm	N	NN	_|Acc|_	14	pn	184	184
16	heißet	heißen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
17	:	\:	$	$.	_	0	root	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
20	eine	eine	A	ART	Indef|Fem|Nom|Sg	22	det	278	278
21	solche	solche	A	PIDAT	Fem|Nom|Sg	22	attr	278	278
22	Stadt	Stadt	N	NN	Fem|Nom|Sg	19	subj	278	278
23	die	die	A	ART	Def|Fem|Nom|Sg	24	det	_	_
24	Judengasse	Judengasse	N	NN	Fem|Nom|Sg	19	pred	_	_
25	für	für	P	APPR	Acc	24	pp	_	_
26	Arme	Arm	N	NN	_|Acc|_	25	pn	184	184
27	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	29	expl	_	_
2	begegnete	begegnen	V	VVFIN	_|Sg|Past|_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	185	185
4	schon	schon	A	ADV	_	2	adv	_	_
5	in	in	P	APPR	Dat	2	pp	_	_
6	andern	andern	A	ADJA	_|Fem|Dat|Pl|_	8	attr	_	_
7	biographischen	biographisch	A	ADJA	Pos|Fem|Dat|Pl|_|	8	attr	_	_
8	Städten	Stadt	N	NN	Fem|Dat|Pl	5	pn	_	_
9	und	und	K	KON	_	5	kon	_	_
10	so	so	A	ADV	_	9	cj	_	_
11	in	in	P	APPR	Dat	2	pp	_	_
12	dieser	diese	P	PDS	Fem|Dat|Sg	11	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	daß	daß	K	KOUS	_	29	konj	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	29	subj	185	185
16	in	in	P	APPR	Dat	29	pp	_	_
17	der	die	A	ART	Def|Fem|Dat|Sg	18	det	1361	1361
18	Ferne	Ferne	N	NN	Fem|Dat|Sg	16	pn	1361	1361
19	noch	noch	A	ADV	_	29	adv	_	_
