1	Evas	Eva	N	NE	Fem|Gen|Sg	2	gmod	1221	1221
35	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
36	der	die	A	ART	Def|Masc|Nom|Sg	37	det	_	_
37	Eva	Eva	N	NE	Masc|Nom|Sg	35	pred	_	_
38	weis	weis	N	NE	Masc|Nom|Sg	37	app	_	_
39	,	,	$	$,	_	0	root	_	_
40	er	er	P	PPER	Masc|Nom|Sg	0	root	1	1
41	zög	zög	F	FM	_	40	app	_	_
42	'	'	$	$(	_	0	root	_	_
43	in	in	P	APPR	Acc	41	pp	_	_
44	die	die	A	ART	Def|Fem|Acc|Sg	45	det	1171	1171
45	Stadt	Stadt	N	NN	Fem|Acc|Sg	43	pn	1171	1171
46	und	und	K	KON	_	0	root	_	_
47	machte	machen	V	VVFIN	_|Sg|Past|_	46	cj	_	_
48	Advokaten-Schriften	Advokaten-Schrift	N	NN	Fem|_|Pl	47	obja	_	_
49	,	,	$	$,	_	0	root	_	_
50	und	und	K	KON	_	0	root	_	_
51	dann	dann	A	ADV	_	50	cj	_	_
52	,	,	$	$,	_	0	root	_	_
53	wenn	wenn	K	KOUS	_	0	root	_	_
54	er	er	P	PPER	3|Sg|Masc|Nom	0	root	1	1
55	unser	unsre	A	PPOSAT	Masc|Nom|Sg	56	det	1370	1370
56	Herr	Herr	N	NN	Masc|Nom|Sg	58	subj	1370	1370
57	Gerichtshalter	Gerichtshalter	N	NE	Masc|Nom|Sg	56	app	1370	1370
58	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
59	,	,	$	$,	_	0	root	_	_
60	so	so	A	ADV	_	63	adv	_	_
61	käm	käm	A	ADJD	_	63	adv	_	_
62	'	'	$	$(	_	0	root	_	_
63	er	er	P	PPER	3|Sg|Masc|Nom	0	root	1	1
64	wieder	wieder	A	ADV	_	63	adv	_	_
65	heraus	heraus	P	PTKVZ	_	0	root	_	_
66	,	,	$	$,	_	0	root	_	_
67	und	und	K	KON	_	0	root	_	_
68	dann	dann	A	ADV	_	74	adv	_	_
69	,	,	$	$,	_	0	root	_	_
70	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	68	par	_	_
71	'	'	$	$(	_	0	root	_	_
72	er	er	P	PPER	3|Sg|Masc|Nom	70	subj	1	1
73	,	,	$	$,	_	0	root	_	_
74	sei	sein	V	VAFIN	3|Sg|Pres|Subj	67	cj	_	_
75	Gott	Gott	N	NN	Masc|Nom|Sg	74	subj	1133	1133
76	dem	die	A	ART	Def|_|Dat|Sg	77	det	1294	1294
77	Oberseeser	Oberseeser	N	NN	Masc|Dat|Sg	74	objd	1294	1294
78	gnädig	gnädig	A	ADJD	Pos|	74	pred	1294	1294
79	,	,	$	$,	_	0	root	1294	1294
80	der	die	P	PRELS	Masc|Nom|Sg	84	subj	1294	1294
81	nicht	nicht	P	PTKNEG	_	83	adv	1295	1295
82	sechs	sechs	C	CARD	_	83	attr	1295	1295
83	Reverenzen	Reverenz	N	NN	Fem|_|Pl	84	obja	1295	1295
84	macht	machen	V	VVFIN	3|Sg|Pres|Ind	77	rel	_	_
85	,	,	$	$,	_	0	root	_	_
86	wenn	wenn	K	KOUS	_	95	konj	_	_
87	ich	ich	P	PPER	1|Sg|_|Nom	95	subj	1293	1293
88	oder	oder	K	KON	_	87	kon	_	_
89	meine	meine	A	PPOSAT	Fem|Nom|Sg	90	det	1293	1293
90	Frau	Frau	N	NN	Fem|Nom|Sg	88	cj	_	_
91	zum	zu	P	APPRART	Dat	95	pp	_	_
92	Fenster	Fenster	N	NN	Neut|Dat|Sg	91	pn	_	_
93	'	'	$	$(	_	0	root	_	_
94	naus	naus	N	NE	Neut|Dat|Sg	92	app	_	_
95	niesen	niesen	V	VVFIN	_|Pl|Pres|_	84	neb	_	_
96	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	aus	aus	P	APPR	Dat	10	pp	_	_
3	dem	die	A	ART	Def|Masc|Dat|Sg	4	det	_	_
4	Schulmeister	Schulmeister	N	NN	Masc|Dat|Sg	2	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	4	par	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	_	_
8	Lügner	Lügner	N	NN	Masc|Nom|Sg	6	subj	_	_
9	,	,	$	$,	_	0	root	_	_
10	kann	können	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
11	nichts	nichts	P	PIS	_|Nom|Sg	10	subj	_	_
12	mehr	mehr	A	ADV	_	11	adv	_	_
13	werden	werden	V	VAINF	_	10	aux	_	_
14	:	\:	$	$.	_	0	root	_	_
15	gnädige	gnädig	A	ADJA	Pos|Masc|_|Pl|St|	16	attr	_	_
16	Herren	Herr	N	NN	Masc|_|Pl	19	vok	_	_
17	,	,	$	$,	_	0	root	_	_
18	Sie	sie	P	PPER	3|Pl|_|Nom	19	subj	1295	1295
19	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
20	einen	eine	A	ART	Def|Masc|Acc|Sg	25	det	1296	1296
21	oder	oder	K	KON	_	20	kon	1296	1296
22	den	die	A	ART	Def|Masc|Acc|Sg	21	cj	1296	1296
23	andern	andern	A	ADJA	_|Masc|Acc|Sg|_	25	attr	1296	1296
24	geistlichen	geistlich	A	ADJA	Pos|Masc|Acc|Sg|_|	25	attr	1296	1296
25	Vers	Vers	N	NN	Masc|Acc|Sg	26	obja	1296	1296
26	sehen	sehen	V	VVINF	_	19	aux	1296	1296
27	,	,	$	$,	_	0	root	1296	1296
28	den	die	P	PRELS	Masc|Acc|Sg	33	obja	1296	1296
29	ich	ich	P	PPER	1|Sg|_|Nom	33	subj	1293	1293
30	Gott	Gott	N	NN	Masc|Dat|Sg	33	objd	_	_
31	zu	zu	P	APPR	Dat	30	pp	_	_
32	Ehren	Ehre	N	NN	_|Dat|_	31	pn	_	_
33	dichte	dichten	V	VVFIN	1|Sg|Pres|_	25	rel	_	_
34	.	.	$	$.	_	0	root	_	_
35	«	«	$	$(	_	0	root	_	_
36	-	-	$	$(	_	0	root	_	_
37	»	»	$	$(	_	0	root	_	_
38	Ich	ich	P	PPER	1|Sg|_|Nom	39	subj	1293	1293
39	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
40	ein	eine	A	ART	Indef|Neut|_|Sg	42	det	_	_
41	ganzes	ganz	A	ADJA	Pos|Neut|_|Sg|St|	42	attr	_	_
42	Lied	Lied	N	NN	Neut|_|Sg	44	obja	_	_
43	davon	davon	P	PROAV	_	44	pp	_	_
44	sehen	sehen	V	VVINF	_	39	aux	_	_
45	,	,	$	$,	_	0	root	_	_
46	Herr	Herr	N	NN	Masc|_|Sg	0	root	1287	1287
47	Schnäzler	Schnäzler	N	NE	Masc|_|Sg	46	app	1287	1287
48	«	«	$	$(	_	0	root	_	_
49	,	,	$	$,	_	0	root	_	_
50	sagt	sagen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
51	'	'	$	$(	_	0	root	_	_
52	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1293	1293
53	und	und	K	KON	_	0	root	_	_
54	zog	ziehen	V	VVFIN	_|Sg|Past|Ind	53	cj	_	_
55	mit	mit	P	APPR	Dat	54	pp	_	_
56	dem	die	A	ART	Def|Masc|Dat|Sg	58	det	1445	1445
57	erstaunten	erstaunt	A	ADJA	Pos|Masc|Dat|Sg|Wk|	58	attr	1445	1445
58	Dichter	Dichter	N	NN	Masc|Dat|Sg	55	pn	1445	1445
59	zum	zu	P	APPRART	Dat	54	pp	_	_
60	Schlosse	Schloss	N	NN	_|Dat|Sg	59	pn	1211	1211
61	hinaus	hinaus	P	PTKVZ	_	54	avz	_	_
62	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1211	1211
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	eher	eher	A	ADV	_	2	adv	_	_
5	als	als	K	KOKOM	_	2	kom	_	_
6	vor	vor	P	APPR	Dat	5	cj	_	_
7	dem	die	A	ART	Def|Neut|Dat|Sg	8	det	_	_
8	Fenster	Fenster	N	NN	Neut|Dat|Sg	6	pn	_	_
9	des	die	A	ART	Def|Masc|Gen|Sg	10	det	1306	1306
10	Ranzenadvokaten	Ranzenadvokat	N	NN	Masc|Gen|Sg	8	gmod	1306	1306
11	zur	zu	P	APPRART	Dat	2	objp	_	_
12	Besinnung	Besinnung	N	NN	Fem|Dat|Sg	11	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	wovor	wovor	V	VVFIN	3|Sg|_|_	2	s	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	1211	1211
16	mich	ich	P	PPER	1|Sg|_|Acc	14	obja	1293	1293
17	dicht	dicht	A	ADJD	Pos|	14	adv	_	_
18	vorüberführte	vorüberführen	V	VVFIN	_|Sg|Past|_	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	19	pp	_	_
2	seiner	seine	A	PPOSAT	Fem|Dat|Sg	3	det	1	1
3	Stube	Stube	N	NN	Fem|Dat|Sg	1	pn	1297	1297
4	,	,	$	$,	_	0	root	1297	1297
5	die	die	P	PRELS	Fem|Nom|Sg	10	subj	1297	1297
6	kein	keine	A	PIAT	Neut|_|Sg	9	det	_	_
7	andres	andere	A	PIDAT	Neut|_|Sg	9	attr	_	_
8	französisches	französisch	A	ADJA	Pos|Neut|_|Sg|St|	9	attr	_	_
9	Schloß	Schloß	N	NN	Neut|_|Sg	10	obja	_	_
10	hatte	haben	V	VAFIN	3|Sg|Past|Ind	3	rel	_	_
11	als	als	K	KOKOM	_	10	kom	_	_
12	ein	eine	A	ART	Indef|_|_|Sg	13	det	_	_
13	otaheitisches	otaheitisches	N	NN	_|_|Sg	11	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	nämlich	nämlich	A	ADV	_	17	adv	_	_
16	fremde	fremd	A	ADJA	Pos|Fem|_|Sg|_|	17	attr	_	_
17	Ehrlichkeit	Ehrlichkeit	N	NN	Fem|_|Sg	13	kon	_	_
18	,	,	$	$,	_	0	root	_	_
19	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	wie	wie	P	PWAV	_	0	root	_	_
22	sie	sie	P	PPER	3|_|_|_	0	root	1297	1297
23	,	,	$	$,	_	0	root	_	_
24	alles	alle	P	PIS	_|_|Sg	0	root	_	_
25	offen	offen	A	ADJD	Pos|	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	nämlich	nämlich	A	ADV	_	29	adv	1300	1300
28	alle	alle	A	PIDAT	_|_|Pl	29	det	1300	1300
29	Gesangbücher	Gesangbuch	N	NN	_|_|Pl	0	root	1300	1300
30	,	,	$	$,	_	0	root	1300	1300
31	das	die	A	ART	Def|Neut|_|Sg	33	det	1300	1300
32	Berliner	Berliner	A	ADJA	Pos|_|_|_|_|	33	attr	1300	1300
33	alte	alt	A	ADJA	Neut|_|Sg	29	kon	1300	1300
34	und	und	K	KON	_	33	kon	_	_
35	neue	neu	A	ADJA	Pos|_|_|_|_|	34	cj	_	_
36	,	,	$	$,	_	0	root	_	_
37	das	die	A	ART	Def|Neut|_|Sg	38	det	_	_
38	Baireuther	Baireuther	N	NN	Neut|_|Sg	0	root	_	_
39	alte	alt	A	ADJA	Pos|_|_|_|_|	0	root	_	_
40	und	und	K	KON	_	39	kon	_	_
41	neue	neu	A	ADJA	Pos|_|_|_|_|	40	cj	_	_
42	,	,	$	$,	_	0	root	_	_
43	das	die	A	ART	Def|Neut|_|Sg	44	det	_	_
44	Scheerauer	Scheerauer	N	NN	Neut|_|Sg	0	root	_	_
45	alte	alt	A	ADJA	Pos|_|_|_|_|	0	root	_	_
46	und	und	K	KON	_	45	kon	_	_
47	neue	neu	A	ADJA	Pos|_|_|_|_|	46	cj	_	_
48	.	.	$	$.	_	0	root	_	_

1	Bekanntlich	bekanntlich	A	ADV	_	2	adv	_	_
2	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	_
3	poetische	poetisch	A	ADJA	Pos|_|_|_|_|	4	attr	_	_
4	Steiß-	Steiß-	T	TRUNC	_|_|_	2	subj	_	_
5	und	und	K	KON	_	4	kon	_	_
6	Fuß-Geburten1	Fuß-Geburten1	N	NE	_	5	cj	1298	1298
7	)	)	$	$(	_	0	root	_	_
8	wegen	wegen	P	APPR	Gen	14	pp	_	_
9	ihres	ihre	A	PPOSAT	Neut|Gen|Sg	11	det	1298	1298
10	frühen	früh	A	ADJA	Pos|Neut|Gen|Sg|_|	11	attr	_	_
11	Ablebens	Ableben	N	NN	Neut|Gen|Sg	8	pn	_	_
12	das	die	A	ART	Def|Neut|_|Sg	14	det	_	_
13	schöne	schön	A	ADJA	Pos|Neut|_|Sg|Wk|	14	attr	_	_
14	Recht	Recht	N	NN	Neut|_|Sg	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	in	in	P	APPR	Acc	0	root	_	_
17	die	die	A	ART	Def|Fem|Acc|Sg	18	det	681	681
18	Kirche	Kirche	N	NN	Fem|Acc|Sg	16	pn	681	681
19	begraben	begraben	V	VVPP	_	0	root	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	werden	werden	V	VAINF	_	0	root	_	_
22	-	-	$	$(	_	0	root	_	_
23	d.	d.	P	PDS	_	24	obja	_	_
24	h.	h.	V	VVFIN	_|Pl|_|_	0	root	_	_
25	Verse	Vers	N	NN	Masc|Nom|Pl	24	subj	1299	1299
26	,	,	$	$,	_	0	root	1299	1299
27	die	die	P	PRELS	Masc|Nom|Pl	31	subj	1299	1299
28	nicht	nicht	P	PTKNEG	_	31	adv	_	_
29	zum	zu	P	APPRART	Dat	31	pp	_	_
30	Lesen	Lesen	N	NN	Neut|Dat|Sg	29	pn	_	_
31	taugen	taugen	V	VVFIN	3|Pl|Pres|_	25	rel	_	_
32	,	,	$	$,	_	0	root	_	_
33	können	können	V	VMFIN	_|Pl|Pres|_	24	kon	_	_
34	doch	doch	A	ADV	_	38	adv	_	_
35	wie	wie	K	KOKOM	_	38	kom	_	_
36	die	die	A	ART	Def|_|_|_	37	det	_	_
37	alten	alt	A	ADJA	_|_|Pl	35	cj	_	_
38	gesungen	singen	V	VVPP	_	39	aux	_	_
39	werden	werden	V	VAINF	_	33	aux	_	_
40	unter	unter	P	APPR	Dat	38	pp	_	_
41	der	die	A	ART	Def|Fem|Dat|Sg	42	det	_	_
42	Orgel	Orgel	N	NN	Fem|Dat|Sg	40	pn	_	_
43	.	.	$	$.	_	0	root	_	_

1	Gleichwohl	gleichwohl	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	in	in	P	APPR	_	2	pp	_	_
5	neuern	neuern	A	ADJA	_|Fem|_|Pl|_	6	attr	_	_
6	Zeiten	Zeit	N	NN	Fem|_|Pl	4	pn	_	_
7	auf	auf	P	APPR	Acc	2	pp	_	_
8	eine	eine	A	ART	Indef|Fem|Acc|Sg	9	det	_	_
9	Blutreinigung	Blutreinigung	N	NN	Fem|Acc|Sg	7	pn	_	_
10	der	die	A	ART	Def|_|Gen|_	12	det	_	_
11	geistlich-poetischen	geistlich-poetisch	A	ADJA	Pos|_|Gen|_|Wk|	12	attr	_	_
12	Ader	Ader	N	NN	_|Gen|_	9	gmod	_	_
13	aus	aus	P	PTKVZ	_	2	avz	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	2	kon	_	_
16	aus	aus	P	APPR	Dat	19	pp	_	_
17	den	die	A	ART	Def|_|Dat|Pl	18	det	1300	1300
18	Gesangbüchern	Gesangbuch	N	NN	_|Dat|Pl	16	pn	1300	1300
19	wurden	werden	V	VAFIN	_|Pl|Past|Ind	15	cj	_	_
20	Zeilen	Zeile	N	NN	Fem|Nom|Pl	19	subj	_	_
21	,	,	$	$,	_	0	root	_	_
22	Strophen	Strophe	N	NN	Fem|Nom|Pl	20	kon	_	_
23	und	und	K	KON	_	22	kon	_	_
24	Lieder	Lied	N	NN	Neut|Nom|Pl	23	cj	1301	1301
25	ausgejagt	ausjagen	V	VVPP	_	19	aux	_	_
26	,	,	$	$,	_	0	root	_	_
27	die	die	P	PRELS	_|_|_	0	root	1301	1301
28	,	,	$	$,	_	0	root	_	_
29	obwohl	obwohl	K	KOUS	_	0	root	_	_
30	keinen	keine	A	PIAT	Masc|Acc|Sg	32	det	_	_
31	guten	gut	A	ADJA	Pos|Masc|Acc|Sg|_|	32	attr	_	_
32	Sinn	Sinn	N	NN	Masc|Acc|Sg	0	root	_	_
33	,	,	$	$,	_	0	root	_	_
34	doch	doch	K	KON	_	0	root	_	_
35	auch	auch	A	ADV	_	38	adv	_	_
36	keinen	keine	A	PIAT	_|_|_	37	det	_	_
37	schlimmen	schlimm	A	ADJA	_|_|_	38	obja	_	_
38	hatten	haben	V	VAFIN	_|Pl|Past|Ind	34	cj	_	_
39	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	1287	1287
2	Kantor	Kantor	N	NN	Masc|Nom|Sg	4	subj	1287	1287
3	Schnäzler	Schnäzler	N	NE	Masc|Nom|Sg	2	app	1287	1287
4	fing	fangen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	inzwischen	inzwischen	A	ADV	_	4	adv	_	_
6	diese	diese	P	PDS	_|_|_	4	obja	_	_
7	durch	durch	P	APPR	Acc	4	pp	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	_	_
9	Gesangbuchs-Ventilator	Gesangbuchs-Ventilator	N	NN	Masc|Acc|Sg	7	pn	_	_
10	entwischende	entwischend	A	ADJA	Pos|_|Acc|_|_|<PPRES	12	attr	_	_
11	fixe	fix	A	ADJA	Pos|_|Acc|_|_|	12	attr	_	_
12	Luft2	Luft2	N	NN	_|Acc|_	9	app	_	_
13	)	)	$	$(	_	0	root	_	_
14	zusammen	zusammen	P	PTKVZ	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	die	die	P	PRELS	Fem|Nom|Sg	25	subj	_	_
17	stets	stets	A	ADV	_	18	adv	_	_
18	alten	alt	A	ADJA	Pos|_|Dat|_|_|	19	attr	_	_
19	Liedern	Lied	N	NN	_|Dat|_	25	objd	_	_
20	und	und	K	KON	_	19	kon	_	_
21	schalen	schal	A	ADJA	Pos|_|Dat|_|_|	22	attr	_	_
22	Bieren	Bier	N	NN	_|Dat|_	20	cj	_	_
23	den	die	A	ART	Def|Masc|Acc|Sg	24	det	1302	1302
24	Geist	Geist	N	NN	Masc|Acc|Sg	25	obja	1302	1302
25	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
26	;	;	$	$.	_	0	root	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	1303	1303
28	meine	meinen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	1302	1302
31	verglich	vergleichen	V	VVFIN	3|Sg|Past|Ind	28	kon	_	_
32	das	die	A	ART	Def|Neut|_|Sg	36	det	_	_
33	alte	alt	A	ADJA	Pos|Neut|_|Sg|Wk|	36	attr	_	_
34	und	und	K	KON	_	33	kon	_	_
35	neue	neu	A	ADJA	Pos|_|_|_|_|	34	cj	_	_
36	Gesangbuch	Gesangbuch	N	NN	Neut|_|Sg	31	obja	_	_
37	und	und	K	KON	_	31	kon	_	_
38	kehrte	kehren	V	VVFIN	_|Sg|Past|_	37	cj	_	_
39	die	die	A	ART	Def|Fem|_|Pl	41	det	_	_
40	schönen	schön	A	ADJA	Pos|Fem|_|Pl|Wk|	41	attr	_	_
41	Stellen	Stelle	N	NN	Fem|_|Pl	38	obja	_	_
42	des	die	A	ART	Def|_|Gen|Sg	43	det	_	_
43	alten	alt	A	ADJA	_|Gen|Sg	41	gmod	_	_
44	,	,	$	$,	_	0	root	_	_
45	die	die	P	PRELS	Fem|Nom|Sg	53	subj	_	_
46	die	die	A	ART	Def|Fem|_|Sg	48	det	_	_
47	ästhetische	ästhetisch	A	ADJA	Pos|Fem|_|Sg|_|	48	attr	_	_
48	Tempelreinigung	Tempelreinigung	N	NN	Fem|_|Sg	52	obja	_	_
49	aus	aus	P	APPR	Dat	52	pp	_	_
50	dem	die	A	ART	Def|_|Dat|Sg	51	det	_	_
51	neuen	neu	A	ADJA	_|Dat|Sg	49	pn	_	_
52	weggefegt	wegfegen	V	VVPP	_	53	aux	_	_
53	hatte	haben	V	VAFIN	3|Sg|Past|Ind	16	rel	_	_
54	,	,	$	$,	_	0	root	_	_
55	wieder	wieder	A	ADV	_	38	adv	_	_
56	auf	auf	P	APPR	Acc	38	pp	_	_
57	einen	eine	A	ART	Indef|Masc|Acc|Sg	58	det	_	_
58	Haufen	Haufe	N	NN	Masc|Acc|Sg	56	pn	_	_
59	und	und	K	KON	_	0	root	_	_
60	schlichtete	schlichten	V	VVFIN	_|Sg|Past|_	59	cj	_	_
61	wirklich	wirklich	A	ADJD	Pos|	63	adv	_	_
62	dieses	diese	A	PDAT	_|_|Sg	63	det	_	_
63	Raff-	Raff-	T	TRUNC	_|_|Sg	68	subj	_	_
64	und	und	K	KON	_	63	kon	_	_
65	Leseholz	Leseholz	N	NN	_	64	cj	_	_
66	zu	zu	P	APPR	Dat	65	pp	_	_
67	guten	gut	A	ADJA	Pos|_|Dat|_|_|	66	pn	_	_
68	besondern	besondern	V	VVFIN	_|Pl|Pres|_	0	root	_	_
69	Liedern	Lied	N	NN	_|_|_	68	obja	_	_
70	zusammen	zusammen	P	PTKVZ	_	68	avz	_	_
71	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1302	1302
2	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	1303	1303
4	zwei	zwei	C	CARD	_	3	app	_	_
5	schöne	schön	A	ADJA	Pos|_|_|_|_|	6	obja	_	_
6	zeigen	zeigen	V	VVINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	die	die	P	PRELS	_|Nom|Pl	15	subj	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	11	det	_	_
10	vollständiger	vollständig	A	ADJA	Pos|Masc|Nom|Sg|St|	11	attr	_	_
11	index	index	F	FM	Masc|Nom|Sg	15	pred	_	_
12	expurgandorum	expurgandorum	F	FM	Masc|Nom|Sg	11	app	_	_
13	des	die	A	ART	Def|_|Gen|Sg	14	det	_	_
14	baireuthschen	baireuthschen	N	NN	_|Gen|Sg	12	gmod	_	_
15	waren	sein	V	VAFIN	3|Pl|Past|Ind	6	rel	_	_
16	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	gefruchtet	gefruchtet	V	VVPP	_	4	aux	_	_
4	haben	haben	V	VAINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	36	konj	_	_
7	man	man	P	PIS	_|Nom|Sg	36	subj	_	_
8	bei	bei	P	APPR	Dat	7	pp	_	_
9	den	die	A	ART	Def|Fem|Dat|Pl	10	det	_	_
10	Lieder-Unruhen	Lieder-Unruh	N	NN	Fem|Dat|Pl	8	pn	_	_
11	in	in	P	APPR	_	36	pp	_	_
12	Berlin	Berlin	N	NE	_|_|Sg	11	pn	_	_
13	den	die	A	ART	Def|Masc|_|_	15	det	_	_
14	singenden	singend	A	ADJA	Pos|Masc|_|_|_|<PPRES	15	attr	_	_
15	Insurgenten	Insurgent	N	NN	Masc|_|_	37	obja	_	_
16	eine	eine	A	ART	Indef|Fem|_|Sg	17	part	_	_
17	solche	solche	P	PIS	_|_|_	18	grad	_	_
18	in	in	P	APPR	_	15	pp	_	_
19	Reime	Reim	N	NN	Masc|_|_	18	pn	_	_
20	mit	mit	P	APPR	Dat	19	pp	_	_
21	unendlicher	unendlich	A	ADJA	Pos|Fem|Dat|Sg|St|	22	attr	_	_
22	Mühe	Mühe	N	NN	Fem|Dat|Sg	20	pn	_	_
23	zusammengeschobne	zusammengeschobne	A	ADJA	_|Fem|Dat|Sg|_	24	attr	_	_
24	Kolonie	Kolonie	N	NN	Fem|Dat|Sg	22	app	_	_
25	aller	alle	A	PIDAT	Fem|Gen|Pl	26	det	1304	1304
26	Stellen	Stelle	N	NN	Fem|Gen|Pl	24	gmod	1304	1304
27	,	,	$	$,	_	0	root	1304	1304
28	die	die	P	PRELS	Fem|Nom|Pl	34	subj	1304	1304
29	aus	aus	P	APPR	Dat	33	pp	_	_
30	dem	die	A	ART	Def|Neut|Dat|Sg	32	det	_	_
31	neuen	neu	A	ADJA	Pos|Neut|Dat|Sg|Wk|	32	attr	_	_
32	Gesangbuch	Gesangbuch	N	NN	Neut|Dat|Sg	29	pn	_	_
33	emigrieren	emigrieren	V	VVINF	_	34	aux	_	_
34	mußten	müssen	V	VMFIN	3|Pl|Past|Ind	26	rel	_	_
35	,	,	$	$,	_	0	root	_	_
36	hätte	haben	V	VAFIN	3|Sg|Past|Subj	2	neb	_	_
37	anbieten	anbieten	V	VVINF	_	38	aux	_	_
38	können	können	V	VMINF	_	36	aux	_	_
39	:	\:	$	$.	_	0	root	_	_
40	Schnäzler	Schnäzler	N	NE	_|Nom|Sg	41	subj	1287	1287
41	zeigt	zeigen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
42	uns	wir	P	PPER	1|Pl|_|_	41	obja	_	_
43	in	in	P	APPR	_	41	pp	_	_
44	seinen	seine	A	PPOSAT	Masc|_|Pl	45	det	1287	1287
45	Korrekturbögen	Korrekturbogen	N	NN	Masc|_|Pl	43	pn	_	_
46	,	,	$	$,	_	0	root	_	_
47	daß	daß	K	KOUS	_	0	root	_	_
48	man	man	P	PIS	_|Nom|Sg	64	pred	_	_
49	ebensogut	ebensogut	A	ADJD	_	50	adv	_	_
50	aus	aus	P	APPR	Dat	64	pp	_	_
51	altdeutschen	altdeutsch	A	ADJA	Pos|Masc|Dat|Pl|_|	52	attr	_	_
52	Versen	Vers	N	NN	Masc|Dat|Pl	50	pn	_	_
53	wie	wie	K	KOKOM	_	52	kom	_	_
54	aus	aus	P	APPR	Dat	53	cj	_	_
55	den	die	A	ART	Def|Masc|Dat|Pl	56	det	_	_
56	Archaismen	Archaismus	N	NN	Masc|Dat|Pl	54	pn	_	_
57	und	und	K	KON	_	56	kon	_	_
58	Phrasen	Phrase	N	NN	Fem|Dat|Pl	57	cj	_	_
59	altrömischer	altrömisch	A	ADJA	Pos|Masc|Gen|Pl|St|	60	attr	_	_
60	Verse	Vers	N	NN	Masc|Gen|Pl	52	gmod	_	_
61	-	-	$	$(	_	0	root	_	_
62	wie	wie	K	KOKOM	_	64	kom	_	_
63	Gymnasiasten	Gymnasiast	N	NN	Masc|_|_	62	cj	_	_
64	tun	tun	V	VVINF	_	0	root	_	_
65	-	-	$	$(	_	0	root	_	_
66	versus	versus	P	APPR	Dat	64	pp	_	_
67	memoriales	memoriales	N	NE	_|Dat|_	66	pn	_	_
68	zusammenwerfen	zusammenwerfen	V	VVINF	_	69	aux	_	_
69	könne	können	V	VMFIN	_|Sg|Pres|Subj	0	root	_	_
70	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1303	1303
