1	O	O	N	NN	Neut|_|_	0	root	1063	1063
39	erträglich	erträglich	A	ADJD	Pos|	0	root	_	_
40	fort	fort	P	PTKVZ	_	0	root	_	_
41	(	(	$	$(	_	0	root	_	_
42	wie	wie	P	PWAV	_	48	adv	_	_
43	sie	sie	P	PPER	3|Sg|Fem|Nom	48	subj	1237	1237
44	denn	denn	A	ADV	_	48	adv	_	_
45	auch	auch	A	ADV	_	48	adv	_	_
46	neun	neun	C	CARD	_	47	attr	_	_
47	Monate	Monat	N	NN	Masc|_|Pl	48	zeit	_	_
48	fortfuhr	fortfahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
49	,	,	$	$,	_	0	root	_	_
50	indem	indem	K	KOUS	_	62	konj	_	_
51	ich	ich	P	PPER	1|Sg|_|Nom	62	subj	1224	1224
52	von	von	P	APPR	_	51	pp	_	_
53	1	1	C	CARD	_	56	attr	_	_
54	/	/	$	$(	_	0	root	_	_
55	100000ch	100000ch	C	CARD	_	53	kon	_	_
56	Gran	Gran	N	NN	_|_|Sg	52	pn	_	_
57	bis	bis	P	APPR	Acc	52	kon	_	_
58	zu	zu	P	APPR	Dat	57	pp	_	_
59	500,000	500,000	C	CARD	_	60	attr	_	_
60	Granen	Granen	N	NN	Neut|Dat|Sg	58	pn	_	_
61	Gewicht	Gewicht	N	NN	Neut|Dat|Sg	60	app	_	_
62	aufwuchs	aufwachsen	V	VVFIN	1|Sg|Past|Ind	48	neb	_	_
63	)	)	$	$(	_	0	root	_	_
64	,	,	$	$,	_	0	root	_	_
65	so	so	A	ADV	_	66	adv	_	_
66	stichst	stechen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
67	du	du	P	PPER	2|Sg|_|Nom	66	subj	1240	1240
68	einst	einst	A	ADV	_	66	adv	_	_
69	mit	mit	P	APPR	Dat	66	pp	_	_
70	dem	die	A	ART	Def|Masc|Dat|Sg	71	det	260	260
71	Kopf	Kopf	N	NN	Masc|Dat|Sg	69	pn	260	260
72	über	über	P	APPR	Acc	66	pp	_	_
73	den	die	A	ART	Def|Masc|Acc|Sg	74	det	_	_
74	Dunstkreis	Dunstkreis	N	NN	Masc|Acc|Sg	72	pn	_	_
75	hinaus	hinaus	P	PTKVZ	_	66	avz	_	_
76	und	und	K	KON	_	66	kon	_	_
77	hast	haben	V	VAFIN	2|Sg|Pres|Ind	76	cj	_	_
78	den	die	A	ART	Def|Masc|Acc|Sg	79	det	_	_
79	Wolkengürtel	Wolkengürtel	N	NN	Masc|Acc|Sg	77	obja	_	_
80	um	um	P	APPR	Acc	77	pp	_	_
81	den	die	A	ART	Def|Masc|Acc|Sg	82	det	_	_
82	Magen	Magen	N	NN	Masc|Acc|Sg	80	pn	_	_
83	als	als	K	KOKOM	_	77	kom	_	_
84	Pelzweste	Pelzweste	N	NN	Fem|_|Sg	83	cj	_	_
85	;	;	$	$.	_	0	root	_	_
86	der	die	A	ART	Def|Masc|Nom|Sg	87	det	1239	1239
87	Riese	Riese	N	NN	Masc|Nom|Sg	89	subj	1239	1239
88	Og	Og	N	NE	Masc|Nom|Sg	87	app	1239	1239
89	müßte	müssen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
90	dann	dann	A	ADV	_	98	adv	_	_
91	den	die	A	ART	Def|_|_|_	92	det	_	_
92	Riesen	Riese	N	NN	_|_|_	98	obja	_	_
93	Goliath	Goliath	N	NE	_|_|_	92	app	_	_
94	ziemlich	ziemlich	A	ADJD	_	98	adv	_	_
95	in	in	P	APPR	Acc	98	objp	_	_
96	die	die	A	ART	Def|Fem|Acc|Sg	97	det	1238	1238
97	Höhe	Höhe	N	NN	Fem|Acc|Sg	95	pn	1238	1238
98	halten	halten	V	VVINF	_	89	aux	_	_
99	,	,	$	$,	_	0	root	_	_
100	wenn	wenn	K	KOUS	_	0	root	_	_
101	er	er	P	PPER	3|Sg|Masc|Nom	0	root	1239	1239
102	,	,	$	$,	_	0	root	_	_
103	da	da	K	KOUS	_	107	konj	_	_
104	er	er	P	PPER	3|Sg|Masc|Nom	107	subj	1239	1239
105	ein	eine	A	ART	Indef|Masc|Nom|Sg	106	det	_	_
106	Zwerg	Zwerg	N	NN	Masc|Nom|Sg	107	pred	_	_
107	ist	sein	V	VAFIN	3|Sg|Pres|Ind	113	neb	_	_
108	,	,	$	$,	_	0	root	_	_
109	dir	du	P	PPER	2|Sg|_|Dat	112	objd	1240	1240
110	die	die	A	ART	Def|Fem|Nom|Sg	111	det	1203	1203
111	Hand	Hand	N	NN	Fem|Nom|Sg	113	subj	1203	1203
112	küssen	küssen	V	VVINF	_	113	aux	_	_
113	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
114	.	.	$	$.	_	0	root	_	_

1	Mein	meine	A	PPOSAT	Neut|Nom|Sg	2	det	1224	1224
2	Rekrutenmaß	Rekrutenmaß	N	NN	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	jetzo	jetzo	N	NE	Masc|Nom|Pl	3	pred	448	448
5	4	4	C	CARD	_	7	attr	448	448
6	½	½	A	ADJA	_|Masc|Nom|Pl|_	7	attr	448	448
7	Fuß	Fuß	N	NN	Masc|Nom|Pl	4	app	448	448
8	und	und	K	KON	_	7	kon	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	_	_
10	Strich	Strich	N	NN	Masc|Nom|Sg	8	cj	_	_
11	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	gar	gar	A	ADV	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	dichtete	dichten	V	VVFIN	1|Sg|Past|_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	1224	1224
7	weiter	weiter	A	ADV	_	6	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	11	det	_	_
10	körperlicher	körperlich	A	ADJA	Pos|Masc|Nom|Sg|St|	11	attr	_	_
11	Mikromegas	Mikromegas	N	NN	Masc|Nom|Sg	6	kon	_	_
12	deiner	deine	A	PPOSAT	_|_|_	13	det	_	_
13	Art	Art	N	NN	_|_|Sg	11	gmod	_	_
14	zugleich	zugleich	A	ADV	_	15	adv	_	_
15	Titan	Titan	N	NN	_|_|Sg	13	app	_	_
16	an	an	P	APPR	_	15	pp	_	_
17	Kopf	Kopf	N	NN	Masc|_|Sg	16	pn	1005	1005
18	und	und	K	KON	_	11	kon	_	_
19	Herz	Herz	N	NN	_|Nom|Sg	18	cj	_	_
20	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
21	:	\:	$	$.	_	0	root	_	_
22	so	so	A	ADV	_	23	adv	_	_
23	wollt	wollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
24	'	'	$	$(	_	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1224	1224
26	wetten	wetten	V	VVINF	_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
29	ein	eine	A	ART	Indef|Neut|Nom|Sg	32	det	_	_
30	solches	solche	A	PIDAT	Neut|Nom|Sg	32	attr	_	_
31	achtes	acht	A	ADJA	_|Neut|Nom|Sg|St|	32	attr	_	_
32	Wunder	Wunder	N	NN	Neut|Nom|Sg	28	subj	_	_
33	der	die	A	ART	Def|Fem|Gen|Sg	34	det	55	55
34	Welt	Welt	N	NN	Fem|Gen|Sg	32	gmod	55	55
35	Wunderwerke	Wunderwerk	N	NN	Neut|_|_	36	obja	_	_
36	verrichten	verrichten	V	VVINF	_	28	aux	_	_
37	,	,	$	$,	_	0	root	_	_
38	alle	alle	A	PIDAT	Masc|_|Pl	39	det	_	_
39	Männer	Mann	N	NN	Masc|_|Pl	40	obja	_	_
40	erleuchten	erleuchten	V	VVINF	_	36	kon	_	_
41	,	,	$	$,	_	0	root	_	_
42	alle	alle	A	PIDAT	Neut|_|Pl	43	det	_	_
43	Weiber	Weib	N	NN	Neut|_|Pl	44	obja	_	_
44	erwärmen	erwärmen	V	VVINF	_	40	kon	_	_
45	und	und	K	KON	_	0	root	_	_
46	jeden	jede	P	PIS	_|_|Sg	45	cj	_	_
47	,	,	$	$,	_	0	root	_	_
48	ders	ders	F	FM	_	0	root	_	_
49	nicht	nicht	P	PTKNEG	_	50	adv	_	_
50	haben	haben	V	VAINF	_	51	aux	_	_
51	will	wollen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
52	,	,	$	$,	_	0	root	_	_
53	tottreten	tottreten	V	VVINF	_	0	root	_	_
54	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	O	O	N	NN	Masc|_|Pl	0	root	_	_
4	Blütenträume	Blütentraum	N	NN	Masc|_|Pl	3	app	_	_
5	der	die	A	ART	Def|Fem|Gen|Sg	8	det	_	_
6	einzigen	einzig	A	ADJA	Pos|Fem|Gen|Sg|Wk|	8	attr	_	_
7	kurzen	kurz	A	ADJA	Pos|Fem|Gen|Sg|Wk|	8	attr	_	_
8	Fötus-Zeit	Fötus-Zeit	N	NN	Fem|Gen|Sg	4	gmod	_	_
9	,	,	$	$,	_	0	root	_	_
10	welche	welche	A	PWAT	Masc|_|Pl	11	det	1241	1241
11	Schiller	Schiller	N	NN	Masc|_|Pl	23	obja	1241	1241
12	in	in	P	APPR	_	23	pp	_	_
13	seinen	seine	A	PPOSAT	Masc|_|_	14	det	1241	1241
14	Gedanken	Gedanke	N	NN	Masc|_|_	12	pn	_	_
15	über	über	P	APPR	Acc	14	pp	_	_
16	die	die	A	ART	Def|_|Acc|_	18	det	_	_
17	verlornen	verlornen	A	ADJA	_|_|Acc|_|_	18	attr	_	_
18	Ideale	Ideal	N	NN	_|Acc|_	15	pn	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	blühend	blühen	A	ADJD	_|<PPRES	23	adv	_	_
21	und	und	K	KON	_	20	kon	_	_
22	blätternd	blättern	A	ADJD	_|<PPRES	21	cj	_	_
23	besingt	besingen	V	VVFIN	_|_|Pres|Ind	8	objc	_	_
24	!	!	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	5	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	4	det	1242	1242
3	siebenten	siebent	A	ADJA	_|Fem|Dat|Sg|Wk|	4	attr	1242	1242
4	Woche	Woche	N	NN	Fem|Dat|Sg	1	pn	1242	1242
5	stieß	stoßen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	1224	1224
7	,	,	$	$,	_	0	root	_	_
8	nachdem	nachdem	K	KOUS	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1224	1224
10	lange	lang	A	ADJA	Pos|_|_|_|_|	11	attr	857	857
11	darnach	darnach	N	NN	_|_|_	0	root	857	857
12	gegriffen	greifen	V	VVPP	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	gefußet	gefußet	T	TRUNC	_|_|Pl	13	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	leicht	leicht	A	ADJD	Pos|	17	adv	_	_
17	zwei	zwei	C	CARD	_	18	attr	_	_
18	Arme	Arm	N	NN	_|_|Pl	14	kon	_	_
19	und	und	K	KON	_	18	kon	_	_
20	zwei	zwei	C	CARD	_	21	attr	_	_
21	Füße	Fuß	N	NN	Masc|_|Pl	19	cj	_	_
22	aus	aus	P	APPR	Dat	14	pp	_	_
23	mir	ich	P	PPER	1|Sg|_|Dat	22	pn	1224	1224
24	vor	vor	P	PTKVZ	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	konnte	können	V	VMFIN	_|Sg|Past|Ind	25	cj	_	_
27	damit	damit	P	PROAV	_	26	pp	_	_
28	bequem	bequem	A	ADJD	Pos|	26	adv	_	_
29	nach	nach	P	APPR	Dat	26	pp	_	_
30	fremden	fremd	A	ADJA	Pos|Neut|Dat|_|_|	31	attr	_	_
31	Dingen	Ding	N	NN	Neut|Dat|_	29	pn	_	_
32	greifen	greifen	V	VVINF	_	0	root	_	_
33	und	und	K	KON	_	0	root	_	_
34	fußen	fußen	V	VVFIN	_|Pl|Pres|_	33	cj	_	_
35	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	der	die	A	ART	Def|_|_|_	3	det	_	_
3	neunten	neunt	A	ADJA	_|_|_	1	pn	_	_
4	sah	sehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	1224	1224
6	aus	aus	P	PTKVZ	_	4	avz	_	_
7	(	(	$	$(	_	0	root	_	_
8	die	die	A	ART	Def|Masc|Nom|Pl	9	det	_	_
9	Vollkommenheit-Zirkel	Vollkommenheit-Zirkel	N	NN	Masc|Nom|Pl	10	subj	_	_
10	waren	sein	V	VAFIN	3|Pl|Past|Ind	6	par	_	_
11	schon	schon	A	ADV	_	12	adv	_	_
12	quadriert	quadrieren	V	VVPP	_	10	aux	_	_
13	)	)	$	$(	_	0	root	_	_
14	wie	wie	K	KOKOM	_	4	kom	_	_
15	ein	eine	A	ART	Indef|_|_|Sg	16	det	_	_
16	Mensch	Mensch	N	NN	_|_|Sg	14	cj	_	_
17	im	in	P	APPRART	Dat	4	pp	_	_
18	Kleinsten	klein	A	ADJA	Sup|_|Dat|_|_|	17	pn	_	_
19	und	und	K	KON	_	17	kon	_	_
20	wie	wie	P	PWAV	_	19	cj	_	_
21	ein	eine	A	ART	Indef|Masc|Nom|Sg	22	det	_	_
22	Mann	Mann	N	NN	Masc|Nom|Sg	0	root	_	_
23	dazu	dazu	P	PROAV	_	22	pp	_	_
24	;	;	$	$.	_	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	1224	1224
26	schloß	schloß	V	VVFIN	1|Sg|_|_	0	root	_	_
27	sofort	sofort	A	ADV	_	26	adv	_	_
28	auf	auf	P	APPR	_	26	pp	_	_
29	Geschlecht	Geschlecht	N	NN	Neut|_|Sg	28	pn	_	_
30	überhaupt	überhaupt	A	ADV	_	26	adv	_	_
31	und	und	K	KON	_	30	kon	_	_
32	auf	auf	P	APPR	_	31	cj	_	_
33	meines	meine	A	PPOSAT	_|Gen|Sg	32	pn	1224	1224
34	partiell	partiell	A	ADJD	Pos|	26	adv	_	_
35	und	und	K	KON	_	26	kon	_	_
36	beharrte	beharren	V	VVFIN	_|Sg|Past|_	35	cj	_	_
37	nachher	nachher	A	ADV	_	36	adv	_	_
38	bei	bei	P	APPR	Dat	36	pp	_	_
39	demselben	dieselbe	P	PDS	_|Dat|Sg	38	pn	_	_
40	.	.	$	$.	_	0	root	_	_

1	Himmel	Himmel	N	NN	Masc|_|_	0	root	61	61
2	,	,	$	$,	_	0	root	_	_
3	bedenk	bedenken	V	VVIMP	Sg	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1224	1224
6	,	,	$	$,	_	0	root	_	_
7	mit	mit	P	APPR	Dat	0	root	_	_
8	welchen	welche	A	PWAT	Fem|Dat|Pl	10	det	_	_
9	langen	lang	A	ADJA	Pos|Fem|Dat|Pl|_|	10	attr	_	_
10	Anstalten	Anstalt	N	NN	Fem|Dat|Pl	7	pn	_	_
11	alles	alle	P	PIS	_|_|Sg	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	32	subj	1224	1224
15	mir	ich	P	PRF	1|Sg|Dat	32	objd	_	_
16	in	in	P	APPR	Dat	24	pp	_	_
17	der	die	A	ART	Def|Fem|Dat|Sg	21	det	1242	1242
18	siebenten	siebent	A	ADJA	_|Fem|Dat|Sg|Wk|	21	attr	1242	1242
19	und	und	K	KON	_	18	kon	1242	1242
20	neunten	neunt	A	ADJA	_|_|Dat|_|_|	19	cj	1242	1242
21	Woche	Woche	N	NN	Fem|Dat|Sg	16	pn	1242	1242
22	mit	mit	P	APPR	Dat	24	pp	_	_
23	kurzen	kurz	A	ADJA	Pos|_|Dat|_|_|	22	pn	_	_
24	angeschafft	anschaffen	V	VVPP	_	30	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	auf	auf	P	APPR	Dat	30	pp	_	_
27	der	die	A	ART	Def|Fem|Dat|Sg	28	det	120	120
28	Erde	Erde	N	NN	Fem|Dat|Sg	26	pn	120	120
29	wieder	wieder	A	ADV	_	30	adv	_	_
30	restauriert	restaurieren	V	VVPP	_	32	aux	_	_
31	(	(	$	$(	_	0	root	_	_
32	ergänzt	ergänzen	V	VVPP	_	34	neb	_	_
33	)	)	$	$(	_	0	root	_	_
34	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
35	:	\:	$	$.	_	0	root	_	_
36	so	so	A	ADV	_	37	adv	_	_
37	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
38	'	'	$	$(	_	0	root	_	_
39	ich	ich	P	PPER	1|Sg|_|Nom	37	subj	1224	1224
40	in	in	P	APPR	Dat	37	pp	_	_
41	der	die	A	ART	Def|Fem|Dat|Sg	42	det	385	385
42	Tat	Tat	N	NN	Fem|Dat|Sg	40	pn	385	385
43	meine	meine	A	PPOSAT	Masc|_|Pl	44	det	1224	1224
44	Gedanken	Gedanke	N	NN	Masc|_|Pl	37	obja	_	_
45	darüber	darüber	P	PROAV	_	44	pp	_	_
46	!	!	$	$.	_	0	root	_	_

1	In	in	P	APPR	Acc	4	pp	_	_
2	diese	diese	A	PDAT	Fem|Acc|Sg	3	det	52	52
3	Zeit	Zeit	N	NN	Fem|Acc|Sg	1	pn	52	52
4	mocht	mocht	A	ADJD	_	6	adv	_	_
5	'	'	$	$(	_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|_	13	expl	_	_
7	fallen	fallen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	13	konj	_	_
10	sich	sie	P	PRF	3|_|_	13	obja	_	_
11	mein	meine	A	PPOSAT	Masc|Nom|Sg	12	det	1224	1224
12	Kopf	Kopf	N	NN	Masc|Nom|Sg	13	subj	1243	1243
13	umsah	umsehen	V	VVFIN	3|Sg|Past|Ind	7	subjc	_	_
14	und	und	K	KON	_	13	kon	_	_
15	vorfand	vorfinden	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	wie	wie	P	PWAV	_	0	root	_	_
18	sich	sie	P	PRF	3|_|_	0	root	_	_
19	ein	eine	A	ART	Indef|Masc|Nom|Sg	20	det	_	_
20	Rumpf	Rumpf	N	NN	Masc|Nom|Sg	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	fast	fast	A	ADV	_	24	adv	_	_
23	so	so	A	ADV	_	24	adv	_	_
24	groß	groß	A	ADJD	Pos|	0	root	_	_
25	als	als	K	KOKOM	_	0	root	_	_
26	er	er	P	PPER	3|Sg|Masc|Nom	25	cj	1243	1243
27	selber	selber	A	ADV	_	26	adv	_	_
28	,	,	$	$,	_	0	root	_	_
29	unter	unter	P	APPR	Dat	31	pp	_	_
30	ihm	er	P	PPER	3|Sg|_|Dat	29	pn	1243	1243
31	anschieße	anschießen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
32	.	.	$	$.	_	0	root	_	_

1	Wahrlich	wahrlich	A	ADV	_	5	adv	_	_
2	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
3	solche	solche	A	PIDAT	Fem|_|Sg	5	attr	_	_
4	windige	windig	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	_	_
5	Wirklichkeit	Wirklichkeit	N	NN	Fem|_|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	als	als	K	KOKOM	_	13	kom	_	_
8	jetzo	jetzo	N	NE	_	7	cj	448	448
9	wirklich	wirklich	A	ADJD	Pos|	13	adv	_	_
10	um	um	P	APPR	Acc	9	pp	_	_
11	uns	wir	P	PPER	1|Pl|_|Acc	10	pn	_	_
12	her	her	A	APZR	_	10	part	_	_
13	in	in	P	APPR	Dat	15	pp	_	_
14	derselben	dieselbe	P	PDS	Fem|Dat|Sg	13	pn	_	_
15	existiert	existieren	V	VVFIN	_|_|Pres|Ind	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	31	konj	_	_
18	der	die	A	ART	Def|Masc|Nom|Sg	19	det	1244	1244
19	Rumpf	Rumpf	N	NN	Masc|Nom|Sg	31	subj	1244	1244
20	sieben	sieben	C	CARD	_	21	attr	1244	1244
21	Kopflängen	Kopflänge	N	NN	Fem|Nom|Pl	19	app	1244	1244
22	und	und	K	KON	_	21	kon	_	_
23	der	die	A	ART	Def|Masc|Nom|Sg	24	det	260	260
24	Kopf	Kopf	N	NN	Masc|Nom|Sg	22	cj	260	260
25	nicht	nicht	P	PTKNEG	_	31	adv	_	_
26	mehr	mehr	A	ADV	_	25	adv	_	_
27	als	als	K	KOKOM	_	31	kom	_	_
28	seine	seine	A	PPOSAT	_|_|_	30	det	1244	1244
29	eigene	eigen	A	ADJA	Pos|_|_|_|_|	30	attr	_	_
30	einzige	einzig	A	ADJA	_|_|_	27	cj	_	_
31	mißt	mißt	V	VVFIN	_|Sg|_|_	15	subjc	_	_
32	,	,	$	$,	_	0	root	_	_
33	dergleichen	dergleichen	P	PIS	_|Nom|Sg	34	subj	_	_
34	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	15	kon	_	_
35	keinem	keine	A	PIAT	Masc|Dat|Sg	37	det	1245	1245
36	verständigen	verständig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	37	attr	1245	1245
37	Fötus	Fötus	N	NN	Masc|Dat|Sg	34	objd	1245	1245
38	auch	auch	A	ADV	_	34	adv	1245	1245
39	nur	nur	A	ADV	_	34	adv	1245	1245
40	ein	ein	P	PTKVZ	_	34	avz	1245	1245
41	,	,	$	$,	_	0	root	1245	1245
42	der	die	P	PRELS	Masc|Nom|Sg	46	subj	1245	1245
43	vielmehr	vielmehr	A	ADV	_	46	adv	_	_
44	vernünftig	vernünftig	A	ADJD	Pos|	46	adv	_	_
45	so	so	A	ADV	_	46	adv	_	_
46	schließt	schließen	V	VVFIN	3|Sg|Pres|Ind	37	rel	_	_
47	:	\:	$	$.	_	0	root	_	_
48	»	»	$	$(	_	0	root	_	_
49	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
50	jetzo	jetzo	N	NE	_|Dat|_	49	objd	448	448
51	am	an	P	APPRART	Dat	49	pp	_	_
52	runden	rund	A	ADJA	Pos|Masc|Dat|Sg|Wk|	54	attr	_	_
53	großen	groß	A	ADJA	Pos|Masc|Dat|Sg|Wk|	54	attr	_	_
54	Menschenkopf	Menschenkopf	N	NN	Masc|Dat|Sg	51	pn	_	_
55	der	die	A	ART	Def|Masc|Nom|Sg	56	det	461	461
56	Leib	Leib	N	NN	Masc|Nom|Sg	49	subj	461	461
57	nichts	nichts	P	PIS	_|Nom|_	49	pred	_	_
58	weiter	weiter	A	ADV	_	57	adv	_	_
59	als	als	K	KOKOM	_	49	kom	_	_
60	der	die	A	ART	Def|Masc|Nom|Sg	62	det	_	_
61	dünne	dünn	A	ADJA	Pos|Masc|Nom|Sg|Wk|	62	attr	_	_
62	Stiel	Stiel	N	NN	Masc|Nom|Sg	59	cj	_	_
63	an	an	P	APPR	Dat	49	pp	_	_
64	einem	eine	A	ART	Indef|_|Dat|Sg	66	det	_	_
65	wahren	wahr	A	ADJA	Pos|_|_|_|_|	66	attr	_	_
66	Reichs-	Reichs-	T	TRUNC	Masc|Dat|Sg	63	pn	_	_
67	und	und	K	KON	_	66	kon	_	_
68	Schönheitsapfel	Schönheitsapfel	N	NN	Masc|_|Sg	67	cj	_	_
69	;	;	$	$.	_	0	root	_	_
70	verhält	verhalten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
71	sich	sie	P	PRF	3|_|_	70	obja	_	_
72	vollends	vollends	A	ADV	_	70	adv	_	_
73	das	die	A	ART	Def|Neut|Nom|Sg	74	det	661	661
74	Herz	Herz	N	NN	Neut|Nom|Sg	70	subj	661	661
75	im	in	P	APPRART	Dat	70	pp	_	_
76	ganzen	ganz	A	ADJA	Pos|_|Dat|_|_|	75	pn	_	_
77	wie	wie	K	KOKOM	_	70	kom	_	_
78	3	3	C	CARD	_	77	cj	_	_
79	zu	zu	P	APPR	Dat	70	pp	_	_
80	2	2	C	CARD	_	79	pn	_	_
81	:	\:	$	$.	_	0	root	_	_
82	so	so	A	ADV	_	83	adv	_	_
83	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
84	der	die	A	ART	Def|Masc|Nom|Sg	85	det	1246	1246
85	Fötus	Fötus	N	NN	Masc|Nom|Sg	83	subj	1246	1246
86	ein	eine	A	ART	Indef|_|Nom|Sg	87	det	_	_
87	Ausbund	Ausbund	N	NN	_|Nom|Sg	83	pred	_	_
88	und	und	K	KON	_	83	kon	_	_
89	kann	können	V	VMFIN	_|Sg|Pres|Ind	88	cj	_	_
90	Großes	Großes	N	NN	Neut|_|Sg	93	obja	_	_
91	aus	aus	P	APPR	Dat	90	pp	_	_
92	sich	sie	P	PRF	3|_|Dat	91	pn	_	_
93	machen	machen	V	VVINF	_	89	aux	_	_
94	.	.	$	$.	_	0	root	_	_
95	«	«	$	$(	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	1247	1247
2	Große	Große	N	NN	Neut|_|Sg	3	obja	1247	1247
3	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	9	konj	_	_
7	man	man	P	PIS	_|Nom|Sg	9	subj	_	_
8	geboren	gebären	V	VVPP	_	9	aux	_	_
9	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	neb	_	_
10	und	und	K	KON	_	9	kon	_	_
11	reift	reifen	V	VVFIN	_|_|Pres|Ind	10	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Wägt	wägen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	nur	nur	A	ADV	_	1	adv	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	_	_
4	Herz	Herz	N	NN	Neut|Nom|Sg	1	subj	_	_
5	eines	eine	A	ART	Indef|Masc|Gen|Sg	7	det	_	_
6	erwachsenen	erwachsen	A	ADJA	Pos|Masc|Gen|Sg|_|	7	attr	_	_
7	Hundertpfünders	Hundertpfünder	N	NN	Masc|Gen|Sg	4	gmod	_	_
8	als	als	K	KOKOM	_	1	kom	_	_
9	ein	eine	A	ART	Indef|Neut|_|Sg	11	det	_	_
10	vergrabenes	vergraben	A	ADJA	Pos|Neut|_|Sg|St|	11	attr	_	_
11	Pfund	Pfund	N	NN	Neut|_|Sg	8	cj	_	_
12	Fleisch-Gewicht	Fleisch-Gewicht	N	NN	Neut|_|Sg	11	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	oder	oder	K	KON	_	1	kon	_	_
15	zählt	zählen	V	VVFIN	3|Sg|Pres|Ind	14	cj	_	_
16	dessen	die	A	PDAT	Masc|Nom|Sg	18	det	1248	1248
17	spätern	spätern	A	ADJA	_|Masc|Nom|Sg|_	18	attr	1632	1632
