1	Schafft	schaffen	V	VVIMP	Pl	0	root	_	_
11	bist	sein	V	VAFIN	2|Sg|Pres|Ind	1	cj	_	_
12	du	du	P	PPER	2|Sg|_|Nom	11	subj	771	771
13	es	es	P	PPER	3|Sg|Neut|_	11	expl	_	_
14	doch	doch	A	ADV	_	11	adv	_	_
15	nicht	nicht	P	PTKNEG	_	11	adv	_	_
16	allein	allein	A	ADV	_	11	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	bist	sein	V	VAFIN	2|Sg|Pres|Ind	11	kon	_	_
19	auch	auch	A	ADV	_	18	adv	_	_
20	nicht	nicht	P	PTKNEG	_	18	adv	_	_
21	der	die	A	ART	Def|_|_|_	22	det	_	_
22	erste	erst	A	ADJA	Masc|Nom|Sg	18	pred	_	_
23	.	.	$	$.	_	0	root	_	_

1	Denke	Denke	N	NN	Fem|_|Sg	0	root	_	_
2	an	an	P	APPR	Acc	1	pp	_	_
3	die	die	A	ART	Def|_|Acc|Pl	4	det	_	_
4	Heiden	Heide	N	NN	_|Acc|Pl	2	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	Türken	Türke	N	NN	_|Acc|_	4	kon	_	_
7	und	und	K	KON	_	6	kon	_	_
8	alle	alle	A	PIDAT	_|Acc|Pl	9	det	772	772
9	Gottlosen	Gottlos	N	NN	_|Acc|Pl	7	cj	772	772
10	,	,	$	$,	_	0	root	772	772
11	die	die	P	PRELS	_|Nom|Pl	17	subj	772	772
12	in	in	P	APPR	Dat	17	pp	_	_
13	gleicher	gleich	A	ADJA	Pos|Fem|Dat|Sg|St|	14	attr	_	_
14	Verdammnis	Verdammnis	N	NN	Fem|Dat|Sg	12	pn	_	_
15	mit	mit	P	APPR	Dat	17	pp	_	_
16	dir	du	P	PPER	2|Sg|_|Dat	15	pn	771	771
17	sind	sein	V	VAFIN	3|Pl|Pres|Ind	9	rel	_	_
18	und	und	K	KON	_	17	kon	_	_
19	zu	zu	P	APPR	Dat	21	objp	_	_
20	dir	du	P	PPER	2|Sg|_|Dat	19	pn	771	771
21	kommen	kommen	V	VVINF	_	22	aux	_	_
22	werden	werden	V	VAFIN	_|Pl|Pres|_	18	cj	_	_
23	.	.	$	$.	_	0	root	_	_

1	Sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
2	beherzt	beherzen	V	VVPP	_	1	aux	_	_
3	und	und	K	KON	_	0	root	_	_
4	unverzagt	unverzagt	A	ADJD	Pos|	19	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	denke	denken	V	VVFIN	_|Sg|Pres|_	4	par	_	_
7	doch	doch	A	ADV	_	6	adv	_	_
8	an	an	P	APPR	Acc	6	objp	_	_
9	die	die	A	ART	Def|Fem|Acc|Sg	10	det	_	_
10	Verheissung	Verheissung	N	NN	Fem|Acc|Sg	8	pn	_	_
11	unseres	unsre	A	PPOSAT	_|Gen|Sg	12	det	773	773
12	Obersten	Oberst	N	NN	Masc|Gen|Sg	10	gmod	773	773
13	,	,	$	$,	_	0	root	773	773
14	der	die	P	PRELS	Masc|Nom|Sg	17	subj	773	773
15	dir	du	P	PPER	2|Sg|_|Dat	16	objd	771	771
16	versprochen	versprechen	V	VVPP	_	17	aux	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	12	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	dass	dass	K	KOUS	_	26	konj	_	_
20	du	du	P	PPER	2|Sg|_|Nom	26	subj	771	771
21	in	in	P	APPR	Dat	25	pp	_	_
22	der	die	A	ART	Def|Fem|Dat|Sg	23	det	127	127
23	Hölle	Hölle	N	NN	Fem|Dat|Sg	21	pn	127	127
24	nicht	nicht	P	PTKNEG	_	25	adv	_	_
25	leiden	leiden	V	VVINF	_	26	aux	_	_
26	sollst	sollen	V	VMFIN	2|Sg|Pres|Ind	3	cj	_	_
27	wie	wie	K	KOKOM	_	25	kom	_	_
28	die	die	A	ART	Def|_|_|Pl	30	det	_	_
29	anderen	anderen	A	ADJA	_|_|_|Pl|_	30	attr	_	_
30	Verdammten	Verdammte	N	NN	_|_|Pl	27	cj	_	_
31	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Mit	mit	P	APPR	Dat	0	root	_	_
3	solchen	solche	A	PIDAT	_|Dat|_	2	pn	_	_
4	und	und	K	KON	_	0	root	_	_
5	anderen	anderen	A	ADJA	_|Neut|Dat|Pl|_	6	attr	_	_
6	Worten	Wort	N	NN	Neut|Dat|Pl	12	objd	_	_
7	wollte	wollen	V	VMFIN	3|Sg|Past|_	4	cj	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	25	25
9	Geist	Geist	N	NN	Masc|Nom|Sg	7	subj	25	25
10	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	773	773
11	beherzt	beherzt	A	ADJD	Pos|	12	pred	_	_
12	machen	machen	V	VVINF	_	7	aux	_	_
13	und	und	K	KON	_	12	kon	_	_
14	ihn	er	P	PPER	3|Sg|Masc|Acc	15	obja	773	773
15	aufrichten	aufrichten	V	VVINF	_	13	cj	_	_
16	.	.	$	$.	_	0	root	_	_

1	Faustus	Faustus	N	NE	_|Nom|Sg	2	subj	0	0
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	dass	dass	K	KOUS	_	10	konj	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
6	ja	ja	A	ADV	_	9	adv	_	_
7	nicht	nicht	P	PTKNEG	_	9	adv	_	_
8	anders	anders	A	ADV	_	9	pred	_	_
9	sein	sein	V	VAINF	_	10	aux	_	_
10	konnte	können	V	VMFIN	3|Sg|Past|Ind	2	objc	_	_
11	und	und	K	KON	_	10	kon	_	_
12	dass	dass	K	KOUS	_	20	konj	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	24	24
14	Teufel	Teufel	N	NN	Masc|Nom|Sg	20	subj	24	24
15	sicher	sicher	A	ADJD	Pos|	19	adv	_	_
16	sein	seine	A	PPOSAT	Neut|_|Sg	17	det	24	24
17	Unterpfand	Unterpfand	N	NN	Neut|_|Sg	19	obja	_	_
18	nicht	nicht	P	PTKNEG	_	19	adv	_	_
19	aufgeben	aufgeben	V	VVINF	_	20	aux	_	_
20	würde	werden	V	VAFIN	3|Sg|Past|Subj	11	cj	_	_
21	,	,	$	$,	_	0	root	_	_
22	sondern	sondern	K	KON	_	20	kon	_	_
23	die	die	A	ART	Def|Fem|Nom|Sg	25	det	_	_
24	folgende	folgend	A	ADJA	Pos|Fem|Nom|Sg|_|_	25	attr	_	_
25	Nacht	Nacht	N	NN	Fem|Nom|Sg	28	subj	_	_
26	es	es	P	PPER	3|Sg|Neut|_	28	obja	_	_
27	gewiss	gewiss	A	ADJD	Pos|	28	adv	_	_
28	hole	holen	V	VVFIN	3|Sg|Pres|Subj	22	cj	_	_
29	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	24	24
4	frühmorgens	frühmorgens	A	ADV	_	2	adv	_	_
5	auf	auf	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	spaziert	spazieren	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
8	etwas	etwas	P	PIS	_	7	obja	_	_
9	vor	vor	P	APPR	Acc	7	pp	_	_
10	die	die	A	ART	Def|Fem|Acc|Sg	11	det	148	148
11	Stadt	Stadt	N	NN	Fem|Acc|Sg	9	pn	148	148
12	hinaus	hinaus	P	PTKVZ	_	7	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	0	root	_	_
15	nach	nach	P	APPR	Dat	14	cj	_	_
16	etwa	etwa	A	ADV	_	18	adv	774	774
17	anderthalb	anderthalb	C	CARD	_	18	attr	774	774
18	Stunden	Stunde	N	NN	Fem|Dat|Pl	15	pn	774	774
19	,	,	$	$,	_	0	root	_	_
20	als	als	K	KOUS	_	26	konj	_	_
21	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	24	24
22	wieder	wieder	A	ADV	_	25	adv	_	_
23	nach	nach	P	APPR	Dat	25	pp	_	_
24	Hause	Haus	N	NN	Neut|Dat|Sg	23	pn	150	150
25	gekommen	kommen	V	VVPP	_	26	aux	_	_
26	war	sein	V	VAFIN	3|Sg|Past|Ind	28	neb	_	_
27	,	,	$	$,	_	0	root	_	_
28	befiehlt	befehlen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
29	er	er	P	PPER	3|Sg|Masc|Nom	28	subj	24	24
30	seinem	seine	A	PPOSAT	_|Dat|Sg	31	det	24	24
31	Famulus	Famulus	N	NN	_|Dat|Sg	28	objd	_	_
32	,	,	$	$,	_	0	root	_	_
33	dass	dass	K	KOUS	_	0	root	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	0	root	24	24
35	die	die	A	ART	Def|Masc|_|Pl	36	det	_	_
36	Studenten	Student	N	NN	Masc|_|Pl	0	root	_	_
37	als	als	K	KOKOM	_	36	kom	_	_
38	seine	seine	A	PPOSAT	Masc|_|Pl	40	det	150	150
39	vertrauten	vertraut	A	ADJA	Pos|Masc|_|Pl|Wk|	40	attr	_	_
40	Freunde	Freund	N	NN	Masc|_|Pl	37	cj	_	_
41	,	,	$	$,	_	0	root	_	_
42	noch	noch	A	ADV	_	48	adv	_	_
43	einmal	einmal	A	ADV	_	48	adv	_	_
44	zu	zu	P	APPR	Dat	48	pp	_	_
45	ihm	er	P	PPER	3|Sg|_|Dat	44	pn	24	24
46	ins	in	P	APPRART	Acc	48	pp	_	_
47	Haus	Haus	N	NN	Neut|Acc|Sg	46	pn	150	150
48	rufen	rufen	V	VVINF	_	49	aux	_	_
49	sollte	sollen	V	VMFIN	_|Sg|Past|_	0	root	_	_
50	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	24	24
2	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	ihnen	sie	P	PPER	3|Pl|_|Dat	7	objd	774	774
4	etwas	etwas	A	PIAT	Neut|_|Sg	5	det	775	775
5	Notwendiges	Notwendiges	N	NN	Neut|_|Sg	7	obja	775	775
6	zu	zu	P	PTKZU	_	7	part	_	_
7	verkünden	verkünden	V	VVINF	_	2	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Weil	weil	K	KOUS	_	4	konj	_	_
2	diese	diese	P	PDS	_|Nom|Pl	4	subj	_	_
3	nun	nun	A	ADV	_	4	adv	_	_
4	meinten	meinen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Doktor	Doktor	N	NN	Masc|Nom|Sg	8	subj	32	32
7	Faust	Faust	N	NE	Masc|Nom|Sg	6	app	32	32
8	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
9	sich	sie	P	PRF	3|_|_	11	obja	_	_
10	vollends	vollends	A	ADV	_	11	adv	_	_
11	bekehren	bekehren	V	VVINF	_	8	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	nahmen	nehmen	V	VVFIN	_|Pl|Past|Ind	8	kon	_	_
14	sie	sie	P	PPER	3|_|_|_	13	obja	775	775
15	den	die	A	ART	Def|Masc|Acc|Sg	16	det	_	_
16	Magister	Magister	N	NN	Masc|Acc|Sg	0	root	_	_
17	mit	mit	P	APPR	Dat	16	pp	_	_
18	sich	sie	P	PRF	3|_|Dat	17	pn	_	_
19	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	4	konj	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	4	subj	774	774
3	aber	aber	A	ADV	_	4	adv	_	_
4	ankamen	ankommen	V	VVFIN	3|Pl|Past|Ind	6	neb	_	_
5	,	,	$	$,	_	0	root	_	_
6	bat	bitten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	32	32
8	alle	alle	P	PIS	_|Nom|_	7	app	_	_
9	,	,	$	$,	_	0	root	_	_
10	mit	mit	P	APPR	Dat	19	pp	_	_
11	ihm	er	P	PPER	3|Sg|_|Dat	10	pn	5	5
12	noch	noch	A	ADV	_	13	adv	_	_
13	einmal	einmal	A	ADV	_	10	adv	_	_
14	in	in	P	APPR	Acc	19	pp	_	_
15	das	die	A	ART	Def|Neut|Acc|Sg	16	det	776	776
16	Dorf	Dorf	N	NN	Neut|Acc|Sg	14	pn	776	776
17	Rimlich	Rimlich	N	NE	Neut|Acc|Sg	16	app	776	776
18	zu	zu	P	PTKZU	_	19	part	_	_
19	spazieren	spazieren	V	VVINF	_	6	obji	_	_
20	,	,	$	$,	_	0	root	_	_
21	denn	denn	K	KON	_	6	kon	_	_
22	dort	dort	A	ADV	_	23	adv	_	_
23	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	21	cj	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	32	32
25	sich	sie	P	PRF	3|_|_	28	obja	_	_
26	mit	mit	P	APPR	Dat	28	pp	_	_
27	ihnen	sie	P	PPER	3|Pl|_|Dat	26	pn	774	774
28	erlustigen	erlustigen	V	VVINF	_	23	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	was	was	P	PRELS	Neut|_|Sg	35	obja	776	776
31	er	er	P	PPER	3|Sg|Masc|Nom	36	subj	32	32
32	die	die	A	ART	Def|Fem|_|Sg	34	det	_	_
33	letzte	letzte	A	ADJA	Pos|Fem|_|Sg|_|	34	attr	_	_
34	Zeit	Zeit	N	NN	Fem|_|Sg	35	zeit	_	_
35	unterlassen	unterlassen	V	VVPP	_	36	aux	_	_
36	hätte	haben	V	VAFIN	3|Sg|Past|Subj	17	rel	_	_
37	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	638	638
2	Geistliche	Geistliche	N	NN	Masc|Nom|Sg	3	subj	638	638
3	verliess	verlassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	auf	auf	P	APPR	Acc	3	pp	_	_
5	diese	diese	A	PDAT	Neut|Acc|Pl	6	det	778	778
6	Worte	Wort	N	NN	Neut|Acc|Pl	4	pn	778	778
7	des	die	A	ART	Def|Masc|Gen|Sg	8	det	47	47
8	Doktors	Doktor	N	NN	Masc|Gen|Sg	6	gmod	47	47
9	die	die	A	ART	Def|Fem|_|Sg	10	det	777	777
10	Wohnung	Wohnung	N	NN	Fem|_|Sg	3	obja	777	777
11	,	,	$	$,	_	0	root	_	_
12	denn	denn	K	KON	_	3	kon	_	_
13	es	es	P	PPER	3|Sg|Neut|_	21	expl	_	_
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	12	cj	_	_
15	ihn	er	P	PPER	3|Sg|Masc|Acc	21	obja	638	638
16	bei	bei	P	APPR	Dat	21	pp	_	_
17	seiner	seine	A	PPOSAT	Fem|Dat|Sg	18	det	638	638
18	Rede	Rede	N	NN	Fem|Dat|Sg	16	pn	_	_
19	ein	eine	A	ART	Indef|_|Nom|Sg	20	det	_	_
20	Schauder	Schauder	N	NN	_|Nom|Sg	14	subj	_	_
21	ergriffen	ergreifen	V	VVPP	_	14	aux	_	_
22	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	_	_
2	Studenten	Student	N	NN	Masc|Nom|Pl	4	subj	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	4	expl	_	_
6	zufrieden	zufrieden	A	ADJD	Pos|	4	pred	_	_
7	und	und	K	KON	_	4	kon	_	_
8	spazierten	spazieren	V	VVFIN	_|Pl|Past|_	7	cj	_	_
9	miteinander	miteinander	A	ADV	_	8	adv	_	_
10	dahin	dahin	A	ADV	_	8	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	hatten	haben	V	VAFIN	_|Pl|Past|Ind	8	kon	_	_
13	unterwegs	unterwegs	A	ADV	_	12	adv	_	_
14	allerlei	allerlei	A	PIAT	Neut|_|_	15	det	_	_
15	Gespräche	Gespräch	N	NN	Neut|_|_	12	obja	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	0	root	_	_
18	nachdem	nachdem	K	KOUS	_	22	konj	_	_
19	sie	sie	P	PPER	3|Pl|_|Nom	22	subj	778	778
20	daselbst	daselbst	A	ADV	_	21	adv	_	_
21	angelangt	anlangen	V	VVPP	_	22	aux	_	_
22	waren	sein	V	VAFIN	3|Pl|Past|Ind	17	cj	_	_
23	;	;	$	$.	_	0	root	_	_
24	liess	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
25	Faust	Faust	N	NE	_|Nom|Sg	24	subj	32	32
26	ein	eine	A	ART	Indef|Neut|_|Sg	28	det	_	_
27	gutes	gut	A	ADJA	Pos|Neut|_|Sg|St|	28	attr	_	_
28	Mahl	Mahl	N	NN	Neut|_|Sg	24	obja	_	_
29	herrichten	herrichten	V	VVINF	_	24	obji	_	_
30	und	und	K	KON	_	24	kon	_	_
31	stellte	stellen	V	VVFIN	_|Sg|Past|_	30	cj	_	_
32	sich	sie	P	PRF	3|_|_	31	obja	_	_
33	mit	mit	P	APPR	Dat	31	pp	_	_
34	ihnen	sie	P	PPER	3|Pl|_|Dat	33	pn	778	778
35	möglichst	möglichst	A	ADV	_	36	adv	_	_
36	fröhlich	fröhlich	A	ADJD	Pos|	31	adv	_	_
37	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	778	778
4	bis	bis	P	APPR	Acc	2	pp	_	_
5	zum	zu	P	APPRART	Dat	4	pp	_	_
6	Abend	Abend	N	NN	Masc|Dat|Sg	5	pn	366	366
7	recht	recht	A	ADJD	Pos|	8	adv	_	_
8	lustig	lustig	A	ADJD	Pos|	2	adv	_	_
9	beisammen	beisammen	P	PTKVZ	_	2	avz	_	_
10	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	wollten	wollen	V	VMFIN	_|Pl|Past|_	0	root	_	_
3	alle	alle	P	PIS	_|Nom|_	5	subj	_	_
4	,	,	$	$,	_	0	root	_	_
5	ausgenommen	ausnehmen	V	VVPP	_	2	neb	_	_
6	Faustus	Faustus	N	NN	_	0	root	0	0
7	,	,	$	$,	_	0	root	_	_
8	wieder	wieder	A	ADV	_	11	adv	_	_
9	nach	nach	P	APPR	Dat	11	pp	_	_
10	Hause	Haus	N	NN	Neut|Dat|Sg	9	pn	150	150
11	gehen	gehen	V	VVINF	_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	32	32
2	aber	aber	A	ADV	_	3	adv	_	_
3	bat	bitten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	_	_
5	gar	gar	A	ADV	_	3	adv	_	_
6	freundlich	freundlich	A	ADJD	Pos|	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	dass	dass	K	KOUS	_	22	konj	_	_
9	sie	sie	P	PPER	3|Pl|_|Nom	22	subj	778	778
10	doch	doch	A	ADV	_	21	adv	_	_
11	nur	nur	A	ADV	_	21	adv	_	_
12	noch	noch	A	ADV	_	21	adv	_	_
13	dieses	diese	A	PDAT	Neut|_|Sg	15	det	_	_
14	einzige	einzig	A	ADJA	Pos|Neut|_|Sg|Wk|	15	attr	_	_
15	Mal	Mal	N	NN	Neut|_|Sg	21	zeit	_	_
16	die	die	A	ART	Def|Fem|_|Sg	17	det	291	291
17	Nacht	Nacht	N	NN	Fem|_|Sg	18	grad	291	291
18	über	über	A	ADV	_	21	adv	_	_
19	im	in	P	APPRART	Dat	21	pp	_	_
20	Wirtshaus	Wirtshaus	N	NN	Neut|Dat|Sg	19	pn	_	_
21	bleiben	bleiben	V	VVINF	_	22	aux	_	_
22	sollten	sollen	V	VMFIN	3|Pl|Past|_	3	objc	_	_
23	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Zeit	Zeit	N	NN	Fem|Nom|Sg	5	subj	_	_
3	zur	zu	P	APPRART	Dat	2	pp	_	_
4	Heimkunft	Heimkunft	N	NN	Fem|Dat|Sg	3	pn	_	_
5	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
6	doch	doch	A	ADV	_	5	adv	_	_
7	schon	schon	A	ADV	_	5	adv	_	_
8	zu	zu	P	PTKA	_	9	adv	_	_
9	spät	spät	A	ADJD	Pos|	5	pred	_	_
10	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	32	32
2	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
3	ihnen	sie	P	PPER	3|Pl|_|Dat	9	objd	778	778
4	nach	nach	P	APPR	Dat	9	pp	_	_
5	dem	die	A	ART	Def|Neut|Dat|Sg	6	det	426	426
6	Nachtessen	Nachtessen	N	NN	Neut|Dat|Sg	4	pn	426	426
7	etwas	etwas	A	ADV	_	8	adv	_	_
8	besonders	besonders	A	ADV	_	9	adv	_	_
9	erklären	erklären	V	VVINF	_	2	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	sagten	sagen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	778	778
4	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	32	32
5	denn	denn	A	ADV	_	2	adv	_	_
6	zu	zu	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	bei	bei	P	APPR	Dat	11	objp	_	_
9	ihm	er	P	PPER	3|Sg|_|Dat	8	pn	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	bleiben	bleiben	V	VVINF	_	2	obji	_	_
12	,	,	$	$,	_	0	root	_	_
13	weil	weil	K	KOUS	_	19	konj	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	19	subj	_	_
15	doch	doch	A	ADV	_	18	adv	_	_
16	nicht	nicht	P	PTKNEG	_	18	adv	_	_
17	anders	anders	A	ADV	_	18	pred	_	_
18	sein	sein	V	VAINF	_	19	aux	_	_
19	konnte	können	V	VMFIN	3|Sg|Past|Ind	11	neb	_	_
20	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	8	konj	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	779	779
3	Mahl	Mahl	N	NN	Neut|Nom|Sg	8	subj	779	779
4	und	und	K	KON	_	3	kon	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	780	780
6	Schlaftrunk	Schlaftrunk	N	NN	Masc|Nom|Sg	4	cj	780	780
7	beendet	beenden	V	VVPP	_	8	aux	_	_
8	waren	sein	V	VAFIN	_|Pl|Past|Ind	10	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	bezahlte	bezahlen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	Faustus	Faustus	N	NE	_|Nom|Sg	10	subj	0	0
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	371	371
13	Wirt	Wirt	N	NN	Masc|Acc|Sg	10	obja	371	371
14	und	und	K	KON	_	10	kon	_	_
15	bat	bitten	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
16	die	die	A	ART	Def|Masc|_|Pl	17	det	281	281
17	Gäste	Gast	N	NN	Masc|_|Pl	15	obja	281	281
18	,	,	$	$,	_	0	root	_	_
19	sie	sie	P	PPER	3|Pl|_|Nom	20	subj	778	778
20	sollten	sollen	V	VMFIN	3|Pl|Past|_	15	kon	_	_
21	eine	eine	A	ART	Indef|Fem|_|Sg	22	det	_	_
22	Weile	Weile	N	NN	Fem|_|Sg	29	zeit	_	_
23	mit	mit	P	APPR	Dat	29	pp	_	_
24	ihm	er	P	PPER	3|Sg|_|Dat	23	pn	0	0
25	in	in	P	APPR	Acc	29	objp	_	_
26	die	die	A	ART	Def|Fem|Acc|Sg	28	det	_	_
27	nächste	nah	A	ADJA	_|Fem|Acc|Sg|_|	28	attr	_	_
28	Stube	Stube	N	NN	Fem|Acc|Sg	25	pn	_	_
29	gehen	gehen	V	VVINF	_	20	aux	_	_
30	,	,	$	$,	_	0	root	_	_
31	er	er	P	PPER	3|Sg|Masc|Nom	32	subj	0	0
32	habe	haben	V	VAFIN	3|Sg|Pres|Subj	20	kon	_	_
33	ihnen	sie	P	PPER	3|Pl|_|Dat	37	objd	778	778
34	etwas	etwas	A	PIAT	Neut|_|Sg	35	det	781	781
35	Wichtiges	Wichtiges	N	NN	Neut|_|Sg	37	obja	781	781
36	zu	zu	P	PTKZU	_	37	part	_	_
37	sagen	sagen	V	VVINF	_	32	aux	_	_
38	,	,	$	$,	_	0	root	_	_
39	was	was	P	PRELS	Neut|_|Sg	43	obja	781	781
40	er	er	P	PPER	3|Sg|Masc|Nom	44	subj	0	0
41	bisher	bisher	A	ADV	_	43	adv	_	_
42	verborgen	verborgen	A	ADJD	Pos|	43	adv	_	_
43	gehalten	halten	V	VVPP	_	44	aux	_	_
44	hätte	haben	V	VAFIN	3|Sg|Past|Subj	37	objc	_	_
45	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	betreffe	betreffen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
3	sein	seine	A	PPOSAT	_|_|Sg	4	det	0	0
4	Heil	Heil	N	NN	_|_|Sg	2	obja	782	782
5	und	und	K	KON	_	4	kon	_	_
6	seine	seine	A	PPOSAT	Fem|_|Sg	7	det	0	0
7	Seligkeit	Seligkeit	N	NN	Fem|_|Sg	5	cj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	4	pp	_	_
2	solcher	solche	A	PIDAT	Fem|Dat|Sg	3	det	_	_
3	Vorrede	Vorrede	N	NN	Fem|Dat|Sg	1	pn	_	_
4	fing	fangen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	5	5
6	ohne	ohne	P	APPR	Acc	4	pp	_	_
7	fernere	fern	A	ADJA	Comp|_|Acc|_|_|	8	attr	783	783
8	Umschweife	Umschweife	N	NN	_|Acc|_	6	pn	783	783
9	an	an	P	PTKVZ	_	4	avz	_	_
10	und	und	K	KON	_	4	kon	_	_
11	sprach	sprechen	V	VVFIN	_|Sg|Past|Ind	10	cj	_	_
12	:	\:	$	$.	_	0	root	_	_
13	"	"	$	$(	_	0	root	_	_
14	Wohlgelehrte	Wohlgelehrte	N	NN	_|_|_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	783	783
17	meine	meine	A	PPOSAT	Masc|_|Pl	21	det	784	784
18	lieben	lieb	A	ADJA	Pos|Masc|_|Pl|Wk|	21	attr	_	_
19	,	,	$	$,	_	0	root	_	_
20	vertrauten	vertraut	A	ADJA	Pos|_|_|_|_|	18	kon	_	_
21	Herren	Herr	N	NN	Masc|_|Pl	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	dass	dass	K	KOUS	_	31	konj	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	31	subj	784	784
25	euch	ihr	P	PRF	2|Pl|Dat	33	objd	_	_
