1	Komm	Komm	N	NE	_	0	root	137	137
5	schönen	schön	A	ADJA	Pos|Fem|Nom|Pl|Wk|	6	attr	152	152
6	Erdbeeren	Erdbeere	N	NN	Fem|Nom|Pl	2	subj	152	152
7	wieder	wieder	A	ADV	_	2	adv	_	_
8	in	in	P	APPR	Acc	2	objp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	151	151
10	Sinn	Sinn	N	NN	Masc|Acc|Sg	8	pn	151	151
11	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	holte	holen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	152	152
4	schnell	schnell	A	ADJD	Pos|	2	adv	_	_
5	herbei	herbei	A	ADJD	_	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	damit	damit	K	KOUS	_	16	konj	_	_
8	die	die	A	ART	Def|Fem|Nom|Sg	9	det	6	6
9	Großmutter	Großmutter	N	NN	Fem|Nom|Sg	16	subj	6	6
10	noch	noch	A	ADV	_	15	adv	_	_
11	im	in	P	APPRART	Dat	15	pp	_	_
12	Mondschein	Mondschein	N	NN	Masc|Dat|Sg	11	pn	_	_
13	die	die	A	ART	Def|Fem|_|Pl	14	det	_	_
14	Prachtbeeren	Prachtbeere	N	NN	Fem|_|Pl	15	obja	_	_
15	bewundern	bewundern	V	VVINF	_	16	aux	_	_
16	konnte	können	V	VMFIN	3|Sg|Past|Ind	2	neb	_	_
17	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	9	konj	_	_
2	auch	auch	A	ADV	_	9	adv	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	60	60
4	Kratten	Kratten	N	NN	Masc|Nom|Sg	9	subj	60	60
5	nur	nur	A	ADV	_	9	adv	_	_
6	halb	halb	A	ADJD	Pos|	9	adv	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	voll	voll	A	ADJD	Pos|	9	pred	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	14	neb	_	_
10	wie	wie	K	KOKOM	_	9	kom	_	_
11	gewöhnlich	gewöhnlich	A	ADJD	Pos|	10	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	6	6
16	doch	doch	A	ADV	_	14	adv	_	_
17	außerordentliche	außerordentlich	A	ADJA	Pos|Fem|_|Sg|_|	18	attr	_	_
18	Freude	Freude	N	NN	Fem|_|Sg	14	obja	_	_
19	und	und	K	KON	_	14	kon	_	_
20	sagte	sagen	V	VVFIN	_|Sg|Past|_	19	cj	_	_
21	immer	immer	A	ADV	_	22	adv	_	_
22	wieder	wieder	A	ADV	_	20	adv	_	_
23	,	,	$	$,	_	0	root	_	_
24	solche	solche	A	PIDAT	_|Nom|Sg	25	det	_	_
25	Wunderbeeren	Wunderbeere	N	NN	_|Nom|Sg	26	subj	_	_
26	habe	haben	V	VAFIN	3|Sg|Pres|Subj	20	s	_	_
27	sie	sie	P	PPER	3|_|_|_	30	obja	6	6
28	noch	noch	A	ADV	_	30	adv	_	_
29	nie	nie	A	ADV	_	30	adv	_	_
30	gesehen	sehen	V	VVPP	_	26	aux	_	_
31	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	12	12
2	Trini	Trini	N	NN	Neut|Nom|Sg	3	subj	12	12
3	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
4	schnell	schnell	A	ADJD	Pos|	3	adv	_	_
5	noch	noch	A	ADV	_	3	adv	_	_
6	damit	damit	P	PROAV	_	3	pp	_	_
7	zur	zu	P	APPRART	Dat	3	pp	_	_
8	Goldäpfelbäuerin	Goldäpfelbäuerin	N	NN	Fem|Dat|Sg	7	pn	_	_
9	hinunter	hinunter	P	PTKVZ	_	3	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	aber	aber	K	KON	_	3	kon	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	6	6
13	Großmutter	Großmutter	N	NN	Fem|Nom|Sg	14	subj	6	6
14	sagte	sagen	V	VVFIN	3|Sg|Past|_	11	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	spät	spät	A	ADJD	Pos|	18	adv	_	_
18	kaufe	kaufen	V	VVFIN	3|Sg|Pres|Subj	14	s	_	_
19	die	die	A	ART	Def|Fem|Nom|Sg	20	det	82	82
20	Bäuerin	Bäuerin	N	NN	Fem|Nom|Sg	18	subj	82	82
21	keine	keine	A	PIAT	Fem|_|Pl	22	det	_	_
22	Beeren	Beere	N	NN	Fem|_|Pl	18	obja	_	_
23	mehr	mehr	A	ADV	_	22	adv	_	_
24	.	.	$	$.	_	0	root	_	_

1	Am	an	P	APPRART	Dat	4	pp	_	_
2	nächsten	nah	A	ADJA	_|_|Dat|_|_|	3	attr	153	153
3	Morgen	Morgen	N	NN	_|Dat|_	1	pn	153	153
4	solle	sollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	seine	seine	A	PPOSAT	_|_|_	7	det	153	153
7	Beeren	Beere	N	NN	_|_|_	10	obja	_	_
8	zum	zu	P	APPRART	Dat	10	pp	_	_
9	Wirtshaus	Wirtshaus	N	NN	Neut|Dat|Sg	8	pn	163	163
10	hinuntertragen	hinuntertragen	V	VVINF	_	4	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	154	154
2	Juli	Juli	N	NN	Masc|Nom|Sg	3	subj	154	154
3	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	seinem	seine	A	PPOSAT	Neut|Dat|Sg	5	det	154	154
5	Ende	Ende	N	NN	Neut|Dat|Sg	3	objd	_	_
6	entgegen	entgegen	P	PTKVZ	_	3	avz	_	_
7	und	und	K	KON	_	0	root	_	_
8	mit	mit	P	APPR	Dat	12	pp	_	_
9	ihm	er	P	PPER	3|Sg|_|Dat	8	pn	154	154
10	die	die	A	ART	Def|Fem|_|Sg	12	det	_	_
11	schöne	schön	A	ADJA	Pos|Fem|_|Sg|_|	12	attr	_	_
12	Erdbeerenzeit	Erdbeerenzeit	N	NN	Fem|_|Sg	7	cj	_	_
13	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	3	adv	_	_
2	oben	oben	A	ADV	_	3	adv	_	_
3	beim	bei	P	APPRART	Dat	7	pp	_	_
4	Wald	Wald	N	NN	Masc|Dat|Sg	3	pn	_	_
5	über	über	P	APPR	_	4	pp	_	_
6	Hochtannen	Hochtann	N	NN	_|_|Pl	5	pn	_	_
7	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	noch	noch	A	ADV	_	7	adv	_	_
9	eine	eine	A	ART	Indef|Fem|Nom|Sg	13	det	_	_
10	späte	spät	A	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	_	_
11	,	,	$	$,	_	0	root	_	_
12	kräftige	kräftig	A	ADJA	Pos|_|Nom|_|_|	10	kon	_	_
13	Sorte	Sorte	N	NN	Fem|Nom|Sg	7	subj	_	_
14	der	die	A	ART	Def|Fem|Gen|Pl	15	det	155	155
15	Beeren	Beere	N	NN	Fem|Gen|Pl	13	gmod	155	155
16	zu	zu	P	PTKZU	_	17	part	155	155
17	finden	finden	V	VVINF	_	7	obji	155	155
18	,	,	$	$,	_	0	root	155	155
19	die	die	P	PRELS	Fem|Nom|Pl	23	subj	155	155
20	besonders	besonders	A	ADV	_	21	adv	_	_
21	gut	gut	A	ADJD	Pos|	22	adv	_	_
22	bezahlt	bezahlen	V	VVPP	_	23	aux	_	_
23	wurden	werden	V	VAFIN	3|Pl|Past|Ind	15	rel	_	_
24	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	jetzt	jetzt	A	ADV	_	3	adv	_	_
3	reisten	reisen	V	VVFIN	3|Pl|Past|_	1	cj	_	_
4	viele	viele	A	PIDAT	_|Nom|Pl	5	det	157	157
5	Fremde	Fremde	N	NN	_|Nom|Pl	3	subj	157	157
6	über	über	P	APPR	Acc	5	pp	157	157
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	156	156
8	Berg	Berg	N	NN	Masc|Acc|Sg	6	pn	156	156
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	3	kon	_	_
11	unten	unten	A	ADV	_	12	adv	_	_
12	im	in	P	APPRART	Dat	18	pp	_	_
13	Wirtshaus	Wirtshaus	N	NN	Neut|Dat|Sg	12	pn	_	_
14	an	an	P	APPR	Dat	13	pp	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	17	det	_	_
16	großen	groß	A	ADJA	Pos|Fem|Dat|Sg|Wk|	17	attr	_	_
17	Straße	Straß	N	NN	Fem|Dat|Sg	14	pn	_	_
18	machten	machen	V	VVFIN	3|Pl|Past|_	10	cj	_	_
19	sie	sie	P	PPER	3|Pl|_|Nom	18	subj	157	157
20	meistens	meistens	A	ADV	_	18	adv	_	_
21	Halt	Halt	N	NN	Masc|_|Sg	18	obja	_	_
22	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	3	det	_	_
2	seltenen	selten	A	ADJA	Pos|Fem|Nom|Pl|Wk|	3	attr	_	_
3	Beeren	Beere	N	NN	Fem|Nom|Pl	4	subj	_	_
4	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
5	dann	dann	A	ADV	_	4	adv	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	201	201
7	Wirtin	Wirtin	N	NN	Fem|Dat|Sg	4	objd	201	201
8	sehr	sehr	A	ADV	_	9	adv	_	_
9	gelegen	liegen	V	VVPP	_	4	neb	_	_
10	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
3	brauchte	brauchen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	viel	viel	A	PIDAT	Fem|_|Sg	5	det	_	_
5	Zeit	Zeit	N	NN	Fem|_|Sg	3	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	A	ART	Def|_|_|_	8	det	60	60
8	Kratten	Kratten	N	NN	_|_|_	13	obja	60	60
9	auch	auch	A	ADV	_	13	adv	_	_
10	nur	nur	A	ADV	_	13	adv	_	_
11	halb	halb	A	ADJD	Pos|	13	adv	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	füllen	füllen	V	VVINF	_	3	obji	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	3	kon	_	_
16	man	man	P	PIS	_|Nom|Sg	17	subj	_	_
17	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	15	cj	_	_
18	genau	genau	A	ADJD	Pos|	19	adv	_	_
19	wissen	wissen	V	VVINF	_	17	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	wo	wo	P	PWAV	_	25	adv	_	_
22	die	die	A	ART	Def|Fem|Nom|Pl	24	det	_	_
23	vereinzelten	vereinzelt	A	ADJA	Pos|Fem|Nom|Pl|Wk|	24	attr	_	_
24	Beeren	Beere	N	NN	Fem|Nom|Pl	25	subj	_	_
25	wuchsen	wachsen	V	VVFIN	3|Pl|Past|Ind	19	objc	_	_
26	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	5	koord	_	_
2	wer	wer	P	PWS	_|Nom|Sg	5	pred	_	_
3	fröhlichen	fröhlich	A	ADJA	Pos|Masc|Gen|Sg|_|	4	attr	227	227
4	Mutes	Mut	N	NN	Masc|Gen|Sg	2	gmod	227	227
5	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
6	wie	wie	K	KOKOM	_	5	kom	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	12	12
8	Trini	Trini	N	NN	Neut|_|Sg	6	cj	12	12
9	,	,	$	$,	_	0	root	_	_
10	dem	die	P	PDS	_|Dat|Sg	11	objd	_	_
11	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	das	die	P	PDS	Neut|Nom|Sg	11	subj	_	_
13	keine	keine	A	PIAT	Masc|_|Pl	15	det	_	_
14	schweren	schwer	A	ADJA	Pos|Masc|_|Pl|Wk|	15	attr	_	_
15	Gedanken	Gedanke	N	NN	Masc|_|Pl	11	obja	_	_
16	.	.	$	$.	_	0	root	_	_

1	An	an	P	APPR	Dat	5	pp	_	_
2	einem	eine	A	ART	Indef|Masc|Dat|Sg	4	det	_	_
3	warmen	warm	A	ADJA	Pos|Masc|Dat|Sg|Wk|	4	attr	_	_
4	Sommerabend	Sommerabend	N	NN	Masc|Dat|Sg	1	pn	_	_
5	lief	laufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
7	mit	mit	P	APPR	Dat	5	pp	_	_
8	freudestrahlendem	freudestrahlend	A	ADJA	Pos|Neut|Dat|Sg|St|<PPRES	9	attr	_	_
9	Gesicht	Gesicht	N	NN	Neut|Dat|Sg	7	pn	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	156	156
11	Berg	Berg	N	NN	Masc|Acc|Sg	5	obja	156	156
12	hinauf	hinauf	P	PTKVZ	_	5	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	_	_
15	Tannenwald	Tannenwald	N	NN	Masc|Dat|Sg	0	root	_	_
16	zu	zu	P	PTKVZ	_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	17	expl	_	_
2	wußte	wußte	V	VVFIN	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	17	konj	_	_
5	nun	nun	A	ADV	_	16	adv	_	_
6	die	die	A	ART	Def|Fem|Nom|Pl	10	det	_	_
7	letzten	letzte	A	ADJA	Pos|Fem|Nom|Pl|Wk|	10	attr	_	_
8	,	,	$	$,	_	0	root	_	_
9	würzigen	würzig	A	ADJA	Pos|_|Nom|Pl|Wk|	7	kon	_	_
10	Beeren	Beere	N	NN	Fem|Nom|Pl	17	subj	_	_
11	dort	dort	A	ADV	_	16	adv	_	_
12	oben	oben	A	ADV	_	16	adv	_	_
13	die	die	A	ART	Def|_|_|_	15	det	158	158
14	rechte	recht	A	ADJA	Pos|_|_|_|_|	15	attr	158	158
15	Reife	Reif	N	NN	_|_|_	16	obja	158	158
16	erlangt	erlangen	V	VVPP	_	17	aux	_	_
17	hatten	haben	V	VAFIN	3|Pl|Past|Ind	2	subjc	_	_
18	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	3	adv	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	_	_
3	Maneli	Maneli	N	NN	Neut|Nom|Sg	9	subj	_	_
4	und	und	K	KON	_	3	kon	_	_
5	noch	noch	A	ADV	_	6	adv	_	_
6	einige	einige	A	PIAT	Neut|Nom|Pl	8	det	_	_
7	andere	andere	A	ADJA	_|Neut|Nom|Pl|_	8	attr	_	_
8	Kinder	Kind	N	NN	Neut|Nom|Pl	4	cj	_	_
9	kannten	kennen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	58	58
11	Platz	Platz	N	NN	Masc|Acc|Sg	9	obja	58	58
12	,	,	$	$,	_	0	root	_	_
13	aber	aber	K	KON	_	9	kon	_	_
14	den	die	A	ART	Def|_|_|_	15	part	_	_
15	meisten	meiste	P	PIS	_|Nom|Pl	16	pred	_	_
16	war	sein	V	VAFIN	3|Sg|Past|Ind	13	cj	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	159	159
18	Weg	Weg	N	NN	Masc|Nom|Sg	16	subj	159	159
19	zu	zu	P	PTKA	_	20	adv	_	_
20	weit	weit	A	ADJD	Pos|	16	adv	_	_
21	und	und	K	KON	_	0	root	_	_
22	die	die	A	ART	Def|Fem|_|Sg	23	det	_	_
23	Suche	Suche	N	NN	Fem|_|Sg	21	cj	_	_
24	zu	zu	P	PTKA	_	25	adv	_	_
25	mühsam	mühsam	A	ADJD	Pos|	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	3	adv	160	160
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	160	160
3	Maneli	Maneli	N	NN	Neut|Nom|Sg	4	subj	160	160
4	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	seinem	seine	A	PPOSAT	_|Dat|Sg	8	det	60	60
7	großen	groß	A	ADJA	Pos|_|Dat|Sg|Wk|	8	attr	160)	160)
8	Kratten	Kratten	N	NN	_|Dat|Sg	5	pn	60	60
9	hinter	hinter	P	APPR	Dat	4	pp	_	_
10	dem	die	A	ART	Def|_|Dat|Sg	11	det	68	68
11	Trini	Trini	N	NN	_|Dat|Sg	9	pn	68	68
12	her	her	P	PTKVZ	_	4	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	blieb	bleiben	V	VVFIN	_|Sg|Past|Ind	4	kon	_	_
15	aber	aber	A	ADV	_	14	adv	_	_
16	weit	weit	A	ADJD	Pos|	14	adv	_	_
17	zurück	zurück	P	PTKVZ	_	14	avz	_	_
18	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	8	koord	_	_
2	wie	wie	K	KOKOM	_	7	kom	_	_
3	ein	eine	A	ART	Indef|Neut|_|Sg	4	det	_	_
4	Reh	Reh	N	NN	Neut|_|Sg	2	cj	_	_
5	die	die	A	ART	Def|Fem|Nom|Pl	7	det	_	_
6	steilen	steil	A	ADJA	Pos|Fem|Nom|Pl|Wk|	7	attr	_	_
7	Höhen	Höhe	N	NN	Fem|Nom|Pl	8	subj	_	_
8	hinaufspringen	hinaufspringen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	konnte	können	V	VMFIN	_|Sg|Past|Ind	8	kon	_	_
11	nur	nur	A	ADV	_	10	adv	_	_
12	das	die	A	ART	Def|Neut|_|Sg	13	det	12	12
13	Trini	Trini	N	NN	Neut|_|Sg	10	obja	12	12
14	,	,	$	$,	_	0	root	_	_
15	dem	die	A	ART	Def|_|Dat|Sg	0	root	_	_
16	an	an	P	APPR	_	23	pp	161	161
17	Kraft	Kraft	N	NN	Fem|_|Sg	16	pn	161	161
18	und	und	K	KON	_	17	kon	161	161
19	Behendigkeit	Behendigkeit	N	NN	Fem|_|Sg	18	cj	161	161
20	nicht	nicht	P	PTKNEG	_	23	adv	161	161
21	ein	eine	A	ART	Indef|Neut|Nom|Sg	23	det	161	161
22	einziges	einzig	A	ADJA	Pos|Neut|Nom|Sg|St|	23	attr	161	161
23	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	26	subj	161	161
24	seines	seine	A	PPOSAT	_|Gen|Sg	25	det	161	161
25	Alters	Alter	N	NN	_|Gen|Sg	23	gmod	_	_
26	gleichkam	gleichkommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Oben	oben	A	ADV	_	2	adv	_	_
2	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	viel	viel	A	PIDAT	Fem|_|Sg	5	det	_	_
5	Arbeit	Arbeit	N	NN	Fem|_|Sg	2	obja	_	_
6	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	2	det	55	55
2	Beeren	Beere	N	NN	Fem|Nom|Pl	3	subj	55	55
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	reif	reif	A	ADJD	Pos|	3	pred	_	_
5	und	und	K	KON	_	4	kon	_	_
6	schön	schön	A	ADJD	Pos|	5	cj	_	_
7	und	und	K	KON	_	3	kon	_	_
8	dufteten	duften	V	VVFIN	_|Pl|Past|_	7	cj	_	_
9	herrlich	herrlich	A	ADJD	Pos|	8	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	aber	aber	K	KON	_	8	kon	_	_
12	sie	sie	P	PPER	3|Pl|_|Nom	13	subj	55	55
13	mußten	müssen	V	VMFIN	3|Pl|Past|Ind	11	cj	_	_
14	erst	erst	A	ADV	_	15	adv	_	_
15	gesucht	suchen	V	VVPP	_	16	aux	_	_
16	werden	werden	V	VAINF	_	13	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	5	pp	_	_
2	einem	eine	A	ART	Indef|Masc|Dat|Sg	4	det	_	_
3	sonnigen	sonnig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	4	attr	_	_
4	Winkel	Winkel	N	NN	Masc|Dat|Sg	1	pn	_	_
5	standen	stehen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
6	einige	einige	P	PIS	_|Nom|Pl	5	subj	_	_
7	der	die	A	ART	Def|Masc|Gen|Pl	10	det	_	_
8	rot	rot	A	ADJD	Pos|	9	adv	_	_
9	schimmernden	schimmernd	A	ADJA	Pos|Masc|Gen|Pl|Wk|<PPRES	10	attr	_	_
10	Büsche	Busch	N	NN	Masc|Gen|Pl	6	gmod	_	_
11	dicht	dicht	A	ADJD	Pos|	5	adv	_	_
12	beieinander	beieinander	A	ADV	_	5	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	5	kon	_	_
15	dann	dann	A	ADV	_	16	adv	_	_
16	konnte	können	V	VMFIN	3|Sg|Past|Ind	14	cj	_	_
17	man	man	P	PIS	_|Nom|Sg	16	subj	_	_
18	wieder	wieder	A	ADV	_	21	adv	_	_
19	vergebens	vergebens	A	ADV	_	21	adv	_	_
20	danach	danach	P	PROAV	_	21	pp	_	_
21	suchen	suchen	V	VVINF	_	16	aux	_	_
22	.	.	$	$.	_	0	root	_	_

1	Trini	Trini	N	NE	_|Nom|Sg	2	subj	73	73
2	spähte	spähen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	in	in	P	APPR	Acc	2	pp	_	_
4	alle	alle	A	PIDAT	_|Acc|Pl	5	det	_	_
5	Löcher	Loch	N	NN	_|Acc|Pl	3	pn	_	_
6	hinein	hinein	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	kletterte	klettern	V	VVFIN	_|Sg|Past|_	2	kon	_	_
9	jeden	jede	A	PIDAT	Masc|_|Sg	10	det	_	_
10	Erdhügel	Erdhügel	N	NN	Masc|_|Sg	8	obja	_	_
11	hinauf	hinauf	P	PTKVZ	_	8	avz	_	_
12	,	,	$	$,	_	0	root	_	_
13	zog	ziehen	V	VVFIN	_|Sg|Past|Ind	8	kon	_	_
14	alle	alle	A	PIDAT	Neut|_|Pl	15	det	_	_
15	Grasbüschel	Grasbüschel	N	NN	Neut|_|Pl	13	obja	_	_
16	auseinander	auseinander	P	PTKVZ	_	13	avz	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	13	kon	_	_
19	wo	wo	P	PWAV	_	24	adv	_	_
20	noch	noch	A	ADV	_	24	adv	_	_
21	ein	eine	A	ART	Indef|Neut|Nom|Sg	23	det	_	_
22	rotes	rot	A	ADJA	Pos|Neut|Nom|Sg|St|	23	attr	_	_
23	Beerlein	Beerlein	N	NN	Neut|Nom|Sg	24	subj	_	_
24	herausguckte	herausgucken	V	VVFIN	3|Sg|Past|_	26	subjc	_	_
25	,	,	$	$,	_	0	root	_	_
26	wurde	werden	V	VAFIN	_|Sg|Past|Ind	18	cj	_	_
27	es	es	P	PPER	3|Sg|Neut|_	24	expl	_	_
28	schnell	schnell	A	ADJD	Pos|	29	adv	_	_
29	gepflückt	pflücken	V	VVPP	_	26	aux	_	_
30	.	.	$	$.	_	0	root	_	_

1	Trini	Trini	N	NE	_|Nom|Sg	2	subj	73	73
2	hörte	hören	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	auf	auf	P	PTKVZ	_	2	avz	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	klettern	klettern	V	VVINF	_	2	obji	_	_
8	und	und	K	KON	_	7	kon	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	suchen	suchen	V	VVINF	_	8	cj	_	_
11	und	und	K	KON	_	10	kon	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	rupfen	rupfen	V	VVINF	_	11	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	bis	bis	K	KOUS	_	18	konj	_	_
16	die	die	A	ART	Def|Fem|Nom|Sg	17	det	44	44
17	Dämmerung	Dämmerung	N	NN	Fem|Nom|Sg	18	subj	44	44
18	hereinbrach	hereinbrechen	V	VVFIN	3|Sg|Past|Ind	13	neb	_	_
19	und	und	K	KON	_	18	kon	_	_
20	aller	alle	A	PIDAT	Fem|Dat|Sg	21	det	_	_
21	Tätigkeit	Tätigkeit	N	NN	Fem|Dat|Sg	24	objd	_	_
22	ein	eine	A	ART	Indef|Neut|Nom|Sg	23	det	_	_
23	Ende	Ende	N	NN	Neut|Nom|Sg	24	subj	_	_
24	machte	machen	V	VVFIN	3|Sg|Past|_	19	cj	_	_
25	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	dem	die	A	ART	Def|_|Dat|Sg	3	det	68	68
3	Trini	Trini	N	NN	_|Dat|Sg	8	objd	68	68
4	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	1	cj	_	_
5	das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
6	nicht	nicht	P	PTKNEG	_	8	adv	_	_
7	leid	leid	A	ADJD	Pos|	8	pred	_	_
8	tun	tun	V	VVINF	_	4	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	schaute	schauen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	stolz	stolz	A	ADJD	Pos|	2	adv	_	_
4	auf	auf	P	APPR	_	2	pp	_	_
5	seinen	seine	A	PPOSAT	_|_|_	6	det	15	15
6	Kratten	Kratten	N	NN	_|_|_	4	pn	60	60
7	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	auch	auch	A	ADV	_	3	adv	_	_
3	diesmal	diesmal	A	ADV	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	gegen	gegen	P	APPR	Acc	10	pp	_	_
6	seine	seine	A	PPOSAT	Fem|Acc|Sg	8	det	15	15
7	eigene	eigen	A	ADJA	Pos|Fem|Acc|Sg|_|	8	attr	_	_
8	Erwartung	Erwartung	N	NN	Fem|Acc|Sg	5	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	15	15
12	gefüllt	füllen	V	VVPP	_	10	aux	_	_
13	bis	bis	P	APPR	Acc	12	pp	_	_
14	obenan	obenan	A	ADV	_	13	adv	_	_
15	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	nur	nur	A	ADV	_	10	adv	_	_
