1	Jawohl	Jawohl	N	NN	Neut|_|Sg	0	root	703	703
29	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	532	532
31	,	,	$	$,	_	0	root	_	_
32	den	die	A	ART	Def|_|_|_	33	det	720	720
33	Jungen	Junge	N	NN	_|_|_	34	obja	720	720
34	hereinziehend	hereinziehen	A	ADJD	_|<PPRES	0	root	_	_
35	:	\:	$	$.	_	0	root	_	_
36	»	»	$	$(	_	0	root	_	_
37	'	'	$	$(	_	0	root	_	_
38	s	s	P	PPER	_|Sg|_|Nom	39	subj	532	532
39	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
40	schon	schon	A	ADV	_	39	adv	_	_
41	recht	recht	A	ADJD	Pos|	0	root	_	_
42	,	,	$	$,	_	0	root	_	_
43	komm	kommen	V	VVIMP	Sg	0	root	_	_
44	mir	ich	P	PPER	1|Sg|_|Dat	43	objd	709	709
45	nur	nur	A	ADV	_	43	adv	_	_
46	nach	nach	P	PTKVZ	_	43	avz	_	_
47	und	und	K	KON	_	0	root	_	_
48	warte	warten	V	VVFIN	_|Sg|Pres|_	47	cj	_	_
49	vor	vor	P	APPR	Dat	48	pp	_	_
50	der	die	A	ART	Def|Fem|Dat|Sg	51	det	12	12
51	Tür	Tür	N	NN	Fem|Dat|Sg	49	pn	12	12
52	,	,	$	$,	_	0	root	_	_
53	bis	bis	K	KOUS	_	56	konj	_	_
54	ich	ich	P	PPER	1|Sg|_|Nom	56	subj	709	709
55	wieder	wieder	A	ADV	_	56	adv	_	_
56	herauskomme	herauskommen	V	VVFIN	1|Sg|Pres|_	48	neb	_	_
57	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	5	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	709	709
3	dich	du	P	PPER	2|Sg|_|Acc	5	obja	710	710
4	dann	dann	A	ADV	_	5	adv	_	_
5	einlasse	einlassen	V	VVFIN	1|Sg|Pres|_	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	subj	710	710
9	gleich	gleich	A	ADJD	Pos|	10	attr	_	_
10	etwas	etwas	P	PIS	_	11	obja	_	_
11	spielen	spielen	V	VVINF	_	7	aux	_	_
12	;	;	$	$.	_	0	root	_	_
13	das	die	A	ART	Def|Neut|Nom|Sg	14	det	825	825
14	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	15	subj	825	825
15	hört	hören	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
16	es	es	P	PPER	3|Sg|Neut|_	15	obja	_	_
17	gern	gern	A	ADV	_	15	adv	_	_
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Oben	oben	A	ADV	_	2	adv	_	_
2	klopfte	klopfen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	8	8
4	am	an	P	APPRART	Dat	2	pp	_	_
5	Studierzimmer	Studierzimmer	N	NN	Neut|Dat|Sg	4	pn	568	568
6	und	und	K	KON	_	2	kon	_	_
7	wurde	werden	V	VAFIN	_|Sg|Past|Ind	6	cj	_	_
8	hereingerufen	hereinrufen	V	VVPP	_	7	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|_	3	expl	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|_|Nom|Sg	5	det	714	714
5	Junge	Junge	N	NN	Masc|Nom|Sg	3	subj	714	714
6	da	da	P	PTKVZ	_	3	avz	714	714
7	,	,	$	$,	_	0	root	714	714
8	der	die	P	PRELS	Masc|Nom|Sg	17	subj	714	714
9	durchaus	durchaus	A	ADV	_	16	adv	_	_
10	an	an	P	APPR	_	16	pp	_	_
11	Fräulein	Fräulein	N	NN	Neut|_|_	10	pn	525	525
12	Klara	Klara	N	NE	Fem|_|Sg	11	app	525	525
13	selbst	selbst	A	ADV	_	10	adv	_	_
14	etwas	etwas	P	PIS	_	16	obja	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	bestellen	bestellen	V	VVINF	_	17	aux	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	5	rel	_	_
18	«	«	$	$(	_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	berichtete	berichten	V	VVFIN	_|Sg|Past|_	3	kon	_	_
21	Sebastian	Sebastian	N	NE	Masc|Dat|Sg	20	objd	532	532
22	.	.	$	$.	_	0	root	_	_

1	Klara	Klara	N	NN	Masc|Nom|Sg	2	subj	525	525
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	sehr	sehr	A	ADV	_	4	adv	_	_
4	erfreut	erfreut	A	ADJD	Pos|	2	pred	_	_
5	über	über	P	APPR	Acc	2	pp	_	_
6	das	die	A	ART	Def|Neut|Acc|Sg	8	det	_	_
7	außergewöhnliche	außergewöhnlich	A	ADJA	Pos|Neut|Acc|Sg|Wk|	8	attr	_	_
8	Ereignis	Ereignis	N	NN	Neut|Acc|Sg	5	pn	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	8	8
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	nur	nur	A	ADV	_	6	adv	_	_
5	gleich	gleich	A	ADJD	Pos|	6	adv	_	_
6	hereinkommen	hereinkommen	V	VVINF	_	3	aux	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	6	par	_	_
10	sie	sie	P	PPER	3|Sg|Fem|Nom	9	subj	525	525
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	nicht	nicht	P	PTKNEG	_	6	adv	_	_
14	wahr	wahr	A	ADJD	Pos|	6	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	Herr	Herr	N	NN	Masc|_|Sg	0	root	_	_
17	Kandidat	Kandidat	N	NN	Masc|_|Sg	16	app	_	_
18	,	,	$	$,	_	0	root	_	_
19	wenn	wenn	K	KOUS	_	26	konj	_	_
20	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	8	8
21	doch	doch	A	ADV	_	25	adv	_	_
22	mit	mit	P	APPR	Dat	25	pp	_	_
23	mir	ich	P	PRF	1|Sg|Dat	22	pn	_	_
24	selbst	selbst	A	ADV	_	22	adv	_	_
25	sprechen	sprechen	V	VVINF	_	26	aux	_	_
26	muss	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
27	.	.	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	644	644
2	Junge	Junge	N	NN	Masc|Nom|Sg	3	subj	644	644
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	schon	schon	A	ADV	_	5	adv	_	_
5	eingetreten	eintreten	V	VVPP	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	3	kon	_	_
8	nach	nach	P	APPR	Dat	10	pp	_	_
9	Anweisung	Anweisung	N	NN	Fem|Dat|Sg	8	pn	_	_
10	fing	fangen	V	VVFIN	3|Sg|Past|Ind	7	cj	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	644	644
12	sofort	sofort	A	ADV	_	10	adv	_	_
13	seine	seine	A	PPOSAT	Fem|_|Sg	14	det	644	644
14	Orgel	Orgel	N	NN	Fem|_|Sg	16	obja	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	drehen	drehen	V	VVINF	_	10	obji	_	_
17	an	an	P	PTKVZ	_	0	root	_	_
18	.	.	$	$.	_	0	root	_	_

1	Fräulein	Fräulein	N	NN	Masc|Nom|Sg	3	subj	_	_
2	Rottenmeier	Rottenmeier	N	NN	Masc|Nom|_	1	app	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	um	um	K	KOUI	_	8	konj	_	_
6	dem	die	A	ART	Def|Neut|Dat|Sg	7	det	715	715
7	Abc	Abc	N	NN	Neut|Dat|Sg	8	objd	715	715
8	auszuweichen	ausweichen	V	VVIZU	_	3	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	sich	sie	P	PRF	3|_|_	0	root	_	_
11	im	in	P	APPRART	Dat	15	pp	_	_
12	Esszimmer	Esszimmer	N	NN	Neut|Dat|Sg	11	pn	716	716
13	allerlei	allerlei	P	PIS	_	15	obja	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	schaffen	schaffen	V	VVINF	_	0	root	_	_
16	gemacht	machen	V	VVPP	_	15	neb	_	_
17	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	_	3	pp	_	_
2	einmal	einmal	A	ADV	_	1	adv	_	_
3	horchte	horchen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	525	525
5	auf	auf	P	PTKVZ	_	3	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Masc|Nom|Pl	4	det	_	_
4	Töne	Ton	N	NN	Masc|Nom|Pl	2	subj	_	_
5	von	von	P	APPR	_	4	pp	_	_
6	der	die	A	ART	Def|_|_|_	7	det	641	641
7	Straße	Straß	N	NN	_|_|_	5	pn	641	641
8	her	her	P	PTKVZ	_	2	avz	_	_
9	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	1	cj	_	_
3	nahe	nahe	P	PTKVZ	_	0	root	_	_
4	?	?	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
3	vom	von	P	APPRART	Dat	8	pp	_	_
4	Studierzimmer	Studierzimmer	N	NN	Neut|Dat|Sg	3	pn	568	568
5	her	her	A	APZR	_	3	part	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	7	det	717	717
7	Drehorgel	Drehorgel	N	NN	Fem|Nom|Sg	2	subj	717	717
8	ertönen	ertönen	V	VVINF	_	2	aux	_	_
9	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dennoch	dennoch	A	ADV	_	6	adv	_	_
3	-	-	$	$(	_	0	root	_	_
4	wahrhaftig	wahrhaftig	A	ADJD	Pos|	6	adv	_	_
5	-	-	$	$(	_	0	root	_	_
6	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	717	717
7	stürzte	stürzen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
8	durch	durch	P	APPR	Acc	7	pp	_	_
9	das	die	A	ART	Def|Neut|Acc|Sg	11	det	_	_
10	lange	lang	A	ADJA	Pos|Neut|Acc|Sg|Wk|	11	attr	_	_
11	Esszimmer	Esszimmer	N	NN	Neut|Acc|Sg	8	pn	_	_
12	und	und	K	KON	_	7	kon	_	_
13	riss	reißen	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	die	die	A	ART	Def|Fem|_|Sg	15	det	12	12
15	Tür	Tür	N	NN	Fem|_|Sg	13	obja	12	12
16	auf	auf	P	PTKVZ	_	13	avz	_	_
17	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	6	konj	_	_
2	-	-	$	$(	_	0	root	_	_
3	unglaublich	unglaublich	A	ADJD	Pos|	5	adv	_	_
4	-	-	$	$(	_	0	root	_	_
5	da	da	A	ADV	_	6	adv	_	_
6	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	mitten	mitten	A	ADV	_	8	adv	_	_
8	im	in	P	APPRART	Dat	6	pp	_	_
9	Studierzimmer	Studierzimmer	N	NN	Neut|Dat|Sg	8	pn	568	568
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	12	det	718	718
11	zerlumpter	zerlumpter	A	ADJA	_|Masc|Nom|Sg|_	12	attr	718	718
12	Orgelspieler	Orgelspieler	N	NN	Masc|Nom|Sg	6	subj	718	718
13	und	und	K	KON	_	6	kon	_	_
14	drehte	drehen	V	VVFIN	_|Sg|Past|_	13	cj	_	_
15	sein	seine	A	PPOSAT	Neut|_|Sg	16	det	718	718
16	Instrument	Instrument	N	NN	Neut|_|Sg	14	obja	_	_
17	mit	mit	P	APPR	Dat	14	pp	_	_
18	größter	groß	A	ADJA	Sup|Fem|Dat|Sg|St|	19	attr	_	_
19	Emsigkeit	Emsigkeit	N	NN	Fem|Dat|Sg	17	pn	_	_
20	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	560	560
2	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	560	560
3	Kandidat	Kandidat	N	NE	Masc|Nom|Sg	2	app	560	560
4	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	immerfort	immerfort	A	ADV	_	4	adv	_	_
6	etwas	etwas	P	PIS	_|Dat|_	4	objd	_	_
7	sagen	sagen	V	VVINF	_	9	aux	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	wollen	wollen	V	VMINF	_	4	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	aber	aber	K	KON	_	4	kon	_	_
12	es	es	P	PPER	3|Sg|Neut|_	15	expl	_	_
13	wurde	werden	V	VAFIN	3|Sg|Past|Ind	11	cj	_	_
14	nichts	nichts	P	PIS	_|Nom|Sg	13	subj	_	_
15	vernommen	vernehmen	V	VVPP	_	13	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	Klara	Klara	N	NN	Masc|Nom|Sg	4	subj	525	525
2	und	und	K	KON	_	1	kon	_	_
3	Heidi	Heidi	N	NE	Masc|Nom|Sg	2	cj	93	93
4	hörten	hören	V	VVFIN	_|Pl|Past|_	0	root	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	ganz	ganz	A	ADV	_	7	adv	_	_
7	erfreuten	erfreut	A	ADJA	Pos|_|Dat|_|_|	8	attr	_	_
8	Gesichtern	Gesicht	N	NN	_|Dat|_	5	pn	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	719	719
10	Musik	Musik	N	NN	Fem|Dat|Sg	4	objd	719	719
11	zu	zu	P	PTKVZ	_	4	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aufhören	Aufhören	N	NN	Neut|_|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Sofort	sofort	A	ADV	_	2	adv	_	_
2	aufhören	aufhören	V	VVFIN	_|Pl|Pres|_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	6	subj	537	537
8	Rottenmeier	Rottenmeier	N	NN	Masc|_|_	6	obja	535	535
9	ins	in	P	APPRART	Acc	6	pp	_	_
10	Zimmer	Zimmer	N	NN	Neut|Acc|_	9	pn	564	564
11	hinein	hinein	P	PTKVZ	_	6	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ihre	ihre	A	PPOSAT	Fem|Nom|Sg	2	det	721	721
2	Stimme	Stimme	N	NN	Fem|Nom|Sg	3	subj	_	_
3	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	übertönt	übertönen	V	VVPP	_	3	aux	_	_
5	von	von	P	APPR	_	4	pp	_	_
6	der	die	A	ART	Def|Fem|_|Sg	7	det	719	719
7	Musik	Musik	N	NN	Fem|_|Sg	5	pn	719	719
8	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	lief	laufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	719	719
4	auf	auf	P	APPR	_	2	pp	_	_
5	den	die	A	ART	Def|_|_|_	6	det	720	720
6	Jungen	Junge	N	NN	_|_|_	4	pn	720	720
7	zu	zu	P	PTKVZ	_	2	avz	_	_
8	-	-	$	$(	_	0	root	_	_
9	aber	aber	K	KON	_	2	kon	_	_
10	auf	auf	P	APPR	_	12	pp	_	_
11	einmal	einmal	A	ADV	_	10	adv	_	_
12	hatte	haben	V	VAFIN	3|Sg|Past|Ind	9	cj	_	_
13	sie	sie	P	PPER	3|Sg|Fem|Nom	12	subj	719	719
14	etwas	etwas	A	ADV	_	12	adv	_	_
15	zwischen	zwischen	P	APPR	Dat	12	pp	_	_
16	den	die	A	ART	Def|Masc|Dat|Pl	17	det	337	337
17	Füßen	Fuß	N	NN	Masc|Dat|Pl	15	pn	337	337
18	,	,	$	$,	_	0	root	_	_
19	sie	sie	P	PPER	3|Sg|Fem|Nom	20	subj	719	719
20	sah	sehen	V	VVFIN	3|Sg|Past|Ind	12	kon	_	_
21	auf	auf	P	APPR	Acc	20	pp	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	87	87
23	Boden	Boden	N	NN	Masc|Acc|Sg	21	pn	87	87
24	:	\:	$	$.	_	0	root	_	_
25	ein	eine	A	ART	Indef|_|_|Sg	26	det	_	_
26	grausiges	grausiges	N	NN	_|_|Sg	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	schwarzes	schwarz	A	ADJA	Pos|Neut|Nom|Sg|St|	29	attr	_	_
29	Tier	Tier	N	NN	Neut|Nom|Sg	30	subj	_	_
30	kroch	kriechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
31	ihr	ihr	P	PPER	3|Sg|Fem|Dat	30	objd	719	719
32	zwischen	zwischen	P	APPR	Dat	30	pp	_	_
33	den	die	A	ART	Def|Masc|Dat|Pl	34	det	337	337
34	Füßen	Fuß	N	NN	Masc|Dat|Pl	32	pn	337	337
35	durch	durch	P	PTKVZ	_	30	avz	_	_
36	-	-	$	$(	_	0	root	_	_
37	eine	eine	A	ART	Indef|Fem|_|Sg	38	det	854	854
38	Schildkröte	Schildkröte	N	NN	Fem|_|Sg	0	root	854	854
39	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	tat	tun	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	Fräulein	Fräulein	N	NN	Masc|Nom|Sg	2	subj	_	_
4	Rottenmeier	Rottenmeier	N	NN	Masc|Nom|_	3	app	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	723	723
6	Sprung	Sprung	N	NN	Masc|Acc|Sg	2	obja	723	723
7	in	in	P	APPR	Acc	6	pp	723	723
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	723	723
9	Höhe	Höhe	N	NN	Fem|Acc|Sg	7	pn	723	723
10	,	,	$	$,	_	0	root	723	723
11	wie	wie	P	PWAV	_	17	adv	723	723
12	sie	sie	P	PPER	3|Sg|Fem|Nom	18	subj	721	721
13	seit	seit	P	APPR	Dat	17	pp	_	_
14	vielen	viele	A	PIDAT	Neut|Dat|Pl	15	det	_	_
15	Jahren	Jahr	N	NN	Neut|Dat|Pl	13	pn	_	_
16	keinen	keine	P	PIS	_|_|_	17	obja	_	_
17	getan	tun	V	VVPP	_	18	aux	_	_
18	hatte	haben	V	VAFIN	3|Sg|Past|Ind	9	objc	_	_
19	,	,	$	$,	_	0	root	_	_
20	dann	dann	A	ADV	_	21	adv	_	_
21	schrie	schreien	V	VVFIN	3|Sg|Past|_	2	kon	_	_
22	sie	sie	P	PPER	3|Sg|Fem|Nom	21	subj	721	721
23	aus	aus	P	APPR	Dat	21	pp	_	_
24	Leibeskräften	Leibeskraft	N	NN	Fem|Dat|Pl	23	pn	722	722
25	:	\:	$	$.	_	0	root	_	_
26	»	»	$	$(	_	0	root	_	_
27	Sebastian	Sebastian	N	NE	Masc|_|Sg	0	root	532	532
28	!	!	$	$.	_	0	root	_	_

1	Sebastian	Sebastian	N	NE	Masc|_|Sg	0	root	532	532
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	Plötzlich	plötzlich	A	ADJD	Pos|	2	adv	_	_
2	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	718	718
4	Orgelspieler	Orgelspieler	N	NN	Masc|Nom|Sg	2	subj	718	718
5	inne	inne	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	denn	denn	K	KON	_	2	kon	_	_
8	diesmal	diesmal	A	ADV	_	9	adv	_	_
9	hatte	haben	V	VAFIN	3|Sg|Past|Ind	7	cj	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	381	381
11	Stimme	Stimme	N	NN	Fem|Nom|Sg	9	subj	381	381
12	die	die	A	ART	Def|Fem|_|Sg	13	det	719	719
13	Musik	Musik	N	NN	Fem|_|Sg	14	obja	719	719
14	übertönt	übertönen	V	VVPP	_	9	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	Sebastian	Sebastian	N	NE	Masc|Nom|Sg	2	subj	532	532
2	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	draußen	draußen	A	ADV	_	2	adv	_	_
4	vor	vor	P	APPR	Dat	2	objp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	8	det	_	_
6	halb	halb	A	ADJD	Pos|	7	adv	_	_
7	offenen	offen	A	ADJA	Pos|Fem|Dat|Sg|Wk|	8	attr	_	_
8	Tür	Tür	N	NN	Fem|Dat|Sg	4	pn	_	_
9	und	und	K	KON	_	2	kon	_	_
10	krümmte	krümmen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	sich	sie	P	PRF	3|_|Dat	10	objd	_	_
12	vor	vor	P	APPR	_	10	pp	_	_
13	Lachen	Lache	N	NN	_|_|_	12	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	denn	denn	K	KON	_	10	kon	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	532	532
17	hatte	haben	V	VAFIN	3|Sg|Past|Ind	15	cj	_	_
18	zugesehen	zusehen	V	VVPP	_	17	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	wie	wie	P	PWAV	_	25	pred	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	723	723
22	Sprung	Sprung	N	NN	Masc|Nom|Sg	25	subj	723	723
23	vor	vor	P	APPR	_	25	pp	_	_
24	sich	sie	P	PRF	3|_|_	23	pn	_	_
25	ging	gehen	V	VVFIN	3|Sg|Past|Ind	18	objc	_	_
26	.	.	$	$.	_	0	root	_	_

1	Endlich	endlich	A	ADJD	Pos|	2	adv	_	_
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	723	723
4	herein	herein	P	PTKVZ	_	2	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	Fräulein	Fräulein	N	NN	Masc|Nom|Sg	3	subj	_	_
2	Rottenmeier	Rottenmeier	N	NN	Masc|Nom|_	1	app	_	_
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	auf	auf	P	APPR	Acc	7	pp	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
6	Stuhl	Stuhl	N	NN	Masc|Acc|Sg	4	pn	_	_
7	niedergesunken	niedersinken	V	VVPP	_	3	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Fort	Fort	N	NN	Neut|_|Sg	0	root	724	724
3	mit	mit	P	APPR	Dat	2	pp	724	724
4	allem	alle	P	PIS	_|Dat|Sg	3	pn	724	724
5	,	,	$	$,	_	0	root	724	724
6	Mensch	Mensch	N	NN	_|Dat|Sg	4	kon	724	724
7	und	und	K	KON	_	6	kon	725)	725)
8	Tier	Tier	N	NN	Neut|Dat|Sg	7	cj	725)	725)
9	!	!	$	$.	_	0	root	725)	725)

1	Schaffen	schaffen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	_	_
3	sie	sie	P	PPER	3|_|_|_	1	obja	724	724
4	weg	weg	P	PTKVZ	_	1	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	Sebastian	Sebastian	N	NE	Masc|_|Sg	0	root	532	532
7	,	,	$	$,	_	0	root	_	_
8	sofort	sofort	A	ADV	_	0	root	_	_
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
13	sie	sie	P	PPER	3|Sg|Fem|Nom	12	subj	725	725
14	ihm	er	P	PPER	3|Sg|_|Dat	12	objd	8	8
15	entgegen	entgegen	P	PTKVZ	_	12	avz	_	_
16	.	.	$	$.	_	0	root	_	_

1	Sebastian	Sebastian	N	NE	Masc|Nom|Sg	2	subj	532	532
2	gehorchte	gehorchen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	bereitwillig	bereitwillig	A	ADJD	Pos|	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	zog	ziehen	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
6	den	die	A	ART	Def|_|_|_	7	det	726	726
7	Jungen	Junge	N	NN	Masc|Acc|Sg	5	obja	726	726
8	hinaus	hinaus	P	PTKVZ	_	5	avz	726	726
9	,	,	$	$,	_	0	root	726	726
10	der	die	P	PRELS	Masc|Nom|Sg	15	subj	726	726
11	schnell	schnell	A	ADJD	Pos|	14	adv	_	_
12	seine	seine	A	PPOSAT	Fem|_|Sg	13	det	726	726
13	Schildkröte	Schildkröte	N	NN	Fem|_|Sg	14	obja	_	_
14	erfasst	erfassen	V	VVPP	_	15	aux	_	_
15	hatte	haben	V	VAFIN	3|Sg|Past|Ind	7	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	drückte	drücken	V	VVFIN	_|Sg|Past|_	5	kon	_	_
18	ihm	er	P	PPER	3|Sg|_|Dat	17	objd	726	726
19	draußen	draußen	A	ADV	_	17	adv	_	_
20	etwas	etwas	P	PIS	_	17	obja	_	_
21	in	in	P	APPR	Acc	17	objp	_	_
22	die	die	A	ART	Def|Fem|Acc|Sg	23	det	70	70
23	Hand	Hand	N	NN	Fem|Acc|Sg	21	pn	70	70
24	und	und	K	KON	_	17	kon	_	_
25	sagte	sagen	V	VVFIN	_|Sg|Past|_	24	cj	_	_
26	:	\:	$	$.	_	0	root	_	_
27	»	»	$	$(	_	0	root	_	_
28	Vierzig	Vierzig	N	NN	Fem|_|Sg	0	root	_	_
29	für	für	P	APPR	Acc	28	pp	_	_
30	Fräulein	Fräulein	N	NN	Neut|Acc|_	29	pn	525	525
31	Klara	Klara	N	NE	Fem|Acc|Sg	30	app	525	525
32	,	,	$	$,	_	0	root	_	_
33	und	und	K	KON	_	0	root	_	_
34	vierzig	vierzig	C	CARD	_	33	cj	_	_
35	fürs	für	P	APPRART	Acc	34	pp	_	_
36	Spielen	Spiel	N	NN	Neut|Acc|Sg	35	pn	_	_
37	,	,	$	$,	_	0	root	_	_
