1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
26	s	s	P	PPER	_|_|_|Dat	24	objd	2	2
27	'	'	$	$(	_	0	root	_	_
28	Kinda	Kinda	N	NE	_	24	obja	_	_
29	,	,	$	$,	_	0	root	_	_
30	da	da	A	ADV	_	31	adv	_	_
31	brauchet	brauchen	V	VVFIN	2|Pl|Pres|Subj	24	kon	_	_
32	nix	nix	P	PIS	_	31	obja	_	_
33	in	in	P	APPR	Dat	31	pp	_	_
34	der	die	A	ART	Def|Fem|Dat|Sg	35	det	_	_
35	Zeitung	Zeitung	N	NN	Fem|Dat|Sg	33	pn	_	_
36	steh	steh	F	FM	Fem|Dat|Sg	35	app	_	_
37	'	'	$	$(	_	0	root	_	_
38	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	_	0	root	_	_
2	dös	dös	F	FM	_|_|_	1	pn	_	_
3	Lob	Lob	F	FM	_|_|_	2	app	_	_
4	kunnt	kunnt	F	FM	_|_|_	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	F	FM	_|_|_	4	app	_	_
7	mir	mir	F	FM	_|_|_	6	app	_	_
8	verzicht	verzicht	F	FM	_|_|_	7	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	n	n	N	NN	_|_|_	8	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	aber	aber	K	KON	_	10	kon	_	_
13	glückli	glückli	F	FM	_|_|_	12	cj	_	_
14	waar	waar	F	FM	_|_|_	13	app	_	_
15	'	'	$	$(	_	0	root	_	_
16	n	n	N	NN	_|_|_	14	app	_	_
17	ma	ma	N	NE	_|_|_	16	app	_	_
18	alle	alle	A	PIDAT	_|_|_	0	root	_	_
19	mitanand	mitanand	T	TRUNC	_	0	root	_	_
20	und	und	K	KON	_	0	root	_	_
21	...	...	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Bst	Bst	N	NE	_	0	root	1584	1584
3	!	!	$	$.	_	0	root	_	_

1	Schrei	Schrei	N	NN	Masc|_|Sg	0	root	_	_
2	net	net	F	FM	Masc|_|Sg	1	app	_	_
3	a	a	F	FM	Masc|_|Sg	2	app	_	_
4	so	so	A	ADV	_	1	adv	_	_
5	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	18	18
2	kimmt	kimmt	V	VVFIN	3|_|_|_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

