1	Haut	hauen	V	VVIMP	Pl	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	die	die	P	PRELS	Fem|Nom|Sg	32	subj	_	_
20	ein	eine	A	ART	Indef|Neut|_|Sg	22	det	_	_
21	altbayrisches	altbayrisch	A	ADJA	Pos|Neut|_|Sg|St|	22	attr	_	_
22	Mädchen	Mädchen	N	NN	Neut|_|Sg	31	obja	_	_
23	,	,	$	$,	_	0	root	_	_
24	wenn	wenn	K	KOUS	_	28	konj	_	_
25	auch	auch	A	ADV	_	28	adv	_	_
26	noch	noch	A	ADV	_	27	adv	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	flüchtig	flüchtig	A	ADJD	Pos|	32	neb	_	_
29	,	,	$	$,	_	0	root	_	_
30	wohl	wohl	A	ADV	_	31	adv	_	_
31	bemerken	bemerken	V	VVINF	_	32	aux	_	_
32	konnte	können	V	VMFIN	3|Sg|Past|Ind	17	rel	_	_
33	.	.	$	$.	_	0	root	_	_

1	Derbe	derb	A	ADJA	Pos|Fem|_|Pl|St|	2	attr	_	_
2	Rundungen	Rundung	N	NN	Fem|_|Pl	0	root	_	_
3	und	und	K	KON	_	2	kon	_	_
4	Breiten	Breite	N	NN	_|_|_	3	cj	_	_
5	und	und	K	KON	_	4	kon	_	_
6	Grobschlächtigkeiten	Grobschlächtigkeit	N	NN	Fem|_|Pl	5	cj	136	136
7	,	,	$	$,	_	0	root	136	136
8	die	die	P	PRELS	Fem|Nom|Pl	10	subj	136	136
9	vielverheißend	vielverheißend	A	ADJD	Pos|<PPRES	10	pred	_	_
10	waren	sein	V	VAFIN	3|Pl|Past|Ind	6	rel	_	_
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Eigentlich	eigentlich	A	ADV	_	4	adv	_	_
3	san	san	A	ADJA	_|Neut|_|_|_	4	attr	_	_
4	S	S	N	NN	Neut|_|_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	wegen	wegen	P	APPR	_	4	pp	_	_
7	meiner	meine	A	PPOSAT	_|_|_	12	det	137	137
8	in	in	P	APPR	Acc	12	pp	_	_
9	die	die	A	ART	Def|Neut|Acc|Pl	10	det	_	_
10	G	G	N	NN	Neut|Acc|Pl	8	pn	_	_
11	'	'	$	$(	_	0	root	_	_
12	schicht	schicht	F	FM	_|_|_	6	pn	_	_
13	nein	nein	P	PTKANT	_	0	root	_	_
14	kommen	kommen	V	VVINF	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	weil	weil	K	KOUS	_	0	root	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	0	root	137	137
18	mich	ich	P	PRF	1|Sg|Acc	19	obja	_	_
19	beschwert	beschweren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
20	hab	hab	F	FM	_|Nom|Sg	19	subj	_	_
21	'	'	$	$(	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	27	konj	_	_
24	die	die	A	ART	Def|Fem|Nom|Sg	25	det	138	138
25	Tür	Tür	N	NN	Fem|Nom|Sg	27	subj	138	138
26	offen	offen	A	ADJD	Pos|	27	pred	_	_
27	war	sein	V	VAFIN	3|Sg|Past|Ind	19	objc	_	_
28	,	,	$	$,	_	0	root	_	_
29	und	und	K	KON	_	27	kon	_	_
30	mich	ich	P	PPER	1|Sg|_|Acc	38	obja	137	137
31	hat	haben	V	VAFIN	3|Sg|Pres|Ind	29	cj	_	_
32	'	'	$	$(	_	0	root	_	_
33	s	s	P	PPER	_|Sg|_|Nom	31	subj	138	138
34	nachher	nachher	A	ADV	_	38	adv	_	_
35	schon	schon	A	ADV	_	38	adv	_	_
36	g	g	N	NN	_|Dat|_	38	objd	82	82
37	'	'	$	$(	_	0	root	_	_
38	reut	reuen	V	VVPP	_	31	aux	_	_
39	...	...	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	braucht	brauchen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	Ihnen	sie	P	PPER	3|Pl|_|Dat	3	objd	2	2
5	nix	nix	P	PIS	_|Nom|Sg	3	subj	_	_
6	reu	reu	V	VVFIN	_	3	s	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_	6	obja	84	84
9	,	,	$	$,	_	0	root	_	_
10	Fräulein	Fräulein	N	NN	Neut|_|_	0	root	144	144
11	Fannerl	Fannerl	N	NE	Neut|_|_	10	app	144	144
12	...	...	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	do	do	T	TRUNC	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	wenn	wenn	K	KOUS	_	0	root	_	_
6	S	S	N	NN	Neut|_|_	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	jetzt	jetzt	A	ADV	_	9	adv	_	_
9	solchene	solchene	A	ADJA	_|Fem|_|Pl|_	10	attr	_	_
10	Unannehmlichkeiten	Unannehmlichkeit	N	NN	Fem|_|Pl	6	app	_	_
11	hamm	hamm	F	FM	Fem|_|Pl	10	app	_	_
12	...	...	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dös	Dös	F	FM	_	0	root	_	_
3	is	is	F	FM	_	2	app	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	0	root	137	137
5	ganz	ganz	A	ADV	_	6	adv	_	_
6	egal	egal	A	ADJD	Pos|	0	root	_	_
7	...	...	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	Schorschl	Schorschl	N	NE	_|Nom|Sg	10	subj	110	110
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	wirklich	wirklich	A	ADJD	Pos|	10	adv	_	_
12	egal	egal	A	ADJD	Pos|	10	adv	_	_
13	...	...	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Bald	bald	A	ADV	_	16	adv	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	0	root	137	137
17	amal	amal	A	ADJD	_	21	adv	_	_
18	bei	bei	P	APPR	Dat	17	pp	_	_
19	einer	eine	A	ART	Indef|Fem|Dat|Sg	20	det	_	_
20	Dame	Dame	N	NN	Fem|Dat|Sg	18	pn	_	_
21	sitz	sitz	V	VVFIN	_	0	root	_	_
22	...	...	$	$.	_	0	root	_	_
23	nacha	nacha	A	ADJD	_	24	adv	_	_
24	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	137	137
26	auch	auch	A	ADV	_	30	adv	_	_
27	für	für	P	APPR	Acc	30	objp	_	_
28	die	die	A	ART	Def|Fem|Acc|Sg	29	det	139	139
29	Dame	Dame	N	NN	Fem|Acc|Sg	27	pn	139	139
30	eintreten	eintreten	V	VVINF	_	24	aux	_	_
31	...	...	$	$.	_	0	root	_	_
32	«	«	$	$(	_	0	root	_	_
33	Ein	ein	A	ART	Indef|Masc|Nom|Sg	35	det	_	_
34	zärtlicher	zärtlich	A	ADJA	Pos|Masc|Nom|Sg|St|	35	attr	_	_
35	Blick	Blick	N	NN	Masc|Nom|Sg	36	subj	_	_
36	traf	treffen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
37	ihn	er	P	PPER	3|Sg|Masc|Acc	36	obja	110	110
38	,	,	$	$,	_	0	root	_	_
39	und	und	K	KON	_	36	kon	_	_
40	seine	seine	A	PPOSAT	Neut|Nom|Pl	42	det	110	110
41	wasserblauen	wasserblau	A	ADJA	Pos|Neut|Nom|Pl|Wk|	42	attr	140	140
42	Augen	Auge	N	NN	Neut|Nom|Pl	43	subj	140	140
43	streiften	streifen	V	VVFIN	3|Pl|Past|_	39	cj	_	_
44	wohlgefällig	wohlgefällig	A	ADJD	Pos|	43	adv	_	_
45	über	über	P	APPR	_	43	pp	_	_
46	den	die	A	ART	Def|Masc|_|_	49	det	_	_
47	sehr	sehr	A	ADV	_	48	adv	_	_
48	stattlichen	stattlich	A	ADJA	Pos|Masc|_|_|_|	49	attr	_	_
49	Busen	Busen	N	NN	Masc|_|_	45	pn	_	_
50	des	die	A	ART	Def|Neut|Gen|Sg	51	det	17	17
51	Mädchens	Mädchen	N	NN	Neut|Gen|Sg	49	gmod	17	17
52	und	und	K	KON	_	43	kon	_	_
53	blieben	bleiben	V	VVFIN	_|Pl|Past|_	52	cj	_	_
54	daran	daran	P	PROAV	_	55	pp	_	_
55	haften	haften	V	VVINF	_	53	obji	_	_
56	.	.	$	$.	_	0	root	_	_

1	Vielleicht	vielleicht	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	_	_
5	Wunsch	Wunsch	N	NN	Masc|Nom|Sg	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	diesen	diese	A	PDAT	Fem|Dat|Pl	9	det	600	600
8	straffen	straff	A	ADJA	Pos|Fem|Dat|Pl|_|	9	attr	600	600
9	Formen	Form	N	NN	Fem|Dat|Pl	12	objd	600	600
10	näher	nah	A	ADJD	Comp|	12	adv	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	rücken	rücken	V	VVINF	_	2	obji	_	_
13	,	,	$	$,	_	0	root	_	_
14	vielleicht	vielleicht	A	ADV	_	15	adv	_	_
15	war	sein	V	VAFIN	3|Sg|Past|Ind	2	kon	_	_
16	es	es	P	PPER	3|Sg|Neut|Nom	15	subj	_	_
17	eine	eine	A	ART	Indef|Fem|Nom|Sg	19	det	_	_
18	aufquellende	aufquellend	A	ADJA	Pos|Fem|Nom|Sg|_|<PPRES	19	attr	_	_
19	Zärtlichkeit	Zärtlichkeit	N	NN	Fem|Nom|Sg	15	pred	_	_
20	...	...	$	$.	_	0	root	_	_
21	Schorschl	Schorschl	N	NE	_|Nom|Sg	22	subj	110	110
22	streckte	strecken	V	VVFIN	3|Sg|Past|_	0	root	_	_
23	seinen	seine	A	PPOSAT	Masc|_|_	24	det	110	110
24	Ellbogen	Ellbogen	N	NN	Masc|_|_	22	obja	_	_
25	hin	hin	P	PTKVZ	_	22	avz	_	_
26	und	und	K	KON	_	22	kon	_	_
27	fragte	fragen	V	VVFIN	_|Sg|Past|_	26	cj	_	_
28	:	\:	$	$.	_	0	root	_	_
29	»	»	$	$(	_	0	root	_	_
30	Darf	dürfen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	137	137
32	Ihnen	sie	P	PPER	3|Pl|_|Dat	36	objd	140	140
33	nicht	nicht	P	PTKNEG	_	36	adv	_	_
34	meinen	meine	A	PPOSAT	Masc|_|Sg	35	det	137	137
35	Arm	Arm	N	NN	Masc|_|Sg	36	obja	1249	1249
36	anbieten	anbieten	V	VVINF	_	30	aux	_	_
37	,	,	$	$,	_	0	root	_	_
38	Fräulein	Fräulein	N	NN	Neut|_|_	30	vok	171	171
39	?	?	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_

1	Fanny	Fanny	N	NE	_|Nom|Sg	2	subj	141	141
2	hing	hängen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	ein	ein	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	beide	beide	P	PIS	_|Nom|Pl	8	subj	_	_
8	fühlten	fühlen	V	VVFIN	3|Pl|Past|_	6	cj	_	_
9	wohlig	wohlig	A	ADJD	Pos|	10	attr	_	_
10	eines	eine	P	PIS	Neut|Nom|Sg	8	pred	_	_
11	die	die	A	ART	Def|Fem|_|Sg	12	det	_	_
12	Wärme	Wärme	N	NN	Fem|_|Sg	8	obja	_	_
13	des	die	A	ART	Def|_|Gen|Sg	14	det	_	_
14	anderen	anderen	A	ADJA	_|Gen|Sg	12	gmod	_	_
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	P	PPER	_|Sg|_|Nom	3	subj	1	1
6	nix	nix	P	PIS	_	3	obja	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	6	par	_	_
10	Schorschl	Schorschl	N	NE	_|Nom|Sg	9	subj	110	110
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	bal	bal	K	KOUS	_	20	konj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	137	137
15	amal	amal	A	ADJD	_	20	adv	_	_
16	mit	mit	P	APPR	Dat	20	pp	_	_
17	einer	eine	A	ART	Indef|Fem|Dat|Sg	18	det	_	_
18	Dame	Dame	N	NN	Fem|Dat|Sg	16	pn	_	_
19	beisammen	beisammen	A	ADV	_	20	adv	_	_
20	bin	sein	V	VAFIN	1|Sg|Pres|Ind	3	neb	_	_
21	...	...	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	2	2
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	einer	eine	P	PIS	Masc|Nom|Sg	3	pred	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	In	in	P	APPR	_	7	pp	_	_
3	Freising	Freising	N	NE	Neut|_|Sg	2	pn	1186	1186
4	,	,	$	$,	_	0	root	1186	1186
5	wia	wia	F	FM	Neut|_|Sg	3	app	1186	1186
6	'	'	$	$(	_	0	root	_	_
7	r	r	F	FM	_|Nom|Sg	9	subj	_	_
8	i	i	F	FM	_|Nom|Sg	7	app	_	_
9	studiert	studieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	hab	hab	F	FM	_	9	obja	_	_
11	'	'	$	$(	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	da	da	A	ADV	_	14	adv	_	_
14	hat	haben	V	VAFIN	3|Sg|Pres|Ind	9	kon	_	_
15	amal	amal	F	FM	_|Nom|Sg	14	subj	_	_
16	oana	oana	F	FM	_|Nom|Sg	15	app	_	_
17	auf	auf	P	APPR	_	14	pp	_	_
18	an	an	P	APPR	_	17	pp	_	_
19	Ball	Ball	N	NN	Masc|_|Sg	18	pn	_	_
20	meiner	meine	A	PPOSAT	Fem|Gen|Sg	21	det	137	137
21	Dame	Dame	N	NN	Fem|Gen|Sg	19	gmod	_	_
22	auf	auf	P	APPR	_	14	pp	_	_
23	'	'	$	$(	_	0	root	_	_
24	n	n	F	FM	_|_|_	22	pn	_	_
25	Fuaß	Fuaß	F	FM	_|_|_	24	app	_	_
26	tret	tret	F	FM	_|_|_	25	app	_	_
27	'	'	$	$(	_	0	root	_	_
28	n.	n.	F	FM	_	14	obja	_	_

1	Dem	die	A	ART	Def|_|Dat|Sg	2	det	_	_
2	hab	hab	F	FM	_|Dat|Sg	22	objd	_	_
3	i	i	F	FM	_|Dat|Sg	2	app	_	_
4	a	a	F	FM	_|Dat|Sg	3	app	_	_
5	paar	paar	F	FM	_|Dat|Sg	4	app	_	_
6	abazog	abazog	F	FM	_|Dat|Sg	5	app	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_|Dat|Sg	6	app	_	_
9	und	und	K	KON	_	8	kon	_	_
10	hab	hab	F	FM	_|Dat|Sg	9	cj	_	_
11	'	'	$	$(	_	0	root	_	_
12	n	n	N	NN	_|Dat|Sg	10	app	_	_
13	über	über	P	APPR	_	12	pp	_	_
14	d	d	N	NN	_|_|_	13	pn	_	_
15	'	'	$	$(	_	0	root	_	_
16	Stiag	Stiag	N	NE	_|_|_	14	app	_	_
17	'	'	$	$(	_	0	root	_	_
18	n	n	N	NN	_|_|_	16	app	_	_
19	abi	abi	A	ADV	_	18	adv	_	_
20	g	g	N	NN	_|_|_	18	app	_	_
21	'	'	$	$(	_	0	root	_	_
22	schmiss	schmeißen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
23	'	'	$	$(	_	0	root	_	_
24	n	n	N	NN	_|Nom|Sg	22	subj	142	142
25	,	,	$	$,	_	0	root	_	_
26	daß	daß	K	KOUS	_	0	root	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	0	root	142	142
28	dös	dös	A	ADJD	_	36	adv	_	_
29	halbe	halb	A	ADJA	Pos|Neut|Nom|Sg|Wk|	30	attr	_	_
30	G	G	N	NN	Neut|Nom|Sg	36	subj	_	_
31	'	'	$	$(	_	0	root	_	_
32	lander	lander	F	FM	Neut|Nom|Sg	30	app	_	_
33	mitg	mitg	F	FM	Neut|Nom|Sg	32	app	_	_
34	'	'	$	$(	_	0	root	_	_
35	numma	numma	N	NE	_	36	obja	_	_
36	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
37	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jessas	Jessas	N	NE	_|_|Sg	0	root	143	143
3	Maria	Maria	N	NE	_|_|Sg	2	app	143	143
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	amal	amal	N	NE	_|Nom|Sg	4	subj	1635	1635
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	cj	_	_
5	unser	unsre	A	PPOSAT	_|_|Sg	6	det	_	_
6	Verbindung	Verbindung	N	NN	_|_|Sg	4	obja	_	_
7	a	a	F	FM	_|_|Sg	6	app	_	_
8	Gartenfest	Gartenfest	F	FM	_|_|Sg	7	app	_	_
9	g	g	F	FM	_|_|Sg	8	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
12	...	...	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Waren	Ware	N	NN	Neut|_|_	0	root	_	_
3	S	S	N	NN	Neut|_|_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	bei	bei	P	APPR	Dat	3	pp	_	_
6	an	an	P	APPR	_	5	pp	_	_
7	Studentenkorps	Studentenkorps	N	NN	Neut|_|_	6	pn	_	_
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Bei	bei	P	APPR	Dat	0	root	_	_
3	der	die	A	ART	Def|Fem|Dat|Sg	4	det	_	_
4	Cerevisia	Cerevisia	N	NN	Fem|Dat|Sg	2	pn	_	_
5	in	in	P	APPR	_	4	pp	_	_
6	Weihenstephan	Weihenstephan	N	NE	_|_|_	5	pn	259	259
7	in	in	P	APPR	Dat	6	pp	259	259
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	259	259
9	Brauschul	Brauschul	N	NN	Fem|Dat|Sg	7	pn	259	259
10	'	'	$	$(	_	0	root	_	_
11	...	...	$	$.	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	da	da	A	ADV	_	12	cj	_	_
14	hamm	hamm	F	FM	_	22	obja	_	_
15	mir	mir	F	FM	_	14	app	_	_
16	a	a	F	FM	_	15	app	_	_
17	Gart	Gart	F	FM	_	16	app	_	_
18	'	'	$	$(	_	0	root	_	_
19	nfest	nfest	A	ADJA	_	20	attr	_	_
20	g	g	N	NN	_	17	app	_	_
21	'	'	$	$(	_	0	root	_	_
22	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	und	und	K	KON	_	22	kon	_	_
25	da	da	A	ADV	_	26	adv	_	_
26	hat	haben	V	VAFIN	3|Sg|Pres|Ind	24	cj	_	_
27	oana	oana	N	NE	_|Nom|Sg	26	subj	122	122
28	mit	mit	P	APPR	Dat	26	pp	_	_
29	meiner	meine	A	PPOSAT	Fem|Dat|Sg	30	det	_	_
30	Dame	Dame	N	NN	Fem|Dat|Sg	28	pn	_	_
31	'	'	$	$(	_	0	root	_	_
32	s	s	F	FM	Fem|Dat|Sg	30	app	_	_
33	Speanzeln	Speanzeln	F	FM	Fem|Dat|Sg	32	app	_	_
34	o	o	F	FM	Fem|Dat|Sg	33	app	_	_
35	'	'	$	$(	_	0	root	_	_
36	g	g	N	NN	Fem|Dat|Sg	34	app	_	_
37	'	'	$	$(	_	0	root	_	_
38	fangt	fangen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
39	...	...	$	$.	_	0	root	_	_
40	dem	die	A	ART	Def|_|Dat|Sg	41	det	_	_
41	hab	hab	F	FM	_|Dat|Sg	0	root	_	_
42	i	i	F	FM	_|Dat|Sg	41	app	_	_
43	aa	aa	F	FM	_|Dat|Sg	42	app	_	_
44	zoagt	zoagt	F	FM	_|Dat|Sg	43	app	_	_
45	,	,	$	$,	_	0	root	_	_
46	wo	wo	P	PWAV	_	51	adv	_	_
47	der	die	A	ART	Def|Masc|Nom|Sg	48	det	_	_
48	Bartl	Bartl	N	NN	Masc|Nom|Sg	51	subj	_	_
49	an	an	P	APPR	_	51	pp	_	_
50	Most	Most	N	NN	Masc|_|Sg	49	pn	_	_
51	holt	holen	V	VVFIN	3|Sg|Pres|Ind	44	rel	_	_
52	...	...	$	$.	_	0	root	_	_
53	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	2	2
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
4	g	g	N	NN	_|Nom|_	3	pred	_	_
5	'	'	$	$(	_	0	root	_	_
6	wiß	wiß	N	NE	_|Nom|_	4	app	_	_
7	ein	eine	A	ART	Indef|_|_|Sg	9	det	_	_
8	rechter	recht	A	ADJA	Pos|Fem|Dat|Sg|St|	9	attr	_	_
9	Don	Don	N	NE	_|Dat|_	3	objd	_	_
10	Schuang	Schuang	N	NE	_|Dat|_	9	app	_	_
11	g	g	N	NN	_|Dat|_	10	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	wesen	wesen	F	FM	_|Dat|_	11	app	_	_
14	?	?	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Han	Han	N	NE	_	0	root	101	101
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Daß	daß	K	KOUS	_	0	root	_	_
3	Sie	sie	P	PPER	3|_|_|_	0	root	2	2
4	recht	recht	A	ADJD	Pos|	5	adv	_	_
5	poussiert	poussiert	A	ADJD	Pos|	6	adv	_	_
6	hamm	hamm	A	ADJD	_	0	root	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gar	gar	A	ADV	_	3	adv	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	arg	arg	A	ADJD	Pos|	0	root	_	_
5	is	is	F	FM	_	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	s	s	F	FM	_	5	app	_	_
8	net	net	F	FM	_	7	app	_	_
9	g	g	F	FM	_	8	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	wes	wes	F	FM	_	9	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	n	n	N	NN	_	11	app	_	_
14	...	...	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Schorschl	Schorschl	N	NE	_|Nom|Sg	2	subj	110	110
2	lächelte	lächeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	doch	doch	A	ADV	_	2	adv	_	_
5	vielsagend	vielsagend	A	ADJD	Pos|<PPRES	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	Fanny	Fanny	N	NE	_|Nom|Sg	9	subj	141	141
9	wollte	wollen	V	VMFIN	3|Sg|Past|_	7	cj	_	_
10	hastig	hastig	A	ADJD	Pos|	13	adv	_	_
11	ihren	ihre	A	PPOSAT	Masc|_|Sg	12	det	141	141
12	Arm	Arm	N	NN	Masc|_|Sg	13	obja	_	_
13	zurückziehen	zurückziehen	V	VVINF	_	9	aux	_	_
14	und	und	K	KON	_	9	kon	_	_
15	wurde	werden	V	VAFIN	_|Sg|Past|Ind	14	cj	_	_
16	festgehalten	festhalten	V	VVPP	_	15	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Mit	mit	P	APPR	Dat	4	pp	_	_
3	Ihnen	sie	P	PPER	3|Pl|_|Dat	2	pn	2	2
4	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	man	man	P	PIS	_|Nom|Sg	0	root	_	_
7	sich	sie	P	PRF	3|_|_	0	root	_	_
8	gar	gar	A	ADV	_	12	adv	_	_
9	net	net	A	ADV	_	10	adv	_	_
10	geh	geh	A	ADJD	_	12	adv	_	_
11	'	'	$	$(	_	0	root	_	_
12	n	n	N	NN	_	0	root	_	_
13	trauen	trauen	V	VVINF	_	0	root	_	_
14	...	...	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	2	2
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	vielleicht	vielleicht	A	ADV	_	2	adv	_	_
4	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
5	ganz	ganz	A	ADV	_	6	adv	_	_
6	gefährlicher	gefährlich	A	ADJD	Comp|	0	root	_	_
7	...	...	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Eahna	Eahna	N	NE	_	0	root	1759	1759
3	waar	waar	N	NE	_	2	app	1759	1759
4	i	i	A	ADJD	_	5	adv	_	_
5	net	net	A	ADV	_	3	adv	_	_
6	feind	feind	A	ADJD	Pos|	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	Fräulein	Fräulein	N	NN	Neut|_|_	0	root	144	144
9	Fannerl	Fannerl	N	NE	Neut|_|_	8	app	144	144
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|_|_|_	0	root	2	2
3	Schlimmer	schlimm	A	ADJD	Comp|	0	root	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	G	G	N	NN	Neut|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	wiß	wiß	F	FM	Neut|_|_	2	app	_	_
5	is	is	F	FM	Neut|_|_	4	app	_	_
6	wahr	wahr	F	FM	Neut|_|_	5	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	i	i	F	FM	Neut|_|_	6	app	_	_
9	hab	hab	F	FM	Neut|_|_	8	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	s	s	P	PPER	_|_|_|Acc	14	pn	156	156
12	Eahna	Eahna	N	NE	_|Acc|_	11	app	156	156
