1	Is	Is	N	NE	_|Gen|_	13	gmod	396	396
4	Fanny	Fanny	N	NE	_	0	root	_	_
5	naus	naus	N	NE	_	4	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	_	_
8	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
9	eina	eina	A	ADJD	Pos|	8	adv	_	_
10	kemma	kemma	V	VVINF	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	a	a	F	FM	_	0	root	_	_
13	Zimma	Zimma	F	FM	_	12	app	_	_
14	richt	richt	F	FM	_	13	app	_	_
15	'	'	$	$(	_	0	root	_	_
16	n	n	N	NN	_	14	app	_	_
17	...	...	$	$.	_	0	root	_	_
18	San	San	F	FM	Neut|_|_	0	root	_	_
19	S	S	F	FM	Neut|_|_	18	app	_	_
20	'	'	$	$(	_	0	root	_	_
21	gewiß	gewiß	F	FM	Neut|_|_	19	app	_	_
22	a	a	F	FM	Neut|_|_	21	app	_	_
23	G	G	N	NN	Neut|_|_	22	app	_	_
24	'	'	$	$(	_	0	root	_	_
25	schäftsreisender	schäftsreisender	F	FM	Neut|_|_	23	app	_	_
26	?	?	$	$.	_	0	root	_	_
27	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Na	Na	N	NE	_	0	root	676	676
3	.	.	$	$.	_	0	root	_	_

1	I	I	F	FM	_	0	root	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	zu	zu	P	APPR	Dat	2	pp	_	_
4	mein	meine	A	PPOSAT	_|_|Sg	5	det	_	_
5	Vergnüg	Vergnüg	N	NN	_|_|Sg	3	pn	_	_
6	'	'	$	$(	_	0	root	_	_
7	n	n	N	NN	_|_|Sg	5	app	_	_
8	da	da	P	PTKVZ	_	2	avz	_	_
9	.	.	$	$.	_	0	root	_	_

