1	Marie	Marie	N	NE	_|Nom|Sg	2	subj	969	969
6	überhaupts	überhaupts	F	FM	_|Dat|_	5	app	120	120
7	nimma	nimma	F	FM	_|Dat|_	6	app	120	120
8	dischkrier	dischkrier	F	FM	_|Dat|_	7	app	120	120
9	'	'	$	$(	_	0	root	120	120
10	n.	n.	F	FM	_|Dat|_	8	app	120	120
11	«	«	F	FM	_|Dat|_	10	app		

1	»	»	$	$(	_	0	root	_	_
2	Laß	Laß	V	VVIMP	_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	2	2
4	doch	doch	A	ADV	_	2	adv	_	_
5	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1069	1069
2	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	gerne	gerne	A	ADV	_	5	adv	_	_
4	wieder	wieder	A	ADV	_	5	adv	_	_
5	gehen	gehen	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	wenn	wenn	K	KOUS	_	12	konj	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	1069	1069
9	hier	hier	A	ADV	_	12	adv	_	_
10	nich	nich	A	ADV	_	12	adv	_	_
11	angenehm	angenehm	A	ADJD	Pos|	12	pred	_	_
12	bin	sein	V	VAFIN	1|Sg|Pres|Ind	2	neb	_	_
13	...	...	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	red	red	F	FM	_	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	st	st	N	NE	_	3	app	_	_
6	denn	denn	A	ADV	_	5	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	Madel	Madel	N	NE	_	5	app	_	_
9	?	?	$	$.	_	0	root	_	_

1	I	I	F	FM	_	0	root	_	_
2	sag	sag	F	FM	_	1	app	_	_
3	'	'	$	$(	_	0	root	_	_
4	dir	du	P	PPER	2|Sg|_|Dat	0	root	1070	1070
5	ja	ja	A	ADV	_	4	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	er	er	P	PPER	Masc|Nom|Sg	0	root	2	2
8	is	is	F	FM	_	7	app	_	_
9	überhaupts	überhaupts	F	FM	_	8	app	_	_
10	a	a	F	FM	_	9	app	_	_
11	so	so	A	ADV	_	7	adv	_	_
12	.	.	$	$.	_	0	root	_	_

1	De	De	F	FM	Fem|_|Sg	0	root	_	_
2	ganz	ganz	A	ADV	_	3	adv	_	_
3	Zeit	Zeit	N	NN	Fem|_|Sg	1	app	_	_
4	her	her	P	PTKVZ	_	0	root	_	_
5	;	;	$	$.	_	0	root	_	_
6	net	net	A	ADV	_	7	adv	_	_
7	erst	erst	A	ADV	_	8	adv	_	_
8	weil	weil	K	KOUS	_	11	konj	_	_
9	du	du	P	PPER	2|Sg|_|Nom	11	subj	1070	1070
10	da	da	A	ADV	_	11	adv	_	_
11	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	I	I	F	FM	_	0	root	_	_
2	glaab	glaab	F	FM	_	1	app	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	0	root	_	_
5	eahm	eahm	N	NE	_|_|_	0	root	1071	1071
6	gewisse	gewiss	A	ADJA	Pos|_|_|_|_|	7	attr	1071	1071
7	Leut	Leut	F	FM	_|_|_	5	app	1071	1071
8	was	was	F	FM	_|_|_	7	app	1071	1071
9	ei	ei	F	FM	_|_|_	8	app	1071	1071
10	'	'	$	$(	_	0	root	1071	1071
11	red	red	F	FM	_|_|_	9	app	1071	1071
12	'	'	$	$(	_	0	root	1071	1071
13	n.	n.	F	FM	_|_|_	11	app	1071	1071

1	I	I	F	FM	_	0	root	_	_
2	kenn	kenn	F	FM	_	1	app	_	_
3	s	s	F	FM	_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	scho	scho	N	NE	_	3	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	de	de	F	FM	_	5	app	_	_
8	sell	sell	F	FM	_	7	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	n	n	N	NN	_	8	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	dena	dena	F	FM	_	0	root	_	_
13	da	da	K	KOUS	_	17	konj	_	_
14	Neid	Neid	N	NN	Masc|Nom|Sg	17	subj	474	474
15	koa	koa	N	NE	Masc|Nom|Sg	14	app	474	474
16	Ruah	Ruah	N	NE	Masc|Nom|Sg	15	app	474	474
17	laßt	laßt	V	VVFIN	_|Sg|_|_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	0	root	_	_
20	vo	vo	T	TRUNC	_	0	root	_	_
21	dem	die	A	ART	Def|Neut|Dat|Sg	22	det	2275	2275
22	G	G	N	NN	Neut|Dat|Sg	25	objd	2275	2275
23	'	'	$	$(	_	0	root	2275	2275
24	red	red	F	FM	Neut|Dat|Sg	22	app	2275	2275
25	stammt	stammen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
26	si	si	N	NE	_|Nom|Sg	25	subj	513	513
27	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
28	schlechter	schlecht	A	ADJA	Pos|Masc|Nom|Sg|St|	29	attr	_	_
29	Humor	Humor	N	NN	Masc|Nom|Sg	27	subj	_	_
30	her	her	P	PTKVZ	_	27	avz	_	_
31	...	...	$	$.	_	0	root	_	_
32	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	In	in	P	APPR	_	6	pp	_	_
3	Gegenwart	Gegenwart	N	NN	_|_|Sg	2	pn	_	_
4	von	von	P	APPR	_	3	pp	_	_
5	Damen	Dame	N	NN	Fem|_|Pl	4	pn	1536	1536
6	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	man	man	P	PIS	_|Nom|Sg	6	subj	_	_
8	sich	sie	P	PRF	3|_|Dat	14	objd	_	_
9	aber	aber	A	ADV	_	14	adv	_	_
10	nich	nich	A	ADJD	_	14	adv	_	_
11	in	in	P	APPR	Dat	14	pp	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	144	144
13	Weise	Weise	N	NN	Fem|Dat|Sg	11	pn	144	144
14	gehen	gehen	V	VVINF	_	6	obji	_	_
15	.	.	$	$.	_	0	root	_	_

1	Finde	finden	V	VVFIN	1|Sg|Pres|_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	1072	1072
3	wenigstens	wenigstens	A	ADV	_	1	adv	_	_
4	...	...	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ärger	Ärger	N	NN	Masc|_|Sg	0	root	685	685
3	di	di	N	NE	Masc|_|Sg	2	app	685	685
4	net	net	N	NE	Masc|_|Sg	3	app	685	685
5	,	,	$	$,	_	0	root	_	_
6	Madel	Madel	N	NE	Masc|_|Sg	4	app	_	_
7	.	.	$	$.	_	0	root	_	_

