1	He	He	N	NE	_	0	root	392	392
11	denn	denn	A	ADV	_	10	adv	_	_
12	ös	ös	A	ADJD	_	13	adv	_	_
13	da	da	A	ADV	_	10	adv	_	_
14	?	?	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Familiensimpeleihalber	Familiensimpeleihalbe	N	NN	_|_|_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	3	3
2	,	,	$	$,	_	0	root	_	_
3	woaßt	woaßt	F	FM	Masc|Nom|Sg	1	app	_	_
4	d	d	F	FM	Masc|Nom|Sg	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	...	...	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	dabei	dabei	P	PROAV	_	9	pp	_	_
9	deutete	deuten	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	Schegerer	Schegerer	N	NE	_|Nom|Sg	9	subj	155	155
11	auf	auf	P	APPR	_	9	pp	_	_
12	Benno	Benno	N	NN	_|_|_	11	pn	30	30
13	...	...	$	$.	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Aba	Aba	N	NE	_	0	root	_	_
16	jetza	jetza	N	NE	_	15	app	_	_
17	,	,	$	$,	_	0	root	_	_
18	Schorschi	Schorschi	N	NE	_	16	kon	883	883
19	,	,	$	$,	_	0	root	883	883
20	kimmst	kimmst	F	FM	_	18	kon	883	883
21	d	d	F	FM	_	20	app	883	883
22	'	'	$	$(	_	0	root	_	_
23	uns	wir	P	PPER	1|Pl|_|_	0	root	_	_
24	nimmer	nimmer	A	ADV	_	23	adv	_	_
25	aus	aus	P	PTKVZ	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	jetzt	jetzt	A	ADV	_	28	adv	_	_
28	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
29	a	a	F	FM	_|Nom|Sg	28	subj	_	_
30	Tarock	Tarock	F	FM	_|Nom|Sg	29	app	_	_
31	z	z	F	FM	_|Nom|Sg	30	app	_	_
32	'	'	$	$(	_	0	root	_	_
33	samm	samm	N	NE	_|Nom|Sg	31	app	_	_
34	,	,	$	$,	_	0	root	_	_
35	sag	sag	F	FM	_|Nom|Sg	33	app	_	_
36	i	i	F	FM	_|Nom|Sg	35	app	_	_
37	...	...	$	$.	_	0	root	_	_
38	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Warum	Warum	P	PWAV	_	0	root	_	_
3	net	net	A	ADV	_	2	adv	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Also	also	A	ADV	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_
4	Wirtschaft	Wirtschaft	N	NN	_|_|Sg	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	He	He	N	NE	_	0	root	392	392
2	da	da	A	ADV	_	1	adv	392	392
3	!	!	$	$.	_	0	root	_	_

1	A	A	N	NN	_|_|_	0	root	_	_
2	neue	neu	A	ADJA	Pos|_|_|_|_|	3	attr	_	_
3	Kart	Kart	N	NN	_|_|_	1	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	n	n	N	NN	_|_|_	3	app	_	_
6	...	...	$	$.	_	0	root	_	_
7	...	...	$	$.	_	0	root	_	_
8	Blöck	Blöck	F	FM	_	0	root	_	_
9	'	'	$	$(	_	0	root	_	_
10	...	...	$	$.	_	0	root	_	_
11	Jetza	Jetza	F	FM	_|Nom|Sg	16	subj	_	_
12	bin	bin	F	FM	_|Nom|Sg	11	app	_	_
13	i	i	F	FM	_|Nom|Sg	12	app	_	_
14	a	a	F	FM	_|Nom|Sg	13	app	_	_
15	bissel	bissel	F	FM	_|Nom|Sg	14	app	_	_
16	versöhnt	versöhnen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
17	mit	mit	P	APPR	Dat	16	pp	_	_
18	dera	dera	A	ADJA	_|Fem|Dat|Sg|_	19	attr	393	393
19	Idylle	Idyll	N	NN	Fem|Dat|Sg	17	pn	393	393
20	und	und	K	KON	_	19	kon	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	23	det	_	_
22	schönen	schön	A	ADJA	Pos|Fem|Dat|Sg|Wk|	23	attr	_	_
23	Bergwelt	Bergwelt	N	NN	Fem|Dat|Sg	20	cj	_	_
24	...	...	$	$.	_	0	root	_	_
25	Kreuzsakra	Kreuzsakra	N	NN	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	dös	dös	F	FM	_	0	root	_	_
28	hätt	hätt	F	FM	_	27	app	_	_
29	i	i	F	FM	_	28	app	_	_
30	mir	ich	P	PPER	1|Sg|_|Dat	31	objd	1749	1749
31	heut	heuen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
32	nimmer	nimmer	A	ADV	_	33	adv	_	_
33	g	g	N	NN	_|Nom|Sg	31	subj	_	_
34	'	'	$	$(	_	0	root	_	_
35	hofft	hoffen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
36	...	...	$	$.	_	0	root	_	_
37	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	C	CARD	_	3	obja	_	_
3	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	g	g	N	NN	_|Nom|Sg	3	subj	1749	1749
5	'	'	$	$(	_	0	root	1749	1749
6	schwind	schwind	F	FM	_|Nom|Sg	4	app	1749	1749
7	schaug	schaug	F	FM	_|Nom|Sg	6	app	1749	1749
8	'	'	$	$(	_	0	root	1749	1749
9	n	n	N	NN	_|Nom|Sg	7	app	1749	1749
10	,	,	$	$,	_	0	root	_	_
11	wo	wo	P	PWAV	_	0	root	_	_
12	unsere	unsre	A	PPOSAT	Neut|_|Pl	13	det	385	385
13	Weiber	Weib	N	NN	Neut|_|Pl	0	root	385	385
14	san	san	N	NE	Neut|_|Pl	13	app	385	385
15	«	«	$	$(	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
18	Benno	Benno	N	NE	_|Nom|Sg	17	subj	30	30
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dableib	Dableib	N	NE	_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	n	n	N	NN	_	2	app	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	kommandierte	kommandiert	A	ADJA	Pos|_|_|_|_|	8	attr	155	155
8	Schegerer	Schegerer	N	NN	Masc|Nom|Sg	0	root	155	155
9	,	,	$	$,	_	0	root	155	155
10	den	die	P	PRELS	Masc|Acc|Sg	17	obja	155	155
11	die	die	A	ART	Def|Fem|Nom|Sg	13	det	_	_
12	gute	gut	A	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	_	_
13	Laune	Laune	N	NN	Fem|Nom|Sg	17	subj	_	_
14	sehr	sehr	A	ADV	_	15	adv	_	_
15	laut	laut	A	ADJD	Pos|	16	pred	_	_
16	werden	werden	V	VAINF	_	17	obji	_	_
17	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	8	rel	_	_
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Kreuz	Kreuz	N	NN	Neut|_|Sg	0	root	_	_
3	Birnbaam	Birnbaam	N	NE	_|_|_	2	app	_	_
4	und	und	K	KON	_	3	kon	_	_
5	Hollerstaud	Hollerstaud	N	NN	_|_|_	4	cj	_	_
6	'	'	$	$(	_	0	root	_	_
7	n	n	N	NN	_|_|_	5	app	_	_
8	,	,	$	$,	_	0	root	_	_
9	dös	dös	F	FM	_|_|_	7	app	_	_
10	waar	waar	F	FM	_|_|_	9	app	_	_
11	mir	mir	F	FM	_|_|_	10	app	_	_
12	dös	dös	F	FM	_|_|_	11	app	_	_
13	Wahre	Wahre	N	NN	_|_|_	12	app	_	_
14	!	!	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	0	root	_	_
2	Bubi	Bubi	N	NE	Fem|_|Sg	0	root	720	720
3	möcht	möcht	F	FM	Fem|_|Sg	2	app	720	720
4	d	d	F	FM	Fem|_|Sg	3	app	720	720
5	'	'	$	$(	_	0	root	720	720
6	Mama	Mama	N	NN	Fem|_|Sg	4	app	720	720
7	holn	holn	F	FM	Fem|_|Sg	6	app	720	720
8	...	...	$	$.	_	0	root	_	_
9	gehst	gehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
10	ma	ma	N	NE	_|Dat|_	9	objd	140	140
11	net	net	A	ADV	_	9	adv	_	_
12	weg	weg	A	ADV	_	9	adv	_	_
13	mit	mit	P	APPR	Dat	9	pp	_	_
14	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	_	_
15	Schmarrn	Schmarrn	N	NN	Masc|Dat|Sg	13	pn	_	_
16	!	!	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aba	Aba	N	NE	_|_|Sg	0	root	_	_
3	mir	mir	F	FM	_|_|Sg	2	app	_	_
4	müass	müass	F	FM	_|_|Sg	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	n	n	N	NN	_|_|Sg	4	app	_	_
7	...	...	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nix	Nix	F	FM	_|Nom|Sg	14	subj	_	_
3	müass	müass	F	FM	_|Nom|Sg	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	ma	ma	N	NE	_|Nom|Sg	3	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	tarock	tarock	F	FM	_|Nom|Sg	5	app	_	_
8	'	'	$	$(	_	0	root	_	_
9	n	n	F	FM	_|Nom|Sg	7	app	_	_
10	müass	müass	F	FM	_|Nom|Sg	9	app	_	_
11	'	'	$	$(	_	0	root	_	_
12	ma	ma	N	NE	_|Nom|Sg	10	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	verstand	verstehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	'	'	$	$(	_	0	root	_	_
16	n	n	N	NN	_	14	obja	154	154
17	...	...	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	0	root	_	_
2	san	san	N	NE	_	0	root	385	385
3	d	d	F	FM	_	2	app	385	385
4	'	'	$	$(	_	0	root	385	385
5	Kart	Kart	N	NE	_	3	app	385	385
6	'	'	$	$(	_	0	root	385	385
7	n	n	F	FM	_	5	app	385	385
8	scho	scho	F	FM	_	7	app	385	385
9	...	...	$	$.	_	0	root	_	_
10	hock	hock	F	FM	_	0	root	_	_
11	di	di	F	FM	_	10	app	_	_
12	hi	hi	F	FM	_	11	app	_	_
13	auf	auf	P	APPR	_	0	root	_	_
14	deine	deine	A	PPOSAT	_|_|_	0	root	394	394
15	fünf	fünf	C	CARD	_	0	root	_	_
16	Buchstab	Buchstab	N	NN	Masc|_|Sg	0	root	_	_
17	'	'	$	$(	_	0	root	_	_
18	n	n	N	NN	Masc|_|Sg	16	app	_	_
19	und	und	K	KON	_	0	root	_	_
20	woan	woan	T	TRUNC	_	0	root	_	_
21	net	net	A	ADV	_	22	adv	_	_
22	nach	nach	P	APPR	Dat	0	root	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	_	_
24	Mammi	Mammi	N	NN	Fem|Dat|Sg	22	pn	_	_
25	...	...	$	$.	_	0	root	_	_
26	Du	du	P	PPER	2|Sg|_|Nom	27	subj	394	394
27	gibst	geben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	Schorschi	Schorschi	N	NE	_	27	vok	391	391
30	.	.	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_

1	Benno	Benno	N	NE	_|Nom|Sg	2	subj	30	30
2	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	5	obja	_	_
4	gerne	gerne	A	ADV	_	5	adv	_	_
5	überreden	überreden	V	VVINF	_	2	obji	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	bald	bald	A	ADV	_	9	adv	_	_
9	hatte	haben	V	VAFIN	3|Sg|Past|Ind	7	cj	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	3	3
11	seine	seine	A	PPOSAT	Fem|_|Sg	12	det	3	3
12	Frau	Frau	N	NN	Fem|_|Sg	9	obja	_	_
13	genau	genau	A	ADJD	Pos|	14	adv	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	vergessen	vergessen	V	VVINF	_	2	obji	_	_
16	wie	wie	K	KOKOM	_	0	root	_	_
17	Herr	Herr	N	NN	Masc|_|Sg	16	cj	155	155
18	Schegerer	Schegerer	N	NE	Masc|_|Sg	17	app	155	155
19	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
2	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	an	an	P	APPR	_	5	objp	_	_
4	Paula	Paula	N	NE	Fem|_|Sg	3	pn	64	64
5	erinnert	erinnern	V	VVPP	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	als	als	K	KOKOM	_	12	kom	_	_
8	Herr	Herr	N	NN	Masc|_|Sg	7	cj	212	212
9	Laubmann	Laubmann	N	NE	_|_|Sg	8	app	212	212
10	ins	in	P	APPRART	Acc	9	pp	_	_
11	Gastzimmer	Gastzimmer	N	NN	Neut|Acc|_	10	pn	395	395
12	kam	kommen	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
13	und	und	K	KON	_	12	kon	_	_
14	an	an	P	APPR	Acc	17	pp	_	_
15	den	die	A	ART	Def|Masc|Acc|Sg	16	det	396	396
16	Tisch	Tisch	N	NN	Masc|Acc|Sg	14	pn	396	396
17	hertrat	hertreten	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
18	.	.	$	$.	_	0	root	_	_

