1	Schmettau	Schmettau	N	NE	_	0	root	483	483
5	gar	gar	A	ADV	_	6	adv	_	_
6	nicht	nicht	P	PTKNEG	_	4	adv	_	_
7	aufgelegt	aufgelegt	A	ADJD	Pos|	4	pred	_	_
8	für	für	P	APPR	Acc	4	pp	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	was	was	P	PIS	_|Acc|_	8	pn	_	_
11	!	!	$	$.	_	0	root	_	_

1	Effie	Effie	N	NE	_|Nom|Sg	2	subj	16	16
2	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	an	an	P	APPR	Acc	2	objp	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	254	254
5	Schreibtisch	Schreibtisch	N	NN	Masc|Acc|Sg	3	pn	254	254
6	und	und	K	KON	_	2	kon	_	_
7	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	6	cj	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	547	547
9	Band	Band	N	NN	Masc|Acc|Sg	7	obja	547	547
10	des	die	A	ART	Def|Neut|Gen|Sg	11	det	555	555
11	Konversationslexikons	Konversationslexikon	N	NN	Neut|Gen|Sg	9	gmod	547	547
12	:	\:	$	$.	_	0	root	_	_
13	Das	die	P	PDS	Neut|Nom|Sg	14	subj	_	_
14	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
15	bloß	bloß	A	ADV	_	14	adv	_	_
16	von	von	P	APPR	_	14	pp	_	_
17	deiner	deine	A	PPOSAT	Fem|_|Sg	18	det	556	556
18	Politik	Politik	N	NN	Fem|_|Sg	16	pn	_	_
19	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	dir	du	P	PPER	2|Sg|_|Dat	6	objd	556	556
4	die	die	A	ART	Def|Masc|_|Pl	5	det	_	_
5	Schmöker	Schmöker	N	NN	Masc|_|Pl	6	obja	_	_
6	konfiszieren	konfiszieren	V	VVINF	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|Nom|Sg	2	subj	1	1
2	erregt	erregen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Gib	Gib	N	NE	_	0	root	_	_
5	das	die	A	ART	Def|Neut|_|Sg	6	det	252	252
6	Buch	Buch	N	NN	Neut|_|Sg	0	root	252	252
7	her	her	P	PTKVZ	_	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Effie	Effie	N	NN	_|Nom|Sg	2	subj	16	16
2	springt	springen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	weg	weg	A	ADV	_	2	adv	_	_
4	:	\:	$	$.	_	0	root	_	_
5	Nein	nein	P	PTKANT	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	Papachen	Papachen	N	NN	Neut|_|_	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	557	557
2	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	uns	wir	P	PPER	1|Pl|_|Dat	2	objd	_	_
4	noch	noch	A	ADV	_	2	adv	_	_
5	krank	krank	A	ADJD	Pos|	2	pred	_	_
6	damit	damit	P	PROAV	_	2	pp	_	_
7	!	!	$	$.	_	0	root	_	_

1	Beermann	Beermann	N	NN	Masc|Nom|Sg	2	subj	1	1
2	schreit	schreien	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Ich	ich	P	PPER	1|Sg|_|Nom	5	subj	614	614
5	verbitte	verbitten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	_	_
7	die	die	A	ART	Def|Masc|_|Pl	8	det	_	_
8	Scherze	Scherz	N	NN	Masc|_|Pl	5	obja	_	_
9	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	557	557
2	gibst	geben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	sofort	sofort	A	ADV	_	2	adv	_	_
4	das	die	A	ART	Def|Neut|_|Sg	5	det	252	252
5	Buch	Buch	N	NN	Neut|_|Sg	2	obja	252	252
6	her	her	P	PTKVZ	_	2	avz	_	_
7	!	!	$	$.	_	0	root	_	_

