1	Batz	Batz	N	NE	Masc|_|Sg	7	vok	455	455
21	nicht	nicht	P	PTKNEG	_	25	adv	_	_
22	das	die	A	ART	Def|Neut|_|Sg	24	det	_	_
23	schönste	schön	A	ADJA	Sup|Neut|_|Sg|Wk|	24	attr	_	_
24	Leben	Leben	N	NN	Neut|_|Sg	25	obja	_	_
25	gehabt	haben	V	VAPP	_	16	aux	_	_
26	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Bürgerwehr	Bürgerwehr	N	NN	Fem|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	bald	bald	A	ADV	_	6	adv	_	_
5	nachher	nachher	A	ADV	_	6	adv	_	_
6	aufgelöst	auflösen	V	VVPP	_	7	aux	_	_
7	worden	werden	V	VAPP	_	3	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	weil	weil	K	KOUS	_	16	konj	_	_
10	Thron	Thron	N	NN	Masc|Nom|Sg	16	subj	756	756
11	und	und	K	KON	_	10	kon	_	_
12	Altar	Altar	N	NN	Masc|Nom|Sg	11	cj	_	_
13	jetzt	jetzt	A	ADV	_	15	adv	_	_
14	anderweitig	anderweitig	A	ADJD	Pos|	15	adv	_	_
15	geschützt	schützen	V	VVPP	_	16	aux	_	_
16	sind	sein	V	VAFIN	_|Pl|Pres|Ind	3	neb	_	_
17	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|_|_	3	det	374	374
3	Buchdrucker	Buchdrucker	N	NN	Masc|_|_	1	cj	374	374
4	Schmitt	Schmitt	N	NE	_|Nom|Sg	3	app	374	374
5	,	,	$	$,	_	0	root	_	_
6	Gott	Gott	N	NN	Masc|Nom|Sg	7	subj	367	367
7	hab	hab	V	VAFIN	_|Sg|_|_	0	root	_	_
8	ihn	er	P	PPER	3|Sg|Masc|Acc	7	obja	1	1
9	selig	selig	A	ADJD	Pos|	7	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	kon	_	_
12	acht	acht	C	CARD	_	13	attr	_	_
13	Jahre	Jahr	N	NN	Neut|_|Pl	14	grad	_	_
14	später	spät	A	ADJD	_|	15	adv	_	_
15	doch	doch	A	ADV	_	23	adv	_	_
16	noch	noch	A	ADV	_	23	adv	_	_
17	in	in	P	APPR	Dat	23	pp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	19	det	_	_
19	Majorsuniform	Majorsuniform	N	NN	Fem|Dat|Sg	17	pn	_	_
20	in	in	P	APPR	Acc	23	objp	_	_
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	499	499
22	Sarg	Sarg	N	NN	Masc|Acc|Sg	20	pn	499	499
23	gelegt	legen	V	VVPP	_	24	aux	_	_
24	worden	werden	V	VAPP	_	11	aux	_	_
25	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	367	367
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	es	es	P	PPER	3|Sg|Neut|_	7	obja	_	_
5	ausdrücklich	ausdrücklich	A	ADJD	Pos|	7	adv	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	gewünscht	wünschen	V	VVPP	_	3	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	500	500
2	waren	sein	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
3	damals	damals	A	ADV	_	6	adv	_	_
4	unser	unsre	A	PPOSAT	_|_|Sg	6	det	500	500
5	drei	drei	C	CARD	_	6	attr	_	_
6	Lateinschüler	Lateinschüler	N	NN	_|Nom|Sg	2	pred	_	_
7	in	in	P	APPR	_	6	pp	_	_
8	Bernau	Bernau	N	NE	_|_|_	7	pn	508	508
9	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	11	konj	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	11	subj	500	500
3	zu	zu	P	APPR	Dat	11	pp	_	_
4	Ostern	Ostern	N	NN	_|Dat|_	3	pn	_	_
5	und	und	K	KON	_	3	kon	_	_
6	im	in	P	APPRART	Dat	5	cj	_	_
7	Herbst	Herbst	N	NN	Masc|Dat|Sg	6	pn	501	501
8	in	in	P	APPR	Acc	11	pp	_	_
9	die	die	A	ART	Def|_|Acc|Pl	10	det	522	522
10	Ferien	Ferien	N	NN	_|Acc|Pl	8	pn	522	522
11	heimkamen	heimkommen	V	VVFIN	1|Pl|Past|Ind	13	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	mußten	müssen	V	VMFIN	1|Pl|Past|Ind	0	root	_	_
14	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	500	500
15	unsere	unsre	A	PPOSAT	_|_|_	16	det	500	500
16	Zeugnisse	Zeugnis	N	NN	_|_|_	19	obja	_	_
17	im	in	P	APPRART	Dat	19	pp	_	_
18	Pfarrhofe	Pfarrhofe	N	NN	_|Dat|_	17	pn	523	523
19	vorweisen	vorweisen	V	VVINF	_	13	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	denn	denn	K	KON	_	13	kon	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	_	_
23	Herr	Herr	N	NN	Masc|Nom|Sg	27	subj	_	_
24	geistliche	geistlich	A	ADJA	Pos|Masc|Nom|_|_|	25	attr	_	_
25	Rat	Rat	N	NN	Masc|Nom|_	23	app	_	_
26	Hefter	Hefter	N	NN	Masc|Nom|_	25	app	_	_
27	war	sein	V	VAFIN	3|Sg|Past|Ind	21	cj	_	_
28	der	die	A	ART	Def|Masc|Nom|Sg	32	det	_	_
29	gesetzmäßige	gesetzmäßig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	32	attr	_	_
30	und	und	K	KON	_	29	kon	_	_
31	sachverständige	sachverständige	A	ADJA	_|Masc|Nom|Sg|_|_	30	cj	_	_
32	Beurteiler	Beurteiler	N	NN	Masc|Nom|Sg	27	pred	_	_
33	unserer	unsre	A	PPOSAT	Masc|Gen|Pl	34	det	500	500
34	Fortschritte	Fortschritt	N	NN	Masc|Gen|Pl	32	gmod	_	_
35	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	eben	eben	A	ADV	_	2	adv	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
5	milder	mild	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	_
6	Richter	Richter	N	NN	Masc|Nom|Sg	2	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Von	von	P	APPR	Dat	4	pp	_	_
2	einem	eine	A	ART	Indef|_|Dat|Sg	3	det	_	_
3	Dreier	Dreier	N	NN	_|Dat|Sg	1	pn	_	_
4	wußte	wußte	V	VVFIN	3|Sg|_|_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	1	1
6	zu	zu	P	PTKZU	_	7	part	_	_
7	sagen	sagen	V	VVINF	_	4	obji	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	14	konj	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	1	1
11	immerhin	immerhin	A	ADV	_	14	adv	_	_
12	kein	keine	A	PIAT	_|Nom|Sg	13	det	_	_
13	Vierer	Vierer	N	NN	_|Nom|Sg	14	pred	_	_
14	sei	sein	V	VAFIN	3|Sg|Pres|Subj	7	objc	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	14	kon	_	_
17	die	die	A	ART	Def|Fem|Nom|Sg	19	det	_	_
18	zweite	zweit	A	ADJA	_|Fem|Nom|Sg|_|	19	attr	_	_
19	Note	Note	N	NN	Fem|Nom|Sg	20	subj	_	_
20	nötigte	nötigen	V	VVFIN	3|Sg|Past|_	16	cj	_	_
21	ihm	er	P	PPER	3|Sg|_|Dat	20	objd	1	1
22	schon	schon	A	ADV	_	20	adv	_	_
23	Hochachtung	Hochachtung	N	NN	Fem|_|Sg	20	obja	_	_
24	ab	ab	P	PTKVZ	_	20	avz	_	_
25	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	8	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	1	1
3	alles	alle	P	PIS	Neut|Nom|Sg	2	app	_	_
4	geprüft	prüfen	V	VVPP	_	8	aux	_	_
5	und	und	K	KON	_	4	kon	_	_
6	recht	recht	A	ADJD	Pos|	7	adv	_	_
7	befunden	befinden	V	VVPP	_	5	cj	_	_
8	hatte	haben	V	VAFIN	3|Sg|Past|Ind	10	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	lud	laden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	1	1
12	seine	seine	A	PPOSAT	_|_|_	13	det	1	1
13	Studentlein	Studentlein	N	NN	_|_|_	10	obja	_	_
14	für	für	P	APPR	Acc	13	pp	_	_
15	den	die	A	ART	Def|Masc|Acc|Sg	17	det	_	_
16	kommenden	kommend	A	ADJA	Pos|Masc|Acc|Sg|_|_	17	attr	_	_
17	Tag	Tag	N	NN	Masc|Acc|Sg	14	pn	_	_
18	zum	zu	P	APPRART	Dat	10	pp	_	_
19	Essen	Esse	N	NN	_|Dat|_	18	pn	1470	1470
20	ein	ein	P	PTKVZ	_	10	avz	_	_
21	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	2	det	_	_
2	Mahlzeiten	Mahlzeit	N	NN	Fem|Nom|Pl	3	subj	_	_
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	reichlich	reichlich	A	ADJD	Pos|	3	pred	_	_
5	und	und	K	KON	_	4	kon	_	_
6	von	von	P	APPR	_	5	cj	_	_
7	auserlesener	auserlesen	A	ADJA	Pos|Fem|_|Sg|St|	8	attr	659	659
8	Güte	Güte	N	NN	Fem|_|Sg	6	pn	659	659
9	,	,	$	$,	_	0	root	_	_
10	nach	nach	P	APPR	Dat	6	kon	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	13	det	_	_
12	schönen	schön	A	ADJA	Pos|Fem|Dat|Sg|Wk|	13	attr	_	_
13	Tradition	Tradition	N	NN	Fem|Dat|Sg	10	pn	_	_
14	altbayrischer	altbayrisch	A	ADJA	Pos|_|Gen|_|St|	15	attr	_	_
15	Pfarrhöfe	Pfarrhöfe	N	NN	_|Gen|_	13	gmod	_	_
16	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	brave	brav	A	ADJA	Pos|Masc|_|_|_|	5	attr	502	502
5	Leberknödel	Leberknödel	N	NN	Masc|_|_	2	obja	502	502
6	,	,	$	$,	_	0	root	502	502
7	herzhafte	herzhafte	A	ADJA	_|Neut|_|Sg|_	8	attr	502	502
8	Stücke	Stück	N	NN	Neut|_|Sg	5	app	502	502
9	Rindfleisch	Rindfleisch	N	NN	Neut|_|Sg	8	app	502	502
10	,	,	$	$,	_	0	root	_	_
11	auf	auf	P	APPR	Acc	16	objp	_	_
12	die	die	P	PRELS	Masc|Acc|Pl	11	pn	502	502
13	wir	wir	P	PPER	1|Pl|_|Nom	16	subj	_	_
14	den	die	A	ART	Def|Masc|_|_	15	det	_	_
15	Gansbraten	Gansbraten	N	NN	Masc|_|_	16	obja	_	_
16	setzten	setzen	V	VVFIN	1|Pl|Past|_	5	rel	_	_
17	.	.	$	$.	_	0	root	_	_

1	Den	die	A	ART	Def|Masc|Acc|Sg	3	det	_	_
2	herrlichen	herrlich	A	ADJA	Pos|Masc|Acc|Sg|_|	3	attr	_	_
3	Schluß	Schluß	N	NN	Masc|Acc|Sg	4	obja	_	_
4	bildete	bilden	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	allemal	allemal	A	ADV	_	4	adv	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
7	Rahmstrudel	Rahmstrudel	N	NN	Masc|Nom|Sg	4	subj	_	_
8	,	,	$	$,	_	0	root	_	_
9	über	über	P	APPR	_	18	objp	_	_
10	dessen	die	A	PRELAT	Fem|_|Sg	11	det	_	_
11	Bereitung	Bereitung	N	NN	Fem|_|Sg	9	pn	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	14	det	516	516
13	hochwürdige	hochwürdig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	14	attr	516	516
14	Herr	Herr	N	NN	Masc|Nom|Sg	18	subj	516	516
15	eine	eine	A	ART	Indef|Fem|_|Sg	17	det	_	_
16	lehrhafte	lehrhafte	A	ADJA	_|Fem|_|Sg|_	17	attr	_	_
17	Rede	Rede	N	NN	Fem|_|Sg	18	obja	_	_
18	hielt	halten	V	VVFIN	3|Sg|Past|Ind	7	rel	_	_
19	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	1	1
3	unterschied	unterscheiden	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	gewissenhaft	gewissenhaft	A	ADJD	Pos|	3	adv	_	_
5	zwischen	zwischen	P	APPR	Dat	3	objp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	_	_
7	ausgezogenen	ausgezogen	A	ADJA	Pos|Masc|Dat|Sg|Wk|	8	attr	_	_
8	Strudel	Strudel	N	NN	Masc|Dat|Sg	5	pn	_	_
9	und	und	K	KON	_	8	kon	_	_
10	dem	die	A	ART	Def|Masc|Dat|Sg	11	det	_	_
11	Pfannenkuchenstrudel	Pfannenkuchenstrudel	N	NN	Masc|Dat|Sg	9	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	3	kon	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	1	1
15	sagte	sagen	V	VVFIN	3|Sg|Past|_	13	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	31	konj	_	_
18	leider	leider	A	ADV	_	31	adv	_	_
19	die	die	A	ART	Def|Fem|Nom|Sg	20	det	_	_
20	Kunst	Kunst	N	NN	Fem|Nom|Sg	31	subj	_	_
21	,	,	$	$,	_	0	root	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	_	_
23	Teig	Teig	N	NN	Masc|Acc|Sg	28	obja	_	_
24	in	in	P	APPR	Dat	28	pp	_	_
25	rechter	recht	A	ADJA	Pos|Fem|Dat|Sg|St|	26	attr	_	_
26	Weise	Weise	N	NN	Fem|Dat|Sg	24	pn	_	_
27	zu	zu	P	PTKZU	_	28	part	_	_
28	behandeln	behandeln	V	VVINF	_	31	obji	_	_
29	,	,	$	$,	_	0	root	_	_
30	allmählich	allmählich	A	ADJD	Pos|	31	adv	_	_
31	verfalle	verfallen	V	VVFIN	3|Sg|Pres|Subj	15	objc	_	_
32	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	0	root	_	_
2	beendetem	beendet	A	ADJA	Pos|Neut|Dat|Sg|St|	3	attr	1808	1808
3	Mahle	Mahl	N	NN	Neut|Dat|Sg	1	pn	1808	1808
4	,	,	$	$,	_	0	root	_	_
5	wenn	wenn	K	KOUS	_	9	konj	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	_	_
7	Kaffee	Kaffee	N	NN	Masc|Nom|Sg	9	subj	_	_
8	aufgetragen	auftragen	V	VVPP	_	9	aux	_	_
9	war	sein	V	VAFIN	3|Sg|Past|Ind	11	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	11	subj	503	503
13	Cornelia	Cornelia	N	NE	Fem|Nom|Sg	12	app	503	503
14	in	in	P	APPR	Acc	11	objp	_	_
15	das	die	A	ART	Def|Neut|Acc|Sg	16	det	232	232
16	Zimmer	Zimmer	N	NN	Neut|Acc|Sg	14	pn	232	232
17	und	und	K	KON	_	11	kon	_	_
18	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	17	cj	_	_
19	sich	sie	P	PRF	3|_|_	23	obja	_	_
20	von	von	P	APPR	Dat	23	pp	_	_
21	ihrem	ihre	A	PPOSAT	_|Dat|Sg	22	det	503	503
22	Herrn	Herrn	N	NN	_|Dat|Sg	20	pn	_	_
23	nötigen	nötigen	V	VVINF	_	18	obji	_	_
24	,	,	$	$,	_	0	root	_	_
25	Platz	Platz	N	NN	Masc|_|Sg	27	obja	504	504
26	zu	zu	P	PTKZU	_	27	part	_	_
27	nehmen	nehmen	V	VVINF	_	23	obji	_	_
28	.	.	$	$.	_	0	root	_	_

1	Ihr	ihre	A	PPOSAT	Neut|Nom|Sg	3	det	503	503
2	rundes	rund	A	ADJA	Pos|Neut|Nom|Sg|St|	3	attr	505	505
3	Gesicht	Gesicht	N	NN	Neut|Nom|Sg	4	subj	505	505
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	gerötet	gerötet	A	ADJD	_	4	pred	_	_
6	vom	von	P	APPRART	Dat	4	pp	_	_
7	Herdfeuer	Herdfeuer	N	NN	Neut|Dat|Sg	6	pn	_	_
8	und	und	K	KON	_	4	kon	_	_
9	strahlte	strahlen	V	VVFIN	_|Sg|Past|_	8	cj	_	_
10	ungemeines	ungemein	A	ADJA	Pos|Neut|_|Sg|St|	11	attr	_	_
11	Wohlwollen	Wohlwollen	N	NN	Neut|_|Sg	9	obja	_	_
12	aus	aus	P	PTKVZ	_	9	avz	_	_
13	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	505	505
2	wußte	wußte	V	VVFIN	3|_|_|_	0	root	_	_
3	die	die	A	ART	Def|Neut|_|Pl	4	det	_	_
4	Worte	Wort	N	NN	Neut|_|Pl	9	obja	_	_
5	der	die	A	ART	Def|Fem|Gen|Sg	6	det	_	_
6	Bescheidenheit	Bescheidenheit	N	NN	Fem|Gen|Sg	4	gmod	_	_
7	zierlich	zierlich	A	ADJD	Pos|	9	adv	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	setzen	setzen	V	VVINF	_	2	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	wenn	wenn	K	KOUS	_	17	konj	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	_	_
13	Herr	Herr	N	NN	Masc|Nom|Sg	17	subj	_	_
14	Rat	Rat	N	NN	Masc|Nom|Sg	13	app	_	_
15	die	die	A	ART	Def|Fem|_|Sg	16	det	_	_
16	Mahlzeit	Mahlzeit	N	NN	Fem|_|Sg	17	obja	_	_
17	lobte	loben	V	VVFIN	3|Sg|Past|_	9	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	17	kon	_	_
20	allemal	allemal	A	ADV	_	21	adv	_	_
21	beteuerte	beteuern	V	VVFIN	3|Sg|Past|_	19	cj	_	_
22	sie	sie	P	PPER	3|Sg|Fem|Nom	21	subj	503	503
23	,	,	$	$,	_	0	root	_	_
24	es	es	P	PPER	3|Sg|Neut|Nom	25	subj	_	_
25	sei	sein	V	VAFIN	3|Sg|Pres|Subj	21	s	_	_
26	ihr	ihr	P	PPER	_|_|_|_	0	root	503	503
27	nicht	nicht	P	PTKNEG	_	28	adv	_	_
28	alles	alle	P	PIS	_|_|Sg	26	adv	_	_
29	nach	nach	P	APPR	Dat	28	pp	_	_
30	Wunsch	Wunsch	N	NN	Masc|Dat|Sg	29	pn	_	_
31	geraten	geraten	V	VVPP	_	0	root	_	_
32	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	503	503
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	5	part	_	_
5	jeden	jede	P	PIS	_|_|Sg	2	obja	_	_
6	von	von	P	APPR	Dat	5	pp	_	_
7	uns	wir	P	PPER	1|Pl|_|Dat	6	pn	507	507
8	nach	nach	P	APPR	Dat	6	kon	_	_
9	Gesundheitszustand	Gesundheitszustand	N	NN	Masc|Dat|Sg	8	pn	_	_
10	und	und	K	KON	_	9	kon	_	_
11	Befinden	Befinden	N	NN	Neut|Dat|Sg	10	cj	_	_
12	während	während	P	APPR	Gen	2	pp	_	_
13	des	die	A	ART	Def|Neut|Gen|Sg	14	det	506	506
14	Jahres	Jahr	N	NN	Neut|Gen|Sg	12	pn	506	506
15	und	und	K	KON	_	2	kon	_	_
16	wußte	wußte	V	VVFIN	_	15	cj	_	_
17	hier	hier	A	ADV	_	16	adv	_	_
18	ein	eine	A	ART	Indef|Neut|_|Sg	19	det	_	_
19	Tröstliches	Tröstliches	N	NN	Neut|_|Sg	16	obja	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	sagen	sagen	V	VVINF	_	16	obji	_	_
22	,	,	$	$,	_	0	root	_	_
23	wenn	wenn	K	KOUS	_	28	konj	_	_
24	ein	eine	A	ART	Indef|Neut|Nom|Sg	25	det	_	_
25	Zeugnis	Zeugnis	N	NN	Neut|Nom|Sg	28	subj	_	_
26	schlecht	schlecht	A	ADJD	Pos|	27	adv	_	_
27	ausgefallen	ausfallen	V	VVPP	_	28	aux	_	_
28	war	sein	V	VAFIN	3|Sg|Past|Ind	21	neb	_	_
29	,	,	$	$,	_	0	root	_	_
30	und	und	K	KON	_	21	kon	_	_
31	dort	dort	A	ADV	_	34	adv	_	_
32	ihre	ihre	A	PPOSAT	Fem|_|Sg	33	det	503	503
33	Bewunderung	Bewunderung	N	NN	Fem|_|Sg	34	obja	_	_
34	auszudrücken	ausdrücken	V	VVIZU	_	30	cj	_	_
35	,	,	$	$,	_	0	root	_	_
36	falls	falls	K	KOUS	_	41	konj	_	_
37	einer	eine	A	ART	Indef|Fem|_|Sg	39	det	_	_
38	gute	gut	A	ADJA	Pos|_|_|_|_|	39	attr	_	_
39	Noten	Note	N	NN	Fem|Dat|Sg	40	objd	_	_
40	heimgebracht	heimbringen	V	VVPP	_	41	aux	_	_
41	hatte	haben	V	VAFIN	_|Sg|Past|Ind	34	neb	_	_
42	.	.	$	$.	_	0	root	_	_

1	Woraus	Woraus	N	NE	_|Nom|Sg	4	subj	_	_
2	zu	zu	P	PTKZU	_	3	part	_	_
3	schließen	schließen	V	VVINF	_	4	aux	_	_
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	13	konj	_	_
7	auch	auch	A	ADV	_	13	adv	_	_
8	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	13	subj	503	503
9	Cornelia	Cornelia	N	NE	Fem|Nom|Sg	8	app	503	503
10	unserem	unsre	A	PPOSAT	_|Dat|Sg	11	det	507	507
11	Studiengange	Studiengang	N	NN	Fem|Dat|Sg	13	objd	_	_
12	Beachtung	Beachtung	N	NN	Fem|Dat|Sg	11	app	_	_
13	schenkte	schenken	V	VVFIN	3|Sg|Past|_	3	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	2	obja	_	_
2	taten	tun	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	übrigens	übrigens	A	ADV	_	2	adv	_	_
4	viele	viele	A	PIDAT	_|Nom|Pl	5	det	_	_
5	Leute	Leute	N	NN	_|Nom|Pl	2	subj	_	_
6	in	in	P	APPR	_	2	pp	_	_
7	Bernau	Bernau	N	NE	_|_|_	6	pn	508	508
8	;	;	$	$.	_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	24	konj	_	_
11	der	die	A	ART	Def|_|_|_	12	det	_	_
12	beste	gut	A	ADJA	Masc|Nom|Sg	24	subj	_	_
13	von	von	P	APPR	Dat	12	pp	_	_
14	uns	wir	P	PPER	1|Pl|_|Dat	13	pn	1035	1035
15	dreien	drei	C	CARD	_	12	app	1035	1035
16	,	,	$	$,	_	0	root	1035	1035
17	der	die	A	ART	Def|_|_|_	18	det	1035	1035
18	Joseph	Joseph	N	NE	_|_|_	12	app	1035	1035
19	Haslinger	Haslinger	N	NE	_|_|_	18	app	1035	1035
20	,	,	$	$,	_	0	root	_	_
21	wieder	wieder	A	ADV	_	24	adv	_	_
22	einmal	einmal	A	ADV	_	24	adv	_	_
23	Noten	Note	N	NN	_|_|Pl	24	obja	509	509
24	heimbrachte	heimbringen	V	VVFIN	3|Sg|Past|Ind	34	neb	509	509
25	,	,	$	$,	_	0	root	509	509
26	die	die	P	PRELS	_|Nom|Pl	32	subj	509	509
27	uns	wir	P	PPER	1|Pl|_|_	32	obja	507	507
28	recht	recht	A	ADJD	Pos|	32	adv	_	_
29	in	in	P	APPR	_	32	objp	_	_
30	den	die	A	ART	Def|Masc|_|_	31	det	_	_
31	Schatten	Schatten	N	NN	Masc|_|_	29	pn	_	_
32	stellten	stellen	V	VVFIN	3|Pl|Past|_	23	rel	_	_
33	,	,	$	$,	_	0	root	_	_
34	ging	gehen	V	VVFIN	3|Sg|Past|Ind	9	cj	_	_
35	die	die	A	ART	Def|Fem|Nom|Sg	36	det	_	_
36	Kunde	Kunde	N	NN	Fem|Nom|Sg	34	subj	_	_
37	davon	davon	P	PROAV	_	34	pp	_	_
38	im	in	P	APPRART	Dat	34	pp	_	_
39	Markte	Markt	N	NN	Masc|Dat|Sg	38	pn	511	511
40	herum	herum	P	PTKVZ	_	34	avz	_	_
41	,	,	$	$,	_	0	root	_	_
42	und	und	K	KON	_	34	kon	_	_
43	die	die	A	ART	Def|_|Nom|Pl	44	det	_	_
44	Frommen	Fromme	N	NN	_|Nom|Pl	45	subj	_	_
45	freuten	freuen	V	VVFIN	3|Pl|Past|_	42	cj	_	_
46	sich	sie	P	PRF	3|_|_	45	obja	_	_
47	in	in	P	APPR	Dat	45	pp	_	_
48	der	die	A	ART	Def|Fem|Dat|Sg	49	det	510	510
49	Hoffnung	Hoffnung	N	NN	Fem|Dat|Sg	47	pn	510	510
50	,	,	$	$,	_	0	root	_	_
51	daß	daß	K	KOUS	_	58	konj	_	_
52	er	er	P	PPER	3|Sg|Masc|Nom	58	subj	511	511
53	dereinst	dereinst	A	ADV	_	57	adv	_	_
54	ein	eine	A	ART	Indef|Masc|Nom|Sg	55	det	_	_
55	Diener	Diener	N	NN	Masc|Nom|Sg	57	pred	_	_
56	Gottes	Gott	N	NN	Masc|Gen|Sg	57	objg	367	367
57	werden	werden	V	VAINF	_	58	aux	_	_
58	würde	werden	V	VAFIN	3|Sg|Past|Subj	45	objc	_	_
59	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	588	588
2	geistliche	geistlich	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	588	588
3	Rat	Rat	N	NN	Masc|Nom|Sg	5	subj	588	588
4	Hefter	Hefter	N	NN	Masc|Nom|_	3	app	588	588
5	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	sich	sie	P	PRF	3|_|_	5	obja	_	_
7	nicht	nicht	P	PTKNEG	_	5	adv	_	_
8	viel	viel	P	PIS	_|Nom|_	5	pred	_	_
9	aus	aus	P	APPR	Dat	8	pp	_	_
