1	Wos	Wos	N	NE	_	2	obja	686	686
9	n	n	N	NN	Neut|_|Sg	7	app	_	_
10	,	,	$	$,	_	0	root	_	_
11	was	was	P	PRELS	Neut|_|Sg	14	obja	_	_
12	d	d	N	NN	_|Dat|_	14	objd	168	168
13	'	'	$	$(	_	0	root	_	_
14	magst	mögen	V	VMFIN	2|Sg|Pres|Ind	9	rel	_	_
15	!	!	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	2	subj	_	_
2	pfeif	pfeif	V	VVFIN	_|Sg|_|_	0	root	_	_
3	da	da	A	ADV	_	2	adv	_	_
4	denn	denn	A	ADV	_	2	adv	_	_
5	i	i	A	ADJD	_	2	adv	_	_
6	auf	auf	P	APPR	_	2	pp	_	_
7	det	det	A	ADJA	_	8	attr	_	_
8	Büachi	Büachi	N	NN	_|_|_	6	pn	_	_
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Oho	Oho	N	NE	_	0	root	1017	1017
3	...	...	$	$.	_	0	root	_	_
4	ho	ho	F	FM	_	0	root	_	_
5	...	...	$	$.	_	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	3	adv	_	_
2	net	net	A	ADV	_	3	adv	_	_
3	glei	glei	A	ADJD	_	4	adv	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	grimmi	grimmi	A	ADJD	_	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	_|Nom|Sg	0	root	0	0
2	tuast	tuast	F	FM	_	1	app	_	_
3	scho	scho	F	FM	_	2	app	_	_
4	,	,	$	$,	_	0	root	_	_
5	als	als	K	KOKOM	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	11	konj	_	_
7	i	i	A	ADJD	_	11	adv	_	_
8	um	um	P	APPR	_	11	pp	_	_
9	an	an	P	APPR	_	8	pp	_	_
10	Schmu	Schmu	N	NN	Masc|_|Sg	9	pn	_	_
11	kam	kommen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
12	zu	zu	P	APPR	Dat	11	objp	_	_
13	dir	du	P	PPER	2|Sg|_|Dat	12	pn	172	172
14	.	.	$	$.	_	0	root	_	_

1	Ma	Ma	N	NE	_|Nom|Sg	2	subj	170	170
2	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ja	ja	A	ADV	_	2	adv	_	_
4	bloß	bloß	A	ADV	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	weil	weil	K	KOUS	_	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	s	s	P	PPER	_	0	root	170	170
9	wahr	wahr	A	ADJD	Pos|	0	root	_	_
10	is	is	F	FM	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	net	net	A	ADV	_	13	adv	_	_
13	wahr	wahr	A	ADJD	Pos|	0	root	_	_
14	?	?	$	$.	_	0	root	_	_

1	Koan	Koan	N	NE	Masc|Nom|Sg	3	subj	_	_
2	Schmu	Schmu	N	NN	Masc|Nom|Sg	1	app	_	_
3	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	i	i	A	ADJD	_	3	adv	_	_
5	ja	ja	A	ADV	_	3	adv	_	_
6	net	net	A	ADV	_	3	adv	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

