1	Sie	sie	P	PPER	3|_|_|_	0	root	667	667
22	Aug	Aug	N	NE	Fem|Dat|Sg	21	app	_	_
23	in	in	P	APPR	_	13	pp	_	_
24	Auge	Auge	N	NN	Neut|_|Sg	23	pn	_	_
25	mit	mit	P	APPR	Dat	13	pp	_	_
26	dem	die	A	ART	Def|Masc|Dat|Sg	27	det	49	49
27	Bruder	Bruder	N	NN	Masc|Dat|Sg	25	pn	49	49
28	Heinrich	Heinrich	N	NE	_|Dat|Sg	27	app	49	49
29	von	von	P	APPR	_	27	pp	_	_
30	Herstelle	Herstelle	N	NE	Neut|_|Sg	29	pn	29	29
31	,	,	$	$,	_	0	root	_	_
32	und	und	K	KON	_	13	kon	_	_
33	der	die	A	ART	Def|Masc|Nom|Sg	34	det	680	680
34	Bruder	Bruder	N	NN	Masc|Nom|Sg	35	subj	680	680
35	packte	packen	V	VVFIN	3|Sg|Past|_	32	cj	_	_
36	sofort	sofort	A	ADV	_	35	adv	_	_
37	zu	zu	P	PTKVZ	_	35	avz	_	_
38	,	,	$	$,	_	0	root	_	_
39	griff	greifen	V	VVFIN	_|Sg|Past|Ind	35	kon	_	_
40	ihm	er	P	PPER	3|Sg|_|Dat	39	objd	680	680
41	an	an	P	APPR	Acc	39	pp	_	_
42	die	die	A	ART	Def|Fem|Acc|Sg	43	det	528	528
43	Brust	Brust	N	NN	Fem|Acc|Sg	41	pn	528	528
44	und	und	K	KON	_	39	kon	_	_
45	donnerte	donnern	V	VVFIN	_|Sg|Past|_	44	cj	_	_
46	dem	die	A	ART	Def|Masc|Dat|Sg	47	det	245	245
47	Hauptmann	Hauptmann	N	NN	Masc|Dat|Sg	45	objd	245	245
48	Meyer	Meyer	N	NE	_|Dat|Sg	47	app	245	245
49	zu	zu	P	PTKVZ	_	45	avz	_	_
50	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Fort	Fort	N	NN	Neut|_|Sg	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	dem	die	P	PDS	_|Dat|Sg	3	pn	_	_
5	!	!	$	$.	_	0	root	_	_

1	Ins	in	P	APPRART	Acc	0	root	_	_
2	Gewahrsam	Gewahrsam	N	NN	_|Acc|_	1	pn	_	_
3	!	!	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
3	in	in	P	APPR	Dat	6	pp	_	_
4	dieser	diese	A	PDAT	Fem|Dat|Sg	5	det	217	217
5	Nacht	Nacht	N	NN	Fem|Dat|Sg	3	pn	217	217
6	mitgewürfelt	mitwürfeln	V	VVPP	_	7	aux	_	_
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	'	'	$	$(	_	0	root	_	_
12	s	s	P	PPER	_|_|_|Nom	10	pred	217	217
13	dieser	diese	P	PDS	Masc|Nom|Sg	10	subj	_	_
14	!	!	$	$.	_	0	root	_	_

1	Ins	in	P	APPRART	Acc	0	root	_	_
2	Prison	Prison	N	NN	_|Acc|_	1	pn	681	681
3	mit	mit	P	APPR	Dat	2	pp	681	681
4	ihm	er	P	PPER	3|Sg|_|Dat	3	pn	681	681
5	!	!	$	$.	_	0	root	681)	681)
6	«	«	$	$(	_	0	root		

1	»	»	$	$(	_	0	root	_	_
2	Holla	Holla	N	NE	_	0	root	507	507
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	113	113
7	Student	Student	N	NN	Masc|Nom|Sg	5	subj	113	113
8	lachend	lachen	A	ADJD	_|<PPRES	5	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	wenn	wenn	K	KOUS	_	0	root	_	_
12	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
13	in	in	P	APPR	Dat	24	pp	_	_
14	dieser	diese	A	PDAT	Fem|Dat|Sg	15	det	217	217
15	Nacht	Nacht	N	NN	Fem|Dat|Sg	13	pn	217	217
16	in	in	P	APPR	_	24	pp	_	_
17	Höxter	Höxter	N	NE	Neut|_|Sg	16	pn	10	10
18	auf	auf	P	APPR	_	24	objp	_	_
19	Ordnung	Ordnung	N	NN	Fem|_|Sg	18	pn	_	_
20	,	,	$	$,	_	0	root	_	_
21	Sitte	Sitte	N	NN	Fem|_|Sg	19	kon	_	_
22	und	und	K	KON	_	21	kon	_	_
23	Tugend	Tugend	N	NN	Fem|_|Sg	22	cj	_	_
24	geachtet	achten	V	VVPP	_	25	aux	_	_
25	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
29	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	113	113
30	'	'	$	$(	_	0	root	_	_
31	s	s	P	PPER	_|_|_|Nom	28	pred	113	113
32	!	!	$	$.	_	0	root	_	_

1	Meyer	Meyer	N	NE	_|_|Sg	4	vok	245	245
2	,	,	$	$,	_	0	root	_	_
3	Ihr	ihr	P	PPER	2|Pl|_|Nom	4	subj	682	682
4	kennt	kennen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
5	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	113	113
6	und	und	K	KON	_	4	kon	_	_
7	wißt	wißt	V	VVFIN	_	6	cj	_	_
8	die	die	A	ART	Def|Fem|_|Sg	9	det	_	_
9	Unschuld	Unschuld	N	NN	Fem|_|Sg	11	obja	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	ästimieren	ästimieren	V	VVINF	_	7	obji	_	_
12	.	.	$	$.	_	0	root	_	_

1	Nehmt	nehmen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
2	lieber	lieb	A	ADJD	Comp|	1	adv	_	_
3	meine	meine	A	PPOSAT	Fem|_|Sg	4	det	113	113
4	Hülfe	Hülfe	N	NN	Fem|_|Sg	1	obja	_	_
5	an	an	P	PTKVZ	_	1	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	domine	domin	A	ADJA	Pos|_|_|_|_|	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	-	-	$	$(	_	0	root	_	_
10	alleine	alleine	A	ADV	_	11	adv	_	_
11	kriegt	kriegen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
12	Ihr	ihr	P	PPER	2|Pl|_|Nom	11	subj	682	682
13	die	die	A	ART	Def|Masc|_|Pl	14	det	_	_
14	Schlingel	Schlingel	N	NN	Masc|_|Pl	11	obja	_	_
15	doch	doch	A	ADV	_	11	adv	_	_
16	nicht	nicht	P	PTKNEG	_	11	adv	_	_
17	herunter	herunter	A	ADV	_	11	adv	_	_
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Prioren	Prioren	N	NE	Masc|Nom|Sg	9	subj	601	601
2	,	,	$	$,	_	0	root	601	601
3	Propst	Propst	N	NN	Masc|Nom|Sg	1	kon	601	601
4	und	und	K	KON	_	3	kon	978)	978)
5	sämtlicher	sämtlich	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	978)	978)
6	Zuzug	Zuzug	N	NN	Masc|Nom|Sg	4	cj	978)	978)
7	von	von	P	APPR	_	6	pp	978)	978)
8	Corvey	Corvey	N	NE	_|_|_	7	pn	19	19
9	sahen	sehen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
10	zweifelnd	zweifeln	A	ADJD	_|<PPRES	9	adv	_	_
11	beim	bei	P	APPRART	Dat	9	pp	_	_
12	roten	rot	A	ADJA	Pos|Masc|Dat|Sg|Wk|	13	attr	958	958
13	Schein	Schein	N	NN	Masc|Dat|Sg	11	pn	958	958
14	der	die	A	ART	Def|Fem|Gen|Sg	15	det	696	696
15	Feuersbrunst	Feuersbrunst	N	NN	Fem|Gen|Sg	13	gmod	696	696
16	;	;	$	$.	_	0	root	_	_
17	doch	doch	K	KON	_	21	koord	_	_
18	der	die	A	ART	Def|Masc|Nom|Sg	19	det	245	245
19	Hauptmann	Hauptmann	N	NN	Masc|Nom|Sg	21	subj	245	245
20	Meyer	Meyer	N	NE	_|Nom|Sg	19	app	245	245
21	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	sich	sie	P	PRF	3|_|_	0	root	_	_
24	hinterm	hinter	P	APPRART	Dat	0	root	_	_
25	Ohr	Ohr	N	NN	Neut|Dat|Sg	24	pn	_	_
26	krauend	krauend	N	NE	Neut|Dat|Sg	25	app	_	_
27	:	\:	$	$.	_	0	root	_	_
28	»	»	$	$(	_	0	root	_	_
29	Was	was	P	PWS	Neut|_|Sg	31	obja	_	_
30	ich	ich	P	PPER	1|Sg|_|Nom	32	subj	113	113
31	sagen	sagen	V	VVINF	_	32	aux	_	_
32	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	34	objc	_	_
33	,	,	$	$,	_	0	root	_	_
34	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	34	subj	113	113
36	nicht	nicht	P	PTKNEG	_	34	adv	_	_
37	;	;	$	$.	_	0	root	_	_
38	aber	aber	K	KON	_	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	ehrwürdige	ehrwürdig	A	ADJA	Pos|Masc|_|Pl|St|	41	attr	178	178
41	Herren	Herr	N	NN	Masc|_|Pl	0	root	178	178
42	,	,	$	$,	_	0	root	_	_
43	ich	ich	P	PPER	1|Sg|_|Nom	44	subj	113	113
44	kenne	kennen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
45	ihn	er	P	PPER	3|Sg|Masc|Acc	44	obja	245	245
46	freilich	freilich	A	ADV	_	44	adv	_	_
47	,	,	$	$,	_	0	root	_	_
48	und	und	K	KON	_	0	root	_	_
49	das	die	A	ART	Def|Neut|_|Sg	50	det	_	_
50	Nutzbarste	Nutzbarste	N	NN	Neut|_|Sg	48	cj	_	_
51	wär	wär	F	FM	Neut|_|Sg	50	app	_	_
52	'	'	$	$(	_	0	root	_	_
53	s	s	P	PPER	_	0	root	507	507
54	freilich	freilich	A	ADV	_	53	adv	_	_
55	,	,	$	$,	_	0	root	_	_
56	wir	wir	P	PPER	1|Pl|_|Nom	57	subj	683	683
57	rollierten	rollierten	V	VVFIN	1|Pl|_|_	0	root	_	_
58	ihn	er	P	PPER	3|Sg|Masc|Acc	57	obja	245	245
59	ein	ein	P	PTKVZ	_	57	avz	_	_
60	in	in	P	APPR	Acc	57	pp	_	_
61	unsere	unsre	A	PPOSAT	_|Acc|_	62	det	683	683
62	Musterrolle	Musterrolle	N	NN	_|Acc|_	60	pn	_	_
63	.	.	$	$.	_	0	root	_	_
64	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dann	dann	A	ADV	_	3	adv	_	_
3	vorwärts	vorwärts	A	ADV	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	und	und	K	KON	_	0	root	_	_
6	Sturm	Sturm	N	NN	Masc|_|Sg	5	cj	368	368
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	kommandierte	kommandieren	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	43	43
11	Bruder	Bruder	N	NN	Masc|Nom|Sg	9	subj	43	43
12	Henricus	Henricus	N	NE	Masc|Nom|Sg	11	app	43	43
13	,	,	$	$,	_	0	root	_	_
14	seinen	seine	A	PPOSAT	Masc|_|Sg	15	det	43	43
15	Flamberg	Flamberg	N	NN	Masc|_|Sg	16	obja	_	_
16	erhebend	erheben	A	ADJD	_|<PPRES	0	root	_	_
17	;	;	$	$.	_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	mit	mit	P	APPR	Dat	18	cj	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
21	linken	link	A	ADJA	Pos|Fem|Dat|Sg|Wk|	22	attr	_	_
22	Schulter	Schulter	N	NN	Fem|Dat|Sg	19	pn	_	_
23	voran	voran	P	PTKVZ	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	Piken	Pike	N	NN	_|_|_	33	obja	_	_
26	,	,	$	$,	_	0	root	_	_
27	Hellebarden	Hellebarde	N	NN	_|_|_	25	kon	_	_
28	,	,	$	$,	_	0	root	_	_
29	Halbpiken	Halbpike	N	NN	_|_|_	27	kon	_	_
30	und	und	K	KON	_	29	kon	_	_
31	hagebüchene	hagebüchene	A	ADJA	_|Masc|_|_|_	32	attr	_	_
32	Knüppel	Knüppel	N	NN	Masc|_|_	30	cj	_	_
33	vorgestreckt	vorstrecken	V	VVPP	_	0	root	_	_
34	und	und	K	KON	_	0	root	_	_
35	in	in	P	APPR	Dat	34	cj	_	_
36	der	die	A	ART	Def|Fem|Dat|Sg	37	det	684	684
37	Luft	Luft	N	NN	Fem|Dat|Sg	35	pn	684	684
38	,	,	$	$,	_	0	root	_	_
39	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
40	sich	sie	P	PRF	3|_|_	39	obja	_	_
41	die	die	A	ART	Def|Fem|Nom|Sg	43	det	686	686
42	bewaffnete	bewaffnet	A	ADJA	Pos|Fem|Nom|Sg|_|	43	attr	686	686
43	Macht	Macht	N	NN	Fem|Nom|Sg	39	subj	686	686
44	von	von	P	APPR	_	43	pp	686	686
45	Corvey	Corvey	N	NE	Neut|_|Sg	44	pn	19	19
46	auf	auf	P	APPR	Acc	44	kon	19	19
47	die	die	A	ART	Def|_|Acc|_	48	det	685	685
48	Huxarienses	Huxarienses	N	NN	_|Acc|_	46	pn	685	685
49	,	,	$	$,	_	0	root	_	_
50	um	um	K	KOUI	_	0	root	_	_
51	den	die	A	ART	Def|Masc|_|_	52	det	_	_
52	Schutzjuden	Schutzjude	N	NN	Masc|_|_	0	root	_	_
53	des	die	A	ART	Def|Masc|Gen|Sg	54	det	_	_
54	Stiftes	Stift	N	NN	Masc|Gen|Sg	52	gmod	_	_
55	wenigstens	wenigstens	A	ADV	_	54	adv	_	_
56	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
57	noch	noch	A	ADV	_	59	adv	_	_
58	zu	zu	P	PTKZU	_	59	part	_	_
59	retten	retten	V	VVINF	_	0	root	_	_
60	,	,	$	$,	_	0	root	_	_
61	was	was	P	PRELS	Neut|Nom|Sg	67	subj	685	685
62	von	von	P	APPR	Dat	67	pp	_	_
63	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	64	det	686	686
64	Leben	Leben	N	NN	Neut|Dat|Sg	62	pn	_	_
65	noch	noch	A	ADV	_	67	adv	_	_
66	übriggeblieben	übriggeblieben	A	ADJD	Pos|	67	pred	_	_
67	war	sein	V	VAFIN	3|Sg|Past|Ind	45	rel	_	_
68	.	.	$	$.	_	0	root	_	_

1	Zwei	zwei	C	CARD	_	3	attr	_	_
2	nackte	nackt	A	ADJA	Pos|Neut|_|Pl|St|	3	attr	_	_
3	Kinder	Kind	N	NN	Neut|_|Pl	4	obja	_	_
4	trug	tragen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	Lambert	Lambert	N	NE	_|Nom|Sg	4	subj	125	125
6	Tewes	Tewes	N	NE	_|Nom|Sg	5	app	125	125
7	aus	aus	P	APPR	Dat	4	pp	_	_
8	dem	die	A	ART	Def|Neut|Dat|Sg	10	det	_	_
9	brennenden	brennend	A	ADJA	Pos|Neut|Dat|Sg|Wk|<PPRES	10	attr	_	_
10	Hause	Haus	N	NN	Neut|Dat|Sg	7	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	die	die	A	ART	Def|_|_|_	13	det	284	284
13	Siphra	Siphra	N	NN	_|_|_	14	obja	284	284
14	errettete	erretten	V	VVFIN	3|Sg|Past|_	4	kon	_	_
15	vor	vor	P	APPR	Dat	14	pp	_	_
16	weiterer	weit	A	ADJA	Comp|Fem|Dat|Sg|St|	17	attr	_	_
17	Unbill	Unbill	N	NN	Fem|Dat|Sg	15	pn	_	_
18	der	die	A	ART	Def|Masc|Nom|Sg	19	det	49	49
19	Bruder	Bruder	N	NN	Masc|Nom|Sg	14	subj	49	49
20	Heinrich	Heinrich	N	NE	_|Nom|Sg	19	app	49	49
21	;	;	$	$.	_	0	root	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	687	687
23	Freund	Freund	N	NN	Masc|Acc|Sg	0	root	687	687
24	Säuberlich	säuberlich	A	ADJD	Pos|	25	adv	_	_
25	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
26	der	die	A	ART	Def|Masc|Nom|Sg	27	det	245	245
27	Hauptmann	Hauptmann	N	NN	Masc|Nom|Sg	25	subj	245	245
28	Meyer	Meyer	N	NE	_|Nom|Sg	27	app	245	245
29	mit	mit	P	APPR	Dat	25	pp	_	_
30	Hülfe	Hülfe	N	NN	Fem|Dat|Sg	29	pn	_	_
31	des	die	A	ART	Def|Masc|Gen|Sg	32	det	114	114
32	Korporals	Korporal	N	NN	Masc|Gen|Sg	30	gmod	114	114
33	Polhenne	Polhenne	N	NN	Fem|_|Sg	25	obja	666	666
34	beim	bei	P	APPRART	Dat	25	pp	_	_
35	Kragen	Kragen	N	NN	Masc|Dat|_	34	pn	688	688
36	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	178	178
2	Herren	Herr	N	NN	Masc|Nom|Pl	8	subj	178	178
3	von	von	P	APPR	_	2	pp	178	178
4	Metternich	Metternich	N	NN	Neut|_|_	3	pn	178	178
5	und	und	K	KON	_	3	kon	476)	476)
6	von	von	P	APPR	_	5	cj	476)	476)
7	Zitzwitz	Zitzwitz	N	NE	_|_|_	6	pn	373	373
8	stellten	stellen	V	VVFIN	3|Pl|Past|_	0	root	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	ritterlich	ritterlich	A	ADJD	Pos|	8	adv	_	_
11	und	und	K	KON	_	0	root	_	_
12	trieben	treiben	V	VVFIN	3|Pl|Past|_	0	root	_	_
13	jeglichen	jegliche	A	PIDAT	_|Nom|Pl	14	det	19	19
14	Corvey	Corvey	N	NN	_|Nom|Pl	12	subj	19	19
15	'	'	$	$(	_	0	root	_	_
16	schen	schen	A	ADJA	_|_|_|_|_	17	attr	_	_
17	Hintersassen	Hintersasse	N	NN	_|_|_	12	obja	_	_
18	,	,	$	$,	_	0	root	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	689	689
20	Lust	Lust	N	NN	Fem|Dat|Sg	21	objd	689	689
21	bezeigte	bezeigen	V	VVFIN	_|Sg|Past|_	12	kon	_	_
22	,	,	$	$,	_	0	root	_	_
23	sich	sie	P	PRF	3|_|_	27	obja	_	_
24	nach	nach	P	APPR	Dat	27	pp	_	_
25	Hause	Haus	N	NN	Neut|Dat|Sg	24	pn	78	78
26	zu	zu	P	PTKZU	_	27	part	_	_
27	schleichen	schleichen	V	VVINF	_	21	subjc	_	_
28	,	,	$	$,	_	0	root	_	_
29	mutig	mutig	A	ADJD	Pos|	0	root	_	_
30	in	in	P	APPR	Acc	29	pp	_	_
31	die	die	A	ART	Def|Fem|Acc|Sg	32	det	690	690
32	Schlacht	Schlacht	N	NN	Fem|Acc|Sg	30	pn	690	690
33	zurück	zurück	P	PTKVZ	_	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	überhaupt	überhaupt	A	ADV	_	2	adv	_	_
4	jetzt	jetzt	A	ADV	_	2	adv	_	_
5	die	die	A	ART	Def|Fem|Nom|Pl	7	det	_	_
6	ersten	erst	A	ADJA	_|Fem|Nom|Pl|Wk|	7	attr	_	_
7	Regungen	Regung	N	NN	Fem|Nom|Pl	2	subj	_	_
8	der	die	A	ART	Def|Fem|Gen|Sg	9	det	_	_
9	Besinnung	Besinnung	N	NN	Fem|Gen|Sg	7	gmod	_	_
10	in	in	P	APPR	Dat	2	pp	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	691	691
12	Bevölkerung	Bevölkerung	N	NN	Fem|Dat|Sg	10	pn	691	691
13	wieder	wieder	A	ADV	_	2	adv	_	_
14	zum	zu	P	APPRART	Dat	2	objp	_	_
15	Vorschein	Vorschein	N	NN	Masc|Dat|Sg	14	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	2	kon	_	_
18	Höxter	Höxter	N	NE	Neut|Nom|Sg	19	subj	10	10
19	fing	fangen	V	VVFIN	3|Sg|Past|Ind	17	cj	_	_
20	an	an	P	PTKVZ	_	19	avz	_	_
21	,	,	$	$,	_	0	root	_	_
22	sich	sie	P	PRF	3|_|_	24	obja	_	_
23	zu	zu	P	PTKZU	_	24	part	_	_
24	schämen	schämen	V	VVINF	_	19	obji	_	_
25	.	.	$	$.	_	0	root	_	_

1	Bürgermeister	Bürgermeister	N	NN	Masc|Nom|Pl	7	subj	226	226
2	Thönis	Thönis	N	NE	Masc|Nom|Pl	1	app	226	226
3	Merz	Merz	N	NE	Masc|Nom|Pl	2	app	226	226
4	und	und	K	KON	_	1	kon	_	_
5	sein	seine	A	PPOSAT	Masc|Nom|Sg	6	det	226	226
6	Rat	Rat	N	NN	Masc|Nom|Sg	4	cj	_	_
7	fingen	fangen	V	VVFIN	3|Pl|Past|_	0	root	_	_
8	an	an	P	PTKVZ	_	7	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	ihrerseits	ihrerseits	A	ADV	_	11	adv	_	_
11	einzugreifen	eingreifen	V	VVIZU	_	7	obji	_	_
12	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	692	692
2	Mordbrenner	Mordbrenner	N	NN	Masc|Nom|Pl	5	subj	692	692
3	und	und	K	KON	_	2	kon	_	_
4	Plünderer	Plünderer	N	NN	Masc|Nom|_	3	cj	_	_
5	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
6	überwältigt	überwältigen	V	VVPP	_	5	aux	_	_
7	oder	oder	K	KON	_	5	kon	_	_
8	flohen	fliehen	V	VVFIN	_|Pl|Past|Ind	7	cj	_	_
9	nach	nach	P	APPR	Dat	8	pp	_	_
10	allen	alle	A	PIDAT	Fem|Dat|Pl	11	det	_	_
11	Seiten	Seite	N	NN	Fem|Dat|Pl	9	pn	_	_
12	;	;	$	$.	_	0	root	_	_
13	es	es	P	PPER	3|Sg|Neut|_	14	expl	_	_
14	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	Raum	Raum	N	NN	Masc|Nom|Sg	14	subj	693	693
16	in	in	P	APPR	Dat	14	pp	_	_
17	der	die	A	ART	Def|Fem|Dat|Sg	18	det	292	292
18	Gasse	Gasse	N	NN	Fem|Dat|Sg	16	pn	292	292
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	16	kon	_	_
21	da	da	A	ADV	_	22	adv	_	_
22	jetzt	jetzt	A	ADV	_	20	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	gegen	gegen	P	APPR	Acc	14	pp	_	_
25	Mitternacht	Mitternacht	N	NN	Fem|Acc|Sg	24	pn	694	694
26	,	,	$	$,	_	0	root	_	_
27	der	die	A	ART	Def|Masc|Nom|Sg	28	det	146	146
28	Wind	Wind	N	NN	Masc|Nom|Sg	30	subj	146	146
29	sich	sie	P	PRF	3|_|_	30	obja	_	_
30	legte	legen	V	VVFIN	3|Sg|Past|_	14	kon	_	_
31	,	,	$	$,	_	0	root	_	_
32	so	so	A	ADV	_	33	adv	_	_
33	brannte	brennen	V	VVFIN	3|Sg|Past|Ind	30	kon	_	_
34	das	die	A	ART	Def|Neut|Nom|Sg	35	det	641	641
35	Haus	Haus	N	NN	Neut|Nom|Sg	33	subj	641	641
36	des	die	A	ART	Def|_|Gen|Sg	37	det	279	279
37	Meister	Meister	N	NN	_|Gen|Sg	35	gmod	279	279
38	Samuel	Samuel	N	NE	Masc|_|Sg	37	app	279	279
39	ruhig	ruhig	A	ADJD	Pos|	33	adv	_	_
40	und	und	K	KON	_	39	kon	_	_
41	ohne	ohne	P	APPR	Acc	40	cj	_	_
42	weitere	weit	A	ADJA	Comp|Fem|Acc|Sg|_|	43	attr	_	_
43	Gefahr	Gefahr	N	NN	Fem|Acc|Sg	41	pn	_	_
44	nieder	nieder	P	PTKVZ	_	33	avz	_	_
45	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
4	brennen	brennen	V	VVINF	_	2	obji	_	_
5	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Acc	15	pp	_	_
2	die	die	A	ART	Def|Fem|Acc|Sg	4	det	_	_
3	wollene	wollen	A	ADJA	Pos|Fem|Acc|Sg|_|	4	attr	_	_
4	Decke	Decke	N	NN	Fem|Acc|Sg	1	pn	_	_
5	vom	von	P	APPRART	Dat	4	pp	_	_
6	letzten	letzte	A	ADJA	Pos|Neut|Dat|Sg|Wk|	7	attr	_	_
7	Bett	Bett	N	NN	Neut|Dat|Sg	5	pn	_	_
8	des	die	A	ART	Def|Masc|Gen|Sg	9	det	695	695
9	Schwestersohnes	Schwestersohn	N	NN	Masc|Gen|Sg	7	gmod	695	695
10	zu	zu	P	APPR	Dat	5	kon	_	_
11	Gronau	Gronau	N	NE	_|Dat|Sg	10	pn	300	300
12	im	in	P	APPRART	Dat	15	pp	_	_
13	Fürstentum	Fürstentum	N	NN	Neut|Dat|Sg	12	pn	832	832
14	Hildesheim	Hildesheim	N	NE	Neut|Dat|Sg	13	app	832	832
15	gewickelt	wickeln	V	VVPP	_	17	neb	_	_
16	,	,	$	$,	_	0	root	_	_
17	hatten	haben	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
18	währenddem	währenddem	A	ADV	_	27	adv	_	_
19	die	die	A	ART	Def|Fem|Nom|Sg	20	det	139	139
20	Kröppel-Leah	Kröppel-Leah	N	NE	Fem|Nom|Sg	17	subj	139	139
21	und	und	K	KON	_	20	kon	_	_
22	Simeath	Simeath	N	NN	Fem|Nom|Sg	21	cj	289	289
23	mit	mit	P	APPR	Dat	27	pp	_	_
24	Schauder	Schauder	N	NE	_|Dat|_	23	pn	_	_
25	und	und	K	KON	_	24	kon	_	_
26	Schrecken	Schreck	N	NN	_|Dat|_	25	cj	_	_
27	gehorcht	gehorchen	V	VVPP	_	17	aux	_	_
28	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	697	697
2	rote	rot	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	697	697
3	Schein	Schein	N	NN	Masc|Nom|Sg	17	subj	697	697
4	der	die	A	ART	Def|Fem|Gen|Sg	5	det	696	696
5	Feuersbrunst	Feuersbrunst	N	NN	Fem|Gen|Sg	3	gmod	696	696
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PRELS	Masc|Nom|Sg	15	subj	697	697
8	in	in	P	APPR	Acc	15	objp	_	_
9	die	die	A	ART	Def|Fem|Acc|Pl	11	det	698	698
