1	Halt	Halt	N	NN	Masc|_|Sg	0	root	871	871
65	man	man	P	PIS	_|Nom|Sg	62	kon	436	436
66	ihm	er	P	PPER	3|Sg|_|Dat	67	objd	435	435
67	gab	geben	V	VVFIN	_|Sg|Past|Ind	52	s	_	_
68	,	,	$	$,	_	0	root	_	_
69	instand	instand	A	ADV	_	71	adv	_	_
70	zu	zu	P	PTKZU	_	71	part	_	_
71	setzen	setzen	V	VVINF	_	67	obji	_	_
72	,	,	$	$,	_	0	root	_	_
73	daß	daß	K	KOUS	_	77	konj	_	_
74	die	die	A	ART	Def|Fem|Nom|Sg	75	det	426	426
75	Luise	Luise	N	NE	Fem|Nom|Sg	77	subj	426	426
76	nachfolgen	nachfolgen	V	VVINF	_	77	aux	_	_
77	könne	können	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
78	.	.	$	$.	_	0	root	_	_

1	War	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	435	435
3	damals	damals	A	ADV	_	1	adv	_	_
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	daheim	daheim	A	ADV	_	1	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	sondern	sondern	K	KON	_	5	kon	_	_
8	im	in	P	APPRART	Dat	7	cj	_	_
9	fremden	fremd	A	ADJA	Pos|Neut|Dat|Sg|Wk|	10	attr	_	_
10	Franzosenland	Franzosenland	N	NN	Neut|Dat|Sg	8	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	wo	wo	P	PWAV	_	20	adv	_	_
13	das	die	A	ART	Def|Neut|Nom|Sg	14	det	_	_
14	Volk	Volk	N	NN	Neut|Nom|Sg	21	subj	_	_
15	der	die	A	ART	Def|Fem|Gen|Sg	16	det	_	_
16	Plackerei	Plackerei	N	NN	Fem|Gen|Sg	14	gmod	_	_
17	und	und	K	KON	_	16	kon	_	_
18	Adelswirtschaft	Adelswirtschaft	N	NN	Fem|Gen|Sg	17	cj	_	_
19	müde	müde	A	ADJD	Pos|	20	pred	_	_
20	geworden	werden	V	VAPP	_	21	aux	_	_
21	war	sein	V	VAFIN	3|Sg|Past|Ind	1	objc	_	_
22	und	und	K	KON	_	21	kon	_	_
23	reinen	rein	A	ADJA	Pos|Masc|_|Sg|_|	24	attr	_	_
24	Tisch	Tisch	N	NN	Masc|_|Sg	25	obja	_	_
25	machte	machen	V	VVFIN	_|Sg|Past|_	22	cj	_	_
26	;	;	$	$.	_	0	root	_	_
27	schlug	schlagen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	27	subj	435	435
29	mich	ich	P	PRF	1|Sg|Acc	27	obja	_	_
30	herum	herum	A	ADV	_	27	adv	_	_
31	in	in	P	APPR	Dat	27	pp	_	_
32	der	die	A	ART	Def|Fem|Dat|Sg	33	det	_	_
33	Champagne	Champagne	N	NN	Fem|Dat|Sg	31	pn	_	_
34	in	in	P	APPR	Dat	27	pp	_	_
35	dem	die	A	ART	Def|_|Dat|Sg	36	det	_	_
36	Regiment	Regiment	N	NN	_|Dat|Sg	34	pn	_	_
37	Weimar-Kürassiere	Weimar-Kürassier	N	NN	Masc|_|Pl	36	app	_	_
38	,	,	$	$,	_	0	root	_	_
39	bis	bis	K	KOUS	_	50	konj	_	_
40	der	die	A	ART	Def|Masc|Nom|Sg	41	det	462	462
41	Herzog	Herzog	N	NN	Masc|Nom|Sg	50	subj	462	462
42	von	von	P	APPR	Dat	41	pp	462	462
43	Braunschweig	Braunschweig	N	NE	Neut|Dat|Sg	42	pn	462	462
44	und	und	K	KON	_	41	kon	_	_
45	die	die	A	ART	Def|Masc|Nom|Pl	46	det	_	_
46	Preußen	Preuße	N	NN	Masc|Nom|Pl	44	cj	_	_
47	und	und	K	KON	_	46	kon	_	_
48	alle	alle	P	PIS	_|Nom|_	47	cj	_	_
49	retirieren	retirieren	V	VVINF	_	50	aux	_	_
50	mußten	müssen	V	VMFIN	_|Pl|Past|Ind	27	neb	_	_
51	durch	durch	P	APPR	Acc	49	pp	_	_
52	Dreck	Dreck	N	NN	Masc|Acc|Sg	51	pn	_	_
53	und	und	K	KON	_	52	kon	_	_
54	Regen	Regen	N	NN	_|Acc|_	53	cj	672	672
55	.	.	$	$.	_	0	root	_	_

1	Kam	kommen	V	VVFIN	1|Sg|Past|Ind	7	neb	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	435	435
3	zurück	zurück	A	ADV	_	1	adv	_	_
4	auf	auf	P	APPR	_	1	objp	_	_
5	Urlaub	Urlaub	N	NN	_|_|Sg	4	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	stellte	stellen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	mein	meine	A	PPOSAT	Neut|Nom|Sg	9	det	435	435
9	Pferd	Pferd	N	NN	Neut|Nom|Sg	7	subj	_	_
10	ab	ab	P	PTKVZ	_	7	avz	_	_
11	im	in	P	APPRART	Dat	7	pp	_	_
12	Goldenen	golden	A	ADJA	Pos|_|Dat|_|_|	13	attr	_	_
13	Hirschen	Hirsch	N	NN	_|Dat|_	11	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	putzte	putzen	V	VVFIN	_|Sg|Past|_	7	kon	_	_
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	_	_
17	Staub	Staub	N	NN	Masc|Acc|Sg	15	obja	_	_
18	von	von	P	APPR	Dat	17	pp	_	_
19	den	die	A	ART	Def|Masc|Dat|Pl	21	det	1642	1642
20	hohen	hoch	A	ADJA	Pos|Masc|Dat|Pl|_|	21	attr	1642	1642
21	Stiefeln	Stiefel	N	NN	Masc|Dat|Pl	18	pn	1642	1642
22	,	,	$	$,	_	0	root	_	_
23	rieb	reiben	V	VVFIN	_|Sg|Past|Ind	15	kon	_	_
24	den	die	A	ART	Def|Masc|Acc|Sg	25	det	449	449
25	Harnisch	Harnisch	N	NN	Masc|Acc|Sg	23	obja	449	449
26	so	so	A	ADV	_	27	adv	_	_
27	blank	blank	A	ADJD	Pos|	23	adv	_	_
28	als	als	K	KOKOM	_	23	kom	_	_
29	möglich	möglich	A	ADJD	Pos|	28	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	setzte	setzen	V	VVFIN	_|Sg|Past|_	23	kon	_	_
32	den	die	A	ART	Def|Masc|Acc|Sg	33	det	747	747
33	Dreimaster	Dreimaster	N	NN	Masc|Acc|Sg	31	obja	747	747
34	verwegen	verwegen	A	ADJD	Pos|	31	adv	_	_
35	aufs	auf	P	APPRART	Acc	31	objp	_	_
36	Ohr	Ohr	N	NN	Neut|Acc|Sg	35	pn	922	922
37	und	und	K	KON	_	31	kon	_	_
38	faßte	faßte	V	VVFIN	_	37	cj	_	_
39	mir	ich	P	PPER	1|Sg|_|Dat	38	objd	435	435
40	ein	eine	A	ART	Indef|_|_|Sg	41	det	_	_
41	Herz	Herz	N	NN	_|_|Sg	38	obja	_	_
42	-	-	$	$(	_	0	root	_	_
43	war	sein	V	VAFIN	1|Sg|Past|Ind	38	kon	_	_
44	ich	ich	P	PPER	1|Sg|_|Nom	43	subj	435	435
45	nicht	nicht	P	PTKNEG	_	43	adv	_	_
46	Wachtmeister	Wachtmeister	N	NE	_|Nom|_	43	pred	_	_
47	in	in	P	APPR	Dat	46	pp	_	_
48	der	die	A	ART	Def|Fem|Dat|Sg	50	det	_	_
49	sechsten	sechst	A	ADJA	_|Fem|Dat|Sg|Wk|	50	attr	_	_
50	Schwadron	Schwadron	N	NN	Fem|Dat|Sg	47	pn	_	_
51	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	meinen	meinen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
4	heimlichen	heimlich	A	ADJA	Pos|Masc|_|Sg|_|	5	attr	437	437
5	Schatz	Schatz	N	NN	Masc|_|Sg	7	obja	437	437
6	zu	zu	P	PTKZU	_	7	part	_	_
7	bitten	bitten	V	VVINF	_	3	obji	_	_
8	um	um	K	KOUI	_	0	root	_	_
9	seine	seine	A	PPOSAT	Fem|_|Sg	13	det	437	437
10	hübsche	hübsch	A	ADJA	Pos|Fem|_|Sg|_|	13	attr	_	_
11	,	,	$	$,	_	0	root	_	_
12	weiße	weiß	A	ADJA	Pos|_|_|_|_|	10	kon	_	_
13	Hand	Hand	N	NN	Fem|_|Sg	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Sahen	sehen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
2	mich	ich	P	PPER	1|Sg|_|Acc	1	obja	435	435
3	die	die	A	ART	Def|_|Nom|Pl	4	det	408	408
4	Leute	Leute	N	NN	_|Nom|Pl	1	subj	408	408
5	so	so	A	ADV	_	6	adv	_	_
6	sonderbar	sonderbar	A	ADJD	Pos|	1	adv	_	_
7	an	an	P	PTKVZ	_	1	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	als	als	K	KOUS	_	14	konj	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	435	435
11	durch	durch	P	APPR	Acc	14	pp	_	_
12	das	die	A	ART	Def|Neut|Acc|Sg	13	det	429	429
13	Dorf	Dorf	N	NN	Neut|Acc|Sg	11	pn	429	429
14	schritt	schreiten	V	VVFIN	1|Sg|Past|Ind	1	neb	_	_
15	dem	die	A	ART	Def|_|Dat|Sg	17	det	_	_
16	kleinen	klein	A	ADJA	Pos|_|Dat|Sg|Wk|	17	attr	_	_
17	Häusel	Häusel	N	NN	_|Dat|Sg	14	objd	_	_
18	zu	zu	P	PTKVZ	_	14	avz	_	_
19	,	,	$	$,	_	0	root	_	_
20	wo	wo	P	PWAV	_	23	adv	_	_
21	mein	meine	A	PPOSAT	Masc|Nom|Sg	22	det	435	435
22	Schatz	Schatz	N	NN	Masc|Nom|Sg	23	subj	_	_
23	wohnte	wohnen	V	VVFIN	3|Sg|Past|_	14	rel	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	23	kon	_	_
26	begegnete	begegnen	V	VVFIN	_|Sg|Past|_	25	cj	_	_
27	mir	ich	P	PPER	1|Sg|_|Dat	26	objd	435	435
28	auch	auch	A	ADV	_	26	adv	_	_
29	der	die	A	ART	Def|Masc|Nom|Sg	30	det	438	438
30	Kastellan	Kastellan	N	NN	Masc|Nom|Sg	26	subj	438	438
31	vom	von	P	APPRART	Dat	30	pp	438	438
32	Schloß	Schloß	N	NN	Neut|Dat|Sg	31	pn	438	438
33	,	,	$	$,	_	0	root	438	438
34	der	die	P	PRELS	Masc|Nom|Sg	38	subj	438	438
35	mich	ich	P	PPER	1|Sg|_|Acc	37	obja	435	435
36	nicht	nicht	P	PTKNEG	_	37	adv	_	_
37	leiden	leiden	V	VVINF	_	38	aux	_	_
38	konnte	können	V	VMFIN	3|Sg|Past|Ind	30	rel	_	_
39	,	,	$	$,	_	0	root	_	_
40	und	und	K	KON	_	38	kon	_	_
41	grinste	grinsen	V	VVFIN	3|Sg|Past|_	40	cj	_	_
42	er	er	P	PPER	3|Sg|Masc|Nom	41	subj	438	438
43	mich	ich	P	PPER	1|Sg|_|Acc	41	obja	435	435
44	so	so	A	ADV	_	45	adv	_	_
45	höhnisch	höhnisch	A	ADJD	Pos|	41	adv	_	_
46	an	an	P	PTKVZ	_	41	avz	_	_
47	,	,	$	$,	_	0	root	_	_
48	daß	daß	K	KOUS	_	53	konj	_	_
49	ich	ich	P	PPER	1|Sg|_|Nom	53	subj	435	435
50	den	die	A	ART	Def|Masc|Acc|Sg	51	det	_	_
51	Pallasch	Pallasch	N	NN	Masc|Acc|Sg	53	obja	_	_
52	fester	fest	A	ADJD	Comp|	53	adv	_	_
53	faßte	faßte	V	VVFIN	1|Sg|_|_	26	objc	_	_
54	und	und	K	KON	_	53	kon	_	_
55	einen	eine	A	ART	Indef|Masc|Acc|Sg	57	det	_	_
56	welschen	welsch	A	ADJA	Pos|Masc|Acc|Sg|_|	57	attr	_	_
57	Fluch	Fluch	N	NN	Masc|Acc|Sg	58	obja	_	_
58	brummte	brummen	V	VVFIN	_|Sg|Past|_	54	cj	_	_
59	.	.	$	$.	_	0	root	_	_

1	Ahnte	ahnen	V	VVFIN	1|Sg|Past|_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	435	435
3	aber	aber	A	ADV	_	1	adv	_	_
4	nichts	nichts	P	PIS	_	1	obja	_	_
5	und	und	K	KON	_	1	kon	_	_
6	schob	schieben	V	VVFIN	_|Sg|Past|Ind	5	cj	_	_
7	alles	alle	P	PIS	_|_|Sg	6	obja	_	_
8	auf	auf	P	APPR	Acc	6	objp	_	_
9	die	die	A	ART	Def|Fem|Acc|Sg	10	det	1570	1570
10	Verwunderung	Verwunderung	N	NN	Fem|Acc|Sg	8	pn	1570	1570
11	über	über	P	APPR	Acc	10	pp	1570	1570
12	mein	meine	A	PPOSAT	Neut|Acc|Sg	14	det	435	435
13	martialisch	martialisch	A	ADJD	Pos|	14	adv	_	_
14	Ansehen	Ansehen	N	NN	Neut|Acc|Sg	11	pn	_	_
15	und	und	K	KON	_	6	kon	_	_
16	schritt	schreiten	V	VVFIN	_|Sg|Past|Ind	15	cj	_	_
17	mit	mit	P	APPR	Dat	16	pp	_	_
18	einem	eine	A	ART	Indef|Neut|Dat|Sg	19	det	439	439
19	Herzen	Herzen	N	NN	Neut|Dat|Sg	17	pn	439	439
20	,	,	$	$,	_	0	root	439	439
21	das	die	P	PRELS	Neut|Nom|Sg	27	subj	439	439
22	halb	halb	A	ADJD	Pos|	23	adv	_	_
23	freudig	freudig	A	ADJD	Pos|	27	adv	_	_
24	,	,	$	$,	_	0	root	_	_
25	halb	halb	A	ADJD	Pos|	26	adv	_	_
26	furchtsam	furchtsam	A	ADJD	Pos|	23	kon	_	_
27	klopfte	klopfen	V	VVFIN	3|Sg|Past|_	19	rel	_	_
28	,	,	$	$,	_	0	root	_	_
29	der	die	A	ART	Def|Fem|Gen|Sg	31	det	1055	1055
30	kleinen	klein	A	ADJA	Pos|Fem|Gen|Sg|Wk|	31	attr	1055	1055
31	Türe	Türe	N	NN	Fem|Gen|Sg	19	gmod	439	439
32	in	in	P	APPR	Dat	16	pp	_	_
33	dem	die	A	ART	Def|Masc|Dat|Sg	34	det	440	440
34	Zaune	Zaun	N	NN	Masc|Dat|Sg	32	pn	440	440
35	zu	zu	P	PTKVZ	_	16	avz	_	_
36	,	,	$	$,	_	0	root	_	_
37	der	die	P	PRELS	_|_|Sg	0	root	440	440
38	das	die	A	ART	Def|Neut|Nom|Sg	39	det	_	_
39	Ralffsche	Ralffsche	N	NN	Neut|Nom|Sg	41	subj	_	_
40	Haus	Haus	N	NN	Neut|Nom|Sg	39	app	_	_
41	umgab	umgeben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
42	.	.	$	$.	_	0	root	_	_

1	Hörte	hören	V	VVFIN	1|Sg|Past|_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	435	435
3	aus	aus	P	APPR	Dat	1	pp	_	_
4	dem	die	A	ART	Def|Neut|Dat|Sg	6	det	441	441
5	kleinen	klein	A	ADJA	Pos|Neut|Dat|Sg|Wk|	6	attr	441	441
6	Stübchen	Stübchen	N	NN	Neut|Dat|Sg	3	pn	441	441
7	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	442	442
8	Stimme	Stimme	N	NN	Fem|_|Sg	9	obja	442	442
9	singen	singen	V	VVINF	_	1	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	die	die	P	PRELS	Fem|Nom|Sg	19	subj	442	442
12	mir	ich	P	PPER	1|Sg|_|Dat	19	objd	435	435
13	gar	gar	A	ADV	_	19	adv	_	_
14	fremd	fremd	A	ADJD	Pos|	19	pred	_	_
15	und	und	K	KON	_	14	kon	_	_
16	doch	doch	A	ADV	_	18	adv	_	_
17	gar	gar	A	ADV	_	18	adv	_	_
18	bekannt	bekannt	A	ADJD	Pos|	15	cj	_	_
19	vorkam	vorkommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
20	.	.	$	$.	_	0	root	_	_

1	Sang	Sang	N	NN	Masc|_|Sg	0	root	_	_
2	die	die	A	ART	Def|Fem|_|Sg	3	det	443	443
3	Stimme	Stimme	N	NN	Fem|_|Sg	0	root	443	443
4	immer	immer	A	ADV	_	5	adv	_	_
5	nur	nur	A	ADV	_	7	adv	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	_	_
7	Anfang	Anfang	N	NN	Masc|Acc|Sg	0	root	_	_
8	eines	eine	A	ART	Indef|Neut|Gen|Sg	10	det	1166	1166
9	alten	alt	A	ADJA	Pos|Neut|Gen|Sg|_|	10	attr	1166	1166
10	Liedes	Lied	N	NN	Neut|Gen|Sg	7	gmod	1166	1166
11	:	\:	$	$.	_	0	root	_	_

1	Nahm	nehmen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	435	435
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	444	444
4	Hut	Hut	N	NN	Masc|Acc|Sg	1	obja	444	444
5	ab	ab	P	PTKVZ	_	1	avz	_	_
6	und	und	K	KON	_	1	kon	_	_
7	trat	treten	V	VVFIN	_|Sg|Past|Ind	6	cj	_	_
8	in	in	P	APPR	Acc	7	objp	_	_
9	die	die	A	ART	Def|Fem|Acc|Sg	10	det	_	_
10	Hausflur	Hausflur	N	NN	Fem|Acc|Sg	8	pn	_	_
11	.	.	$	$.	_	0	root	_	_

1	Grüß	Grüß	N	NE	Masc|Nom|Sg	7	pred	578	578
2	Gott	Gott	N	NN	Masc|Nom|Sg	1	app	578	578
3	,	,	$	$,	_	0	root	578	578
4	Jungfer	Jungfer	N	NN	Fem|Nom|Sg	2	app	578	578
5	Lieschen	Lieschen	N	NE	Fem|Nom|Sg	4	app	578	578
6	,	,	$	$,	_	0	root	_	_
7	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
8	zurück	zurück	A	ADV	_	7	adv	_	_
9	aus	aus	P	APPR	Dat	7	pp	_	_
10	Franzosenland	Franzosenland	N	NN	Neut|Dat|Sg	9	pn	460	460
11	-	-	$	$(	_	0	root	_	_
12	wollte	wollen	V	VMFIN	1|Sg|Past|_	7	kon	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	435	435
14	sagen	sagen	V	VVINF	_	12	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	14	s	_	_
17	aber	aber	A	ADV	_	16	adv	_	_
18	kein	keine	A	PIAT	Neut|Nom|Sg	19	det	_	_
19	Wort	Wort	N	NN	Neut|Nom|Sg	16	subj	_	_
20	,	,	$	$,	_	0	root	_	_
21	sondern	sondern	K	KON	_	16	kon	_	_
22	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	21	cj	_	_
23	mir	ich	P	PPER	1|Sg|_|Dat	22	objd	435	435
24	der	die	A	ART	Def|Masc|Nom|Sg	25	det	444	444
25	Hut	Hut	N	NN	Masc|Nom|Sg	22	subj	444	444
26	zur	zu	P	APPRART	Dat	22	pp	_	_
27	Erde	Erde	N	NN	Fem|Dat|Sg	26	pn	249	249
28	,	,	$	$,	_	0	root	_	_
29	und	und	K	KON	_	22	kon	_	_
30	mußte	müssen	V	VMFIN	1|Sg|Past|Ind	29	cj	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	435	435
32	mich	ich	P	PRF	1|Sg|Acc	35	obja	_	_
33	am	an	P	APPRART	Dat	35	pp	_	_
34	Pfosten	Pfosten	N	NN	Masc|Dat|_	33	pn	_	_
35	halten	halten	V	VVINF	_	30	aux	_	_
36	,	,	$	$,	_	0	root	_	_
37	um	um	K	KOUI	_	41	konj	_	_
38	nicht	nicht	P	PTKNEG	_	41	adv	_	_
39	selbst	selbst	A	ADV	_	41	adv	_	_
40	zu	zu	P	PTKZU	_	41	part	_	_
41	fallen	fallen	V	VVINF	_	30	neb	_	_
42	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|Nom|Sg	5	det	_	_
4	bleiches	bleich	A	ADJA	Pos|Neut|Nom|Sg|St|	5	attr	_	_
5	Wesen	Wesen	N	NN	Neut|Nom|Sg	2	subj	_	_
6	mit	mit	P	APPR	Dat	2	pp	_	_
7	eingefallenen	eingefallt	A	ADJA	Pos|Fem|Dat|Pl|_|	8	attr	_	_
8	Wangen	Wange	N	NN	Fem|Dat|Pl	6	pn	_	_
9	im	in	P	APPRART	Dat	2	pp	_	_
10	Winkel	Winkel	N	NN	Masc|Dat|Sg	9	pn	445	445
11	,	,	$	$,	_	0	root	_	_
12	hatte	haben	V	VAFIN	_|Sg|Past|Ind	2	kon	_	_
13	die	die	A	ART	Def|Fem|_|Pl	14	det	92	92
14	Hände	Hand	N	NN	Fem|_|Pl	17	obja	92	92
15	im	in	P	APPRART	Dat	17	pp	_	_
16	Schoß	Schoß	N	NN	_|Dat|Sg	15	pn	212	212
17	gefaltet	falten	V	VVPP	_	12	aux	_	_
18	und	und	K	KON	_	12	kon	_	_
19	zitterte	zittern	V	VVFIN	_|Sg|Past|_	18	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOKOM	_	0	root	_	_
22	ob	ob	K	KOUS	_	0	root	_	_
23	ein	eine	A	ART	Indef|Masc|Nom|Sg	25	det	_	_
24	heftiger	heftig	A	ADJA	Pos|Masc|Nom|Sg|St|	25	attr	_	_
25	Frost	Frost	N	NN	Masc|Nom|Sg	0	root	_	_
26	es	es	P	PPER	3|Sg|Neut|_	27	obja	_	_
27	schüttle	schütteln	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
28	.	.	$	$.	_	0	root	_	_

1	›	›	N	NE	Fem|_|Sg	0	root	426	426
2	Luise	Luise	N	NE	Fem|_|Sg	1	app	426	426
3	,	,	$	$,	_	0	root	_	_
4	Luise	Luise	N	NE	Fem|_|Sg	2	app	_	_
5	!	!	$	$.	_	0	root	_	_
6	‹	‹	F	FM	_	0	root	_	_
7	schrie	schreien	V	VVFIN	1|Sg|Past|_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	435	435
9	auf	auf	P	PTKVZ	_	7	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	in	in	P	APPR	Acc	16	pp	_	_
12	die	die	A	ART	Def|_|Acc|_	13	det	446	446
13	Kniee	Kniee	N	NN	_|Acc|_	11	pn	446	446
14	vor	vor	P	APPR	Dat	13	pp	446	446
15	ihr	ihr	P	PPER	3|Sg|Fem|Dat	14	pn	446	446
16	stürzend	stürzen	A	ADJD	_|<PPRES	0	root	446)	446)
17	,	,	$	$,	_	0	root	446)	446)
18	in	in	P	APPR	Dat	0	root	446)	446)
19	unmenschlicher	unmenschlich	A	ADJA	Pos|Fem|Dat|Sg|St|	20	attr	446)	446)
20	Angst	Angst	N	NN	Fem|Dat|Sg	18	pn	446)	446)
21	.	.	$	$.	_	0	root	446)	446)

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	447	447
2	Gestalt	Gestalt	N	NN	Fem|Nom|Sg	3	subj	447	447
3	erhob	erheben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	kam	kommen	V	VVFIN	_|Sg|Past|Ind	3	kon	_	_
7	schwankend	schwanken	A	ADJD	_|<PPRES	6	adv	_	_
8	auf	auf	P	APPR	Acc	6	objp	_	_
9	mich	ich	P	PPER	1|Sg|_|Acc	8	pn	435	435
10	zu	zu	P	PTKVZ	_	6	avz	_	_
11	und	und	K	KON	_	6	kon	_	_
12	sagte	sagen	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	indem	indem	K	KOUS	_	23	konj	_	_
15	sie	sie	P	PPER	3|Sg|Fem|Nom	23	subj	447	447
16	mit	mit	P	APPR	Dat	23	pp	_	_
17	eiskalter	eiskalt	A	ADJA	Pos|Fem|Dat|Sg|St|	18	attr	_	_
18	Hand	Hand	N	NN	Fem|Dat|Sg	16	pn	_	_
19	mir	ich	P	PPER	1|Sg|_|Dat	23	objd	435	435
20	über	über	P	APPR	Acc	23	objp	_	_
21	die	die	A	ART	Def|Fem|Acc|Sg	22	det	448	448
22	Stirn	Stirn	N	NN	Fem|Acc|Sg	20	pn	448	448
23	strich	streichen	V	VVFIN	3|Sg|Past|Ind	12	neb	_	_
24	:	\:	$	$.	_	0	root	_	_

1	›	›	A	ADJA	_|Neut|_|Sg|_	2	attr	_	_
2	Ei	Ei	N	NN	Neut|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	mein	meine	A	PPOSAT	_|_|Sg	0	root	435	435
5	schön	schön	A	ADJD	Pos|	7	adv	_	_
6	'	'	$	$(	_	0	root	_	_
7	s	s	P	PPER	_	0	root	446	446
8	Lieb	lieb	A	ADJD	Pos|	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
11	zurück	zurück	A	ADV	_	10	adv	_	_
12	aus	aus	P	APPR	Dat	10	pp	_	_
13	fremdem	fremd	A	ADJA	Pos|Neut|Dat|Sg|St|	14	attr	_	_
14	Land	Land	N	NN	Neut|Dat|Sg	12	pn	_	_
15	?	?	$	$.	_	0	root	_	_

1	Hab	Hab	N	NE	_|Nom|_	5	subj	415	415
2	lange	lange	A	ADJD	_	5	adv	_	_
3	auf	auf	P	APPR	Acc	5	pp	_	_
4	dich	du	P	PPER	2|Sg|_|Acc	3	pn	_	_
5	gewartet	warten	V	VVPP	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	mein	meine	A	PPOSAT	Neut|_|Sg	9	det	435	435
8	blankes	blank	A	ADJA	Pos|Neut|_|Sg|St|	9	attr	_	_
9	Herz	Herz	N	NN	Neut|_|Sg	0	root	_	_
10	!	!	$	$.	_	0	root	_	_
11	‹	‹	F	FM	_	0	root	_	_

1	Schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	15	neb	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	1	objd	435	435
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	201	201
4	Herz	Herz	N	NN	Neut|Nom|Sg	1	subj	201	201
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	12	konj	_	_
7	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	435	435
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	449	449
9	Harnisch	Harnisch	N	NN	Masc|Nom|Sg	12	subj	449	449
10	zu	zu	P	PTKZU	_	11	part	_	_
11	springen	springen	V	VVINF	_	12	obji	_	_
12	drohte	drohen	V	VVFIN	3|Sg|Past|_	1	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	den	die	P	PDS	Masc|Acc|Sg	15	obja	_	_
15	betastete	betasten	V	VVFIN	3|Sg|Past|_	0	root	_	_
16	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	448	448
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	15	kon	_	_
19	über	über	P	APPR	_	22	pp	_	_
20	dessen	die	A	PDAT	Masc|_|Sg	21	det	_	_
21	Glanz	Glanz	N	NN	Masc|_|Sg	19	pn	_	_
22	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	18	cj	_	_
