1	Natalie	Natalie	N	NE	Fem|Nom|Sg	2	subj	50	50
14	rief	rufen	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
15	nach	nach	P	APPR	Dat	14	pp	_	_
16	dem	die	A	ART	Def|Neut|Dat|Sg	17	det	_	_
17	Bettgestell	Bettgestell	N	NN	Neut|Dat|Sg	15	pn	_	_
18	zur	zu	P	APPRART	Dat	14	pp	_	_
19	Linken	Linke	N	NN	_|Dat|_	18	pn	_	_
20	hin	hin	P	PTKVZ	_	14	avz	_	_
21	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Toupelard	Toupelard	N	NE	_	0	root	802	802
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Eh	Eh	A	ADJD	_	3	pred	_	_
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	môsieu	môsieu	N	NE	_	3	vok	129	129
6	Schenck	Schenck	N	NE	_	5	app	129	129
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	klang	klingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
11	matt	matt	A	ADJD	Pos|	9	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	aber	aber	K	KON	_	11	kon	_	_
14	mit	mit	P	APPR	Dat	13	cj	_	_
15	dem	die	A	ART	Def|Masc|Dat|Sg	17	det	_	_
16	allerechtesten	allerecht	A	ADJA	Sup|Masc|Dat|Sg|Wk|	17	attr	_	_
17	Akzent	Akzent	N	NN	Masc|Dat|Sg	14	pn	_	_
18	von	von	P	APPR	_	9	pp	_	_
19	Lutetia	Lutetia	N	NE	_|_|_	18	pn	_	_
20	Parisiorum	Parisiorum	N	NE	_|_|_	19	app	_	_
21	zurück	zurück	P	PTKVZ	_	9	avz	_	_
22	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Je	Je	F	FM	_	0	root	_	_
3	vous	vous	F	FM	_	2	app	_	_
4	donne	donne	F	FM	_	3	app	_	_
5	ma	ma	F	FM	_	4	app	_	_
6	sacrée	sacrée	F	FM	_	5	app	_	_
7	parole	parole	F	FM	_	6	app	_	_
8	,	,	$	$,	_	0	root	_	_
9	on	on	F	FM	_	7	app	_	_
10	dansera	dansera	F	FM	_	9	app	_	_
11	à	à	F	FM	_	10	app	_	_
12	vos	vos	F	FM	_	11	app	_	_
13	noces	noces	F	FM	_	12	app	_	_
14	,	,	$	$,	_	0	root	_	_
15	comme	comme	F	FM	_	13	app	_	_
16	aux	aux	F	FM	_	15	app	_	_
17	miennes	miennes	F	FM	_	16	app	_	_
18	,	,	$	$,	_	0	root	_	_
19	mon	mon	F	FM	_	17	app	_	_
20	ami	ami	F	FM	_	19	app	_	_
21	.	.	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Croire	Croire	F	FM	_	0	root	_	_
3	et	et	F	FM	_	2	app	_	_
4	atteindre	atteindre	F	FM	_	3	app	_	_
5	!	!	$	$.	_	0	root	_	_
6	...	...	$	$.	_	0	root	_	_

1	Mais	Mai	N	NN	Masc|_|Sg	0	root	129	129
2	par	par	F	FM	Masc|_|Sg	1	app	129	129
3	avance	avance	F	FM	Masc|_|Sg	2	app	129	129
4	tous	tous	F	FM	Masc|_|Sg	3	app	129	129
5	mes	mes	F	FM	Masc|_|Sg	4	app	129	129
6	remerciments	remerciments	F	FM	Masc|_|Sg	5	app	129	129
7	,	,	$	$,	_	0	root	129	129
8	môsieu	môsieu	N	NE	Masc|_|Sg	6	app	129	129
9	Schenck	Schenck	N	NE	Masc|_|Sg	8	app	129	129
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	732	732
2	Doktor	Doktor	N	NN	Masc|Nom|Sg	4	subj	732	732
3	Winckelspinner	Winckelspinner	N	NE	Masc|Nom|Sg	2	app	732	732
4	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	auch	auch	A	ADV	_	4	adv	_	_
6	an	an	P	APPR	Acc	4	pp	_	_
7	das	die	A	ART	Def|Neut|Acc|Sg	9	det	801	801
8	nächste	nah	A	ADJA	_|Neut|Acc|Sg|Wk|	9	attr	801	801
9	Bett	Bett	N	NN	Neut|Acc|Sg	6	pn	801	801
10	hinüber	hinüber	P	PTKVZ	_	4	avz	_	_
11	und	und	K	KON	_	4	kon	_	_
12	legte	legen	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	die	die	A	ART	Def|Fem|_|Sg	15	det	_	_
14	kühle	kühl	A	ADJA	Pos|Fem|_|Sg|_|	15	attr	_	_
15	Hand	Hand	N	NN	Fem|_|Sg	12	obja	_	_
16	auf	auf	P	APPR	Acc	12	objp	_	_
17	die	die	A	ART	Def|Fem|Acc|Sg	20	det	_	_
18	nächste	nah	A	ADJA	_|Fem|Acc|Sg|_|	20	attr	_	_
19	heiße	heiß	A	ADJA	Pos|Fem|Acc|Sg|_|	20	attr	_	_
20	Stirn	Stirn	N	NN	Fem|Acc|Sg	16	pn	_	_
21	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Liege	Liege	N	NN	Fem|_|Sg	0	root	689	689
3	Se	Se	N	NE	Fem|_|Sg	2	app	689	689
4	jetzt	jetzt	A	ADV	_	3	adv	_	_
5	au	au	A	ADJD	_	6	adv	_	_
6	nur	nur	A	ADV	_	3	adv	_	_
7	still	still	A	ADJD	Pos|	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	Monsieur	Monsieur	N	NE	_	0	root	802	802
10	Toupelard	Toupelard	N	NE	_	9	app	802	802
11	,	,	$	$,	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	1672	1672
13	bitte	bitten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
14	Sie	sie	P	PPER	3|_|_|_	13	obja	802	802
15	.	.	$	$.	_	0	root	_	_

1	Attendre	Attendre	N	NE	_|Nom|Sg	2	subj	1672	1672
2	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_|_|_|Nom	2	pred	4	4
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	13	konj	_	_
7	nachher	nachher	A	ADV	_	12	adv	_	_
8	vom	von	P	APPRART	Dat	12	pp	_	_
9	atteindre	atteindre	N	NN	_|Dat|_	8	pn	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	774	774
11	Rede	Rede	N	NN	Fem|Nom|Sg	13	subj	774	774
12	sein	sein	V	VAINF	_	13	aux	_	_
13	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	2	neb	_	_
14	.	.	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	4	4
2	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	das	die	P	PDS	Neut|_|Sg	2	obja	_	_
4	wiederum	wiederum	A	ADV	_	3	adv	_	_
5	in	in	P	APPR	_	0	root	_	_
6	seinem	seine	A	PPOSAT	_|Dat|Sg	0	root	4	4
7	allerhübschesten	allerhübsch	A	ADJA	Sup|_|_|_|_|	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	Französisch	Französisch	N	NN	Neut|_|Sg	0	root	_	_
10	;	;	$	$.	_	0	root	_	_
11	allein	allein	A	ADV	_	15	adv	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	15	det	_	_
13	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	15	attr	_	_
14	Pariser	Pariser	A	ADJA	Pos|Masc|Nom|Sg|_|	15	attr	_	_
15	Voltigeur	Voltigeur	N	NN	Masc|Nom|Sg	16	subj	_	_
16	verstand	verstehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
17	ihn	er	P	PPER	3|Sg|Masc|Acc	16	obja	4	4
18	doch	doch	A	ADV	_	16	adv	_	_
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	16	kon	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	23	det	803	803
22	zerschmetterte	zerschmettert	A	ADJA	Pos|Masc|Nom|Sg|Wk|	23	attr	803	803
23	Fuß	Fuß	N	NN	Masc|Nom|Sg	27	subj	803	803
24	des	die	A	ART	Def|_|Gen|Sg	26	det	803	803
25	armen	arm	A	ADJA	Pos|_|Gen|Sg|_|	26	attr	803	803
26	Jungen	Junge	N	NN	_|Gen|Sg	23	gmod	803	803
27	half	helfen	V	VVFIN	3|Sg|Past|Ind	20	cj	_	_
28	dazu	dazu	P	PROAV	_	27	pp	_	_
29	auch	auch	A	ADV	_	27	adv	_	_
30	wohl	wohl	A	ADV	_	27	adv	_	_
31	mit	mit	P	PTKVZ	_	27	avz	_	_
32	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	803	803
2	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	liegen	liegen	V	VVINF	_	2	obji	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	7	adv	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	803	803
7	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	7	kon	_	_
10	summte	summen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	nur	nur	A	ADV	_	10	adv	_	_
12	in	in	P	APPR	Dat	10	pp	_	_
13	seinem	seine	A	PPOSAT	Neut|Dat|Sg	14	det	803	803
14	Fieber	Fieber	N	NN	Neut|Dat|Sg	12	pn	852	852
15	zwischen	zwischen	P	APPR	Dat	14	pp	852	852
16	den	die	A	ART	Def|Masc|Dat|Pl	17	det	794	794
17	Zähnen	Zahn	N	NN	Masc|Dat|Pl	15	pn	794	794
18	durch	durch	P	PTKVZ	_	10	avz	_	_
19	:	\:	$	$.	_	0	root	_	_

1	Ah	Ah	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ah	ah	N	NE	_	0	root	804	804
4	,	,	$	$,	_	0	root	804	804
5	encore	encore	F	FM	_	3	app	804	804
6	un	un	F	FM	_	5	app	804	804
7	petit	petit	F	FM	_	6	app	804	804
8	verre	verre	F	FM	_	7	app	804	804
9	,	,	$	$,	_	0	root	804	804
10	m	m	N	NN	_	8	app	804	804
11	'	'	$	$(	_	0	root	804	804
12	sieu	sieu	F	FM	_	10	app	804	804
13	Schenck	Schenck	F	FM	_	12	app	804	804
14	.	.	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Den	die	P	PDS	Masc|Acc|Sg	3	obja	_	_
3	bringe	bringen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	0	root	805	805
5	übermorgen	übermorgen	A	ADV	_	4	adv	_	_
6	naus	naus	A	ADJD	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	706	706
11	Doktor	Doktor	N	NN	Masc|Nom|Sg	9	subj	706	706
12	leise	leise	A	ADJD	Pos|	9	adv	_	_
13	zu	zu	P	APPR	Dat	9	pp	_	_
14	Wedehop	Wedehop	N	NE	_|Dat|_	13	pn	63	63
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	handelt	handeln	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	sich	sie	P	PRF	3|_|_	3	obja	_	_
6	bei	bei	P	APPR	Dat	3	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	_	_
8	Hochgradigkeit	Hochgradigkeit	N	NN	Fem|Dat|Sg	6	pn	_	_
9	der	die	A	ART	Def|Fem|Gen|Sg	10	det	_	_
10	Körpertemperatur	Körpertemperatur	N	NN	Fem|Gen|Sg	8	gmod	_	_
11	um	um	P	APPR	Acc	3	objp	_	_
12	keine	keine	A	PIAT	Fem|Acc|Sg	14	det	_	_
13	andere	andere	A	ADJA	_|Fem|Acc|Sg|_	14	attr	_	_
14	Verbindung	Verbindung	N	NN	Fem|Acc|Sg	11	pn	_	_
15	mehr	mehr	A	ADV	_	16	adv	_	_
16	als	als	K	KOKOM	_	3	kom	_	_
17	mit	mit	P	APPR	Dat	16	cj	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	20	det	_	_
19	kühlen	kühl	A	ADJA	Pos|Fem|Dat|Sg|Wk|	20	attr	_	_
20	Mutter	Mutter	N	NN	Fem|Dat|Sg	17	pn	_	_
21	Erde	Erde	N	NN	Fem|Dat|Sg	20	app	_	_
22	;	;	$	$.	_	0	root	_	_
23	-	-	$	$(	_	0	root	_	_
24	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
25	der	die	A	ART	Def|Masc|Nom|Sg	26	det	481	481
26	Teufel	Teufel	N	NN	Masc|Nom|Sg	24	subj	481	481
27	,	,	$	$,	_	0	root	_	_
28	'	'	$	$(	_	0	root	_	_
29	s	s	P	PPER	_	30	obja	804	804
30	ischt	ischt	V	VVFIN	_	24	kon	_	_
31	mir	ich	P	PPER	1|Sg|_|Dat	30	objd	706	706
32	leid	leid	A	ADJD	Pos|	30	adv	_	_
33	genu	genu	A	ADJA	_	0	root	_	_
34	'	'	$	$(	_	0	root	_	_
35	!	!	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	6	adv	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	6	subj	_	_
3	mit	mit	P	APPR	Dat	6	pp	_	_
4	dem	die	A	ART	Def|_|Dat|Sg	5	det	_	_
5	andern	andern	A	ADJA	_|Dat|Sg	3	pn	_	_
6	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	8	objc	_	_
7	,	,	$	$,	_	0	root	_	_
8	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
9	du	du	P	PPER	2|Sg|_|Nom	8	subj	_	_
10	nun	nun	A	ADV	_	8	adv	_	_
11	selber	selber	A	ADV	_	8	adv	_	_
12	gesehn	gesehn	V	VVINF	_	0	root	_	_
13	;	;	$	$.	_	0	root	_	_
14	wann	wann	P	PWAV	_	17	adv	_	_
15	kein	keine	A	PIAT	Masc|Nom|Sg	16	det	806	806
16	Rückfall	Rückfall	N	NN	Masc|Nom|Sg	17	subj	806	806
17	eintritt	eintreten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	dürfen	dürfen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
20	wir	wir	P	PPER	1|Pl|_|Nom	19	subj	805	805
21	ihn	er	P	PPER	3|Sg|Masc|Acc	19	obja	806	806
22	dreist	dreist	A	ADJD	Pos|	19	adv	_	_
23	uns	wir	P	PPER	1|Pl|_|Dat	19	objd	_	_
24	in	in	P	APPR	Dat	19	pp	_	_
25	acht	acht	C	CARD	_	26	attr	807	807
26	Tagen	Tag	N	NN	Masc|Dat|Pl	24	pn	807	807
27	ins	in	P	APPRART	Acc	19	pp	_	_
28	Privatloschis	Privatloschi	N	NN	Neut|_|_	27	pn	_	_
29	herüberhole	herüberholen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	0	root	805	805
2	nehme	nehmen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	481	481
4	diesmal	diesmal	A	ADV	_	2	adv	_	_
5	noch	noch	A	ADV	_	2	adv	_	_
6	mit	mit	P	APPR	Dat	2	pp	_	_
7	hinüber	hinüber	A	ADV	_	6	adv	_	_
8	in	in	P	APPR	Acc	2	objp	_	_
9	das	die	A	ART	Def|Neut|Acc|Sg	12	det	_	_
10	neue	neu	A	ADJA	Pos|Neut|Acc|Sg|Wk|	12	attr	_	_
11	Deutsche	deutsch	A	ADJA	Pos|Neut|Acc|Sg|Wk|	12	attr	_	_
12	Reich	Reich	N	NN	Neut|Acc|Sg	8	pn	_	_
13	.	.	$	$.	_	0	root	_	_

1	Jetzt	jetzt	A	ADV	_	2	adv	_	_
2	aber	aber	A	ADV	_	3	adv	_	_
3	nehmt	nehmen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
4	für	für	P	APPR	Acc	3	pp	_	_
5	heute	heute	A	ADV	_	6	adv	_	_
6	Abschied	Abschied	N	NN	Masc|Acc|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	807	807
9	beide	beide	P	PIS	_|_|Pl	0	root	_	_
10	-	-	$	$(	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	706	706
12	meine	meinen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
13	Sie	sie	P	PPER	3|_|_|Acc	12	obja	808	808
14	,	,	$	$,	_	0	root	808	808
15	Frau	Frau	N	NN	Fem|Acc|Sg	13	app	808	808
16	Professere	Professere	N	NE	Fem|Acc|Sg	15	app	808	808
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	13	kon	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	_	_
20	Herrn	Herrn	N	NN	Masc|Acc|Sg	18	cj	_	_
21	Sohn	Sohn	N	NN	Masc|Acc|Sg	20	app	_	_
22	.	.	$	$.	_	0	root	_	_

1	Ihr	ihre	A	PPOSAT	_|Nom|Sg	2	det	808	808
2	Stüble	Stüble	N	NN	_|Nom|Sg	3	subj	809	809
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	fein	fein	A	ADJD	Pos|	5	adv	_	_
5	sauber	sauber	A	ADJD	Pos|	9	adv	_	_
6	von	von	P	APPR	_	9	pp	_	_
7	meiner	meine	A	PPOSAT	_|_|_	8	det	706	706
8	Alten	Alt	N	NN	_|_|_	6	pn	_	_
9	hergerichtet	herrichten	V	VVPP	_	3	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	Sie	sie	P	PPER	3|_|_|_	0	root	809	809
12	junger	jung	A	ADJA	Pos|_|_|_|St|	13	attr	_	_
13	Preiß	Preiß	N	NN	_|_|_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	-	-	$	$(	_	0	root	_	_
16	auch	auch	A	ADV	_	18	adv	_	_
17	die	die	A	ART	Def|Fem|Nom|Sg	18	det	_	_
18	Aussicht	Aussicht	N	NN	Fem|Nom|Sg	23	subj	_	_
19	auf	auf	P	APPR	_	18	pp	_	_
20	des	die	A	ART	Def|Masc|Gen|Sg	21	det	_	_
21	Nachbars	Nachbar	N	NN	Masc|Gen|Sg	19	pn	_	_
22	Hopfestange	Hopfestange	N	NE	Masc|Gen|Sg	21	app	_	_
23	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
24	recht	recht	A	ADJD	Pos|	25	adv	_	_
25	angenehm	angenehm	A	ADJD	Pos|	23	pred	_	_
26	,	,	$	$,	_	0	root	_	_
27	wie	wie	P	PWAV	_	30	adv	_	_
28	die	die	A	ART	Def|Masc|_|Pl	29	det	_	_
29	Kenner	Kenner	N	NN	Masc|_|Pl	30	obja	_	_
30	behaupte	behaupten	V	VVFIN	_|Sg|Pres|_	23	objc	_	_
31	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	706	706
2	komme	kommen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	gege	gege	A	ADJA	_|_|_|Sg|_	4	attr	_	_
4	Mittag	Mittag	N	NN	_|_|Sg	2	zeit	_	_
5	und	und	K	KON	_	4	kon	_	_
6	gege	gege	A	ADJA	_|Masc|_|Sg|_	7	attr	_	_
7	Abend	Abend	N	NN	Masc|_|Sg	5	cj	_	_
8	noch	noch	A	ADV	_	2	adv	_	_
9	einmal	einmal	A	ADV	_	2	adv	_	_
10	wieder	wieder	A	ADV	_	2	adv	_	_
11	wie	wie	K	KOKOM	_	2	kom	_	_
12	gewöhnlich	gewöhnlich	A	ADJD	Pos|	11	cj	_	_
13	;	;	$	$.	_	0	root	_	_
14	aber	aber	K	KON	_	0	root	_	_
15	die	die	A	ART	Def|_|_|_	16	det	_	_
16	›	›	F	FM	_|_|_	14	cj	_	_
17	Sie	Sie	F	FM	_|_|_	16	app	_	_
18	‹	‹	F	FM	_|_|_	17	app	_	_
19	,	,	$	$,	_	0	root	_	_
20	von	von	P	APPR	_	24	pp	_	_
21	der	die	A	ART	Def|_|_|_	22	det	_	_
22	vorhi	vorhi	N	NN	_|_|_	20	pn	_	_
23	die	die	A	ART	Def|Fem|Nom|Sg	24	det	_	_
24	Rede	Rede	N	NN	Fem|Nom|Sg	25	subj	_	_
25	war	sein	V	VAFIN	3|Sg|Past|Ind	27	s	_	_
26	,	,	$	$,	_	0	root	_	_
27	wolle	wollen	V	VMFIN	_|Sg|Pres|Subj	0	root	_	_
28	wir	wir	P	PPER	1|Pl|_|Nom	27	subj	805	805
29	heute	heute	A	ADV	_	28	adv	_	_
30	lieber	lieb	A	ADJD	Comp|	31	adv	_	_
31	doch	doch	A	ADV	_	28	adv	_	_
32	noch	noch	A	ADV	_	28	adv	_	_
33	,	,	$	$,	_	0	root	_	_
34	mit	mit	P	APPR	Dat	39	pp	_	_
35	aller	alle	A	PIDAT	Fem|Dat|Sg	36	det	_	_
36	Höflichkeit	Höflichkeit	N	NN	Fem|Dat|Sg	34	pn	_	_
37	es	es	P	PPER	3|Sg|Neut|_	39	obja	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	sage	sage	V	VVINF	_	32	obji	_	_
40	,	,	$	$,	_	0	root	_	_
41	aus	aus	P	APPR	Dat	44	pp	_	_
42	dem	die	A	ART	Def|Neut|Dat|Sg	43	det	_	_
43	Spiel	Spiel	N	NN	Neut|Dat|Sg	41	pn	_	_
44	lassen	lassen	V	VVINF	_	39	kon	_	_
45	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	810	810
2	Frau	Frau	N	NN	Fem|Nom|Sg	4	subj	810	810
3	Mutter	Mutter	N	NN	Fem|Nom|Sg	2	app	810	810
4	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	706	706
6	ja	ja	A	ADV	_	4	adv	_	_
7	auf	auf	P	APPR	Dat	4	pp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	_	_
9	Heimwege	Heimweg	N	NN	Masc|Dat|Sg	7	pn	_	_
10	wenigstens	wenigstens	A	ADV	_	11	adv	_	_
11	mitteile	mitteilen	V	VVFIN	_|Sg|Pres|_	4	s	_	_
12	,	,	$	$,	_	0	root	_	_
13	wie	wie	P	PWAV	_	0	root	_	_
14	sie	sie	P	PPER	3|_|_|_	0	root	810	810
15	-	-	$	$(	_	0	root	_	_
16	das	die	A	ART	Def|Neut|_|Sg	17	det	_	_
17	Freile	Freile	N	NN	Neut|_|Sg	0	root	_	_
18	meine	meine	A	PPOSAT	_|_|_	0	root	706	706
19	i	i	P	PTKVZ	_	0	root	_	_
20	-	-	$	$(	_	0	root	_	_
21	mit	mit	P	APPR	Dat	23	pp	_	_
22	Vorname	Vorname	N	NN	Masc|Nom|Sg	21	pn	_	_
23	heißt	heißen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
24	.	.	$	$.	_	0	root	_	_
25	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Natalie	Natalie	N	NE	Fem|_|Sg	0	root	50	50
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	murmelte	murmeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	8	det	811	811
7	verwundete	verwundet	A	ADJA	Pos|Masc|Nom|Sg|Wk|	8	attr	811	811
8	Verliebte	Verliebte	N	NN	Masc|Nom|Sg	5	subj	811	811
9	in	in	P	APPR	Acc	5	pp	_	_
10	sein	seine	A	PPOSAT	Neut|Acc|Sg	11	det	811	811
11	Kopfkissen	Kopfkissen	N	NN	Neut|Acc|Sg	9	pn	1155	1155
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	I	I	F	FM	_	0	root	_	_
3	guck	guck	F	FM	_	2	app	_	_
4	a	a	F	FM	_	3	app	_	_
5	mal	mal	A	ADV	_	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	verspricht	versprechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	scho	scho	N	NE	_|Dat|_	2	objd	812	812
4	was	was	P	PIS	_	2	obja	_	_
5	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	812	812
2	hatt	hatt	V	VVFIN	3|_|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	813	813
5	aber	aber	A	ADV	_	8	adv	_	_
6	gar	gar	A	ADV	_	7	adv	_	_
7	nicht	nicht	P	PTKNEG	_	8	adv	_	_
8	gefragt	fragen	V	VVPP	_	2	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	Schenck	Schenck	N	NE	_	2	vok	129	129
11	.	.	$	$.	_	0	root	_	_

1	Also	also	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	bhüt	bhüt	A	ADJA	_|Masc|_|Sg|_	4	attr	_	_
4	Gott	Gott	N	NN	Masc|_|Sg	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	0	root	_	_
7	liege	liegen	V	VVFIN	3|Sg|Pres|Subj	6	cj	_	_
8	Sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	812	812
9	still	still	A	ADJD	Pos|	7	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	morge	morge	N	NE	_	17	obja	815	815
12	früh	früh	A	ADJD	Pos|	13	adv	815	815
13	so	so	A	ADV	_	14	adv	815	815
14	um	um	P	APPR	Acc	11	pp	815	815
15	dieselbige	dieselbig	A	ADJA	Pos|Fem|Acc|Sg|_|	16	attr	300	300
16	Stunde	Stunde	N	NN	Fem|Acc|Sg	14	pn	300	300
17	bringe	bringen	V	VVFIN	1|Sg|Pres|_	7	kon	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	813	813
19	die	die	A	ART	Def|Fem|_|Sg	20	det	_	_
20	Mama	Mama	N	NN	Fem|_|Sg	0	root	_	_
21	wieder	wieder	A	ADV	_	20	adv	_	_
22	zur	zu	P	APPRART	Dat	20	pp	_	_
23	zweiten	zweit	A	ADJA	_|_|Dat|_|_|	24	attr	_	_
24	Visit	Visit	N	NN	_|Dat|_	22	pn	_	_
25	.	.	$	$.	_	0	root	_	_

1	Natalie	Natalie	N	NE	Fem|_|Sg	0	root	50	50
