1	Na	Na	I	ITJ	_	0	root	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	16	cj	1687	1687
18	Nebenmenschen	Nebenmensch	N	NN	Masc|Acc|Sg	14	pn	1687	1687
19	-	-	$	$(	_	0	root	_	_
20	das	die	A	ART	Def|Neut|_|Sg	21	det	_	_
21	Kochbuch	Kochbuch	N	NN	Neut|_|Sg	0	root	_	_
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wer	wer	P	PWS	_|Nom|Sg	5	subj	_	_
3	es	es	P	PPER	3|Sg|Neut|_	5	expl	_	_
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	wüßte	wüßte	V	VVFIN	3|Sg|_|_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	16	konj	_	_
8	wir	wir	P	PPER	1|Pl|_|Nom	16	subj	499	499
9	seit	seit	P	APPR	Dat	16	pp	_	_
10	lange	lange	A	ADJD	_	9	pn	_	_
11	recht	recht	A	ADJD	Pos|	12	adv	_	_
12	gute	gut	A	ADJA	Pos|_|Nom|_|_|	15	attr	_	_
13	,	,	$	$,	_	0	root	_	_
14	gute	gut	A	ADJA	Pos|_|Nom|_|_|	12	kon	_	_
15	Bekannte	Bekannte	N	NN	_|Nom|_	16	pred	_	_
16	sind	sein	V	VAFIN	1|Pl|Pres|Ind	5	objc	_	_
17	,	,	$	$,	_	0	root	_	_
18	der	die	P	PDS	Masc|Nom|Sg	19	subj	_	_
19	müßte	müssen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
20	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
21	hieraus	hieraus	P	PROAV	_	0	root	_	_
22	doch	doch	A	ADV	_	21	adv	_	_
23	sofort	sofort	A	ADV	_	21	adv	_	_
24	merken	merken	V	VVINF	_	0	root	_	_
25	«	«	$	$(	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
28	freundlich-zierlich	freundlich-zierlich	A	ADJD	Pos|	27	adv	_	_
29	Frau	Frau	N	NN	Fem|Nom|Sg	27	subj	198	198
30	Valentine	Valentine	N	NE	_|Nom|Sg	29	app	198	198
31	Schaumann	Schaumann	N	NE	_|Nom|Sg	30	app	198	198
32	,	,	$	$,	_	0	root	_	_
33	und	und	K	KON	_	0	root	_	_
34	weder	weder	K	KON	_	0	root	_	_
35	im	in	P	APPRART	Dat	0	root	_	_
36	Salon	Salon	N	NN	Masc|Dat|Sg	35	pn	_	_
37	der	die	A	ART	Def|Fem|Gen|Sg	38	det	_	_
38	Madame	Madame	N	NN	Fem|Gen|Sg	36	gmod	_	_
39	Recamier	Recamier	N	NE	Fem|Gen|Sg	38	app	_	_
40	,	,	$	$,	_	0	root	_	_
41	noch	noch	K	KON	_	0	root	_	_
42	dem	die	P	PDS	_|Dat|Sg	0	root	_	_
43	der	die	A	ART	Def|Fem|Gen|Sg	44	det	492	492
44	Madame	Madame	N	NN	Fem|Gen|Sg	42	gmod	492	492
45	de	de	N	NE	Fem|Gen|Sg	44	app	492	492
46	Staël	Staël	N	NE	Fem|Gen|Sg	45	app	492	492
47	,	,	$	$,	_	0	root	_	_
48	noch	noch	K	KON	_	0	root	_	_
49	dem	die	P	PRELS	_|Dat|Sg	48	cj	492	492
50	der	die	A	ART	Def|Fem|Dat|Sg	51	det	_	_
51	Frau	Frau	N	NN	Fem|Dat|Sg	63	objd	_	_
52	Varnhagen	Varnhagen	N	NE	Fem|Dat|Sg	51	app	_	_
53	von	von	P	APPR	_	51	pp	_	_
54	Ense	Ense	N	NE	Fem|_|Sg	53	pn	493	493
55	,	,	$	$,	_	0	root	493	493
56	die	die	P	PRELS	Fem|Nom|Sg	61	subj	493	493
57	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	58	det	493	493
58	Zeit	Zeit	N	NN	Fem|Dat|Sg	60	objd	_	_
59	Rahal	Rahal	N	NE	Fem|Dat|Sg	58	app	_	_
60	genannt	nennen	V	VVPP	_	61	aux	_	_
61	wurde	werden	V	VAFIN	3|Sg|Past|Ind	54	rel	_	_
62	,	,	$	$,	_	0	root	_	_
63	konnte	können	V	VMFIN	_|Sg|Past|Ind	0	root	_	_
64	etwas	etwas	A	PIAT	Neut|Nom|Sg	65	det	_	_
65	Feineres	Feineres	N	NN	Neut|Nom|Sg	74	subj	_	_
66	und	und	K	KON	_	65	kon	_	_
67	Besseres	Besseres	N	NN	Neut|Nom|Sg	66	cj	_	_
68	mit	mit	P	APPR	Dat	74	pp	_	_
69	einem	eine	A	ART	Indef|Neut|Dat|Sg	70	det	_	_
70	bessern	bessern	N	NN	Neut|Dat|Sg	68	pn	_	_
71	und	und	K	KON	_	70	kon	_	_
72	feinern	feinern	A	ADJA	_|Neut|Dat|_|_	73	attr	_	_
73	Lächeln	Lächeln	N	NN	Neut|Dat|_	71	cj	_	_
74	bemerkt	bemerken	V	VVPP	_	63	neb	_	_
75	werden	werden	V	VAINF	_	0	root	_	_
76	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	494	494
2	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
4	damit	damit	P	PROAV	_	2	pp	_	_
5	vollständig	vollständig	A	ADJD	Pos|	2	adv	_	_
6	heraus	heraus	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	24	konj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	494	494
10	hier	hier	A	ADV	_	23	adv	_	_
11	am	an	P	APPRART	Dat	23	pp	_	_
12	Ort	Ort	N	NN	_|Dat|Sg	11	pn	1693	1693
13	in	in	P	APPR	Dat	23	pp	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	495	495
15	Heimat	Heimat	N	NN	Fem|Dat|Sg	13	pn	495	495
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	496	496
17	Fuß	Fuß	N	NN	Masc|Acc|Sg	23	obja	496	496
18	zuerst	zuerst	A	ADV	_	23	adv	_	_
19	auf	auf	P	APPR	Acc	23	objp	_	_
20	einen	eine	A	ART	Indef|Masc|Acc|Sg	22	det	497	497
21	verzauberten	verzaubert	A	ADJA	Pos|Masc|Acc|Sg|_|	22	attr	497	497
22	Boden	Boden	N	NN	Masc|Acc|Sg	19	pn	497	497
23	gesetzt	setzen	V	VVPP	_	24	aux	497	497
24	hatte	haben	V	VAFIN	1|Sg|Past|Ind	2	objc	497	497
25	,	,	$	$,	_	0	root	497	497
26	auf	auf	P	APPR	Dat	45	pp	497	497
27	welchem	welche	P	PRELS	Masc|Dat|Sg	26	pn	497	497
28	die	die	A	ART	Def|Fem|Nom|Pl	29	det	_	_
29	Enttäuschungen	Enttäuschung	N	NN	Fem|Nom|Pl	46	subj	_	_
30	der	die	A	ART	Def|Fem|Gen|Sg	31	det	_	_
31	Heimkehr	Heimkehr	N	NN	Fem|Gen|Sg	29	gmod	_	_
32	doch	doch	A	ADV	_	45	adv	_	_
33	vielleicht	vielleicht	A	ADV	_	45	adv	_	_
34	noch	noch	A	ADV	_	45	adv	_	_
35	einem	eine	A	ART	Indef|Neut|Dat|Sg	43	det	_	_
36	rechten	recht	A	ADJA	Pos|Neut|Dat|Sg|Wk|	43	attr	_	_
37	,	,	$	$,	_	0	root	_	_
38	echten	echt	A	ADJA	Pos|_|Dat|_|_|	36	kon	_	_
39	,	,	$	$,	_	0	root	_	_
40	wahrhaftigen	wahrhaftig	A	ADJA	Pos|_|Dat|_|_|	38	kon	_	_
41	,	,	$	$,	_	0	root	_	_
42	wirklichen	wirklich	A	ADJA	Pos|_|Dat|_|_|	40	kon	_	_
43	Heimatsbehagen	Heimatsbehagen	N	NN	Neut|Dat|Sg	45	objd	_	_
44	Raum	Raum	N	NN	Masc|_|Sg	45	obja	_	_
45	geben	geben	V	VVINF	_	46	aux	_	_
46	konnten	können	V	VMFIN	3|Pl|Past|Ind	22	rel	_	_
47	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	33	pp	_	_
2	zehn	zehn	C	CARD	_	3	attr	_	_
3	Minuten	Minute	N	NN	Fem|Dat|Pl	1	pn	_	_
4	einer	eine	A	ART	Indef|Fem|Gen|Sg	5	det	498	498
5	Unterhaltung	Unterhaltung	N	NN	Fem|Gen|Sg	3	gmod	498	498
6	,	,	$	$,	_	0	root	498	498
7	die	die	P	PRELS	Fem|Nom|Sg	13	subj	498	498
8	sich	sie	P	PRF	3|_|_	13	obja	_	_
9	nur	nur	A	ADV	_	13	adv	_	_
10	auf	auf	P	APPR	Acc	13	objp	_	_
11	unser	unsre	A	PPOSAT	Neut|Acc|Sg	12	det	499	499
12	Wiederaneinanderherantreten	Wiederaneinanderherantreten	N	NN	Neut|Acc|Sg	10	pn	_	_
13	bezog	beziehen	V	VVFIN	3|Sg|Past|Ind	5	rel	_	_
14	und	und	K	KON	_	13	kon	_	_
15	gar	gar	A	ADV	_	17	adv	_	_
16	nichts	nichts	A	PIAT	Neut|Nom|Sg	17	det	_	_
17	Bemerkenswertes	Bemerkenswertes	N	NN	Neut|Nom|Sg	20	subj	_	_
18	an	an	P	APPR	_	17	pp	_	_
19	sich	sie	P	PRF	3|_|_	18	pn	_	_
20	hatte	haben	V	VAFIN	3|Sg|Past|Ind	14	cj	_	_
21	,	,	$	$,	_	0	root	_	_
22	wollte	wollen	V	VMFIN	_|Sg|Past|_	13	kon	_	_
23	uns	wir	P	PPER	1|Pl|_|_	22	obja	499	499
24	die	die	A	ART	Def|Fem|_|Sg	25	det	467	467
25	Frau	Frau	N	NN	Fem|_|Sg	26	obja	467	467
26	verlassen	verlassen	V	VVPP	_	22	neb	_	_
27	und	und	K	KON	_	22	kon	_	_
28	ins	in	P	APPRART	Acc	30	objp	_	_
29	Haus	Haus	N	NN	Neut|Acc|Sg	28	pn	96	96
30	gehen	gehen	V	VVFIN	_|Pl|Pres|_	27	cj	_	_
31	,	,	$	$,	_	0	root	_	_
32	dem	die	A	ART	Def|Masc|Dat|Sg	33	det	_	_
33	Gatten	Gatte	N	NN	Masc|Dat|Sg	0	root	_	_
34	verständnisvoll	verständnisvoll	A	ADJD	Pos|	35	adv	_	_
35	zunickend	zunicken	A	ADJD	_|<PPRES	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	nachdem	nachdem	K	KOUS	_	40	konj	_	_
38	Stopfkuchen	Stopfkuchen	N	NN	Masc|Nom|Sg	40	subj	156	156
39	gesagt	sagen	V	VVPP	_	40	aux	_	_
40	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
41	:	\:	$	$.	_	0	root	_	_
42	»	»	$	$(	_	0	root	_	_
43	Du	du	P	PPER	2|Sg|_|Nom	0	root	_	_
44	,	,	$	$,	_	0	root	_	_
45	Mieze	Mieze	N	NN	Fem|Nom|Sg	43	app	_	_
46	,	,	$	$,	_	0	root	_	_
47	natürlich	natürlich	A	ADJD	Pos|	48	adv	_	_
48	rastet	rasen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
49	der	die	A	ART	Def|Masc|Nom|Sg	50	det	500	500
50	Fremdling	Fremdling	N	NN	Masc|Nom|Sg	48	subj	500	500
51	heute	heute	A	ADV	_	48	adv	_	_
52	im	in	P	APPRART	Dat	48	pp	_	_
53	Gelobten	gelobt	A	ADJA	Pos|Neut|Dat|Sg|Wk|	54	attr	_	_
54	Lande	Land	N	NN	Neut|Dat|Sg	52	pn	_	_
55	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	_	4	pp	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	1396	1396
3	Abendkühle	Abendkühle	N	NN	Masc|Nom|Sg	1	pn	1396	1396
4	können	können	V	VMFIN	1|Pl|Pres|_	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	4	subj	499	499
6	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	500	500
7	dann	dann	A	ADV	_	4	adv	_	_
8	ja	ja	A	ADV	_	4	adv	_	_
9	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
10	bißchen	bißchen	A	ADV	_	11	adv	_	_
11	auf	auf	P	APPR	Dat	0	root	_	_
12	seinem	seine	A	PPOSAT	Masc|Dat|Sg	13	det	500	500
13	Wege	Weg	N	NN	Masc|Dat|Sg	11	pn	_	_
14	nach	nach	P	APPR	Dat	13	pp	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	54	54
16	Stadt	Stadt	N	NN	Fem|Dat|Sg	14	pn	54	54
17	und	und	K	KON	_	16	kon	_	_
18	Afrika	Afrika	N	NE	Neut|Dat|Sg	17	cj	42	42
19	zurückbegleiten	zurückbegleiten	V	VVINF	_	0	root	_	_
20	.	.	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	494	494
2	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	wohl	wohl	A	ADV	_	8	adv	_	_
4	nicht	nicht	P	PTKNEG	_	8	adv	_	_
5	mit	mit	P	APPR	Dat	8	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	_	_
7	Absicht	Absicht	N	NN	Fem|Dat|Sg	5	pn	_	_
8	gekommen	kommen	V	VVPP	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	lange	lange	A	ADJD	_	13	adv	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	verweilen	verweilen	V	VVINF	_	8	obji	_	_
14	;	;	$	$.	_	0	root	_	_
15	aber	aber	K	KON	_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	494	494
17	bin	sein	V	VAFIN	1|Sg|Pres|Ind	15	cj	_	_
18	doch	doch	A	ADV	_	28	adv	_	_
19	wirklich	wirklich	A	ADJD	Pos|	28	adv	_	_
20	gern	gern	A	ADV	_	28	adv	_	_
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	92	92
22	Tag	Tag	N	NN	Masc|Acc|Sg	23	pn	92	92
23	über	über	P	APPO	Acc	28	pp	_	_
24	auf	auf	P	APPR	Dat	23	kon	_	_
25	der	die	A	ART	Def|Fem|Dat|Sg	27	det	41	41
26	roten	rot	A	ADJA	Pos|Fem|Dat|Sg|Wk|	27	attr	41	41
27	Schanze	Schanze	N	NN	Fem|Dat|Sg	24	pn	41	41
28	geblieben	bleiben	V	VVPP	_	17	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	nachdem	nachdem	K	KOUS	_	34	konj	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	34	subj	494	494
32	meinerseits	meinerseits	A	ADV	_	33	adv	_	_
33	gerufen	rufen	V	VVPP	_	34	aux	_	_
34	hatte	haben	V	VAFIN	1|Sg|Past|Ind	17	neb	_	_
35	:	\:	$	$.	_	0	root	_	_
36	»	»	$	$(	_	0	root	_	_
37	Oh	oh	I	ITJ	_	0	root	_	_
38	,	,	$	$,	_	0	root	_	_
39	Frau	Frau	N	NN	Fem|_|Sg	0	root	300	300
40	Valentine	Valentine	N	NE	Fem|_|Sg	39	app	300	300
41	,	,	$	$,	_	0	root	_	_
42	wohin	wohin	P	PWAV	_	43	pp	_	_
43	wollen	wollen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
44	Sie	sie	P	PPER	3|Pl|_|Nom	43	subj	59	59
45	?	?	$	$.	_	0	root	_	_

1	Bleiben	bleiben	V	VVFIN	_|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	59	59
3	sitzen	sitzen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	aus	aus	P	APPR	Dat	13	objp	_	_
4	Südkaffraria	Südkaffraria	N	NE	_|Dat|_	3	pn	_	_
5	und	und	K	KON	_	3	kon	_	_
6	über	über	P	APPR	Acc	5	cj	_	_
7	die	die	A	ART	Def|_|Acc|Pl	8	det	_	_
8	Tropen	Tropen	N	NN	_|Acc|Pl	6	pn	_	_
9	auf	auf	P	APPR	_	8	pp	_	_
10	Besuch	Besuch	N	NN	Masc|_|Sg	9	pn	455	455
11	nach	nach	P	APPR	Dat	6	kon	_	_
12	Hause	Haus	N	NN	Neut|Dat|Sg	11	pn	96	96
13	gekommen	kommen	V	VVPP	_	14	aux	_	_
14	sein	sein	V	VAINF	_	2	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	um	um	K	KOUI	_	19	konj	_	_
17	wirklich	wirklich	A	ADJD	Pos|	19	adv	_	_
18	zu	zu	P	PTKZU	_	19	part	_	_
19	erproben	erproben	V	VVINF	_	38	neb	_	_
20	,	,	$	$,	_	0	root	_	_
21	wie	wie	P	PWAV	_	22	adv	_	_
22	wohlig	wohlig	A	ADJD	Pos|	38	pp	_	_
23	es	es	P	PPER	3|Sg|Neut|Nom	38	subj	_	_
24	sich	sie	P	PRF	3|_|Dat	37	objd	_	_
25	zu	zu	P	APPR	Dat	37	pp	_	_
26	Hause	Haus	N	NN	Neut|Dat|Sg	25	pn	96	96
27	an	an	P	APPR	Dat	37	pp	_	_
28	einem	eine	A	ART	Indef|_|Dat|Sg	29	det	501	501
29	Morgen	Morgen	N	NN	_|Dat|Sg	27	pn	501	501
30	wie	wie	K	KOKOM	_	29	kom	501	501
31	der	die	A	ART	Def|_|_|_	32	det	501	501
32	heutige	heutig	A	ADJA	Masc|Nom|Sg	30	cj	501	501
33	vor	vor	P	APPR	Dat	37	pp	_	_
34	einem	eine	A	ART	Indef|Neut|Dat|Sg	36	det	_	_
35	solchen	solche	A	PIDAT	Neut|Dat|Sg	36	attr	_	_
36	Hause	Haus	N	NN	Neut|Dat|Sg	33	pn	_	_
37	sitzen	sitzen	V	VVINF	_	38	obji	_	_
38	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
39	!	!	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nicht	nicht	P	PTKNEG	_	3	adv	_	_
3	wahr	wahr	A	ADJD	Pos|	0	root	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	Stopfkuchen	Stopfkuchen	N	NN	Masc|Nom|Sg	6	subj	156	156
8	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	hörst	hören	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	502	502
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_	3	obja	501	501
7	mal	mal	A	ADV	_	3	adv	_	_
8	wieder	wieder	A	ADV	_	3	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	Tinchen	Tinchen	N	NE	_	3	vok	151	151
11	Quakatz	Quakatz	N	NE	_	10	app	151	151
12	!	!	$	$.	_	0	root	_	_

1	Übrigens	übrigens	A	ADV	_	2	adv	_	_
2	geh	geh	V	VVFIN	2|Sg|_|_	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	502	502
4	nur	nur	A	ADV	_	2	adv	_	_
5	ruhig	ruhig	A	ADJD	Pos|	2	adv	_	_
6	hin	hin	P	PTKVZ	_	2	avz	_	_
7	;	;	$	$.	_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	10	det	503	503
9	fremde	fremd	A	ADJA	Pos|Masc|Nom|Sg|Wk|	10	attr	503	503
10	Herr	Herr	N	NN	Masc|Nom|Sg	11	subj	503	503
11	erzählt	erzählen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
12	uns	wir	P	PPER	1|Pl|_|Dat	11	objd	_	_
13	nachher	nachher	A	ADV	_	11	adv	_	_
14	wohl	wohl	A	ADV	_	11	adv	_	_
15	das	die	A	ART	Def|Neut|_|Sg	16	det	608	608
16	Genauere	Genauere	N	NN	Neut|_|Sg	11	obja	608	608
17	von	von	P	APPR	Dat	11	pp	_	_
18	seinem	seine	A	PPOSAT	Neut|Dat|Sg	19	det	503	503
19	Hauswesen	Hauswesen	N	NN	Neut|Dat|Sg	17	pn	_	_
20	da	da	A	ADV	_	19	adv	_	_
21	unten	unten	A	ADV	_	19	adv	_	_
22	,	,	$	$,	_	0	root	_	_
23	dahinten	dahinten	A	ADV	_	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	2	obja	_	_
2	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	wahrhaftig	wahrhaftig	A	ADJD	Pos|	2	adv	_	_
5	am	am	P	PTKA	_	6	adv	_	_
6	besten	besten	A	ADJD	_	2	adv	_	_
7	und	und	K	KON	_	6	kon	_	_
8	gemütlichsten	gemütlich	A	ADJA	Sup|_|_|_|_|	7	cj	_	_
9	bei	bei	P	APPR	Dat	2	pp	_	_
10	Tische	Tisch	N	NN	Masc|Dat|Sg	9	pn	504	504
11	ab	ab	P	PTKVZ	_	2	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Laß	Laß	V	VVIMP	_	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	0	root	502	502
3	dich	du	P	PPER	2|Sg|_|Acc	8	obja	502	502
4	nicht	nicht	P	PTKNEG	_	8	adv	_	_
5	von	von	P	APPR	Dat	8	pp	_	_
6	ihm	er	P	PPER	3|Sg|_|Dat	5	pn	503	503
7	jetzt	jetzt	A	ADV	_	5	adv	_	_
8	abhalten	abhalten	V	VVINF	_	0	root	_	_
9	;	;	$	$.	_	0	root	_	_
10	geh	gehen	V	VVIMP	Sg	0	root	_	_
11	du	du	P	PPER	2|Sg|_|Nom	0	root	502	502
12	ruhig	ruhig	A	ADJD	Pos|	0	root	_	_
13	an	an	P	APPR	Acc	12	pp	_	_
14	dein	deine	A	PPOSAT	Neut|Acc|Sg	15	det	502	502
15	Geschäft	Geschäft	N	NN	Neut|Acc|Sg	13	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	Müschen	Müschen	N	NN	Neut|Acc|_	15	app	_	_
18	.	.	$	$.	_	0	root	_	_

1	Dieser	diese	A	PDAT	Masc|Nom|Sg	3	det	505	505
2	abenteuernde	abenteuernde	A	ADJA	_|Masc|Nom|Sg|_	3	attr	505	505
3	Afrikaner	Afrikaner	N	NN	Masc|Nom|Sg	4	subj	505	505
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	seine	seine	A	PPOSAT	_|_|_	7	det	505	505
6	richtige	richtig	A	ADJA	Pos|_|_|_|_|	7	attr	_	_
7	Desdemona	Desdemona	N	NN	_|_|_	12	obja	_	_
8	wohl	wohl	A	ADV	_	12	adv	_	_
9	auch	auch	A	ADV	_	12	adv	_	_
10	schon	schon	A	ADV	_	12	adv	_	_
11	anderswo	anderswo	A	ADV	_	12	adv	_	_
12	gefunden	finden	V	VVPP	_	13	aux	_	_
13	haben	haben	V	VAINF	_	4	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	4	kon	_	_
16	du	du	P	PPER	2|Sg|_|Nom	17	subj	502	502
17	kriegst	kriegen	V	VVFIN	2|Sg|Pres|Ind	15	cj	_	_
18	doch	doch	A	ADV	_	17	adv	_	_
19	nur	nur	A	ADV	_	17	adv	_	_
20	die	die	A	ART	Def|Masc|_|Pl	22	det	_	_
21	schönen	schön	A	ADJA	Pos|Masc|_|Pl|Wk|	22	attr	_	_
22	Reste	Rest	N	NN	Masc|_|Pl	17	obja	_	_
23	seiner	seine	A	PPOSAT	_|_|_	24	det	505	505
24	Schnurren	Schnurren	N	NN	_|Gen|_	22	gmod	_	_
25	und	und	K	KON	_	24	kon	_	_
26	Seelenstimmungen	Seelenstimmung	N	NN	Fem|Gen|Pl	25	cj	_	_
27	.	.	$	$.	_	0	root	_	_

1	Geh	gehen	V	VVIMP	Sg	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	0	root	502	502
3	ruhig	ruhig	A	ADJD	Pos|	0	root	_	_
4	in	in	P	APPR	Acc	3	pp	_	_
5	deine	deine	A	PPOSAT	Fem|Acc|Sg	6	det	502	502
6	Küche	Küche	N	NN	Fem|Acc|Sg	4	pn	1347	1347
7	-	-	$	$(	_	0	root	_	_
8	doch	doch	K	KON	_	0	root	_	_
9	die	die	A	ART	Def|_|_|_	8	cj	_	_
10	Hauptsache	Hauptsache	N	NN	Fem|_|Sg	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	2	adv	_	_
2	ihm	er	P	PPER	3|Sg|_|Dat	0	root	505	505
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	4	koord	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	506	506
3	Gatte	Gatte	N	NN	Masc|Nom|Sg	4	subj	506	506
4	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	_	_
6	Gattin	Gattin	N	NN	Fem|Dat|Sg	4	objd	_	_
7	einen	eine	A	ART	Indef|Masc|Acc|Sg	10	det	_	_
8	schmunzelnd	schmunzeln	A	ADJD	_|<PPRES	9	adv	_	_
9	verständnisinnigen	verständnisinnig	A	ADJA	Pos|Masc|Acc|Sg|_|	10	attr	_	_
10	Blick	Blick	N	NN	Masc|Acc|Sg	4	obja	_	_
11	zu	zu	P	PTKVZ	_	4	avz	_	_
12	und	und	K	KON	_	4	kon	_	_
13	zog	ziehen	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	mit	mit	P	APPR	Dat	13	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	_	_
17	Handkante	Handkante	N	NN	Fem|Dat|Sg	15	pn	_	_
18	vor	vor	P	APPR	Dat	13	pp	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	_	_
20	Gurgel	Gurgel	N	NN	Fem|Dat|Sg	18	pn	_	_
21	her	her	P	PTKVZ	_	13	avz	_	_
22	,	,	$	$,	_	0	root	_	_
23	den	die	A	ART	Def|Masc|Acc|Sg	24	det	_	_
24	Gestus	Gestus	N	NN	Masc|Acc|Sg	0	root	_	_
25	des	die	A	ART	Def|Neut|Gen|Sg	26	det	_	_
26	Halsabschneidens	Halsabschneiden	N	NN	Neut|Gen|Sg	24	gmod	_	_
27	aufs	auf	P	APPRART	Acc	26	pp	_	_
28	vollkommenste	vollkommen	A	ADJA	Sup|_|Acc|_|_|	27	pn	_	_
29	zur	zu	P	APPRART	Dat	24	pp	_	_
30	Darstellung	Darstellung	N	NN	Fem|Dat|Sg	29	pn	537	537
31	bringend	bringen	A	ADJD	_|<PPRES	0	root	_	_
32	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Heinz	Heinz	N	NE	_|Nom|Sg	3	subj	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	wahrhaftig	wahrhaftig	A	ADV	_	3	adv	_	_
