1	Dassel	Dassel	N	NE	_|Nom|Sg	2	subj	315	315
2	geschlagene	geschlagen	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Knecht	Knecht	N	NN	Masc|Nom|Sg	4	subj	_	_
4	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	ihm	er	P	PPER	3|Sg|_|Dat	4	objd	2	2
6	drohend	drohen	A	ADJD	_|<PPRES	4	adv	_	_
7	nach	nach	P	PTKVZ	_	4	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	11	det	332	332
10	geschimpfte	geschimpft	A	ADJA	Pos|Fem|Nom|Sg|_|	11	attr	332	332
11	Magd	Magd	N	NN	Fem|Nom|Sg	26	subj	332	332
12	,	,	$	$,	_	0	root	332	332
13	die	die	P	PRELS	Fem|Nom|Sg	22	subj	332	332
14	ihre	ihre	A	PPOSAT	Fem|_|Sg	15	det	332	332
15	Schürze	Schürze	N	NN	Fem|_|Sg	23	obja	_	_
16	dem	die	A	ART	Def|Masc|Dat|Sg	17	det	600	600
17	Menschen	Mensch	N	NN	Masc|Dat|Sg	23	objd	600	600
18	um	um	P	APPR	Acc	22	pp	_	_
19	die	die	A	ART	Def|Fem|Acc|Sg	21	det	_	_
20	verwundete	verwundet	A	ADJA	Pos|Fem|Acc|Sg|_|	21	attr	_	_
21	Hand	Hand	N	NN	Fem|Acc|Sg	18	pn	_	_
22	hatte	haben	V	VAFIN	3|Sg|Past|Ind	11	rel	_	_
23	binden	binden	V	VVINF	_	24	aux	_	_
24	wollen	wollen	V	VMINF	_	22	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	tat	tun	V	VVFIN	3|Sg|Past|Ind	4	kon	_	_
27	das	die	P	PDS	Neut|_|Sg	26	obja	_	_
28	jetzt	jetzt	A	ADV	_	26	adv	_	_
29	schluchzend	schluchzen	A	ADJD	_|<PPRES	26	adv	_	_
30	.	.	$	$.	_	0	root	_	_

1	Von	von	P	APPR	Dat	5	pp	_	_
2	dem	die	A	ART	Def|Neut|Dat|Sg	3	det	1960	1960
3	Amtshause	Amtshaus	N	NN	Neut|Dat|Sg	1	pn	1960	1960
4	her	her	A	APZR	_	1	part	_	_
5	klang	klingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	8	det	_	_
7	keifende	keifend	A	ADJA	Pos|Fem|Nom|Sg|_|<PPRES	8	attr	_	_
8	Weiberzunge	Weiberzunge	N	NN	Fem|Nom|Sg	5	subj	_	_
9	und	und	K	KON	_	8	kon	_	_
10	durcheinanderzeternde	durcheinanderzeternd	A	ADJA	Pos|_|Nom|_|_|<PPRES	11	attr	_	_
11	Kinderstimmen	Kinderstimme	N	NN	_|Nom|_	9	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	663	663
2	Hunde	Hund	N	NN	Masc|Nom|Pl	3	subj	663	663
3	bellten	bellen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	sämtlich	sämtlich	A	ADJD	Pos|	3	adv	_	_
5	;	;	$	$.	_	0	root	_	_
6	das	die	A	ART	Def|Neut|Nom|Sg	10	det	_	_
7	wenige	wenige	A	PIDAT	Neut|Nom|Sg	10	attr	_	_
8	noch	noch	A	ADV	_	9	adv	_	_
9	vorhandene	vorhanden	A	ADJA	Pos|Neut|Nom|Sg|Wk|	10	attr	_	_
10	Vieh	Vieh	N	NN	Neut|Nom|Sg	11	subj	_	_
11	regte	regen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	sich	sie	P	PRF	3|_|_	11	obja	_	_
13	in	in	P	APPR	Dat	11	pp	_	_
14	den	die	A	ART	Def|Masc|Dat|Pl	15	det	333	333
15	Ställen	Stall	N	NN	Masc|Dat|Pl	13	pn	333	333
16	.	.	$	$.	_	0	root	_	_

1	Verhaltenes	verhalten	A	ADJA	Pos|Neut|Nom|Sg|St|	2	attr	_	_
2	Spottlachen	Spottlache	N	NN	Neut|Nom|Sg	14	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	Schimpfworte	Schimpfwort	N	NN	Neut|Nom|Pl	2	kon	_	_
5	,	,	$	$,	_	0	root	_	_
6	verhaltenes	verhalten	A	ADJA	Pos|Neut|Nom|Sg|St|	7	attr	_	_
7	Murren	Murren	N	NN	Neut|Nom|Sg	4	kon	_	_
8	und	und	K	KON	_	7	kon	_	_
9	dann	dann	A	ADV	_	12	adv	_	_
10	und	und	K	KON	_	9	kon	_	_
11	wann	wann	P	PWAV	_	10	cj	_	_
12	schrille	schrill	A	ADJA	Pos|Masc|Nom|Pl|St|	13	attr	_	_
13	Pfiffe	Pfiff	N	NN	Masc|Nom|Pl	8	cj	_	_
14	kamen	kommen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
15	aus	aus	P	APPR	Dat	14	objp	_	_
16	den	die	A	ART	Def|Masc|Dat|Pl	17	det	_	_
17	Winkeln	Winkel	N	NN	Masc|Dat|Pl	15	pn	_	_
18	des	die	A	ART	Def|Masc|Gen|Sg	19	det	_	_
19	Hofes	Hof	N	NN	Masc|Gen|Sg	17	gmod	_	_
20	,	,	$	$,	_	0	root	_	_
21	wo	wo	P	PWAV	_	31	adv	_	_
22	das	die	A	ART	Def|Neut|Nom|Sg	24	det	_	_
23	sonstige	sonstig	A	ADJA	Pos|Neut|Nom|Sg|Wk|	24	attr	_	_
24	Gesinde	Gesinde	N	NN	Neut|Nom|Sg	32	subj	_	_
25	sich	sie	P	PRF	3|_|_	31	obja	_	_
26	vor	vor	P	APPR	Dat	31	pp	_	_
27	dem	die	A	ART	Def|Masc|Dat|Sg	28	det	_	_
28	Grimm	Grimm	N	NN	Masc|Dat|Sg	26	pn	_	_
29	des	die	A	ART	Def|_|Gen|Sg	30	det	245	245
30	Herrn	Herrn	N	NN	_|Gen|Sg	28	gmod	245	245
31	verkrochen	verkriechen	V	VVPP	_	32	aux	_	_
32	hatte	haben	V	VAFIN	3|Sg|Past|Ind	19	rel	_	_
33	,	,	$	$,	_	0	root	_	_
34	und	und	K	KON	_	32	kon	_	_
35	der	die	A	ART	Def|Masc|Nom|Sg	36	det	_	_
36	Homeister	Homeister	N	NN	Masc|Nom|Sg	37	subj	_	_
37	meinte	meinen	V	VVFIN	3|Sg|Past|_	34	cj	_	_
38	zu	zu	P	APPR	Dat	37	pp	_	_
39	dem	die	A	ART	Def|Masc|Dat|Sg	40	det	57	57
40	Magister	Magister	N	NN	Masc|Dat|Sg	38	pn	57	57
41	gewendet	gewendet	A	ADJD	Pos|	37	adv	_	_
42	dem	die	A	ART	Def|Masc|Dat|Sg	43	det	112	112
43	Amtmann	Amtmann	N	NN	Masc|Dat|Sg	37	objd	112	112
44	nachdeutend	nachdeuten	A	ADJD	_|<PPRES	37	adv	_	_
45	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Herr	Herr	N	NE	_	0	root	174	174
3	,	,	$	$,	_	0	root	_	_
4	wen	wer	P	PWS	_|Acc|Sg	0	root	_	_
5	der	die	A	ART	Def|_|_|_	0	root	_	_
6	heute	heute	A	ADV	_	11	adv	_	_
7	abend	abend	A	ADV	_	11	adv	_	_
8	zu	zu	P	APPR	Dat	11	pp	_	_
9	seiner	seine	A	PPOSAT	Fem|Dat|Sg	10	det	2	2
10	Suppe	Suppe	N	NN	Fem|Dat|Sg	8	pn	_	_
11	einlädt	einladen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	dem	die	P	PDS	_|Dat|Sg	23	objd	_	_
14	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	2	2
16	auch	auch	A	ADV	_	23	adv	_	_
17	einen	eine	A	ART	Indef|Masc|Acc|Sg	19	det	544	544
18	schlimmen	schlimm	A	ADJA	Pos|Masc|Acc|Sg|_|	19	attr	544	544
19	Löffel	Löffel	N	NN	Masc|Acc|Sg	23	obja	544	544
20	bei	bei	P	APPR	Dat	23	pp	_	_
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	_	_
22	Napf	Napf	N	NN	Masc|Acc|Sg	20	pn	_	_
23	legen	legen	V	VVINF	_	14	aux	_	_
24	.	.	$	$.	_	0	root	_	_

1	No	No	F	FM	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	no	no	F	FM	_	1	app	_	_
4	,	,	$	$,	_	0	root	_	_
5	freilich	freilich	A	ADV	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
8	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	auch	auch	A	ADV	_	8	adv	_	_
10	schwer	schwer	A	ADJD	Pos|	8	adv	_	_
11	genug	genug	A	ADV	_	10	adv	_	_
12	auf	auf	P	APPR	Dat	8	pp	_	_
13	ihm	er	P	PPER	3|Sg|_|Dat	12	pn	2	2
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	8	kon	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	2	2
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	15	cj	_	_
18	mit	mit	P	APPR	Dat	17	pp	_	_
19	keinem	keine	P	PIS	_|Dat|Sg	18	pn	_	_
20	bessern	bessern	V	VVINF	_	0	root	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	fressen	fressen	V	VVINF	_	0	root	_	_
23	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|_|_|_	0	root	_	_
2	Herr	Herr	N	NN	Masc|Nom|Pl	5	subj	334	334
3	Magister	Magister	N	NN	Masc|Nom|_	2	app	334	334
4	aber	aber	A	ADV	_	3	adv	_	_
5	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
6	sich	sie	P	PRF	3|_|Dat	13	objd	_	_
7	wohl	wohl	A	ADV	_	13	adv	_	_
8	Ihr	ihre	A	PPOSAT	Neut|_|Sg	9	det	334	334
9	Abendbrod	Abendbrod	N	NN	Neut|_|Sg	13	obja	_	_
10	da	da	A	ADV	_	13	adv	_	_
11	im	in	P	APPRART	Dat	13	pp	_	_
12	Taschentuch	Taschentuch	N	NN	Neut|Dat|Sg	11	pn	335	335
13	eingeholt	einholen	V	VVPP	_	5	aux	_	_
14	?	?	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	unsere	unsre	A	PPOSAT	Masc|_|Pl	4	det	338	338
3	alten	alt	A	ADJA	Pos|Masc|_|Pl|Wk|	4	attr	_	_
4	Vorfahren	Vorfahr	N	NN	Masc|_|Pl	0	root	_	_
5	hier	hier	A	ADV	_	4	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	A	ART	Def|Masc|_|Pl	8	det	_	_
8	Mönche	Mönch	N	NN	Masc|_|Pl	4	kon	_	_
9	,	,	$	$,	_	0	root	_	_
10	Wurzeln	Wurzel	N	NN	_|_|_	8	kon	_	_
11	aus	aus	P	APPR	Dat	10	pp	_	_
12	dem	die	A	ART	Def|Masc|Dat|Sg	13	det	336	336
13	Erdboden	Erdboden	N	NN	Masc|Dat|Sg	11	pn	336	336
14	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	wohl	wohl	A	ADV	_	2	adv	_	_
4	recht	recht	A	ADJD	Pos|	2	pred	_	_
5	.	.	$	$.	_	0	root	_	_

1	Den	die	A	ART	Def|Masc|_|_	3	det	_	_
2	gebratenen	gebraten	A	ADJA	Pos|Masc|_|_|_|	3	attr	_	_
3	Ochsen	Ochse	N	NN	Masc|_|_	14	obja	_	_
4	mit	mit	P	APPR	Dat	3	pp	_	_
5	Haß	Haß	N	NN	Masc|Dat|Sg	4	pn	337	337
6	,	,	$	$,	_	0	root	337	337
7	von	von	P	APPR	Dat	12	pp	337	337
8	dem	die	P	PRELS	Masc|Dat|Sg	7	pn	337	337
9	der	die	A	ART	Def|Masc|Nom|Sg	11	det	_	_
10	weise	weise	A	ADJA	Pos|Masc|Nom|Sg|Wk|	11	attr	_	_
11	Sirach	Sirach	N	NN	Masc|Nom|Sg	12	subj	_	_
12	schreibt	schreiben	V	VVFIN	3|Sg|Pres|Ind	5	rel	_	_
13	,	,	$	$,	_	0	root	_	_
14	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	14	subj	338	338
16	also	also	A	ADV	_	18	adv	459	459
17	den	die	A	ART	Def|Neut|Dat|Pl	18	det	459	459
18	Franschen	Franschen	N	NN	Neut|Dat|Pl	20	objd	459	459
19	wieder	wieder	A	ADV	_	20	adv	_	_
20	vorzusetzen	vorsetzen	V	VVIZU	_	14	obji	_	_
21	,	,	$	$,	_	0	root	_	_
22	und	und	K	KON	_	14	kon	_	_
23	die	die	A	ART	Def|_|Nom|Pl	24	det	_	_
24	Sackermenter	Sackermenter	N	NN	_|Nom|Pl	25	subj	_	_
25	lassen	lassen	V	VVFIN	3|Pl|Pres|_	22	cj	_	_
26	all	all	A	PIDAT	Masc|_|Sg	28	det	_	_
27	unsern	unsre	A	PPOSAT	Masc|_|Sg	28	det	338	338
28	Kohl	Kohl	N	NN	Masc|_|Sg	25	obja	_	_
29	mit	mit	P	APPR	Dat	32	pp	_	_
30	Liebe	Liebe	N	NN	Fem|Dat|Sg	29	pn	717	717
31	drum	drum	P	PROAV	_	32	pp	_	_
32	stehen	stehen	V	VVINF	_	25	obji	_	_
33	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	lange	lange	A	ADJD	_	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	Herr	Herr	N	NN	Masc|_|Sg	0	root	254	254
5	du	du	P	PPER	2|Sg|_|Nom	0	root	_	_
6	mein	meine	A	PPOSAT	_|_|Sg	0	root	_	_
7	je	je	A	ADV	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	Herr	Herr	N	NN	Masc|_|Sg	0	root	254	254
10	,	,	$	$,	_	0	root	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
12	Er	er	P	PPER	3|Sg|Masc|Nom	11	subj	254	254
13	denn	denn	A	ADV	_	22	adv	_	_
14	wahrhaftig	wahrhaftig	A	ADJD	Pos|	22	adv	_	_
15	vorhin	vorhin	A	ADV	_	22	adv	_	_
16	mit	mit	P	APPR	Dat	22	pp	_	_
17	unter	unter	P	APPR	Dat	16	pp	_	_
18	den	die	A	ART	Def|_|Dat|Pl	19	det	1166	1166
19	Rabenäsern	Rabenaas	N	NN	_|Dat|Pl	17	pn	1166	1166
20	im	in	P	APPRART	Dat	22	pp	_	_
21	Zuge	Zug	N	NN	_|Dat|Sg	20	pn	339	339
22	gezogen	ziehen	V	VVPP	_	11	aux	_	_
23	und	und	K	KON	_	11	kon	_	_
24	hat	haben	V	VAFIN	3|Sg|Pres|Ind	23	cj	_	_
25	sich	sie	P	PRF	3|_|Dat	32	objd	_	_
26	gar	gar	A	ADV	_	28	adv	_	_
27	einen	eine	A	ART	Indef|Masc|Acc|Sg	28	det	_	_
28	Gefangenen	Gefangene	N	NN	Masc|Acc|Sg	32	obja	_	_
29	aus	aus	P	APPR	Dat	32	pp	_	_
30	der	die	A	ART	Def|Fem|Dat|Sg	31	det	390	390
31	Bataille	Bataille	N	NN	Fem|Dat|Sg	29	pn	390	390
32	mitgebracht	mitbringen	V	VVPP	_	24	aux	_	_
33	?	?	$	$.	_	0	root	_	_
34	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nur	nur	A	ADV	_	4	adv	_	_
3	einen	eine	A	ART	Indef|Masc|Acc|Sg	4	det	_	_
4	Invaliden	Invalide	N	NN	Masc|Acc|Sg	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Meister	Meister	N	NN	Masc|Acc|_	4	app	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	Magister	Magister	N	NN	Masc|Nom|Sg	9	subj	55	55
11	Noah	Noah	N	NE	Masc|Nom|Sg	10	app	55	55
12	Buchius	Buchius	N	NE	Masc|Nom|Sg	11	app	55	55
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nur	nur	A	ADV	_	6	adv	_	_
3	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
4	armen	arm	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	_	_
5	flügellahmen	flügellahm	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	_	_
6	Warner	Warner	N	NN	Masc|Acc|Sg	0	root	_	_
7	von	von	P	APPR	Dat	6	pp	_	_
8	Wodans	Wodan	N	NE	Masc|Gen|Sg	9	gmod	63	63
9	Felde	Feld	N	NN	Neut|Dat|Sg	7	pn	_	_
10	.	.	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wenn	wenn	K	KOUS	_	15	konj	_	_
4	Er	er	P	PPER	3|Sg|Masc|Nom	15	subj	63	63
5	,	,	$	$,	_	0	root	_	_
6	Homeister	Homeister	N	NE	Masc|Nom|Sg	4	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	durch	durch	P	APPR	Acc	14	pp	_	_
9	Schloß	Schloß	N	NN	Neut|Acc|Sg	8	pn	906	906
10	und	und	K	KON	_	9	kon	_	_
11	Riegel	Riegel	N	NN	Masc|Acc|_	10	cj	_	_
12	was	was	P	PIS	_	14	obja	_	_
13	dazu	dazu	P	PROAV	_	14	pp	_	_
14	tun	tun	V	VVINF	_	15	aux	_	_
15	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	Amelungsborn	Amelungsborn	N	NE	_	24	obja	13	13
18	morgen	morgen	A	ADV	_	24	adv	_	_
19	vor	vor	P	APPR	_	24	objp	_	_
20	Feindeseinbruch	Feindeseinbruch	N	NN	_|_|Sg	19	pn	_	_
21	und	und	K	KON	_	20	kon	_	_
22	Mordbrand	Mordbrand	N	NN	Masc|_|Sg	21	cj	_	_
23	zu	zu	P	PTKZU	_	24	part	_	_
24	bewahren	bewahren	V	VVINF	_	14	obji	_	_
25	!	!	$	$.	_	0	root	_	_
26	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	32	32
2	blickten	blicken	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	alle	alle	P	PIS	_|Nom|Pl	2	subj	_	_
4	auch	auch	A	ADV	_	2	adv	_	_
5	dem	die	A	ART	Def|Masc|Dat|Sg	6	det	57	57
6	Magister	Magister	N	NN	Masc|Dat|Sg	2	objd	57	57
7	nach	nach	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	13	adv	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	2	2
11	seiner	seine	A	PPOSAT	Fem|Dat|Sg	12	det	2	2
12	Tür	Tür	N	NN	Fem|Dat|Sg	13	objd	340	340
13	zustapfte	zustapfen	V	VVFIN	3|Sg|Past|_	2	objc	340	340
14	,	,	$	$,	_	0	root	340	340
15	die	die	P	PRELS	Fem|Nom|Sg	22	subj	340	340
16	nicht	nicht	P	PTKNEG	_	22	adv	_	_
17	in	in	P	APPR	Acc	22	objp	_	_
18	das	die	A	ART	Def|Neut|_|Sg	19	det	_	_
19	Amts-	Amts-	T	TRUNC	Neut|_|Sg	17	pn	_	_
20	und	und	K	KON	_	19	kon	_	_
21	Wirtschaftsgebäude	Wirtschaftsgebäude	N	NN	Neut|_|_	20	cj	_	_
22	führte	führen	V	VVFIN	3|Sg|Past|_	12	rel	_	_
23	,	,	$	$,	_	0	root	_	_
24	sondern	sondern	K	KON	_	0	root	_	_
25	in	in	P	APPR	Acc	24	cj	_	_
26	den	die	A	ART	Def|Masc|Acc|Sg	27	det	_	_
27	Flügel	Flügel	N	NN	Masc|Acc|Sg	25	pn	_	_
28	des	die	A	ART	Def|_|Gen|Sg	29	det	341	341
29	Klosters	Kloster	N	NN	Masc|Gen|Sg	27	gmod	341	341
30	,	,	$	$,	_	0	root	341	341
31	der	die	P	PRELS	Masc|Nom|Sg	42	subj	341	341
32	einst	einst	A	ADV	_	41	adv	_	_
33	hauptsächlich	hauptsächlich	A	ADJD	Pos|	41	adv	_	_
34	der	die	A	ART	Def|Fem|Dat|Sg	36	det	_	_
35	berühmten	berühmt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	36	attr	_	_
36	Schule	Schule	N	NN	Fem|Dat|Sg	41	objd	_	_
37	und	und	K	KON	_	36	kon	_	_
38	ihren	ihre	A	PPOSAT	Masc|Dat|_	39	det	340	340
39	Lehrern	Lehrer	N	NN	Masc|Dat|_	37	cj	_	_
40	Unterkunft	Unterkunft	N	NN	Fem|_|Sg	41	obja	_	_
41	gegeben	geben	V	VVPP	_	42	aux	_	_
42	hatte	haben	V	VAFIN	3|Sg|Past|Ind	29	rel	_	_
43	.	.	$	$.	_	0	root	_	_

1	Bemerkungen	Bemerkung	N	NN	Fem|Nom|Pl	2	subj	342	342
2	machten	machen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	340	340
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	hinter	hinter	P	APPR	Dat	2	pp	_	_
6	ihm	er	P	PPER	3|Sg|_|Dat	5	pn	341	341
7	drein	drein	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	sie	sie	P	PPER	3|Pl|_|Nom	10	subj	342	342
10	schüttelten	schütteln	V	VVFIN	3|Pl|Past|_	2	kon	_	_
11	höchstens	höchstens	A	ADV	_	10	adv	_	_
12	die	die	A	ART	Def|Masc|_|Pl	13	det	1014	1014
13	Köpfe	Kopf	N	NN	Masc|_|Pl	10	obja	1014	1014
14	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	4	adv	343	343
2	der	die	A	ART	Def|Masc|Nom|Sg	4	det	343	343
3	geschlagene	geschlagen	A	ADJA	Pos|Masc|Nom|Sg|Wk|	4	attr	343	343
4	Knecht	Knecht	N	NN	Masc|Nom|Sg	5	subj	343	343
5	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	einen	eine	A	ART	Indef|Masc|Acc|Sg	7	det	_	_
7	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	8	pn	_	_
8	lang	lang	P	APPO	Acc	5	pp	_	_
9	die	die	A	ART	Def|Fem|_|Sg	10	det	515	515
10	Absicht	Absicht	N	NN	Fem|_|Sg	12	obja	515	515
11	zu	zu	P	PTKZU	_	12	part	_	_
12	haben	haben	V	VAINF	_	5	obji	_	_
13	,	,	$	$,	_	0	root	_	_
14	den	die	A	ART	Def|_|_|_	16	det	_	_
15	alten	alt	A	ADJA	Pos|_|_|_|_|	16	attr	_	_
16	Herrn	Herrn	N	NN	_|_|_	19	obja	_	_
17	am	an	P	APPRART	Dat	19	pp	_	_
18	Rockschoß	Rockschoß	N	NN	_|Dat|Sg	17	pn	984	984
19	zurückzuhalten	zurückhalten	V	VVIZU	_	12	kon	_	_
20	;	;	$	$.	_	0	root	_	_
21	doch	doch	K	KON	_	0	root	_	_
22	auch	auch	A	ADV	_	23	adv	_	_
23	er	er	P	PPER	3|Sg|Masc|Nom	24	subj	343	343
24	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	21	cj	_	_
25	das	die	P	PDS	Neut|_|Sg	24	obja	_	_
26	,	,	$	$,	_	0	root	_	_
27	wandte	wandte	V	VVFIN	_	24	kon	_	_
28	sich	sie	P	PRF	3|_|_	27	obja	_	_
29	zu	zu	P	APPR	Dat	27	pp	_	_
30	seiner	seine	A	PPOSAT	Fem|Dat|Sg	31	det	343	343
31	Arbeit	Arbeit	N	NN	Fem|Dat|Sg	29	pn	476	476
32	und	und	K	KON	_	27	kon	_	_
33	verschwand	verschwinden	V	VVFIN	_|Sg|Past|Ind	32	cj	_	_
34	im	in	P	APPRART	Dat	33	pp	_	_
35	Pferdestall	Pferdestall	N	NN	Masc|Dat|Sg	34	pn	_	_
36	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	noch	noch	A	ADV	_	2	adv	_	_
4	einmal	einmal	A	ADV	_	2	adv	_	_
5	still	still	A	ADJD	Pos|	2	pred	_	_
6	wie	wie	K	KOKOM	_	2	kom	_	_
7	im	in	P	APPRART	Dat	6	cj	_	_
8	Frieden	Frieda	N	NN	_|Dat|_	7	pn	344	344
9	in	in	P	APPR	_	2	pp	_	_
10	Amelungsborn	Amelungsborn	N	NE	_|_|_	9	pn	13	13
11	,	,	$	$,	_	0	root	_	_
12	trotzdem	trotzdem	P	PROAV	_	0	root	_	_
13	daß	daß	K	KOUS	_	21	konj	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	15	det	_	_
15	Krieg	Krieg	N	NN	Masc|Nom|Sg	21	subj	_	_
16	von	von	P	APPR	Dat	15	pp	_	_
17	neuem	neu	A	ADJA	Pos|_|Dat|Sg|St|	16	pn	_	_
18	über	über	P	APPR	Dat	16	kon	_	_
19	den	die	A	ART	Def|_|Dat|Pl	20	det	520	520
20	Solling	Solling	N	NN	_|Dat|Pl	18	pn	520	520
21	heranzog	heranziehen	V	VVFIN	_|Sg|Past|Ind	12	objc	_	_
22	und	und	K	KON	_	21	kon	_	_
23	die	die	A	ART	Def|Fem|Nom|Pl	24	det	461	461
24	Wetterwolken	Wetterwolke	N	NN	Fem|Nom|Pl	33	subj	461	461
25	drüben	drüben	N	NE	Fem|Nom|Pl	24	app	461	461
26	am	an	P	APPRART	Dat	33	pp	_	_
27	andern	andern	A	ADJA	_|Neut|Dat|Sg|_	28	attr	_	_
28	Ufer	Ufer	N	NN	Neut|Dat|Sg	26	pn	_	_
29	der	die	A	ART	Def|Fem|Gen|Sg	30	det	100	100
30	Weser	Weser	N	NE	Fem|Gen|Sg	28	gmod	100	100
31	gleichfalls	gleichfalls	A	ADV	_	32	adv	_	_
32	Miene	Miene	N	NN	Fem|_|Sg	33	obja	_	_
33	machten	machen	V	VVFIN	3|Pl|Past|_	22	cj	_	_
34	,	,	$	$,	_	0	root	_	_
35	sich	sie	P	PRF	3|_|_	42	obja	_	_
36	von	von	P	APPR	Dat	42	pp	_	_
37	Ohr	Ohr	N	NN	Neut|Dat|Sg	36	pn	296	296
38	her	her	A	APZR	_	36	part	_	_
39	in	in	P	APPR	_	42	objp	_	_
40	Bewegung	Bewegung	N	NN	Fem|_|Sg	39	pn	345	345
41	zu	zu	P	PTKZU	_	42	part	_	_
42	setzen	setzen	V	VVINF	_	33	obji	_	_
43	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	5	adv	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
3	Rabenzug	Rabenzug	N	NN	Masc|Nom|Sg	5	subj	_	_
4	es	es	P	PPER	3|Sg|Neut|_	5	obja	_	_
5	verkündigt	verkündigen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	und	und	K	KON	_	5	kon	_	_
