1	Luise	Luise	N	NE	Fem|Nom|Sg	2	subj	542	542
5	ein	eine	A	ART	Indef|_|Nom|Sg	6	det	1411	1411
6	Nebenverdienst	Nebenverdienst	N	NN	_|Nom|Sg	3	pred	1411	1411
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	3	kon	_	_
9	man	man	P	PIS	_|Nom|Sg	10	subj	_	_
10	hat	haben	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	_
11	auch	auch	A	ADV	_	10	adv	_	_
12	nur	nur	A	ADV	_	10	adv	_	_
13	seine	seine	A	PPOSAT	Fem|_|Sg	15	det	1411	1411
14	leidige	leidig	A	ADJA	Pos|Fem|_|Sg|_|	15	attr	_	_
15	Not	Not	N	NN	Fem|_|Sg	10	obja	_	_
16	und	und	K	KON	_	15	kon	_	_
17	wenig	wenig	A	PIDAT	Neut|_|_	18	det	_	_
18	Vergnügen	Vergnügen	N	NN	Neut|_|_	16	cj	_	_
19	damit	damit	P	PROAV	_	10	pp	_	_
20	«	«	$	$(	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
23	Marten	Marten	N	NE	_|Nom|Sg	22	subj	299	299
24	Marten	Marten	N	NE	_|Nom|Sg	23	app	299	299
25	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|_|_|Sg	4	det	1412	1412
2	paar	paar	A	PIDAT	Fem|Nom|Pl	4	attr	1412	1412
3	ausgetretene	ausgetreten	A	ADJA	Pos|Fem|Nom|Pl|St|	4	attr	1412	1412
4	Steinstufen	Steinstufe	N	NN	Fem|Nom|Pl	5	subj	1412	1412
5	führten	führen	V	VVFIN	3|Pl|Past|_	0	root	_	_
6	zu	zu	P	APPR	Dat	5	objp	_	_
7	einer	eine	A	ART	Indef|Fem|Dat|Sg	9	det	_	_
8	niedrigen	niedrig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	9	attr	_	_
9	Pforte	Pforte	N	NN	Fem|Dat|Sg	6	pn	_	_
10	;	;	$	$.	_	0	root	_	_
11	dann	dann	A	ADV	_	12	adv	_	_
12	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
13	'	'	$	$(	_	0	root	_	_
14	s	s	P	PPER	_|_|_|Dat	12	objd	1412	1412
15	eine	eine	A	ART	Indef|Fem|Nom|Sg	17	det	_	_
16	enge	eng	A	ADJA	Pos|Fem|Nom|Sg|_|	17	attr	_	_
17	Steintreppe	Steintreppe	N	NN	Fem|Nom|Sg	12	subj	_	_
18	weiter	weiter	A	ADV	_	19	adv	_	_
19	aufwärts	aufwärts	A	ADV	_	17	adv	_	_
20	in	in	P	APPR	Acc	12	objp	_	_
21	eine	eine	A	ART	Indef|Fem|Acc|Sg	23	det	1413	1413
22	kellerartige	kellerartig	A	ADJA	Pos|Fem|Acc|Sg|_|	23	attr	1413	1413
23	Wölbung	Wölbung	N	NN	Fem|Acc|Sg	20	pn	1413	1413
24	,	,	$	$,	_	0	root	1413	1413
25	die	die	P	PRELS	Fem|Nom|Sg	33	subj	1413	1413
26	bei	bei	P	APPR	Dat	32	pp	_	_
27	Tage	Tag	N	NN	Masc|Dat|Sg	26	pn	324	324
28	durch	durch	P	APPR	Acc	32	pp	_	_
29	einige	einige	A	PIAT	_|Acc|Pl	31	det	_	_
30	winzige	winzig	A	ADJA	Pos|_|Acc|Pl|St|	31	attr	_	_
31	Schießscharten	Schießscharte	N	NN	_|Acc|Pl	28	pn	_	_
32	erhellt	erhellen	V	VVPP	_	33	aux	_	_
33	wurde	werden	V	VAFIN	3|Sg|Past|Ind	23	rel	_	_
34	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	dieser	diese	A	PDAT	Fem|Dat|Sg	3	det	1414	1414
3	Abendstunde	Abendstunde	N	NN	Fem|Dat|Sg	1	pn	1414	1414
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	299	299
6	Meister	Meister	N	NN	Masc|Nom|Sg	4	subj	299	299
7	Marten	Marten	N	NE	Masc|Nom|Sg	6	app	299	299
8	wiederum	wiederum	A	ADV	_	7	adv	_	_
9	seine	seine	A	PPOSAT	Fem|_|Sg	10	det	299	299
10	Laterne	Laterne	N	NN	Fem|_|Sg	11	obja	_	_
11	hochzuheben	hochheben	V	VVIZU	_	4	obji	_	_
12	,	,	$	$,	_	0	root	_	_
13	um	um	K	KOUI	_	26	konj	_	_
14	seinem	seine	A	PPOSAT	Masc|Dat|Sg	16	det	299	299
15	jungen	jung	A	ADJA	Pos|Masc|Dat|Sg|Wk|	16	attr	_	_
16	Gast	Gast	N	NN	Masc|Dat|Sg	26	objd	_	_
17	die	die	A	ART	Def|Fem|_|Pl	20	det	_	_
18	feuchten	feucht	A	ADJA	Pos|Fem|_|Pl|Wk|	20	attr	_	_
19	schwarzen	schwarz	A	ADJA	Pos|Fem|_|Pl|Wk|	20	attr	_	_
20	Wände	Wand	N	NN	Fem|_|Pl	26	obja	_	_
21	und	und	K	KON	_	20	kon	_	_
22	noch	noch	A	ADV	_	24	adv	_	_
23	eine	eine	A	ART	Indef|Fem|_|Sg	24	det	_	_
24	Merkwürdigkeit	Merkwürdigkeit	N	NN	Fem|_|Sg	21	cj	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	zeigen	zeigen	V	VVINF	_	11	neb	_	_
27	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	2	2
2	hob	heben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
4	rostige	rostig	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	_	_
5	Kette	Kette	N	NN	Fem|_|Sg	2	obja	_	_
6	nebst	nebst	P	APPR	Dat	5	pp	_	_
7	Halseisen	Halseisen	N	NN	_|Dat|_	6	pn	_	_
8	und	und	K	KON	_	7	kon	_	_
9	Handschellen	Handschelle	N	NN	Fem|Dat|Pl	8	cj	1415	1415
10	,	,	$	$,	_	0	root	1415	1415
11	die	die	P	PRELS	Fem|Nom|Pl	20	subj	1415	1415
12	neben	neben	P	APPR	Dat	20	pp	_	_
13	einer	eine	A	ART	Indef|Fem|Dat|Sg	19	det	_	_
14	mit	mit	P	APPR	Dat	18	pp	_	_
15	rostigen	rostig	A	ADJA	Pos|_|Dat|_|_|	17	attr	_	_
16	dicken	dick	A	ADJA	Pos|_|Dat|_|_|	17	attr	_	_
17	Nägelköpfen	Nägelkopf	N	NN	_|Dat|_	14	pn	_	_
18	beschlagenen	beschlagen	A	ADJA	Pos|Fem|Dat|Sg|Wk|	19	attr	_	_
19	Tür	Tür	N	NN	Fem|Dat|Sg	12	pn	_	_
20	hingen	hängen	V	VVFIN	3|Pl|Past|_	9	rel	_	_
21	,	,	$	$,	_	0	root	_	_
22	auf	auf	P	PTKVZ	_	2	avz	_	_
23	und	und	K	KON	_	0	root	_	_
24	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	23	cj	_	_
25	sie	sie	P	PPER	3|_|_|_	24	obja	1415	1415
26	klirrend	klirren	A	ADJD	_|<PPRES	24	adv	_	_
27	wieder	wieder	A	ADV	_	24	adv	_	_
28	an	an	P	APPR	Acc	31	objp	_	_
29	die	die	A	ART	Def|Fem|Acc|Sg	30	det	_	_
30	Steinwand	Steinwand	N	NN	Fem|Acc|Sg	28	pn	_	_
31	fallen	fallen	V	VVINF	_	24	obji	_	_
32	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Noch	noch	A	ADV	_	3	adv	_	_
3	von	von	P	APPR	_	0	root	_	_
4	meinen	meine	A	PPOSAT	Masc|Nom|Pl	5	det	1417	1417
5	Vorfahrern	Vorfahrer	N	NN	Masc|Nom|Pl	3	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	_	_
8	Herr	Herr	N	NN	Masc|Nom|Sg	5	app	_	_
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	2	2
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Im	in	P	APPRART	Dat	5	pp	_	_
3	neuen	neu	A	ADJA	Pos|Neut|Dat|Sg|Wk|	4	attr	_	_
4	Amtsgebäude	Amtsgebäude	N	NN	Neut|Dat|Sg	2	pn	_	_
5	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|_	5	obja	_	_
7	die	die	A	ART	Def|_|Nom|Pl	8	det	1022	1022
8	Leute	Leute	N	NN	_|Nom|Pl	5	subj	1022	1022
9	anjetzo	anjetzo	A	ADJD	_	5	adv	_	_
10	behaglicher	behaglich	A	ADJD	Comp|	5	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Diese	diese	A	PDAT	Fem|Nom|Sg	2	det	218	218
2	Tür	Tür	N	NN	Fem|Nom|Sg	3	subj	218	218
3	führt	führen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	in	in	P	APPR	Acc	3	objp	_	_
5	das	die	A	ART	Def|Neut|Acc|Sg	7	det	1416	1416
6	alte	alt	A	ADJA	Pos|Neut|Acc|Sg|Wk|	7	attr	1416	1416
7	Loch	Loch	N	NN	Neut|Acc|Sg	4	pn	1416	1416
8	,	,	$	$,	_	0	root	_	_
9	in	in	P	APPR	Dat	0	root	_	_
10	welchem	welche	P	PRELS	_|Dat|Sg	9	pn	1416	1416
11	auch	auch	A	ADV	_	12	adv	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1417	1417
13	,	,	$	$,	_	0	root	_	_
14	wie	wie	P	PWAV	_	21	adv	_	_
15	Sie	sie	P	PPER	3|Pl|_|Nom	22	subj	1022	1022
16	heute	heute	A	ADV	_	21	adv	_	_
17	morgen	morgen	A	ADV	_	21	adv	_	_
18	auf	auf	P	APPR	Dat	21	pp	_	_
19	dem	die	A	ART	Def|Neut|Dat|Sg	20	det	790	790
20	Rathause	Rathaus	N	NN	Neut|Dat|Sg	18	pn	790	790
21	vernommen	vernehmen	V	VVPP	_	22	aux	_	_
22	haben	haben	V	VAFIN	3|Pl|Pres|_	31	subjc	_	_
23	,	,	$	$,	_	0	root	_	_
24	mal	mal	A	ADV	_	30	adv	_	_
25	zum	zu	P	APPRART	Dat	30	pp	_	_
26	Nachdenken	Nachdenken	N	NN	Neut|Dat|Sg	25	pn	_	_
27	über	über	P	APPR	Acc	26	pp	_	_
28	meine	meine	A	PPOSAT	Fem|Acc|Pl	29	det	1417	1417
29	Sünden	Sünde	N	NN	Fem|Acc|Pl	27	pn	1418	1418
30	gehockt	hocken	V	VVPP	_	31	aux	_	_
31	habe	haben	V	VAFIN	_|Sg|Pres|_	0	root	_	_
32	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	6	konj	_	_
2	'	'	$	$(	_	0	root	_	_
3	s	s	P	PPER	_|_|_|Nom	6	subj	1022	1022
4	Ihnen	sie	P	PPER	3|Pl|_|Dat	6	objd	1418	1418
5	Pläsier	Pläsier	N	NN	Neut|_|Sg	6	obja	_	_
6	macht	machen	V	VVFIN	_|_|Pres|Ind	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	leuchte	leuchten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	1417	1417
10	hinein	hinein	P	PTKVZ	_	8	avz	_	_
11	;	;	$	$.	_	0	root	_	_
12	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	1419	1419
13	stören	stören	V	VVFIN	1|Pl|Pres|_	0	root	_	_
14	keine	keine	A	PIAT	Fem|_|Pl	15	det	_	_
15	Eulen	Eule	N	NN	Fem|_|Pl	13	obja	_	_
16	und	und	K	KON	_	15	kon	_	_
17	Fledermäuse	Fledermaus	N	NN	Fem|_|Pl	16	cj	_	_
18	drin	drin	A	ADV	_	13	adv	_	_
19	auf	auf	P	PTKVZ	_	13	avz	_	_
20	,	,	$	$,	_	0	root	_	_
21	sondern	sondern	K	KON	_	0	root	_	_
22	nur	nur	A	ADV	_	24	adv	_	_
23	mein	meine	A	PPOSAT	Neut|_|Sg	24	det	1417	1417
24	Geflügel	Geflügel	N	NN	Neut|_|Sg	21	cj	_	_
25	in	in	P	APPR	Dat	24	pp	_	_
26	der	die	A	ART	Def|Fem|Dat|Sg	28	det	_	_
27	ersten	erst	A	ADJA	_|Fem|Dat|Sg|Wk|	28	attr	_	_
28	Nachtruhe	Nachtruhe	N	NN	Fem|Dat|Sg	25	pn	_	_
29	.	.	$	$.	_	0	root	_	_
30	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dann	dann	A	ADV	_	3	adv	_	_
3	wollen	wollen	V	VMFIN	1|Pl|Pres|_	19	s	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	1419	1419
5	es	es	P	PPER	3|Sg|Neut|_	9	obja	_	_
6	ja	ja	A	ADV	_	9	adv	_	_
7	in	in	P	APPR	_	9	pp	_	_
8	Ruhe	Ruhe	N	NN	Fem|_|Sg	7	pn	1420	1420
9	lassen	lassen	V	VVINF	_	3	aux	_	_
10	bis	bis	P	APPR	Acc	9	pp	_	_
11	auf	auf	P	APPR	Acc	10	pp	_	_
12	eine	eine	A	ART	Indef|Fem|Acc|Sg	14	det	_	_
13	hellere	hell	A	ADJA	Comp|Fem|Acc|Sg|_|	14	attr	_	_
14	Stunde	Stunde	N	NN	Fem|Acc|Sg	11	pn	_	_
15	,	,	$	$,	_	0	root	_	_
16	Marten	Marten	N	NE	Fem|Acc|Sg	14	app	_	_
17	«	«	$	$(	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
20	Bernhard	Bernhard	N	NE	_|Nom|Sg	19	subj	61	61
21	Grünhage	Grünhage	N	NE	_|Nom|Sg	20	app	61	61
22	fröstelnd	frösteln	A	ADJD	_|<PPRES	19	adv	_	_
23	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Schön	schön	A	ADJD	Pos|	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	stoßen	stoßen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	1421	1421
4	sich	sie	P	PRF	3|_|_	2	obja	_	_
5	gütigst	gütig	A	ADJD	Sup|	2	adv	_	_
6	hier	hier	A	ADV	_	2	adv	_	_
7	nicht	nicht	P	PTKNEG	_	2	adv	_	_
8	an	an	P	APPR	Acc	2	objp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	201	201
10	Kopf	Kopf	N	NN	Masc|Acc|Sg	8	pn	201	201
11	.	.	$	$.	_	0	root	_	_

1	Treten	treten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	1421	1421
3	aber	aber	A	ADV	_	1	adv	_	_
4	nur	nur	A	ADV	_	1	adv	_	_
5	ein	ein	P	PTKVZ	_	1	avz	_	_
6	und	und	K	KON	_	1	kon	_	_
7	seien	sein	V	VAFIN	_|Pl|Pres|Subj	6	cj	_	_
8	Sie	sie	P	PPER	3|_|_|Nom	7	pred	1421	1421
9	fröhlich	fröhlich	A	ADJD	Pos|	10	adv	_	_
10	willkommen	willkommen	A	ADJD	Pos|	0	root	_	_
11	in	in	P	APPR	Dat	10	pp	_	_
12	meiner	meine	A	PPOSAT	Fem|Dat|Sg	13	det	1422	1422
13	Behausung	Behausung	N	NN	Fem|Dat|Sg	11	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Dies	dies	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	mein	meine	A	PPOSAT	_|Nom|Sg	4	det	1422	1422
4	Losament	Losament	N	NN	_|Nom|Sg	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	nebenan	nebenan	A	ADV	_	8	adv	_	_
8	schlafe	schlafen	V	VVFIN	1|Sg|Pres|_	6	cj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	1422	1422
10	,	,	$	$,	_	0	root	_	_
11	dicht	dicht	A	ADJD	Pos|	12	adv	_	_
12	an	an	P	APPR	Dat	8	pp	_	_
13	meinem	meine	A	PPOSAT	_|Dat|Sg	15	det	1422	1422
14	frühern	frühern	A	ADJA	_	15	attr	_	_
15	Prison	Prison	N	NN	_|Dat|Sg	12	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	dicht	dicht	A	ADJD	Pos|	18	adv	_	_
18	an	an	P	APPR	Dat	12	kon	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	1423	1423
20	Wand	Wand	N	NN	Fem|Dat|Sg	18	pn	1423	1423
21	,	,	$	$,	_	0	root	1423	1423
22	an	an	P	APPR	Dat	31	pp	1423	1423
23	der	die	P	PRELS	Fem|Dat|Sg	22	pn	1423	1423
24	ich	ich	P	PPER	1|Sg|_|Nom	32	subj	1422	1422
25	mir	ich	P	PRF	1|Sg|Dat	31	objd	_	_
26	wochenlang	wochenlang	A	ADJD	Pos|	31	adv	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	oft	oft	A	ADV	_	31	adv	_	_
29	den	die	A	ART	Def|Masc|Acc|Sg	30	det	201	201
30	Kopf	Kopf	N	NN	Masc|Acc|Sg	31	obja	201	201
31	einstoßen	einstoßen	V	VVINF	_	32	aux	_	_
32	wollte	wollen	V	VMFIN	1|Sg|Past|_	20	rel	_	_
33	,	,	$	$,	_	0	root	_	_
34	bis	bis	K	KOUS	_	46	konj	_	_
35	mein	meine	A	PPOSAT	Masc|Nom|Sg	37	det	979	979
36	lieber	lieb	A	ADJA	Pos|Masc|Nom|Sg|St|	37	attr	1422)	1422)
37	Herr	Herr	N	NN	Masc|Nom|Sg	46	subj	1422)	1422)
38	Erdmann	Erdmann	N	NE	_|Nom|Sg	37	app	979	979
39	und	und	K	KON	_	38	kon	_	_
40	Fräulein	Fräulein	N	NN	Neut|Nom|_	39	cj	989	989
41	Thekla	Thekla	N	NE	Neut|Nom|_	40	app	989	989
42	mich	ich	P	PRF	1|Sg|Acc	46	obja	_	_
43	auf	auf	P	APPR	_	46	objp	_	_
44	andere	andere	A	ADJA	_|Masc|_|_|_	45	attr	_	_
45	Gedanken	Gedanke	N	NN	Masc|_|_	43	pn	_	_
46	brachten	bringen	V	VVFIN	_|Pl|Past|Ind	32	neb	_	_
47	.	.	$	$.	_	0	root	_	_

1	Jaja	Jaja	N	NE	Masc|Nom|Sg	7	vok	235	235
2	,	,	$	$,	_	0	root	235	235
3	junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	235	235
4	Herr	Herr	N	NN	Masc|Nom|Sg	1	app	235	235
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	67	67
9	Mensch	Mensch	N	NN	Masc|Nom|Sg	7	subj	67	67
10	es	es	P	PPER	3|Sg|Neut|_	11	obja	_	_
11	abwarten	abwarten	V	VVINF	_	7	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	was	was	P	PWS	Neut|Nom|Sg	16	subj	_	_
14	mit	mit	P	APPR	Dat	16	pp	_	_
15	ihm	er	P	PPER	3|Sg|_|Dat	14	pn	67	67
16	geschieht	geschehen	V	VVFIN	3|Sg|Pres|Ind	11	rel	_	_
17	;	;	$	$.	_	0	root	_	_
18	nun	nun	A	ADV	_	19	adv	_	_
19	hoffe	hoffen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	1422	1422
21	auf	auf	P	APPR	Acc	20	pp	_	_
22	einen	eine	A	ART	Indef|Masc|Acc|Sg	26	det	_	_
23	stilleren	still	A	ADJA	Comp|Masc|Acc|Sg|_|	26	attr	_	_
24	,	,	$	$,	_	0	root	_	_
25	sanfteren	sanft	A	ADJA	Comp|_|Acc|_|_|	23	kon	_	_
26	Tod	Tod	N	NN	Masc|Acc|Sg	21	pn	_	_
27	mit	mit	P	APPR	Dat	19	pp	_	_
28	dem	die	A	ART	Def|Masc|Dat|Sg	29	det	201	201
29	Kopfe	Kopf	N	NN	Masc|Dat|Sg	27	pn	201	201
30	an	an	P	APPR	_	19	pp	_	_
31	derselbigten	derselbigten	N	NE	_|_|_	30	pn	_	_
32	harten	hart	A	ADJA	Pos|_|Gen|_|Wk|	33	attr	1424	1424
33	Mauer	Mauer	N	NN	_|Gen|_	31	gmod	1424	1424
34	,	,	$	$,	_	0	root	_	_
35	die	die	P	PRELS	_|_|_	0	root	1424	1424
36	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1422	1422
37	Anno	anno	A	ADV	_	40	adv	_	_
38	neun	neun	C	CARD	_	40	subj	_	_
39	nicht	nicht	P	PTKNEG	_	40	adv	_	_
40	umreißen	umreißen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
41	und	und	K	KON	_	40	kon	_	_
42	eintreten	eintreten	V	VVINF	_	43	aux	_	_
43	konnte	können	V	VMFIN	_|Sg|Past|Ind	41	cj	_	_
44	in	in	P	APPR	Dat	42	pp	_	_
45	meiner	meine	A	PPOSAT	Fem|Dat|Sg	46	det	1422	1422
46	Tollheit	Tollheit	N	NN	Fem|Dat|Sg	44	pn	_	_
47	und	und	K	KON	_	46	kon	_	_
48	Wut	Wut	N	NN	Fem|Dat|Sg	47	cj	_	_
49	.	.	$	$.	_	0	root	_	_
50	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	2	2
2	hob	heben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	wiederum	wiederum	A	ADV	_	2	adv	_	_
4	die	die	A	ART	Def|Fem|_|Sg	5	det	325	325
5	Laterne	Laterne	N	NN	Fem|_|Sg	2	obja	325	325
6	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nun	nun	A	ADV	_	3	adv	_	_
3	setzen	setzen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	1424	1424
5	sich	sie	P	PRF	3|_|_	3	obja	_	_
6	da	da	A	ADV	_	3	adv	_	_
7	in	in	P	APPR	Acc	3	objp	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	_	_
9	Stuhl	Stuhl	N	NN	Masc|Acc|Sg	7	pn	_	_
10	am	an	P	APPRART	Dat	9	pp	_	_
11	Ofen	Ofen	N	NN	Masc|Dat|Sg	10	pn	959	959
12	,	,	$	$,	_	0	root	_	_
13	bis	bis	K	KOUS	_	18	konj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	1422	1422
15	die	die	A	ART	Def|Fem|_|Sg	16	det	480	480
16	Lampe	Lampe	N	NN	Fem|_|Sg	17	obja	480	480
17	angesteckt	anstecken	V	VVPP	_	18	aux	_	_
18	habe	haben	V	VAFIN	1|Sg|Pres|_	3	neb	_	_
19	;	;	$	$.	_	0	root	_	_
20	denn	denn	K	KON	_	0	root	_	_
21	bei	bei	P	APPR	Dat	24	pp	_	_
22	dieser	diese	A	PDAT	Fem|Dat|Sg	23	det	_	_
23	Beleuchtung	Beleuchtung	N	NN	Fem|Dat|Sg	21	pn	_	_
24	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	20	cj	_	_
25	es	es	P	PPER	3|Sg|Neut|Nom	24	subj	_	_
26	sich	sie	P	PRF	3|_|_	32	obja	_	_
27	auf	auf	P	APPR	Acc	32	pp	_	_
28	die	die	A	ART	Def|Fem|Acc|Sg	29	det	_	_
29	Länge	Länge	N	NN	Fem|Acc|Sg	27	pn	_	_
30	doch	doch	A	ADV	_	32	adv	_	_
31	schlecht	schlecht	A	ADJD	Pos|	32	adv	_	_
32	weiterschwatzen	weiterschwatzen	V	VVINF	_	24	obji	_	_
33	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	1354	1354
2	Frau	Frau	N	NN	Fem|Nom|Sg	4	subj	1354	1354
3	Tante	Tante	N	NN	Fem|Nom|Sg	2	app	1354	1354
4	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
5	wohl	wohl	A	ADV	_	14	adv	_	_
6	auch	auch	A	ADV	_	14	adv	_	_
7	hier	hier	A	ADV	_	14	adv	_	_
8	sogleich	sogleich	A	ADV	_	14	adv	_	_
9	ein	eine	A	ART	Indef|Neut|_|Sg	10	det	_	_
10	Feuerchen	Feuerchen	N	NN	Neut|_|Sg	14	obja	_	_
11	in	in	P	APPR	Acc	14	pp	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	742	742
13	Ofen	Ofen	N	NN	Masc|Acc|Sg	11	pn	742	742
14	kommandieren	kommandieren	V	VVINF	_	4	aux	_	_
15	;	;	$	$.	_	0	root	_	_
16	aber	aber	K	KON	_	18	koord	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	1422	1422
18	meine	meinen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	wir	wir	P	PPER	1|Pl|_|Nom	0	root	_	_
21	andern	andere	P	PIS	_|Nom|Pl	22	subj	_	_
22	warten	warten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
23	wohl	wohl	A	ADV	_	22	adv	_	_
24	noch	noch	A	ADV	_	22	adv	_	_
25	ein	eine	A	ART	Indef|_|_|Sg	26	part	_	_
26	bißchen	bisschen	P	PIS	_	22	adv	_	_
27	damit	damit	P	PROAV	_	22	pp	_	_
28	mehr	mehr	A	ADV	_	22	adv	_	_
29	in	in	P	APPR	Acc	22	pp	_	_
30	den	die	A	ART	Def|Masc|Acc|Sg	31	det	1425	1425
31	Herbst	Herbst	N	NN	Masc|Acc|Sg	29	pn	1425	1425
32	hinein	hinein	A	APZR	_	29	part	_	_
33	.	.	$	$.	_	0	root	_	_
34	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
2	kleine	klein	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	_
3	Blechlampe	Blechlampe	N	NN	Fem|Nom|Sg	4	subj	_	_
4	leuchtete	leuchten	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	A	ART	Def|Neut|Nom|Sg	7	det	_	_
7	Licht	Licht	N	NN	Neut|Nom|Sg	11	subj	_	_
8	in	in	P	APPR	Dat	7	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	325	325
10	Laterne	Laterne	N	NN	Fem|Dat|Sg	8	pn	325	325
11	wurde	werden	V	VAFIN	3|Sg|Past|Ind	4	kon	_	_
12	ausgeblasen	ausblasen	V	VVPP	_	11	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	15	det	3	3
15	Student	Student	N	NN	Masc|Nom|Sg	16	subj	3	3
