1	Isothermen	Isotherme	N	NN	Fem|_|Pl	0	root	124	124
10	Eduard	Eduard	N	NE	Masc|_|Sg	0	root	38	38
11	,	,	$	$,	_	0	root	_	_
12	aber	aber	K	KON	_	0	root	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	19	objd	135	135
14	hättest	haben	V	VAFIN	2|Sg|Past|Subj	12	cj	_	_
15	du	du	P	PPER	2|Sg|_|Nom	14	subj	136	136
16	noch	noch	A	ADV	_	19	adv	_	_
17	einen	eine	A	ART	Indef|Masc|Acc|Sg	18	det	_	_
18	Gefallen	Gefallen	N	NN	Masc|Acc|Sg	19	obja	_	_
19	getan	tun	V	VVPP	_	14	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	wenn	wenn	K	KOUS	_	29	konj	_	_
22	du	du	P	PPER	2|Sg|_|Nom	29	subj	136	136
23	sie	sie	P	PPER	3|_|_|_	28	obja	59	59
24	beim	bei	P	APPRART	Dat	28	pp	_	_
25	Nachsitzen	Nachsitz	N	NN	_|Dat|_	24	pn	_	_
26	noch	noch	A	ADV	_	28	adv	_	_
27	auswendig	auswendig	A	ADJD	Pos|	28	adv	_	_
28	gelernt	lernen	V	VVPP	_	29	aux	_	_
29	hättest	haben	V	VAFIN	2|Sg|Past|Subj	14	neb	_	_
30	,	,	$	$,	_	0	root	_	_
31	wenn	wenn	K	KOUS	_	0	root	_	_
32	auch	auch	A	ADV	_	34	adv	_	_
33	bloß	bloß	A	ADV	_	34	adv	_	_
34	für	für	P	APPR	Acc	0	root	_	_
35	mich	ich	P	PPER	1|Sg|_|Acc	34	pn	135	135
36	.	.	$	$.	_	0	root	_	_
37	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Für	für	P	APPR	Acc	0	root	_	_
3	dich	du	P	PPER	2|Sg|_|Acc	2	pn	136	136
4	,	,	$	$,	_	0	root	_	_
5	Fritze	Fritze	N	NE	_|Acc|Sg	3	app	_	_
6	?	?	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	denn	denn	A	ADV	_	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Mysia	Mysia	N	NE	Fem|_|Sg	28	vok	_	_
5	,	,	$	$,	_	0	root	_	_
6	Lydia	Lydia	N	NE	Fem|_|Sg	4	kon	_	_
7	,	,	$	$,	_	0	root	_	_
8	Karia	Karia	N	NE	Fem|_|Sg	6	kon	_	_
9	,	,	$	$,	_	0	root	_	_
10	Lycia	Lycia	N	NE	Fem|_|Sg	8	kon	_	_
11	,	,	$	$,	_	0	root	_	_
12	Pisidia	Pisidia	N	NE	Fem|_|Sg	10	kon	_	_
13	,	,	$	$,	_	0	root	_	_
14	Phrygia	Phrygia	N	NE	Fem|_|Sg	12	kon	_	_
15	,	,	$	$,	_	0	root	_	_
16	Galatia	Galatia	N	NE	Fem|_|Sg	14	kon	_	_
17	,	,	$	$,	_	0	root	_	_
18	Lykaonia	Lykaonia	N	NE	Fem|_|Sg	16	kon	_	_
19	,	,	$	$,	_	0	root	_	_
20	Cilicia	Cilicia	N	NE	Fem|_|Sg	18	kon	_	_
21	,	,	$	$,	_	0	root	_	_
22	Kappadozia	Kappadozia	N	NE	Fem|_|Sg	20	kon	_	_
23	,	,	$	$,	_	0	root	_	_
24	Armenia	Armenia	N	NE	Fem|_|Sg	22	kon	_	_
25	minor	minor	N	NE	Fem|_|Sg	24	app	_	_
26	,	,	$	$,	_	0	root	_	_
27	das	die	P	PDS	Neut|Nom|Sg	28	subj	_	_
28	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
29	sie	sie	P	PPER	3|_|_|Nom	28	pred	59	59
30	alle	alle	P	PIS	_|Nom|_	29	app	_	_
31	;	;	$	$.	_	0	root	_	_
32	denn	denn	K	KON	_	0	root	_	_
33	Bithynien	Bithynien	N	NE	Neut|_|Sg	42	obja	137	137
34	,	,	$	$,	_	0	root	137	137
35	Paphlagonien	Paphlagonien	N	NE	Masc|_|Sg	33	kon	137	137
36	und	und	K	KON	_	35	kon	138)	138)
37	Pontus	Pontus	N	NE	Masc|_|Sg	36	cj	139	139
38	habe	haben	V	VAFIN	1|Sg|Pres|_	32	cj	_	_
39	ich	ich	P	PPER	1|Sg|_|Nom	38	subj	135	135
40	dir	du	P	PPER	2|Sg|_|Dat	42	objd	136	136
41	schon	schon	A	ADV	_	42	adv	_	_
42	genannt	nennen	V	VVPP	_	38	aux	_	_
43	.	.	$	$.	_	0	root	_	_
44	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Donnerwetter	Donnerwetter	N	NN	_|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Eduard	Eduard	N	NE	Masc|_|Sg	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	P	PDS	Neut|Nom|Sg	7	subj	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	ja	ja	A	ADV	_	7	adv	_	_
9	gerade	gerade	A	ADV	_	7	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	als	als	K	KOKOM	_	0	root	_	_
12	ob	ob	K	KOUS	_	0	root	_	_
13	du	du	P	PPER	2|Sg|_|Nom	0	root	136	136
14	uns	wir	P	PPER	1|Pl|_|_	15	obja	140	140
15	Deutsche	deutschen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
16	in	in	P	APPR	_	15	pp	_	_
17	allen	alle	A	PIDAT	Fem|Dat|Pl	19	det	_	_
18	unsern	unsre	A	PPOSAT	Fem|_|Pl	19	det	140	140
19	Unterabteilungen	Unterabteilung	N	NN	Fem|_|Pl	16	pn	_	_
20	aufzähltest	aufzählen	V	VVFIN	2|Sg|Past|_	0	root	_	_
21	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	klingt	klingen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	bloß	bloß	A	ADV	_	2	adv	_	_
4	'	'	$	$(	_	0	root	_	_
5	n	n	N	NN	_|Nom|Sg	2	subj	_	_
6	bißchen	bißchen	A	ADV	_	2	adv	_	_
7	hübscher	hübsch	A	ADJD	Comp|	2	pred	_	_
8	und	und	K	KON	_	7	kon	_	_
9	ausländischer	ausländisch	A	ADJD	Comp|	8	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	sieh	sieh	V	VVFIN	_	0	root	_	_
3	mal	mal	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	was	was	P	PRELS	Neut|Nom|Sg	9	subj	_	_
6	für	für	P	APPR	Acc	9	pp	_	_
7	ein	eine	A	ART	Indef|Neut|Acc|Sg	8	det	214	214
8	Vergnügen	Vergnügen	N	NN	Neut|Acc|Sg	6	pn	214	214
9	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	2	rel	_	_
10	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
11	für	für	P	APPR	Acc	13	pp	_	_
12	dich	du	P	PPER	2|Sg|_|Acc	11	pn	136	136
13	sein	sein	V	VAINF	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	24	konj	_	_
16	du	du	P	PPER	2|Sg|_|Nom	24	subj	136	136
17	dieses	diese	P	PDS	_|_|Sg	23	obja	_	_
18	alles	alle	P	PIS	_|_|Sg	17	app	_	_
19	so	so	A	ADV	_	23	adv	_	_
20	an	an	P	APPR	Dat	23	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
22	Schnur	Schnur	N	NN	Fem|Dat|Sg	20	pn	_	_
23	hersagen	hersagen	V	VVINF	_	24	aux	_	_
24	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	dir	du	P	PPER	2|Sg|_|Dat	25	cj	136	136
27	dabei	dabei	P	PROAV	_	0	root	_	_
28	was	was	P	PWS	Neut|_|Sg	0	root	_	_
29	denken	denken	V	VVINF	_	30	aux	_	_
30	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
31	hier	hier	A	ADV	_	29	adv	_	_
32	auf	auf	P	APPR	Dat	29	pp	_	_
33	der	die	A	ART	Def|Fem|Dat|Sg	34	det	141	141
34	Landstraße	Landstraße	N	NN	Fem|Dat|Sg	32	pn	141	141
35	mit	mit	P	APPR	Dat	29	pp	_	_
36	der	die	A	ART	Def|Fem|Dat|Sg	39	det	_	_
37	ganzen	ganz	A	ADJA	Pos|Fem|Dat|Sg|Wk|	39	attr	_	_
38	altbekannten	altbekannt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	39	attr	_	_
39	Umgebung	Umgebung	N	NN	Fem|Dat|Sg	35	pn	_	_
40	rundherum	rundherum	A	ADV	_	29	adv	_	_
41	und	und	K	KON	_	40	kon	_	_
42	da	da	A	ADV	_	41	cj	_	_
43	-	-	$	$(	_	0	root	_	_
44	hier	hier	A	ADV	_	29	adv	_	_
45	-	-	$	$(	_	0	root	_	_
46	der	die	A	ART	Def|Fem|Dat|Sg	48	det	41	41
47	roten	rot	A	ADJA	Pos|Fem|Dat|Sg|Wk|	48	attr	41	41
48	Schanze	Schanze	N	NN	Fem|Dat|Sg	29	objd	41	41
49	vor	vor	P	APPR	Dat	29	pp	_	_
50	der	die	A	ART	Def|Fem|Dat|Sg	51	det	142	142
51	Nase	Nase	N	NN	Fem|Dat|Sg	49	pn	142	142
52	.	.	$	$.	_	0	root	_	_
53	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Campes	Campes	N	NE	_|Gen|_	3	gmod	_	_
3	Reisebeschreibungen	Reisebeschreibung	N	NN	Fem|Nom|Pl	4	subj	_	_
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	143	143
6	lieber	lieb	A	ADJD	Comp|	4	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	3	subj	136	136
3	bist	sein	V	VAFIN	2|Sg|Pres|Ind	1	cj	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	143	143
5	auch	auch	A	ADV	_	3	adv	_	_
6	lieber	lieb	A	ADJD	Comp|	3	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	Störzer	Störzer	N	NN	Neut|_|Sg	3	vok	70	70
9	.	.	$	$.	_	0	root	_	_

1	Mysien	Mysien	N	NE	_|Nom|Sg	7	subj	144	144
2	,	,	$	$,	_	0	root	144	144
3	Lydien	Lydien	N	NE	_|Nom|Sg	1	kon	144	144
4	,	,	$	$,	_	0	root	144	144
5	Karien	Karien	N	NE	_|Nom|Sg	3	kon	144	144
6	,	,	$	$,	_	0	root	_	_
7	bringe	bringen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	0	root	136	136
9	das	die	P	PDS	Neut|_|Sg	0	root	_	_
10	da	da	A	ADV	_	12	adv	_	_
11	unten	unten	A	ADV	_	12	adv	_	_
12	in	in	P	APPR	Dat	0	root	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	_	_
14	dumpfigen	dumpfigen	A	ADJA	_|Masc|Dat|Sg|_	15	attr	_	_
15	Schulstall	Schulstall	N	NN	Masc|Dat|Sg	12	pn	_	_
16	mal	mal	A	ADV	_	15	adv	_	_
17	in	in	P	APPR	_	15	pp	_	_
18	deinen	deine	A	PPOSAT	Masc|_|Sg	19	det	136	136
19	Kopf	Kopf	N	NN	Masc|_|Sg	17	pn	_	_
20	und	und	K	KON	_	0	root	_	_
21	sehne	sehnen	V	VVFIN	_|Sg|Pres|_	20	cj	_	_
22	dich	du	P	PRF	2|Sg|Acc	21	obja	_	_
23	mal	mal	A	ADV	_	21	adv	_	_
24	nicht	nicht	P	PTKNEG	_	21	adv	_	_
25	nach	nach	P	APPR	Dat	30	pp	42	42
26	dem	die	A	ART	Def|_|Dat|Sg	27	det	556	556
27	Le	Le	N	NE	_|Dat|Sg	25	pn	556	556
28	Vaillant	Vaillant	N	NE	_|Dat|Sg	27	app	556	556
29	seinem	seine	A	PPOSAT	Neut|Dat|Sg	30	det	144	144
30	Afrika	Afrika	N	NE	Neut|Dat|Sg	21	objd	_	_
31	und	und	K	KON	_	30	kon	_	_
32	seinen	seine	A	PPOSAT	Masc|Dat|_	33	det	144	144
33	Hottentotten	Hottentotte	N	NN	Masc|Dat|_	31	cj	_	_
34	,	,	$	$,	_	0	root	_	_
35	Giraffen	Giraffe	N	NN	Fem|Dat|Pl	33	kon	_	_
36	,	,	$	$,	_	0	root	_	_
37	Löwen	Löwe	N	NN	Masc|Dat|_	35	kon	_	_
38	und	und	K	KON	_	37	kon	_	_
39	Elefanten	Elefant	N	NN	Masc|Dat|_	38	cj	_	_
40	.	.	$	$.	_	0	root	_	_

1	Stopfkuchen	Stopfkuchen	N	NN	Masc|Nom|Pl	2	subj	192	192
2	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	2	obja	144	144
4	auch	auch	A	ADV	_	2	adv	_	_
5	mit	mit	P	APPR	Dat	2	pp	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	pn	143	143
7	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
8	Stunde	Stunde	N	NN	Fem|_|Sg	9	grad	_	_
9	über	über	P	APPR	Acc	2	pp	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	_	_
11	Unsinn	Unsinn	N	NN	Masc|Acc|Sg	9	pn	_	_
12	dabehalten	dabehalten	N	NE	Masc|Acc|Sg	11	app	_	_
13	.	.	$	$.	_	0	root	_	_

1	Der	die	P	PDS	Masc|Nom|Sg	2	subj	_	_
2	fragt	fragen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	nichts	nichts	P	PIS	_	2	obja	_	_
5	nach	nach	P	APPR	Dat	2	pp	_	_
6	Afrika	Afrika	N	NE	Neut|Dat|Sg	5	pn	42	42
7	.	.	$	$.	_	0	root	_	_

1	Dem	die	P	PDS	_|Dat|Sg	0	root	_	_
2	seine	seine	A	PPOSAT	Fem|Nom|Sg	4	det	42	42
3	tägliche	täglich	A	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	_	_
4	Sehnsucht	Sehnsucht	N	NN	Fem|Nom|Sg	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	dort	dort	A	ADV	_	5	adv	_	_
7	die	die	A	ART	Def|Fem|Nom|Sg	9	det	41	41
8	rote	rot	A	ADJA	Pos|Fem|Nom|Sg|_|	9	attr	41	41
9	Schanze	Schanze	N	NN	Fem|Nom|Sg	5	pred	41	41
10	;	;	$	$.	_	0	root	_	_
11	na	na	I	ITJ	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	das	die	P	PDS	Neut|_|Sg	14	obja	_	_
14	weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
15	du	du	P	PPER	2|Sg|_|Nom	14	subj	136	136
16	ja	ja	A	ADV	_	14	adv	_	_
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|_|Sg	3	obja	_	_
3	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	143	143
5	freilich	freilich	A	ADV	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	3	kon	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	cj	_	_
10	närrisch	närrisch	A	ADJD	Pos|	11	attr	_	_
11	genug	genug	P	PIS	_|Nom|_	9	pred	_	_
12	von	von	P	APPR	Dat	9	pp	_	_
13	dem	die	A	ART	Def|_|Dat|Sg	14	det	1189	1189
14	Dicken	Dicke	N	NN	_|Dat|Sg	12	pn	1189	1189
15	-	-	$	$(	_	0	root	_	_
16	deinem	deine	A	PPOSAT	Masc|Dat|Sg	18	det	136	136
17	närrischen	närrisch	A	ADJA	Pos|Masc|Dat|Sg|Wk|	18	attr	_	_
18	Kameraden	Kamerad	N	NN	Masc|Dat|Sg	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	Weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	17	neb	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	136	136
3	,	,	$	$,	_	0	root	_	_
4	Eduard	Eduard	N	NE	Masc|Nom|Sg	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	14	konj	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	143	143
8	mir	ich	P	PRF	1|Sg|Dat	14	objd	_	_
9	aus	aus	P	APPR	Dat	14	pp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	_	_
11	Weltkunde	Weltkunde	N	NN	Fem|Dat|Sg	9	pn	_	_
12	ein	eine	A	ART	Indef|Neut|_|Sg	13	det	752	752
13	Faultier	Faultier	N	NN	Neut|_|Sg	14	obja	752	752
14	vorstelle	vorstellen	V	VVFIN	1|Sg|Pres|_	17	neb	_	_
15	,	,	$	$,	_	0	root	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	143	143
19	mir	ich	P	PRF	1|Sg|Dat	17	objd	_	_
20	dabei	dabei	P	PROAV	_	17	pp	_	_
21	immer	immer	A	ADV	_	17	adv	_	_
22	diesen	diese	A	PDAT	_|_|_	0	root	_	_
23	deinen	deine	A	PPOSAT	Masc|_|Sg	24	det	136	136
24	Freund	Freund	N	NN	Masc|_|Sg	0	root	_	_
25	und	und	K	KON	_	24	kon	_	_
26	Schulkameraden	Schulkamerad	N	NN	Masc|_|_	25	cj	_	_
27	mit	mit	A	ADV	_	26	adv	_	_
28	vorstellen	vorstellen	V	VVINF	_	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Fem|_|Sg	5	det	41	41
2	und	und	K	KON	_	1	kon	41	41
3	die	die	A	ART	Def|_|_|_	2	cj	41	41
4	rote	rot	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	41	41
5	Schanze	Schanze	N	NN	Fem|_|Sg	0	root	41	41
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	41	41
2	rote	rot	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	41	41
3	Schanze	Schanze	N	NN	Fem|_|Sg	0	root	41	41
4	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	143	143
2	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	allmählich	allmählich	A	ADJD	Pos|	2	adv	_	_
5	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
6	wenig	wenig	A	ADV	_	7	adv	_	_
7	in	in	P	APPR	Acc	0	root	_	_
8	all	all	A	PIDAT	Fem|Acc|Pl	10	det	_	_
9	diese	diese	A	PDAT	Fem|Acc|Pl	10	det	_	_
10	Erinnerungen	Erinnerung	N	NN	Fem|Acc|Pl	7	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	in	in	P	APPR	Acc	19	pp	_	_
13	diesen	diese	A	PDAT	Masc|Acc|Sg	14	det	842	842
14	Wechsel	Wechsel	N	NN	Masc|Acc|Sg	12	pn	842	842
15	von	von	P	APPR	_	14	pp	842	842
16	Stimmen	Stimme	N	NN	_|_|_	15	pn	145	145
17	und	und	K	KON	_	16	kon	_	_
18	Gestalten	Gestalt	N	NN	_|_|_	17	cj	_	_
19	hineingegähnt	hineingähnen	V	VVPP	_	0	root	_	_
20	und	und	K	KON	_	19	kon	_	_
21	das	die	A	ART	Def|Neut|_|Sg	22	det	413	413
22	Bedürfnis	Bedürfnis	N	NN	Neut|_|Sg	23	obja	413	413
23	gefühlt	fühlen	V	VVPP	_	20	cj	_	_
24	,	,	$	$,	_	0	root	_	_
25	nun	nun	A	ADV	_	32	adv	_	_
26	auch	auch	A	ADV	_	32	adv	_	_
27	Störzer	Störzer	N	NN	Neut|Dat|Sg	32	objd	_	_
28	seiner	seine	A	PPOSAT	Fem|Gen|Sg	30	det	145	145
29	ewigen	ewig	A	ADJA	Pos|Fem|Gen|Sg|Wk|	30	attr	1561	1561
30	Ruhe	Ruhe	N	NN	Fem|Gen|Sg	27	gmod	1561	1561
31	zu	zu	P	PTKZU	_	32	part	_	_
32	überlassen	überlassen	V	VVINF	_	23	obji	_	_
33	und	und	K	KON	_	32	kon	_	_
34	selber	selber	A	ADV	_	41	adv	_	_
35	für	für	P	APPR	Acc	41	pp	_	_
36	diese	diese	A	PDAT	Fem|Acc|Sg	37	det	146	146
37	Nacht	Nacht	N	NN	Fem|Acc|Sg	35	pn	146	146
38	zur	zu	P	APPRART	Dat	41	objp	_	_
39	Ruhe	Ruhe	N	NN	Fem|Dat|Sg	38	pn	147	147
40	zu	zu	P	PTKZU	_	41	part	_	_
41	gehen	gehen	V	VVINF	_	33	cj	_	_
42	,	,	$	$,	_	0	root	_	_
43	als	als	K	KOUS	_	57	konj	_	_
44	mich	ich	P	PPER	1|Sg|_|Acc	57	obja	143	143
45	dieser	diese	A	PDAT	Masc|Nom|Sg	46	det	36	36
46	Name	Name	N	NN	Masc|Nom|Sg	57	subj	36	36
47	doch	doch	A	ADV	_	57	adv	_	_
48	noch	noch	A	ADV	_	57	adv	_	_
49	eine	eine	A	ART	Indef|Fem|_|Sg	50	det	_	_
50	Weile	Weile	N	NN	Fem|_|Sg	51	grad	_	_
51	wach	wach	A	ADJD	Pos|	57	adv	_	_
52	und	und	K	KON	_	51	kon	_	_
53	bei	bei	P	APPR	Dat	52	cj	_	_
54	meinem	meine	A	PPOSAT	Neut|Dat|Sg	55	det	143	143
55	Jugendleben	Jugendleben	N	NN	Neut|Dat|Sg	53	pn	_	_
56	lebendigst	lebendig	A	ADJD	Sup|	57	adv	_	_
57	festhielt	festhalten	V	VVFIN	3|Sg|Past|Ind	41	neb	_	_
58	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	41	41
2	rote	rot	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	41	41
3	Schanze	Schanze	N	NN	Fem|_|Sg	0	root	41	41
4	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	überkam	überkommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	143	143
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	6	det	148	148
5	lachendes	lachend	A	ADJA	Pos|Neut|Nom|Sg|St|<PPRES	6	attr	148	148
6	Behagen	Behagen	N	NN	Neut|Nom|Sg	2	subj	148	148
7	über	über	P	APPR	Acc	6	pp	148	148
8	die	die	A	ART	Def|Fem|Acc|Sg	10	det	41	41
9	rote	rot	A	ADJA	Pos|Fem|Acc|Sg|_|	10	attr	41	41
10	Schanze	Schanze	N	NN	Fem|Acc|Sg	7	pn	41	41
11	in	in	P	APPR	Dat	2	pp	_	_
12	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	13	det	41	41
13	Verbindung	Verbindung	N	NN	Fem|Dat|Sg	11	pn	1417	1417
14	mit	mit	P	APPR	Dat	13	pp	1417	1417
15	dem	die	A	ART	Def|_|Dat|Sg	16	det	1417	1417
16	Dicksten	Dickste	N	NN	_|Dat|Sg	14	pn	1417	1417
17	,	,	$	$,	_	0	root	1417	1417
18	dem	die	A	ART	Def|_|Dat|Sg	19	det	1417	1417
19	Faulsten	Faulste	N	NN	_|Dat|Sg	16	kon	1417	1417
20	,	,	$	$,	_	0	root	1417	1417
21	dem	die	A	ART	Def|_|Dat|Sg	22	det	1417	1417
22	Gefräßigsten	Gefräßigsten	N	NN	_|Dat|Sg	19	kon	1417	1417
23	unter	unter	P	APPR	_	22	pp	1417	1417
24	uns	wir	P	PPER	1|Pl|_|_	23	pn	1417	1417
25	von	von	P	APPR	_	24	pp	1417	1417
26	damals	damals	A	ADV	_	25	adv	1417	1417
27	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Im	in	P	APPRART	Dat	4	pp	_	_
3	Bette	Bett	N	NN	Neut|Dat|Sg	2	pn	183	183
4	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	143	143
6	sie	sie	P	PPER	3|_|_|_	4	obja	148	148
7	am	an	P	APPRART	Dat	4	pp	_	_
8	festesten	fest	A	ADJA	Sup|_|Dat|_|_|	7	pn	_	_
9	beim	bei	P	APPRART	Dat	4	pp	_	_
10	Wickel	Wickel	N	NN	_|Dat|Sg	9	pn	149	149
11	,	,	$	$,	_	0	root	149	149
12	Eduard	Eduard	N	NE	Masc|Dat|Sg	10	app	149	149
13	«	«	$	$(	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	pflegte	pflegen	V	VVFIN	_|Sg|Past|_	4	kon	_	_
16	Stopfkuchen	Stopfkuchen	N	NN	Masc|_|_	15	obja	32	32
17	zu	zu	P	PTKZU	_	18	part	_	_
18	sagen	sagen	V	VVINF	_	15	obji	_	_
19	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wenn	wenn	K	KOUS	_	5	konj	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	143	143
4	mal	mal	A	ADV	_	5	adv	_	_
5	träume	träumen	V	VVFIN	1|Sg|Pres|_	8	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	dann	dann	A	ADV	_	8	adv	_	_
8	träume	träumen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	143	143
10	von	von	P	APPR	Dat	8	pp	_	_
11	ihr	ihr	P	PPER	3|Sg|Fem|Dat	10	pn	149	149
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	wer	wer	P	PWS	_|Nom|Sg	19	subj	_	_
15	dann	dann	A	ADV	_	19	adv	_	_
16	Herr	Herr	N	NN	Masc|Nom|Sg	19	pred	205	205
17	auf	auf	P	APPR	Dat	19	pp	_	_
18	ihr	ihr	P	PPER	3|Sg|Fem|Dat	17	pn	149	149
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	13	cj	_	_
20	und	und	K	KON	_	19	kon	_	_
21	keinen	keine	A	PIAT	Masc|Acc|Sg	22	det	_	_
22	Schulrat	Schulrat	N	NN	Masc|Acc|Sg	30	obja	_	_
23	,	,	$	$,	_	0	root	_	_
24	Oberlehrer	Oberlehrer	N	NN	Masc|Acc|_	22	kon	_	_
25	und	und	K	KON	_	24	kon	_	_
26	Kollaborator	Kollaborator	N	NN	Masc|Acc|Sg	25	cj	_	_
27	über	über	P	APPR	Acc	26	pp	_	_
28	den	die	A	ART	Def|Masc|Acc|Sg	29	det	150	150
29	Graben	Graben	N	NN	Masc|Acc|Sg	27	pn	150	150
