1	Nettchen	Nettchen	N	NE	_	0	root	31	31
8	was	was	P	PRELS	Neut|_|Sg	10	obja	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	7	7
10	wollte	wollen	V	VMFIN	3|Sg|Past|_	4	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	alles	alle	P	PIS	Neut|Nom|Sg	13	subj	_	_
13	wurde	werden	V	VAFIN	3|Sg|Past|Ind	3	kon	_	_
14	als	als	K	KOKOM	_	18	kom	_	_
15	ungewöhnlich	ungewöhnlich	A	ADJD	Pos|	14	cj	_	_
16	und	und	K	KON	_	15	kon	_	_
17	nobel	nobel	A	ADJD	Pos|	16	cj	_	_
18	ausgelegt	auslegen	V	VVPP	_	13	aux	_	_
19	und	und	K	KON	_	18	kon	_	_
20	die	die	A	ART	Def|Fem|_|Sg	21	det	_	_
21	Ungeschicklichkeit	Ungeschicklichkeit	N	NN	Fem|_|Sg	27	obja	_	_
22	selbst	selbst	A	ADV	_	27	adv	_	_
23	als	als	K	KOKOM	_	27	kom	_	_
24	merkwürdige	merkwürdig	A	ADJA	Pos|Fem|_|Sg|_|	25	attr	_	_
25	Unbefangenheit	Unbefangenheit	N	NN	Fem|_|Sg	23	cj	_	_
26	liebenswürdig	liebenswürdig	A	ADJD	Pos|	27	adv	_	_
27	befunden	befinden	V	VVPP	_	19	cj	_	_
28	von	von	P	APPR	_	18	pp	_	_
29	der	die	A	ART	Def|Fem|_|Sg	31	det	15	15
30	jungen	jung	A	ADJA	Pos|Fem|_|Sg|Wk|	31	attr	15	15
31	Dame	Dame	N	NN	Fem|_|Sg	28	pn	15	15
32	,	,	$	$,	_	0	root	15	15
33	welche	welche	P	PRELS	Fem|Nom|Sg	41	subj	15	15
34	sonst	sonst	A	ADV	_	40	adv	_	_
35	stundenlang	stundenlang	A	ADJD	Pos|	40	adv	_	_
36	über	über	P	APPR	Acc	40	pp	_	_
37	gesellschaftliche	gesellschaftlich	A	ADJA	Pos|Masc|Acc|Pl|St|	38	attr	_	_
38	Verstöße	Verstoß	N	NN	Masc|Acc|Pl	36	pn	_	_
39	zu	zu	P	PTKZU	_	40	part	_	_
40	plaudern	plaudern	V	VVINF	_	41	obji	_	_
41	wußte	wußte	V	VVFIN	_|_|_|_	31	rel	_	_
42	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	5	konj	_	_
2	man	man	P	PIS	_|Nom|Sg	5	subj	_	_
3	guter	gut	A	ADJA	Pos|Neut|Gen|Pl|St|	4	attr	_	_
4	Dinge	Ding	N	NN	Neut|Gen|Pl	2	gmod	_	_
5	war	sein	V	VAFIN	3|Sg|Past|Ind	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	sangen	singen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
8	ein	eine	A	ART	Indef|_|_|Sg	10	det	_	_
9	paar	paar	A	PIDAT	Masc|Nom|Pl	10	attr	_	_
10	Gäste	Gast	N	NN	Masc|Nom|Pl	7	subj	_	_
11	Lieder	Lied	N	NN	Neut|_|Pl	7	obja	16	16
12	,	,	$	$,	_	0	root	16	16
13	die	die	P	PRELS	Neut|Nom|Pl	19	subj	16	16
14	in	in	P	APPR	Dat	19	pp	_	_
15	den	die	A	ART	Def|Neut|Dat|Pl	17	det	_	_
16	dreißiger	dreißiger	A	ADJA	Pos|Neut|Dat|Pl|_|	17	attr	_	_
17	Jahren	Jahr	N	NN	Neut|Dat|Pl	14	pn	_	_
18	Mode	Mode	N	NN	_|Nom|Sg	19	pred	_	_
19	waren	sein	V	VAFIN	3|Pl|Past|Ind	11	rel	_	_
20	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	0	0
2	Graf	Graf	N	NN	Masc|Nom|Sg	3	subj	0	0
3	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	gebeten	bitten	V	VVPP	_	3	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	ein	eine	A	ART	Indef|Neut|_|Sg	8	det	_	_
7	polnisches	polnisch	A	ADJA	Pos|Neut|_|Sg|St|	8	attr	_	_
8	Lied	Lied	N	NN	Neut|_|Sg	10	obja	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	singen	singen	V	VVINF	_	4	obji	_	_
11	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	17	17
2	Wein	Wein	N	NN	Masc|Nom|Sg	3	subj	17	17
3	überwand	überwinden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	seine	seine	A	PPOSAT	Fem|_|Sg	5	det	17	17
5	Schüchternheit	Schüchternheit	N	NN	Fem|_|Sg	3	obja	_	_
6	endlich	endlich	A	ADJD	Pos|	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	obschon	obschon	K	KOUS	_	0	root	_	_
9	nicht	nicht	P	PTKNEG	_	11	adv	_	_
10	seine	seine	A	PPOSAT	_|_|_	11	det	17	17
11	Sorgen	Sorge	N	NN	_|_|_	0	root	_	_
12	;	;	$	$.	_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	17	17
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	einst	einst	A	ADV	_	17	adv	_	_
16	einige	einige	A	PIAT	Fem|_|Pl	17	det	_	_
17	Wochen	Woche	N	NN	Fem|_|Pl	20	zeit	_	_
18	im	in	P	APPRART	Dat	20	pp	_	_
19	Polnischen	Polnische	N	NN	_|Dat|_	18	pn	18	18
20	gearbeitet	arbeiten	V	VVPP	_	14	aux	_	_
21	und	und	K	KON	_	14	kon	_	_
22	wußte	wußte	V	VVFIN	_	21	cj	_	_
23	einige	einige	A	PIAT	Neut|_|Pl	25	det	_	_
24	polnische	polnisch	A	ADJA	Pos|Neut|_|Pl|St|	25	attr	_	_
25	Worte	Wort	N	NN	Neut|_|Pl	22	obja	_	_
26	,	,	$	$,	_	0	root	_	_
27	sogar	sogar	A	ADV	_	29	adv	_	_
28	ein	eine	A	ART	Indef|Neut|_|Sg	29	det	_	_
29	Volksliedchen	Volksliedchen	N	NN	Neut|_|Sg	25	kon	_	_
30	auswendig	auswendig	A	ADJD	Pos|	22	adv	_	_
31	,	,	$	$,	_	0	root	_	_
32	ohne	ohne	K	KOUI	_	37	konj	_	_
33	ihres	ihre	A	PPOSAT	Masc|Gen|Sg	34	det	18	18
34	Inhalts	Inhalt	N	NN	Masc|Gen|Sg	37	objg	_	_
35	bewußt	bewußt	A	ADJD	Pos|	37	pred	_	_
36	zu	zu	P	PTKZU	_	37	part	_	_
37	sein	sein	V	VAINF	_	22	neb	_	_
38	,	,	$	$,	_	0	root	_	_
39	gleich	gleich	A	ADV	_	41	adv	_	_
40	einem	eine	A	ART	Indef|Masc|Dat|Sg	41	det	_	_
41	Papagei	Papagei	N	NN	Masc|Dat|Sg	0	root	_	_
42	.	.	$	$.	_	0	root	_	_

1	Also	also	A	ADV	_	2	adv	_	_
2	sang	singen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	17	17
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	edlem	edel	A	ADJA	Pos|Neut|Dat|Sg|St|	6	attr	_	_
6	Wesen	Wesen	N	NN	Neut|Dat|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	mehr	mehr	A	ADV	_	9	adv	_	_
9	zaghaft	zaghaft	A	ADJD	Pos|	0	root	_	_
10	als	als	K	KOKOM	_	0	root	_	_
11	laut	laut	A	ADJD	Pos|	10	cj	_	_
12	und	und	K	KON	_	11	kon	_	_
13	mit	mit	P	APPR	Dat	12	cj	_	_
14	einer	eine	A	ART	Indef|Fem|Dat|Sg	15	det	_	_
15	Stimme	Stimme	N	NN	Fem|Dat|Sg	13	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	welche	welche	A	PWAT	_|_|_	0	root	_	_
18	wie	wie	K	KOKOM	_	24	kom	_	_
19	von	von	P	APPR	Dat	18	cj	_	_
20	einem	eine	A	ART	Indef|Masc|Dat|Sg	22	det	_	_
21	geheimen	geheim	A	ADJA	Pos|Masc|Dat|Sg|Wk|	22	attr	_	_
22	Kummer	Kummer	N	NN	Masc|Dat|Sg	19	pn	_	_
23	leise	leise	A	ADJD	Pos|	24	adv	_	_
24	zitterte	zittern	V	VVFIN	_|Sg|Past|_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	auf	auf	P	APPR	_	24	pp	_	_
27	polnisch	polnisch	A	ADJD	Pos|	26	pn	_	_
28	:	\:	$	$.	_	0	root	_	_

1	Hunderttausend	hunderttausend	C	CARD	_	2	attr	_	_
2	Ochsen	Ochse	N	NN	Masc|Nom|Pl	3	subj	_	_
3	brüllen	brüllen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Auf	auf	P	APPR	_	3	pp	_	_
5	Wolhyniens	Wolhyniens	N	NE	_|_|_	4	pn	_	_
6	grünen	grün	A	ADJA	Pos|_|_|_|_|	7	attr	_	_
7	Weiden	Weide	N	NN	_|_|_	3	obja	_	_
8	,	,	$	$,	_	0	root	_	_
9	Und	und	K	KON	_	3	kon	_	_
10	Kathinka	Kathinka	N	NE	_|Nom|_	14	subj	19	19
11	,	,	$	$,	_	0	root	19	19
12	ja	ja	A	ADV	_	13	adv	19	19
13	Kathinka	Kathinka	N	NN	_|Nom|_	10	kon	19	19
14	Glaubt	glauben	V	VVFIN	_|_|Pres|Ind	9	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	17	17
17	sei	sein	V	VAFIN	1|Sg|Pres|Subj	14	s	_	_
18	in	in	P	APPR	Acc	20	pp	_	_
19	sie	sie	P	PPER	3|_|_|Acc	18	pn	19	19
20	verliebt	verlieben	V	VVPP	_	17	aux	_	_
21	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Bravo	Bravo	F	FM	_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Bravo	Bravo	F	FM	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	riefen	rufen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	alle	alle	A	PIDAT	Masc|Nom|Pl	6	det	_	_
6	Herren	Herr	N	NN	Masc|Nom|Pl	4	subj	_	_
7	,	,	$	$,	_	0	root	_	_
8	mit	mit	P	APPR	Dat	4	pp	_	_
9	den	die	A	ART	Def|Fem|Dat|Pl	10	det	_	_
10	Händen	Hand	N	NN	Fem|Dat|Pl	11	objd	_	_
11	klatschend	klatschen	A	ADJD	_|<PPRES	8	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	4	kon	_	_
14	Nettchen	Nettchen	N	NE	_|Nom|Sg	15	subj	_	_
15	sagte	sagen	V	VVFIN	3|Sg|Past|_	13	cj	_	_
16	gerührt	rühren	V	VVPP	_	15	neb	_	_
17	:	\:	$	$.	_	0	root	_	_
18	»	»	$	$(	_	0	root	_	_
19	Ach	ach	I	ITJ	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	das	die	A	ART	Def|Neut|Nom|Sg	22	det	_	_
22	Nationale	Nationale	N	NN	Neut|Nom|Sg	23	subj	_	_
23	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
24	immer	immer	A	ADV	_	25	adv	_	_
25	so	so	A	ADV	_	26	adv	_	_
26	schön	schön	A	ADJD	Pos|	23	pred	_	_
27	!	!	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_
29	Glücklicherweise	glücklicherweise	A	ADV	_	30	adv	_	_
30	verlangte	verlangen	V	VVFIN	3|Sg|Past|_	0	root	_	_
31	niemand	niemand	P	PIS	_|Nom|Sg	30	subj	_	_
32	die	die	A	ART	Def|Fem|_|Sg	33	det	_	_
33	Übersetzung	Übersetzung	N	NN	Fem|_|Sg	30	obja	_	_
34	dieses	diese	A	PDAT	Masc|Gen|Sg	35	det	_	_
35	Gesanges	Gesang	N	NN	Masc|Gen|Sg	33	gmod	_	_
36	.	.	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	8	pp	_	_
2	dem	die	A	ART	Def|Neut|Dat|Sg	3	det	_	_
3	Überschreiten	Überschreiten	N	NN	Neut|Dat|Sg	1	pn	_	_
4	solchen	solche	A	PIDAT	Masc|Gen|Sg	5	det	_	_
5	Höhepunktes	Höhepunkt	N	NN	Masc|Gen|Sg	3	gmod	_	_
6	der	die	A	ART	Def|Fem|Gen|Sg	7	det	_	_
7	Unterhaltung	Unterhaltung	N	NN	Fem|Gen|Sg	5	gmod	_	_
8	brach	brechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	_	_
10	Gesellschaft	Gesellschaft	N	NN	Fem|Nom|Sg	8	subj	_	_
11	auf	auf	P	PTKVZ	_	8	avz	_	_
12	;	;	$	$.	_	0	root	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	_	_
14	Schneider	Schneider	N	NE	Masc|Nom|Sg	15	subj	_	_
15	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
16	wieder	wieder	A	ADV	_	17	adv	_	_
17	eingepackt	einpacken	V	VVPP	_	15	aux	_	_
18	und	und	K	KON	_	17	kon	_	_
19	sorgfältig	sorgfältig	A	ADJD	Pos|	22	adv	_	_
20	nach	nach	P	APPR	Dat	22	pp	_	_
21	Goldach	Goldach	N	NE	_|Dat|_	20	pn	5	5
22	zurückgebracht	zurückbringen	V	VVPP	_	18	cj	_	_
23	;	;	$	$.	_	0	root	_	_
24	vorher	vorher	A	ADV	_	25	adv	_	_
25	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
26	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	7	7
27	versprechen	versprechen	V	VVINF	_	28	aux	_	_
28	müssen	müssen	V	VMINF	_	25	aux	_	_
29	,	,	$	$,	_	0	root	_	_
30	nicht	nicht	P	PTKNEG	_	33	adv	_	_
31	ohne	ohne	P	APPR	Acc	33	pp	_	_
32	Abschied	Abschied	N	NN	Masc|Acc|Sg	31	pn	_	_
33	davonzureisen	davonreisen	V	VVIZU	_	27	obji	_	_
34	.	.	$	$.	_	0	root	_	_

1	Im	in	P	APPRART	Dat	7	pp	_	_
2	Gasthof	Gasthof	N	NN	Masc|Dat|Sg	1	pn	_	_
3	›	›	N	NE	Masc|Dat|Sg	2	app	_	_
4	Zur	zu	P	APPRART	Dat	2	pp	_	_
5	Waage	Waage	N	NN	Fem|Dat|Sg	4	pn	_	_
6	‹	‹	N	NE	Fem|Dat|Sg	5	app	_	_
7	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	noch	noch	A	ADV	_	12	adv	_	_
9	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	_	_
10	Glas	Glas	N	NN	Masc|Nom|Sg	7	subj	_	_
11	Punsch	Punsch	N	NN	Masc|Nom|Sg	10	app	_	_
12	genommen	nehmen	V	VVPP	_	7	aux	_	_
13	;	;	$	$.	_	0	root	_	_
14	jedoch	jedoch	K	KON	_	0	root	_	_
15	Strapinski	Strapinski	N	NE	_|Nom|Sg	16	subj	9	9
16	war	sein	V	VAFIN	3|Sg|Past|Ind	14	cj	_	_
17	erschöpft	erschöpfen	V	VVPP	_	16	aux	_	_
18	und	und	K	KON	_	16	kon	_	_
19	verlangte	verlangen	V	VVFIN	_|Sg|Past|_	18	cj	_	_
20	nach	nach	P	APPR	Dat	19	pp	_	_
21	dem	die	A	ART	Def|Neut|Dat|Sg	22	det	_	_
22	Bette	Bett	N	NN	Neut|Dat|Sg	20	pn	_	_
23	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	20	20
2	Wirt	Wirt	N	NN	Masc|Nom|Sg	4	subj	20	20
3	selbst	selbst	A	ADV	_	2	adv	20	20
4	führte	führen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	9	9
6	auf	auf	P	APPR	Acc	4	objp	_	_
7	seine	seine	A	PPOSAT	Neut|Acc|_	8	det	9	9
8	Zimmer	Zimmer	N	NN	Neut|Acc|_	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	deren	die	A	PRELAT	Fem|_|Sg	11	det	_	_
11	Stattlichkeit	Stattlichkeit	N	NN	Fem|_|Sg	15	obja	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	9	9
13	kaum	kaum	A	ADV	_	15	adv	_	_
14	mehr	mehr	A	ADV	_	15	adv	_	_
15	beachtete	beachten	V	VVFIN	3|Sg|Past|_	8	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	obgleich	obgleich	K	KOUS	_	21	konj	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	21	subj	9	9
19	nur	nur	A	ADV	_	21	adv	_	_
20	gewohnt	gewohnt	A	ADJD	Pos|	21	pred	_	_
21	war	sein	V	VAFIN	3|Sg|Past|Ind	15	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	in	in	P	APPR	_	27	pp	_	_
24	dürftigen	dürftig	A	ADJA	Pos|_|_|_|_|	25	attr	21	21
25	Herbergskammern	Herbergskammern	N	NN	_|_|_	23	pn	21	21
26	zu	zu	P	PTKZU	_	27	part	_	_
27	schlafen	schlafen	V	VVINF	_	21	obji	_	_
28	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	9	9
2	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ohne	ohne	P	APPR	Acc	2	pp	_	_
4	alle	alle	A	PIDAT	_|Acc|_	3	pn	_	_
5	und	und	K	KON	_	4	kon	_	_
6	jede	jede	A	PIDAT	_|Acc|Sg	5	cj	_	_
7	Habseligkeit	Habseligkeit	N	NN	Fem|Dat|Sg	2	objd	_	_
8	mitten	mitten	A	ADV	_	9	adv	_	_
9	auf	auf	P	APPR	Dat	2	objp	_	_
10	einem	eine	A	ART	Indef|Masc|Dat|Sg	12	det	_	_
11	schönen	schön	A	ADJA	Pos|Masc|Dat|Sg|Wk|	12	attr	_	_
12	Teppich	Teppich	N	NN	Masc|Dat|Sg	9	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	als	als	K	KOUS	_	22	konj	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	16	det	20	20
16	Wirt	Wirt	N	NN	Masc|Nom|Sg	22	subj	20	20
17	plötzlich	plötzlich	A	ADJD	Pos|	22	adv	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
19	Mangel	Mangel	N	NN	Masc|Acc|Sg	22	obja	_	_
20	an	an	P	APPR	_	19	pp	_	_
21	Gepäck	Gepäck	N	NN	Neut|_|Sg	20	pn	_	_
22	entdeckte	entdecken	V	VVFIN	3|Sg|Past|_	2	neb	_	_
23	und	und	K	KON	_	22	kon	_	_
24	sich	sie	P	PRF	3|_|_	28	obja	_	_
25	vor	vor	P	APPR	Acc	28	pp	_	_
26	die	die	A	ART	Def|Fem|Acc|Sg	27	det	_	_
27	Stirne	Stirne	N	NN	Fem|Acc|Sg	25	pn	_	_
28	schlug	schlagen	V	VVFIN	_|Sg|Past|Ind	23	cj	_	_
29	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	lief	laufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	20	20
4	schnell	schnell	A	ADJD	Pos|	2	adv	_	_
5	hinaus	hinaus	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	schellte	schellen	V	VVFIN	_|Sg|Past|_	2	kon	_	_
8	,	,	$	$,	_	0	root	_	_
9	rief	rufen	V	VVFIN	_|Sg|Past|Ind	7	kon	_	_
10	Kellner	Kellner	N	NN	Masc|_|_	9	obja	_	_
11	und	und	K	KON	_	10	kon	_	_
12	Hausknechte	Hausknecht	N	NN	Masc|_|_	11	cj	_	_
13	herbei	herbei	P	PTKVZ	_	9	avz	_	_
14	,	,	$	$,	_	0	root	_	_
15	wortwechselte	wortwechselte	N	NE	_	0	root	_	_
16	mit	mit	P	APPR	Dat	15	pp	_	_
17	ihnen	sie	P	PPER	3|Pl|_|Dat	16	pn	21	21
18	,	,	$	$,	_	0	root	_	_
19	kam	kommen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
20	wieder	wieder	A	ADV	_	19	adv	_	_
21	und	und	K	KON	_	19	kon	_	_
22	beteuerte	beteuern	V	VVFIN	_|Sg|Past|_	21	cj	_	_
23	:	\:	$	$.	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	Es	es	P	PPER	3|Sg|Neut|Nom	26	subj	_	_
26	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
27	richtig	richtig	A	ADJD	Pos|	26	pred	_	_
28	,	,	$	$,	_	0	root	_	_
29	Herr	Herr	N	NN	Masc|_|Sg	0	root	0	0
30	Graf	Graf	N	NE	_|_|Sg	29	app	0	0
31	,	,	$	$,	_	0	root	_	_
32	man	man	P	PIS	_|Nom|Sg	33	subj	_	_
33	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
34	vergessen	vergessen	V	VVINF	_	0	root	_	_
35	,	,	$	$,	_	0	root	_	_
36	Ihr	ihre	A	PPOSAT	Neut|_|Sg	37	det	21	21
37	Gepäck	Gepäck	N	NN	Neut|_|Sg	38	obja	_	_
38	abzuladen	abladen	V	VVIZU	_	34	obji	_	_
39	!	!	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	3	adv	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	_	_
3	Notwendigste	Notwendigste	N	NN	Neut|Nom|Sg	4	subj	_	_
4	fehlt	fehlen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Auch	auch	A	ADV	_	5	adv	23	23
3	das	die	A	ART	Def|Neut|_|Sg	5	det	23	23
4	kleine	klein	A	ADJA	Pos|Neut|_|Sg|Wk|	5	attr	23	23
5	Paketchen	Paketchen	N	NN	Neut|_|Sg	0	root	23	23
6	,	,	$	$,	_	0	root	23	23
7	das	die	P	PRELS	Neut|Nom|Sg	10	subj	23	23
8	im	in	P	APPRART	Dat	10	objp	_	_
9	Wagen	Wage	N	NN	_|Dat|_	8	pn	_	_
10	lag	liegen	V	VVFIN	3|Sg|Past|Ind	5	rel	_	_
11	?	?	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_
13	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	Strapinski	Strapinski	N	NE	_|Nom|Sg	13	subj	9	9
15	ängstlich	ängstlich	A	ADJD	Pos|	13	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	weil	weil	K	KOUS	_	23	konj	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	9	9
19	an	an	P	APPR	Acc	23	objp	_	_
20	ein	eine	A	ART	Indef|Neut|Acc|Sg	22	det	24	24
21	handgroßes	handgroß	A	ADJA	Pos|Neut|Acc|Sg|St|	22	attr	24	24
22	Bündelein	Bündelein	N	NN	Neut|Acc|Sg	19	pn	24	24
23	dachte	denken	V	VVFIN	3|Sg|Past|Ind	13	neb	24	24
24	,	,	$	$,	_	0	root	24	24
25	welches	welche	P	PRELS	Neut|_|Sg	30	obja	24	24
26	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	9	9
27	auf	auf	P	APPR	Dat	30	pp	_	_
28	dem	die	A	ART	Def|Masc|Dat|Sg	29	det	_	_
29	Sitze	Sitz	N	NN	Masc|Dat|Sg	27	pn	_	_
30	hatte	haben	V	VAFIN	3|Sg|Past|Ind	22	rel	_	_
31	liegenlassen	liegenlassen	N	NE	_	0	root	25	25
32	,	,	$	$,	_	0	root	_	_
33	und	und	K	KON	_	0	root	_	_
34	das	die	P	PRELS	Neut|Nom|Sg	51	subj	25	25
35	ein	eine	A	ART	Indef|Neut|Acc|Sg	36	det	_	_
36	Schnupftuch	Schnupftuch	N	NN	Neut|Acc|Sg	51	obja	_	_
37	,	,	$	$,	_	0	root	_	_
38	eine	eine	A	ART	Indef|Fem|Acc|Sg	39	det	_	_
39	Haarbürste	Haarbürste	N	NN	Fem|Acc|Sg	36	kon	_	_
40	,	,	$	$,	_	0	root	_	_
41	einen	eine	A	ART	Indef|Masc|Acc|Sg	42	det	_	_
42	Kamm	Kamm	N	NN	Masc|Acc|Sg	39	kon	_	_
43	,	,	$	$,	_	0	root	_	_
44	ein	eine	A	ART	Indef|_|_|Sg	45	det	_	_
45	Büchschen	Büchschen	N	NN	Fem|Acc|Sg	42	kon	_	_
46	Pomade	Pomade	N	NN	Fem|Acc|Sg	45	app	_	_
47	und	und	K	KON	_	45	kon	_	_
48	einen	eine	A	ART	Indef|Masc|Acc|Sg	49	det	_	_
49	Stengel	Stengel	N	NN	Fem|Acc|Sg	47	cj	_	_
50	Bartwichse	Bartwichse	N	NN	Fem|Acc|Sg	49	app	_	_
51	enthielt	enthalten	V	VVFIN	3|Sg|Past|Ind	33	cj	_	_
52	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Auch	auch	A	ADV	_	3	adv	_	_
3	dieses	diese	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	fehlt	fehlen	V	VVFIN	3|Sg|Pres|Ind	13	s	_	_
5	,	,	$	$,	_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|_	7	expl	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	kon	_	_
8	gar	gar	A	ADV	_	9	adv	_	_
9	nichts	nichts	P	PIS	_|Nom|Sg	7	subj	_	_
10	da	da	A	ADV	_	7	adv	_	_
11	«	«	$	$(	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	16	det	0	0
15	gute	gut	A	ADJA	Pos|Masc|Nom|Sg|Wk|	16	attr	0	0
16	Wirt	Wirt	N	NN	Masc|Nom|Sg	13	subj	0	0
17	erschrocken	erschrecken	V	VVPP	_	13	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	weil	weil	K	KOUS	_	25	konj	_	_
20	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	0	0
21	darunter	darunter	P	PROAV	_	25	pp	_	_
22	etwas	etwas	A	ADV	_	25	adv	_	_
23	sehr	sehr	A	ADV	_	25	adv	_	_
24	Wichtiges	wichtig	A	ADJA	Pos|Neut|_|Sg|St|	25	obja	_	_
25	vermutete	vermuten	V	VVFIN	3|Sg|Past|_	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Man	man	P	PIS	_|Nom|Sg	3	subj	_	_
3	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	12	s	_	_
4	dem	die	A	ART	Def|Masc|Dat|Sg	5	det	10	10
5	Kutscher	Kutscher	N	NN	Masc|Dat|Sg	9	objd	10	10
6	sogleich	sogleich	A	ADV	_	9	adv	_	_
7	einen	eine	A	ART	Indef|Masc|Acc|Sg	8	det	_	_
8	Expressen	Express	N	NN	Masc|Acc|Sg	9	obja	_	_
9	nachschicken	nachschicken	V	VVINF	_	3	aux	_	_
