1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	28	28
11	,	,	$	$,	_	0	root	_	_
12	welchen	welche	P	PRELS	_|_|_	0	root	42	42
13	mit	mit	P	APPR	Dat	16	pp	_	_
14	ihr	ihr	P	PPER	3|Sg|Fem|Dat	13	pn	35	35
15	zu	zu	P	PTKZU	_	16	part	_	_
16	teilen	teilen	V	VVINF	_	0	root	_	_
17	sie	sie	P	PPER	3|Sg|Fem|Nom	20	subj	35	35
18	den	die	A	ART	Def|_|_|_	19	det	_	_
19	Geliebten	Geliebte	N	NN	_|_|_	20	obja	_	_
20	zwang	zwingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Also	also	A	ADV	_	3	adv	_	_
3	übermorgen	übermorgen	A	ADV	_	4	adv	_	_
4	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	4	subj	39	39
6	hier	hier	A	ADV	_	4	adv	_	_
7	weg	weg	A	ADV	_	4	adv	_	_
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	Sali	Sali	N	NE	_|Nom|Sg	10	subj	33	33
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	was	was	P	PWS	Neut|Nom|Sg	15	subj	_	_
15	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
16	denn	denn	A	ADV	_	19	adv	_	_
17	ums	um	P	APPRART	Acc	19	pp	_	_
18	Himmels	Himmel	N	NN	Masc|Gen|Sg	17	pn	53	53
19	willen	willen	V	VVPP	_	20	aux	_	_
20	werden	werden	V	VAINF	_	15	aux	_	_
21	?	?	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_
23	-	-	$	$(	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	Das	die	P	PDS	Neut|_|Sg	26	obja	_	_
26	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	0	0
28	nicht	nicht	P	PTKNEG	_	26	adv	_	_
29	«	«	$	$(	_	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	sagte	sagen	V	VVFIN	3|Sg|Past|_	28	par	_	_
32	Vrenchen	Vrenchen	N	NE	_|Nom|Sg	31	subj	0	0
33	,	,	$	$,	_	0	root	_	_
34	»	»	$	$(	_	0	root	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	36	subj	0	0
36	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
37	dienen	dienen	V	VVINF	_	38	aux	_	_
38	müssen	müssen	V	VMINF	_	36	aux	_	_
39	und	und	K	KON	_	0	root	_	_
40	in	in	P	APPR	Acc	39	cj	_	_
41	die	die	A	ART	Def|Fem|Acc|Sg	42	det	_	_
42	Welt	Welt	N	NN	Fem|Acc|Sg	40	pn	_	_
43	hinaus	hinaus	P	PTKVZ	_	0	root	_	_
44	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	0	0
2	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	6	obja	_	_
4	aber	aber	A	ADV	_	6	adv	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	aushalten	aushalten	V	VVINF	_	2	aux	_	_
7	ohne	ohne	P	APPR	Acc	6	pp	_	_
8	dich	du	P	PPER	2|Sg|_|Acc	7	pn	39	39
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	2	kon	_	_
11	doch	doch	A	ADV	_	12	adv	_	_
12	kann	können	V	VMFIN	1|Sg|Pres|Ind	10	cj	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	0	0
14	dich	du	P	PPER	2|Sg|_|Acc	16	obja	39	39
15	nie	nie	A	ADV	_	16	adv	_	_
16	bekommen	bekommen	V	VVINF	_	12	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	auch	auch	A	ADV	_	19	adv	_	_
19	wenn	wenn	K	KOUS	_	23	konj	_	_
20	alles	alle	A	PIDAT	Neut|Nom|Sg	21	det	_	_
21	andere	andere	P	PIS	_|Nom|Sg	23	subj	_	_
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	wäre	sein	V	VAFIN	3|Sg|Past|Subj	12	neb	_	_
24	,	,	$	$,	_	0	root	_	_
25	bloß	bloß	A	ADV	_	26	adv	_	_
26	weil	weil	K	KOUS	_	36	konj	_	_
27	du	du	P	PPER	2|Sg|_|Nom	36	subj	39	39
28	meinen	meine	A	PPOSAT	Masc|_|Sg	29	det	0	0
29	Vater	Vater	N	NN	Masc|_|Sg	30	obja	_	_
30	geschlagen	schlagen	V	VVPP	_	36	aux	_	_
31	und	und	K	KON	_	30	kon	_	_
32	um	um	P	APPR	Acc	35	objp	_	_
33	den	die	A	ART	Def|Masc|Acc|Sg	34	det	_	_
34	Verstand	Verstand	N	NN	Masc|Acc|Sg	32	pn	_	_
35	gebracht	bringen	V	VVPP	_	31	cj	_	_
36	hast	haben	V	VAFIN	2|Sg|Pres|Ind	23	neb	_	_
37	!	!	$	$.	_	0	root	_	_

1	Dies	dies	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	immer	immer	A	ADV	_	9	adv	_	_
4	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
5	schlechter	schlecht	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	_
6	Grundstein	Grundstein	N	NN	Masc|Nom|Sg	9	pred	_	_
7	unserer	unsre	A	PPOSAT	Fem|Gen|Sg	8	det	43	43
8	Ehe	Ehe	N	NN	Fem|Gen|Sg	6	gmod	_	_
9	sein	sein	V	VAINF	_	2	aux	_	_
10	und	und	K	KON	_	0	root	_	_
11	wir	wir	P	PPER	1|Pl|_|Nom	10	cj	43	43
12	beide	beide	P	PIS	_|Nom|Pl	11	app	_	_
13	nie	nie	A	ADV	_	12	adv	_	_
14	sorglos	sorglos	A	ADJD	Pos|	15	pred	_	_
15	werden	werden	V	VAINF	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	nie	nie	A	ADV	_	0	root	_	_
18	!	!	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_
20	Sali	Sali	N	NE	_|Nom|Sg	21	subj	33	33
21	seufzte	seufzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
22	und	und	K	KON	_	21	kon	_	_
23	sagte	sagen	V	VVFIN	_|Sg|Past|_	22	cj	_	_
24	:	\:	$	$.	_	0	root	_	_
25	»	»	$	$(	_	0	root	_	_
26	Ich	ich	P	PPER	1|Sg|_|Nom	27	subj	0	0
27	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
28	auch	auch	A	ADV	_	32	adv	_	_
29	schon	schon	A	ADV	_	32	adv	_	_
30	hundertmal	hundertmal	A	ADV	_	32	adv	_	_
31	Soldat	Soldat	N	NN	Masc|Nom|Sg	32	pred	_	_
32	werden	werden	V	VAINF	_	27	aux	_	_
33	oder	oder	K	KON	_	32	kon	_	_
34	mich	ich	P	PRF	1|Sg|Acc	41	obja	_	_
35	in	in	P	APPR	Dat	41	pp	_	_
36	einer	eine	A	ART	Indef|Fem|Dat|Sg	38	det	59	59
37	fremden	fremd	A	ADJA	Pos|Fem|Dat|Sg|Wk|	38	attr	59	59
38	Gegend	Gegend	N	NN	Fem|Dat|Sg	35	pn	59	59
39	als	als	K	KOKOM	_	38	kom	59	59
40	Knecht	Knecht	N	NN	Masc|_|Sg	39	cj	59	59
41	verdingen	verdingen	V	VVINF	_	33	cj	_	_
42	,	,	$	$,	_	0	root	_	_
43	aber	aber	K	KON	_	27	kon	_	_
44	ich	ich	P	PPER	1|Sg|_|Nom	45	subj	0	0
45	kann	können	V	VMFIN	1|Sg|Pres|Ind	43	cj	_	_
46	doch	doch	A	ADV	_	48	adv	_	_
47	nicht	nicht	P	PTKNEG	_	48	adv	_	_
48	fortgehen	fortgehen	V	VVINF	_	45	aux	_	_
49	,	,	$	$,	_	0	root	_	_
50	solange	solange	K	KOUS	_	53	konj	_	_
51	du	du	P	PPER	2|Sg|_|Nom	53	subj	39	39
52	hier	hier	A	ADV	_	53	adv	_	_
53	bist	sein	V	VAFIN	2|Sg|Pres|Ind	45	neb	_	_
54	,	,	$	$,	_	0	root	_	_
55	und	und	K	KON	_	53	kon	_	_
56	hernach	hernach	A	ADV	_	57	adv	_	_
57	wird	werden	V	VAFIN	3|Sg|Pres|Ind	55	cj	_	_
58	es	es	P	PPER	3|Sg|Neut|Nom	57	subj	_	_
59	mich	ich	P	PPER	1|Sg|_|Acc	60	obja	0	0
60	aufreiben	aufreiben	V	VVINF	_	57	aux	_	_
61	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	0	0
2	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	5	det	_	_
5	Elend	Elend	N	NN	Neut|Nom|Sg	6	subj	_	_
6	macht	machen	V	VVFIN	3|Sg|Pres|Ind	2	s	_	_
7	meine	meine	A	PPOSAT	_|_|_	8	det	0	0
8	Liebe	Liebe	N	NN	_|_|_	6	obja	44	44
9	zu	zu	P	APPR	Dat	8	pp	44	44
10	dir	du	P	PPER	2|Sg|_|Dat	9	pn	39	39
11	stärker	stark	A	ADJD	Comp|	6	pred	_	_
12	und	und	K	KON	_	11	kon	_	_
13	schmerzhafter	schmerzhaft	A	ADJD	Comp|	12	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	so	so	A	ADV	_	16	konj	_	_
16	daß	daß	K	KOUS	_	22	konj	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	22	subj	_	_
18	um	um	P	APPR	Acc	22	objp	_	_
19	Leben	Leben	N	NN	Neut|Acc|_	18	pn	_	_
20	und	und	K	KON	_	19	kon	_	_
21	Tod	Tod	N	NN	Masc|Acc|Sg	20	cj	_	_
22	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	6	neb	_	_
23	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	0	0
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	von	von	P	APPR	_	7	pp	_	_
4	dergleichen	dergleichen	P	PIS	_|_|_	3	pn	_	_
5	keine	keine	A	PIAT	Fem|_|Sg	6	det	_	_
6	Ahnung	Ahnung	N	NN	Fem|_|Sg	7	obja	_	_
7	gehabt	haben	V	VAPP	_	2	aux	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	Vrenchen	Vrenchen	N	NE	_|Nom|Sg	11	subj	0	0
11	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	ihn	er	P	PPER	3|Sg|Masc|Acc	11	obja	33	33
13	liebevoll	liebevoll	A	ADJD	Pos|	11	adv	_	_
14	lächelnd	lächeln	A	ADJD	_|<PPRES	11	adv	_	_
15	an	an	P	PTKVZ	_	11	avz	_	_
16	;	;	$	$.	_	0	root	_	_
17	sie	sie	P	PPER	3|Pl|_|Nom	18	subj	44	44
18	lehnten	lehnen	V	VVFIN	3|Pl|Past|_	0	root	_	_
19	sich	sie	P	PRF	3|_|_	18	obja	_	_
20	an	an	P	APPR	Acc	18	pp	_	_
21	die	die	A	ART	Def|Fem|Acc|Sg	22	det	_	_
22	Wand	Wand	N	NN	Fem|Acc|Sg	20	pn	_	_
23	zurück	zurück	P	PTKVZ	_	18	avz	_	_
24	und	und	K	KON	_	18	kon	_	_
25	sprachen	sprechen	V	VVFIN	_|Pl|Past|Ind	24	cj	_	_
26	nichts	nichts	P	PIS	_	25	obja	_	_
27	mehr	mehr	A	ADV	_	26	adv	_	_
28	,	,	$	$,	_	0	root	_	_
29	sondern	sondern	K	KON	_	18	kon	_	_
30	gaben	geben	V	VVFIN	_|Pl|Past|Ind	29	cj	_	_
31	sich	sie	P	PRF	3|_|_	30	obja	_	_
32	schweigend	schweigen	A	ADJD	_|<PPRES	30	adv	_	_
33	der	die	A	ART	Def|Fem|Dat|Sg	35	det	45	45
34	glückseligen	glückselig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	35	attr	45	45
35	Empfindung	Empfindung	N	NN	Fem|Dat|Sg	30	objd	45	45
36	hin	hin	P	PTKVZ	_	30	avz	45	45
37	,	,	$	$,	_	0	root	45	45
38	die	die	P	PRELS	Fem|Nom|Sg	43	subj	45	45
39	sich	sie	P	PRF	3|_|_	43	obja	_	_
40	über	über	P	APPR	Acc	43	pp	_	_
41	allen	alle	A	PIDAT	Masc|Acc|Sg	42	det	_	_
42	Gram	Gram	N	NN	Masc|Acc|Sg	40	pn	_	_
43	erhob	erheben	V	VVFIN	3|Sg|Past|Ind	35	rel	_	_
44	,	,	$	$,	_	0	root	_	_
45	daß	daß	K	KOUS	_	52	konj	_	_
46	sie	sie	P	PPER	3|Pl|_|Nom	52	subj	44	44
47	sich	sie	P	PRF	3|_|Dat	52	objd	_	_
48	im	in	P	APPRART	Dat	52	pp	_	_
49	größten	groß	A	ADJA	Sup|Masc|Dat|Sg|Wk|	50	attr	_	_
50	Ernste	Ernst	N	NN	Masc|Dat|Sg	48	pn	_	_
51	gut	gut	A	ADJD	Pos|	52	pred	_	_
52	wären	sein	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
53	und	und	K	KON	_	52	kon	_	_
54	geliebt	geliebt	A	ADJD	Pos|	55	adv	_	_
55	wüßten	wüßten	V	VVFIN	_	53	cj	_	_
56	.	.	$	$.	_	0	root	_	_

1	Darüber	Darüber	P	PROAV	_	2	pp	_	_
2	schliefen	schlafen	V	VVFIN	3|Pl|_|_	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	44	44
4	friedlich	friedlich	A	ADJD	Pos|	2	adv	_	_
5	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
6	auf	auf	P	APPR	Dat	0	root	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	_	_
8	unbequemen	unbequem	A	ADJA	Pos|Masc|Dat|Sg|Wk|	9	attr	_	_
9	Herde	Herd	N	NN	Masc|Dat|Sg	6	pn	_	_
10	,	,	$	$,	_	0	root	_	_
11	ohne	ohne	P	APPR	Acc	9	pp	_	_
12	Kissen	Kissen	N	NN	Neut|Acc|_	11	pn	_	_
13	und	und	K	KON	_	12	kon	_	_
14	Pfühl	Pfühl	N	NN	_|Acc|Sg	13	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	0	root	_	_
17	schliefen	schlafen	V	VVFIN	3|Pl|_|_	16	cj	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	sanft	sanft	A	ADJD	Pos|	17	adv	_	_
20	und	und	K	KON	_	19	kon	_	_
21	ruhig	ruhig	A	ADJD	Pos|	20	cj	_	_
22	wie	wie	K	KOKOM	_	17	kom	_	_
23	zwei	zwei	C	CARD	_	22	cj	_	_
24	Kinder	Kind	N	NN	Neut|Nom|Pl	17	subj	_	_
25	in	in	P	APPR	Dat	17	pp	_	_
26	einer	eine	A	ART	Indef|Fem|Dat|Sg	27	det	_	_
27	Wiege	Wiege	N	NN	Fem|Dat|Sg	25	pn	_	_
28	.	.	$	$.	_	0	root	_	_

1	Schon	schon	A	ADV	_	2	adv	_	_
2	graute	grauen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Morgen	Morgen	N	NN	Masc|Nom|Sg	2	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	9	kom	_	_
7	Sali	Sali	N	NE	_	6	cj	33	33
8	zuerst	zuerst	A	ADV	_	7	adv	33	33
9	erwachte	erwachen	V	VVFIN	_|Sg|Past|_	2	kon	_	_
10	;	;	$	$.	_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	33	33
12	weckte	wecken	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	Vrenchen	Vrenchen	N	NE	_	12	obja	0	0
14	,	,	$	$,	_	0	root	_	_
15	so	so	A	ADV	_	16	adv	_	_
16	sacht	sacht	A	ADJD	Pos|	17	adv	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	33	33
18	konnte	können	V	VMFIN	3|Sg|Past|Ind	12	kon	_	_
19	;	;	$	$.	_	0	root	_	_
20	aber	aber	K	KON	_	22	koord	_	_
21	es	es	P	PPER	3|Sg|Neut|Nom	22	subj	_	_
22	duckte	ducken	V	VVFIN	3|Sg|Past|_	0	root	_	_
23	sich	sie	P	PRF	3|_|_	22	obja	_	_
24	immer	immer	A	ADV	_	25	adv	_	_
25	wieder	wieder	A	ADV	_	22	adv	_	_
26	an	an	P	APPR	Acc	22	pp	_	_
27	ihn	er	P	PPER	3|Sg|Masc|Acc	26	pn	33	33
28	,	,	$	$,	_	0	root	_	_
29	schlaftrunken	schlaftrunken	A	ADJD	Pos|	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	und	und	K	KON	_	0	root	_	_
32	wollte	wollen	V	VMFIN	_|Sg|Past|_	31	cj	_	_
33	sich	sie	P	PRF	3|_|_	35	obja	_	_
34	nicht	nicht	P	PTKNEG	_	35	adv	_	_
35	ermuntern	ermuntern	V	VVINF	_	32	aux	_	_
36	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	küßte	küßte	V	VVFIN	3|Sg|_|_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	0	0
4	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
5	heftig	heftig	A	ADJD	Pos|	2	adv	_	_
6	auf	auf	P	APPR	Acc	2	pp	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
8	Mund	Mund	N	NN	Masc|Acc|Sg	6	pn	_	_
9	und	und	K	KON	_	2	kon	_	_
10	Vrenchen	Vrenchen	N	NE	_|Nom|Sg	11	subj	0	0
11	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	9	cj	_	_
12	empor	empor	A	ADV	_	11	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	machte	machen	V	VVFIN	_|Sg|Past|_	11	kon	_	_
15	die	die	A	ART	Def|Neut|_|Pl	16	det	46	46
16	Augen	Auge	N	NN	Neut|_|Pl	14	obja	46	46
17	weit	weit	A	ADJD	Pos|	14	adv	_	_
18	auf	auf	P	PTKVZ	_	14	avz	_	_
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	14	kon	_	_
21	als	als	K	KOKOM	_	23	kom	33	33
22	es	es	P	PPER	3|Sg|Neut|_	21	cj	33	33
23	Sali	Sali	N	NE	_|Nom|Sg	24	subj	33	33
24	erblickte	erblicken	V	VVFIN	3|Sg|Past|_	20	cj	_	_
25	,	,	$	$,	_	0	root	_	_
26	rief	rufen	V	VVFIN	_|Sg|Past|Ind	24	kon	_	_
27	es	es	P	PPER	3|Sg|Neut|_	26	obja	_	_
28	:	\:	$	$.	_	0	root	_	_
29	»	»	$	$(	_	0	root	_	_
30	Herrgott	Herrgott	N	NN	Masc|_|Sg	0	root	_	_
31	!	!	$	$.	_	0	root	_	_

1	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	47	47
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	eben	eben	A	ADV	_	7	adv	_	_
4	noch	noch	A	ADV	_	7	adv	_	_
5	von	von	P	APPR	Dat	7	pp	_	_
6	dir	du	P	PPER	2|Sg|_|Dat	5	pn	49	49
7	geträumt	träumen	V	VVPP	_	2	aux	_	_
8	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	träumte	träumen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	47	47
4	,	,	$	$,	_	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	6	subj	48	48
6	tanzten	tanzen	V	VVFIN	1|Pl|Past|_	2	kon	_	_
7	miteinander	miteinander	A	ADV	_	6	adv	_	_
8	auf	auf	P	APPR	Dat	6	pp	_	_
9	unserer	unsre	A	PPOSAT	Fem|Dat|Sg	10	det	48	48
10	Hochzeit	Hochzeit	N	NN	Fem|Dat|Sg	8	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	lange	lange	A	ADJD	_	8	kon	_	_
13	,	,	$	$,	_	0	root	_	_
14	lange	lang	A	ADJA	Pos|_|_|_|_|	12	kon	_	_
15	Stunden	Stunde	N	NN	_|_|_	6	zeit	_	_
16	!	!	$	$.	_	0	root	_	_

1	und	und	K	KON	_	0	root	_	_
2	waren	sein	V	VAFIN	_|Pl|Past|Ind	1	cj	_	_
3	so	so	A	ADV	_	2	adv	_	_
4	glücklich	glücklich	A	ADJD	Pos|	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	sauber	sauber	A	ADJD	Pos|	0	root	_	_
7	geschmückt	schmücken	V	VVPP	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	fehlte	fehlen	V	VVFIN	3|Sg|Past|_	8	cj	_	_
11	uns	wir	P	PPER	1|Pl|_|Dat	10	objd	48	48
12	an	an	P	APPR	_	10	objp	_	_
13	nichts	nichts	P	PIS	_|_|_	12	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	wollten	wollen	V	VMFIN	1|Pl|Past|_	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	48	48
4	uns	wir	P	PRF	1|Pl|_	6	obja	_	_
5	endlich	endlich	A	ADJD	Pos|	6	adv	_	_
6	küssen	küssen	V	VVINF	_	2	aux	_	_
7	und	und	K	KON	_	0	root	_	_
8	dürsteten	dürstet	A	ADJA	Pos|_|_|_|_|	9	attr	50	50
9	darnach	darnach	N	NN	_|_|_	7	cj	50	50
10	,	,	$	$,	_	0	root	_	_
11	aber	aber	K	KON	_	0	root	_	_
12	immer	immer	A	ADV	_	13	adv	_	_
13	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	11	cj	_	_
14	uns	wir	P	PPER	1|Pl|_|_	13	obja	48	48
15	etwas	etwas	P	PIS	Masc|Nom|Sg	13	subj	_	_
16	auseinander	auseinander	P	PTKVZ	_	13	avz	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	13	kon	_	_
19	nun	nun	A	ADV	_	20	adv	_	_
20	bist	sein	V	VAFIN	2|Sg|Pres|Ind	18	cj	_	_
21	du	du	P	PPER	2|Sg|_|Nom	20	subj	49	49
22	es	es	P	PPER	3|Sg|Neut|Nom	24	pred	_	_
23	selbst	selbst	A	ADV	_	22	adv	_	_
24	gewesen	sein	V	VAPP	_	20	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	der	die	P	PRELS	Masc|Nom|Sg	31	subj	50	50
27	uns	wir	P	PPER	1|Pl|_|_	28	obja	48	48
28	gestört	stören	V	VVPP	_	31	aux	_	_
29	und	und	K	KON	_	28	kon	_	_
30	gehindert	hindern	V	VVPP	_	29	cj	_	_
31	hat	haben	V	VAFIN	3|Sg|Pres|Ind	15	rel	_	_
32	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wie	wie	P	PWAV	_	3	adv	_	_
3	gut	gut	A	ADJD	Pos|	1	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	9	konj	_	_
6	du	du	P	PPER	2|Sg|_|Nom	9	subj	49	49
7	gleich	gleich	A	ADJD	Pos|	9	adv	_	_
8	da	da	A	ADV	_	9	adv	_	_
9	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	Gierig	gierig	A	ADJD	Pos|	13	adv	_	_
13	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
15	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	50	50
16	um	um	P	APPR	Acc	13	pp	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	51	51
18	Hals	Hals	N	NN	Masc|Acc|Sg	16	pn	51	51
19	und	und	K	KON	_	13	kon	_	_
20	küßte	küßte	V	VVFIN	_	19	cj	_	_
21	ihn	er	P	PPER	3|Sg|Masc|Acc	20	obja	51	51
22	,	,	$	$,	_	0	root	_	_
23	als	als	K	KOKOM	_	0	root	_	_
24	ob	ob	K	KOUS	_	29	konj	_	_
25	es	es	P	PPER	3|Sg|Neut|Nom	29	subj	_	_
26	kein	keine	A	PIAT	Neut|_|Sg	27	det	_	_
27	Ende	Ende	N	NN	Neut|_|Sg	28	obja	_	_
28	nehmen	nehmen	V	VVINF	_	29	aux	_	_
29	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	was	was	P	PWS	Neut|_|Sg	7	obja	_	_
4	hast	haben	V	VAFIN	2|Sg|Pres|Ind	2	cj	_	_
5	du	du	P	PPER	2|Sg|_|Nom	4	subj	49	49
6	denn	denn	A	ADV	_	7	adv	_	_
7	geträumt	träumen	V	VVPP	_	4	aux	_	_
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
12	und	und	K	KON	_	10	kon	_	_
13	streichelte	streicheln	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	ihm	er	P	PPER	3|Sg|_|Dat	13	objd	51	51
15	Wangen	Wange	N	NN	Fem|_|Pl	13	obja	54	54
16	und	und	K	KON	_	15	kon	_	_
17	Kinn	Kinn	N	NN	Neut|_|Sg	16	cj	_	_
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Mir	ich	P	PPER	1|Sg|_|Dat	3	objd	52	52
3	träumte	träumen	V	VVFIN	_|Sg|Past|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	52	52
6	ginge	gehen	V	VVFIN	1|Sg|Past|Subj	3	kon	_	_
7	endlos	endlos	A	ADJD	Pos|	6	adv	_	_
8	auf	auf	P	APPR	Dat	6	pp	_	_
9	einer	eine	A	ART	Indef|Fem|Dat|Sg	11	det	_	_
10	langen	lang	A	ADJA	Pos|Fem|Dat|Sg|Wk|	11	attr	_	_
11	Straße	Straß	N	NN	Fem|Dat|Sg	8	pn	_	_
12	durch	durch	P	APPR	Acc	6	pp	_	_
13	einen	eine	A	ART	Indef|Masc|Acc|Sg	14	det	_	_
14	Wald	Wald	N	NN	Masc|Acc|Sg	12	pn	_	_
15	und	und	K	KON	_	14	kon	_	_
16	du	du	P	PPER	2|Sg|_|Nom	15	cj	49	49
17	in	in	P	APPR	Dat	6	pp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	19	det	_	_
