1	Na	Na	I	ITJ	_	0	root	_	_
24	bloß	bloß	A	ADV	_	26	adv	_	_
25	so	so	A	ADV	_	26	adv	_	_
26	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	21	rel	_	_
27	,	,	$	$,	_	0	root	_	_
28	weil	weil	K	KOUS	_	31	konj	_	_
29	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	325	325
30	Hosen	Hose	N	NN	Fem|_|Pl	31	obja	_	_
31	anhat	anhaben	V	VVFIN	3|Sg|Pres|Ind	26	neb	_	_
32	!	!	$	$.	_	0	root	_	_

1	«	«	$	$(	_	0	root	_	_
2	Zornig	zornig	A	ADJD	Pos|	3	adv	_	_
3	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	191	191
5	das	die	A	ART	Def|Neut|_|Sg	6	det	_	_
6	Staubtuch	Staubtuch	N	NN	Neut|_|Sg	3	obja	_	_
7	in	in	P	APPR	Acc	3	objp	_	_
8	eine	eine	A	ART	Indef|Fem|Acc|Sg	9	det	_	_
9	Ecke	Eck	N	NN	Fem|Acc|Sg	7	pn	_	_
10	des	die	A	ART	Def|_|Gen|Sg	11	det	326	326
11	Schänkkastens	Schänkkastens	N	NN	_|Gen|Sg	9	gmod	326	326
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Je	je	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Pauli	Pauli	N	NE	_	0	root	40	40
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	spottete	spotten	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	Muckl	Muckl	N	NE	_|Nom|Sg	7	subj	298	298
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	das	die	P	PDS	Neut|_|Sg	0	root	_	_
12	wenn	wenn	K	KOUS	_	16	konj	_	_
13	du	du	P	PPER	2|Sg|_|Nom	16	subj	329	329
14	dir	du	P	PPER	2|Sg|_|Dat	16	objd	_	_
15	gfallen	gfallen	N	NE	_	16	obja	327	327
16	laßt	laßt	V	VVFIN	2|Sg|_|_	19	neb	_	_
17	,	,	$	$,	_	0	root	_	_
18	nachher	nachher	A	ADV	_	19	adv	_	_
19	darfst	dürfen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
20	gleich	gleich	A	ADJD	Pos|	23	adv	_	_
21	morgen	morgen	A	ADV	_	23	adv	_	_
22	Kegel	Kegel	N	NN	Masc|_|_	23	obja	_	_
23	aufsetzen	aufsetzen	V	VVINF	_	19	aux	_	_
24	!	!	$	$.	_	0	root	_	_

1	Pauli	Pauli	N	NE	_|Nom|Sg	2	subj	40	40
2	krampfte	krampfen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Sg	4	det	134	134
4	Hand	Hand	N	NN	Fem|_|Sg	2	obja	134	134
5	zur	zu	P	APPRART	Dat	2	pp	_	_
6	Faust	Faust	N	NN	Fem|Dat|Sg	5	pn	_	_
7	und	und	K	KON	_	2	kon	_	_
8	rief	rufen	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	mit	mit	P	APPR	Dat	8	pp	_	_
10	einem	eine	A	ART	Indef|Masc|Dat|Sg	12	det	_	_
11	finsteren	finster	A	ADJA	Pos|Masc|Dat|Sg|Wk|	12	attr	_	_
12	Blick	Blick	N	NN	Masc|Dat|Sg	9	pn	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	14	det	_	_
14	Spötter	Spötter	N	NN	Masc|Dat|Sg	8	objd	_	_
15	zu	zu	P	PTKVZ	_	8	avz	_	_
16	:	\:	$	$.	_	0	root	_	_
17	»	»	$	$(	_	0	root	_	_
18	Laß	Laß	V	VVIMP	_	0	root	_	_
19	mich	ich	P	PPER	1|Sg|_|Acc	18	obja	328	328
20	aus	aus	P	APPR	Dat	18	pp	_	_
21	'	'	$	$(	_	0	root	_	_
22	m	m	N	NN	Neut|Dat|Sg	20	pn	_	_
23	Spiel	Spiel	N	NN	Neut|Dat|Sg	22	app	_	_
24	,	,	$	$,	_	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	328	328
26	sag	sag	V	VVFIN	1|Sg|_|_	0	root	_	_
27	dir	du	P	PPER	2|Sg|_|Dat	26	objd	329	329
28	'	'	$	$(	_	0	root	_	_
29	s	s	P	PPER	_	26	obja	327	327
30	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	328	328
2	hab	hab	V	VAFIN	_|Sg|_|_	0	root	_	_
3	dir	du	P	PPER	2|Sg|_|Dat	6	objd	329	329
4	kein	keine	A	PIAT	Masc|Nom|Sg	5	det	_	_
5	Anlaß	Anlaß	N	NN	Masc|Nom|Sg	2	subj	_	_
6	geben	geben	V	VVINF	_	2	aux	_	_
7	!	!	$	$.	_	0	root	_	_

1	Gib	geben	V	VVIMP	Sg	0	root	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	1	objd	328	328
3	kein	keine	A	PIAT	_|_|Sg	1	obja	_	_
4	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jetzt	jetzt	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	was	was	P	PIS	_	6	obja	_	_
6	ließ	lassen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	328	328
8	mir	ich	P	PRF	1|Sg|Dat	12	objd	_	_
9	halt	halt	A	ADV	_	12	adv	_	_
10	doch	doch	A	ADV	_	12	adv	_	_
11	net	net	A	ADV	_	12	adv	_	_
12	sagen	sagen	V	VVINF	_	6	obji	_	_
13	«	«	$	$(	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	lenkte	lenken	V	VVFIN	3|Sg|Past|_	0	root	_	_
16	Muckl	Muckl	N	NE	_|Nom|Sg	15	subj	298	298
17	ein	ein	P	PTKVZ	_	15	avz	_	_
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	328	328
3	tät	tät	V	VVFIN	1|Sg|_|_	0	root	_	_
4	ihr	ihr	P	PPER	3|Sg|Fem|Dat	3	objd	_	_
5	halt	halt	A	ADV	_	6	adv	330	330
6	einmal	einmal	A	ADV	_	9	adv	330	330
7	des	die	A	ART	Def|_|Gen|Sg	9	det	330	330
8	Wilde	wild	A	ADJA	Pos|_|_|_|_|	9	attr	330	330
9	abikratzen	abikratzen	N	NN	Neut|Gen|Sg	0	root	330	330
10	,	,	$	$,	_	0	root	330	330
11	was	was	P	PRELS	Neut|Nom|Sg	17	subj	330	330
12	sich	sie	P	PRF	3|_|_	17	obja	_	_
13	so	so	A	ADV	_	17	adv	_	_
14	vom	von	P	APPRART	Dat	17	pp	_	_
15	Pechlerlehnl	Pechlerlehnl	F	FM	_|Dat|_	14	pn	_	_
16	angwöhnt	angwöhnt	F	FM	_|Dat|_	15	app	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	9	rel	_	_
18	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	0	root	331	331
3	nixnutziger	nixnutzig	A	ADJA	Pos|_|_|_|St|	4	attr	_	_
4	Loder	Loder	N	NN	_|_|_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	189	189
9	Alte	Alt	N	NN	Masc|Nom|Sg	7	subj	189	189
10	,	,	$	$,	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	möchtest	mögen	V	VMFIN	2|Sg|Past|Subj	0	root	_	_
13	net	net	P	PTKNEG	_	12	adv	_	_
14	mich	ich	P	PPER	1|Sg|_|Acc	12	obja	328	328
15	auch	auch	A	ADV	_	12	adv	_	_
16	noch	noch	A	ADV	_	12	adv	_	_
17	einibringen	einibringen	A	ADJD	_	12	adv	_	_
18	!	!	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hätt	Hätt	N	NE	_	0	root	320	320
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	328	328
4	vielleicht	vielleicht	A	ADV	_	3	adv	_	_
5	net	net	A	ADV	_	3	adv	_	_
6	recht	recht	A	ADJD	Pos|	0	root	_	_
7	?	?	$	$.	_	0	root	_	_

1	Von	von	P	APPR	Dat	3	pp	_	_
2	wem	wer	P	PWS	_|Dat|Sg	1	pn	_	_
3	lernt	lernen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	s	s	P	PPER	_|_|_|Nom	3	subj	5	5
6	denn	denn	A	ADV	_	3	adv	_	_
7	all	all	A	PIDAT	_|_|_	9	det	_	_
8	die	die	A	ART	Def|_|_|_	9	det	_	_
9	Schlauderwörtln	Schlauderwörtln	N	NN	_|_|_	3	obja	_	_
10	als	als	K	KOKOM	_	3	kom	_	_
11	von	von	P	APPR	Dat	10	cj	_	_
12	dir	du	P	PPER	2|Sg|_|Dat	11	pn	331	331
13	?	?	$	$.	_	0	root	_	_

1	Zeit	Zeit	N	NN	Fem|_|Sg	4	zeit	332	332
2	und	und	K	KON	_	1	kon	_	_
3	Glegenheit	Glegenheit	N	NE	Fem|_|Sg	2	cj	_	_
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_|Sg|_|Nom	4	subj	5	5
7	ja	ja	A	ADV	_	4	adv	_	_
8	gnug	gnug	N	NE	_	4	obja	810	810
9	.	.	$	$.	_	0	root	_	_

1	Zwischen	zwischen	P	APPR	_	3	objp	_	_
2	euch	ihr	P	PPER	2|Pl|_|_	1	pn	_	_
3	dauert	dauern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	334	334
5	Schul	Schul	N	NN	Fem|Nom|Sg	3	subj	334	334
6	grad	grad	A	ADV	_	5	adv	334	334
7	von	von	P	APPR	_	5	pp	334	334
8	der	die	A	ART	Def|Fem|_|Sg	9	det	686	686
9	Früh	Früh	N	NN	Fem|_|Sg	7	pn	686	686
10	bis	bis	P	APPR	Acc	7	kon	_	_
11	auf	auf	P	APPR	_	10	pp	_	_
12	d	d	N	NN	Fem|_|Sg	11	pn	_	_
13	'	'	$	$(	_	0	root	_	_
14	Nacht	Nacht	N	NN	Fem|_|Sg	12	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	5	kon	_	_
17	es	es	P	PPER	3|Sg|Neut|Nom	16	cj	_	_
18	wär	wär	C	CARD	_	3	obja	_	_
19	schon	schon	A	ADV	_	3	adv	_	_
20	lang	lang	A	ADJD	Pos|	3	adv	_	_
21	an	an	P	APPR	Dat	3	pp	_	_
22	der	die	A	ART	Def|Fem|Dat|Sg	23	det	_	_
23	Zeit	Zeit	N	NN	Fem|Dat|Sg	21	pn	_	_
24	,	,	$	$,	_	0	root	_	_
25	daß	daß	K	KOUS	_	33	konj	_	_
26	d	d	N	NN	_|Dat|_	33	objd	333	333
27	'	'	$	$(	_	0	root	333	333
28	Loni	Loni	N	NN	_|Dat|_	26	app	333	333
29	der	die	A	ART	Def|_|Gen|_	30	det	338	338
30	Gmeind	Gmeind	N	NN	_|Gen|_	28	gmod	333	333
31	ein	eine	A	ART	Indef|Neut|_|Sg	32	det	_	_
32	Dankschreiben	Dankschreibe	N	NN	Neut|_|Sg	33	obja	_	_
33	schicket	schicken	V	VVFIN	2|Pl|Pres|Subj	23	objc	_	_
34	,	,	$	$,	_	0	root	_	_
35	weil	weil	K	KOUS	_	0	root	_	_
36	s	s	P	PPER	_	0	root	333	333
37	'	'	$	$(	_	0	root	_	_
38	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	334	334
39	'	'	$	$(	_	0	root	_	_
40	s	s	P	PPER	_	0	root	333	333
41	ganze	ganz	A	ADJA	Pos|Neut|_|Sg|Wk|	42	attr	_	_
42	Jahr	Jahr	N	NN	Neut|_|Sg	43	grad	_	_
43	so	so	A	ADV	_	46	adv	_	_
44	ein	eine	A	ART	Indef|Masc|Nom|Sg	46	det	_	_
45	saubern	saubern	A	ADJA	_|Masc|Nom|Sg|_	46	attr	_	_
46	Schullehrer	Schullehrer	N	NN	Masc|Nom|Sg	0	root	_	_
47	verhalt	verhalt	N	NE	Masc|Nom|Sg	46	app	_	_
48	.	.	$	$.	_	0	root	_	_
49	«	«	$	$(	_	0	root	_	_

1	Dem	die	A	ART	Def|Neut|Dat|Sg	2	det	168	168
2	Mädchen	Mädchen	N	NN	Neut|Dat|Sg	3	objd	168	168
3	schoß	schoß	V	VVFIN	_|Sg|_|_	0	root	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	5	det	752	752
5	Blut	Blut	N	NN	Neut|Nom|Sg	3	subj	752	752
6	dunkelrot	dunkelrot	A	ADJD	Pos|	3	adv	_	_
7	ins	in	P	APPRART	Acc	3	pp	_	_
8	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	7	pn	210	210
9	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Muckl	Muckl	N	NE	_|Nom|Sg	3	subj	298	298
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
4	noch	noch	A	ADV	_	5	adv	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	ausgesprochen	aussprechen	V	VVPP	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	da	da	A	ADV	_	9	adv	_	_
9	stand	stehen	V	VVFIN	3|Sg|Past|Ind	3	kon	_	_
10	Loni	Loni	N	NE	_|Nom|Sg	9	subj	191	191
11	schon	schon	A	ADV	_	9	adv	_	_
12	vor	vor	P	APPR	Dat	9	objp	_	_
13	ihm	er	P	PPER	3|Sg|_|Dat	12	pn	298	298
14	.	.	$	$.	_	0	root	_	_

1	Ihre	ihre	A	PPOSAT	Fem|Nom|Sg	2	det	191	191
2	Stimme	Stimme	N	NN	Fem|Nom|Sg	3	subj	_	_
3	klang	klingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	hart	hart	A	ADJD	Pos|	3	pred	_	_
5	und	und	K	KON	_	4	kon	_	_
6	bitter	bitter	A	ADJD	Pos|	5	cj	_	_
7	:	\:	$	$.	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	Jetzt	jetzt	A	ADV	_	10	adv	_	_
10	scham	scham	V	VVIMP	_	0	root	_	_
11	dich	du	P	PPER	2|Sg|_|Acc	10	obja	335	335
12	aber	aber	A	ADV	_	10	adv	_	_
13	in	in	P	APPR	_	10	pp	_	_
14	d	d	N	NN	_|_|_	13	pn	336	336
15	'	'	$	$(	_	0	root	336	336
16	Seel	Seel	F	FM	_|_|_	14	app	336	336
17	eini	eini	F	FM	_|_|_	16	app	336	336
18	,	,	$	$,	_	0	root	336	336
19	daß	daß	K	KOUS	_	25	konj	336	336
20	du	du	P	PPER	2|Sg|_|Nom	25	subj	335	335
21	ihm	er	P	PPER	3|Sg|_|Dat	25	objd	336	336
22	das	die	A	ART	Def|Neut|_|Sg	23	det	337	337
23	Stückl	Stückl	N	NN	Neut|_|Sg	25	obja	337	337
24	Brot	Brot	N	NN	Neut|_|Sg	23	app	337	337
25	vorwirfst	vorwerfen	V	VVFIN	2|Sg|Pres|Ind	14	objc	_	_
26	,	,	$	$,	_	0	root	_	_
27	was	was	P	PRELS	Neut|Nom|Sg	31	subj	337	337
28	ihm	er	P	PPER	3|Sg|_|Dat	31	objd	336	336
29	die	die	A	ART	Def|_|_|_	30	det	338	338
30	Gmeind	Gmeind	N	NN	_|_|_	31	obja	338	338
31	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	24	rel	_	_
32	.	.	$	$.	_	0	root	_	_

1	Tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
2	dir	du	P	PPER	2|Sg|_|Dat	1	objd	335	335
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	339	339
4	Pfennig	Pfennig	N	NN	Masc|Nom|Sg	1	subj	339	339
5	jetzt	jetzt	A	ADV	_	1	adv	339	339
6	schon	schon	A	ADV	_	1	adv	339	339
7	weh	weh	P	PTKVZ	_	1	avz	339	339
8	,	,	$	$,	_	0	root	339	339
9	den	die	P	PRELS	Masc|Acc|Sg	13	obja	339	339
10	du	du	P	PPER	2|Sg|_|Nom	14	subj	335	335
11	einmal	einmal	A	ADV	_	13	adv	_	_
12	dazu	dazu	P	PROAV	_	13	pp	_	_
13	zahlen	zahlen	V	VVINF	_	14	aux	_	_
14	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	4	rel	_	_
15	als	als	K	KOKOM	_	13	kom	_	_
16	hausgsessener	hausgsessener	A	ADJA	_	17	attr	_	_
17	Bauer	Bauer	N	NN	_	15	cj	_	_
18	?	?	$	$.	_	0	root	_	_

1	Danks	Dank	N	NN	Masc|Gen|Sg	0	root	434	434
2	unserm	unsre	A	PPOSAT	Masc|Dat|Sg	3	det	_	_
3	Herrgott	Herrgott	N	NN	Masc|Dat|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	10	konj	_	_
6	du	du	P	PPER	2|Sg|_|Nom	10	subj	335	335
7	von	von	P	APPR	_	10	pp	_	_
8	einer	eine	A	ART	Indef|Fem|_|Sg	9	det	340	340
9	Mutter	Mutter	N	NN	Fem|_|Sg	7	pn	340	340
10	bist	sein	V	VAFIN	2|Sg|Pres|Ind	3	objc	340	340
11	,	,	$	$,	_	0	root	340	340
12	die	die	P	PRELS	Fem|Nom|Sg	17	subj	340	340
13	dich	du	P	PPER	2|Sg|_|Acc	16	obja	335	335
14	gleich	gleich	A	ADV	_	16	adv	_	_
15	mitten	mitten	A	ADV	_	16	adv	_	_
16	einigsetzt	einigsetzt	V	VVPP	_	17	aux	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	9	rel	_	_
18	in	in	P	APPR	Acc	16	pp	_	_
19	ein	eine	A	ART	Indef|_|_|Sg	21	det	_	_
20	reichen	reich	A	ADJA	Pos|_|_|_|_|	21	attr	_	_
21	Hof	Hof	N	NN	Neut|Acc|Sg	18	pn	_	_
22	.	.	$	$.	_	0	root	_	_

1	Verdient	verdienen	V	VVPP	_	2	aux	_	_
2	hättst	hättst	V	VAFIN	3|Sg|_|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	net	net	A	ADV	_	1	adv	_	_
5	nach	nach	P	APPR	Dat	1	pp	_	_
6	eim	eim	N	NE	_|Dat|_	5	pn	341	341
7	solchen	solche	A	PIDAT	Masc|_|Sg	8	det	342	342
8	Spott	Spott	N	NN	Masc|_|Sg	1	obja	342	342
9	auf	auf	P	APPR	Acc	1	pp	342	342
10	ein	eine	A	ART	Indef|_|_|Sg	11	det	342	342
11	Menschen	Mensch	N	NN	Neut|Acc|Sg	9	pn	342	342
12	,	,	$	$,	_	0	root	342	342
13	der	die	P	PRELS	Masc|Nom|Sg	29	subj	342	342
14	sich	sie	P	PRF	3|_|_	28	obja	_	_
15	sein	seine	A	PPOSAT	Neut|Acc|Sg	17	det	342	342
16	ganz	ganz	A	ADV	_	17	adv	_	_
17	Leben	Leben	N	NN	Neut|Acc|Sg	18	pn	_	_
18	lang	lang	P	APPO	Acc	28	pp	_	_
19	für	für	P	APPR	Acc	28	pp	_	_
20	die	die	A	ART	Def|Masc|Acc|Pl	21	det	_	_
21	Bauern	Bauer	N	NN	Masc|Acc|Pl	19	pn	_	_
22	zammg	zammg	F	FM	Masc|Acc|Pl	21	app	_	_
23	'	'	$	$(	_	0	root	_	_
24	arbeit	arbeit	N	NN	Masc|Acc|Pl	22	app	_	_
25	und	und	K	KON	_	24	kon	_	_
26	zammg	zammg	F	FM	Masc|Acc|Pl	25	cj	_	_
27	'	'	$	$(	_	0	root	_	_
28	schunden	schunden	V	VVPP	_	29	aux	_	_
29	hat	haben	V	VAFIN	3|Sg|Pres|Ind	8	rel	_	_
30	.	.	$	$.	_	0	root	_	_

1	Verstehst	Verstehst	V	VVIMP	_	0	root	_	_
2	mich	ich	P	PPER	1|Sg|_|Acc	1	obja	345	345
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	Damit	Damit	P	PROAV	_	6	pp	_	_
6	wandte	wandte	V	VVFIN	3|_|_|_	0	root	_	_
7	sie	sie	P	PPER	3|_|_|Nom	6	subj	340	340
8	ihm	er	P	PPER	3|Sg|_|Dat	6	objd	342	342
9	den	die	A	ART	Def|Masc|_|_	10	det	343	343
10	Rücken	Rücken	N	NN	Masc|_|_	6	obja	343	343
11	und	und	K	KON	_	6	kon	_	_
12	ging	gehen	V	VVFIN	_|Sg|Past|Ind	11	cj	_	_
13	nach	nach	P	APPR	Dat	12	pp	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	158	158
15	Küche	Küche	N	NN	Fem|Dat|Sg	13	pn	158	158
16	,	,	$	$,	_	0	root	_	_
17	um	um	K	KOUI	_	28	konj	_	_
18	eine	eine	A	ART	Indef|Fem|_|Sg	20	det	_	_
19	neue	neu	A	ADJA	Pos|Fem|_|Sg|_|	20	attr	_	_
20	Partie	Partie	N	NN	Fem|_|Sg	28	obja	_	_
21	der	die	A	ART	Def|Neut|Gen|Pl	23	det	_	_
22	frischgewaschenen	frischgewaschen	A	ADJA	Pos|Neut|Gen|Pl|Wk|	23	attr	_	_
23	Gläser	Glas	N	NN	Neut|Gen|Pl	20	gmod	_	_
24	in	in	P	APPR	Acc	28	pp	_	_
25	die	die	A	ART	Def|Fem|Acc|Sg	26	det	32	32
26	Stube	Stube	N	NN	Fem|Acc|Sg	24	pn	32	32
27	zu	zu	P	PTKZU	_	28	part	_	_
28	holen	holen	V	VVINF	_	12	neb	_	_
29	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Muckl	Muckl	N	NE	_	0	root	298	298
3	«	«	$	$(	_	0	root	298	298
4	,	,	$	$,	_	0	root	298	298
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	2	par	298	298
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	60	60
7	Wirt	Wirt	N	NN	Masc|Nom|Sg	5	subj	60	60
8	lächelnd	lächeln	A	ADJD	_|<PPRES	5	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	die	die	A	ART	Def|_|_|_	12	det	344	344
12	Red	Red	N	NE	_|_|_	15	obja	344	344
13	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
14	auswendig	auswendig	A	ADJD	Pos|	15	adv	_	_
15	lernen	lernen	V	VVINF	_	13	aux	_	_
16	.	.	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	345	345
3	mag	mögen	V	VMFIN	1|Sg|Pres|Ind	14	s	_	_
4	net	net	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	345	345
7	hab	hab	V	VAFIN	1|Sg|_|_	3	kon	_	_
8	gar	gar	A	ADV	_	11	adv	_	_
9	ein	eine	A	ART	Indef|Neut|_|Sg	11	det	_	_
10	schweres	schwer	A	ADJA	Pos|Neut|_|Sg|St|	11	attr	_	_
11	Gmerk	Gmerk	N	NN	Neut|_|Sg	7	obja	_	_
12	«	«	$	$(	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	16	det	39	39
16	Bursche	Bursche	N	NN	Masc|Nom|Sg	14	subj	39	39
17	zur	zu	P	APPRART	Dat	14	objp	_	_
18	Antwort	Antwort	N	NN	Fem|Dat|Sg	17	pn	156	156
19	.	.	$	$.	_	0	root	_	_

