1	›	›	N	NE	_|Nom|Sg	2	subj	285	285
13	gestanden	gestehen	V	VVPP	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	auch	auch	A	ADV	_	16	adv	75	75
16	Stine	Stine	N	NN	_	0	root	75	75
17	zu	zu	P	PTKA	_	18	adv	_	_
18	schade	schade	A	ADJD	Pos|	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	Beiläufig	beiläufig	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	was	was	P	PRELS	Neut|Nom|Sg	7	subj	_	_
4	Stine	Stine	N	NN	_	7	obja	75	75
5	von	von	P	APPR	_	4	pp	75	75
6	Amerika	Amerika	N	NE	Neut|_|Sg	5	pn	75	75
7	braucht	brauchen	V	VVFIN	3|Sg|Pres|Ind	9	objc	697)	697)
8	,	,	$	$,	_	0	root	697)	697)
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	697)	697)
10	eine	eine	A	ART	Indef|Fem|Nom|Sg	11	det	697)	697)
11	Singersche	Singersche	N	NN	Fem|Nom|Sg	9	subj	697)	697)
12	Nähmaschine	Nähmaschine	N	NN	Fem|Nom|Sg	9	pred	697)	697)
13	.	.	$	$.	_	0	root	697)	697)
14	«	«	$	$(	_	0	root		

1	Waldemar	Waldemar	N	NE	_|Nom|Sg	2	subj	230	230
2	erhob	erheben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	von	von	P	APPR	Dat	2	pp	_	_
5	seinem	seine	A	PPOSAT	Masc|Dat|Sg	6	det	230	230
6	Platze	Platz	N	NN	Masc|Dat|Sg	4	pn	_	_
7	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	698	698
3	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Onkel	Onkel	N	NN	Masc|_|_	0	root	564	564
6	,	,	$	$,	_	0	root	_	_
7	von	von	P	APPR	Dat	0	root	_	_
8	deinem	deine	A	PPOSAT	Masc|Dat|Sg	9	det	698	698
9	Standpunkt	Standpunkt	N	NN	Masc|Dat|Sg	7	pn	_	_
10	aus	aus	P	PTKVZ	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	ein	eine	A	ART	Indef|Neut|_|Sg	13	det	_	_
13	Recht	Recht	N	NN	Neut|_|Sg	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	so	so	A	ADV	_	17	adv	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	sprechen	sprechen	V	VVINF	_	13	obji	_	_
18	,	,	$	$,	_	0	root	_	_
19	ja	ja	P	PTKANT	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	vielleicht	vielleicht	A	ADV	_	22	adv	_	_
22	härter	hart	A	ADJD	Comp|	0	root	_	_
23	und	und	K	KON	_	22	kon	_	_
24	herber	herb	A	ADJD	Comp|	25	adv	_	_
25	noch	noch	A	ADV	_	23	cj	_	_
26	;	;	$	$.	_	0	root	_	_
27	es	es	P	PPER	3|Sg|Neut|_	28	expl	_	_
28	liegt	liegen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
29	dir	du	P	PPER	2|Sg|_|Dat	28	objd	698	698
30	fern	fern	A	ADJD	Pos|	28	adv	_	_
31	,	,	$	$,	_	0	root	_	_
32	mich	ich	P	PPER	1|Sg|_|Acc	33	obja	699	699
33	kränken	kränken	V	VVINF	_	35	aux	_	_
34	zu	zu	P	PTKZU	_	35	part	_	_
35	wollen	wollen	V	VMINF	_	28	obji	_	_
36	,	,	$	$,	_	0	root	_	_
37	ich	ich	P	PPER	1|Sg|_|Nom	38	subj	699	699
38	höre	hören	V	VVFIN	1|Sg|Pres|_	28	kon	_	_
39	das	die	P	PDS	Neut|_|Sg	38	obja	_	_
40	heraus	heraus	P	PTKVZ	_	38	avz	_	_
41	,	,	$	$,	_	0	root	_	_
42	und	und	K	KON	_	38	kon	_	_
43	ich	ich	P	PPER	1|Sg|_|Nom	44	subj	699	699
44	danke	danken	V	VVFIN	1|Sg|Pres|_	42	cj	_	_
45	dir	du	P	PRF	2|Sg|Dat	44	objd	_	_
46	dafür	dafür	P	PROAV	_	44	pp	_	_
47	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	alles	alle	P	PIS	_|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	6	subj	698	698
6	gesagt	sagen	V	VVPP	_	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	kann	können	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
9	mich	ich	P	PPER	1|Sg|_|Acc	11	obja	699	699
10	nicht	nicht	P	PTKNEG	_	11	adv	_	_
11	umstimmen	umstimmen	V	VVINF	_	8	aux	_	_
12	;	;	$	$.	_	0	root	_	_
13	es	es	P	PPER	3|Sg|Neut|_	19	expl	_	_
14	muß	müssen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
15	bleiben	bleiben	V	VVINF	_	14	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	wie	wie	P	PWAV	_	19	adv	_	_
18	es	es	P	PPER	3|Sg|Neut|Nom	19	subj	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	14	subjc	_	_
20	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	699	699
2	fühle	fühlen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	2	obja	_	_
4	zu	zu	P	APPR	Dat	2	pp	_	_
5	diesem	diese	A	PDAT	Neut|Dat|Sg	7	det	700	700
6	liebenswürdigen	liebenswürdig	A	ADJA	Pos|Neut|Dat|Sg|Wk|	7	attr	700	700
7	Geschöpf	Geschöpf	N	NN	Neut|Dat|Sg	4	pn	700	700
8	,	,	$	$,	_	0	root	700	700
9	das	die	P	PRELS	Neut|Nom|Sg	11	subj	700	700
10	nichts	nichts	P	PIS	_|Nom|_	11	pred	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	rel	_	_
12	als	als	K	KOKOM	_	11	kom	_	_
13	Wahrhaftigkeit	Wahrhaftigkeit	N	NN	Fem|_|Sg	12	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	Natürlichkeit	Natürlichkeit	N	NN	Fem|_|Sg	13	kon	_	_
16	und	und	K	KON	_	15	kon	_	_
17	Güte	Güte	N	NN	Fem|_|Sg	16	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	nicht	nicht	P	PTKNEG	_	21	adv	_	_
20	nur	nur	A	ADV	_	21	adv	_	_
21	hingezogen	hinziehen	V	VVPP	_	11	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	das	die	P	PDS	Neut|Nom|Sg	24	subj	_	_
24	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	_
25	nicht	nicht	P	PTKNEG	_	24	adv	_	_
26	genug	genug	A	ADV	_	24	adv	_	_
27	,	,	$	$,	_	0	root	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	29	subj	699	699
29	fühle	fühlen	V	VVFIN	1|Sg|Pres|_	24	s	_	_
30	mich	ich	P	PRF	1|Sg|Acc	33	obja	_	_
31	an	an	P	APPR	Acc	33	objp	_	_
32	sie	sie	P	PPER	3|_|_|Acc	31	pn	700	700
33	gekettet	ketten	V	VVPP	_	29	neb	_	_
34	,	,	$	$,	_	0	root	_	_
35	und	und	K	KON	_	29	kon	_	_
36	ein	eine	A	ART	Indef|Neut|Nom|Sg	37	det	_	_
37	Leben	Leben	N	NN	Neut|Nom|Sg	40	subj	_	_
38	ohne	ohne	P	APPR	Acc	37	pp	_	_
39	sie	sie	P	PPER	3|_|_|Acc	38	pn	700	700
40	hat	haben	V	VAFIN	3|Sg|Pres|Ind	35	cj	_	_
41	keinen	keine	A	PIAT	Masc|Acc|Sg	42	det	_	_
42	Wert	Wert	N	NN	Masc|Acc|Sg	40	obja	_	_
43	mehr	mehr	A	ADV	_	42	adv	_	_
44	für	für	P	APPR	Acc	40	pp	_	_
45	mich	ich	P	PPER	1|Sg|_|Acc	44	pn	699	699
46	und	und	K	KON	_	40	kon	_	_
47	ist	sein	V	VAFIN	3|Sg|Pres|Ind	46	cj	_	_
48	mir	ich	P	PPER	1|Sg|_|Dat	50	objd	699	699
49	undenkbar	undenkbar	A	ADJD	Pos|	50	pred	_	_
50	geworden	werden	V	VAPP	_	47	aux	_	_
51	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	braucht	brauchen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	Amerika	Amerika	N	NE	Neut|Nom|Sg	6	pred	697	697
5	zu	zu	P	PTKZU	_	6	part	_	_
6	sein	sein	V	VAINF	_	2	obji	_	_
7	;	;	$	$.	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|_	9	expl	_	_
9	findet	finden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	sich	sie	P	PRF	3|_|_	9	obja	_	_
11	auch	auch	A	ADV	_	9	adv	_	_
12	wohl	wohl	A	ADV	_	9	adv	_	_
13	ein	eine	A	ART	Indef|Masc|Nom|Sg	14	det	_	_
14	Winkel	Winkel	N	NN	Masc|Nom|Sg	9	subj	_	_
15	hier	hier	A	ADV	_	9	adv	_	_
16	...	...	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	4	obja	_	_
3	Gott	Gott	N	NN	Masc|Nom|Sg	4	subj	29	29
4	verhüte	verhüten	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
5	...	...	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dann	dann	A	ADV	_	3	adv	_	_
3	also	also	A	ADV	_	4	adv	_	_
4	drüben	drüben	A	ADJD	_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	701	701
3	bitte	bitten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	dich	du	P	PPER	2|Sg|_|Acc	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	0	root	701	701
7	bei	bei	P	APPR	Dat	6	pp	_	_
8	den	die	A	ART	Def|_|Dat|Pl	9	det	_	_
9	Eltern	Elter	N	NN	_|Dat|Pl	7	pn	_	_
10	in	in	P	APPR	_	9	pp	_	_
11	Groß-Haldern	Groß-Haldern	N	NN	_|_|_	10	pn	703	703
12	,	,	$	$,	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	0	root	_	_
14	nichts	nichts	P	PIS	Neut|_|Sg	26	obja	_	_
15	weiter	weiter	A	ADV	_	14	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	so	so	A	ADV	_	20	adv	_	_
18	doch	doch	A	ADV	_	20	adv	_	_
19	das	die	A	ART	Def|Neut|_|Sg	20	det	_	_
20	Ausbleiben	Ausbleibe	N	NN	Neut|_|Sg	14	kon	_	_
21	eines	eine	A	ART	Indef|Masc|Gen|Sg	25	det	_	_
22	großen	groß	A	ADJA	Pos|Masc|Gen|Sg|_|	25	attr	_	_
23	,	,	$	$,	_	0	root	_	_
24	aufgesteiften	aufgesteiften	A	ADJA	_|Masc|Gen|Sg|_|_	22	kon	_	_
25	Protestes	Protest	N	NN	Masc|Gen|Sg	20	gmod	_	_
26	erwirken	erwirken	V	VVINF	_	28	aux	_	_
27	zu	zu	P	PTKZU	_	28	part	_	_
28	wollen	wollen	V	VMINF	_	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|_|Sg	5	det	702	702
2	gegen	gegen	P	APPR	Acc	4	pp	702	702
3	mich	ich	P	PPER	1|Sg|_|Acc	2	pn	701	701
4	verhängte	verhängt	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	_	_
5	Familienacht	Familienacht	N	NN	Fem|_|Sg	0	root	_	_
6	möcht	möcht	A	ADJA	_	0	root	_	_
7	'	'	$	$(	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	0	root	701	701
9	,	,	$	$,	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	14	konj	_	_
11	'	'	$	$(	_	0	root	_	_
12	s	s	P	PPER	_|_|_|Nom	14	subj	702	702
13	irgend	irgend	A	ADV	_	14	adv	_	_
14	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	vermieden	vermeiden	V	VVPP	_	17	aux	_	_
17	sehen	sehen	V	VVINF	_	14	obji	_	_
18	,	,	$	$,	_	0	root	_	_
19	so	so	A	ADV	_	20	adv	_	_
20	wenig	wenig	A	PIDAT	Neut|_|Sg	21	det	_	_
21	Schreckliches	Schreckliches	N	NN	Neut|_|Sg	31	obja	_	_
22	alle	alle	A	PIDAT	_|_|_	23	det	_	_
23	Bann-	Bann-	T	TRUNC	Fem|_|Pl	30	obja	_	_
24	und	und	K	KON	_	23	kon	_	_
25	Achterklärungen	Achterklärung	N	NN	Fem|_|Pl	24	cj	_	_
26	von	von	P	APPR	_	25	pp	_	_
27	jeher	jeher	A	ADV	_	26	adv	_	_
28	für	für	P	APPR	Acc	30	pp	_	_
29	mich	ich	P	PPER	1|Sg|_|Acc	28	pn	701	701
30	gehabt	haben	V	VAPP	_	31	aux	_	_
31	haben	haben	V	VAINF	_	17	kon	_	_
32	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	701	701
2	erwarte	erwarten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	kein	keine	A	PIAT	Neut|Acc|Sg	4	det	_	_
4	Ja	Ja	N	NN	Neut|Acc|Sg	2	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	keinen	keine	A	PIAT	Masc|Acc|Sg	7	det	_	_
7	Segen	Segen	N	NN	Masc|Acc|Sg	4	app	_	_
8	;	;	$	$.	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	701	701
10	verzichte	verzichten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
11	darauf	darauf	P	PROAV	_	10	objp	_	_
12	,	,	$	$,	_	0	root	_	_
13	schon	schon	A	ADV	_	14	adv	_	_
14	einfach	einfach	A	ADJD	Pos|	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	weil	weil	K	KOUS	_	18	konj	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	701	701
18	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	verlangt	verlangen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	701	701
4	nur	nur	A	ADV	_	2	adv	_	_
5	zu	zu	P	PTKZU	_	6	part	_	_
6	hören	hören	V	VVINF	_	2	obji	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	15	konj	_	_
9	man	man	P	PIS	_|Nom|Sg	14	pred	_	_
10	sich	sie	P	PRF	3|_|_	14	obja	_	_
11	in	in	P	APPR	Acc	14	pp	_	_
12	das	die	A	ART	Def|Neut|Acc|Sg	13	det	_	_
13	Unvermeidliche	Unvermeidliche	N	NN	Neut|Acc|Sg	11	pn	_	_
14	gefunden	finden	V	VVPP	_	15	aux	_	_
15	hat	haben	V	VAFIN	3|Sg|Pres|Ind	6	objc	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	21	konj	_	_
18	man	man	P	PIS	_|Nom|Sg	21	subj	_	_
19	sich	sie	P	PRF	3|_|_	21	obja	_	_
20	ihm	er	P	PPER	3|Sg|_|Dat	21	objd	703	703
21	unterwirft	unterwerfen	V	VVFIN	3|Sg|Pres|Ind	15	subjc	_	_
22	,	,	$	$,	_	0	root	_	_
23	als	als	K	KOKOM	_	24	konj	_	_
24	wäre	sein	V	VAFIN	3|Sg|Past|Subj	21	neb	_	_
25	es	es	P	PPER	3|Sg|Neut|Nom	24	subj	_	_
26	eine	eine	A	ART	Indef|Fem|Nom|Sg	27	det	_	_
27	Schickung	Schickung	N	NN	Fem|Nom|Sg	24	pred	_	_
28	,	,	$	$,	_	0	root	_	_
29	oder	oder	K	KON	_	0	root	_	_
30	welch	welch	A	PWAT	Fem|_|Sg	33	det	_	_
31	sonstige	sonstig	A	ADJA	Pos|Fem|_|Sg|_|	33	attr	_	_
32	fromme	fromm	A	ADJA	Pos|Fem|_|Sg|_|	33	attr	_	_
33	Bezeichnung	Bezeichnung	N	NN	Fem|_|Sg	36	obja	_	_
34	man	man	P	PIS	_|Nom|Sg	37	subj	_	_
35	dafür	dafür	P	PROAV	_	36	pp	_	_
36	wählen	wählen	V	VVINF	_	37	aux	_	_
37	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	29	cj	_	_
38	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Pastor	Pastor	N	NN	Masc|Nom|Sg	4	subj	_	_
4	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
5	ja	ja	A	ADV	_	9	adv	_	_
6	Worte	Wort	N	NN	Neut|_|_	9	obja	_	_
7	zur	zu	P	APPRART	Dat	9	pp	_	_
8	Auswahl	Auswahl	N	NN	Fem|Dat|Sg	7	pn	_	_
9	stellen	stellen	V	VVINF	_	4	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Lebte	leben	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
3	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	4	attr	_	_
4	Buntebart	Buntebart	N	NN	Masc|Nom|Sg	1	subj	_	_
5	noch	noch	A	ADV	_	1	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	wär	wär	A	ADJD	_	5	kon	_	_
9	'	'	$	$(	_	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|_	1	expl	_	_
11	besser	gut	A	ADJD	Comp|	1	adv	_	_
12	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	704	704
2	Besitz	Besitz	N	NN	Masc|Nom|Sg	3	subj	704	704
3	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	meinem	meine	A	PPOSAT	Masc|Dat|Sg	6	det	701	701
5	jüngeren	jung	A	ADJA	Comp|Masc|Dat|Sg|Wk|	6	attr	_	_
6	Bruder	Bruder	N	NN	Masc|Dat|Sg	3	objd	_	_
7	zu	zu	P	PTKVZ	_	3	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	trotzdem	trotzdem	P	PROAV	_	10	pp	_	_
10	Groß-	Groß-	T	TRUNC	_	14	subj	_	_
11	und	und	K	KON	_	10	kon	_	_
12	Klein-Haldern	Klein-Haldern	N	NE	_	11	cj	_	_
13	Primogenitur	Primogenitur	N	NE	_	12	app	_	_
14	sind	sein	V	VAFIN	_|Pl|Pres|Ind	3	kon	_	_
15	;	;	$	$.	_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	701	701
17	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
19	Verzicht	Verzicht	N	NN	Masc|Acc|Sg	21	obja	_	_
20	gerichtlich	gerichtlich	A	ADJD	Pos|	21	adv	_	_
21	aussprechen	aussprechen	V	VVINF	_	17	aux	_	_
22	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	3	adv	_	_
2	ein	eine	A	ART	Indef|_|_|Sg	3	det	_	_
3	Pflichtteil	Pflichtteil	N	NN	_|_|Sg	0	root	_	_
4	erbitt	erbitt	A	ADJA	_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	0	root	701	701
7	mir	ich	P	PRF	1|Sg|Dat	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	um	um	K	KOUI	_	14	konj	_	_
10	das	die	A	ART	Def|Neut|_|Sg	11	det	_	_
11	Nötigste	nötig	A	ADJA	Neut|_|Sg	12	obja	_	_
12	durchführen	durchführen	V	VVINF	_	14	aux	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	können	können	V	VMINF	_	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	noch	noch	A	ADV	_	4	adv	_	_
4	einmal	einmal	A	ADV	_	1	cj	_	_
5	:	\:	$	$.	_	0	root	_	_
6	Willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
7	du	du	P	PPER	2|Sg|_|Nom	6	subj	_	_
8	mein	meine	A	PPOSAT	Masc|Nom|Sg	9	det	701	701
9	Fürsprecher	Fürsprecher	N	NN	Masc|Nom|Sg	10	pred	705	705
10	sein	sein	V	VAINF	_	6	aux	705	705
11	,	,	$	$,	_	0	root	705	705
12	der	die	P	PRELS	Masc|Nom|Sg	18	subj	705	705
13	wenigstens	wenigstens	A	ADV	_	15	adv	_	_
14	das	die	A	ART	Def|Neut|_|Sg	15	det	_	_
15	Schmerzlichste	Schmerzlichste	N	NN	Neut|_|Sg	18	obja	_	_
16	von	von	P	APPR	Dat	18	pp	_	_
17	mir	ich	P	PPER	1|Sg|_|Dat	16	pn	701	701
18	abwendet	abwenden	V	VVFIN	3|Sg|Pres|Ind	9	rel	_	_
19	und	und	K	KON	_	0	root	_	_
20	mir	ich	P	PPER	1|Sg|_|Dat	19	cj	701	701
21	für	für	P	APPR	Acc	20	pp	_	_
22	die	die	A	ART	Def|Fem|Acc|Sg	23	det	706	706
23	Zukunft	Zukunft	N	NN	Fem|Acc|Sg	21	pn	706	706
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	wenn	wenn	K	KOUS	_	30	konj	_	_
27	es	es	P	PPER	3|Sg|Neut|Nom	30	subj	_	_
28	die	die	A	ART	Def|_|_|_	29	det	_	_
29	fernste	fern	A	ADJA	_|_|_	30	pred	_	_
30	wäre	sein	V	VAFIN	3|Sg|Past|Subj	37	neb	_	_
31	,	,	$	$,	_	0	root	_	_
32	die	die	A	ART	Def|Fem|Nom|Sg	33	det	_	_
33	Möglichkeit	Möglichkeit	N	NN	Fem|Nom|Sg	37	subj	_	_
34	einer	eine	A	ART	Indef|Fem|Gen|Sg	35	det	_	_
35	Versöhnung	Versöhnung	N	NN	Fem|Gen|Sg	33	gmod	_	_
36	offen	offen	A	ADJD	Pos|	37	pred	_	_
37	hält	halten	V	VVFIN	3|Sg|Pres|Ind	25	cj	_	_
38	?	?	$	$.	_	0	root	_	_
39	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	211	211
2	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	211	211
3	Graf	Graf	N	NN	Masc|Nom|Sg	4	subj	211	211
4	schüttelte	schütteln	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	707	707
6	Kopf	Kopf	N	NN	Masc|Acc|Sg	4	obja	707	707
7	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Also	also	A	ADV	_	0	root	_	_
3	nein	nein	P	PTKANT	_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	auch	auch	A	ADV	_	3	adv	_	_
3	das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
5	gut	gut	A	ADJD	Pos|	4	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	weil	weil	K	KOUS	_	11	konj	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
9	etwas	etwas	A	PIAT	Neut|Nom|Sg	10	det	_	_
10	Bestimmtes	Bestimmtes	N	NN	Neut|Nom|Sg	11	pred	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	neb	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	708	708
2	danke	danken	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	dir	du	P	PRF	2|Sg|Dat	2	objd	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	0	root	_	_
6	du	du	P	PPER	2|Sg|_|Nom	0	root	710	710
7	mich	ich	P	PPER	1|Sg|_|Acc	8	obja	708	708
8	angehört	angehören	V	VVFIN	_|_|Pres|Ind	0	root	_	_
9	und	und	K	KON	_	8	kon	_	_
10	mich	ich	P	PRF	1|Sg|Acc	34	obja	_	_
11	mit	mit	P	APPR	Dat	34	pp	_	_
12	Standesredensarten	Standesredensart	N	NN	_|Dat|_	11	pn	_	_
13	und	und	K	KON	_	11	kon	_	_
14	vor	vor	P	APPR	Dat	13	cj	_	_
15	allem	alle	P	PIS	_|Dat|Sg	14	pn	_	_
16	auch	auch	A	ADV	_	34	adv	_	_
17	mit	mit	P	APPR	Dat	34	pp	_	_
18	jenem	jene	A	PDAT	Neut|Dat|Sg	20	det	709	709
19	französischen	französisch	A	ADJA	Pos|Neut|Dat|Sg|Wk|	20	attr	709	709
20	Worte	Wort	N	NN	Neut|Dat|Sg	17	pn	709	709
21	,	,	$	$,	_	0	root	709	709
22	das	die	P	PRELS	Neut|Nom|Sg	32	subj	709	709
23	bei	bei	P	APPR	Dat	32	pp	_	_
24	solchen	solche	A	PIDAT	Fem|Dat|Pl	25	det	_	_
25	Gelegenheiten	Gelegenheit	N	NN	Fem|Dat|Pl	23	pn	_	_
26	in	in	P	APPR	Dat	32	pp	_	_
27	unseren	unsre	A	PPOSAT	_|Dat|_	28	det	_	_
28	Kreisen	Kreis	N	NN	_|Dat|_	26	pn	_	_
29	gang	gang	A	ADJD	_	32	pred	_	_
30	und	und	K	KON	_	29	kon	_	_
31	gäbe	gäbe	A	ADJD	_	30	cj	_	_
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	20	rel	_	_
33	,	,	$	$,	_	0	root	_	_
34	verschont	verschonen	V	VVPP	_	35	aux	_	_
35	hast	haben	V	VAFIN	2|Sg|Pres|Ind	9	cj	_	_
36	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	lebe	leben	V	VVFIN	_|Sg|Pres|_	1	cj	_	_
4	wohl	wohl	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	708	708
7	sehe	sehen	V	VVFIN	1|Sg|Pres|_	3	kon	_	_
8	dich	du	P	PPER	2|Sg|_|Acc	7	obja	710	710
