1	Sieh	Sieh	N	NE	_	4	vok	452	452
65	Beresina	Beresina	N	NE	Fem|Acc|Sg	63	pn	_	_
66	betrachtete	betrachten	V	VVFIN	_|Sg|Past|_	0	root	_	_
67	.	.	$	$.	_	0	root	_	_

1	Wie	wie	K	KOKOM	_	5	kom	_	_
2	sein	seine	A	PPOSAT	Masc|Nom|Sg	4	det	190	190
3	großer	groß	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	_	_
4	Chef	Chef	N	NN	Masc|Nom|Sg	1	cj	_	_
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	187	187
7	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	_	_
8	Schweiger	Schweiger	N	NN	Masc|Nom|Sg	5	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	unterschied	unterscheiden	V	VVFIN	_|Sg|Past|Ind	5	kon	_	_
11	sich	sie	P	PRF	3|_|_	10	obja	_	_
12	aber	aber	A	ADV	_	10	adv	_	_
13	von	von	P	APPR	Dat	10	objp	_	_
14	ihm	er	P	PPER	3|Sg|_|Dat	13	pn	187	187
15	durch	durch	P	APPR	Acc	14	pp	_	_
16	ein	eine	A	ART	Indef|Neut|Acc|Sg	22	det	191	191
17	beständiges	beständig	A	ADJA	Pos|Neut|Acc|Sg|St|	22	attr	191	191
18	,	,	$	$,	_	0	root	191	191
19	jeden	jede	A	PIDAT	Masc|_|Sg	20	det	239	239
20	Sprecher	Sprecher	N	NN	Masc|_|Sg	21	obja	239	239
21	ermutigendes	ermutigend	A	ADJA	Pos|Neut|Acc|Sg|St|<PPRES	17	kon	_	_
22	Lächeln	Lächeln	N	NN	Neut|Acc|Sg	15	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	das	die	P	PRELS	Neut|_|Sg	0	root	191	191
25	er	er	P	PPER	3|Sg|Masc|Nom	0	root	187	187
26	,	,	$	$,	_	0	root	_	_
27	alle	alle	A	PIDAT	_|_|_	29	det	_	_
28	nutzlose	nutzlos	A	ADJA	Pos|_|_|_|_|	29	attr	_	_
29	Parteinahme	Parteinahme	N	NN	_|_|_	0	root	_	_
30	klug	klug	A	ADJD	Pos|	31	adv	_	_
31	vermeidend	vermeiden	A	ADJD	_|<PPRES	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	über	über	P	APPR	Acc	38	pp	_	_
34	Gerechte	Gerechte	N	NN	_|Acc|_	33	pn	_	_
35	und	und	K	KON	_	34	kon	_	_
36	Ungerechte	Ungerechte	N	NN	_|Acc|_	35	cj	_	_
37	gleichmäßig	gleichmäßig	A	ADJD	Pos|	38	pred	_	_
38	scheinen	scheinen	V	VVINF	_	39	obji	_	_
39	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
40	.	.	$	$.	_	0	root	_	_

1	Gryczinski	Gryczinski	N	NE	_|Nom|_	5	subj	188	188
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	K	KOKOM	_	5	kom	_	_
4	schon	schon	A	ADV	_	3	cj	_	_
5	angedeutet	andeuten	V	VVPP	_	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	mehr	mehr	A	PIAT	Masc|Nom|Sg	9	det	_	_
9	Verwandter	Verwandte	N	NN	Masc|Nom|Sg	7	subj	_	_
10	als	als	K	KOKOM	_	7	kom	_	_
11	Freund	Freund	N	NN	Masc|_|Sg	10	cj	_	_
12	des	die	A	ART	Def|Neut|Gen|Sg	13	det	136	136
13	Hauses	Haus	N	NN	Neut|Gen|Sg	11	gmod	136	136
14	.	.	$	$.	_	0	root	_	_

1	Unter	unter	P	APPR	_	4	pp	_	_
2	diesen	diese	A	PDAT	_|_|_	3	det	_	_
3	letzteren	letztere	A	ADJA	_|_|_	1	pn	_	_
4	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	192	192
6	Baron	Baron	N	NE	Masc|Nom|Sg	4	subj	192	192
7	Duquede	Duquede	N	NE	Masc|Nom|Sg	6	app	192	192
8	,	,	$	$,	_	0	root	192	192
9	Legationsrat	Legationsrat	N	NN	Masc|Nom|Sg	7	app	192	192
10	a.	a.	N	NE	Masc|Nom|Sg	9	app	192	192

1	D.	D.	N	NE	_	0	root	547	547
2	,	,	$	$,	_	0	root	_	_
3	als	als	K	KOUS	_	0	root	_	_
4	der	die	A	ART	Def|_|_|_	0	root	_	_
5	angesehenste	angesehen	A	ADJA	Sup|_|Nom|Pl|St|	6	subj	_	_
6	gelten	gelten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	192	192
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	über	über	A	ADV	_	2	adv	_	_
4	sechzig	sechzig	C	CARD	_	2	objd	_	_
5	,	,	$	$,	_	0	root	_	_
6	hatte	haben	V	VAFIN	3|Sg|Past|Ind	2	s	_	_
7	bereits	bereits	A	ADV	_	19	adv	_	_
8	unter	unter	P	APPR	_	19	pp	_	_
9	van	van	N	NE	_|_|_	8	pn	1	1
10	der	die	A	ART	Def|_|Gen|_	11	det	29	29
11	Straatens	Straatens	N	NN	_|Gen|_	9	gmod	1	1
12	Vater	Vater	N	NN	Masc|Nom|Sg	6	subj	193	193
13	dem	die	A	ART	Def|Masc|Dat|Sg	16	det	_	_
14	damals	damals	A	ADV	_	15	adv	_	_
15	ausgedehnteren	ausgedehnt	A	ADJA	Comp|Masc|Dat|Sg|Wk|	16	attr	_	_
16	Kreise	Kreis	N	NN	Masc|Dat|Sg	19	objd	_	_
17	des	die	A	ART	Def|Neut|Gen|Sg	18	det	136	136
18	Hauses	Haus	N	NN	Neut|Gen|Sg	16	gmod	136	136
19	angehört	angehören	V	VVPP	_	6	aux	_	_
20	und	und	K	KON	_	0	root	_	_
21	durfte	dürfen	V	VMFIN	_|Sg|Past|Ind	0	root	_	_
22	sich	sie	P	PRF	3|_|_	21	obja	_	_
23	,	,	$	$,	_	0	root	_	_
24	wie	wie	P	PWAV	_	48	adv	_	_
25	um	um	P	APPR	_	48	pp	_	_
26	anderer	anderer	A	ADJA	_|Fem|Dat|Pl|_	27	attr	_	_
27	Qualitäten	Qualität	N	NN	Fem|Dat|Pl	25	pn	_	_
28	so	so	A	ADV	_	29	adv	_	_
29	auch	auch	A	ADV	_	31	adv	_	_
30	schon	schon	A	ADV	_	31	adv	_	_
31	um	um	P	APPR	Gen	27	pp	_	_
32	seiner	seine	A	PPOSAT	Neut|Gen|Pl	33	det	136	136
33	Jahre	Jahr	N	NN	Neut|Gen|Pl	31	pn	_	_
34	willen	willen	A	APZR	_	31	part	_	_
35	,	,	$	$,	_	0	root	_	_
36	seinem	seine	A	PPOSAT	Masc|Dat|Sg	38	det	136	136
37	hervorstechendsten	hervorstechend	A	ADJA	Sup|Masc|Dat|Sg|Wk|<PPRES	38	attr	_	_
38	Charakterzuge	Charakterzug	N	NN	Masc|Dat|Sg	27	app	_	_
39	,	,	$	$,	_	0	root	_	_
40	dem	die	P	PDS	_|Dat|Sg	48	objd	_	_
41	des	die	A	ART	Def|Neut|Gen|Sg	42	det	_	_
42	Absprechens	Absprechen	N	NN	Neut|Gen|Sg	40	gmod	_	_
43	,	,	$	$,	_	0	root	_	_
44	Verkleinerns	Verkleinern	N	NN	Neut|Gen|Sg	42	kon	_	_
45	und	und	K	KON	_	44	kon	_	_
46	Verneinens	Verneinen	N	NN	Neut|Gen|Sg	45	cj	_	_
47	ungehindert	ungehindert	A	ADJD	Pos|	48	adv	_	_
48	hingeben	hingeben	V	VVFIN	_|Pl|Pres|_	21	subjc	_	_
49	.	.	$	$.	_	0	root	_	_

1	Daß	daß	K	KOUS	_	14	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	193	193
3	,	,	$	$,	_	0	root	_	_
4	infolge	infolge	P	APPR	_	13	pp	_	_
5	davon	davon	P	PROAV	_	4	pp	_	_
6	,	,	$	$,	_	0	root	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
8	Beinamen	Beiname	N	NN	Masc|_|Sg	13	obja	_	_
9	»	»	$	$(	_	0	root	_	_
10	Herr	Herr	N	NN	Masc|_|Sg	8	app	_	_
11	Negationsrat	Negationsrat	N	NN	Masc|_|Sg	10	app	_	_
12	«	«	$	$(	_	0	root	_	_
13	erhalten	erhalten	V	VVPP	_	14	aux	_	_
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	24	objc	_	_
15	,	,	$	$,	_	0	root	_	_
16	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
17	selbstverständlich	selbstverständlich	A	ADJD	Pos|	24	adv	_	_
18	seine	seine	A	PPOSAT	Fem|Nom|Sg	20	det	193	193
19	milzsüchtige	milzsüchtig	A	ADJA	Pos|Fem|Nom|Sg|_|	20	attr	_	_
20	Krakeelerei	Krakeelerei	N	NN	Fem|Nom|Sg	16	subj	_	_
21	nicht	nicht	P	PTKNEG	_	23	adv	_	_
22	zu	zu	P	PTKZU	_	23	part	_	_
23	bessern	bessern	V	VVINF	_	24	obji	_	_
24	vermocht	vermögen	V	VVPP	_	16	aux	_	_
25	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	193	193
2	empörte	empören	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	eigentlich	eigentlich	A	ADV	_	2	adv	_	_
5	über	über	P	APPR	Acc	2	pp	_	_
6	alles	alle	P	PIS	Neut|Acc|Sg	5	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	am	an	P	APPRART	Dat	2	pp	_	_
9	meisten	meiste	P	PIS	_|Dat|_	8	pn	_	_
10	über	über	P	APPR	_	9	pp	_	_
11	Bismarck	Bismarck	N	NE	_|_|_	10	pn	194	194
12	,	,	$	$,	_	0	root	_	_
13	von	von	P	APPR	Dat	0	root	_	_
14	dem	die	P	PRELS	_|Dat|Sg	13	pn	194	194
15	er	er	P	PPER	3|Sg|Masc|Nom	0	root	193	193
16	seit	seit	P	APPR	Dat	15	pp	_	_
17	66	66	C	CARD	_	16	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	dem	die	A	ART	Def|Neut|Dat|Sg	20	det	435	435
20	Jahre	Jahr	N	NN	Neut|Dat|Sg	0	root	435	435
21	seiner	seine	A	PPOSAT	Fem|Gen|Sg	23	det	194	194
22	eigenen	eigen	A	ADJA	Pos|Fem|Gen|Sg|Wk|	23	attr	220	220
23	Dienstentlassung	Dienstentlassung	N	NN	Fem|Gen|Sg	20	gmod	220	220
24	,	,	$	$,	_	0	root	_	_
25	unaufhörlich	unaufhörlich	A	ADJD	Pos|	26	adv	_	_
26	versicherte	versichern	V	VVFIN	_|Sg|Past|_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	»	»	$	$(	_	0	root	_	_
29	daß	daß	K	KOUS	_	32	konj	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	32	subj	193	193
31	überschätzt	überschätzen	V	VVPP	_	32	aux	_	_
32	werde	werden	V	VAFIN	3|Sg|Pres|Subj	26	objc	_	_
33	«	«	$	$(	_	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	Von	von	P	APPR	_	6	pp	_	_
2	einer	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
3	beinah	beinah	A	ADV	_	4	adv	_	_
4	gleichen	gleich	A	ADJA	Pos|Fem|_|Sg|Wk|	5	attr	_	_
5	Empörung	Empörung	N	NN	Fem|_|Sg	1	pn	_	_
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	193	193
8	gegen	gegen	P	APPR	Acc	14	pp	_	_
9	das	die	A	ART	Def|Neut|Acc|Sg	13	det	195	195
10	zum	zu	P	APPRART	Dat	12	pp	195	195
11	Französieren	Französieren	N	NN	Masc|Dat|_	10	pn	195	195
12	geneigte	geneigt	A	ADJA	Pos|Neut|Acc|Sg|Wk|	13	attr	195	195
13	Berlinertum	Berlinertum	N	NN	Neut|Acc|Sg	8	pn	195	195
14	erfüllt	erfüllen	V	VVPP	_	6	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	das	die	P	PRELS	Neut|_|Sg	0	root	195	195
17	ihn	er	P	PPER	3|Sg|Masc|Acc	0	root	193	193
18	,	,	$	$,	_	0	root	_	_
19	um	um	K	KOUI	_	0	root	_	_
20	seines	seine	A	PPOSAT	_|Gen|Sg	0	root	193	193
21	»	»	$	$(	_	0	root	_	_
22	qu	qu	F	FM	_	0	root	_	_
23	«	«	F	FM	_	22	app	_	_
24	willen	willen	F	FM	_	23	app	_	_
25	,	,	$	$,	_	0	root	_	_
26	als	als	K	KOKOM	_	29	kom	_	_
27	einen	eine	A	ART	Indef|Masc|Acc|Sg	28	det	_	_
28	Koloniefranzosen	Koloniefranzose	N	NN	Masc|Acc|Sg	26	cj	_	_
29	ansah	ansehen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
30	und	und	K	KON	_	29	kon	_	_
31	seinen	seine	A	PPOSAT	Masc|_|_	33	det	193	193
32	altmärkischen	altmärkisch	A	ADJA	Pos|Masc|_|_|_|	33	attr	196	196
33	Adelsnamen	Adelsname	N	NN	Masc|_|_	41	obja	196	196
34	nach	nach	P	APPR	Dat	40	pp	_	_
35	der	die	A	ART	Def|Fem|Dat|Sg	36	det	_	_
36	Analogie	Analogie	N	NN	Fem|Dat|Sg	34	pn	_	_
37	von	von	P	APPR	Dat	36	pp	_	_
38	Admiral	Admiral	N	NN	Masc|Dat|Sg	37	pn	_	_
39	Duquesne	Duquesne	N	NE	Masc|Dat|Sg	38	app	_	_
40	auszusprechen	aussprechen	V	VVIZU	_	41	obji	_	_
41	pflegte	pflegen	V	VVFIN	_|Sg|Past|_	30	cj	_	_
42	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	6	obja	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	196	196
4	sich	sie	P	PRF	3|_|Dat	5	objd	_	_
5	gefallen	gefallen	V	VVINF	_	6	obji	_	_
6	lassen	lassen	V	VVINF	_	7	aux	_	_
7	könne	können	V	VMFIN	3|Sg|Pres|Subj	12	objc	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
11	Melanie	Melanie	N	NE	Fem|Dat|Sg	12	objd	20	20
12	hingeworfen	hinwerfen	V	VVPP	_	10	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	von	von	P	APPR	Dat	23	pp	_	_
15	welchem	welche	A	PWAT	_|Dat|Sg	16	det	_	_
16	Tag	Tag	N	NN	_|Dat|Sg	14	pn	_	_
17	an	an	A	APZR	_	14	part	_	_
18	eine	eine	A	ART	Indef|Fem|Nom|Sg	20	det	_	_
19	stille	still	A	ADJA	Pos|Fem|Nom|Sg|_|	20	attr	_	_
20	Gegnerschaft	Gegnerschaft	N	NN	Fem|Nom|Sg	23	subj	_	_
21	zwischen	zwischen	P	APPR	_	20	pp	_	_
22	beiden	beide	P	PIS	_|_|Pl	21	pn	_	_
23	herrschte	herrschen	V	VVFIN	3|Sg|Past|_	10	subjc	_	_
24	.	.	$	$.	_	0	root	_	_

1	Dem	die	A	ART	Def|Masc|Dat|Sg	2	det	200	200
2	Legationsrat	Legationsrat	N	NN	Masc|Dat|Sg	51	objd	200	200
3	an	an	P	APPR	Dat	51	pp	_	_
4	Jahren	Jahr	N	NN	Neut|Dat|Pl	3	pn	129	129
5	und	und	K	KON	_	4	kon	_	_
6	Ansehn	Ansehn	N	NE	Neut|Dat|Pl	5	cj	_	_
7	am	an	P	APPRART	Dat	51	pp	_	_
8	nächsten	nah	A	ADJA	_|Masc|Dat|Sg|Wk|	10	attr	197	197
9	stand	stand	A	ADJA	_|Masc|Dat|Sg|_	10	attr	197	197
10	Polizeirat	Polizeirat	N	NN	Masc|Dat|Sg	7	pn	197	197
11	Reiff	Reiff	N	NE	Masc|Nom|Sg	10	app	197	197
12	,	,	$	$,	_	0	root	_	_
13	ein	eine	A	ART	Indef|Masc|Nom|Sg	16	det	_	_
14	kleiner	klein	A	ADJA	Pos|Masc|Nom|Sg|St|	16	attr	_	_
15	behäbiger	behäbig	A	ADJA	Pos|Masc|Nom|Sg|St|	16	attr	_	_
16	Herr	Herr	N	NN	Masc|Nom|Sg	11	app	_	_
17	mit	mit	P	APPR	Dat	16	pp	_	_
18	roten	rot	A	ADJA	Pos|Masc|Dat|_|_|	21	attr	_	_
19	und	und	K	KON	_	18	kon	_	_
20	glänzenden	glänzend	A	ADJA	Pos|_|Dat|_|_|_	19	cj	_	_
21	Backenknochen	Backenknochen	N	NN	Masc|Dat|_	17	pn	_	_
22	,	,	$	$,	_	0	root	_	_
23	auch	auch	A	ADV	_	24	adv	_	_
24	Feinschmecker	Feinschmecker	N	NN	Masc|Dat|Sg	21	kon	_	_
25	und	und	K	KON	_	24	kon	_	_
26	Geschichtenerzähler	Geschichtenerzähler	N	NN	Masc|Dat|Sg	25	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	der	die	P	PRELS	Fem|Dat|Sg	42	objd	197	197
29	,	,	$	$,	_	0	root	_	_
30	solange	solange	K	KOUS	_	35	konj	_	_
31	die	die	A	ART	Def|Fem|Nom|Pl	32	det	198	198
32	Damen	Dame	N	NN	Fem|Nom|Pl	35	subj	198	198
33	bei	bei	P	APPR	Dat	35	pp	_	_
34	Tische	Tisch	N	NN	Masc|Dat|Sg	33	pn	602	602
35	waren	sein	V	VAFIN	3|Pl|Past|Ind	42	neb	_	_
36	,	,	$	$,	_	0	root	_	_
37	kein	keine	A	PIAT	Neut|Nom|Sg	38	det	679	679
38	Wasser	Wasser	N	NN	Neut|Nom|Sg	42	subj	679	679
39	trüben	trüben	V	VVINF	_	41	aux	_	_
40	zu	zu	P	PTKZU	_	41	part	_	_
41	können	können	V	VMINF	_	42	obji	_	_
42	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	16	rel	_	_
43	,	,	$	$,	_	0	root	_	_
44	im	in	P	APPRART	Dat	51	pp	_	_
45	Moment	Moment	N	NN	_|Dat|Sg	44	pn	_	_
46	ihres	ihre	A	PPOSAT	Neut|Gen|Sg	47	det	198	198
47	Verschwindens	Verschwinden	N	NN	Neut|Gen|Sg	45	gmod	_	_
48	aber	aber	A	ADV	_	51	adv	_	_
49	in	in	P	APPR	_	51	pp	_	_
50	Anekdoten	Anekdote	N	NN	Fem|_|Pl	49	pn	_	_
51	exzellierte	exzellierte	V	VVINF	_	0	root	_	_
52	,	,	$	$,	_	0	root	_	_
53	wie	wie	P	PWAV	_	67	adv	_	_
54	sie	sie	P	PPER	3|Pl|_|Nom	67	subj	198	198
55	,	,	$	$,	_	0	root	_	_
56	nach	nach	P	APPR	Dat	67	pp	_	_
57	Zahl	Zahl	N	NN	Fem|Dat|Sg	56	pn	_	_
58	und	und	K	KON	_	57	kon	_	_
59	Inhalt	Inhalt	N	NN	Masc|Dat|Sg	58	cj	_	_
60	,	,	$	$,	_	0	root	_	_
61	immer	immer	A	ADV	_	62	adv	_	_
62	nur	nur	A	ADV	_	56	kon	_	_
63	einem	eine	A	ART	Indef|Masc|Dat|Sg	64	det	212	212
64	Polizeirat	Polizeirat	N	NN	Masc|Dat|Sg	67	objd	212	212
65	zu	zu	P	APPR	Dat	67	objp	_	_
66	Gebote	Gebot	N	NN	Neut|Dat|Sg	65	pn	_	_
67	stehen	stehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
68	.	.	$	$.	_	0	root	_	_

1	Selbst	selbst	A	ADV	_	2	adv	_	_
2	van	van	V	VVFIN	_|Sg|_|_	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	8	8
4	Straaten	Straaten	N	NN	Masc|Nom|Sg	2	subj	8	8
5	,	,	$	$,	_	0	root	8	8
6	dessen	die	A	PRELAT	Neut|Nom|Pl	7	det	8	8
7	Talente	Talent	N	NN	Neut|Nom|Pl	13	subj	8	8
8	doch	doch	A	ADV	_	13	adv	8	8
9	nach	nach	P	APPR	Dat	13	pp	8	8
10	derselben	dieselbe	A	PDAT	Fem|Dat|Sg	11	det	199	199
11	Seite	Seite	N	NN	Fem|Dat|Sg	9	pn	199	199
12	hin	hin	A	APZR	_	9	part	_	_
13	lagen	liegen	V	VVFIN	3|Pl|Past|Ind	4	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	erging	ergehen	V	VVFIN	_|Sg|Past|Ind	13	kon	_	_
16	sich	sie	P	PRF	3|_|Dat	15	objd	_	_
17	dann	dann	A	ADV	_	15	adv	_	_
18	in	in	P	APPR	Dat	15	pp	_	_
19	lautem	laut	A	ADJA	Pos|Masc|Dat|Sg|St|	24	attr	_	_
20	und	und	K	KON	_	19	kon	_	_
21	mitunter	mitunter	A	ADV	_	23	adv	_	_
22	selbst	selbst	A	ADV	_	23	adv	_	_
23	stürmischem	stürmisch	A	ADJA	Pos|_|Dat|Sg|St|	20	cj	_	_
24	Beifall	Beifall	N	NN	Masc|Dat|Sg	18	pn	_	_
25	oder	oder	K	KON	_	15	kon	_	_
26	zwinkerte	zwinkern	V	VVFIN	_|Sg|Past|_	25	cj	_	_
27	seinen	seine	A	PPOSAT	Masc|_|_	28	det	8	8
28	Tischnachbarn	Tischnachbar	N	NN	Masc|_|_	26	obja	_	_
29	seine	seine	A	PPOSAT	Fem|_|Sg	31	det	8	8
30	neidlose	neidlos	A	ADJA	Pos|Fem|_|Sg|_|	31	attr	_	_
31	Bewunderung	Bewunderung	N	NN	Fem|_|Sg	2	obja	_	_
32	zu	zu	P	PTKVZ	_	2	avz	_	_
33	.	.	$	$.	_	0	root	_	_

1	Diese	diese	A	PDAT	Masc|Nom|Pl	2	det	_	_
2	Tischnachbarn	Tischnachbar	N	NN	Masc|Nom|Pl	3	subj	_	_
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	in	in	P	APPR	Dat	3	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	386	386
6	Regel	Regel	N	NN	Fem|Dat|Sg	4	pn	386	386
7	zwei	zwei	C	CARD	_	8	attr	386	386
8	Maler	Maler	N	NN	_|Gen|Pl	6	gmod	386	386
9	:	\:	$	$.	_	0	root	_	_
10	der	die	A	ART	Def|Masc|_|_	11	det	223	223
11	Landschaftler	Landschaftler	N	NN	Masc|_|_	0	root	223	223
12	Arnold	Arnold	N	NE	Masc|_|_	11	app	223	223
13	Gabler	Gabler	N	NE	Masc|_|_	12	app	223	223
14	,	,	$	$,	_	0	root	_	_
15	ebenfalls	ebenfalls	A	ADV	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	wie	wie	P	PWAV	_	0	root	_	_
18	Reiff	Reiff	N	NE	Masc|Nom|Sg	0	root	197	197
19	und	und	K	KON	_	18	kon	_	_
20	der	die	A	ART	Def|Masc|Nom|Sg	21	det	200	200
21	Legationsrat	Legationsrat	N	NN	Masc|Nom|Sg	19	cj	200	200
22	,	,	$	$,	_	0	root	_	_
23	ein	eine	A	ART	Indef|Neut|_|Sg	24	det	_	_
24	Erbstück	Erbstück	N	NN	Neut|_|Sg	0	root	_	_
25	aus	aus	P	APPR	Dat	24	pp	_	_
26	des	die	A	ART	Def|Masc|Gen|Sg	27	det	24	24
27	Vaters	Vater	N	NN	Masc|Gen|Sg	25	pn	24	24
28	Tagen	Tag	N	NN	Neut|_|Sg	24	app	_	_
29	her	her	P	PTKVZ	_	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	und	und	K	KON	_	0	root	_	_
32	Elimar	Elimar	N	NE	_|_|Sg	31	cj	308	308
33	Schulze	Schulze	N	NE	_|_|Sg	32	app	308	308
34	,	,	$	$,	_	0	root	_	_
35	Porträt-	Porträt-	T	TRUNC	_	33	kon	_	_
36	und	und	K	KON	_	35	kon	_	_
37	Genremaler	Genremaler	N	NN	Masc|_|Sg	36	cj	201	201
38	,	,	$	$,	_	0	root	201	201
39	der	die	P	PRELS	Masc|Nom|Sg	47	subj	201	201
40	sich	sie	P	PRF	3|_|_	46	obja	_	_
41	erst	erst	A	ADV	_	46	adv	_	_
42	in	in	P	APPR	Dat	46	pp	_	_
43	den	die	A	ART	Def|Neut|Dat|Pl	45	det	_	_
44	letzten	letzte	A	ADJA	Pos|Neut|Dat|Pl|_|	45	attr	_	_
45	Jahren	Jahr	N	NN	Neut|Dat|Pl	42	pn	_	_
46	angefunden	anfinden	V	VVPP	_	47	aux	_	_
47	hatte	haben	V	VAFIN	3|Sg|Past|Ind	37	rel	_	_
48	.	.	$	$.	_	0	root	_	_

1	Seine	seine	A	PPOSAT	Fem|Nom|Sg	2	det	201	201
2	Zugehörigkeit	Zugehörigkeit	N	NN	Fem|Nom|Sg	7	subj	_	_
3	zu	zu	P	APPR	Dat	2	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	6	det	_	_
5	vorgeschilderten	vorgeschildert	A	ADJA	Pos|Fem|Dat|Sg|Wk|	6	attr	_	_
6	Tafelrunde	Tafelrund	N	NN	Fem|Dat|Sg	3	pn	_	_
7	basierte	basieren	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	zumeist	zumeist	A	ADV	_	7	adv	_	_
9	auf	auf	P	APPR	Dat	7	objp	_	_
10	dem	die	A	ART	Def|Masc|Dat|Sg	11	det	_	_
11	Umstande	Umstand	N	NN	Masc|Dat|Sg	9	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	28	konj	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	28	subj	201	201
15	nur	nur	A	ADV	_	28	adv	_	_
16	ein	eine	A	ART	Indef|Masc|Nom|Sg	18	det	1361	1361
17	halber	halb	A	ADJA	Pos|Masc|Nom|Sg|St|	18	attr	1361	1361
18	Maler	Maler	N	NN	Masc|Nom|Sg	28	pred	1361	1361
19	,	,	$	$,	_	0	root	1361	1361
20	zur	zu	P	APPRART	Dat	24	pp	1361	1361
21	andern	andern	A	ADJA	_|Fem|Dat|Sg|_	22	attr	1361	1361
22	Hälfte	Hälfte	N	NN	Fem|Dat|Sg	20	pn	1361	1361
23	aber	aber	A	ADV	_	24	adv	1361	1361
24	Musiker	Musiker	N	NN	Masc|Nom|_	18	kon	1361	1361
25	und	und	K	KON	_	24	kon	_	_
26	enthusiastischer	enthusiastisch	A	ADJA	Pos|Masc|Nom|Sg|St|	27	attr	_	_
27	Wagnerianer	Wagnerianer	N	NN	Masc|Nom|Sg	25	cj	_	_
28	war	sein	V	VAFIN	3|Sg|Past|Ind	7	objc	_	_
29	,	,	$	$,	_	0	root	_	_
30	auf	auf	P	APPR	_	0	root	_	_
31	welchen	welche	A	PWAT	_|_|_	33	det	_	_
32	»	»	$	$(	_	0	root	_	_
33	Titul	Titul	N	NE	_|_|_	30	pn	_	_
34	«	«	$	$(	_	0	root	_	_
35	hin	hin	P	PTKVZ	_	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	wie	wie	P	PWAV	_	42	adv	_	_
38	van	van	N	NE	_|Nom|Sg	42	subj	1	1
39	der	die	A	ART	Def|_|Gen|_	40	det	8	8
40	Straaten	Straaten	N	NN	_|Gen|_	38	gmod	1	1
41	sich	sie	P	PRF	3|_|_	42	obja	_	_
