1	Leo	Leo	N	NE	Masc|Nom|Sg	2	subj	53	53
2	ich	ich	P	PPER	1|Sg|_|Nom	0	root	765	765
3	mich	ich	P	PRF	1|Sg|Acc	10	obja	_	_
4	nämlich	nämlich	A	ADV	_	10	adv	_	_
5	vorige	vorig	A	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	1037	1037
6	Woche	Woche	N	NN	Fem|Nom|Sg	10	subj	1037	1037
7	beim	bei	P	APPRART	Dat	10	pp	_	_
8	Tee	Tee	N	NN	_|Dat|Sg	7	pn	767	767
9	dahin	dahin	A	ADV	_	10	adv	_	_
10	äußerte	äußern	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	19	konj	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	765	765
14	jetzt	jetzt	A	ADV	_	13	adv	_	_
15	an	an	P	APPR	Acc	18	pp	_	_
16	die	die	A	ART	Def|_|Acc|_	17	det	779	779
17	Sündflut	Sündflut	N	NN	_|Acc|_	15	pn	779	779
18	herangehen	herangehen	V	VVINF	_	19	aux	_	_
19	wolle	wollen	V	VMFIN	1|Sg|Pres|Subj	10	neb	_	_
20	,	,	$	$,	_	0	root	_	_
21	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	209	209
23	Onkel	Onkel	N	NN	Masc|Nom|Sg	21	subj	209	209
24	:	\:	$	$.	_	0	root	_	_
25	›	›	F	FM	_	0	root	_	_
26	Ja	ja	P	PTKANT	_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	Fiechen	Fiechen	N	NE	_	0	root	768	768
29	,	,	$	$,	_	0	root	_	_
30	wie	wie	P	PWAV	_	31	adv	_	_
31	denkst	denken	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
32	du	du	P	PPER	2|Sg|_|Nom	31	subj	_	_
33	dir	du	P	PPER	2|Sg|_|Dat	31	objd	_	_
34	das	die	P	PDS	Neut|_|Sg	0	root	_	_
35	nun	nun	A	ADV	_	34	adv	_	_
36	eigentlich	eigentlich	A	ADV	_	34	adv	_	_
37	?	?	$	$.	_	0	root	_	_

1	Oder	oder	K	KON	_	0	root	_	_
2	richtiger	richtig	A	ADJD	Comp|	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	765	765
5	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|_	9	expl	_	_
7	gar	gar	A	ADV	_	8	adv	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	wissen	wissen	V	VVINF	_	5	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	765	765
12	will	wollen	V	VMFIN	1|Sg|Pres|Ind	9	par	_	_
13	dir	du	P	PRF	2|Sg|Dat	16	objd	_	_
14	lieber	lieb	A	ADJD	Comp|	16	adv	_	_
15	gleich	gleich	A	ADJD	Pos|	16	adv	_	_
16	sagen	sagen	V	VVINF	_	12	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	wie	wie	P	PWAV	_	0	root	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	0	root	765	765
20	es	es	P	PPER	3|Sg|Neut|Nom	22	subj	_	_
21	mir	ich	P	PPER	1|Sg|_|Dat	22	objd	765	765
22	denke	denken	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
23	und	und	K	KON	_	0	root	_	_
24	wie	wie	P	PWAV	_	28	adv	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	765	765
26	es	es	P	PPER	3|Sg|Neut|_	28	obja	_	_
27	mir	ich	P	PPER	1|Sg|_|Dat	28	objd	1037	1037
28	wünsche	wünschen	V	VVFIN	1|Sg|Pres|_	23	cj	_	_
29	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	10	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	765	765
3	noch	noch	A	ADV	_	10	adv	_	_
4	in	in	P	APPR	_	10	pp	_	_
5	Berlin	Berlin	N	NE	_|_|Sg	4	pn	26	26
6	bei	bei	P	APPR	Dat	10	pp	_	_
7	»	»	$	$(	_	0	root	_	_
8	Alexander	Alexander	N	NE	Masc|Dat|Sg	6	pn	_	_
9	«	«	$	$(	_	0	root	_	_
10	stand	stehen	V	VVFIN	1|Sg|Past|Ind	12	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	765	765
14	mal	mal	A	ADV	_	12	adv	_	_
15	auf	auf	P	APPR	_	12	pp	_	_
16	Besuch	Besuch	N	NN	Masc|_|Sg	15	pn	_	_
17	in	in	P	APPR	Dat	16	pp	_	_
18	einer	eine	A	ART	Indef|Fem|Dat|Sg	20	det	_	_
19	benachbarten	benachbart	A	ADJA	Pos|Fem|Dat|Sg|Wk|	20	attr	_	_
20	Dorfkirche	Dorfkirche	N	NN	Fem|Dat|Sg	17	pn	_	_
21	,	,	$	$,	_	0	root	_	_
22	drin	drin	A	ADV	_	23	adv	_	_
23	viele	viele	A	PIDAT	_|Nom|Pl	24	det	_	_
24	Bilder	Bild	N	NN	_|Nom|Pl	25	subj	_	_
25	waren	sein	V	VAFIN	3|Pl|Past|Ind	12	kon	_	_
26	,	,	$	$,	_	0	root	_	_
27	auch	auch	A	ADV	_	29	adv	_	_
28	eine	eine	A	ART	Indef|Fem|_|Sg	29	det	_	_
29	Sündflut	Sündflut	N	NN	Fem|_|Sg	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	5	koord	_	_
2	aus	aus	P	APPR	Dat	5	pp	_	_
3	der	die	A	ART	Def|Fem|Dat|Sg	4	det	763	763
4	Sündflut	Sündflut	N	NN	Fem|Dat|Sg	2	pn	763	763
5	ragte	ragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	nicht	nicht	P	PTKNEG	_	5	adv	_	_
7	bloß	bloß	A	ADV	_	5	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	K	KOKOM	_	7	par	_	_
10	gewöhnlich	gewöhnlich	A	ADJD	Pos|	9	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	769	769
13	Berg	Berg	N	NN	Masc|Nom|Sg	5	subj	769	769
14	Ararat	Ararat	N	NN	Masc|_|Sg	5	obja	_	_
15	mit	mit	P	APPR	Dat	5	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	_	_
17	Arche	Arche	N	NN	Fem|Dat|Sg	15	pn	_	_
18	hervor	hervor	P	PTKVZ	_	5	avz	_	_
19	,	,	$	$,	_	0	root	_	_
20	nein	nein	P	PTKANT	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	neben	neben	P	APPR	Dat	25	objp	_	_
23	dem	die	A	ART	Def|Masc|Dat|Sg	24	det	778	778
24	Ararat	Ararat	N	NN	Masc|Dat|Sg	22	pn	778	778
25	befand	befinden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
26	sich	sie	P	PRF	3|_|_	25	obja	_	_
27	auch	auch	A	ADV	_	25	adv	_	_
28	noch	noch	A	ADV	_	25	adv	_	_
29	in	in	P	APPR	Dat	25	pp	_	_
30	geringer	gering	A	ADJA	Pos|Fem|Dat|Sg|St|	31	attr	_	_
31	Entfernung	Entfernung	N	NN	Fem|Dat|Sg	29	pn	_	_
32	ein	eine	A	ART	Indef|Masc|Nom|Sg	34	det	_	_
33	zweiter	zweit	A	ADJA	_|Masc|Nom|Sg|St|	34	attr	_	_
34	Berg	Berg	N	NN	Masc|Nom|Sg	25	subj	_	_
35	,	,	$	$,	_	0	root	_	_
36	und	und	K	KON	_	25	kon	_	_
37	auf	auf	P	APPR	Dat	41	objp	_	_
38	diesem	diese	A	PDAT	Masc|Dat|Sg	40	det	_	_
39	zweiten	zweit	A	ADJA	_|Masc|Dat|Sg|Wk|	40	attr	_	_
40	Berge	Berg	N	NN	Masc|Dat|Sg	37	pn	_	_
41	stand	stehen	V	VVFIN	3|Sg|Past|Ind	36	cj	_	_
42	eine	eine	A	ART	Indef|Fem|Nom|Sg	43	det	_	_
43	Kirche	Kirche	N	NN	Fem|Nom|Sg	41	subj	_	_
44	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	diese	diese	A	PDAT	Fem|Nom|Sg	3	det	770	770
3	Kirche	Kirche	N	NN	Fem|Nom|Sg	4	subj	770	770
4	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
5	genau	genau	A	ADJD	Pos|	4	adv	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	9	det	771	771
7	kleine	klein	A	ADJA	Pos|Fem|Nom|Sg|_|	9	attr	771	771
8	märkische	märkisch	A	ADJA	Pos|Fem|Nom|Sg|_|	9	attr	771	771
9	Dorfkirche	Dorfkirche	N	NN	Fem|Nom|Sg	4	pred	771	771
10	mit	mit	P	APPR	Dat	9	pp	771	771
11	einem	eine	A	ART	Indef|Masc|Dat|Sg	12	det	771	771
12	Laternenturm	Laternenturm	N	NN	Masc|Dat|Sg	10	pn	771	771
13	und	und	K	KON	_	10	kon	771	771
14	sogar	sogar	A	ADV	_	13	cj	771	771
15	einem	eine	A	ART	Indef|Masc|Dat|Sg	16	det	771	771
16	Blitzableiter	Blitzableiter	N	NN	Masc|Dat|Sg	4	objd	771	771
17	,	,	$	$,	_	0	root	771	771
18	in	in	P	APPR	Dat	26	pp	771	771
19	der	die	P	PRELS	Fem|Dat|Sg	18	pn	771	771
20	wir	wir	P	PPER	1|Pl|_|Nom	26	subj	_	_
21	uns	wir	P	PRF	1|Pl|_	26	obja	_	_
22	in	in	P	APPR	Dat	26	objp	_	_
23	jenem	jene	A	PDAT	Masc|Dat|Sg	24	det	_	_
24	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	22	pn	_	_
25	gerade	gerade	A	ADV	_	26	adv	_	_
26	befanden	befinden	V	VVFIN	1|Pl|Past|Ind	9	rel	_	_
27	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	damals	damals	A	ADV	_	8	adv	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	8	det	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	großen	groß	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	_	_
8	Eindruck	Eindruck	N	NN	Masc|Acc|Sg	11	obja	_	_
9	auf	auf	P	APPR	Acc	11	objp	_	_
10	mich	ich	P	PPER	1|Sg|_|Acc	9	pn	765	765
11	gemacht	machen	V	VVPP	_	3	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	17	konj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	765	765
15	dich	du	P	PPER	2|Sg|_|Acc	16	obja	772	772
16	bitten	bitten	V	VVINF	_	17	aux	_	_
17	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	3	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	du	du	P	PPER	2|Sg|_|Nom	20	subj	772	772
20	machtest	machen	V	VVFIN	2|Sg|Past|_	3	kon	_	_
21	es	es	P	PPER	3|Sg|Neut|_	20	obja	_	_
22	auch	auch	A	ADV	_	20	adv	_	_
23	so	so	A	ADV	_	20	adv	_	_
24	und	und	K	KON	_	20	kon	_	_
25	ließest	lassen	V	VVFIN	2|Sg|Past|Subj	24	cj	_	_
26	auch	auch	A	ADV	_	25	adv	_	_
27	zwei	zwei	C	CARD	_	28	attr	773	773
28	Kuppen	Kuppe	N	NN	Fem|_|Pl	25	obja	773	773
29	aufsteigen	aufsteigen	V	VVINF	_	25	obji	_	_
30	und	und	K	KON	_	25	kon	_	_
31	auf	auf	P	APPR	Dat	35	objp	_	_
32	der	die	A	ART	Def|Fem|Dat|Sg	34	det	_	_
33	zweiten	zweit	A	ADJA	_|Fem|Dat|Sg|Wk|	34	attr	_	_
34	Kuppe	Kuppe	N	NN	Fem|Dat|Sg	31	pn	_	_
35	stände	stehen	V	VVFIN	3|Sg|Past|Subj	30	cj	_	_
36	die	die	A	ART	Def|Fem|Nom|Sg	37	det	_	_
37	Kirche	Kirche	N	NN	Fem|Nom|Sg	35	subj	_	_
38	von	von	P	APPR	Dat	37	pp	_	_
39	Adamsdorf	Adamsdorf	N	NE	Neut|Dat|Sg	38	pn	553	553
40	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|_|_|_	4	det	_	_
4	protestantische	protestantisch	A	ADJA	_|_|_	2	pred	_	_
5	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	6	konj	_	_
2	sich	sie	P	PRF	3|_|_	6	obja	_	_
3	die	die	A	ART	Def|Masc|Nom|Pl	4	det	_	_
4	Katholiken	Katholik	N	NN	Masc|Nom|Pl	6	subj	_	_
5	darüber	darüber	P	PROAV	_	6	pp	_	_
6	ärgern	ärgern	V	VVFIN	3|Pl|Pres|_	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	_
9	sie	sie	P	PPER	3|Pl|_|Nom	8	subj	773	773
10	sich	sie	P	PRF	3|_|Dat	16	objd	_	_
11	ja	ja	A	ADV	_	16	adv	_	_
12	ihre	ihre	A	PPOSAT	Fem|_|Sg	13	det	773	773
13	Kirche	Kirche	N	NN	Fem|_|Sg	15	obja	_	_
14	auch	auch	A	ADV	_	15	adv	_	_
15	malen	malen	V	VVINF	_	16	obji	_	_
16	lassen	lassen	V	VVINF	_	8	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	765	765
2	stehe	stehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	zu	zu	P	APPR	Dat	2	objp	_	_
4	Martin	Martin	N	NE	_|Dat|Sg	3	pn	_	_
5	Luther	Luther	N	NE	_|Dat|Sg	4	app	_	_
6	und	und	K	KON	_	5	kon	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	9	det	_	_
8	reinen	rein	A	ADJA	Pos|Fem|Dat|Sg|Wk|	9	attr	_	_
9	Lehre	Lehre	N	NN	Fem|Dat|Sg	6	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Darin	Darin	P	PROAV	_	6	pp	_	_
2	,	,	$	$,	_	0	root	_	_
3	denke	denken	V	VVFIN	1|Sg|Pres|_	1	par	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	765	765
5	,	,	$	$,	_	0	root	_	_
6	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	765	765
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	10	det	3	3
9	fester	fest	A	ADJA	Pos|Masc|Nom|Sg|St|	10	attr	3	3
10	Poggenpuhl	Poggenpuhl	N	NN	Masc|Nom|Sg	6	pred	3	3
11	.	.	$	$.	_	0	root	_	_
12	‹	‹	F	FM	_	0	root	_	_
13	Ich	ich	P	PPER	1|Sg|_|Nom	14	subj	765	765
14	erschrak	erschrecken	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
15	erst	erst	A	ADV	_	14	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	als	als	K	KOUS	_	21	konj	_	_
18	der	die	A	ART	Def|Masc|Nom|Sg	19	det	209	209
19	Onkel	Onkel	N	NN	Masc|Nom|Sg	21	subj	209	209
20	das	die	P	PDS	Neut|_|Sg	21	obja	_	_
21	sagte	sagen	V	VVFIN	3|Sg|Past|_	14	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	weil	weil	K	KOUS	_	30	konj	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	765	765
25	es	es	P	PPER	3|Sg|Neut|_	29	expl	_	_
26	mir	ich	P	PRF	1|Sg|Dat	29	objd	_	_
27	alles	alle	P	PIS	_|_|Sg	29	adv	_	_
28	anders	anders	A	ADV	_	29	adv	_	_
29	gedacht	denken	V	VVPP	_	30	aux	_	_
30	hatte	haben	V	VAFIN	1|Sg|Past|Ind	56	neb	_	_
31	,	,	$	$,	_	0	root	_	_
32	da	da	K	KOUS	_	38	konj	_	_
33	'	'	$	$(	_	0	root	_	_
34	s	s	P	PPER	_|Sg|_|Nom	38	subj	209	209
35	aber	aber	A	ADV	_	38	adv	_	_
36	kein	keine	A	PIAT	Neut|_|Sg	37	det	_	_
37	Entrinnen	Entrinnen	N	NN	Neut|_|Sg	38	obja	_	_
38	gab	geben	V	VVFIN	_|Sg|Past|Ind	54	neb	_	_
39	,	,	$	$,	_	0	root	_	_
40	so	so	A	ADV	_	41	adv	_	_
41	gab	geben	V	VVFIN	1|Sg|Past|Ind	38	par	_	_
42	ich	ich	P	PPER	1|Sg|_|Nom	41	subj	765	765
43	mich	ich	P	PRF	1|Sg|Acc	41	obja	_	_
44	zufrieden	zufrieden	A	ADJD	Pos|	41	pred	_	_
45	,	,	$	$,	_	0	root	_	_
46	und	und	K	KON	_	44	kon	_	_
47	jetzt	jetzt	A	ADV	_	46	cj	_	_
48	,	,	$	$,	_	0	root	_	_
49	wo	wo	P	PWAV	_	54	adv	_	_
50	'	'	$	$(	_	0	root	_	_
51	s	s	P	PPER	_|Sg|_|Nom	54	subj	209	209
52	beinahe	beinahe	A	ADV	_	53	adv	_	_
53	fertig	fertig	A	ADJD	Pos|	54	pred	_	_
54	ist	sein	V	VAFIN	3|Sg|Pres|Ind	29	objc	_	_
55	,	,	$	$,	_	0	root	_	_
56	hab	hab	V	VAFIN	1|Sg|_|_	14	kon	_	_
57	ich	ich	P	PPER	1|Sg|_|Nom	56	subj	765	765
58	mich	ich	P	PRF	1|Sg|Acc	63	obja	_	_
59	in	in	P	APPR	Acc	63	pp	_	_
60	die	die	A	ART	Def|Fem|Acc|Sg	61	det	774	774
61	Idee	Idee	N	NN	Fem|Acc|Sg	59	pn	774	774
62	ganz	ganz	A	ADV	_	63	adv	_	_
63	verliebt	verlieben	V	VVPP	_	56	aux	_	_
64	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	kindlich	kindlich	A	ADJD	Pos|	3	adv	_	_
3	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	0	root	765	765
5	anfänglich	anfänglich	A	ADJD	Pos|	6	adv	_	_
6	vorkam	vorkommen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
7	und	und	K	KON	_	6	kon	_	_
8	auch	auch	A	ADV	_	9	adv	_	_
9	noch	noch	A	ADV	_	10	adv	_	_
10	vorkommt	vorkommen	V	VVFIN	_|_|Pres|Ind	7	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	10	kon	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
15	doch	doch	A	ADV	_	13	adv	_	_
16	zugleich	zugleich	A	ADV	_	13	adv	_	_
17	eine	eine	A	ART	Indef|Fem|_|Sg	19	det	_	_
18	tiefe	tief	A	ADJA	Pos|Fem|_|Sg|_|	19	attr	_	_
19	Bedeutung	Bedeutung	N	NN	Fem|_|Sg	13	obja	_	_
20	;	;	$	$.	_	0	root	_	_
21	als	als	K	KOUS	_	25	konj	_	_
22	die	die	A	ART	Def|Fem|Nom|Sg	24	det	_	_
23	alte	alt	A	ADJA	Pos|Fem|Nom|Sg|_|	24	attr	_	_
24	Sündenwelt	Sündenwelt	N	NN	Fem|Nom|Sg	25	subj	_	_
25	unterging	untergehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
26	und	und	K	KON	_	0	root	_	_
27	die	die	A	ART	Def|_|_|_	28	det	_	_
28	neue	neu	A	ADJA	_|_|_	26	cj	_	_
29	,	,	$	$,	_	0	root	_	_
30	bessere	bessern	V	VVFIN	_|Sg|Pres|_	0	root	_	_
31	,	,	$	$,	_	0	root	_	_
32	sich	sie	P	PRF	3|_|_	33	obja	_	_
33	aufbaute	aufbauen	V	VVFIN	_|Sg|Past|_	0	root	_	_
34	,	,	$	$,	_	0	root	_	_
35	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
36	das	die	A	ART	Def|Neut|_|Sg	37	det	_	_
37	erste	erst	A	ADJA	Neut|_|Sg	35	subj	_	_
38	,	,	$	$,	_	0	root	_	_
39	was	was	P	PRELS	Neut|Nom|Sg	41	subj	_	_
40	neu	neu	A	ADJD	Pos|	41	adv	_	_
41	erschien	erscheinen	V	VVFIN	3|Sg|Past|Ind	35	objc	_	_
42	(	(	$	$(	_	0	root	_	_
43	denn	denn	A	ADV	_	45	adv	_	_
44	die	die	A	ART	Def|Neut|Nom|Pl	45	det	_	_
45	Tiere	Tier	N	NN	Neut|Nom|Pl	46	subj	_	_
46	waren	sein	V	VAFIN	3|Pl|Past|Ind	41	par	_	_
47	ja	ja	A	ADV	_	46	adv	_	_
48	noch	noch	A	ADV	_	46	adv	_	_
49	aus	aus	P	APPR	Dat	46	pp	_	_
50	der	die	A	ART	Def|Fem|Dat|Sg	52	det	_	_
51	alten	alt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	52	attr	_	_
52	Welt	Welt	N	NN	Fem|Dat|Sg	49	pn	_	_
53	)	)	$	$(	_	0	root	_	_
54	,	,	$	$,	_	0	root	_	_
55	die	die	A	ART	Def|Fem|_|Sg	56	det	_	_
56	Kirche	Kirche	N	NN	Fem|_|Sg	0	root	_	_
57	jenes	jene	A	PDAT	Neut|Gen|Sg	60	det	_	_
58	kleinen	klein	A	ADJA	Pos|Neut|Gen|Sg|_|	60	attr	_	_
59	märkischen	märkisch	A	ADJA	Pos|Neut|Gen|Sg|_|	60	attr	_	_
60	Dorfes	Dorf	N	NN	Neut|Gen|Sg	56	gmod	_	_
61	und	und	K	KON	_	0	root	_	_
62	jetzt	jetzt	A	ADV	_	63	adv	_	_
63	also	also	A	ADV	_	61	cj	_	_
64	die	die	A	ART	Def|_|_|_	0	root	_	_
65	von	von	P	APPR	Dat	0	root	_	_
66	Adamsdorf	Adamsdorf	N	NE	Neut|Dat|Sg	65	pn	553	553
67	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	als	als	K	KOKOM	_	0	root	_	_
5	ob	ob	K	KOUS	_	11	konj	_	_
6	Gott	Gott	N	NN	Masc|Nom|Sg	11	subj	81	81
7	sie	sie	P	PPER	3|_|_|_	10	obja	553	553
8	gleich	gleich	A	ADV	_	10	adv	_	_
9	dahin	dahin	A	ADV	_	10	adv	_	_
10	gestellt	stellen	V	VVPP	_	11	aux	_	_
11	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Natürlich	natürlich	A	ADJD	Pos|	2	adv	_	_
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	2	subj	_	_
4	darüber	darüber	P	PROAV	_	5	pp	_	_
5	lachen	lachen	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	aber	aber	K	KON	_	2	kon	_	_
8	man	man	P	PIS	_|Nom|Sg	9	subj	_	_
9	kann	können	V	VMFIN	3|Sg|Pres|Ind	7	cj	_	_
10	sich	sie	P	PRF	3|_|_	13	obja	_	_
11	auch	auch	A	ADV	_	13	adv	_	_
12	darüber	darüber	P	PROAV	_	13	pp	_	_
13	freuen	freuen	V	VVINF	_	9	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	18	koord	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	18	subj	775	775
3	,	,	$	$,	_	0	root	_	_
4	meine	meine	A	PPOSAT	Fem|Nom|Sg	6	det	765	765
5	liebe	lieb	A	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	_	_
6	Mama	Mama	N	NN	Fem|Nom|Sg	2	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	die	die	P	PRELS	Fem|Nom|Sg	12	subj	_	_
9	Du	du	P	PPER	2|Sg|_|Nom	12	pred	775	775
10	ja	ja	A	ADV	_	9	adv	_	_
11	Gott	Gott	N	NN	Masc|Dat|Sg	12	objd	81	81
12	sei	sein	V	VAFIN	3|Sg|Pres|Subj	6	rel	_	_
13	Dank	Dank	N	NN	Masc|Nom|Sg	18	pred	135	135
14	aus	aus	P	APPR	Dat	18	pp	_	_
15	einem	eine	A	ART	Indef|Neut|Dat|Sg	17	det	_	_
16	frommen	fromm	A	ADJA	Pos|Neut|Dat|Sg|Wk|	17	attr	_	_
17	Predigerhause	Predigerhaus	N	NN	Neut|Dat|Sg	14	pn	_	_
18	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	Du	du	P	PPER	2|Sg|_|Nom	21	subj	775	775
21	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
22	es	es	P	PPER	3|Sg|Neut|_	24	obja	_	_
23	schön	schön	A	ADJD	Pos|	24	pred	_	_
24	finden	finden	V	VVINF	_	21	aux	_	_
25	und	und	K	KON	_	0	root	_	_
26	den	die	A	ART	Def|Masc|Acc|Sg	27	det	164	164
27	Onkel	Onkel	N	NN	Masc|Acc|Sg	25	cj	164	164
28	Eberhard	Eberhard	N	NE	Masc|Acc|Sg	27	app	164	164
29	noch	noch	A	ADV	_	30	adv	_	_
30	lieber	lieb	A	ADJD	Comp|	31	pred	_	_
31	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	_
32	als	als	K	KOKOM	_	31	kom	_	_
33	zuvor	zuvor	A	ADV	_	32	cj	_	_
34	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	81	81
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	wirklich	wirklich	A	ADJD	Pos|	2	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
6	kapitaler	kapital	A	ADJA	Pos|Masc|Nom|Sg|St|	7	attr	_	_
7	Mann	Mann	N	NN	Masc|Nom|Sg	2	pred	_	_
8	.	.	$	$.	_	0	root	_	_

1	Soviel	soviel	P	PIS	_	0	root	_	_
2	über	über	P	APPR	Acc	1	pp	_	_
3	die	die	A	ART	Def|Fem|Acc|Sg	4	det	774	774
4	Idee	Idee	N	NN	Fem|Acc|Sg	2	pn	774	774
5	zu	zu	P	APPR	Dat	2	kon	_	_
6	dem	die	A	ART	Def|Neut|Dat|Sg	7	det	70	70
7	Bilde	Bild	N	NN	Neut|Dat|Sg	5	pn	70	70
8	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
