1	Franziska	Franziska	N	NE	Fem|Nom|Sg	2	subj	148	148
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
19	Vorzug	Vorzug	N	NN	Masc|Acc|Sg	20	obja	_	_
20	geben	geben	V	VVINF	_	3	aux	_	_
21	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	_	4	objp	_	_
2	Fräulein	Fräulein	N	NN	Neut|_|_	1	pn	41	41
3	Franz	Franz	N	NE	_|_|Sg	2	app	41	41
4	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	allerdings	allerdings	A	ADV	_	4	adv	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	_	_
7	bedeutenderer	bedeutend	A	ADJA	Comp|Masc|Nom|Sg|St|_	8	attr	_	_
8	Fonds	Fond	N	NN	Masc|Nom|Sg	4	subj	_	_
9	,	,	$	$,	_	0	root	_	_
10	aber	aber	K	KON	_	4	kon	_	_
11	eben	eben	A	ADV	_	17	adv	_	_
12	weil	weil	K	KOUS	_	15	konj	_	_
13	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	608	608
14	bedeutender	bedeutend	A	ADJD	Comp|_	15	pred	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	17	neb	_	_
16	,	,	$	$,	_	0	root	_	_
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	10	cj	_	_
18	sie	sie	P	PPER	3|Sg|Fem|Nom	17	subj	608	608
19	zugleich	zugleich	A	ADV	_	17	adv	_	_
20	auch	auch	A	ADV	_	17	adv	_	_
21	minder	minder	A	ADV	_	22	adv	_	_
22	bequem	bequem	A	ADJD	Pos|	17	pred	_	_
23	und	und	K	KON	_	17	kon	_	_
24	stellt	stellen	V	VVFIN	_|_|Pres|Ind	23	cj	_	_
25	uns	wir	P	PPER	1|Pl|_|_	24	obja	609	609
26	,	,	$	$,	_	0	root	_	_
27	als	als	K	KOKOM	_	28	konj	_	_
28	übe	üben	V	VVFIN	3|Sg|Pres|Subj	24	neb	_	_
29	sie	sie	P	PPER	3|Sg|Fem|Nom	28	subj	608	608
30	Kritik	Kritik	N	NN	Fem|_|Sg	28	obja	1050	1050
31	,	,	$	$,	_	0	root	_	_
32	unter	unter	P	APPR	Acc	28	pp	_	_
33	eine	eine	A	ART	Indef|Fem|Acc|Sg	35	det	_	_
34	beständige	beständig	A	ADJA	Pos|Fem|Acc|Sg|_|	35	attr	_	_
35	Kontrolle	Kontrolle	N	NN	Fem|Acc|Sg	32	pn	_	_
36	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	ganz	ganz	A	ADV	_	3	adv	_	_
3	anders	anders	A	ADV	_	7	adv	_	_
4	dagegen	dagegen	P	PROAV	_	7	pp	_	_
5	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
6	ältere	alt	A	ADJA	Comp|Neut|_|Sg|Wk|	7	attr	_	_
7	Fräulein	Fräulein	N	NN	Neut|_|Sg	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Von	von	P	APPR	_	0	root	_	_
2	einer	eine	A	ART	Indef|Fem|_|Sg	4	det	_	_
3	gewinnenden	gewinnend	A	ADJA	Pos|Fem|_|Sg|Wk|<PPRES	4	attr	_	_
4	Offenheit	Offenheit	N	NN	Fem|_|Sg	1	pn	_	_
5	und	und	K	KON	_	4	kon	_	_
6	Schelmerei	Schelmerei	N	NE	Fem|_|Sg	5	cj	960	960
7	,	,	$	$,	_	0	root	_	_
8	vergißt	vergißt	V	VVFIN	3|_|_|_	0	root	_	_
9	sie	sie	P	PPER	3|_|_|Nom	8	subj	608	608
10	,	,	$	$,	_	0	root	_	_
11	die	die	A	ART	Def|Neut|_|Pl	12	det	524	524
12	Worte	Wort	N	NN	Neut|_|Pl	14	obja	524	524
13	zu	zu	P	PTKZU	_	14	part	_	_
14	wägen	wägen	V	VVINF	_	8	obji	_	_
15	,	,	$	$,	_	0	root	_	_
16	oder	oder	K	KON	_	8	kon	_	_
17	will	wollen	V	VMFIN	3|Sg|Pres|Ind	16	cj	_	_
18	es	es	P	PPER	3|Sg|Neut|Nom	17	subj	_	_
19	vielleicht	vielleicht	A	ADV	_	17	adv	_	_
20	auch	auch	A	ADV	_	17	adv	_	_
21	nicht	nicht	P	PTKNEG	_	17	adv	_	_
22	und	und	K	KON	_	17	kon	_	_
23	überhebt	überheben	V	VVFIN	_|_|Pres|Ind	22	cj	_	_
24	uns	wir	P	PPER	1|Pl|_|_	23	obja	609	609
25	dadurch	dadurch	P	PROAV	_	23	pp	_	_
26	der	die	A	ART	Def|Fem|Dat|Sg	27	det	_	_
27	Notwendigkeit	Notwendigkeit	N	NN	Fem|Dat|Sg	23	objd	_	_
28	,	,	$	$,	_	0	root	_	_
29	auf	auf	P	APPR	_	36	objp	_	_
30	uns	wir	P	PPER	1|Pl|_|_	29	pn	609	609
31	selber	selber	A	ADV	_	30	adv	_	_
32	in	in	P	APPR	Dat	35	pp	_	_
33	jedem	jede	A	PIAT	Masc|Dat|Sg	34	det	_	_
34	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	32	pn	_	_
35	ängstlich	ängstlich	A	ADJD	Pos|	36	adv	_	_
36	achten	achten	V	VVINF	_	38	aux	_	_
37	zu	zu	P	PTKZU	_	38	part	_	_
38	müssen	müssen	V	VMINF	_	27	obji	_	_
39	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	_	3	objp	_	_
2	uns	wir	P	PPER	1|Pl|_|_	1	pn	609	609
3	achten	achten	V	VVINF	_	0	root	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	freilich	freilich	A	ADV	_	4	adv	_	_
6	Pflicht	Pflicht	N	NN	Fem|Nom|Sg	4	subj	810	810
7	,	,	$	$,	_	0	root	_	_
8	aber	aber	K	KON	_	4	kon	_	_
9	ängstlich	ängstlich	A	ADJD	Pos|	12	adv	_	_
10	auf	auf	P	APPR	_	9	pp	_	_
11	uns	wir	P	PPER	1|Pl|_|_	10	pn	609	609
12	achten	achten	V	VVINF	_	13	aux	_	_
13	wird	werden	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	_
14	leicht	leicht	A	ADJD	Pos|	12	adv	_	_
15	zur	zu	P	APPRART	Dat	12	pp	_	_
16	Pein	Pein	N	NN	Fem|Dat|Sg	15	pn	_	_
17	.	.	$	$.	_	0	root	_	_

1	Gegen	gegen	P	APPR	Acc	4	pp	_	_
2	neun	neun	C	CARD	_	3	attr	_	_
3	Uhr	Uhr	N	NN	Fem|Acc|Sg	1	pn	_	_
4	waren	sein	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	4	subj	609	609
6	von	von	P	APPR	_	4	pp	_	_
7	unserer	unsre	A	PPOSAT	Fem|_|Sg	8	det	609	609
8	Partie	Partie	N	NN	Fem|_|Sg	6	pn	_	_
9	zurück	zurück	P	PTKVZ	_	4	avz	_	_
10	.	.	$	$.	_	0	root	_	_

1	Egon	Egon	N	NE	Masc|Nom|Sg	5	subj	19	19
2	und	und	K	KON	_	1	kon	_	_
3	Graf	Graf	N	NE	Masc|Nom|Sg	2	cj	319	319
4	Pejevics	Pejevics	N	NE	Masc|Nom|Sg	3	app	319	319
5	verließen	verlassen	V	VVFIN	_|Pl|Past|_	0	root	_	_
6	mich	ich	P	PPER	1|Sg|_|Acc	5	obja	610	610
7	gegen	gegen	P	APPR	Acc	5	pp	_	_
8	zehn	zehn	C	CARD	_	7	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	5	kon	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	610	610
12	hoffte	hoffen	V	VVFIN	1|Sg|Past|_	10	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	die	die	A	ART	Def|Fem|_|Pl	17	det	_	_
15	nächsten	nah	A	ADJA	_|Fem|_|Pl|Wk|	17	attr	_	_
16	vierundzwanzig	vierundzwanzig	C	CARD	_	17	attr	_	_
17	Stunden	Stunde	N	NN	Fem|_|Pl	29	obja	_	_
18	in	in	P	APPR	Dat	29	pp	_	_
19	einer	eine	A	ART	Indef|Fem|Dat|Sg	21	det	611	611
20	vollkommenen	vollkommen	A	ADJA	Pos|Fem|Dat|Sg|Wk|	21	attr	611	611
21	Ruhe	Ruhe	N	NN	Fem|Dat|Sg	18	pn	611	611
22	,	,	$	$,	_	0	root	611	611
23	nach	nach	P	APPR	Dat	27	objp	611	611
24	der	die	P	PRELS	Fem|Dat|Sg	23	pn	611	611
25	ich	ich	P	PPER	1|Sg|_|Nom	27	subj	610	610
26	mich	ich	P	PRF	1|Sg|Acc	27	obja	_	_
27	sehnte	sehnen	V	VVFIN	1|Sg|Past|_	21	rel	_	_
28	,	,	$	$,	_	0	root	_	_
29	zubringen	zubringen	V	VVINF	_	31	aux	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	können	können	V	VMINF	_	12	obji	_	_
32	,	,	$	$,	_	0	root	_	_
33	da	da	A	ADV	_	34	adv	_	_
34	wirbelte	wirbeln	V	VVFIN	3|Sg|Past|_	12	kon	_	_
35	heute	heute	A	ADV	_	34	adv	_	_
36	mit	mit	P	APPR	Dat	34	pp	_	_
37	dem	die	A	ART	Def|_|Dat|Sg	38	det	_	_
38	frühesten	früh	A	ADJA	_|Dat|Sg	36	pn	_	_
39	mein	meine	A	PPOSAT	Masc|Nom|Sg	40	det	6	6
40	Bruder	Bruder	N	NN	Masc|Nom|Sg	34	subj	610)	610)
41	,	,	$	$,	_	0	root	610)	610)
42	Graf	Graf	N	NE	Masc|Nom|Sg	40	app	610)	610)
43	Adam	Adam	N	NE	Masc|Nom|Sg	42	app	6	6
44	,	,	$	$,	_	0	root	_	_
45	in	in	P	APPR	Acc	34	pp	_	_
46	mein	meine	A	PPOSAT	Neut|Acc|Sg	47	det	610	610
47	Zimmer	Zimmer	N	NN	Neut|Acc|Sg	45	pn	_	_
48	und	und	K	KON	_	47	kon	_	_
49	meine	meine	A	PPOSAT	_|Acc|_	50	det	610	610
50	Stille	Stille	N	NN	_|Acc|_	48	cj	1399	1399
51	hinein	hinein	P	PTKVZ	_	34	avz	_	_
52	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	_	0	root	_	_
2	wie	wie	K	KOKOM	_	1	kom	_	_
3	lange	lange	A	ADJD	_	2	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	steht	stehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
6	dahin	dahin	A	ADV	_	5	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	6	6
2	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	anfangs	anfangs	A	ADV	_	2	adv	_	_
4	von	von	P	APPR	Dat	2	pp	_	_
5	einem	eine	A	ART	Indef|_|Dat|Sg	7	det	_	_
6	halben	halb	A	ADJA	Pos|_|Dat|Sg|Wk|	7	attr	_	_
7	Tag	Tag	N	NN	_|Dat|Sg	4	pn	_	_
8	nur	nur	A	ADV	_	2	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	aber	aber	K	KON	_	2	kon	_	_
11	seine	seine	A	PPOSAT	Masc|Nom|Pl	12	det	6	6
12	Pläne	Plan	N	NN	Masc|Nom|Pl	13	subj	_	_
13	haben	haben	V	VAFIN	3|Pl|Pres|_	10	cj	_	_
14	sich	sie	P	PRF	3|_|_	16	obja	_	_
15	rasch	rasch	A	ADJD	Pos|	16	adv	_	_
16	geändert	ändern	V	VVPP	_	13	aux	_	_
17	.	.	$	$.	_	0	root	_	_

1	Sehr	sehr	A	ADV	_	2	adv	_	_
2	begreiflich	begreiflich	A	ADJD	_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	6	6
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	eben	eben	A	ADV	_	2	adv	_	_
4	drüben	drüben	A	ADJD	_	2	pred	_	_
5	bei	bei	P	APPR	Dat	2	pp	_	_
6	den	die	A	ART	Def|Fem|Dat|Pl	8	det	425	425
7	jungen	jung	A	ADJA	Pos|Fem|Dat|Pl|_|	8	attr	425	425
8	Damen	Dame	N	NN	Fem|Dat|Pl	5	pn	425	425
9	,	,	$	$,	_	0	root	_	_
10	was	was	P	PRELS	Neut|Nom|Sg	13	subj	612	612
11	Ihnen	sie	P	PPER	3|Pl|_|Dat	13	objd	425	425
12	genug	genug	A	ADV	_	13	adv	_	_
13	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	13	kon	_	_
16	gönnt	gönnen	V	VVFIN	3|Sg|Pres|Ind	15	cj	_	_
17	mir	ich	P	PPER	1|Sg|_|Dat	16	objd	613	613
18	durch	durch	P	APPR	Acc	16	pp	_	_
19	diesen	diese	A	PDAT	Masc|Acc|Sg	18	pn	_	_
20	seinen	seine	A	PPOSAT	Masc|_|Sg	21	det	612	612
21	Besuch	Besuch	N	NN	Masc|_|Sg	16	obja	_	_
22	die	die	A	ART	Def|Fem|Nom|Sg	23	det	_	_
23	Muße	Muße	N	NN	Fem|Nom|Sg	16	subj	_	_
24	zu	zu	P	APPR	Dat	16	pp	_	_
25	diesen	diese	A	PDAT	Fem|Dat|Pl	26	det	614	614
26	Zeilen	Zeile	N	NN	Fem|Dat|Pl	24	pn	614	614
27	an	an	P	APPR	Acc	16	pp	_	_
28	Sie	sie	P	PPER	3|_|_|Acc	27	pn	612	612
29	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	daß	daß	K	KOUS	_	7	konj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	613	613
5	es	es	P	PPER	3|Sg|Neut|_	7	obja	_	_
6	Ihnen	sie	P	PPER	3|Pl|_|Dat	7	objd	614	614
7	gestehe	gestehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	mein	meine	A	PPOSAT	Masc|Nom|Sg	11	det	613	613
10	lieber	lieb	A	ADJD	Comp|	11	adv	_	_
11	Freund	Freund	N	NN	Masc|Nom|Sg	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	613	613
14	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
15	in	in	P	APPR	_	14	pp	_	_
16	Sorgen	Sorge	N	NN	_|_|_	15	pn	615	615
17	,	,	$	$,	_	0	root	_	_
18	in	in	P	APPR	Dat	15	kon	_	_
19	denselben	dieselbe	A	PDAT	Fem|Dat|Pl	20	det	616	616
20	Sorgen	Sorge	N	NN	Fem|Dat|Pl	18	pn	616	616
21	,	,	$	$,	_	0	root	616	616
22	die	die	P	PRELS	Fem|Nom|Pl	26	subj	616	616
23	mich	ich	P	PPER	1|Sg|_|Acc	26	obja	613	613
24	diesen	diese	A	PDAT	Masc|Acc|Sg	25	det	235	235
25	Winter	Winter	N	NN	Masc|Acc|Sg	26	zeit	235	235
26	erfüllten	erfüllen	V	VVFIN	3|Pl|Past|_	20	rel	_	_
27	und	und	K	KON	_	26	kon	_	_
28	deren	die	A	PDAT	Fem|_|Sg	30	det	_	_
29	äußere	äußere	A	ADJA	_|Fem|_|Sg|_	30	attr	_	_
30	Veranlassung	Veranlassung	N	NN	Fem|_|Sg	34	obja	_	_
31	Sie	sie	P	PPER	3|Pl|_|Nom	34	subj	616	616
32	so	so	A	ADV	_	33	adv	_	_
33	gut	gut	A	ADJD	Pos|	34	adv	_	_
34	kennen	kennen	V	VVFIN	3|Pl|Pres|_	27	cj	_	_
35	wie	wie	K	KOKOM	_	34	kom	_	_
36	die	die	A	ART	Def|Fem|_|Sg	38	det	_	_
37	tiefere	tief	A	ADJA	Comp|Fem|_|Sg|_|	38	attr	_	_
38	Charakterbegründung	Charakterbegründung	N	NN	Fem|_|Sg	35	cj	_	_
39	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dies	dies	P	PDS	Neut|_|Sg	1	cj	_	_
3	letztere	letztere	A	ADJA	Pos|_|Nom|Sg|_|	4	subj	_	_
4	wiegt	wiegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	am	an	P	APPRART	Dat	4	pp	_	_
6	schwersten	schwer	A	ADJA	Sup|_|Dat|_|_|	5	pn	_	_
7	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	615	615
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	4	obja	_	_
4	versäumt	versäumen	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	sich	sie	P	PRF	3|_|Dat	14	objd	_	_
7	zu	zu	P	APPR	Dat	14	pp	_	_
8	rechter	recht	A	ADJA	Pos|Fem|Dat|Sg|St|	9	attr	_	_
9	Zeit	Zeit	N	NN	Fem|Dat|Sg	7	pn	_	_
10	seiner	seine	A	PPOSAT	Neut|Gen|Pl	11	det	615	615
11	Jahre	Jahr	N	NN	Neut|Gen|Pl	9	gmod	_	_
12	bewußt	bewußt	A	ADJD	Pos|	14	pred	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	werden	werden	V	VAINF	_	4	obji	_	_
15	,	,	$	$,	_	0	root	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	19	det	_	_
18	ewig	ewig	A	ADJD	Pos|	19	adv	_	_
19	Jugendliche	Jugendliche	N	NN	Masc|Nom|Sg	20	pred	_	_
20	geblieben	bleiben	V	VVPP	_	16	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	unstet	unstet	A	ADJD	Pos|	0	root	_	_
23	und	und	K	KON	_	22	kon	_	_
24	rastlos	rastlos	A	ADJD	Pos|	23	cj	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	0	root	_	_
27	hat	haben	V	VAFIN	3|Sg|Pres|Ind	26	cj	_	_
28	zum	zu	P	APPRART	Dat	34	pp	_	_
29	Überfluß	Überfluß	N	NN	Masc|Dat|Sg	28	pn	_	_
30	auch	auch	A	ADV	_	34	adv	_	_
31	noch	noch	A	ADV	_	34	adv	_	_
32	eine	eine	A	ART	Indef|Fem|Nom|Sg	33	det	_	_
33	Neigung	Neigung	N	NN	Fem|Nom|Sg	27	subj	_	_
34	ausgebildet	ausbilden	V	VVPP	_	27	aux	_	_
35	,	,	$	$,	_	0	root	_	_
36	gegen	gegen	P	APPR	Acc	39	pp	_	_
37	all	all	A	PIDAT	Neut|Acc|Sg	38	det	_	_
38	das	die	P	PDS	Neut|Acc|Sg	36	pn	_	_
39	anzustreben	anstreben	V	VVIZU	_	34	obji	_	_
40	und	und	K	KON	_	39	kon	_	_
41	unter	unter	P	APPR	Dat	44	pp	_	_
42	Umständen	Umstand	N	NN	Masc|Dat|Pl	41	pn	807	807
43	auch	auch	A	ADV	_	44	adv	_	_
44	anzustürmen	anstürmen	V	VVIZU	_	40	cj	_	_
45	,	,	$	$,	_	0	root	_	_
46	was	was	P	PRELS	Neut|Nom|Sg	56	subj	617	617
47	er	er	P	PPER	3|Sg|Masc|Nom	56	pred	615	615
48	›	›	A	ADJA	_|Neut|_|Pl|_	49	attr	_	_
49	Vorurteile	Vorurteil	N	NN	Neut|_|Pl	56	obja	_	_
50	des	die	A	ART	Def|Masc|Gen|Sg	51	det	_	_
51	Standes	Stand	N	NN	Masc|Gen|Sg	49	gmod	_	_
52	und	und	K	KON	_	51	kon	_	_
53	der	die	A	ART	Def|Fem|Gen|Sg	54	det	182	182
54	Gesellschaft	Gesellschaft	N	NN	Fem|Gen|Sg	52	cj	182	182
55	‹	‹	N	NE	Fem|Gen|Sg	54	app	182	182
56	nennt	nennen	V	VVFIN	3|Sg|Pres|Ind	38	rel	_	_
57	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	ewiger	ewig	A	ADJA	Pos|Fem|Dat|Sg|St|	3	attr	618	618
3	Fehde	Fehde	N	NN	Fem|Dat|Sg	1	pn	618	618
4	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	613	613
7	diese	diese	P	PDS	_|_|_	4	obja	_	_
8	seine	seine	A	PPOSAT	Fem|_|Sg	9	det	617	617
9	Rastlosigkeit	Rastlosigkeit	N	NN	Fem|_|Sg	0	root	_	_
10	bekämpft	bekämpfen	V	VVPP	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	doch	doch	A	ADV	_	16	adv	_	_
14	fühl	fühl	A	ADJD	_	16	adv	_	_
15	'	'	$	$(	_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	12	cj	613	613
17	jetzt	jetzt	A	ADV	_	16	adv	_	_
18	,	,	$	$,	_	0	root	_	_
19	daß	daß	K	KOUS	_	29	konj	_	_
20	gerade	gerade	A	ADV	_	21	adv	_	_
21	sie	sie	P	PPER	3|Sg|Fem|Nom	29	subj	618	618
22	das	die	A	ART	Def|Neut|Nom|Sg	23	det	_	_
23	Korrektiv	Korrektiv	N	NN	Neut|Nom|Sg	29	pred	_	_
24	und	und	K	KON	_	23	kon	_	_
25	der	die	A	ART	Def|Masc|Nom|Sg	26	det	_	_
26	Schutz	Schutz	N	NN	Masc|Nom|Sg	24	cj	_	_
27	seines	seine	A	PPOSAT	Neut|Gen|Sg	28	det	617	617
28	Lebens	Leben	N	NN	Neut|Gen|Sg	26	gmod	_	_
29	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	so	so	A	ADV	_	32	adv	_	_
32	sehr	sehr	A	ADV	_	0	root	_	_
33	,	,	$	$,	_	0	root	_	_
34	daß	daß	K	KOUS	_	45	konj	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	45	subj	613	613
36	seit	seit	P	APPR	Dat	45	pp	_	_
37	kurzem	kurz	A	ADJA	Pos|_|Dat|Sg|St|	36	pn	_	_
38	oder	oder	K	KON	_	36	kon	_	_
39	doch	doch	A	ADV	_	38	cj	_	_
40	seit	seit	P	APPR	Dat	45	pp	_	_
41	heute	heute	A	ADV	_	40	adv	_	_
42	vor	vor	P	APPR	Dat	45	pp	_	_
43	dem	die	A	ART	Def|_|Dat|Sg	44	det	619	619
44	Moment	Moment	N	NN	_|Dat|Sg	42	pn	619	619
45	bange	bangen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
46	,	,	$	$,	_	0	root	_	_
47	der	die	P	PRELS	_|_|Sg	0	root	619	619
48	dieser	diese	P	PDS	Fem|Dat|Sg	53	objd	_	_
49	seiner	seine	A	PPOSAT	Fem|Gen|Sg	50	det	619	619
50	Rastlosigkeit	Rastlosigkeit	N	NN	Fem|Gen|Sg	48	gmod	_	_
51	ein	eine	A	ART	Indef|Neut|_|Sg	52	det	_	_
52	Ende	Ende	N	NN	Neut|_|Sg	53	obja	_	_
53	machen	machen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
54	und	und	K	KON	_	53	kon	_	_
55	ihn	er	P	PPER	3|Sg|Masc|Acc	64	obja	619	619
56	umgekehrt	umgekehrt	A	ADJD	Pos|	64	adv	_	_
57	mit	mit	P	APPR	Dat	64	objp	_	_
58	einer	eine	A	ART	Indef|Fem|Dat|Sg	60	det	_	_
59	plötzlichen	plötzlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	60	attr	_	_
60	Sehnsucht	Sehnsucht	N	NN	Fem|Dat|Sg	57	pn	_	_
61	nach	nach	P	APPR	Dat	60	pp	_	_
62	einem	eine	A	ART	Indef|Masc|Dat|Sg	63	det	_	_
63	Ruhehafen	Ruhehafen	N	NN	Masc|Dat|Sg	61	pn	_	_
64	erfüllen	erfüllen	V	VVINF	_	65	aux	_	_
65	könnte	können	V	VMFIN	_|Sg|Past|Subj	54	cj	_	_
66	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	3	koord	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	619	619
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	auch	auch	A	ADV	_	3	adv	_	_
5	dabei	dabei	P	PROAV	_	3	pp	_	_
6	wieder	wieder	A	ADV	_	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	um	um	K	KOUI	_	12	konj	_	_
9	das	die	A	ART	Def|Neut|_|Sg	10	det	620	620
10	mindeste	mindeste	N	NN	Neut|_|Sg	12	obja	620	620
11	zu	zu	P	PTKZU	_	12	part	_	_
12	sagen	sagen	V	VVINF	_	3	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	unherkömmlich	unherkömmlich	A	ADJD	Pos|	0	root	_	_
15	verfahren	verfahren	V	VVPP	_	0	root	_	_
16	und	und	K	KON	_	0	root	_	_
17	seinem	seine	A	PPOSAT	_|Dat|Sg	18	det	619	619
18	Tun	Tun	N	NN	_|Dat|Sg	25	objd	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	_	_
20	Stempel	Stempel	N	NN	Masc|Acc|Sg	25	obja	_	_
21	des	die	A	ART	Def|_|Gen|Sg	22	det	_	_
22	Aparten	Aparte	N	NN	_|Gen|Sg	20	gmod	_	_
23	und	und	K	KON	_	22	kon	_	_
24	Adoleszenten	Adoleszenten	N	NE	_|Gen|Sg	23	cj	_	_
25	aufdrücken	aufdrücken	V	VVINF	_	16	cj	_	_
26	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	entspricht	entsprechen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	seiner	seine	A	PPOSAT	Fem|Dat|Sg	5	det	619	619
5	Eitelkeit	Eitelkeit	N	NN	Fem|Dat|Sg	2	objd	621	621
6	,	,	$	$,	_	0	root	621	621
7	von	von	P	APPR	Dat	16	pp	621	621
8	der	die	P	PRELS	Fem|Dat|Sg	7	pn	621	621
9	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	613	613
10	ihn	er	P	PPER	3|Sg|Masc|Acc	16	obja	619	619
11	trotz	trotz	P	APPR	Gen	16	pp	_	_
12	all	all	A	PIDAT	Masc|Gen|Pl	14	det	_	_
13	seiner	seine	A	PPOSAT	Masc|Gen|Pl	14	det	619	619
14	Vorzüge	Vorzug	N	NN	Masc|Gen|Pl	11	pn	_	_
15	nicht	nicht	P	PTKNEG	_	16	adv	_	_
16	freisprechen	freisprechen	V	VVINF	_	17	aux	_	_
17	kann	können	V	VMFIN	1|Sg|Pres|Ind	5	rel	_	_
18	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	alle	alle	A	PIDAT	Neut|_|Pl	4	det	_	_
3	diese	diese	A	PDAT	Neut|_|Pl	4	det	_	_
4	Dinge	Ding	N	NN	Neut|_|Pl	1	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	fürcht	fürcht	F	FM	Neut|_|Pl	4	app	_	_
7	'	'	$	$(	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	0	root	613	613
9	,	,	$	$,	_	0	root	_	_
