1	Van	Van	N	NE	_|Nom|Sg	4	subj	62	62
13	neben	neben	P	APPR	Dat	9	pp	_	_
14	seinem	seine	A	PPOSAT	Neut|Dat|Sg	15	det	13	13
15	Schreibpult	Schreibpult	N	NN	Neut|Dat|Sg	13	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	236	236
3	dachte	denken	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	3	s	_	_
7	Melanie	Melanie	N	NE	Fem|Nom|Sg	6	subj	20	20
8	fort	fort	P	PTKVZ	_	6	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	du	du	P	PPER	2|Sg|_|Nom	12	subj	82	82
12	würdest	werden	V	VAFIN	2|Sg|Past|Subj	0	root	_	_
13	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
14	in	in	P	APPR	Acc	17	pp	_	_
15	die	die	A	ART	Def|Fem|Acc|Sg	16	det	109	109
16	Galerie	Galerie	N	NN	Fem|Acc|Sg	14	pn	109	109
17	schicken	schicken	V	VVINF	_	12	aux	_	_
18	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	offen	offen	A	ADJD	Pos|	3	adv	_	_
3	gestanden	gestehen	V	VVPP	_	1	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	6	subj	_	_
6	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	sich	sie	P	PRF	3|_|_	13	obja	_	_
8	an	an	P	APPR	Dat	13	pp	_	_
9	diesem	diese	A	PDAT	Masc|Dat|Sg	10	det	_	_
10	Pfeiler	Pfeiler	N	NN	Masc|Dat|Sg	8	pn	_	_
11	etwas	etwas	A	ADV	_	12	adv	_	_
12	sonderbar	sonderbar	A	ADJD	Pos|	13	adv	_	_
13	ausnehmen	ausnehmen	V	VVINF	_	6	aux	_	_
14	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	...	...	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Unterbrich	unterbrechen	V	VVIMP	Sg	0	root	_	_
3	dich	du	P	PPER	2|Sg|_|Acc	2	obja	82	82
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	.	.	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
5	Witz	Witz	N	NN	Masc|Acc|Sg	6	obja	_	_
6	herausfordern	herausfordern	V	VVINF	_	3	aux	_	_
7	und	und	K	KON	_	0	root	_	_
8	die	die	A	ART	Def|Fem|_|Sg	9	det	1509	1509
9	Bosheit	Bosheit	N	NN	Fem|_|Sg	7	cj	1509	1509
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	83	83
13	höre	hören	V	VVFIN	1|Sg|Pres|_	11	cj	_	_
14	schon	schon	A	ADV	_	13	adv	_	_
15	Reiff	Reiff	N	NE	_	18	obja	197	197
16	und	und	K	KON	_	15	kon	_	_
17	Duquede	Duquede	N	NE	_	16	cj	210	210
18	medisieren	medisieren	V	VVINF	_	13	obji	_	_
19	,	,	$	$,	_	0	root	_	_
20	vielleicht	vielleicht	A	ADV	_	21	adv	_	_
21	auf	auf	P	APPR	Acc	18	pp	_	_
22	deine	deine	A	PPOSAT	_|Acc|_	23	det	82	82
23	Kosten	Kosten	N	NN	_|Acc|_	21	pn	_	_
24	und	und	K	KON	_	21	kon	_	_
25	gewiß	gewiß	A	ADJD	Pos|	24	cj	_	_
26	auf	auf	P	APPR	Acc	25	pp	_	_
27	meine	meine	A	PPOSAT	_|Acc|_	26	pn	83	83
28	.	.	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_

1	Van	Van	N	NE	_|Nom|Sg	4	subj	62	62
2	der	die	A	ART	Def|_|Gen|_	3	det	8	8
3	Straaten	Straaten	N	NE	_|Gen|_	1	gmod	8	8
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	seinen	seine	A	PPOSAT	Masc|_|Sg	6	det	62	62
6	Arm	Arm	N	NN	Masc|_|Sg	10	obja	214	214
7	auf	auf	P	APPR	Acc	10	pp	_	_
8	das	die	A	ART	Def|Neut|Acc|Sg	9	det	84	84
9	Pult	Pult	N	NN	Neut|Acc|Sg	7	pn	84	84
10	gelehnt	lehnen	V	VVPP	_	4	aux	_	_
11	und	und	K	KON	_	4	kon	_	_
12	lächelte	lächeln	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	82	82
3	lächelst	lächeln	V	VVFIN	2|Sg|Pres|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	und	und	K	KON	_	3	kon	_	_
6	sonst	sonst	A	ADV	_	7	adv	_	_
7	lachst	lachen	V	VVFIN	2|Sg|Pres|Ind	5	cj	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	subj	82	82
9	doch	doch	A	ADV	_	7	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	mehr	mehr	A	ADV	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	als	als	K	KOKOM	_	15	kom	_	_
14	gut	gut	A	ADJD	Pos|	13	cj	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	0	root	_	_
18	namentlich	namentlich	A	ADV	_	19	adv	_	_
19	lauter	laut	A	ADJD	_|	17	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOKOM	_	23	kom	_	_
22	gut	gut	A	ADJD	Pos|	21	cj	_	_
23	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	etwas	etwas	A	ADV	_	2	adv	_	_
4	dahinter	dahinter	P	PROAV	_	2	objp	_	_
5	.	.	$	$.	_	0	root	_	_

1	Sage	sagen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	was	was	P	PWS	Neut|_|Sg	4	obja	_	_
4	hast	haben	V	VAFIN	2|Sg|Pres|Ind	1	objc	_	_
5	du	du	P	PPER	2|Sg|_|Nom	4	subj	82	82
6	gegen	gegen	P	APPR	Acc	4	pp	_	_
7	mich	ich	P	PPER	1|Sg|_|Acc	6	pn	85	85
8	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	85	85
2	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
3	recht	recht	A	ADJD	Pos|	4	adv	_	_
4	gut	gut	A	ADJD	Pos|	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	du	du	P	PPER	2|Sg|_|Nom	7	subj	82	82
7	bist	sein	V	VAFIN	2|Sg|Pres|Ind	2	kon	_	_
8	nicht	nicht	P	PTKNEG	_	7	adv	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	harmlos	harmlos	A	ADJD	Pos|	7	pred	_	_
11	,	,	$	$,	_	0	root	_	_
12	wie	wie	P	PWAV	_	15	adv	_	_
13	du	du	P	PPER	2|Sg|_|Nom	15	subj	82	82
14	dich	du	P	PPER	2|Sg|_|Acc	15	obja	_	_
15	stellst	stellen	V	VVFIN	2|Sg|Pres|Ind	7	objc	_	_
16	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	85	85
3	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	1	cj	_	_
4	auch	auch	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	10	konj	_	_
7	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
8	wunderliche	wunderlich	A	ADJA	Pos|Fem|_|Pl|St|	9	attr	_	_
9	Gemütlichkeiten	Gemütlichkeit	N	NN	Fem|_|Pl	10	obja	_	_
10	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	3	objc	_	_
11	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	85	85
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	mal	mal	A	ADV	_	8	adv	_	_
4	von	von	P	APPR	Dat	8	pp	_	_
5	einem	eine	A	ART	Indef|Masc|Dat|Sg	7	det	240	240
6	russischen	russisch	A	ADJA	Pos|Masc|Dat|Sg|Wk|	7	attr	240	240
7	Fürsten	Fürst	N	NN	Masc|Dat|Sg	4	pn	240	240
8	gelesen	lesen	V	VVPP	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	85	85
11	glaube	glauben	V	VVFIN	1|Sg|Pres|_	2	kon	_	_
12	,	,	$	$,	_	0	root	_	_
13	Suboff	Suboff	N	NN	Neut|Nom|Sg	14	subj	86	86
14	war	sein	V	VAFIN	3|Sg|Past|Ind	11	s	_	_
15	sein	seine	A	PPOSAT	Masc|Nom|Sg	16	det	86	86
16	Name	Name	N	NN	Masc|Nom|Sg	14	pred	338	338
17	.	.	$	$.	_	0	root	_	_

1	Eigentlich	eigentlich	A	ADV	_	2	adv	_	_
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
4	zwei	zwei	C	CARD	_	2	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	zwei	zwei	C	CARD	_	7	attr	_	_
7	Brüder	Bruder	N	NN	Masc|_|Pl	2	vok	_	_
8	.	.	$	$.	_	0	root	_	_

1	Die	die	P	PDS	_|Nom|Pl	2	subj	_	_
2	spielten	spielen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	Karten	Karte	N	NN	_|_|_	2	obja	87	87
4	,	,	$	$,	_	0	root	_	_
5	und	und	K	KON	_	2	kon	_	_
6	dann	dann	A	ADV	_	7	adv	_	_
7	ermordeten	ermorden	V	VVFIN	3|Pl|Past|_	5	cj	_	_
8	sie	sie	P	PPER	3|Pl|_|Nom	7	subj	87	87
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	161	161
10	Kaiser	Kaiser	N	NN	Masc|Acc|Sg	7	obja	161	161
11	Paul	Paul	N	NE	Masc|Acc|Sg	10	app	161	161
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	7	kon	_	_
14	dann	dann	A	ADV	_	15	adv	_	_
15	spielten	spielen	V	VVFIN	3|Pl|Past|_	13	cj	_	_
16	sie	sie	P	PPER	3|Pl|_|Nom	15	subj	87	87
17	wieder	wieder	A	ADV	_	15	adv	_	_
18	Karten	Karte	N	NN	_|_|_	15	obja	_	_
19	.	.	$	$.	_	0	root	_	_

