1	Weihnachten	Weihnachten	N	NN	_|Nom|Sg	2	subj	2003	2003
43	seht	sehen	V	VVFIN	2|Pl|Pres|Ind	41	cj	_	_
44	euch	ihr	P	PPER	2|Pl|_|_	43	obja	1892	1892
45	doch	doch	A	ADV	_	43	adv	_	_
46	an	an	P	PTKVZ	_	43	avz	_	_
47	,	,	$	$,	_	0	root	_	_
48	was	was	P	PRELS	Neut|_|Sg	53	obja	_	_
49	euch	ihr	P	PPER	2|Pl|_|Dat	53	objd	1892	1892
50	der	die	A	ART	Def|Masc|Nom|Sg	52	det	_	_
51	heilige	heilig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	52	attr	_	_
52	Christ	Christ	N	NN	Masc|Nom|Sg	54	subj	_	_
53	beschert	bescheren	V	VVPP	_	54	aux	_	_
54	hat	haben	V	VAFIN	3|Sg|Pres|Ind	43	rel	_	_
55	.	.	$	$.	_	0	root	_	_

1	Hier	hier	A	ADV	_	0	root	_	_
2	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	-	-	$	$(	_	0	root	_	_
5	und	und	K	KON	_	0	root	_	_
6	diese	diese	A	PDAT	Neut|Nom|Pl	7	det	1453	1453
7	Worte	Wort	N	NN	Neut|Nom|Pl	8	subj	1453	1453
8	richteten	richten	V	VVFIN	3|Pl|Past|_	5	cj	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	speziell	speziell	A	ADJD	Pos|	8	adv	_	_
11	an	an	P	APPR	Acc	8	objp	_	_
12	mich	ich	P	PPER	1|Sg|_|Acc	11	pn	1895	1895
13	,	,	$	$,	_	0	root	_	_
14	-	-	$	$(	_	0	root	_	_
15	»	»	$	$(	_	0	root	_	_
16	hier	hier	A	ADV	_	0	root	_	_
17	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
18	unter	unter	P	APPR	Dat	0	root	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	1894	1894
20	Serviette	Serviette	N	NN	Fem|Dat|Sg	18	pn	1894	1894
21	,	,	$	$,	_	0	root	_	_
22	das	die	P	PDS	Neut|Nom|Sg	23	subj	_	_
23	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
24	für	für	P	APPR	Acc	23	pp	_	_
25	dich	du	P	PPER	2|Sg|_|Acc	24	pn	1893	1893
26	und	und	K	KON	_	25	kon	_	_
27	deinen	deine	A	PPOSAT	_|Acc|_	26	cj	1893	1893
28	Bruder	Bruder	N	NN	Masc|Nom|Sg	23	pred	_	_
29	.	.	$	$.	_	0	root	_	_

1	Nimm	nehmen	V	VVIMP	Sg	0	root	_	_
2	nur	nur	A	ADV	_	1	adv	_	_
3	fort	fort	P	PTKVZ	_	1	avz	_	_
4	.	.	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	Und	und	K	KON	_	0	root	_	_
7	nun	nun	A	ADV	_	8	adv	_	_
8	zögerten	zögern	V	VVFIN	1|Pl|Past|_	6	cj	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	8	subj	1885	1885
10	auch	auch	A	ADV	_	8	adv	_	_
11	nicht	nicht	P	PTKNEG	_	8	adv	_	_
12	länger	lang	A	ADJD	Comp|	8	adv	_	_
13	und	und	K	KON	_	8	kon	_	_
14	entfernten	entfernen	V	VVFIN	_|Pl|Past|_	13	cj	_	_
15	die	die	A	ART	Def|Fem|_|Sg	16	det	1894	1894
16	Serviette	Serviette	N	NN	Fem|_|Sg	14	obja	1894	1894
17	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	3	subj	_	_
2	obenauf	obenauf	N	NE	_|Dat|_	3	objd	1896	1896
3	lag	liegen	V	VVFIN	3|Sg|Past|Ind	5	objc	_	_
4	,	,	$	$,	_	0	root	_	_
5	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	1895	1895
7	nicht	nicht	P	PTKNEG	_	5	adv	_	_
8	mehr	mehr	A	ADV	_	7	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	vielleicht	vielleicht	A	ADV	_	13	adv	_	_
11	zwei	zwei	C	CARD	_	13	attr	_	_
12	große	groß	A	ADJA	Pos|Masc|_|Pl|St|	13	attr	_	_
13	Pfefferkuchenmänner	Pfefferkuchenmann	N	NN	Masc|_|Pl	0	root	_	_
14	oder	oder	K	KON	_	0	root	_	_
15	ähnliches	ähnlich	A	ADJA	Pos|Neut|_|Sg|St|	14	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	jedenfalls	jedenfalls	A	ADV	_	18	adv	_	_
18	etwas	etwas	P	PIS	Neut|Nom|Sg	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	was	was	P	PRELS	Neut|Nom|Sg	22	subj	1896	1896
21	uns	wir	P	PPER	1|Pl|_|_	22	obja	1885	1885
22	enttäuschte	enttäuschen	V	VVFIN	3|Sg|Past|_	18	rel	_	_
23	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Seht	sehen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
3	nur	nur	A	ADV	_	2	adv	_	_
4	weiter	weiter	A	ADV	_	2	adv	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	nun	nun	A	ADV	_	9	adv	_	_
9	nahmen	nehmen	V	VVFIN	1|Pl|Past|Ind	7	cj	_	_
10	wir	wir	P	PPER	1|Pl|_|Nom	9	subj	1885	1885
11	,	,	$	$,	_	0	root	_	_
12	wie	wie	P	PWAV	_	0	root	_	_
13	uns	wir	P	PPER	1|Pl|_|_	0	root	1885	1885
14	geheißen	heißen	V	VVPP	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	auch	auch	A	ADV	_	19	adv	_	_
17	das	die	A	ART	Def|Neut|_|Sg	19	det	_	_
18	zweite	zweit	A	ADJA	_|Neut|_|Sg|Wk|	19	attr	_	_
19	Tuch	Tuch	N	NN	Neut|_|Sg	0	root	_	_
20	ab	ab	P	PTKVZ	_	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	Ah	Ah	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	verlohnte	verlohnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	lagen	liegen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	gekreuzt	gekreuzt	A	ADJD	Pos|	2	adv	_	_
4	zwei	zwei	C	CARD	_	6	attr	1914	1914
5	schöne	schön	A	ADJA	Pos|Masc|Nom|Pl|St|	6	attr	1914	1914
6	Korbsäbel	Korbsäbel	N	NN	Masc|Nom|Pl	2	subj	1914	1914
7	,	,	$	$,	_	0	root	_	_
8	also	also	A	ADV	_	9	adv	_	_
9	genau	genau	A	ADJD	Pos|	0	root	_	_
10	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
11	(	(	$	$(	_	0	root	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	14	det	845	845
13	gute	gut	A	ADJA	Pos|Fem|Nom|Sg|_|	14	attr	845	845
14	Schröder	Schröder	N	NE	Fem|Nom|Sg	15	subj	845	845
15	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
16	recht	recht	A	ADJD	Pos|	17	pred	_	_
17	gehabt	haben	V	VAPP	_	15	aux	_	_
18	)	)	$	$(	_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	was	was	P	PRELS	Neut|_|Sg	25	obja	_	_
21	wir	wir	P	PPER	1|Pl|_|Nom	26	subj	1885	1885
22	uns	wir	P	PRF	1|Pl|Dat	25	objd	_	_
23	so	so	A	ADV	_	24	adv	_	_
24	sehnlich	sehnlich	A	ADJD	Pos|	25	adv	_	_
25	gewünscht	wünschen	V	VVPP	_	26	aux	_	_
26	hatten	haben	V	VAFIN	1|Pl|Past|Ind	17	rel	_	_
27	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	stürzten	stürzen	V	VVFIN	1|Pl|Past|_	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	1885	1885
5	denn	denn	A	ADV	_	3	adv	_	_
6	auf	auf	P	APPR	Acc	3	pp	_	_
7	die	die	A	ART	Def|Fem|Acc|Sg	8	det	436	436
8	Mama	Mama	N	NN	Fem|Acc|Sg	6	pn	436	436
9	zu	zu	P	PTKVZ	_	3	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	ihr	ihr	P	PPER	_|_|_|_	0	root	436	436
12	die	die	A	ART	Def|Fem|_|Pl	13	det	906	906
13	Hände	Hand	N	NN	Fem|_|Pl	15	obja	906	906
14	zu	zu	P	PTKZU	_	15	part	_	_
15	küssen	küssen	V	VVINF	_	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	845	845
3	wehrte	wehren	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	uns	wir	P	PPER	1|Pl|_|_	3	obja	1885	1885
5	ab	ab	P	PTKVZ	_	3	avz	_	_
6	und	und	K	KON	_	3	kon	_	_
7	sagte	sagen	V	VVFIN	_|Sg|Past|_	6	cj	_	_
8	auch	auch	A	ADV	_	7	adv	_	_
9	diesmal	diesmal	A	ADV	_	7	adv	_	_
10	wieder	wieder	A	ADV	_	7	adv	_	_
11	:	\:	$	$.	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	Seht	sehen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
14	nur	nur	A	ADV	_	13	adv	_	_
15	weiter	weiter	A	ADV	_	13	adv	_	_
16	«	«	$	$(	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	in	in	P	APPR	Dat	22	pp	_	_
20	einem	eine	A	ART	Indef|_|Dat|Sg	21	det	_	_
21	Aufregezustand	Aufregezustand	N	NN	_|Dat|Sg	19	pn	_	_
22	ohnegleichen	ohnegleichen	A	ADJD	Pos|	18	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	denn	denn	K	KON	_	0	root	_	_
25	was	was	P	PWS	Neut|_|Sg	34	obja	_	_
26	konnte	können	V	VMFIN	3|Sg|Past|Ind	36	subjc	_	_
27	es	es	P	PPER	3|Sg|Neut|Nom	26	subj	_	_
28	nach	nach	P	APPR	Dat	34	pp	_	_
29	diesem	diese	A	PDAT	_|Dat|Sg	30	det	_	_
30	Allerherrlichsten	Allerherrlichste	N	NN	_|Dat|Sg	28	pn	_	_
31	noch	noch	A	ADV	_	34	adv	_	_
32	für	für	P	APPR	Acc	34	pp	_	_
33	uns	wir	P	PPER	1|Pl|_|Acc	32	pn	1885	1885
34	geben	geben	V	VVINF	_	26	aux	_	_
35	,	,	$	$,	_	0	root	_	_
36	wurde	werden	V	VAFIN	_|Sg|Past|Ind	24	cj	_	_
37	nun	nun	A	ADV	_	36	adv	_	_
38	auch	auch	A	ADV	_	36	adv	_	_
39	die	die	A	ART	Def|Fem|_|Sg	41	det	_	_
40	dritte	dritt	A	ADJA	_|Fem|_|Sg|_|	41	attr	_	_
41	Serviette	Serviette	N	NN	Fem|_|Sg	0	root	_	_
42	fortgezogen	fortziehen	V	VVPP	_	0	root	_	_
43	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	alle	alle	A	PIDAT	Masc|_|Pl	4	det	_	_
4	Himmel	Himmel	N	NN	Masc|_|Pl	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PWS	Neut|Nom|Sg	7	subj	_	_
7	lag	liegen	V	VVFIN	3|Sg|Past|Ind	4	rel	_	_
8	da	da	A	ADV	_	7	adv	_	_
9	!	!	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	8	det	_	_
2	aus	aus	P	APPR	Dat	7	pp	_	_
3	weißem	weiß	A	ADJA	Pos|Neut|Dat|Sg|St|	6	attr	1897	1897
4	und	und	K	KON	_	3	kon	1897	1897
5	rotem	rot	A	ADJA	Pos|_|Dat|Sg|St|	4	cj	1897	1897
6	Leder	Leder	N	NN	Neut|Dat|Sg	2	pn	1897	1897
7	geflochtener	geflochten	A	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	_	_
8	Kantschu1	Kantschu1	N	NN	Masc|Nom|Sg	0	root	_	_
9	)	)	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	der	die	P	PRELS	_|_|Sg	0	root	1897	1897
12	damals	damals	A	ADV	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	1898	1898
15	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
16	nicht	nicht	P	PTKNEG	_	17	adv	_	_
17	unter	unter	P	APPR	Dat	0	root	_	_
18	welcher	welche	A	PWAT	Fem|Dat|Sg	20	det	_	_
19	sprachlichen	sprachlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	20	attr	_	_
20	Anlehnung	Anlehnung	N	NN	Fem|Dat|Sg	17	pn	_	_
21	,	,	$	$,	_	0	root	_	_
22	den	die	A	ART	Def|Masc|_|_	23	det	1901	1901
23	Namen	Name	N	NN	Masc|_|_	25	obja	1901	1901
24	Peserik	Peserik	N	NE	Masc|_|_	23	app	1901	1901
25	führte	führen	V	VVFIN	_|Sg|Past|_	0	root	_	_
26	.	.	$	$.	_	0	root	_	_

1	Meine	meine	A	PPOSAT	Fem|Nom|Sg	2	det	1898	1898
2	Mutter	Mutter	N	NN	Fem|Nom|Sg	3	subj	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	erwartet	erwarten	V	VVPP	_	3	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	unsere	unsre	A	PPOSAT	Fem|_|Sg	7	det	1885	1885
7	Freude	Freude	N	NN	Fem|_|Sg	14	obja	_	_
8	durch	durch	P	APPR	Acc	14	pp	_	_
9	diese	diese	A	PDAT	Fem|Acc|Sg	11	det	_	_
10	scherzhafte	scherzhaft	A	ADJA	Pos|Fem|Acc|Sg|_|	11	attr	_	_
11	Behandlung	Behandlung	N	NN	Fem|Acc|Sg	8	pn	_	_
12	des	die	A	ART	Def|Neut|Gen|Sg	13	det	353	353
13	Themas	Thema	N	NN	Neut|Gen|Sg	11	gmod	353	353
14	gesteigert	steigern	V	VVPP	_	4	kon	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	sehen	sehen	V	VVINF	_	4	obji	_	_
17	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	nach	nach	P	APPR	Dat	6	pp	_	_
3	der	die	A	ART	Def|Fem|Dat|Sg	4	det	_	_
4	Freudenseite	Freudenseite	N	NN	Fem|Dat|Sg	2	pn	_	_
5	hin	hin	A	APZR	_	2	part	_	_
6	gingen	gehen	V	VVFIN	_|Pl|Past|_	1	cj	_	_
7	meine	meine	A	PPOSAT	Masc|Nom|Pl	8	det	1898	1898
8	Gedanken	Gedanke	N	NN	Masc|Nom|Pl	6	subj	_	_
9	und	und	K	KON	_	8	kon	_	_
10	Gefühle	Gefühl	N	NN	Neut|Nom|_	9	cj	_	_
11	durchaus	durchaus	A	ADV	_	6	adv	_	_
12	nicht	nicht	P	PTKNEG	_	6	adv	_	_
13	.	.	$	$.	_	0	root	_	_

1	Ganz	ganz	A	ADV	_	2	adv	_	_
2	im	in	P	APPRART	Dat	0	root	_	_
3	Gegenteil	Gegenteil	N	NN	_|Dat|Sg	2	pn	1240	1240
4	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1898	1898
2	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	einfach	einfach	A	ADJD	Pos|	2	pred	_	_
4	außer	außer	P	APPR	Dat	2	pp	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	pn	1927	1927
6	und	und	K	KON	_	2	kon	_	_
7	lief	laufen	V	VVFIN	_|Sg|Past|Ind	6	cj	_	_
8	in	in	P	APPR	Acc	7	pp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	307	307
10	Garten	Garten	N	NN	Masc|Acc|Sg	8	pn	307	307
11	hinaus	hinaus	P	PTKVZ	_	7	avz	_	_
12	,	,	$	$,	_	0	root	_	_
13	um	um	K	KOUI	_	20	konj	_	_
14	da	da	A	ADV	_	20	adv	_	_
15	wieder	wieder	A	ADV	_	20	adv	_	_
16	zu	zu	P	APPR	Dat	20	objp	_	_
17	mir	ich	P	PPER	1|Sg|_|Dat	16	pn	1898	1898
18	selber	selber	A	ADV	_	17	adv	_	_
19	zu	zu	P	PTKZU	_	20	part	_	_
20	kommen	kommen	V	VVINF	_	26	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	was	was	P	PRELS	Neut|Nom|Sg	26	subj	_	_
23	freilich	freilich	A	ADV	_	25	adv	_	_
24	nicht	nicht	P	PTKNEG	_	25	adv	_	_
25	glücken	glücken	V	VVINF	_	26	aux	_	_
26	wollte	wollen	V	VMFIN	3|Sg|Past|_	7	objc	_	_
27	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	1899	1899
2	Weihnachtsfreude	Weihnachtsfreude	N	NN	Fem|Nom|Sg	3	subj	1899	1899
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	hin	hin	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	war	sein	V	VAFIN	_|Sg|Past|Ind	3	kon	_	_
7	an	an	P	APPR	Dat	14	pp	_	_
8	einem	eine	A	ART	Indef|Masc|Dat|Sg	13	det	_	_
9	gutgemeinten	gutgemeint	A	ADJA	Pos|Masc|Dat|Sg|Wk|	13	attr	_	_
10	,	,	$	$,	_	0	root	_	_
11	aber	aber	K	KON	_	9	kon	_	_
12	verfehlten	verfehlt	A	ADJA	Pos|_|Dat|_|_|	11	cj	_	_
13	Scherze	Scherz	N	NN	Masc|Dat|Sg	7	pn	_	_
14	gescheitert	scheitern	V	VVPP	_	6	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	Hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	1898	1898
3	unrecht	unrecht	A	ADJD	Pos|	1	pred	_	_
4	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1898	1898
2	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	nein	nein	P	PTKANT	_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Jedenfalls	jedenfalls	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	P	PWAV	_	10	adv	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	1898	1898
5	die	die	A	ART	Def|Fem|_|Sg	6	det	191	191
6	Sache	Sache	N	NN	Fem|_|Sg	10	obja	191	191
7	vor	vor	P	APPR	Dat	10	pp	_	_
8	sechzig	sechzig	C	CARD	_	9	attr	_	_
9	Jahren	Jahr	N	NN	Neut|Dat|Pl	7	pn	_	_
10	ansah	ansehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	sehe	sehen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	1898	1898
15	sie	sie	P	PPER	3|_|_|_	13	obja	1899	1899
16	noch	noch	A	ADV	_	13	adv	_	_
17	heute	heute	A	ADV	_	13	adv	_	_
18	an	an	P	PTKVZ	_	13	avz	_	_
19	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	lag	liegen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
3	diesem	diese	A	PDAT	Masc|Dat|Sg	4	det	_	_
4	Einfall	Einfall	N	NN	Masc|Dat|Sg	2	objd	_	_
5	eine	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
6	volle	voll	A	ADJA	Pos|_|_|_|_|	7	attr	_	_
7	Wesens-	Wesens-	T	TRUNC	Fem|_|Sg	2	subj	_	_
8	und	und	K	KON	_	7	kon	_	_
9	Charakterverkennung	Charakterverkennung	N	NN	Fem|_|Sg	8	cj	_	_
10	zugrunde	zugrunde	P	PTKVZ	_	2	avz	_	_
11	.	.	$	$.	_	0	root	_	_

1	Für	für	P	APPR	Acc	3	pp	_	_
2	andere	andere	P	PIS	_|Acc|_	1	pn	_	_
3	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	vielleicht	vielleicht	A	ADV	_	6	adv	_	_
6	gepaßt	gepaßt	V	VVPP	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	für	für	P	APPR	Acc	6	pp	_	_
9	mich	ich	P	PPER	1|Sg|_|Acc	8	pn	1898	1898
10	nicht	nicht	P	PTKNEG	_	8	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1898	1898
2	erinnere	erinnern	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	2	obja	_	_
4	,	,	$	$,	_	0	root	_	_
5	vor	vor	P	APPR	Dat	2	pp	_	_
6	vielen	viele	A	PIDAT	Neut|Dat|Pl	7	det	_	_
7	Jahren	Jahr	N	NN	Neut|Dat|Pl	5	pn	_	_
8	einmal	einmal	A	ADV	_	7	adv	_	_
9	in	in	P	APPR	Dat	7	pp	_	_
10	einem	eine	A	ART	Indef|_|Dat|Sg	11	det	1900	1900
11	Bogumil	Bogumil	N	NN	_|Dat|Sg	9	pn	1900	1900
12	Goltzschen	Goltzschen	N	NE	_|Dat|Sg	11	app	1900	1900
13	Buche	Buch	N	NN	Neut|Dat|Sg	12	app	1900	1900
14	,	,	$	$,	_	0	root	_	_
15	das	die	P	PRELS	Neut|Nom|Sg	18	subj	1900	1900
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	1390	1390
17	Titel	Titel	N	NN	Masc|Acc|Sg	18	obja	1390	1390
18	führte	führen	V	VVFIN	3|Sg|Past|_	13	rel	_	_
19	:	\:	$	$.	_	0	root	_	_
20	›	›	F	FM	_	0	root	_	_
21	Aus	aus	P	APPR	Dat	34	pp	_	_
22	meiner	meine	A	PPOSAT	Fem|Dat|Sg	23	det	46	46
23	Kindheit	Kindheit	N	NN	Fem|Dat|Sg	21	pn	1898)	1898)
24	‹	‹	N	NE	Fem|Dat|Sg	23	app	46	46
25	(	(	$	$(	_	0	root	_	_
26	oder	oder	K	KON	_	24	par	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	ähnlich	ähnlich	A	ADJD	Pos|	26	cj	_	_
29	)	)	$	$(	_	0	root	_	_
30	gelesen	lesen	V	VVPP	_	32	aux	_	_
31	zu	zu	P	PTKZU	_	32	part	_	_
32	haben	haben	V	VAINF	_	23	obji	_	_
33	,	,	$	$,	_	0	root	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	39	subj	1900	1900
35	,	,	$	$,	_	0	root	_	_
36	der	die	A	ART	Def|Masc|Nom|Sg	37	det	_	_
37	Verfasser	Verfasser	N	NN	Masc|Nom|Sg	34	app	_	_
38	,	,	$	$,	_	0	root	_	_
39	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
40	jedesmal	jedesmal	A	ADV	_	42	adv	_	_
41	glücklich	glücklich	A	ADJD	Pos|	42	pred	_	_
42	gewesen	sein	V	VAPP	_	39	aux	_	_
43	,	,	$	$,	_	0	root	_	_
44	wenn	wenn	K	KOUS	_	55	konj	_	_
45	der	die	A	ART	Def|Masc|Nom|Sg	46	det	1901	1901
46	Peserik	Peserik	N	NN	Masc|Nom|Sg	55	subj	1901	1901
47	seiner	seine	A	PPOSAT	Fem|Gen|Sg	48	det	1901	1901
48	Mutter	Mutter	N	NN	Fem|Gen|Sg	46	gmod	_	_
49	aus	aus	P	APPR	Dat	54	objp	_	_
50	aller	alle	A	PIDAT	Fem|Dat|Sg	51	det	_	_
51	Macht	Macht	N	NN	Fem|Dat|Sg	49	pn	_	_
52	über	über	P	APPR	Acc	49	kon	_	_
53	ihn	er	P	PPER	3|Sg|Masc|Acc	52	pn	1900	1900
54	gekommen	kommen	V	VVPP	_	55	aux	_	_
55	sei	sein	V	VAFIN	3|Sg|Pres|Subj	39	neb	_	_
56	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Um	Um	K	KOUI	_	0	root	_	_
3	jeden	jede	A	PIDAT	Masc|Dat|Sg	4	det	_	_
4	Schlag	Schlag	N	NN	Masc|Dat|Sg	5	objd	_	_
5	schade	schaden	V	VVFIN	_|Sg|Pres|_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PDS	Masc|Nom|Sg	8	subj	_	_
8	vorbeiging	vorbeigehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	.	.	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	Natürlich	natürlich	A	ADJD	Pos|	12	adv	_	_
12	kann	können	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
13	auch	auch	A	ADV	_	17	adv	_	_
14	nach	nach	P	APPR	Dat	17	pp	_	_
15	diesem	diese	A	PDAT	Neut|Dat|Sg	16	det	1902	1902
16	Prinzip	Prinzip	N	NN	Neut|Dat|Sg	14	pn	1902	1902
17	erzogen	erziehen	V	VVPP	_	18	aux	_	_
18	werden	werden	V	VAINF	_	12	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	12	kon	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	22	subj	1898	1898
22	will	wollen	V	VMFIN	1|Sg|Pres|Ind	20	cj	_	_
23	gern	gern	A	ADV	_	24	adv	_	_
24	einräumen	einräumen	V	VVINF	_	22	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	daß	daß	K	KOUS	_	33	konj	_	_
27	dabei	dabei	P	PROAV	_	32	pp	_	_
28	prächtige	prächtig	A	ADJA	Pos|_|Nom|Pl|St|	31	attr	1903	1903
29	,	,	$	$,	_	0	root	1903	1903
30	urkräftige	urkräftig	A	ADJA	Pos|_|Nom|_|_|	28	kon	1903	1903
31	Jungen	Junge	N	NN	_|Nom|Pl	33	subj	1903	1903
32	heranwachsen	heranwachsen	V	VVINF	_	33	aux	1903	1903
33	können	können	V	VMFIN	3|Pl|Pres|_	24	objc	1903	1903
34	,	,	$	$,	_	0	root	1903	1903
35	die	die	P	PRELS	_|Nom|Pl	41	subj	1903	1903
36	für	für	P	APPR	Acc	41	pp	_	_
37	die	die	A	ART	Def|Fem|Acc|Sg	38	det	1758	1758
38	Zukunft	Zukunft	N	NN	Fem|Acc|Sg	36	pn	1758	1758
39	mehr	mehr	A	PIAT	Fem|_|Sg	40	det	_	_
